step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63
5000	-392.904739084397420	-399.760227035356820	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.390046305755183	0	3	7	5	6	7	7	8	9	9	7	9	10	11	12	12	10	13	10	12	12	14	13	14	14	14	16	16	14	16	17	17	18	18	20	20	18	20	21	20	19	21	22	19	22	20	22	22	22	23	25	26	25	24	28	26	26	30	31	32	32	35	37	0	0	4	2	4	0	5	4	3	3	4	11	7	10	12	5	11	9	11	3	8	21	3	19	11	21	22	26	3	24	26	14	26	15	30	29	28	28	35	31	30	46	6	24	28	34	30	41	33	38	48	44	48	39	47	54	54	35	54	56	32	33	61	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	3	2	4	2	1	2	4	4	1	1	1	3	1	2	2	2	4	2	3	1	3	1	2	2	1	6	2	3	1	4	2	2	2	2	4	2	1	3	2	1	8	3	2	7	9	3
5500	-321.436030349420491	-328.291518300379892	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.663947893480016	0	4	6	6	6	7	7	8	8	8	7	8	10	12	12	10	9	13	10	13	12	14	13	14	13	14	17	15	15	16	17	15	18	19	18	20	19	21	21	20	18	20	21	22	22	19	22	22	23	24	26	26	25	25	29	27	28	29	31	31	35	36	37	0	0	2	2	2	0	3	2	5	3	3	5	7	13	17	11	11	9	11	19	8	16	8	16	21	21	32	15	23	22	32	20	30	41	30	35	35	21	31	28	30	37	27	20	46	30	42	37	43	40	37	49	48	39	51	49	49	56	52	58	54	61	62	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	2	2	2	1	3	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	4	2	2	1	1	2	3	1	1	1	2	1	3	2	1	1	2	1	2	2	1	2	1	5	1	1
6000	-368.273340660822669	-375.128828611782069	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548208712330940	-1	4	6	6	7	7	8	8	9	7	6	9	10	12	12	11	10	12	10	11	10	12	12	14	15	14	16	15	14	15	17	17	18	19	19	17	20	19	20	19	18	21	21	20	21	21	23	23	23	24	26	26	27	26	28	26	29	31	30	32	33	36	37	0	0	1	2	11	0	5	4	11	2	2	10	7	16	13	5	5	19	11	12	2	5	11	4	9	21	15	15	17	2	29	18	27	41	30	30	33	29	35	23	30	28	28	31	32	38	35	35	39	29	49	49	48	45	51	48	56	56	53	58	58	53	61	1	1	4	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	3	2	3	3	3	2	2	1	2	3	2	2	1	1	2	1	1	2	1	3	1	3	5	1	2	1	2	3	1	4	2	2	3	3	1	1	1	3	2	1	2	4	2
6500	-320.394199117818800	-327.249687068778201	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673025727945641	-1	4	5	6	6	7	8	9	9	8	8	9	10	10	11	11	10	12	9	10	12	13	13	14	14	14	16	16	14	17	18	18	18	17	20	19	19	21	21	19	18	20	20	22	22	21	20	23	24	24	26	26	26	25	28	28	25	30	30	30	33	36	34	0	0	2	2	2	0	3	4	11	4	5	3	7	8	8	12	19	14	11	8	8	19	21	12	15	21	21	25	23	25	34	27	30	22	36	41	41	36	47	25	34	30	41	31	37	36	30	30	39	25	49	50	48	48	51	54	47	54	55	56	58	61	56	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	3	1	1	1	2	1	1	3	3	2	4	1	1	1	1	1	2	2	2	2	1	1	1	2
7000	-337.647881857301002	-344.503369808260402	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.664689367158799	0	4	6	6	7	8	7	9	8	8	9	10	10	12	11	11	10	12	10	12	13	12	13	15	14	15	17	15	15	17	17	18	17	19	20	19	19	20	19	19	20	21	21	20	21	20	23	23	24	23	25	26	26	26	27	27	28	30	27	32	31	34	38	0	0	2	2	4	0	3	4	3	3	5	11	7	13	6	19	9	19	3	12	8	17	4	16	22	21	29	23	23	22	21	21	29	30	30	27	31	28	30	28	37	41	39	18	36	31	42	35	43	40	41	47	48	48	32	49	54	34	49	58	48	61	61	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	3	2	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	2	1	1	1	3	1	1	1	2	1	2	3	1	1	2	5	3	1	6	1	1	4	1	4
7500	-357.298514177699417	-364.154002128658817	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.506345449004835	1	4	6	6	6	7	7	8	8	8	7	10	10	11	10	11	9	12	10	13	13	12	12	12	14	14	17	15	15	16	18	17	19	18	19	19	19	20	21	18	19	21	21	21	20	21	23	22	23	25	25	26	23	25	28	27	28	30	30	32	34	35	36	0	0	2	2	2	0	4	3	11	3	3	3	3	11	9	11	11	15	3	15	8	13	11	19	22	21	22	16	23	24	24	17	32	30	14	28	21	25	41	25	34	36	34	22	41	33	42	38	33	40	53	10	30	37	44	52	54	55	56	47	60	60	60	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2	2	1	2	2	1	1	2	2	2	2	3	3	1	1	4	2	3	3	1	3	1	1	1	5	1	1	2	1	3	4	1	9	3	2	4	1	2	1	2	5	1	2	1
8000	-337.965802669171296	-344.821290620130696	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.581642826100254	1	4	6	7	6	5	7	9	9	8	8	10	11	12	12	11	11	11	11	13	11	12	13	14	13	15	16	14	16	14	17	18	17	17	20	18	20	19	21	19	19	22	21	21	21	21	23	23	23	25	25	27	27	25	28	27	29	30	30	32	32	36	38	0	0	2	2	2	0	3	2	4	2	5	8	7	17	9	9	8	9	3	12	8	16	3	22	18	3	24	8	8	14	28	33	20	30	36	4	16	22	38	29	30	43	41	36	33	41	42	38	34	40	49	51	48	48	49	54	54	56	52	58	58	53	49	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	2	1	2	1	1	1	3	2	1	3	1	1	3	1	1	1	1	1	1	4	5	2	1	2	3	1	1	1	2	1	1	1	4	3	1	1	2	1	3	1	2	2	2	1	1	3	6
8500	-369.385097246875262	-376.240585197834662	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.551566481690278	0	3	7	5	6	7	8	7	7	9	9	10	9	11	10	10	11	12	12	12	12	13	14	14	14	15	16	15	16	16	17	16	17	17	19	19	18	19	21	17	20	20	21	20	22	21	22	23	21	25	25	25	27	26	28	27	29	31	30	31	34	34	38	0	0	2	2	2	0	5	2	2	4	8	3	5	2	6	8	12	5	11	12	14	11	19	19	10	21	25	16	21	22	29	25	13	17	30	28	27	33	38	27	34	34	36	26	37	34	42	39	38	38	49	45	51	49	48	51	56	57	48	41	57	55	54	1	1	2	1	2	1	1	1	2	3	1	2	2	3	1	2	1	2	1	1	1	2	1	1	3	2	1	3	2	2	1	1	3	3	1	2	2	1	2	1	2	1	1	2	2	3	1	1	1	3	2	1	1	3	3	1	2	1	4	6	3	3	4
9000	-371.255346207913647	-378.110834158873047	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.578305365035112	0	5	7	7	6	7	7	6	8	9	8	9	11	11	11	12	10	13	11	12	13	14	12	15	15	14	14	16	15	17	15	17	19	18	18	19	18	21	20	18	20	20	21	21	20	21	22	23	23	24	25	27	26	25	27	27	27	31	30	31	34	36	38	0	0	8	8	2	0	5	2	3	3	5	5	7	10	3	19	11	13	5	4	4	3	8	16	15	13	4	22	4	21	21	24	35	25	28	30	22	33	28	27	28	34	35	33	27	31	41	45	44	28	30	42	48	49	48	54	49	49	55	53	59	52	61	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	3	3	2	2	2	1	3	1	4	2	1	1	1	2	1	1	2	1	2	2	2	1	1	1	2	4	1	2	1	3	4	3	3	2	2	1	2	6	2	3	2	4	2
9500	-347.179026850572143	-354.034514801531543	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.521757996907809	1	4	5	6	7	7	8	7	7	8	8	9	11	11	11	11	9	12	11	12	12	12	11	11	14	14	16	13	16	17	17	18	19	19	19	18	19	21	19	20	20	20	21	21	22	19	23	22	23	24	24	26	26	26	28	28	27	30	30	33	34	34	36	0	0	2	2	2	0	5	4	3	4	2	3	7	4	5	8	5	19	2	12	8	3	3	11	15	21	24	23	23	19	24	31	16	30	31	13	30	29	31	33	22	46	26	37	41	30	45	39	39	40	45	50	45	48	30	54	45	57	41	56	49	60	60	1	1	1	1	2	1	1	1	1	1	3	2	2	1	3	2	1	1	4	1	2	4	2	2	2	1	2	1	2	3	2	1	3	1	1	4	1	3	1	1	3	1	3	1	1	1	1	2	2	2	1	1	2	2	5	1	2	2	5	3	4	1	1
10000	-342.847475890354588	-349.702963841313988	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.760566308265533	0	4	7	6	6	6	8	8	8	9	8	9	10	11	12	10	11	13	10	13	12	12	13	14	14	14	15	14	16	15	18	17	17	18	19	20	19	21	20	19	19	21	21	21	22	20	22	21	23	24	26	27	27	25	28	28	28	30	31	31	33	35	36	0	0	2	2	2	0	5	5	5	3	3	3	3	12	10	11	11	5	11	17	3	19	15	16	18	21	15	14	23	15	26	28	23	30	19	29	19	39	35	29	18	46	32	40	36	30	42	34	39	38	48	54	54	39	51	51	52	56	52	58	58	60	61	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	3	1	1	2	1	1	2	1	1	1	1	2	2	1	2	1	2	2	3	3	1	1	2	2	1	1	1	2	2	1	1	2	2	2	1	1	3	1	1	1	1	2	1	2	2	1
10500	-362.573726278192680	-369.429214229152080	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.633596744950998	0	4	6	6	6	8	8	7	8	8	5	9	10	11	11	10	11	11	10	13	12	14	13	14	14	14	16	14	14	17	17	16	16	18	18	19	18	20	19	19	19	21	20	20	19	21	22	22	23	24	24	25	27	25	25	27	28	31	30	33	34	35	38	0	0	2	2	11	0	4	11	5	3	2	5	7	7	7	3	11	3	9	17	15	15	2	14	18	21	24	19	17	14	29	23	29	14	28	34	31	31	22	32	25	43	35	34	25	38	35	38	38	44	48	48	52	49	48	38	54	49	52	58	58	60	62	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	2	1	1	1	2	3	1	1	1	1	2	1	2	1	1	1	4	3	1	1	1	3	1	2	1	1	1	3	1	2	1	1	2	1	1	1	1	2	4	1	4	1	1	1	1	1
11000	-425.652556662877544	-432.508044613836944	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.669598392654425	1	5	6	6	6	6	8	9	9	9	8	9	10	11	11	10	10	11	11	11	12	13	13	14	15	14	17	16	15	16	17	16	19	17	19	19	17	21	21	19	19	20	21	21	20	21	22	20	22	24	26	27	27	25	28	27	29	31	29	32	34	36	38	0	0	1	2	2	0	5	4	3	4	5	11	7	17	7	5	12	11	11	12	8	14	9	19	24	21	29	13	23	19	5	15	34	15	34	37	18	35	35	29	32	34	36	35	32	30	34	35	39	40	49	50	49	45	52	39	38	57	48	58	60	61	62	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	2	2	2	5	3	1	3	1	1	4	1	1	2	1	1	1	1	2	2	3	1	1	4	2	2	2	3	1	3	3	1	5	1	1	1	1
11500	-412.178688883623238	-419.034176834582638	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660316005250819	0	4	6	6	7	7	7	8	8	8	9	9	10	12	10	11	10	13	9	12	12	14	12	14	15	14	17	14	14	16	16	16	19	18	19	20	18	21	20	18	19	21	21	22	21	21	21	23	23	23	23	25	27	25	27	28	27	30	30	32	33	33	37	0	0	1	2	2	0	3	4	5	4	5	5	4	13	3	11	11	14	5	12	11	11	8	16	29	21	31	14	19	24	28	16	27	30	30	25	18	35	30	22	28	39	41	43	33	39	41	41	38	40	39	42	44	49	51	38	39	44	55	58	58	59	61	1	1	3	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	1	1	1	2	3	1	2	1	1	3	1	1	3	1	1	2	3	2	1	2	2	2	1	1	1	1	1	1	2	1	2	2	2	2	1	2	5	2	3	1	1	1	2	2
12000	-351.293669552136237	-358.149157503095637	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585857926421896	0	4	7	6	6	6	7	8	9	8	7	10	11	11	9	11	11	12	10	13	12	11	13	14	15	14	17	15	15	14	17	17	18	19	17	19	20	20	21	18	19	21	20	21	22	20	22	22	23	25	26	26	26	25	28	27	29	30	30	32	35	35	38	0	0	4	2	2	0	5	4	3	3	4	11	7	15	2	5	5	3	11	12	14	19	21	15	14	4	23	24	3	21	25	25	28	30	14	25	21	24	36	32	32	46	40	34	41	36	34	30	41	40	48	48	36	41	53	39	54	52	53	56	54	60	61	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	1	2	1	1	1	2	2	3	2	1	4	1	1	1	2	2	2	2	4	3	2	1	1	1	1	1	1	1	1	3	2	5	2	1	5	3	1	2	2	2	2	4	5	1	1
12500	-338.385598721670021	-345.241086672629422	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670192071674921	1	4	6	6	6	7	7	7	8	8	8	9	10	11	9	11	10	13	10	13	12	13	13	14	14	15	16	16	15	17	16	17	19	18	19	18	20	21	20	20	20	20	22	20	21	22	19	23	23	24	25	25	24	25	27	27	27	31	30	31	34	35	37	0	0	2	2	2	0	5	2	3	3	3	5	7	10	6	19	5	3	3	19	3	16	4	16	22	21	14	25	23	19	14	27	30	30	30	32	35	16	29	14	34	47	37	24	33	37	36	37	34	36	48	49	43	43	52	43	54	56	55	52	58	54	61	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	3	2	1	3	1	3	1	1	2	2	1	1	2	3	1	1	1	1	1	1	4	2	4	1	1	1	4	1	1	1	2	3	4	2	1	1	1	1	2	1	2	1	2	2	4	2
