step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
18500	-221.507394797519083	-219.948549760372373	-1.558845037146702	0.000355321865870	0.000092193688943	0.259465284290497	0.442915576910483	-1	2	3	3	5	5	7	11	10	11	13	14	13	17	18	16	19	22	22	26	27	29	0	1	1	1	4	1	5	4	3	9	10	10	9	10	12	13	12	15	8	16	14	21	1	1	2	1	1	3	1	4	3	1	2	2	1	3	3	3	3	2	6	6	3	1
19000	-245.672820379114228	-244.254025684591824	-1.418794694522401	0.000210896568536	0.000078513485965	0.372284321693900	0.419634694966772	-1	4	2	4	5	6	8	10	8	10	13	14	14	17	17	17	21	20	23	25	27	25	0	1	1	1	4	2	6	6	2	9	10	10	8	12	11	13	15	15	13	13	19	19	1	3	2	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	5	6	2	1
19500	-211.870737499532453	-210.449415542446502	-1.421321957085948	0.000313014005504	0.000115465426988	0.368882621726897	0.298193498951434	-1	3	5	3	6	6	8	9	11	11	13	14	15	18	16	17	20	22	23	23	26	28	0	1	1	1	1	1	1	1	8	7	9	9	8	9	9	8	12	11	14	4	8	14	1	2	3	2	3	2	4	6	2	2	1	2	4	5	4	3	3	4	3	11	8	7
20000	-221.764108225244712	-220.326101571497134	-1.438006653747585	0.000419850567659	0.000146394889810	0.348683319938827	0.451305605854154	-1	1	5	3	6	3	8	11	10	11	13	15	14	17	17	14	21	22	21	24	26	28	0	1	2	2	2	2	2	4	7	9	10	11	6	11	12	8	12	12	13	13	8	17	1	1	2	1	2	1	2	5	1	1	1	1	6	3	1	1	4	3	5	4	7	3
20500	-222.106024431608432	-220.611106537908881	-1.494917893699562	0.000442939226984	0.000132107562708	0.298252118259429	0.591614311232394	0	4	4	4	5	6	8	10	11	9	13	12	13	17	17	17	19	22	23	25	25	28	0	1	1	1	3	3	1	6	10	4	9	9	7	11	9	7	11	14	16	16	16	20	1	1	2	2	1	1	4	2	1	2	1	1	3	2	4	3	3	2	2	3	3	1
21000	-226.894450184080313	-225.062632826168652	-1.831817357911673	0.000499196941757	0.000084547296658	0.169366615830722	0.397816189908868	0	4	3	5	6	4	8	9	10	11	14	14	15	17	17	17	20	23	22	24	25	29	0	1	1	3	1	1	1	1	2	6	9	8	8	11	12	8	12	9	13	16	16	13	1	2	1	2	3	3	3	3	2	4	2	1	4	2	2	3	2	6	3	3	3	7
21500	-243.256762234692758	-241.646144790990320	-1.610617443702424	0.000571678448945	0.000134635714635	0.235509515678490	0.457088518088867	0	3	4	5	4	4	6	10	9	11	14	14	14	18	17	17	21	22	23	24	25	28	0	1	1	1	1	1	3	1	7	4	4	8	4	13	13	8	13	14	16	11	16	9	1	1	2	3	3	2	2	5	2	3	4	2	5	2	2	2	3	2	4	3	3	12
22000	-244.526498090758651	-242.884038630016420	-1.642459460742219	0.000509229991823	0.000113553150688	0.222989911260058	0.320429796576984	-1	3	4	4	5	6	8	9	11	12	13	15	14	16	15	16	20	23	22	25	26	29	0	1	1	1	1	1	2	5	6	7	6	10	9	15	9	9	9	10	16	9	8	17	1	3	3	2	2	3	3	2	3	1	3	1	2	1	1	2	4	6	4	7	8	6
22500	-212.748374395735908	-211.019591000489186	-1.728783395246735	0.000397086452794	0.000077427687575	0.194989496694770	0.321314129741106	0	2	3	2	5	6	8	9	11	9	14	13	15	17	14	16	20	21	23	23	27	27	0	1	4	1	4	4	1	1	10	6	10	8	8	9	9	8	11	10	16	8	8	16	1	1	1	1	1	3	5	5	1	2	2	2	4	3	1	4	3	6	3	5	10	6
23000	-227.824007884899288	-226.162323029231658	-1.661684855667616	0.000461360654855	0.000099689370376	0.216076878960420	0.559188088991444	0	4	4	4	3	6	9	9	11	10	13	14	12	18	16	16	21	22	21	26	24	28	0	5	1	5	1	2	1	6	7	8	9	11	7	16	11	8	11	11	7	18	7	16	1	1	2	1	2	1	4	2	1	1	1	1	2	2	1	6	4	6	5	2	6	4
23500	-225.683922337310122	-224.202185494117145	-1.481736843192989	0.000376881376201	0.000116135062615	0.308147523195821	0.407382633757802	-1	2	4	4	6	4	9	11	9	11	12	14	12	16	18	16	21	22	22	22	26	28	0	1	2	2	1	2	6	4	3	9	10	9	8	11	9	8	10	12	8	8	8	8	1	1	1	1	3	2	2	4	2	1	1	2	1	2	3	3	5	3	4	5	6	8
24000	-218.809981131233229	-217.274692360607872	-1.535288770625371	0.000502526359594	0.000136836526357	0.272297211369967	0.262307341742904	0	3	5	4	6	5	9	9	9	11	14	14	15	17	17	16	19	22	23	24	26	28	0	1	1	1	1	1	4	1	5	8	10	8	12	5	10	4	9	9	17	17	5	12	1	1	3	2	3	3	2	4	2	1	2	3	1	5	4	6	4	7	3	2	8	6
24500	-295.879453462976016	-294.108353734185471	-1.771099728790559	0.000523136566512	0.000096067398694	0.183637323106821	0.307059240484785	0	2	3	4	4	5	8	11	11	10	14	13	13	17	18	15	18	22	21	26	27	27	0	1	1	2	2	3	1	6	4	2	9	7	8	7	9	13	9	11	10	12	12	14	1	2	2	1	1	1	3	3	4	4	2	3	1	5	3	1	2	4	5	6	12	5
