step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23
5000	-235.613220665126562	-233.185903733128470	-2.427316931998093	0.000012969756430	0.000045865191147	3.536318618858285	0.513064968403099	0	6	8	10	8	12	12	12	13	13	15	14	15	16	15	18	18	19	20	20	19	20	22	0	1	2	5	2	4	5	5	7	5	8	4	8	11	12	7	6	16	6	21	15	10	13	1	3	1	1	1	1	2	2	1	2	1	2	1	1	1	2	3	1	4	1	2	4	4
5500	-216.101493966393917	-214.067928878465693	-2.033565087928225	0.000020771270555	0.000050450800416	2.428874068311886	0.629834849294991	0	5	9	10	9	11	12	11	12	14	14	13	15	17	16	17	17	19	19	19	20	21	22	0	1	2	5	2	5	8	5	5	9	9	4	8	11	12	7	6	16	6	15	20	16	13	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	2	3	2	4	2	1	2	3
6000	-196.341083072256481	-194.656987448158361	-1.684095624098124	0.000035534546215	0.000055317632047	1.556728252928377	0.718998604921080	-1	7	9	10	9	13	12	11	13	13	15	12	14	14	17	17	18	19	19	20	19	19	20	0	1	2	5	2	8	8	5	8	7	9	2	8	9	12	13	6	16	17	21	15	16	13	1	5	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	1	1	1	1	1	2
6500	-176.567010757456899	-175.196881085459324	-1.370129671997567	0.000082281529265	0.000039535203102	0.480486975082535	0.513231667800951	1	5	9	11	10	12	13	12	12	13	14	14	16	16	16	18	17	20	20	19	19	19	21	0	1	2	5	2	5	8	3	5	8	9	2	7	11	12	13	6	7	17	12	12	8	13	1	1	2	1	2	1	1	2	1	1	1	4	2	1	1	1	2	3	2	3	2	3	2
7000	-178.882434783783964	-177.449519703709171	-1.432915080074779	0.000175239957347	0.000062118338956	0.354475884932464	0.354347134984025	1	6	7	10	10	12	11	12	13	13	14	14	14	16	16	19	18	18	20	19	20	20	22	0	1	2	2	2	4	5	2	5	5	10	9	10	9	12	3	6	7	2	15	15	8	22	1	2	1	2	1	1	1	5	1	2	1	1	1	1	1	5	2	3	8	2	2	4	2
7500	-159.292918015076822	-157.920405603576796	-1.372512411500017	0.000193211700245	0.000090943103460	0.470691492001889	0.683181627238851	1	6	8	11	10	12	12	13	14	13	15	14	15	16	16	17	17	19	19	18	19	20	22	0	1	2	5	3	5	5	6	10	4	10	7	8	11	12	13	6	16	8	15	15	16	19	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
8000	-156.255846555467258	-154.840748729134447	-1.415097826332814	0.000200245338986	0.000075583790502	0.377455929232707	0.719540926652726	1	6	8	11	10	13	12	11	13	14	14	14	14	17	16	18	19	19	19	19	20	20	21	0	1	2	5	3	4	8	5	4	8	9	7	7	10	12	14	6	14	6	12	15	10	13	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	3	2	2	2	3
8500	-182.804658945516707	-181.411733231271484	-1.392925714245230	0.000127904548844	0.000053095608134	0.415118997830887	0.555168108115527	-1	5	6	11	10	13	12	13	12	14	14	13	16	17	16	17	17	19	18	19	19	20	20	0	1	2	5	2	4	2	4	4	9	5	5	9	11	12	4	6	16	6	15	12	14	13	1	2	1	1	3	1	2	1	1	1	2	2	1	2	1	4	2	2	2	2	4	2	3
9000	-171.700508282986931	-170.201932830070348	-1.498575452916572	0.000163823824124	0.000048434202480	0.295648100873421	0.546565690045852	0	7	8	10	11	12	12	13	13	14	12	14	14	16	16	17	18	18	20	17	19	21	21	0	1	2	3	4	4	2	7	11	7	4	8	7	11	12	9	8	16	7	12	15	14	16	1	4	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	4	2	1	2	1
9500	-157.497614529234653	-156.001828705074075	-1.495785824160567	0.000307617306053	0.000091555810707	0.297628933437478	0.476628164703057	1	6	8	10	11	12	13	10	13	13	15	14	15	16	16	17	17	18	19	19	18	19	21	0	1	2	3	8	8	5	3	4	5	9	10	7	11	12	10	7	9	17	12	15	9	7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	2	1	4	3
10000	-194.176842703930362	-192.744135084031541	-1.432707619898823	0.000210844275656	0.000074790311455	0.354718245122493	0.577441341191547	-1	7	8	8	9	12	13	10	12	14	13	12	12	16	16	19	18	19	19	20	18	19	21	0	1	2	2	2	4	8	5	8	9	9	4	4	10	11	6	14	8	7	12	12	11	16	1	3	1	1	1	1	2	1	1	1	1	2	2	1	1	4	1	3	2	3	3	3	2
10500	-163.931137418619016	-162.447990504205535	-1.483146914413488	0.000261975689328	0.000080439156524	0.307048172029237	0.764638578058064	0	6	9	11	8	12	13	11	13	14	14	15	15	16	17	19	16	20	19	19	17	18	22	0	1	5	5	2	4	8	5	4	9	9	11	2	11	4	15	13	16	13	21	12	7	16	1	3	1	1	1	1	1	1	1	1	1	1	3	1	3	1	1	1	2	1	1	2	1
11000	-163.845090821058534	-162.461903065673425	-1.383187755385103	0.000183434305881	0.000080241704839	0.437441101619082	0.585977426681691	0	7	9	11	10	13	13	12	13	14	13	15	16	15	17	17	18	18	19	19	19	20	21	0	1	2	5	3	5	4	5	4	7	2	4	7	9	12	6	7	2	18	15	12	14	13	1	3	1	1	1	1	1	1	1	1	4	2	2	1	1	2	2	5	1	1	1	3	2
11500	-177.183787796188568	-175.804626753110199	-1.379161043078380	0.000155987134109	0.000069961515556	0.448508243679386	0.544268438038469	0	7	8	10	11	12	12	13	14	14	14	14	16	16	15	18	18	20	19	19	16	18	21	0	1	2	2	4	4	5	5	8	7	8	2	7	11	2	13	4	17	9	15	12	9	13	1	3	1	1	1	1	1	1	1	1	1	3	2	1	5	1	4	1	2	3	1	2	2
12000	-163.431130606773138	-162.027316931515173	-1.403813675257974	0.000182377110947	0.000072030028985	0.394951036401513	0.704653139459985	0	7	8	11	10	13	12	12	13	14	14	14	15	16	16	19	18	20	17	19	19	18	18	0	1	2	5	3	7	5	5	8	9	9	4	12	11	12	23	6	23	2	15	12	9	13	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	4	1	2	2	2
12500	-172.387353484872847	-171.012223725630037	-1.375129759242808	0.000181210997397	0.000083578398035	0.461221444812089	0.404470215198993	-1	7	9	11	10	12	12	12	13	14	15	14	14	16	16	17	17	20	19	19	20	20	22	0	1	2	5	3	5	2	5	4	8	10	7	8	12	7	8	6	17	7	12	15	9	16	1	4	1	1	1	1	3	1	1	1	1	1	1	1	2	3	2	2	4	2	3	3	3
13000	-171.796029727760413	-170.258917511069171	-1.537112216691227	0.000215485802058	0.000058450790152	0.271251236016305	0.625836873173137	1	7	8	11	10	13	13	13	12	13	13	15	14	15	16	18	18	19	19	18	20	20	20	0	1	1	5	3	9	5	5	5	9	9	8	8	11	3	8	9	7	17	12	15	16	8	1	3	4	1	1	1	2	1	1	1	1	1	1	1	3	2	2	2	1	2	2	1	3
13500	-170.117629818921870	-168.741747795000464	-1.375882023921402	0.000138770669512	0.000063653623565	0.458696522753346	0.574717656347789	1	7	8	11	11	13	12	13	13	13	15	15	14	16	16	18	16	19	19	17	19	21	21	0	1	2	3	2	4	4	7	5	7	4	2	5	12	13	9	7	16	17	12	12	16	13	1	3	1	2	2	1	1	1	1	1	1	3	2	1	1	3	2	1	2	1	2	2	3
14000	-180.650703628229508	-179.053178904121154	-1.597524724108359	0.000257875761025	0.000062174218739	0.241101445485242	0.448692718648328	-1	7	8	10	9	13	12	12	13	11	14	15	15	16	15	18	17	19	19	20	18	20	21	0	1	2	5	3	4	5	5	5	5	3	4	5	2	4	17	6	16	21	15	2	11	8	1	4	1	1	1	1	2	1	1	1	3	2	3	4	2	1	2	1	1	2	5	4	3
14500	-200.587636544783123	-199.037707234449982	-1.549929310333138	0.000157169176712	0.000041517035193	0.264155072017060	0.436778001237973	-2	6	7	11	10	12	11	12	12	13	15	13	15	16	17	19	16	20	20	19	19	19	21	0	1	2	2	2	5	2	2	5	5	2	5	5	8	17	7	7	11	11	15	15	9	16	1	4	1	3	3	1	2	2	1	2	5	1	2	2	1	3	2	3	2	1	2	3	1
15000	-171.147639120161244	-169.634842544188956	-1.512796575972297	0.000189981056636	0.000054342273104	0.286040482491833	0.546444375113986	0	7	9	10	11	12	13	12	14	13	15	14	15	16	15	17	19	18	19	19	18	19	21	0	1	2	2	3	5	3	5	10	4	9	4	8	12	12	9	16	4	18	12	12	8	7	1	3	1	2	1	1	2	1	1	2	1	2	2	1	1	1	1	4	1	2	2	4	3
15500	-170.747427101957925	-169.203691254007254	-1.543735847950664	0.000160496670004	0.000042937599634	0.267529535866160	0.524581833625223	0	6	7	10	8	11	13	12	13	11	14	14	15	17	16	18	17	20	20	18	19	20	22	0	1	2	5	2	2	5	5	8	2	4	10	8	4	12	17	8	8	14	15	20	7	14	1	4	1	1	1	2	3	2	1	3	3	2	1	4	1	1	3	4	1	1	1	3	2
16000	-164.637259721923613	-163.201317370089157	-1.435942351834455	0.000138821279977	0.000048725800611	0.350996624000763	0.568389078489340	0	6	8	10	10	13	12	12	14	13	14	14	15	15	17	17	18	19	19	19	19	20	21	0	1	2	2	3	2	4	2	2	5	4	4	5	10	12	10	9	16	6	15	15	9	12	1	3	1	2	1	3	2	2	5	2	2	3	2	1	2	2	2	1	3	1	1	3	3
16500	-157.184444013505697	-155.815314553928772	-1.369129459576921	0.000283019725695	0.000137275634069	0.485039103658782	0.713645578103258	1	6	8	8	10	12	13	12	13	12	14	14	15	16	16	18	18	19	19	19	19	21	20	0	1	2	2	3	5	6	5	10	5	8	8	8	7	6	10	13	5	17	12	12	16	14	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	3	1	4	1	2	2	2	2
17000	-181.960317318152249	-180.225864460259373	-1.734452857892864	0.000286019580926	0.000055313726388	0.193391397222115	0.643646127231255	-1	5	8	9	11	12	12	12	11	14	14	14	16	16	16	18	17	19	19	17	17	19	22	0	1	1	2	4	5	5	5	4	8	7	4	5	12	4	15	5	17	17	15	12	17	8	1	3	4	2	1	1	1	1	2	1	1	2	2	1	2	1	3	1	2	1	2	1	4
17500	-172.898697437520156	-171.418637803932882	-1.480059633587277	0.000185729463645	0.000057477456686	0.309468705493852	0.581067852442115	1	6	8	10	10	12	12	11	12	13	14	14	15	16	16	17	18	20	17	20	19	20	21	0	1	2	2	2	5	8	4	4	9	9	6	7	11	4	6	15	16	6	12	12	16	7	1	1	1	3	2	2	1	1	2	1	1	1	2	1	3	3	1	2	2	3	3	2	4
18000	-175.586238083606872	-173.787910872665321	-1.798327210941546	0.000181356244121	0.000032095052024	0.176972412390427	0.452481948301325	0	7	9	10	11	12	11	13	13	13	14	15	15	17	17	16	17	19	20	20	19	20	21	0	1	2	2	4	5	4	5	3	7	6	2	4	11	12	8	6	5	9	21	12	4	13	1	3	1	2	1	1	1	1	2	1	1	4	2	1	1	1	2	4	4	1	3	3	3
18500	-177.275556263488767	-175.887472432750798	-1.388083830737962	0.000162192223006	0.000069024216412	0.425570444332178	0.561087628077775	1	7	8	11	9	12	12	12	13	13	14	13	15	14	16	17	19	19	18	20	19	19	19	0	1	2	5	2	4	5	2	5	4	8	8	7	9	12	3	6	9	8	16	16	9	16	1	4	1	1	1	1	2	2	2	1	1	1	1	1	2	5	2	2	2	2	1	3	1
19000	-173.150575699148902	-171.691599749363320	-1.458975949785574	0.000173039050712	0.000056668168784	0.327487746555447	0.705889200760917	1	5	9	9	9	11	12	12	11	13	13	13	15	16	15	18	19	19	20	17	18	20	21	0	1	2	2	2	3	9	5	4	9	9	7	8	11	12	8	16	8	18	15	20	9	18	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	3	1	2	1	1	1	4	2
19500	-171.818515857369647	-170.434844509560037	-1.383671347809617	0.000179617609472	0.000078349023695	0.436199011471663	0.465675236475785	0	5	8	10	9	12	13	12	12	14	14	14	16	16	16	17	18	18	18	20	18	20	21	0	1	2	2	3	5	2	5	5	7	5	9	2	7	12	14	11	16	14	21	12	13	11	1	2	2	3	1	2	3	2	2	1	3	1	5	1	1	1	2	1	1	1	2	2	3
20000	-188.603254340444352	-187.240728913958691	-1.362525426485663	0.000255112390879	0.000135160122523	0.529806184864671	0.672183653688179	1	5	8	10	10	12	11	12	13	13	14	15	16	17	15	19	18	18	20	20	19	18	20	0	1	2	3	3	5	4	7	4	4	9	10	5	11	4	22	6	10	17	12	12	9	8	1	2	1	2	1	1	1	1	2	1	1	1	2	2	2	1	3	2	2	3	2	1	4
20500	-168.889760910970665	-167.466349147334910	-1.423411763635753	0.000187660812228	0.000068711239352	0.366145912595912	0.444609648789435	0	6	8	10	9	12	12	12	13	11	15	14	16	17	16	17	17	18	19	18	19	20	21	0	1	2	5	3	4	4	2	10	4	9	8	7	10	8	7	11	14	8	15	8	14	8	1	2	2	1	1	1	1	4	1	1	2	1	2	2	2	2	1	1	4	2	3	2	5
21000	-163.933140899778266	-162.550058924786384	-1.383081974991882	0.000209901837257	0.000091877194222	0.437715054917223	0.712012760309326	0	6	9	10	8	12	12	12	12	14	14	14	16	16	16	17	19	19	18	18	19	20	21	0	1	5	5	2	4	5	5	4	8	9	8	8	11	12	8	16	16	11	15	20	13	13	1	2	1	1	1	1	3	2	1	1	1	1	2	1	2	2	2	1	3	1	1	2	3
21500	-172.290226160720323	-170.414772319821282	-1.875453840899032	0.000190975252706	0.000030615253365	0.160310055524378	0.519543173302886	0	6	9	9	10	12	11	13	13	12	13	14	15	16	16	17	16	17	19	20	18	21	21	0	1	2	2	4	4	3	5	6	5	10	2	5	11	4	10	6	7	18	21	12	16	5	1	2	1	2	1	1	1	2	1	1	1	4	3	1	4	3	2	3	1	1	2	2	5
22000	-160.422801398468437	-158.839032800685061	-1.583768597783380	0.000213829182666	0.000052878981243	0.247295437337000	0.569379311666937	1	6	9	11	10	12	12	13	12	14	15	15	16	16	16	18	17	19	20	19	19	20	21	0	1	2	3	3	5	5	7	4	9	6	4	10	12	12	13	12	8	4	12	15	11	13	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	4	2	2	2	2
22500	-160.116035936926323	-158.699704847131216	-1.416331089795097	0.000217976961156	0.000081894745010	0.375703673340436	0.591117863024176	1	6	8	10	10	13	12	11	13	14	14	14	14	16	16	18	18	20	20	19	19	20	20	0	1	2	2	3	7	5	4	8	8	7	8	7	11	12	14	6	8	8	12	12	10	16	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	2	3	3	1
23000	-151.035907284695782	-149.540334080818695	-1.495573203877087	0.000314913286088	0.000093775284959	0.297781291236020	0.875701659307023	0	6	8	11	10	13	12	12	13	11	15	15	14	17	16	18	17	19	19	18	20	20	21	0	1	2	3	3	5	5	5	10	5	13	4	10	11	13	14	6	14	17	15	20	16	16	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2
23500	-177.826507760413506	-176.366504848908107	-1.460002911505413	0.000230990910201	0.000075428395246	0.326542698931830	0.680585162867598	-2	6	8	10	10	13	11	12	12	14	13	14	15	15	17	16	18	19	18	18	20	20	21	0	1	2	3	3	5	5	5	4	9	9	4	6	11	13	10	6	7	6	15	17	10	7	1	4	1	1	1	2	1	1	1	1	1	2	1	1	1	1	3	2	3	1	1	2	4
24000	-177.381132245619597	-175.932044061872489	-1.449088183747108	0.000271002354213	0.000091328287745	0.337001824247080	0.538005131003219	1	7	8	11	10	13	11	13	12	14	14	14	16	16	16	18	16	18	19	19	19	19	21	0	1	2	5	3	7	5	3	5	8	9	4	7	4	8	17	5	4	6	17	15	14	14	1	3	1	1	1	1	1	2	1	1	1	2	2	2	2	1	4	3	5	2	2	1	3
24500	-163.715329085990504	-162.117940663134760	-1.597388422855731	0.000304264089516	0.000073376682393	0.241161165322739	0.721600572299641	0	6	9	11	10	12	13	12	13	11	14	14	14	17	14	18	18	19	18	17	19	19	21	0	1	2	5	3	10	8	5	10	5	6	4	7	11	4	13	6	16	7	12	12	14	16	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	3	1	1
25000	-170.007173481540860	-168.293268123442544	-1.713905358098327	0.000190140923986	0.000037896506234	0.199307468582229	0.549458009507536	0	7	9	10	10	13	11	13	12	13	13	14	15	17	16	17	16	19	19	18	19	17	20	0	1	2	3	3	4	3	7	4	4	9	4	8	11	12	8	5	16	17	15	20	12	13	1	5	1	1	1	1	1	1	1	1	1	3	1	1	1	2	3	1	2	1	1	1	3
25500	-166.355337744433427	-164.890360844374413	-1.464976900059006	0.000316251069262	0.000101855173358	0.322070605472222	0.696752873385951	0	6	7	10	10	12	12	13	14	14	14	15	16	16	15	18	18	19	19	19	20	20	20	0	1	2	3	3	4	4	7	7	8	6	7	7	11	10	8	9	17	11	17	12	16	16	1	3	1	1	2	1	1	1	1	1	1	2	2	2	1	2	3	1	3	1	3	1	1
26000	-174.720484583424565	-173.357488225541886	-1.362996357882687	0.000187099997528	0.000098189924194	0.524799174193257	0.598090088150960	0	7	9	10	10	12	12	12	14	12	14	13	16	17	16	18	19	19	17	19	19	20	19	0	1	2	3	3	5	5	5	10	5	8	7	7	13	12	4	19	16	8	15	15	9	19	1	3	2	1	1	1	2	2	1	1	1	1	2	1	1	4	1	1	3	2	2	3	1
26500	-166.076279115030445	-164.437726083704746	-1.638553031325695	0.000217947093749	0.000048918354162	0.224450591749813	0.543604760779878	0	6	9	8	9	10	11	13	14	14	15	13	15	17	16	18	19	20	19	18	18	21	21	0	1	4	2	4	2	5	7	6	4	9	7	8	11	12	8	16	16	6	15	10	11	16	1	2	1	1	1	2	1	1	2	3	1	1	1	1	2	2	1	1	4	1	1	3	1
27000	-166.608380845903497	-165.132492214026684	-1.475888631876807	0.000224232679309	0.000070144538618	0.312820320545428	0.795450969537330	-1	6	7	9	11	13	13	11	13	13	14	15	14	15	15	17	17	19	19	18	20	20	19	0	1	2	3	4	8	5	4	4	8	7	10	9	10	2	6	6	17	17	12	20	6	13	1	3	1	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	1	1	1	2	3
27500	-151.773272335144384	-150.366011611520804	-1.407260723623583	0.000231350350145	0.000090064589684	0.389299560720566	0.751221802127403	1	6	8	10	11	12	11	13	13	12	14	14	15	15	16	17	17	19	19	20	20	21	22	0	1	2	3	4	5	4	5	10	4	9	4	7	12	12	8	6	8	17	15	15	18	16	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	1	1	2
28000	-166.934061963106132	-165.533485893437955	-1.400576069668187	0.000123928206846	0.000049639271422	0.400548613470276	0.622957069006844	0	6	8	10	11	12	13	12	13	12	14	14	14	16	16	19	16	19	20	18	18	21	21	0	1	2	2	4	2	5	5	4	4	10	4	6	11	12	7	7	5	6	15	12	11	16	1	3	1	2	1	3	1	1	1	1	1	2	1	1	1	2	1	3	4	2	1	4	1
28500	-163.668804097359811	-161.985118095525991	-1.683686001833806	0.000278709154854	0.000058161256367	0.208680824990836	0.777650462656958	0	7	9	10	9	12	12	11	14	13	14	15	14	16	16	18	17	20	19	20	18	19	21	0	1	2	5	2	4	5	5	10	8	6	11	7	11	12	14	12	16	7	15	15	4	16	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	3	2
29000	-163.037372958041061	-161.425100229626594	-1.612272728414465	0.000197567639439	0.000046393272668	0.234822224933435	0.428265142249729	0	6	8	11	9	13	12	11	14	13	14	14	15	16	16	18	19	19	19	19	18	20	22	0	1	2	5	3	8	8	5	4	4	10	4	7	11	12	4	8	7	6	15	12	16	6	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	4	4	4	3	2	2	1	4
29500	-154.803714586631855	-153.339734328995917	-1.463980257635927	0.000199079065102	0.000064293197865	0.322953083149769	0.636632967027040	0	6	7	10	11	12	13	13	14	13	14	14	15	16	16	18	17	19	20	18	20	20	21	0	1	2	3	4	4	5	5	6	5	10	4	5	11	12	8	6	16	16	15	20	2	18	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1	1	1	1	4	1
30000	-156.394283465335832	-154.972716143694726	-1.421567321641108	0.000127303442097	0.000046918678682	0.368557816736345	0.636621653691883	0	6	8	10	10	13	12	12	13	13	14	14	15	17	17	18	17	20	20	19	18	20	21	0	1	2	2	3	4	5	4	5	4	4	4	7	9	12	14	6	8	17	15	12	14	13	1	3	1	2	1	1	1	1	1	1	1	2	2	2	1	1	2	3	2	1	2	2	3
30500	-174.243345085767800	-172.805668944608783	-1.437676141159011	0.000215539699519	0.000075234256717	0.349050578081411	0.714778091985850	1	7	8	11	10	11	10	12	12	13	14	14	13	16	16	19	17	20	18	20	19	21	21	0	1	1	7	3	5	2	5	5	9	8	4	7	11	12	19	13	13	6	15	12	17	18	1	3	4	1	1	1	1	1	1	1	1	2	2	1	1	1	2	3	3	2	2	3	1
31000	-174.632330563847233	-173.110376390885023	-1.521954172962223	0.000227965652874	0.000063886817076	0.280247556027972	0.521487376215686	0	6	9	9	10	13	13	12	12	14	12	15	15	16	15	19	18	18	20	19	19	19	20	0	1	2	2	3	5	5	5	5	11	3	4	7	9	7	6	6	8	18	15	12	4	13	1	3	2	2	1	1	2	1	1	1	2	2	1	2	2	3	3	3	1	3	3	5	2
31500	-167.872523793882095	-166.380952555056467	-1.491571238825640	0.000204367166460	0.000061450461108	0.300686564148598	0.543891446946765	0	6	8	11	11	13	13	11	13	13	14	15	16	17	17	18	17	20	20	20	19	19	20	0	1	2	2	2	8	8	3	4	8	9	5	7	9	12	11	9	13	6	12	12	16	16	1	2	1	2	2	1	1	2	1	1	1	2	1	2	1	2	2	3	4	2	1	1	1
32000	-149.844767816937008	-148.438590811823133	-1.406177005113881	0.000171203170178	0.000066948023872	0.391044300184665	0.569460559792881	0	7	9	10	9	13	11	12	13	14	14	14	14	15	17	18	17	19	20	19	19	20	21	0	1	2	5	2	4	5	5	7	5	4	8	8	9	12	17	6	16	17	15	12	11	16	1	2	1	1	1	2	1	2	1	2	3	1	1	1	1	1	2	1	1	1	2	2	1
