step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77
5000	-240.000907234902456	-249.051750615353797	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998236307658927	1	2	5	9	4	23	18	19	26	18	23	24	22	26	28	28	27	30	28	28	25	27	28	29	26	27	29	30	31	30	28	31	31	32	32	30	32	34	30	41	33	33	34	31	34	34	33	34	37	34	33	35	36	37	37	35	36	37	37	38	39	38	37	39	38	37	36	42	41	38	42	44	39	41	44	43	44	0	1	2	2	2	13	4	10	12	4	13	11	8	11	25	9	11	27	17	22	11	25	25	20	6	21	23	27	39	15	26	26	31	28	27	16	32	34	24	54	16	27	37	27	32	18	34	42	45	35	9	36	56	53	56	34	37	52	56	49	54	33	48	59	54	56	37	73	63	58	54	74	55	64	74	60	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-245.397592704175310	-254.448436084626650	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989794059247415	1	5	2	11	7	22	13	20	24	21	23	25	23	26	28	28	26	30	27	28	25	29	27	28	29	28	24	29	29	30	29	30	22	31	31	32	33	34	32	41	33	33	34	33	33	35	32	35	37	34	33	33	35	36	36	34	35	37	35	37	38	35	40	38	41	40	37	42	40	41	38	43	40	39	39	39	43	0	1	1	3	3	8	4	4	33	8	33	33	8	21	19	17	12	22	33	14	6	15	21	14	19	21	6	20	20	23	26	20	10	24	18	30	25	45	18	61	18	30	29	36	35	52	18	42	59	42	35	35	42	46	52	52	51	55	36	29	43	41	51	58	74	76	50	65	67	49	46	63	64	49	58	61	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-231.129908334829821	-240.180751715281161	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.966412626141279	2	4	5	10	6	20	18	21	26	22	24	24	23	25	28	23	26	27	28	28	26	23	29	30	29	28	30	32	31	30	30	30	31	30	33	30	32	32	31	41	32	32	34	33	34	34	32	34	35	32	32	34	34	32	33	35	31	37	36	32	35	37	40	37	42	38	37	42	39	38	39	44	39	40	44	40	45	0	1	2	3	2	7	4	6	16	6	6	22	8	12	18	8	14	14	21	21	14	10	15	20	19	18	21	57	34	26	20	26	34	26	57	15	20	57	36	71	32	33	28	54	50	47	29	54	43	29	32	38	41	31	39	53	31	35	46	30	60	30	73	43	69	58	61	63	67	58	67	65	64	69	69	69	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-244.542577581343750	-253.593420961795090	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.961052811958226	-1	1	4	10	7	22	18	20	26	21	23	25	22	26	28	30	25	31	27	28	28	28	28	28	25	26	29	31	29	30	30	29	30	24	32	31	32	34	30	40	30	31	31	32	34	34	33	33	37	36	33	35	34	35	36	35	33	36	35	37	40	38	38	38	39	27	37	43	41	38	43	44	37	40	45	42	42	0	1	2	5	3	7	4	7	25	8	8	11	8	11	14	23	11	24	25	26	14	34	25	17	11	13	20	20	19	17	23	66	27	11	28	32	18	48	17	67	22	39	15	39	18	39	19	35	59	56	39	38	33	33	46	39	44	56	47	54	49	58	60	73	64	25	55	69	40	49	74	76	36	64	76	40	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-259.524010120420257	-268.574853500871598	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988149017171483	1	4	5	9	6	20	17	21	25	22	24	23	24	24	28	30	28	26	27	26	28	27	29	30	29	29	25	31	26	30	29	30	30	32	31	32	33	32	30	38	31	31	35	33	34	35	32	33	37	36	27	30	36	35	36	35	32	34	37	37	38	35	40	38	40	39	38	40	41	41	37	43	38	41	45	42	44	0	1	2	5	3	7	3	6	8	6	10	10	10	6	20	19	29	12	27	12	19	9	51	15	19	15	6	26	9	31	15	23	15	42	20	23	28	30	21	49	24	17	51	30	57	58	39	28	46	58	12	9	56	36	43	36	18	33	31	56	53	58	46	53	49	53	47	49	49	64	46	55	50	54	72	65	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-243.824899671188660	-252.875743051640001	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.976734526701209	2	3	5	8	5	20	18	21	25	22	23	22	23	26	27	28	28	31	29	28	27	29	27	29	29	29	30	31	30	30	29	25	30	29	32	31	33	29	30	38	31	33	32	33	33	35	31	30	36	36	33	31	35	36	34	36	33	38	37	37	39	37	35	38	39	39	38	42	40	40	43	44	41	40	44	42	45	0	1	2	5	2	7	4	7	13	6	6	7	10	8	9	14	9	22	23	15	10	23	9	16	15	32	16	38	21	22	15	13	16	9	14	34	18	23	14	54	33	52	27	27	36	28	39	19	37	37	48	22	44	37	35	21	20	56	50	56	58	43	48	51	62	58	45	74	64	58	68	66	70	49	76	70	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-239.984082387595038	-249.034925768046378	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.971633300563203	2	4	3	10	7	22	18	20	26	22	23	25	23	25	23	29	27	31	27	29	28	27	27	30	28	25	23	31	30	30	28	30	30	30	30	31	30	34	32	42	32	33	34	32	33	31	31	32	36	34	34	34	34	34	37	32	33	38	37	35	40	35	36	36	40	35	38	43	42	41	39	45	40	41	45	37	44	0	1	1	5	3	8	4	7	14	8	6	6	6	6	8	22	12	25	12	23	23	12	6	20	17	27	6	29	9	23	26	16	26	21	31	34	22	39	29	61	47	35	57	35	46	25	24	33	43	29	45	24	56	44	66	29	36	59	51	51	63	44	51	66	67	41	50	65	65	64	63	74	58	58	69	39	40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-224.462206735284866	-233.513050115736206	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983079306435197	2	3	4	11	6	23	16	19	26	21	24	24	24	25	28	30	26	30	25	28	27	28	28	30	29	29	30	30	30	28	30	31	30	32	31	30	32	33	29	41	32	32	35	34	34	35	32	34	37	32	33	34	34	35	37	35	36	37	35	36	39	36	39	37	41	40	38	43	42	39	43	42	38	40	42	40	44	0	1	1	5	2	10	4	7	11	8	10	6	6	6	21	30	12	25	12	21	19	17	17	17	21	15	20	30	11	13	20	28	20	31	24	17	16	37	9	73	16	39	52	29	38	50	27	31	38	22	24	47	26	52	44	42	44	62	34	56	54	41	43	53	66	61	59	72	76	60	65	66	57	54	74	58	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-261.658689674668267	-270.709533055119607	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.969689705401428	1	3	5	11	8	19	17	20	26	21	23	22	24	25	28	30	25	31	26	28	28	24	28	25	29	27	28	29	30	31	30	27	30	30	33	32	30	33	27	41	32	32	32	34	34	35	31	29	37	33	33	32	35	34	33	33	34	38	33	34	35	37	39	39	39	35	37	43	38	36	43	45	41	41	45	42	44	0	1	2	5	3	7	4	6	13	8	12	10	12	11	26	14	7	21	24	26	26	11	26	13	27	17	17	9	21	34	15	17	39	28	28	31	23	37	14	64	33	34	31	31	36	44	39	24	66	16	18	32	47	43	48	36	38	67	52	33	45	18	67	67	62	51	53	70	62	61	40	77	46	64	76	59	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-245.952764753320366	-255.003608133771706	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995278896993364	1	4	3	8	5	23	17	19	26	20	23	22	21	23	27	24	26	30	28	29	28	29	27	30	28	28	29	30	29	29	30	31	31	30	33	32	33	34	32	39	31	32	35	33	33	34	32	35	35	31	31	34	36	37	37	35	36	31	36	37	38	38	39	38	40	40	38	43	37	40	42	43	40	38	41	40	42	0	1	1	2	3	12	4	7	11	8	12	8	10	13	6	12	16	30	17	23	17	17	16	26	17	23	19	27	9	19	30	20	31	30	18	32	33	47	51	62	26	41	27	18	58	35	29	44	42	20	17	29	48	53	42	38	44	18	31	53	56	44	69	60	49	69	35	74	53	55	65	65	63	56	67	40	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000	-244.723262159773810	-253.774105540225150	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984787909852321	2	4	4	10	6	21	18	19	25	21	23	25	20	25	27	30	28	28	27	28	27	29	23	30	28	29	30	31	31	31	29	25	31	30	29	29	32	33	32	41	33	32	29	34	32	35	32	34	37	36	32	30	34	37	37	35	35	37	38	35	39	38	37	39	41	38	39	44	39	38	41	43	40	35	46	42	40	0	1	1	5	2	8	4	7	23	8	7	13	8	11	9	20	21	21	14	14	12	25	6	11	14	21	20	35	26	27	18	11	36	21	21	18	16	37	36	44	47	30	18	38	36	42	52	47	57	47	18	14	38	48	44	48	45	44	74	47	44	56	53	54	66	53	55	71	58	55	77	69	66	42	77	77	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
