step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53
5000	-142.758727238659787	-141.296645154140919	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.875935658606804	0	1	3	2	5	5	5	6	5	7	5	7	7	8	7	7	8	7	7	8	8	9	9	8	9	9	9	10	10	11	11	9	13	10	12	11	10	12	15	15	13	16	13	14	14	12	14	19	17	17	18	18	21	0	1	4	1	3	3	4	5	4	7	3	6	8	16	6	5	7	5	11	9	9	19	10	15	17	18	12	27	23	29	26	13	31	32	28	29	24	30	33	41	34	44	46	20	41	37	30	51	41	40	40	49	48	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1
5500	-141.685937766724095	-140.223855682205226	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.879912556484663	0	1	2	4	4	5	6	5	6	8	5	7	7	8	8	7	7	7	8	6	7	11	9	10	10	10	10	9	9	11	12	12	13	9	11	11	12	12	14	13	14	15	13	14	14	13	16	18	16	16	18	19	21	0	1	1	3	3	5	4	3	4	8	2	11	11	21	5	7	6	6	9	4	5	28	20	20	17	21	14	16	13	28	29	36	36	17	23	25	34	36	25	36	40	33	29	32	38	29	44	50	42	33	40	51	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1
6000	-143.531258960216149	-142.069176875697281	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.980706645943844	1	2	2	4	4	5	5	6	6	8	6	6	8	8	6	7	6	7	8	9	8	10	8	10	10	7	9	9	10	10	10	11	12	11	12	10	11	13	14	14	14	16	14	14	12	14	13	16	16	15	17	18	20	0	1	1	2	2	4	5	2	5	15	1	2	12	15	6	15	4	6	11	13	8	21	6	18	19	11	12	15	10	21	10	10	37	22	22	28	22	31	33	45	32	46	35	47	24	33	33	41	39	47	46	51	48	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
6500	-130.612801570823336	-129.150719486304467	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.931139031295998	-1	1	1	3	4	5	4	5	6	8	7	6	7	8	8	7	7	7	9	9	6	10	8	10	9	9	9	10	10	11	11	11	12	12	12	9	12	11	14	14	13	14	13	14	14	14	16	18	15	15	17	19	21	0	1	1	2	3	4	4	5	5	16	5	5	5	8	8	4	12	21	13	6	4	15	6	14	23	10	17	14	15	23	24	27	22	22	19	17	28	36	38	33	38	37	35	38	43	34	40	47	43	41	50	50	52	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
7000	-138.937585085270115	-137.475503000751246	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.953903465306573	-1	1	3	4	3	5	6	5	7	8	7	5	7	9	8	5	7	8	7	8	7	11	6	10	10	9	10	10	10	9	10	11	12	12	12	9	11	13	14	13	15	14	12	14	13	12	16	17	17	15	18	19	20	0	1	2	3	2	5	6	3	23	13	7	5	12	9	13	4	12	13	12	11	23	26	16	18	19	11	15	18	9	9	17	36	27	18	14	13	30	34	35	33	35	45	36	35	34	25	50	42	44	38	41	49	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-146.293306296683085	-144.831224212164216	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.928500757729588	-1	1	3	4	4	6	5	5	6	8	6	6	8	8	7	8	6	7	8	8	7	11	7	10	10	10	8	8	10	9	12	11	13	13	12	11	12	13	13	14	13	16	12	14	14	14	16	17	15	14	17	19	20	0	1	2	3	2	8	4	3	4	7	4	4	5	23	7	18	4	9	18	3	8	24	4	10	16	16	6	17	19	7	10	24	22	26	25	28	24	26	27	26	36	46	29	34	37	31	38	49	35	32	49	42	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1
8000	-117.569866925546961	-116.107784841028078	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.988859320861298	0	2	2	4	4	6	6	6	6	7	5	5	8	9	8	7	7	7	9	8	7	9	7	10	8	9	9	9	9	11	11	11	14	12	13	11	12	13	14	14	14	15	13	13	15	15	14	17	17	17	18	17	20	0	1	1	3	3	4	4	11	4	11	2	4	8	16	10	12	8	5	15	16	12	21	9	14	21	23	17	17	25	28	29	24	35	29	30	25	15	31	44	37	37	44	37	31	43	39	38	45	45	46	50	33	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-145.266612041681441	-143.804529957162572	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.899796085405170	1	2	3	4	4	5	5	4	6	7	6	7	8	8	8	7	5	6	7	8	7	9	8	10	8	10	9	8	10	9	11	11	13	13	10	11	12	11	15	15	14	15	13	12	14	14	16	18	16	16	18	17	19	0	1	1	1	2	2	3	2	7	18	17	17	9	18	12	17	5	17	7	9	7	17	18	19	16	28	15	5	19	21	13	27	26	35	13	27	35	30	37	34	37	34	37	32	43	43	40	45	39	41	52	40	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-141.448644070734872	-139.986561986216003	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.979981665381823	0	2	3	4	4	4	4	4	6	7	6	6	7	7	8	8	7	8	9	9	5	10	8	9	10	9	8	9	11	10	11	11	13	12	13	12	12	12	14	14	12	16	14	13	14	14	15	18	15	16	19	18	21	0	1	1	2	3	2	2	2	3	5	6	8	3	7	9	12	11	12	16	23	2	12	14	10	23	17	10	13	22	28	24	28	36	25	32	20	16	19	37	36	32	49	37	25	38	35	35	49	34	31	42	50	51	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
9500	-145.893808045957456	-144.431725961438588	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.881163764042319	0	2	3	4	4	3	5	5	6	7	7	6	7	9	7	8	6	8	8	8	8	11	7	10	9	9	10	10	11	9	10	11	13	12	13	12	12	12	14	12	13	15	14	14	14	14	16	19	15	17	18	18	21	0	1	2	2	2	2	2	6	4	7	7	5	9	19	9	9	6	12	12	8	13	24	6	18	16	5	18	21	17	15	21	19	40	28	29	14	29	29	34	23	24	29	38	40	40	35	41	50	28	22	45	42	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1
10000	-146.469906047347223	-145.007823962828354	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.870345624245196	0	2	3	3	5	5	5	5	7	8	6	6	7	8	7	7	8	8	8	9	7	10	9	8	9	10	8	9	9	11	11	11	13	12	12	11	12	12	14	14	15	15	13	15	14	14	14	19	15	15	19	19	21	0	1	2	2	2	1	4	3	5	5	4	6	5	9	5	12	13	15	12	17	5	19	14	8	9	6	12	11	16	9	22	21	31	22	36	20	9	23	38	35	43	46	31	36	38	36	37	45	33	37	41	42	48	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	2	2	2	1
10500	-144.385048640655413	-142.922966556136544	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.939008810030913	0	2	3	1	4	6	5	6	6	8	6	6	8	9	7	7	7	7	7	9	6	10	8	10	10	9	9	10	10	10	11	12	12	12	13	11	12	12	11	15	14	15	13	14	13	14	14	19	16	17	18	17	21	0	4	4	1	2	5	5	3	3	6	5	5	15	16	7	3	9	7	5	8	4	10	18	14	20	8	23	14	10	10	29	30	19	30	37	26	24	28	13	29	33	35	39	34	31	38	45	52	46	35	49	41	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1
11000	-133.057364430426873	-131.595282345908004	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.983657824336492	0	1	3	3	4	5	5	6	5	7	5	6	6	8	7	8	8	8	8	9	8	9	8	10	9	9	10	9	11	10	11	11	11	12	13	12	12	13	13	14	15	16	12	14	14	14	16	16	16	16	18	18	21	0	1	2	1	2	3	5	7	3	9	4	11	3	10	8	5	10	8	12	10	11	15	12	16	18	23	14	18	30	21	19	28	28	26	20	20	29	37	24	32	34	40	27	43	27	24	38	46	45	44	47	50	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
11500	-158.442990181949142	-156.980908097430273	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.798866502353426	0	2	1	4	3	6	5	5	6	8	6	7	8	9	7	7	8	7	9	7	7	11	9	9	9	9	10	10	10	11	11	11	12	11	12	12	12	12	14	11	15	16	12	11	12	14	16	19	16	15	18	18	21	0	3	1	5	3	7	5	5	5	16	4	8	12	16	3	9	20	4	20	4	9	29	10	16	21	8	17	16	19	14	25	23	44	19	44	27	27	44	33	25	30	39	32	24	24	33	36	49	50	39	49	42	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1
12000	-150.201452282325931	-148.739370197807062	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.766201354178148	0	1	3	3	4	6	5	5	7	7	4	6	6	7	7	6	7	8	8	8	7	9	9	10	10	10	9	9	10	10	11	12	12	13	12	11	12	12	15	14	13	16	13	15	13	15	16	18	15	17	18	19	21	0	1	2	2	4	5	11	11	11	11	3	7	5	12	13	5	12	6	7	5	12	18	14	19	9	20	15	17	13	12	30	24	30	33	26	28	24	25	34	33	31	25	22	41	22	37	14	39	22	39	42	48	52	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	1	4	1	2	1	1	1	1
12500	-134.083485241643643	-132.621403157124774	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.976360866147056	0	2	2	3	4	4	5	5	6	7	5	4	8	8	5	7	7	7	9	9	8	11	8	9	10	9	9	8	10	11	11	11	14	13	11	11	13	12	13	14	14	15	13	12	14	13	12	19	15	17	19	18	21	0	1	1	2	3	4	4	5	7	5	2	2	16	11	5	8	7	8	16	18	10	19	10	18	24	10	17	17	14	26	26	19	44	31	19	29	32	22	31	28	47	36	31	36	34	32	20	50	34	40	42	40	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1
13000	-162.276412654615598	-160.814330570096729	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.756057405663828	0	1	2	3	4	6	5	4	6	7	6	7	8	8	7	8	7	7	9	8	6	10	9	7	10	9	9	10	10	9	10	11	12	12	10	11	12	13	14	14	14	15	14	14	13	14	15	17	17	16	18	17	20	0	1	2	2	1	5	2	3	2	9	4	7	7	17	8	17	5	3	12	8	7	5	16	9	15	15	15	23	23	11	20	28	27	16	14	8	35	26	33	38	38	37	33	28	33	32	41	50	42	42	42	45	48	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	3	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1
13500	-127.916655684403679	-126.454573599884796	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.989235515001817	1	2	2	4	5	5	5	6	6	8	7	4	7	9	8	7	7	8	9	8	8	10	9	9	10	10	9	9	10	10	12	12	13	12	12	12	13	12	15	13	14	14	13	14	14	14	15	16	17	16	17	17	20	0	1	1	1	12	12	2	5	4	9	7	3	9	11	8	9	5	8	16	11	11	13	11	16	28	28	17	21	18	21	26	14	34	24	10	27	32	30	44	38	36	40	38	40	32	22	33	39	47	47	39	48	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14000	-140.829448459687967	-139.367366375169098	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.909501158006228	0	2	3	3	4	5	5	6	4	7	7	4	8	9	6	7	7	6	9	9	8	10	9	9	9	9	10	10	10	11	11	11	13	12	13	11	11	13	14	15	13	15	11	14	14	13	16	15	17	16	18	18	20	0	1	2	1	3	3	4	9	1	5	6	2	10	16	5	18	7	9	10	8	15	13	13	15	16	17	23	21	10	20	22	14	34	43	36	29	25	34	36	45	37	38	26	37	37	43	40	45	44	48	49	50	51	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14500	-142.980566352508788	-141.518484267989919	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.948580546708181	0	1	3	3	4	6	5	5	5	6	6	6	7	8	8	7	8	5	8	8	7	8	9	8	8	9	10	9	10	10	8	11	13	11	11	12	11	12	13	15	12	13	13	11	15	14	16	17	13	17	17	18	20	0	1	1	1	2	9	3	3	3	18	5	8	18	6	13	9	12	4	16	6	9	18	13	6	11	13	26	16	22	17	13	28	41	28	23	35	15	29	44	33	44	44	32	29	43	38	45	47	32	45	42	47	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15000	-130.110227465096415	-128.648145380577546	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.979442655894199	-1	1	2	3	5	4	4	5	6	8	6	7	8	9	8	8	6	6	8	9	7	10	7	8	9	9	7	10	11	11	11	10	13	12	12	12	12	13	13	13	13	15	12	14	14	14	16	17	17	16	17	18	20	0	1	1	2	7	3	3	4	7	9	6	7	18	21	23	8	6	4	27	12	11	15	17	27	27	19	8	15	28	24	26	23	31	32	25	14	31	35	43	36	37	33	22	40	33	36	38	44	50	42	42	51	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
