step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
5000	-294.373286298793573	-292.142980336199344	-2.230305962594238	0.000015479143515	0.000045849217980	2.961999669850257	0.457300134890834	3	5	7	8	5	8	6	9	7	9	10	12	12	12	12	13	12	14	16	16	19	17	18	17	17	24	22	22	27	26	0	1	5	5	1	3	5	7	7	7	5	9	11	4	4	14	4	17	14	13	4	11	20	20	20	25	20	22	26	26	1	1	1	1	1	1	1	2	1	1	3	2	1	2	1	1	2	1	2	2	5	4	1	1	1	4	3	3	1	1
5500	-263.202218271679612	-261.475591083439042	-1.726627188240573	0.000021830122311	0.000036232404013	1.659743518503077	0.627571754600972	4	5	7	7	9	8	7	10	8	11	11	11	13	11	14	14	13	14	16	15	20	18	17	17	18	22	23	23	26	26	0	1	1	1	1	3	1	7	7	8	5	9	11	4	5	5	4	17	14	13	16	11	20	20	20	25	25	22	26	26	1	1	2	1	3	1	1	1	1	1	1	2	1	2	2	2	4	1	2	1	3	3	1	2	2	2	2	3	1	2
6000	-243.960230417332781	-242.439548514588921	-1.520681902743861	0.000034054994192	0.000039340382642	1.155201566621568	0.708266183248490	3	6	6	6	8	7	7	9	8	11	11	13	13	11	13	14	14	15	16	16	19	18	18	18	18	23	21	24	26	26	0	1	1	1	1	3	3	7	7	8	5	9	11	4	5	14	5	17	14	13	16	13	20	20	20	27	25	22	26	26	1	2	2	1	2	1	1	1	1	1	1	2	1	2	2	1	2	1	2	1	2	2	1	1	1	1	2	3	2	1
6500	-215.562047466045840	-213.944228144081507	-1.617819321964328	0.000125266855575	0.000029130803156	0.232549967207788	0.517252570490913	4	5	8	6	8	9	7	8	9	11	10	13	13	12	14	13	16	13	16	16	20	15	18	18	18	22	22	23	26	27	0	1	1	1	1	1	1	7	3	8	5	9	11	3	5	3	18	5	14	13	16	15	20	20	20	20	20	22	26	27	1	1	3	1	2	3	2	1	1	1	1	2	1	1	3	3	3	2	2	2	3	1	1	1	1	3	3	3	2	1
7000	-222.969712645045576	-221.138531606419065	-1.831181038626502	0.000261090585307	0.000044256295743	0.169505521202104	0.601034502556405	4	5	5	8	7	9	8	9	9	10	11	13	12	12	13	12	15	13	16	16	19	15	16	17	17	22	23	22	24	26	0	1	1	1	2	4	5	7	7	7	6	8	5	5	5	4	11	16	17	13	25	11	13	23	13	20	23	15	28	27	1	1	1	2	1	1	1	1	1	1	1	2	2	2	2	2	4	1	1	2	1	2	2	1	3	4	4	4	1	2
7500	-261.824552111042578	-259.827256881467576	-1.997295229575012	0.000316089217394	0.000043957535615	0.139066862125489	0.477554443037858	3	5	6	7	8	8	9	9	8	10	12	12	11	11	14	14	14	15	17	15	19	18	17	17	19	21	22	23	24	27	0	1	1	1	2	3	4	9	4	5	5	7	3	4	13	3	11	5	11	4	24	16	20	16	13	21	24	21	21	27	1	1	2	2	3	1	1	1	1	1	2	1	3	1	1	4	1	4	2	3	1	2	1	2	5	1	2	2	2	2
8000	-235.397628934456208	-233.483481509970176	-1.914147424486036	0.000287022846762	0.000043908388274	0.152978721969859	0.401853450857068	4	5	8	8	6	8	10	9	8	11	10	13	12	10	12	11	13	14	17	16	20	17	16	15	18	24	22	23	26	26	0	1	5	5	1	1	9	9	5	8	3	16	5	6	11	5	6	3	11	11	13	6	16	6	6	23	22	19	27	20	1	1	1	1	1	3	1	1	1	2	1	1	4	1	1	3	2	3	3	3	5	4	3	3	5	6	2	3	2	6
8500	-238.841427263484434	-237.152561011935461	-1.688866251548971	0.000233476005750	0.000048332477496	0.207012610742793	0.469330419463791	4	5	8	8	7	7	10	8	6	10	11	11	13	11	12	12	15	14	13	16	18	17	18	17	18	23	22	23	26	27	0	1	1	1	1	1	4	9	1	8	1	9	14	3	5	3	3	14	1	16	16	17	13	13	13	24	20	22	20	26	1	1	2	3	1	1	1	1	1	2	5	2	1	1	2	2	6	2	4	2	3	1	2	2	2	3	2	4	4	1
9000	-236.235215958626497	-234.569727700627709	-1.665488257998794	0.000207033023731	0.000044462562462	0.214760725899846	0.394695252480428	4	6	8	8	8	8	9	9	9	11	10	13	13	11	14	13	15	14	16	16	20	16	17	17	18	22	22	22	25	26	0	1	1	1	1	1	5	4	3	8	6	5	5	6	5	6	5	6	11	11	17	5	13	16	6	13	13	21	27	27	1	1	3	2	2	2	1	1	1	2	1	3	4	1	3	3	3	2	3	4	3	3	2	2	7	4	4	1	1	3
9500	-235.622849675700650	-234.018870092624610	-1.603979583076046	0.000270286031141	0.000064411686762	0.238309343957505	0.541890952730339	3	5	5	7	7	7	9	10	8	10	11	13	11	11	13	12	15	14	16	16	18	18	18	17	18	22	22	24	25	26	0	1	1	1	3	3	9	1	2	9	3	5	5	8	11	13	11	13	14	11	20	13	13	5	8	24	24	25	24	29	1	2	1	3	1	1	1	3	2	1	2	3	2	1	1	1	2	1	2	4	1	4	3	3	3	3	2	2	2	1
10000	-237.444210338453018	-235.717021560377049	-1.727188778075957	0.000393957605254	0.000076996488224	0.195443588846219	0.457161857096349	3	4	7	8	7	9	9	9	8	10	10	12	12	12	12	12	15	15	15	15	18	17	17	18	19	23	22	23	26	26	0	1	1	1	2	3	5	4	1	9	5	7	11	9	4	11	13	1	11	13	3	13	13	23	22	23	24	21	22	27	1	1	1	2	1	1	1	1	2	1	2	1	1	2	2	1	2	8	4	2	4	3	2	1	1	3	4	2	5	2
10500	-234.070294798509707	-232.266182672126035	-1.804112126383674	0.000359476851531	0.000063129191737	0.175614066576316	0.382515503498163	4	5	6	7	8	8	10	9	8	11	10	11	12	11	13	13	15	14	16	15	19	17	17	17	18	22	22	23	27	25	0	1	1	1	2	4	4	1	3	8	5	3	5	6	5	13	3	3	20	11	22	14	14	15	15	13	18	11	18	27	1	1	1	1	1	1	2	2	2	1	1	2	2	2	3	1	5	4	1	3	1	3	5	2	2	4	3	7	4	2
11000	-232.114368105268284	-230.113262438421430	-2.001105666846861	0.000363804355324	0.000050380310752	0.138481879105077	0.341456804416834	4	5	8	6	9	9	10	7	9	10	12	12	11	11	13	14	15	14	15	16	19	17	17	18	18	23	21	24	26	26	0	1	1	1	4	1	3	1	8	8	3	13	1	6	13	3	3	6	3	16	24	11	17	16	6	20	20	11	26	26	1	1	2	1	2	3	1	1	1	2	1	1	3	1	2	2	4	2	3	1	1	2	1	2	4	3	4	6	2	2
11500	-227.052254915093471	-225.293437319865660	-1.758817595227802	0.000349576481442	0.000065300994638	0.186800308673505	0.554140610374020	4	5	7	8	6	9	9	9	8	11	12	13	12	11	13	14	15	15	17	16	18	17	16	18	19	24	22	23	27	26	0	1	2	5	1	3	5	9	1	8	3	8	3	4	8	15	1	16	4	11	16	15	11	22	21	27	25	19	26	23	1	1	1	1	1	1	2	1	1	2	2	3	2	1	2	1	5	1	5	2	3	2	2	1	1	1	2	3	2	6
12000	-221.548068815492485	-219.632406401876324	-1.915662413616162	0.000318959514710	0.000048706319401	0.152703766950267	0.586431113661403	3	5	7	6	7	9	8	10	9	11	12	12	11	12	14	14	16	14	16	16	20	17	17	15	17	23	21	24	27	27	0	1	1	1	1	3	4	4	7	8	5	9	5	3	6	13	18	14	11	15	12	16	24	13	15	27	24	21	27	27	1	1	2	2	2	1	1	2	1	1	2	2	2	2	3	2	1	1	2	1	4	1	1	3	1	1	3	3	2	2
12500	-232.578059748709535	-230.847111023670635	-1.730948725038886	0.000254207488451	0.000049411870180	0.194376139276225	0.637811497477014	4	6	8	8	8	8	9	7	9	11	11	13	13	10	13	13	15	14	14	14	19	17	16	18	19	24	22	23	24	26	0	1	1	1	2	1	3	1	8	8	4	9	10	4	4	11	14	5	5	13	15	13	15	13	23	24	23	25	23	29	1	2	3	1	1	2	1	2	1	2	1	2	1	2	3	1	2	2	2	1	3	2	2	2	2	3	3	2	3	2
13000	-228.351859411821863	-226.726261901766634	-1.625597510055235	0.000356183687167	0.000081723017325	0.229440651745607	0.509696003517435	3	5	6	7	9	8	10	8	9	10	11	12	13	12	13	13	16	14	16	15	19	17	16	18	17	23	21	21	27	26	0	1	1	3	8	3	9	3	8	8	5	9	11	4	6	9	14	15	14	13	24	16	14	5	11	23	20	13	23	27	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	2	2	1	2	1	1	2	2	3	2	2	4	4	5	2
13500	-254.691161705166650	-252.503857253299714	-2.187304451866925	0.000395564104001	0.000045183258378	0.114224870054361	0.432025977319202	3	6	7	6	7	9	9	10	8	10	11	13	11	12	13	13	15	15	17	17	18	17	18	15	17	23	22	22	27	26	0	1	4	1	4	1	3	6	1	9	9	3	3	3	8	11	15	13	15	11	6	11	15	13	11	17	22	25	21	21	1	1	1	1	1	4	1	1	3	1	1	2	3	2	2	1	2	1	2	5	4	3	3	2	3	3	3	3	3	4
14000	-248.028884347162716	-246.300624516047634	-1.728259831115082	0.000327491385048	0.000063906133318	0.195138364658586	0.341255855619830	3	5	8	7	8	7	9	10	8	10	11	11	12	11	12	13	13	14	16	16	19	18	17	18	18	24	22	23	26	26	0	1	1	2	2	2	4	1	1	9	5	3	1	9	14	11	15	6	14	18	13	19	4	20	18	24	23	22	27	26	1	1	2	1	1	1	2	4	2	2	1	1	5	2	1	1	1	3	2	2	4	1	5	2	2	3	3	4	2	1
14500	-235.664197684542671	-233.957124604171838	-1.707073080370834	0.000264752886365	0.000053308889565	0.201353383891338	0.605635460415458	4	6	8	8	8	9	8	10	7	11	12	11	13	11	13	13	15	13	16	15	17	18	17	17	18	22	20	21	25	26	0	1	1	1	2	5	9	4	1	8	3	7	5	4	11	11	18	11	3	12	3	17	20	13	13	27	21	19	27	26	1	1	2	2	1	1	1	1	1	1	3	2	4	1	1	1	1	1	4	2	4	2	1	2	2	1	2	2	3	3
15000	-232.410330397753370	-230.585795282664947	-1.824535115088428	0.000439548019798	0.000075149008183	0.170968824333599	0.501360020580870	3	5	6	7	7	8	8	8	9	11	10	11	11	12	14	13	15	12	15	16	20	18	17	17	18	22	22	24	25	26	0	1	2	3	2	3	5	5	3	8	5	9	5	13	3	11	15	5	13	11	20	19	15	16	16	23	24	21	24	27	1	1	1	1	1	1	1	1	1	2	2	1	2	1	4	1	1	3	2	3	2	2	2	1	2	2	3	2	4	3
15500	-219.221450058235746	-217.453239610041720	-1.768210448194032	0.000322467319790	0.000059454026479	0.184372253653936	0.483249430642965	4	6	8	7	8	7	7	9	9	10	12	13	12	10	14	12	16	12	16	16	20	18	18	17	19	23	22	23	26	25	0	1	7	1	7	1	1	4	6	8	3	8	1	5	11	3	15	4	11	5	22	11	16	19	23	20	25	11	23	28	1	1	1	2	1	2	2	1	1	1	2	2	3	1	1	2	1	3	3	3	1	3	2	1	1	4	1	5	5	1
16000	-259.713461855155913	-257.667206331526813	-2.046255523629078	0.000450493201746	0.000059400542358	0.131856689796729	0.428308835002295	2	6	7	7	8	9	9	9	8	9	12	12	13	11	13	12	15	13	16	16	20	17	18	16	17	22	22	23	26	26	0	1	1	2	2	3	1	4	3	4	2	9	5	6	5	2	12	4	6	13	19	13	19	7	16	25	11	13	20	24	1	1	1	1	1	1	5	1	1	1	4	2	1	1	2	3	1	2	4	1	1	2	1	3	2	3	5	6	7	3
16500	-255.593411330852575	-253.576345044502517	-2.017066286350047	0.000261960294738	0.000035646653737	0.136076552258192	0.512182584457034	3	6	7	7	9	8	8	9	8	11	11	12	12	12	12	13	14	13	17	16	19	17	17	17	19	21	23	23	24	26	0	1	1	1	1	4	2	2	1	8	6	11	4	3	1	4	5	6	11	11	20	16	16	14	17	23	23	14	25	26	1	1	2	3	3	1	1	2	3	1	2	1	3	3	4	3	2	1	3	2	1	2	2	2	3	2	4	4	2	2
17000	-236.621321076215679	-234.731536658946396	-1.889784417269278	0.000358999219676	0.000056550783471	0.157523416130064	0.475110416474414	4	5	7	7	7	8	8	9	9	11	11	11	12	12	13	13	15	14	16	16	19	16	18	17	18	23	22	23	26	26	0	1	1	1	2	3	1	5	4	8	6	9	5	3	5	13	13	14	11	13	22	3	14	20	4	24	20	11	28	14	1	1	1	2	1	1	1	1	1	1	1	1	3	2	2	1	1	1	2	2	1	4	3	1	4	3	4	6	1	3
17500	-236.892488150262125	-235.268347114965479	-1.624141035296635	0.000295409953976	0.000067949074511	0.230016198155074	0.416245717881358	3	6	8	6	8	9	7	10	9	10	12	12	12	11	13	13	15	14	15	17	18	18	18	16	19	22	23	23	27	26	0	1	7	1	2	7	1	4	7	7	5	6	3	4	6	7	13	14	15	16	14	24	16	13	24	16	25	19	27	26	1	1	1	2	1	2	1	2	1	2	2	1	3	2	2	3	2	2	1	2	4	1	3	2	1	4	2	4	2	2
18000	-222.932498303487165	-220.814487597435402	-2.118010706051763	0.000436785072777	0.000053447558541	0.122365808430414	0.459273896941274	3	6	7	8	8	9	9	9	7	10	11	12	12	11	13	14	15	13	15	16	19	18	17	17	17	22	23	23	26	25	0	1	2	9	2	9	9	9	1	8	6	7	1	2	11	11	11	3	2	18	24	23	18	11	17	16	25	21	23	27	1	2	1	1	1	1	1	1	2	1	1	1	5	2	1	2	2	3	4	2	1	1	2	3	1	6	3	2	3	1
18500	-225.878998162946061	-224.172250127870456	-1.706748035075608	0.000279895466289	0.000056385429670	0.201451743457438	0.554791166307770	3	5	8	6	9	9	7	10	8	11	11	12	12	11	13	14	15	15	17	17	20	16	17	16	18	24	22	21	26	27	0	1	4	1	7	4	1	7	7	8	5	9	11	6	11	11	15	3	1	13	16	6	13	18	24	27	20	13	20	26	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	1	3	7	2	2	4	2	1	2	1	3	4	4	2
19000	-222.639113260970873	-221.034115275858113	-1.604997985112760	0.000192266971242	0.000045735537180	0.237875163293700	0.511409680194499	3	5	8	8	7	7	10	8	9	10	11	13	13	10	14	14	15	14	16	15	19	18	17	17	17	23	22	23	26	26	0	1	5	1	1	1	8	5	6	8	3	9	11	4	1	11	18	11	14	11	3	5	20	20	20	20	13	11	24	27	1	1	1	2	2	2	1	1	1	1	2	2	1	1	5	1	1	2	2	2	6	7	1	1	1	4	4	6	5	2
19500	-228.983623778374863	-227.396019327597344	-1.587604450777510	0.000262702785786	0.000064502351359	0.245533564348928	0.498719592366350	4	6	7	8	8	8	8	9	9	10	11	12	13	12	12	13	15	14	16	16	19	16	17	17	18	24	23	23	25	25	0	1	1	1	2	2	3	2	7	3	5	9	11	4	11	15	15	15	15	11	16	3	22	13	14	25	20	21	25	27	1	1	3	1	1	1	1	2	1	2	2	2	1	3	1	1	2	1	3	2	3	3	1	3	3	4	3	1	4	1
20000	-231.004940067661664	-229.281508474820953	-1.723431592840723	0.000352602924229	0.000069294105314	0.196521641064523	0.553463525431407	4	5	6	7	8	8	10	10	9	11	11	12	13	12	13	13	14	13	16	16	19	16	18	17	18	23	22	23	27	24	0	1	1	1	2	3	4	9	4	7	5	9	3	4	3	5	11	4	13	18	3	14	16	17	19	20	25	18	30	25	1	1	1	2	1	1	1	1	1	1	2	1	5	2	3	2	2	3	2	1	5	2	2	2	1	2	2	5	1	2
20500	-218.282203322309698	-216.281196550635428	-2.001006771674259	0.000375883333073	0.000052058717165	0.138497008472078	0.518030459965733	3	5	7	8	7	7	10	9	8	10	11	12	11	10	13	13	15	14	16	17	20	18	17	17	19	23	22	23	25	27	0	1	2	6	2	1	5	6	1	9	3	7	4	3	13	13	16	3	15	18	20	1	13	13	18	23	24	5	27	27	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	3	1	2	2	8	2	4	2	2	2	7	1	2
21000	-248.674675206648885	-246.752365284494687	-1.922309922154208	0.000330926338163	0.000050137827857	0.151507517156163	0.464836358724817	4	6	7	6	8	8	10	10	9	9	12	12	13	10	13	14	16	14	14	16	20	18	15	18	18	23	22	23	26	27	0	1	1	1	1	1	6	4	6	2	5	9	11	6	5	1	4	11	11	14	20	17	13	13	15	25	20	4	11	21	1	1	1	1	2	3	1	2	1	1	2	2	1	1	2	4	4	1	1	3	3	1	1	2	2	2	4	8	8	4
21500	-243.272736697074947	-241.233040267340755	-2.039696429734197	0.000367276055950	0.000048768936655	0.132785505248510	0.463686893907424	3	5	6	5	8	9	8	9	7	10	11	10	13	11	13	13	15	14	16	16	19	17	18	17	17	23	21	21	27	27	0	1	2	1	4	5	3	7	3	8	5	7	4	3	14	11	5	4	11	14	25	6	19	3	14	27	23	11	22	27	1	1	1	1	1	1	1	1	1	1	3	1	5	3	1	1	4	6	3	2	1	3	1	6	3	1	1	5	6	3
22000	-220.620093017868811	-219.115738096118832	-1.504354921749989	0.000367916792308	0.000107302157771	0.291647894346554	0.556670560611869	4	5	7	7	7	9	9	8	9	10	10	11	12	12	12	14	15	13	16	16	19	18	18	17	19	24	21	21	26	27	0	1	2	1	2	3	4	5	5	8	6	7	5	5	11	11	16	1	13	11	6	19	19	11	19	27	21	22	27	27	1	1	1	2	1	1	1	1	1	1	1	1	3	2	1	1	1	4	2	4	6	1	1	3	2	2	1	3	2	2
22500	-238.646495169598182	-236.875919475203403	-1.770575694394768	0.000424879120029	0.000078080124568	0.183770208719384	0.474769542395233	3	5	6	8	5	8	9	9	8	10	11	12	12	11	14	13	15	14	16	15	18	17	18	17	18	24	22	23	26	26	0	1	1	5	1	1	3	1	1	9	7	3	8	6	9	2	4	14	13	15	11	18	17	11	6	27	21	21	20	28	1	1	2	1	1	2	1	2	3	1	1	2	1	2	2	3	4	2	1	1	3	2	1	2	5	1	1	2	7	2
23000	-245.204313222036291	-242.969626793000032	-2.234686429036262	0.000346848912487	0.000037859335808	0.109152240198888	0.345863246634029	3	6	7	8	8	8	10	10	7	10	12	11	11	10	13	13	16	14	14	17	20	15	17	18	18	23	22	23	26	24	0	1	2	2	3	2	4	4	1	9	1	7	9	4	6	5	15	4	2	16	20	13	4	19	4	19	23	19	24	24	1	2	1	1	1	1	1	1	2	1	4	1	2	1	3	2	1	2	3	3	1	2	3	2	3	4	2	4	4	3
23500	-222.868320093596935	-220.883316102751877	-1.985003990845069	0.000344270829040	0.000048536315898	0.140982946575870	0.576940992592021	3	4	7	7	7	8	10	9	8	11	10	12	12	11	13	14	15	13	16	16	18	18	16	18	17	23	22	23	27	26	0	1	1	1	1	4	5	9	4	8	2	9	1	4	14	14	18	11	15	16	11	19	16	16	20	23	25	14	28	27	1	1	2	2	3	1	2	1	1	1	2	2	4	2	2	2	1	1	1	1	3	1	1	2	1	3	3	4	2	2
24000	-225.076321139818077	-223.504073049035725	-1.572248090782360	0.000360212384369	0.000091046888673	0.252758907309607	0.571679392622243	4	6	6	8	9	7	9	10	9	11	11	13	12	11	13	12	15	13	17	15	19	18	17	17	19	23	20	23	24	26	0	1	1	3	6	3	1	4	1	8	5	10	14	3	10	2	16	5	11	5	9	11	13	13	11	27	23	21	27	29	1	1	1	1	1	1	2	1	3	1	1	1	1	2	1	3	2	3	3	3	4	4	3	2	5	2	1	2	2	1
24500	-263.896186542112559	-262.192458879307310	-1.703727662805250	0.000335253562438	0.000067845346034	0.202370246390264	0.368838248286023	3	6	6	6	8	7	9	9	7	10	11	12	13	11	13	11	13	15	17	16	19	18	17	16	18	23	22	21	25	27	0	1	1	1	2	4	1	9	3	9	5	2	16	7	11	4	5	4	11	17	16	11	13	11	17	20	25	11	18	20	1	2	1	2	1	1	3	1	1	2	3	3	1	1	1	2	2	5	3	2	4	3	1	2	4	6	2	5	5	5
25000	-246.664628611110430	-244.956282489172906	-1.708346121937512	0.000472196779771	0.000094896944445	0.200969063132807	0.422128773502660	4	6	8	7	7	9	6	10	6	10	11	13	13	11	13	14	16	13	16	15	20	18	16	18	18	23	21	23	26	26	0	1	9	7	2	3	1	5	1	4	6	3	6	1	4	7	13	6	6	8	12	19	14	19	13	23	17	23	17	13	1	1	1	1	1	1	1	2	2	2	1	2	2	3	3	3	2	2	2	2	3	1	2	1	4	3	2	4	5	4
25500	-211.379743534273189	-209.588927767369199	-1.790815766903978	0.000289765939286	0.000051800156688	0.178765512660750	0.557312273793093	4	6	7	8	9	9	10	9	9	11	11	13	13	11	13	13	15	15	16	16	19	17	18	18	18	23	22	24	25	25	0	1	1	1	1	1	8	4	3	5	1	9	1	4	6	6	15	11	3	15	16	19	20	19	19	24	25	21	27	26	1	1	2	2	2	2	1	1	1	1	3	2	5	1	2	1	1	2	5	2	4	1	1	1	1	3	1	3	1	1
