step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64
5000	-189.921424844287884	-188.449152094008014	-1.472272750279869	0.000010605984279	0.000003349427812	0.315805466372237	0.942354085729773	1	3	4	4	3	2	5	6	6	6	5	6	4	8	5	8	8	7	8	6	5	6	7	9	8	8	9	9	10	9	8	9	10	9	10	9	9	8	11	10	10	13	11	13	13	12	13	12	14	15	13	13	15	15	18	16	18	19	20	19	20	22	20	22	0	6	6	6	6	1	2	11	3	13	2	11	5	10	6	20	9	9	8	4	3	2	11	31	21	20	31	18	28	9	7	18	24	21	32	26	18	11	26	28	32	48	25	43	43	41	46	36	48	52	37	34	40	46	56	53	54	45	57	49	60	63	55	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1
5500	-180.803146405331461	-179.321879905591516	-1.481266499739942	0.000010116375347	0.000003121068981	0.308516526278686	0.952866102761729	1	2	4	5	3	3	5	5	6	6	6	5	5	9	7	8	8	8	9	7	7	6	6	8	9	7	8	9	11	9	10	9	9	7	11	8	10	10	10	12	10	13	13	13	13	12	14	11	12	15	14	15	16	15	18	15	19	18	20	19	20	23	22	22	0	1	6	6	1	2	1	3	5	8	7	3	5	11	12	3	9	8	16	10	4	3	13	22	21	8	20	15	28	9	27	21	26	4	32	12	20	24	18	25	12	29	48	39	39	35	19	19	38	40	42	43	54	51	53	47	54	43	55	55	57	63	61	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
6000	-164.183569234120540	-162.127336479664393	-2.056232754456151	0.000008007500782	0.000001044695746	0.130464644947443	0.995516810788932	1	3	4	3	3	2	5	6	6	6	5	5	5	9	6	8	8	7	9	8	8	5	6	10	8	7	7	8	12	8	9	7	9	8	10	8	8	10	10	11	11	14	13	12	14	12	13	12	12	13	14	13	15	16	17	17	18	19	21	18	20	23	23	24	0	6	5	1	1	1	4	12	11	12	3	5	2	32	3	9	26	13	20	23	9	3	3	17	11	5	11	26	14	26	20	11	3	9	20	18	18	30	19	24	19	49	39	24	46	30	41	28	38	41	29	19	52	52	51	52	54	54	58	56	58	59	61	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-169.871384120245494	-168.117783139769614	-1.753600980475867	0.000006438028099	0.000001211476876	0.188175145728146	0.931938190749245	0	2	3	4	2	2	5	4	5	5	5	6	5	8	6	8	8	6	7	8	6	7	7	9	8	8	7	8	12	10	9	9	10	9	11	9	9	8	10	11	11	13	12	13	13	11	12	13	12	15	15	12	16	15	18	18	19	18	19	21	20	22	22	23	0	1	6	6	1	1	5	2	5	3	3	4	5	18	8	15	18	4	15	15	11	8	11	12	15	15	7	21	31	26	25	23	23	23	31	23	38	19	17	37	16	40	40	46	37	34	33	43	16	42	52	31	50	45	53	53	53	53	45	56	58	56	61	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	1	2	1	2
7000	-158.825095917805328	-157.464191867581690	-1.360904050223625	0.000005866875516	0.000003293088192	0.561301869065967	0.962070479639323	1	3	3	4	3	2	5	6	5	5	6	5	3	8	6	8	8	7	8	8	8	6	7	10	7	6	8	8	12	10	10	9	9	9	10	9	9	10	10	11	11	14	13	12	12	10	12	14	12	15	13	15	16	16	17	18	18	18	21	20	21	23	22	23	0	6	1	2	6	1	4	3	2	2	5	2	6	4	12	8	11	12	8	26	26	10	9	28	10	4	11	22	24	16	18	18	18	14	19	23	19	27	21	46	24	47	36	41	39	15	31	51	35	41	46	51	48	45	54	54	55	53	53	58	57	61	60	61	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-174.713582605101209	-173.164439449123591	-1.549143155977617	0.000002077595590	0.000002549330076	1.227057897397731	0.927739333861379	1	3	3	5	3	3	5	5	6	5	6	5	4	8	5	8	8	7	8	9	6	7	6	10	9	7	8	9	12	9	9	9	10	8	10	9	8	8	9	11	11	14	13	12	12	12	13	14	13	15	14	14	15	16	16	18	16	19	20	19	20	22	24	20	0	1	1	2	1	1	2	2	2	6	8	5	1	23	2	9	22	8	10	17	7	8	10	32	9	12	7	4	16	17	21	38	18	15	19	34	11	22	18	20	39	44	41	35	38	35	35	45	41	47	49	29	51	49	42	50	51	54	54	57	60	64	62	57	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-156.734249000507305	-155.061048751171882	-1.673200249335429	0.000002283074084	0.000003493926286	1.530360451824734	0.904034600349957	-1	3	3	4	3	1	5	5	7	5	6	5	5	7	5	8	9	7	9	9	7	6	8	10	8	7	8	8	12	9	10	9	9	9	10	9	10	10	9	11	11	13	12	13	13	11	13	12	13	15	14	14	14	15	16	17	18	16	20	20	20	22	23	23	0	6	6	3	6	1	3	2	7	4	7	2	3	22	3	14	14	7	9	27	4	3	14	25	11	7	11	26	35	14	21	8	26	16	16	9	14	39	25	30	9	43	36	19	43	36	48	32	40	44	43	44	48	47	53	50	56	52	57	58	55	59	59	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-167.651891290441313	-166.286983247143525	-1.364908043297775	0.000001882388660	0.000001200696130	0.637857715297121	0.981491873927454	0	3	4	4	2	2	6	7	6	5	5	5	6	8	7	8	8	6	9	9	7	6	7	7	8	7	8	8	11	9	9	9	9	9	11	9	9	10	11	11	10	13	12	13	13	13	14	13	14	14	14	15	15	15	18	16	17	18	19	18	20	23	23	22	0	6	6	5	1	1	11	13	4	6	2	4	3	8	3	12	13	12	25	15	4	10	9	11	26	7	13	22	15	24	26	7	9	17	37	22	28	21	14	36	26	19	16	38	41	40	43	40	43	45	41	45	39	47	53	43	54	56	57	57	59	64	61	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1
9000	-156.208757257268473	-154.774687271903872	-1.434069985364602	0.000000088852087	0.000000081685377	0.919341124096007	0.963633138320724	1	2	3	4	3	3	4	7	6	5	5	6	5	7	7	8	7	7	8	8	5	6	6	8	8	8	8	7	12	7	9	9	9	9	10	9	8	9	10	12	11	13	11	14	13	12	13	13	13	13	14	14	15	15	14	17	19	19	20	18	20	22	24	22	0	1	1	3	2	1	5	13	4	3	4	11	3	10	22	10	13	10	14	9	5	7	5	12	12	23	28	12	41	23	18	28	18	24	36	23	9	16	15	31	34	41	39	46	43	32	46	43	29	43	43	40	50	45	48	54	56	56	60	56	57	61	62	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-182.070367825738742	-180.705261906087600	-1.365105919651148	0.000001317749965	0.000000668886223	0.507597222860673	0.840145070464045	1	2	3	4	3	3	5	6	6	5	5	5	4	7	6	7	8	7	9	9	6	6	8	9	8	8	8	8	11	10	10	8	9	10	10	9	8	9	9	12	10	13	13	12	12	11	14	12	13	15	14	13	15	13	18	17	19	18	20	20	20	22	24	22	0	1	1	3	1	1	5	10	13	6	3	5	3	21	6	22	18	10	7	23	11	4	14	16	8	11	9	15	24	25	16	16	25	23	20	14	4	23	18	36	26	40	45	39	33	36	33	30	33	29	42	30	45	35	50	37	50	56	56	56	58	60	62	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	4	2	1	1	1	1	1	1	1
10000	-171.169637921760085	-169.388568105045209	-1.781069816714874	0.000002708745399	0.000000490670460	0.181143071128077	0.839057260127557	1	3	4	4	2	2	4	6	6	5	6	6	5	8	6	7	8	8	9	8	8	6	8	8	8	8	8	7	10	9	9	10	10	9	9	9	9	10	9	11	11	13	12	13	10	13	14	14	13	15	14	14	15	15	18	17	19	17	21	19	20	22	22	22	0	1	5	5	1	1	6	6	6	2	4	4	4	11	4	12	22	12	20	15	28	5	12	28	15	11	10	10	20	14	28	18	21	20	18	24	21	23	27	30	31	25	33	32	21	41	46	44	41	51	44	46	46	46	47	46	56	26	57	56	55	61	61	61	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	5	1	1	1	1	1	1
10500	-167.489807739020137	-164.620963603039542	-2.868844135980594	0.000000290847512	0.000001452638916	4.994503505613235	0.861628489354560	1	2	3	5	3	3	4	7	6	5	5	6	6	8	6	8	7	7	7	9	8	7	8	7	9	7	9	7	11	10	9	9	9	8	9	10	10	10	11	11	11	13	12	14	13	13	12	13	13	14	15	14	15	16	17	17	18	17	20	20	20	22	22	23	0	1	1	2	1	1	6	7	4	6	3	5	5	19	6	15	3	12	6	23	9	10	24	2	15	9	24	10	35	32	8	17	18	12	21	16	16	34	8	31	34	41	32	45	40	29	38	29	40	43	43	43	49	51	53	42	53	54	54	57	56	59	59	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1
11000	-171.315681931739675	-169.292931436501846	-2.022750495237842	0.000000060674304	0.000000145655847	2.400618349712879	0.868542019738638	1	3	4	4	2	3	6	6	6	6	5	5	5	8	7	7	8	7	7	7	6	5	7	9	9	7	7	8	12	10	9	9	9	8	10	9	9	10	10	10	11	12	13	12	12	11	13	13	11	13	14	14	15	15	17	15	18	16	20	20	20	22	22	22	0	1	5	5	1	1	12	11	6	12	5	2	2	9	8	12	13	12	5	8	11	6	11	9	7	22	10	10	32	13	23	2	26	16	28	9	18	25	33	28	24	35	40	40	25	40	29	49	37	46	47	48	50	52	54	48	55	50	57	57	55	61	60	57	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
11500	-139.465713277036599	-138.101638341045913	-1.364074935990684	0.000000091696111	0.000000057780266	0.630127768898524	0.987586202302661	1	3	3	3	2	2	5	6	6	5	4	5	5	8	7	8	8	7	8	7	7	6	7	10	9	8	8	7	12	9	10	9	9	10	11	9	10	8	9	11	11	11	12	13	13	12	13	14	13	12	14	14	16	15	17	16	17	19	21	21	19	23	23	23	0	1	1	6	1	1	2	10	10	4	5	4	3	9	7	8	11	22	22	2	11	7	11	19	8	13	23	22	25	9	16	21	20	26	34	20	38	22	15	32	39	25	30	37	35	34	35	46	31	31	43	45	51	44	56	49	54	57	58	61	53	59	60	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12000	-157.251283850213554	-155.826256833890511	-1.425027016323038	0.000000053014840	0.000000047274262	0.891717537439126	0.944274261924746	1	2	4	4	2	3	6	7	6	5	5	5	6	8	6	8	9	8	7	8	7	6	7	8	8	8	8	8	10	10	8	9	10	9	10	10	9	7	10	10	10	14	11	12	12	12	14	13	11	14	12	14	14	15	17	17	18	18	21	20	18	24	24	23	0	1	1	5	1	1	12	7	11	3	3	6	12	22	3	8	28	9	11	7	11	12	9	8	22	12	7	15	24	31	21	24	16	9	31	25	9	10	27	14	20	48	17	39	35	33	43	51	38	44	33	48	51	48	54	52	54	55	56	57	53	60	64	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
