step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58
5000	-302.182893510120607	-300.654014274533665	-1.528879235586936	0.000012065750491	0.000014190055615	1.176060753553034	0.653189773025169	3	2	2	5	7	4	5	4	6	3	6	5	7	6	8	7	7	7	9	6	8	8	8	7	5	8	8	9	9	9	9	9	9	10	10	10	10	10	10	11	11	11	11	11	12	12	11	12	12	14	12	14	13	13	13	14	15	15	2	0	0	6	8	10	8	3	25	2	7	0	7	8	17	25	9	11	12	12	4	25	11	14	6	16	20	18	18	21	21	16	26	26	28	29	29	29	31	21	18	34	37	29	29	31	29	42	42	44	44	55	46	37	45	28	41	55	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	2	1	1	2	1	2	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	1	1	2	1	1	1	3	1	5	3	2
5500	-295.512761543442593	-294.107547660631496	-1.405213882811069	0.000017978287590	0.000014866049208	0.826889053492606	0.717422940580942	3	2	2	6	6	5	5	4	6	4	6	6	7	7	8	7	7	7	9	7	7	8	8	8	8	8	8	8	9	9	8	8	9	10	11	10	10	11	10	9	9	11	11	11	12	11	12	11	13	14	13	14	13	14	14	13	15	15	2	0	0	10	8	10	8	3	10	2	7	0	11	8	9	9	9	8	12	12	4	9	5	14	16	16	20	18	18	6	21	9	26	26	28	29	41	41	31	21	18	34	37	18	28	31	18	34	42	44	44	45	46	43	45	45	47	56	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	2	3	1	1	1	2	3	1	1	2	2	2	2	1	1	3	2	3	2	1	1	3	2	2	1	2	2	1	3	2
6000	-265.359420827181282	-263.954029487481819	-1.405391339699447	0.000035382039326	0.000013881337100	0.392327219242943	0.646573909822583	3	2	2	6	7	5	5	4	6	4	6	5	7	7	7	7	7	7	9	7	8	7	8	8	8	8	6	9	9	9	9	9	9	10	11	10	9	10	10	11	11	11	11	11	11	12	10	12	13	14	12	13	13	13	14	14	15	15	2	0	0	6	8	10	8	3	6	2	7	0	7	8	9	9	9	8	12	27	6	9	13	14	16	9	12	18	18	21	21	26	26	26	29	29	18	29	31	30	47	34	37	29	29	39	29	42	42	51	44	45	46	43	28	45	29	45	1	1	1	1	2	1	1	2	1	1	1	1	2	3	1	1	1	2	2	1	2	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	2	2	1	2	1	1	2	2	1	2	1	2	3	2	4	3
6500	-273.678541388871622	-272.236462681265834	-1.442078707605809	0.000078684648841	0.000027087366528	0.344252238863469	0.598181985427258	3	2	2	6	6	5	6	4	6	3	5	6	7	9	8	7	7	7	9	7	8	8	8	7	8	8	8	8	9	9	9	9	9	10	10	9	9	11	10	10	10	11	11	11	12	12	12	12	13	14	12	14	13	14	11	14	13	15	2	0	0	10	8	2	11	3	6	2	8	0	11	24	17	4	9	11	12	12	4	9	8	8	16	16	12	18	18	22	21	6	26	32	28	18	18	41	31	2	29	32	37	29	55	40	41	42	42	38	44	45	46	37	29	55	29	45	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	2	2	1	2	2	4	2	1	1	2	1	2	1	1	3	1	1	2	2	1	1	1	5	1	1	2	2	1	2	2	1	1	2	1	2	1	2	2	2	3	2
7000	-301.025856528703059	-299.293597768172617	-1.732258760530468	0.000124746216346	0.000024201621716	0.194006859889176	0.555584839437995	3	2	1	6	7	5	6	6	6	6	5	6	5	8	8	7	7	7	8	7	7	8	6	8	8	8	8	9	10	9	9	9	9	10	11	10	9	11	10	10	10	11	11	11	12	12	12	12	12	14	13	11	13	14	13	14	15	15	2	3	0	13	13	2	11	3	6	6	3	0	3	8	9	9	9	8	20	12	10	9	11	11	16	21	20	18	18	10	2	16	22	32	29	37	18	18	30	22	18	32	37	18	52	39	37	25	42	41	44	41	46	29	35	45	41	52	1	1	1	1	1	1	1	4	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	3	2	4	2	1	1	1	1	2	2	1	2	2	1	2	2	1	1	2	2	1	3	2	1	1	2	2	2	4	2
7500	-286.033329713302578	-284.174211222233680	-1.859118491068887	0.000109342697046	0.000017888012396	0.163595858523195	0.627724570874362	3	2	1	6	7	5	6	5	6	6	6	5	7	9	8	7	7	7	9	7	8	8	8	8	6	8	8	9	9	9	8	9	9	9	11	10	10	11	10	11	11	11	11	11	11	12	12	12	13	13	12	12	13	14	14	14	15	14	2	3	0	6	7	2	8	3	6	6	8	0	11	5	17	25	9	8	12	12	4	17	5	8	6	25	20	18	18	10	4	16	26	26	18	29	29	37	8	4	18	34	29	29	18	39	41	42	42	29	44	29	46	47	38	52	55	45	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	3	1	1	1	2	2	2	2	1	1	1	2	1	1	1	3	2	1	2	2	2	2	2	1	1	2	3	1	2	1	2	2	2	1	2
8000	-305.920643612975709	-304.376428027676241	-1.544215585299460	0.000104997821696	0.000028062199627	0.267264588672567	0.640114669050329	3	2	1	6	6	4	5	6	6	5	5	6	7	7	8	7	7	7	9	7	7	8	8	8	8	8	8	8	8	9	8	6	9	10	11	9	10	11	10	11	10	11	11	11	12	11	12	12	12	14	13	13	13	14	12	14	15	15	2	3	0	10	11	2	3	3	6	6	3	0	7	8	17	32	9	11	12	12	10	10	11	14	32	16	20	18	18	21	7	10	22	16	28	18	18	36	31	1	29	26	36	41	38	39	29	42	42	44	44	28	46	43	35	45	56	41	1	1	1	1	1	1	3	3	1	1	2	1	2	1	1	1	1	2	2	1	2	3	3	1	2	1	1	1	1	1	3	1	1	2	2	2	2	2	2	5	2	1	2	1	1	1	2	1	1	2	2	4	2	2	1	2	1	2
8500	-278.268641701906120	-276.720284603135667	-1.548357098770453	0.000081120765688	0.000021497193156	0.265002345247612	0.685792424850643	3	2	1	6	7	5	5	6	6	4	6	5	7	8	8	7	7	7	9	6	7	8	8	8	8	8	8	9	9	9	9	9	9	10	11	10	10	11	10	9	10	11	11	10	12	11	12	12	13	14	13	12	12	14	13	14	15	15	2	3	0	6	8	10	3	7	6	2	10	0	11	5	17	9	9	7	12	12	6	17	11	8	16	16	20	18	18	21	21	26	25	33	28	29	29	41	30	21	18	34	37	29	29	30	41	42	42	44	47	35	46	43	35	45	45	45	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	3	1	2	1	2	2	1	1	2	1	1	2	2	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	2	1	2	2	1	1	1	2	2	2	3	2
9000	-273.163321673843086	-271.483990166631884	-1.679331507211227	0.000079292497103	0.000016659671477	0.210104008396353	0.574459675845876	3	2	1	5	7	4	6	6	6	6	5	5	7	8	8	7	7	7	8	7	8	8	8	8	8	8	6	9	9	9	8	8	9	10	11	10	10	11	10	11	11	11	11	11	12	11	12	11	13	14	13	13	13	14	14	14	15	15	2	3	0	6	8	2	11	11	6	4	3	0	7	11	9	10	9	11	12	27	10	17	13	5	9	16	12	18	18	21	6	9	26	26	29	18	29	18	31	9	29	26	37	36	28	31	29	34	42	44	44	45	46	43	52	52	47	52	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	2	2	1	2	1	1	1	2	1	1	1	2	1	3	1	1	2	2	2	1	1	2	2	2	2	1	1	2	1	2	1	2	2	2	1	2	2	1	1	1	2
9500	-263.447301927079195	-261.929700334634447	-1.517601592444728	0.000092172375825	0.000026081559713	0.282965036749721	0.722895906114928	3	2	1	6	5	5	6	4	6	6	5	6	7	9	8	7	7	7	9	7	8	8	8	8	8	8	8	9	10	9	9	9	9	10	11	10	10	10	10	11	11	11	11	11	12	12	9	12	13	12	13	14	11	13	14	14	12	13	2	3	0	6	3	2	5	3	6	6	8	0	11	24	17	6	9	7	12	12	10	17	5	8	16	16	12	18	18	21	21	25	26	6	29	28	47	28	31	21	38	34	29	38	29	53	18	42	48	44	44	45	30	29	45	45	38	45	1	1	1	1	2	3	1	2	1	1	1	1	2	1	1	2	1	1	2	1	2	1	2	3	1	1	2	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	2	2	2	2	1
10000	-294.879442611713387	-293.272654543567853	-1.606788068145560	0.000090835879491	0.000021538648038	0.237116084064904	0.692100356155998	3	2	1	5	6	4	6	5	5	3	5	6	4	9	8	7	7	7	9	7	8	8	8	8	8	8	8	9	10	7	9	8	9	10	11	10	10	11	10	11	10	11	11	11	12	10	12	12	12	14	13	14	13	13	13	14	15	15	2	3	0	10	8	10	11	13	10	2	13	0	3	24	17	9	10	7	27	12	6	17	7	5	16	16	20	18	18	6	21	16	26	26	29	13	28	36	21	30	18	21	37	18	28	31	18	42	40	51	44	45	40	29	45	55	36	45	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	2	3	1	1	1	4	1	2	2	1	1	1	1	2	2	1	1	1	2	1	2	1	1	2	4	2	2	1	2	2	1	2	1	1	1	2	2	2	2	1	1	2	2
10500	-290.730809154235942	-288.946192982891148	-1.784616171344791	0.000095086979362	0.000017141436550	0.180271122972468	0.683483513885813	3	2	1	6	4	5	6	5	6	4	5	5	7	8	8	7	7	7	6	7	7	8	7	8	8	8	8	9	9	9	9	9	9	9	11	10	10	10	10	10	11	8	8	11	11	12	12	12	13	14	13	14	13	14	14	13	15	14	2	3	0	10	3	10	11	5	10	1	5	0	11	5	17	6	4	8	12	19	4	17	5	5	9	16	20	18	18	21	21	25	26	16	28	18	43	29	30	21	38	6	18	36	38	40	41	34	48	51	44	45	46	37	45	45	35	45	1	1	1	2	2	1	1	1	2	1	1	1	2	3	1	2	1	2	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	1	2	2	2	1	1	2	1	3	1	1	1	2	1	2	1	1	2	2	1	3	2	1	3	2
11000	-302.125311427184783	-300.409100910517850	-1.716210516666949	0.000126851323329	0.000025196012571	0.198626328129572	0.597152943568260	3	2	1	6	4	4	5	6	5	5	6	6	6	9	8	7	7	7	8	7	8	8	8	8	8	8	8	9	10	8	9	9	9	10	11	10	8	11	10	11	11	11	11	11	9	12	10	12	13	13	12	14	12	14	12	14	15	14	2	3	0	6	3	1	5	3	6	6	7	0	7	8	10	9	6	11	12	12	4	4	5	8	4	9	20	18	18	10	30	25	9	26	45	28	18	18	31	17	18	34	37	29	18	40	18	42	42	44	44	55	30	47	47	55	54	55	1	1	1	2	3	1	1	2	1	1	1	1	1	3	3	2	3	1	2	1	2	2	2	2	1	2	1	1	2	2	1	1	1	2	2	1	1	3	1	1	3	1	2	1	2	1	2	1	2	2	1	1	1	3	2	2	1	2
11500	-305.635848255546534	-304.106453838718210	-1.529394416828313	0.000120544309751	0.000033239433682	0.275744527062349	0.675040138902479	3	2	1	6	5	4	6	5	6	5	6	6	6	9	8	6	6	7	8	7	8	8	8	7	8	7	8	9	10	7	8	9	9	10	11	10	9	11	10	11	8	11	11	11	12	12	10	11	13	14	12	14	13	14	13	14	15	15	2	3	0	10	3	1	5	3	10	6	3	0	8	5	30	10	6	8	20	12	30	17	8	11	16	4	20	18	41	17	30	17	26	25	28	28	11	28	30	21	18	32	11	29	35	14	41	25	42	44	44	45	39	35	45	45	54	55	1	1	1	1	1	1	1	4	1	1	4	1	1	3	1	1	2	2	1	1	1	2	3	1	2	1	1	2	2	1	1	3	2	1	2	1	3	1	3	2	1	2	5	1	1	2	2	2	2	2	1	2	2	2	1	2	1	1
12000	-327.036081553789074	-325.567132137616625	-1.468949416172460	0.000106427425117	0.000033909672914	0.318617808114278	0.557112869941333	3	2	1	6	4	5	6	5	6	3	6	5	5	7	8	7	6	6	9	7	7	8	8	8	6	8	8	9	9	9	9	9	9	10	11	10	9	10	9	11	9	10	11	11	12	12	12	12	12	14	13	13	13	13	14	14	15	14	2	3	0	10	3	5	13	3	8	2	13	0	5	5	17	10	2	8	12	12	4	9	14	14	6	9	20	18	18	10	21	25	4	16	41	28	18	41	22	6	18	32	41	18	37	31	43	34	42	51	44	35	39	41	45	45	44	47	1	1	1	3	2	1	1	3	1	1	1	1	1	3	1	2	3	1	2	2	1	2	1	1	1	2	1	3	1	5	2	1	2	1	2	1	3	1	1	4	3	1	2	3	1	3	1	1	2	1	2	2	3	2	1	2	2	2
12500	-279.408421157535543	-277.758068855335694	-1.650352302199856	0.000101816640270	0.000022409606314	0.220097680049003	0.694725494973366	3	2	1	6	7	5	6	6	6	4	6	6	5	9	8	7	7	7	8	7	8	8	8	8	8	8	8	9	9	9	9	9	9	10	11	10	10	11	10	8	10	11	11	11	12	12	11	12	12	13	13	14	13	13	14	14	14	15	2	3	0	10	8	10	13	13	10	2	13	0	3	8	17	4	4	13	12	12	9	17	7	5	16	16	20	18	18	40	40	9	21	21	29	18	29	28	31	4	29	33	37	29	28	21	41	42	42	44	44	28	39	37	45	45	47	45	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	3	2	2	2	2	2	2
13000	-276.058627851758217	-274.440476234808386	-1.618151616949826	0.000089316851042	0.000020758604077	0.232415315079728	0.738004222966937	3	2	1	6	7	5	3	6	6	4	6	6	5	7	8	7	7	7	8	7	8	8	8	8	8	8	8	9	10	7	9	8	9	10	11	10	9	11	10	11	10	11	11	11	12	11	11	12	12	14	13	14	13	14	14	14	14	15	2	3	0	10	8	10	3	13	10	2	7	0	3	7	9	11	4	11	12	12	30	9	11	14	16	6	20	18	18	4	21	16	26	26	28	28	18	29	31	10	18	34	37	41	29	39	28	42	42	44	44	35	46	43	45	45	47	56	1	1	1	2	1	1	2	1	2	1	3	1	2	2	2	1	1	1	1	1	1	2	2	1	1	3	1	2	3	1	1	1	1	2	2	1	1	1	1	3	2	1	2	1	1	1	2	1	1	2	2	3	2	2	2	2	2	1
13500	-261.394106004549599	-259.919326484302303	-1.474779520247319	0.000093334170241	0.000029281534121	0.313727909570335	0.661469499113759	3	2	1	6	7	5	6	4	6	4	5	5	6	9	8	7	7	7	9	7	8	8	8	8	8	8	6	9	10	9	9	9	9	10	11	10	10	9	10	11	10	11	11	11	11	11	12	12	12	14	11	14	13	13	14	14	14	15	2	3	0	6	13	10	11	3	6	2	8	0	11	5	17	9	9	7	20	27	4	17	11	8	16	16	12	18	28	21	21	25	26	26	28	18	38	18	31	21	18	34	37	29	28	39	29	42	42	36	41	47	46	43	47	45	29	52	1	1	1	1	1	1	1	3	1	2	1	1	1	2	1	1	1	1	2	1	2	1	2	2	1	1	1	2	1	1	1	1	1	2	2	2	1	2	1	2	2	1	1	1	2	1	1	1	1	3	1	2	2	1	2	2	3	1
