step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15
28000	-67.025876820056766	-76.076720200508106	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.943267064232865	0	6	8	5	18	10	14	20	28	39	46	55	63	55	62	0	1	1	1	3	4	6	7	5	9	10	11	14	11	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28500	-80.789704907066138	-89.840548287517478	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.965370289657121	-3	7	5	3	24	13	18	20	24	30	51	47	57	52	70	0	4	1	1	7	3	3	6	7	8	12	9	11	12	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29000	-72.237510704472299	-81.288354084923640	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.940847112683977	0	5	4	11	19	12	18	23	24	40	50	47	61	51	65	0	1	1	2	2	2	4	5	5	8	10	10	14	12	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29500	-71.715422422933216	-80.766265803384556	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.904272133614741	-2	4	6	5	19	13	11	21	25	36	41	62	62	54	67	0	1	1	1	7	2	2	6	6	9	10	14	11	11	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30000	-73.217298894975158	-82.268142275426499	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994174734880435	-1	7	4	9	19	12	15	9	22	33	46	55	61	59	66	0	1	1	2	6	3	2	1	4	9	10	11	12	12	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30500	-80.337956045891730	-89.388799426343070	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.968390444471608	0	4	9	9	19	15	19	26	7	30	47	58	61	52	57	0	1	2	9	9	9	9	7	1	8	10	11	15	11	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31000	-76.600690916813804	-85.651534297265144	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.965099607379722	-4	2	3	8	15	12	13	20	21	33	41	56	54	50	63	0	1	1	2	4	3	2	4	8	8	10	14	14	11	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31500	-70.927071871074332	-79.977915251525673	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989866958740456	-2	5	10	6	19	14	16	9	26	37	44	58	53	52	60	0	1	2	1	3	8	8	2	5	9	10	14	11	11	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32000	-69.335720544063633	-78.386563924514974	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.885760782804850	-4	0	3	1	21	9	15	24	29	39	49	56	63	58	67	0	1	2	1	6	4	4	7	8	9	10	11	14	11	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32500	-75.911711888393000	-84.962555268844341	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.915294605888734	-2	0	5	6	22	7	16	9	30	42	49	51	62	60	75	0	1	2	1	7	2	6	3	5	9	10	10	12	11	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33000	-82.879613167741681	-91.930456548193021	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.764322864323627	-4	6	7	1	23	14	16	14	28	37	51	58	62	55	70	0	4	1	1	7	1	8	2	8	9	10	11	11	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33500	-72.020594097391609	-81.071437477842949	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.952003416847423	-6	3	1	11	22	6	17	22	29	38	44	43	61	55	67	0	1	1	6	4	2	4	4	7	9	10	10	14	11	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
34000	-70.338634261510464	-79.389477641961804	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.920133588846846	-3	5	8	1	21	13	17	18	25	41	47	58	62	61	69	0	4	4	1	7	2	6	3	8	5	10	11	12	11	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
