step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34
5000	-559.510679731719506	-557.067319473137786	-2.443360258581774	0.000017526465858	0.000062832872195	3.585028077215867	0.359741616725533	3	6	8	5	9	7	8	10	10	12	11	12	9	12	13	14	14	14	15	18	16	19	22	21	26	32	34	35	38	40	40	42	43	44	0	4	6	1	7	4	6	7	4	8	7	11	2	6	4	4	12	14	15	19	19	21	18	16	24	25	26	14	27	15	29	29	32	33	1	1	1	2	1	2	1	1	2	1	2	1	2	3	3	4	1	1	1	2	1	2	4	2	2	3	1	11	2	15	1	2	1	1
5500	-513.378604043941323	-511.675806420385243	-1.702797623556085	0.000028501395319	0.000045659176942	1.601997952395683	0.312567939896555	3	6	6	5	9	7	8	10	10	13	11	11	10	13	12	14	15	15	16	18	17	19	21	22	26	32	35	35	36	40	39	41	43	45	0	4	4	1	7	3	6	5	4	11	5	7	2	6	4	15	12	14	15	19	19	21	18	16	24	25	26	15	27	15	29	27	32	33	1	1	1	1	1	1	1	1	2	1	2	1	2	4	3	1	1	1	2	2	1	1	3	3	2	4	2	14	1	13	2	3	1	1
6000	-416.175494713940225	-414.751208679342881	-1.424286034597327	0.000083302315599	0.000030407055137	0.365020526957768	0.453506182770512	2	6	8	4	10	7	9	10	10	13	11	12	11	12	12	13	14	14	16	18	16	19	23	21	25	33	34	35	38	40	40	40	43	44	0	4	6	1	7	4	3	7	3	11	5	11	2	6	9	9	12	6	15	19	15	21	18	16	24	24	26	23	26	23	29	26	29	32	1	1	1	1	1	2	1	1	1	1	1	1	3	2	2	2	1	4	2	2	2	2	4	4	2	7	1	8	2	8	1	4	2	2
6500	-320.732600040939531	-319.169916305304980	-1.562683735634569	0.000271111891444	0.000069812354232	0.257503844114535	0.376599451098381	3	5	8	4	10	6	10	8	10	12	11	11	11	13	13	13	15	13	16	18	16	18	22	22	24	32	35	36	38	40	38	41	43	43	0	4	4	1	8	4	6	6	6	5	8	8	9	3	1	9	12	4	4	18	14	18	14	22	14	24	26	19	27	19	27	27	32	32	1	1	2	1	1	1	3	1	2	2	2	1	1	2	6	2	3	4	6	4	2	3	4	3	5	5	1	8	2	7	1	2	1	1
7000	-328.057909256444532	-326.519298266153953	-1.538610990290604	0.000457433836567	0.000123689438723	0.270398533810799	0.371272076677800	2	5	8	7	10	9	11	10	10	13	11	11	11	12	13	13	15	16	16	17	17	18	22	22	26	33	35	34	37	39	41	41	42	45	0	1	2	2	6	3	8	6	4	7	5	5	9	8	12	9	4	4	15	18	12	14	6	6	22	19	28	22	27	28	27	27	29	29	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	3	4	1	1	3	2	8	8	3	6	1	9	1	3	3	2	3	4
7500	-309.043454501675058	-307.471594170991978	-1.571860330683059	0.000404129171006	0.000102223451556	0.252947470487525	0.454527228051845	2	5	8	6	10	7	11	9	11	12	12	11	10	13	13	13	13	14	15	17	18	17	23	22	25	33	35	34	38	40	41	42	42	44	0	1	6	1	8	2	5	6	4	8	6	8	2	7	13	2	9	14	11	19	14	11	15	18	15	19	28	21	27	26	27	27	27	31	1	2	1	2	1	1	1	1	3	2	3	1	3	1	2	3	1	1	1	1	4	3	6	3	6	10	1	6	2	3	2	3	3	1
8000	-276.255662506047088	-274.584602705168550	-1.671059800878552	0.000346833306893	0.000073827542232	0.212861742989448	0.442839180060457	1	5	8	6	9	9	10	8	10	12	11	11	12	12	12	13	15	15	14	16	17	18	22	20	25	33	35	34	37	39	39	40	43	43	0	1	2	1	8	2	8	4	4	6	5	5	4	5	1	9	10	9	9	16	14	19	22	21	22	23	28	15	27	28	29	29	32	32	1	1	2	2	1	2	1	1	2	1	1	1	2	1	7	2	1	1	2	1	2	2	3	2	4	6	1	11	1	2	1	1	1	1
8500	-296.616523911562012	-294.855863882764936	-1.760660028797071	0.000347204167431	0.000064690831137	0.186319281868246	0.354046326843034	3	6	8	5	9	7	11	10	10	13	12	11	12	11	13	13	14	15	16	18	17	19	22	23	25	33	34	36	37	40	41	41	43	44	0	4	4	1	6	4	5	5	4	5	8	6	6	2	3	6	11	15	2	3	4	18	19	3	23	23	23	21	27	28	29	29	31	29	1	1	1	1	1	1	1	1	3	2	1	2	2	4	3	3	1	1	3	4	6	2	3	7	2	6	5	8	1	2	1	2	1	3
9000	-327.053925996658847	-325.335031217662277	-1.718894778996567	0.000234067855808	0.000046307718529	0.197838863303039	0.328869021113954	3	6	8	5	9	9	10	8	11	13	11	11	11	13	13	14	14	15	16	19	18	18	22	23	25	33	33	35	39	40	40	41	42	44	0	4	2	1	4	4	5	4	1	7	7	7	2	4	3	3	12	15	7	14	1	9	10	20	20	21	25	21	27	28	25	29	27	32	1	1	2	2	2	2	1	2	3	1	1	1	2	3	4	2	2	1	3	4	6	4	4	2	3	7	5	10	4	3	5	1	4	3
9500	-333.897510403755291	-332.293070275770731	-1.604440127984544	0.000425263640574	0.000101260710651	0.238112786963624	0.363475677359951	3	4	8	5	9	8	10	9	10	13	12	11	8	12	14	13	15	15	17	18	17	18	22	22	25	33	32	35	36	41	40	42	43	43	0	1	1	1	6	4	8	6	4	5	6	8	2	6	6	4	7	6	3	14	3	18	10	22	20	20	16	21	26	26	24	29	29	29	1	1	3	1	1	1	1	1	3	2	3	1	2	2	3	3	2	3	4	4	4	2	4	3	3	5	8	6	1	5	9	3	3	3
10000	-318.627121778188382	-317.059383692022266	-1.567738086166123	0.000391090303529	0.000099716955189	0.254971688864850	0.278919724990015	3	5	8	5	9	8	11	9	10	13	10	11	11	13	14	13	13	16	17	18	16	16	20	22	25	33	33	35	37	39	39	41	44	44	0	1	4	1	4	4	11	2	2	7	3	6	2	11	12	8	12	14	4	5	8	3	15	15	4	23	21	25	28	25	21	29	29	32	1	1	2	1	2	2	1	3	2	1	1	2	4	2	1	2	1	3	6	5	4	3	3	5	10	6	7	6	1	7	8	1	4	2
10500	-347.384122382220824	-345.697989222535739	-1.686133159685111	0.000377064404408	0.000078387705631	0.207889434044167	0.445590304135782	3	5	6	8	10	8	10	8	10	11	11	12	12	12	10	14	14	14	17	18	18	18	22	22	26	34	35	35	38	41	40	42	43	42	0	1	2	3	8	3	8	3	4	5	9	11	4	15	4	4	12	14	6	14	4	15	4	22	20	24	20	23	28	26	21	29	29	29	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	5	1	2	4	4	4	4	7	1	4	6	13	6	2	5	9	4	2	2
11000	-326.159647625038076	-324.567931945570990	-1.591715679467097	0.000439337706657	0.000107055801392	0.243675422733270	0.352502850025047	3	6	7	7	9	9	10	10	9	12	11	11	12	12	13	14	14	15	14	18	18	18	22	23	23	34	31	35	39	38	40	41	43	45	0	1	1	1	2	4	5	5	2	4	5	9	9	6	9	11	10	6	11	6	14	1	15	18	19	16	18	22	28	27	24	28	29	28	1	2	1	2	1	1	1	1	2	2	1	1	2	1	2	2	1	4	2	5	2	8	4	3	5	9	9	8	2	3	8	3	2	3
11500	-311.695609597456723	-309.865886322437916	-1.829723275018823	0.000357071212250	0.000060639450393	0.169824528869920	0.282581161399911	3	5	8	6	8	8	9	9	10	12	12	11	11	12	14	12	14	15	16	16	16	19	23	21	26	34	33	34	39	40	40	42	44	45	0	1	2	2	4	2	5	5	6	5	8	8	3	7	6	6	5	3	9	13	16	14	22	21	3	22	18	25	26	26	19	29	32	32	1	1	2	1	1	2	1	1	1	2	1	2	2	2	3	2	4	3	3	2	2	4	2	2	11	7	7	3	2	3	12	1	1	2
12000	-328.412833604338573	-326.780946933300015	-1.631886671038558	0.000406686108828	0.000092313543399	0.226989664498855	0.250333219970619	3	6	8	7	10	9	10	8	11	13	11	11	10	11	13	12	14	16	16	18	18	18	22	20	26	33	34	35	39	41	40	41	43	44	0	1	2	1	8	4	8	2	2	8	5	7	2	7	14	3	6	17	3	10	10	3	6	15	15	22	23	25	22	27	16	28	32	33	1	2	1	2	1	1	1	1	2	3	1	1	3	1	1	2	3	1	4	2	2	6	7	3	7	7	8	5	12	4	16	3	1	1
12500	-371.227373716195643	-369.496945186137509	-1.730428530058128	0.000421901821487	0.000082069671687	0.194523150902059	0.276117587687628	3	6	8	8	9	10	11	10	11	12	11	11	11	13	13	14	15	15	15	16	15	19	23	22	24	33	34	35	39	41	39	40	44	45	0	1	1	1	4	4	5	5	2	5	2	5	2	2	2	11	8	13	8	4	6	11	13	8	2	20	9	24	15	31	16	28	28	32	1	1	2	2	1	1	1	1	3	2	2	1	2	4	6	2	3	2	4	2	3	5	6	5	11	9	10	7	9	1	11	3	3	2
13000	-332.978499910394305	-331.053118298991421	-1.925381611402906	0.000296425307337	0.000044748452496	0.150960297207724	0.331564061209670	3	6	9	6	9	8	9	8	10	12	10	12	11	12	13	12	14	15	15	17	17	17	21	21	26	34	34	34	36	41	40	41	44	42	0	1	2	1	8	2	8	4	4	8	7	8	2	4	4	6	10	8	15	1	15	15	6	14	23	25	16	23	22	31	22	25	26	26	1	1	1	1	1	1	1	1	2	2	1	3	2	4	2	2	1	3	1	7	2	3	6	4	3	4	10	7	8	1	18	6	4	3
13500	-324.402411692280737	-322.621296000584209	-1.781115691696510	0.000337517032363	0.000061135047822	0.181131741394713	0.364922886742737	3	5	8	7	10	8	10	9	9	12	11	11	10	13	13	13	14	16	16	17	16	18	22	23	25	33	34	35	38	39	40	39	44	42	0	1	2	1	8	2	8	3	4	3	8	7	3	4	1	4	12	14	16	14	3	4	21	23	21	22	25	22	22	29	24	21	27	27	1	1	2	2	1	1	1	1	1	2	1	1	1	3	5	2	2	2	1	2	4	5	4	1	5	9	4	9	11	1	9	9	6	5
14000	-326.153144262275760	-324.443358968761856	-1.709785293513902	0.000389396247309	0.000078088089103	0.200536316523089	0.258996587314041	3	5	8	7	8	7	10	10	11	12	10	11	11	13	14	14	14	16	17	18	16	18	23	21	26	32	31	35	37	41	39	42	41	45	0	1	6	1	6	2	2	5	3	12	5	5	7	10	14	7	12	16	14	2	9	8	19	15	9	16	16	20	24	28	24	16	22	24	1	1	1	3	1	1	3	2	2	1	2	1	1	1	1	2	2	1	2	10	2	5	2	3	8	10	6	9	7	3	12	10	15	12
14500	-312.386384994760135	-310.428550675189229	-1.957834319570922	0.000361153675741	0.000052505722705	0.145383326357275	0.219958702674558	2	6	9	7	8	10	10	9	11	12	12	11	11	12	13	13	15	15	15	18	18	19	21	22	25	32	35	36	39	40	39	42	42	45	0	1	1	1	4	5	5	5	2	2	7	5	2	7	1	4	11	6	2	1	1	14	14	10	2	22	22	21	22	28	23	19	19	16	1	2	4	3	1	1	1	1	2	4	1	1	3	1	5	4	2	2	5	8	8	4	5	7	11	7	9	9	10	2	8	15	13	18
15000	-346.409848663988555	-344.777187382095860	-1.632661281892686	0.000363729821439	0.000082454482516	0.226691565154892	0.226748337478327	0	3	8	7	9	9	11	9	11	12	11	10	11	11	14	13	13	15	16	17	18	18	22	23	25	33	34	36	37	40	40	41	44	45	0	1	2	1	3	1	3	2	3	12	2	4	4	12	13	7	5	2	9	15	15	3	21	3	9	19	22	24	24	28	7	22	22	22	1	1	2	3	1	6	3	3	2	1	4	1	2	1	1	2	2	6	2	2	2	7	2	8	7	8	8	9	7	2	13	11	12	12
15500	-322.027135465238871	-320.183480820537170	-1.843654644701695	0.000357313799260	0.000059607048932	0.166819890681827	0.186303843683313	4	6	7	6	8	9	10	10	10	12	11	11	11	12	14	12	14	14	17	18	17	18	23	22	25	33	32	35	38	39	40	41	44	43	0	1	4	1	4	3	5	5	3	8	5	5	2	5	3	4	8	7	3	4	16	4	21	21	9	24	14	22	20	28	16	24	15	16	1	1	1	1	1	2	2	1	2	1	3	2	2	3	4	4	2	2	5	5	2	7	2	4	7	6	9	9	10	3	19	11	14	15
16000	-357.257610351465189	-355.690095164006891	-1.567515187458290	0.000331704316057	0.000084611859350	0.255082177873462	0.243221211955171	2	6	8	8	10	10	11	10	11	12	11	11	11	10	13	13	15	14	16	18	17	19	22	23	24	34	34	36	38	41	40	42	43	44	0	1	1	2	3	2	1	3	4	11	8	6	2	4	7	4	6	14	18	4	2	14	14	3	20	6	20	23	18	29	16	21	19	21	1	1	2	1	1	2	3	1	2	1	1	1	3	1	1	2	2	2	1	5	6	5	5	6	4	8	6	6	13	2	16	11	15	15
16500	-354.446282445100451	-352.887779904232275	-1.558502540868196	0.000460509791797	0.000119567654114	0.259641936489413	0.231440888294636	3	5	6	8	9	9	11	10	10	12	11	11	11	13	13	13	13	16	15	18	17	19	23	22	26	33	32	33	38	40	40	41	43	43	0	1	2	3	3	3	6	3	3	8	3	6	2	10	12	1	12	15	2	3	11	7	13	4	18	18	21	24	23	28	28	22	28	21	1	1	1	2	2	3	1	2	2	1	3	1	3	1	1	6	1	1	4	6	4	6	5	7	4	7	8	7	8	3	4	13	6	13
17000	-332.140327040353952	-330.086534227453399	-2.053792812900561	0.000477922046065	0.000062513533431	0.130802782472958	0.199878506468985	3	5	7	6	10	9	11	9	10	12	11	12	11	12	13	14	13	15	17	17	17	19	22	21	26	34	35	36	38	39	41	41	44	44	0	1	2	1	6	3	5	2	3	5	8	5	2	2	13	3	7	15	18	16	15	15	2	15	15	4	19	23	22	27	28	19	24	14	1	1	1	1	1	1	1	1	2	1	1	1	3	3	1	3	1	1	1	1	2	3	10	3	7	13	9	9	10	3	3	11	7	12
17500	-341.273528251485686	-339.630141881375437	-1.643386370110238	0.000449567057358	0.000100094398928	0.222646204363508	0.232610854193205	3	6	5	5	9	8	10	9	10	11	10	11	12	12	13	13	14	14	16	17	17	19	22	23	25	32	34	35	37	41	39	41	44	45	0	4	1	1	2	2	5	2	3	5	4	5	3	1	11	3	5	9	12	1	15	15	3	3	11	14	21	23	18	29	28	13	14	18	1	1	1	1	1	1	1	2	2	1	3	1	4	5	1	3	2	2	3	7	3	3	9	8	8	10	8	6	9	2	2	14	14	17
18000	-336.183145388349431	-334.475797476940954	-1.707347911408462	0.000355336820155	0.000071518745819	0.201270292754337	0.230486561335580	2	5	9	6	8	8	10	10	11	12	11	12	10	12	10	13	14	14	15	19	17	18	22	22	25	33	34	35	39	39	39	41	43	43	0	1	1	1	2	1	5	5	6	8	7	5	2	13	1	6	5	14	16	19	14	18	4	6	22	23	23	24	25	28	28	20	23	15	1	2	3	2	1	3	2	1	2	1	1	3	3	1	4	2	3	2	1	3	2	2	8	5	4	6	6	9	5	2	2	14	11	17
18500	-344.739687305869268	-343.061266353816791	-1.678420952052496	0.000306375445674	0.000064462638924	0.210404064144645	0.180679168627822	2	6	7	7	8	10	10	9	11	12	11	11	12	13	12	14	15	16	16	19	16	18	22	22	26	34	34	36	38	39	40	41	44	42	0	1	1	1	4	2	5	5	3	3	5	5	6	4	4	4	7	3	3	4	1	4	3	6	15	16	14	22	20	27	28	18	24	19	1	2	3	2	1	3	1	1	2	3	1	2	1	3	3	3	3	7	7	4	9	6	8	5	9	9	10	13	10	3	2	12	11	14
19000	-339.719403402523938	-338.023575966445947	-1.695827436077972	0.000605802353015	0.000124075690295	0.204812163039007	0.244094425870556	3	6	9	5	8	9	11	9	10	13	12	11	11	12	13	12	12	16	17	17	17	18	22	22	25	32	35	36	38	38	40	41	43	44	0	4	1	1	4	1	4	5	1	13	13	8	2	12	13	1	8	13	14	14	14	14	8	21	6	18	21	26	7	28	28	3	20	22	1	1	4	1	1	2	3	1	4	1	1	1	3	1	1	4	2	3	2	3	2	3	7	2	8	8	11	3	12	1	2	18	11	13
19500	-324.052911986363426	-322.446094663415636	-1.606817322947778	0.000424453445076	0.000100639491532	0.237103721736845	0.235674422836999	3	4	8	7	10	9	11	8	10	13	10	10	12	13	13	13	14	15	16	17	17	18	22	22	23	31	33	35	38	40	40	41	44	44	0	1	4	1	2	3	6	2	8	7	3	6	3	1	2	1	12	17	6	8	3	18	22	13	4	15	14	26	14	29	15	19	20	24	1	1	1	2	2	1	1	3	1	2	1	1	2	4	3	5	2	1	3	3	4	2	2	4	8	8	9	2	13	1	14	11	14	9
20000	-347.052002914627792	-345.306724884396601	-1.745278030231170	0.000579188091023	0.000110282611868	0.190408976940431	0.161284446932544	4	6	8	7	10	8	11	9	10	13	12	12	11	12	12	12	15	15	16	18	17	18	21	22	24	34	33	35	37	40	41	42	44	44	0	1	4	1	6	4	6	6	3	13	5	8	2	2	3	9	8	11	17	6	16	9	3	16	14	23	21	23	18	28	16	21	21	23	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	3	1	1	4	3	3	6	4	7	5	8	7	14	4	14	17	15	17
20500	-319.817618447768155	-318.100135192335586	-1.717483255432583	0.000333582238740	0.000066133410544	0.198252193502006	0.304910360601548	2	5	7	7	10	10	10	8	11	13	12	12	9	11	13	14	13	14	17	16	17	16	23	21	26	33	34	35	39	40	39	41	42	44	0	1	2	1	8	2	8	3	3	5	5	7	2	2	14	9	14	11	4	16	3	3	4	15	15	16	22	25	16	31	19	21	23	19	1	2	1	2	1	3	1	1	2	2	1	1	2	3	1	2	1	1	4	2	6	5	9	4	9	10	10	4	11	1	11	11	9	13
21000	-348.938492965586192	-347.398218411212440	-1.540274554373745	0.000426800318902	0.000115005354549	0.269459392262398	0.244992022169918	3	6	8	5	9	9	10	8	10	12	12	10	11	13	12	14	14	15	16	18	17	19	22	23	25	33	34	35	37	41	39	42	43	44	0	1	4	1	8	4	8	4	1	12	7	5	2	12	1	6	7	14	17	9	3	9	17	16	8	6	22	23	15	29	22	21	23	20	1	2	1	1	1	2	1	1	3	1	1	1	2	1	5	3	2	1	1	3	5	4	3	5	6	10	7	6	12	2	8	10	9	13
21500	-359.378063372453141	-357.675025412022705	-1.703037960430415	0.000353610201520	0.000071634758389	0.202581141836308	0.189482080623298	3	5	7	8	9	10	11	10	9	12	12	10	11	12	14	12	14	15	17	19	18	18	23	22	23	33	34	33	38	40	39	42	43	45	0	1	2	1	4	4	5	5	3	5	6	5	2	7	13	3	12	16	2	4	3	1	15	1	18	21	14	20	21	29	21	20	25	22	1	1	1	3	1	1	1	1	2	2	1	1	4	1	1	3	1	2	5	7	5	7	3	9	6	8	15	6	8	1	8	12	11	10
22000	-344.197164813561301	-342.336189090993855	-1.860975722567428	0.000429501567662	0.000070101616712	0.163216206855906	0.247578327413712	4	6	9	8	10	9	10	9	9	13	11	12	11	12	13	14	14	16	16	19	17	17	21	21	24	32	34	36	36	40	40	42	43	44	0	1	2	1	8	2	8	4	2	14	7	4	2	11	3	6	10	11	6	1	15	3	6	19	1	21	19	20	9	28	3	18	23	16	1	1	1	2	1	1	1	1	2	1	1	2	3	1	2	3	1	4	3	6	2	5	7	4	9	7	8	7	15	3	12	13	9	12
22500	-325.182239065763952	-323.448152502574942	-1.734086563189011	0.000330252519633	0.000063901842802	0.193493884234445	0.208804051355569	3	6	8	4	8	7	10	9	10	11	12	12	11	13	14	13	14	13	16	18	17	19	22	22	25	33	34	36	38	39	40	42	43	44	0	4	2	1	2	4	5	2	6	6	8	5	2	3	2	4	8	4	4	4	3	9	12	4	23	15	9	24	16	28	21	23	25	19	1	2	1	1	1	2	1	2	3	2	2	3	2	2	3	5	2	4	5	7	4	7	6	9	1	7	14	8	12	2	12	9	10	15
23000	-329.621214331772819	-327.967511903600439	-1.653702428172360	0.000297662684220	0.000065156345221	0.218893226039889	0.300191569548689	3	6	8	5	9	9	10	10	10	11	10	11	11	13	12	12	13	14	15	19	17	16	22	23	25	32	33	35	38	39	41	41	40	44	0	4	4	1	3	2	5	5	4	8	5	7	2	6	8	4	12	16	3	4	14	4	21	21	4	23	15	20	22	27	16	26	24	20	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	3	1	1	2	8	2	6	3	3	8	4	12	7	10	2	19	6	8	16
