step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
17000	-187.354574207174011	-185.957708878056792	-1.396865329117207	0.000247825718661	0.000100953571373	0.407357121440206	0.623633412697526	1	4	7	7	8	11	9	10	12	10	12	10	13	12	14	12	17	17	20	19	21	19	21	22	0	0	2	1	2	7	4	2	5	5	4	3	11	12	14	5	14	8	14	3	18	15	17	23	1	1	2	2	1	1	1	3	2	1	2	1	1	1	1	1	1	4	3	4	2	1	2	1
17500	-202.122898139727397	-200.597928604273903	-1.524969535453497	0.000347245210917	0.000096673584938	0.278401492370667	0.387285719640453	2	4	6	6	8	11	8	9	12	11	12	11	12	12	13	14	16	18	20	19	20	22	21	22	0	0	2	1	3	4	4	2	2	5	4	5	4	8	14	5	2	15	15	9	8	23	5	21	1	1	1	2	1	3	1	3	4	1	4	2	3	1	1	2	8	2	3	2	4	1	5	1
18000	-186.546117213942381	-185.175297823389258	-1.370819390553112	0.000224847273006	0.000107367435159	0.477512729966247	0.492487065380010	2	5	7	8	6	10	9	10	14	12	13	10	12	11	13	15	16	20	20	18	20	19	21	20	0	0	5	1	2	7	4	3	2	8	13	2	4	2	14	14	14	17	22	9	9	9	16	22	1	1	1	4	1	1	1	2	3	1	1	2	2	2	1	2	2	2	1	2	3	2	3	1
18500	-186.159794604006521	-184.706017214471217	-1.453777389535301	0.000269428109228	0.000089555960049	0.332392786729056	0.624689468454177	1	4	6	8	8	11	9	9	14	11	13	10	11	12	13	14	17	18	21	19	20	21	21	19	0	0	2	1	3	7	4	3	3	5	13	2	4	12	14	15	14	9	21	18	16	20	24	14	1	1	1	3	1	1	1	1	5	2	1	2	2	1	1	1	3	2	1	1	2	1	2	4
19000	-179.253155753757312	-177.864952549565800	-1.388203204191501	0.000154923200736	0.000065888654953	0.425298823161469	0.652785292178017	2	4	6	8	9	11	9	10	13	11	14	10	12	13	12	13	16	18	20	17	20	20	21	22	0	0	2	1	3	4	4	3	5	5	13	5	4	12	5	5	14	17	20	17	10	5	18	18	1	1	1	3	1	2	1	2	2	1	1	1	2	1	1	2	2	2	2	1	4	4	1	2
19500	-188.259160924922384	-186.755241404667714	-1.503919520254670	0.000266643449670	0.000077845098494	0.291944537135804	0.451880395057722	2	5	7	7	8	10	9	10	13	12	11	10	13	12	13	14	17	20	20	20	20	21	21	22	0	0	2	1	3	7	4	3	10	3	4	5	11	8	14	10	14	10	15	15	16	15	17	17	1	1	1	3	1	1	1	2	1	4	2	1	2	1	1	1	3	3	2	4	3	5	2	2
20000	-174.504321956236453	-173.034800652469329	-1.469521303767116	0.000293359339514	0.000093326118878	0.318129018943987	0.640283281339820	2	4	6	7	8	10	8	9	12	12	13	10	12	11	13	15	16	19	21	18	21	21	20	23	0	0	2	1	3	4	4	2	3	5	13	8	6	8	8	10	15	12	15	14	10	18	12	20	1	1	1	3	1	2	1	2	3	1	1	1	1	1	1	1	1	4	3	3	4	1	4	2
20500	-188.807340854617422	-187.439163343232195	-1.368177511385235	0.000203978510070	0.000099883784523	0.489677978764980	0.561942819882315	1	4	7	7	8	10	8	9	14	11	14	10	12	12	14	15	17	20	20	18	20	22	20	22	0	0	2	1	2	7	4	5	8	3	4	3	6	12	14	9	15	20	20	15	10	14	17	23	1	1	2	2	2	2	1	1	3	2	3	1	1	1	1	1	1	1	1	4	4	5	3	1
21000	-173.661143394706926	-172.275105477496226	-1.386037917210698	0.000173290743364	0.000074575646772	0.430349857840229	0.550171832778257	1	5	6	8	9	10	9	8	14	11	12	11	12	10	14	15	17	20	20	20	20	18	22	20	0	0	2	1	2	4	4	3	8	5	4	14	4	5	14	3	14	12	22	16	10	15	9	17	1	1	1	3	2	1	1	1	3	1	1	1	2	1	2	4	4	4	1	3	4	2	3	2
21500	-181.240444700644872	-179.681709272177159	-1.558735428467718	0.000174112844592	0.000045186076807	0.259521788371318	0.592306425412425	0	5	6	8	9	10	9	8	14	10	13	11	10	12	14	15	18	18	20	19	21	21	21	22	0	0	2	1	8	4	4	3	2	5	13	8	4	5	14	8	15	16	17	9	9	17	9	23	1	1	1	4	1	1	1	1	5	1	1	1	1	1	2	3	1	1	2	3	2	1	4	1
