step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
12500	-193.925066078900414	-200.780554029859786	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.505184603926135	3	6	6	5	6	7	10	8	12	10	13	12	13	14	13	15	17	16	19	21	21	22	23	26	25	27	29	32	0	4	1	0	4	0	5	3	5	6	9	7	7	9	12	12	13	15	18	9	9	18	21	25	0	21	24	26	1	1	2	1	1	1	2	1	3	2	1	1	1	1	1	1	1	1	1	4	4	3	1	1	1	2	2	2
13000	-200.100755337428041	-206.956243288387412	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583608842882719	2	6	7	5	6	8	10	9	11	9	12	12	12	14	13	15	16	18	19	20	21	22	23	26	24	26	28	33	0	4	1	0	4	0	5	3	5	6	7	4	5	12	12	15	13	15	18	2	15	18	21	25	0	21	24	26	1	1	2	1	1	1	2	1	2	1	1	3	2	1	1	1	3	2	1	7	3	2	1	1	1	3	1	3
13500	-195.115839528240542	-201.971327479199914	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.561113902910779	3	7	5	5	6	7	9	9	12	11	10	12	13	13	12	15	18	17	19	21	19	21	23	25	23	27	28	32	0	4	1	0	4	0	5	1	4	6	5	7	11	15	5	15	15	15	18	21	12	18	21	25	0	21	24	26	1	1	1	1	1	1	2	3	4	2	2	2	1	1	3	2	3	2	1	1	4	3	2	1	1	4	2	2
14000	-223.276913089651913	-230.132401040611285	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.547430485557843	2	7	6	5	6	8	10	8	11	12	12	12	14	14	14	14	16	17	19	17	18	21	23	25	23	28	29	30	0	5	1	0	4	0	5	3	2	6	9	7	7	12	7	9	5	15	12	15	15	18	21	25	0	21	24	26	1	1	2	1	1	1	2	1	3	2	1	1	2	1	4	1	5	2	5	1	2	2	2	2	1	4	2	1
14500	-201.685936043284016	-208.541423994243388	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609164659266474	4	6	5	4	5	8	8	8	11	12	13	12	12	13	13	14	16	17	19	20	20	23	23	26	24	27	27	32	0	4	1	0	4	0	5	1	7	6	7	7	7	9	9	12	13	15	18	16	12	18	21	25	0	20	24	26	1	1	1	1	1	1	2	2	1	2	3	2	2	1	1	1	2	2	1	4	4	2	1	1	1	3	1	2
15000	-221.128564417540929	-227.984052368500301	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.639646259184403	2	7	6	4	6	6	9	9	11	11	12	12	13	14	13	14	15	17	19	19	20	22	24	24	23	25	28	33	0	4	1	0	4	0	5	1	7	6	7	2	11	9	12	7	7	12	18	15	20	18	21	25	0	21	24	26	1	1	1	1	2	1	2	2	1	3	1	3	1	2	1	2	3	1	1	2	1	2	1	1	1	2	2	3
15500	-203.091776277464277	-209.947264228423649	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532574705381600	3	7	6	5	6	7	9	10	11	10	13	13	12	15	13	14	17	16	18	20	20	21	23	26	24	27	28	32	0	4	1	0	4	0	5	1	2	6	13	13	7	16	9	9	16	16	18	16	16	18	21	25	0	21	24	26	1	1	2	1	1	1	2	4	2	2	1	1	1	1	2	2	1	1	1	4	2	2	1	1	1	4	1	2
16000	-208.054064144106007	-214.909552095065379	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.530681102407252	3	7	5	5	6	7	9	10	10	10	12	12	13	13	13	15	17	17	19	20	20	22	21	25	23	26	28	32	0	4	1	0	4	0	5	1	5	6	5	9	2	9	12	15	13	12	18	15	12	18	21	25	0	21	24	26	1	1	1	1	1	1	2	4	2	2	3	1	3	2	1	1	2	2	2	4	5	2	1	1	1	3	1	4
16500	-192.987472002201457	-199.842959953160829	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.584432200207262	3	6	6	4	5	8	10	8	11	12	12	13	13	15	12	14	17	17	19	20	19	22	23	26	25	26	28	33	0	4	1	0	4	0	5	1	4	6	5	7	7	12	7	12	11	11	18	21	15	18	21	25	0	21	24	26	1	1	2	1	1	1	3	2	3	2	3	2	1	1	1	1	3	3	1	1	3	2	2	1	1	2	1	3
17000	-194.515434323564506	-201.370922274523878	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.483024479751321	3	7	7	5	6	7	9	9	11	10	13	13	14	14	13	14	17	17	19	21	20	21	22	26	24	27	28	32	0	4	1	0	4	0	5	3	2	6	7	4	5	5	9	12	11	13	18	12	12	18	21	25	0	21	24	21	1	1	2	1	1	1	2	1	2	2	3	4	5	3	1	1	3	1	1	3	2	2	1	1	1	3	1	5
