step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17
13500	-85.227487969586790	-83.819856294263573	-1.407631675323222	0.000084424317742	0.000070511814452	0.835207394473633	0.877861066108291	1	3	5	6	8	9	11	13	11	11	13	12	13	14	12	15	16	0	1	2	0	4	5	6	6	6	6	10	9	6	11	10	13	14	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1
14000	-104.119359489410584	-102.740304553017182	-1.379054936393405	0.000131453891196	0.000058999069878	0.448819501199881	0.741906042582777	1	2	4	6	8	10	11	13	11	13	12	13	14	14	13	15	17	0	1	1	0	4	5	5	5	5	6	7	7	11	11	6	13	8	1	1	1	1	1	2	2	3	2	1	1	1	2	1	1	1	2
14500	-78.321614115551483	-76.879310510059739	-1.442303605491739	0.000127510042535	0.000043865036926	0.344012409172133	0.948465914230129	1	2	3	7	8	10	12	13	11	12	12	13	14	13	14	15	15	0	1	1	0	4	5	6	6	6	6	9	7	9	11	8	13	14	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
15000	-77.047604907515051	-75.686731634838367	-1.360873272676683	0.000136306359154	0.000076788878487	0.563355069884927	0.999222625155123	1	2	4	6	8	10	13	13	11	11	12	11	13	14	14	13	16	0	1	2	0	4	5	10	10	6	6	10	5	9	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15500	-83.417797118121783	-82.053912669732014	-1.363884448389770	0.000102675915963	0.000053059378440	0.516765571962299	0.934638260594570	1	3	5	7	8	10	11	13	11	11	13	13	13	14	15	14	15	0	1	2	0	4	5	5	9	6	6	7	7	7	11	8	9	14	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
16000	-85.186338212897553	-83.824678605290202	-1.361659607607350	0.000152895991568	0.000091662258613	0.599507270750741	0.894860390652113	1	3	5	7	8	9	12	11	10	12	12	10	13	13	14	16	16	0	1	2	0	4	5	12	6	6	9	9	5	6	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
16500	-81.030018709370950	-79.635655994931099	-1.394362714439846	0.000073448814591	0.000057846394370	0.787574240542112	0.937912577953751	0	2	5	7	8	10	10	12	11	12	12	12	13	14	14	16	15	0	1	2	0	4	5	5	6	6	6	9	7	6	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
17000	-95.330682644148993	-93.948490705182721	-1.382191938966278	0.000138175735515	0.000060804693845	0.440053339453304	0.646106674131921	0	2	5	6	8	9	11	14	12	12	12	13	12	13	15	15	16	0	1	1	0	4	5	5	7	6	7	6	7	6	11	8	9	10	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2
17500	-89.473746203480275	-87.847858001753139	-1.625888201727142	0.000153660120097	0.000035238282629	0.229326142702875	0.852790612873882	1	3	4	7	9	8	12	13	11	10	11	13	13	13	13	15	16	0	1	1	0	6	4	9	11	6	6	6	7	9	9	9	11	14	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2
18000	-89.927624624962107	-88.476957875297174	-1.450666749664936	0.000057005979504	0.000055174390499	0.967870230088460	0.857608308688787	1	3	4	6	9	8	11	13	11	12	13	12	12	14	14	14	16	0	1	2	0	6	4	5	6	6	9	9	7	9	11	8	10	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
18500	-90.637029326025200	-89.275845610655779	-1.361183715369423	0.000077173955370	0.000045454457323	0.588987011289899	0.759998916165539	0	2	5	7	9	8	11	13	10	12	12	12	14	13	15	16	17	0	1	1	0	6	4	5	11	6	6	9	7	10	11	8	11	14	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2
19000	-104.237647717896010	-102.811540474352626	-1.426107243543378	0.000133248553389	0.000048330815647	0.362711747466345	0.624285991047162	1	2	3	5	8	7	12	14	9	10	11	13	13	13	13	14	16	0	1	1	0	6	4	5	15	6	6	9	9	10	11	6	13	14	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2
19500	-90.051907376670556	-88.690532580945231	-1.361374795725331	0.000152503105856	0.000083387863332	0.546794525030876	0.785073361505826	1	2	6	7	8	9	11	13	12	12	12	13	14	13	14	14	16	0	1	2	0	4	5	5	10	6	6	6	7	6	9	8	9	14	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1
20000	-79.999216936059014	-78.495349673989139	-1.503867262069881	0.000066527851738	0.000073972248217	1.111898945848712	0.983747531501123	1	2	3	7	9	10	13	13	11	12	11	11	12	13	15	15	15	0	1	1	0	4	5	12	10	6	6	6	5	6	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20500	-84.324371676575140	-82.954342042125504	-1.370029634449630	0.000110453962687	0.000053120511618	0.480928980056950	0.719681091818276	1	3	4	8	9	10	12	13	11	12	12	13	14	14	14	16	16	0	1	1	0	4	5	5	9	6	6	6	7	10	11	8	13	14	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
21000	-74.276671295209240	-72.857773863074286	-1.418897432134955	0.000104677054170	0.000038954936759	0.372143991513766	0.975523998897204	1	2	5	7	8	10	10	12	12	13	12	13	14	14	14	15	16	0	1	2	0	4	5	5	6	6	6	6	7	9	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21500	-86.364108209247092	-85.003112209559418	-1.360995999687669	0.000101683664092	0.000056641053815	0.557031990538211	0.628695892668121	1	3	6	6	7	9	11	13	11	12	11	12	12	13	15	14	17	0	1	1	0	4	5	6	10	6	6	6	7	9	11	8	6	14	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2
22000	-79.901738389034875	-78.508666473127221	-1.393071915907654	0.000152230277945	0.000063148164707	0.414820005322841	0.894756116552738	2	3	4	7	8	10	10	13	11	13	12	12	12	13	15	14	15	0	1	2	0	4	5	5	6	6	9	6	7	6	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22500	-85.840809674617176	-84.393985592891099	-1.446824081726075	0.000098249708095	0.000033335582398	0.339294467581695	0.868546815589996	1	2	5	7	8	9	11	12	12	11	12	13	14	14	14	15	17	0	1	2	0	4	5	5	6	6	5	6	7	9	11	8	10	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2
23000	-88.259825132695326	-86.898302279416924	-1.361522853278405	0.000102457499040	0.000055728226017	0.543915540975256	0.675947601279726	1	2	5	6	8	9	11	13	10	12	13	12	13	14	15	15	16	0	1	1	0	4	5	6	9	6	6	9	7	9	11	8	9	14	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1
23500	-81.183651879353675	-79.702201766086645	-1.481450113267032	0.000073920894657	0.000077823455723	1.052793747753153	0.962032368267206	1	2	5	6	8	9	11	14	12	10	12	12	13	14	15	14	17	0	1	1	0	4	5	5	9	10	6	10	7	9	11	8	9	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24000	-82.417527136819913	-81.056605281892857	-1.360921854927061	0.000109843588611	0.000063644094343	0.579406546598502	0.996936487443809	1	3	5	6	8	10	9	13	11	11	13	11	13	12	15	14	16	0	1	2	0	4	5	5	9	6	6	14	7	6	6	8	9	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24500	-84.678479422456348	-83.269463203419718	-1.409016219036628	0.000104897005938	0.000088104134458	0.839910859895713	0.823333880058395	0	2	4	6	8	10	10	14	11	13	12	12	13	14	12	13	15	0	1	2	0	4	5	5	15	6	6	9	7	9	11	6	9	14	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
25000	-89.995144703814958	-88.632150117711163	-1.362994586103796	0.000088602917331	0.000054809894237	0.618601462429742	0.803943614126005	0	3	5	6	8	9	11	12	11	12	13	12	13	11	14	15	16	0	1	1	0	4	5	5	9	6	9	7	7	9	6	8	10	14	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
25500	-77.764011030240184	-76.366180301899433	-1.397830728340749	0.000138785249224	0.000056283264654	0.405542123308776	0.996141430823087	2	3	4	7	8	10	11	13	11	13	11	13	14	13	15	15	14	0	1	1	0	4	5	5	9	6	9	6	7	10	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
26000	-85.402980581864057	-84.041293110095779	-1.361687471768280	0.000101746653776	0.000055052322419	0.541072559888736	0.882511905648337	1	3	5	6	8	9	12	14	11	11	12	13	13	14	14	14	16	0	1	2	0	4	5	5	5	6	6	9	7	9	11	7	7	8	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1
26500	-94.270892679190922	-92.848494955524771	-1.422397723666154	0.000150620476403	0.000055347829125	0.367465503010422	0.784179120730335	1	2	4	7	8	10	12	14	11	9	13	11	13	13	13	15	16	0	1	1	0	4	10	5	15	10	5	6	5	7	9	9	7	14	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2
27000	-93.078539527013803	-91.711453751115798	-1.367085775898008	0.000097532874851	0.000063910585984	0.655272246215764	0.768012050436502	2	3	5	6	7	10	11	12	11	9	12	13	10	14	14	16	16	0	1	1	0	4	10	10	6	10	5	10	7	10	11	8	9	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
27500	-89.894513137342614	-88.526029918332583	-1.368483219010037	0.000115400863572	0.000076748954379	0.665063951891246	0.873355793647131	2	3	5	6	8	10	11	14	11	9	12	12	13	13	12	14	17	0	1	2	0	4	10	10	15	6	5	6	7	10	7	6	13	14	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2
28000	-95.857253392287987	-94.494272970308501	-1.362980421979489	0.000133982274990	0.000082859284252	0.618434671737143	0.931594434317305	1	2	4	6	8	10	10	13	12	9	11	12	14	14	14	15	17	0	1	2	0	4	10	5	6	10	5	6	7	9	9	8	10	14	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1
28500	-83.728592012247219	-82.319876419536598	-1.408715592710626	0.000089809517128	0.000034756370243	0.387000969993504	0.956073943444705	1	2	3	7	8	10	12	13	11	9	12	13	12	14	14	14	16	0	1	1	0	4	10	6	6	10	5	10	7	6	11	8	11	14	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
29000	-90.974190682979270	-89.565917626209838	-1.408273056769434	0.000082642442447	0.000069204077983	0.837391489571981	0.638126433113734	1	3	5	6	8	10	10	14	11	9	12	12	13	14	13	15	17	0	1	2	0	4	10	5	15	10	5	6	7	9	11	9	9	11	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3
29500	-96.128957438301526	-94.768055340036881	-1.360902098264645	0.000136682580920	0.000079039913697	0.578273494438400	0.729140713510958	0	2	5	6	8	10	10	14	11	9	13	12	14	12	13	15	16	0	1	2	0	4	10	5	6	10	5	14	7	9	6	6	11	11	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	1
30000	-97.388582685467441	-95.955953044164559	-1.432629641302875	0.000127687033220	0.000045304569221	0.354809474999639	0.741430888080056	-2	2	4	7	8	10	12	13	12	12	13	12	12	12	15	15	16	0	1	2	0	4	5	5	9	6	5	10	6	6	6	8	9	14	1	2	2	1	1	1	2	1	1	3	1	1	1	1	1	1	2
30500	-88.200062541077116	-86.839223218397422	-1.360839322679693	0.000124312105590	0.000071168574676	0.572499149123963	0.891205159302594	0	3	5	7	8	10	10	12	11	12	13	13	12	14	15	15	16	0	1	2	0	4	5	5	7	7	6	9	7	9	11	6	10	14	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1
31000	-89.267840685949039	-87.735549151039010	-1.532291534910031	0.000198177357487	0.000054307992252	0.274037321619847	0.872141051593088	1	3	3	4	9	10	11	14	12	12	12	13	13	13	14	14	15	0	1	1	0	4	5	6	10	6	6	6	7	9	11	10	9	14	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
31500	-84.714147936992987	-83.334115264861325	-1.380032672131663	0.000105097481017	0.000046872708021	0.445992687622921	0.870693245430769	1	3	4	7	8	10	9	14	11	13	12	12	13	14	13	14	16	0	1	1	0	4	5	5	15	6	7	6	7	9	11	9	10	14	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
32000	-80.739824012226890	-79.378932705708053	-1.360891306518844	0.000119964923253	0.000067430362337	0.562083986788422	0.902477166167704	2	3	4	7	9	10	13	13	11	12	13	12	13	14	15	13	16	0	1	1	0	4	5	5	9	6	6	9	5	10	11	8	9	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32500	-92.592408179339571	-90.776065070853576	-1.816343108485992	0.000104603964816	0.000018076052903	0.172804663141600	0.870005763760900	2	3	5	7	9	8	11	13	11	12	11	13	13	13	14	15	17	0	1	2	0	6	4	5	10	6	6	6	7	9	11	8	10	10	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	2	3
33000	-75.657654177529594	-74.281983376412668	-1.375670801116919	0.000122982583295	0.000056497901937	0.459397586414139	0.872051160667425	2	3	5	6	8	10	11	12	12	13	12	12	13	14	14	14	16	0	1	2	0	4	5	5	6	6	9	6	7	9	11	8	9	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33500	-90.864573889448209	-89.502222859087055	-1.362351030361155	0.000075792801894	0.000046265644535	0.610422670480079	0.754266452757947	1	3	5	6	8	10	11	13	12	12	13	12	14	12	15	15	15	0	1	2	0	4	5	5	6	6	6	14	7	10	6	8	10	14	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1
34000	-85.001517524774670	-83.546699178092751	-1.454818346681919	0.000109960820419	0.000036440348864	0.331393933999810	0.924552271936607	2	3	4	6	7	9	11	11	12	10	12	13	13	13	14	14	16	0	1	2	0	4	5	5	6	10	6	10	7	7	11	8	9	14	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
34500	-85.808721397007304	-84.438961941023337	-1.369759455983972	0.000110783155537	0.000074597111611	0.673361498407021	0.974442417618382	1	3	4	6	8	9	10	13	11	12	13	12	14	14	13	13	15	0	1	1	0	4	5	5	9	6	6	10	7	9	10	6	9	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35000	-89.553269775492666	-88.098487672495835	-1.454782102996828	0.000139594322189	0.000046265546322	0.331428568130969	0.849748008212911	2	3	5	7	9	10	11	12	11	12	11	13	14	13	14	15	16	0	1	2	0	4	5	5	7	6	6	6	7	10	11	8	9	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
35500	-92.326915949190962	-90.784796917869144	-1.542119031321816	0.000084221301079	0.000022607269352	0.268426978238234	0.875801425664560	2	3	5	5	7	10	13	12	11	12	12	12	13	14	14	13	15	0	1	2	0	4	5	9	6	5	9	6	9	9	11	8	9	9	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1
36000	-87.770139728801823	-86.362380211845021	-1.407759516956800	0.000112779009497	0.000043815317406	0.388505960474028	0.938976384595245	2	3	4	6	8	9	11	13	11	12	11	13	13	14	14	15	17	0	1	1	0	4	5	6	6	6	6	6	7	9	11	8	9	14	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2
36500	-87.334576544286207	-85.949419430661948	-1.385157113624257	0.000138086557093	0.000103657292284	0.750668960585916	0.824909004081433	1	3	5	7	9	10	12	13	11	12	13	13	14	13	14	15	17	0	1	2	0	4	5	5	6	6	9	6	7	10	9	10	7	14	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2
37000	-90.763135721929032	-89.402184695045221	-1.360951026883809	0.000128281109331	0.000071696693603	0.558902974700110	0.873003925493185	0	2	2	7	9	10	12	13	12	12	12	12	14	13	14	14	16	0	1	1	0	4	5	6	6	6	6	6	6	9	11	10	9	14	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1
37500	-97.423670981865527	-96.059185524208075	-1.364485457657452	0.000114441708871	0.000058598917025	0.512041611429827	0.855575293216687	1	3	5	6	8	10	11	13	9	11	12	12	13	14	15	15	16	0	1	2	0	4	5	6	9	4	6	6	7	9	11	8	9	14	1	1	1	1	2	1	1	2	2	1	1	1	2	1	1	3	2
38000	-86.429672182645987	-85.033125229171191	-1.396546953474795	0.000095691005876	0.000039038370886	0.407962802024748	0.819232608863023	0	2	4	6	8	9	10	12	11	12	12	12	12	13	14	16	16	0	1	2	0	4	5	5	6	6	6	6	7	6	11	8	13	14	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2
38500	-81.577052896929146	-80.214361084599616	-1.362691812329523	0.000100962545825	0.000062083719547	0.614918324802222	0.968266727510515	0	2	3	7	8	9	11	13	11	11	13	13	13	12	15	15	15	0	1	2	0	4	5	5	10	6	6	14	7	9	6	8	9	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
39000	-83.703169067244261	-82.207372250038475	-1.495796817205781	0.000071976303328	0.000021421663800	0.297621061509203	0.902107557115279	1	3	5	6	8	9	12	12	10	11	12	13	14	14	14	15	16	0	1	2	0	4	5	5	9	6	6	6	7	6	11	8	10	14	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1
