"","R","w.mu","w.sigma","w.k","mu1","mu2","r.imp.cases","p.obs.cases","p.seq.data","type","n","prop.ances.ok","msup.ances","msup.kappa","merr.date","prop.imp.ok","mu.ok","mu1.ok","mu2.ok","merr.pi","time"
"6c88b5f01e1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",140,0.523076923076923,0.258975563909774,0.409776785714286,0.731875,0.333333333333333,0,0,0,0.538006256818219,2168
"6ede483a11",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",129,0.642857142857143,0.41547619047619,0.525823643410853,0.751259689922481,1,1,1,1,0.383020304773861,1725
"6ede483a111",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",129,0.388888888888889,0.15639880952381,0.378682170542636,0.792926356589147,1,0,0,0,0.564022916940867,2195
"6fa14745e8",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",67,0.53968253968254,0.360714285714286,0.562873134328358,0.78740671641791,1,1,1,1,0.360120437587624,450
"6fa14745e81",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",67,0.587301587301587,0.367559523809524,0.558582089552239,0.780410447761194,1,1,1,1,0.364601001106734,483
"717d7d7a0f",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",75,0.647887323943662,0.331076388888889,0.521,0.77375,0.5,1,1,1,0.396884638680653,581
"717d7d7a0f1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",75,0.569444444444444,0.267447916666667,0.487083333333333,0.782916666666667,1,0,0,1,0.448894021121571,565
"7ca1a948c6",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",108,0.59047619047619,0.364033018867925,0.515393518518519,0.797569444444444,0,1,1,1,0.394394521215474,859
"7ca1a948c61",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",108,0.580952380952381,0.374705188679245,0.520949074074074,0.791435185185185,0,1,1,1,0.38799414278617,825
"8127f317b8",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",95,0.617977528089888,0.428055555555556,0.567236842105263,0.708157894736842,0.25,1,1,1,0.368398696460281,644
"8127f317b81",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",95,0.366666666666667,0.1325,0.403881578947368,0.754605263157895,0.25,0,0,0,0.568898131310588,979
"81eca68a9d",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",123,0.7,0.45470041322314,0.553048780487805,0.728861788617886,0,1,1,1,0.372477062891479,1561
"81eca68a9d1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",123,0.658333333333333,0.371590909090909,0.530792682926829,0.740904471544715,1,0,0,1,0.386661341188102,2397
"85aed16db7",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",119,0.694444444444444,0.386576086956522,0.521848739495798,0.7375,0.666666666666667,1,1,1,0.463902670749169,1459
"85aed16db71",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",119,0.734513274336283,0.404891304347826,0.557195378151261,0.720168067226891,1,0,0,1,0.374571112003346,1508
"86a7bad2c8",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",116,0.594594594594595,0.388560267857143,0.56395474137931,0.753933189655172,0.666666666666667,1,1,1,0.354109105161917,1378
"86a7bad2c81",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",116,0.540540540540541,0.319196428571429,0.551131465517241,0.771012931034483,0.666666666666667,0,0,1,0.370194125138604,1556
"8a386f945a",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",123,0.634782608695652,0.411502100840336,0.573780487804878,0.764583333333333,1,1,1,1,0.341682475054098,1051
"8a386f945a1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",123,0.593220338983051,0.371796218487395,0.542784552845528,0.769969512195122,1,1,1,1,0.378785062098587,2382
"959435475a",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",102,0.696969696969697,0.4028125,0.48578431372549,0.846507352941177,1,1,1,1,0.413331698239404,1094
"959435475a1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",102,0.626262626262626,0.397375,0.488296568627451,0.845526960784314,1,1,1,1,0.410306332562439,1044
"96a515be52",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",103,0.683673469387755,0.45172193877551,0.55127427184466,0.732342233009709,1,1,1,1,0.369816252613891,1096
"96a515be521",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",103,0.602040816326531,0.379017857142857,0.524089805825243,0.752245145631068,0.75,0,0,1,0.398935194441146,1167
"970b954c60",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",99,0.688172043010753,0.440986842105263,0.589583333333333,0.756060606060606,0.666666666666667,1,1,1,0.337085916538818,988
