step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54
27000	-315.545053236575200	-313.992935114127761	-1.552118122447433	0.000138701191348	0.000036476447486	0.262985826808516	0.717762993169826	0	1	3	2	4	2	3	3	5	8	5	5	6	6	6	5	7	7	6	7	10	10	8	10	12	12	13	14	12	16	16	17	16	14	17	18	18	19	19	20	20	22	20	21	20	21	24	22	23	23	27	27	26	27	0	1	2	2	7	1	6	1	3	4	5	6	4	2	2	5	11	4	4	4	18	14	11	18	23	22	29	22	10	34	29	34	34	26	0	33	30	32	35	36	36	45	35	39	32	39	36	38	42	44	49	42	42	48	1	1	1	1	1	1	1	2	2	3	1	1	2	2	2	1	2	2	2	3	2	2	1	1	2	1	1	2	2	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	3	1	1	2	2	2	2	2
27500	-284.837812797592449	-283.378020673340984	-1.459792124251462	0.000122382300979	0.000039986709628	0.326736050132579	0.811219397538837	0	1	2	2	4	2	3	2	6	8	5	4	7	5	5	7	6	8	9	9	11	10	9	9	11	13	13	15	13	16	15	17	16	15	18	18	19	20	19	21	21	22	21	21	21	22	23	23	23	24	28	27	26	27	0	1	1	2	6	1	6	1	3	9	5	6	14	4	2	11	11	15	15	18	24	19	17	13	17	20	20	26	24	26	29	34	34	26	0	33	34	32	35	36	36	38	39	39	38	43	41	42	42	44	49	48	48	53	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1
28000	-305.163069529448137	-303.385884647152409	-1.777184882295738	0.000117343806027	0.000021369172392	0.182107374184070	0.712378514061995	-1	0	2	2	4	2	4	2	6	8	5	5	6	7	5	7	7	7	8	8	10	10	9	7	12	11	12	13	14	17	16	17	15	14	18	19	18	19	20	21	21	21	21	21	21	22	23	22	23	22	28	27	25	28	0	1	1	2	6	1	6	1	4	3	5	7	4	4	2	11	11	15	13	14	13	19	17	15	23	20	10	26	10	34	27	34	34	26	0	30	34	32	35	33	32	38	39	39	38	43	40	42	42	35	49	48	42	42	1	1	1	1	1	1	1	1	2	3	1	1	2	2	3	1	1	1	1	1	2	1	1	1	2	2	2	1	3	2	2	2	1	1	1	1	2	1	1	3	2	1	1	1	1	1	1	1	1	2	3	2	2	4
28500	-309.669803389360254	-307.975445197426666	-1.694358191933569	0.000155382305240	0.000031895749558	0.205272727218070	0.687582676722360	-1	1	2	3	4	1	3	3	7	8	5	5	6	7	4	8	7	7	8	7	11	9	9	9	12	12	13	14	14	16	16	16	16	17	16	18	19	19	19	20	21	24	21	22	21	22	23	23	23	24	27	27	25	28	0	1	2	2	6	1	6	1	13	14	5	6	4	4	2	11	5	4	2	4	20	14	17	14	23	20	21	20	27	28	29	28	28	21	0	33	30	32	35	36	36	38	39	39	30	43	34	45	45	44	49	53	42	53	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	3	5	2	2	1	1	1	2	1	1	3	1	1	1	1	1	4	1	1	2	1	1	1	2	2	1	2	2	1	2	2	1	1	2	1	1	1
29000	-321.920894345368936	-320.495060535810865	-1.425833809558090	0.000082484272589	0.000029946359063	0.363055381626296	0.595452633761939	-1	0	2	2	3	1	2	3	6	8	5	5	6	6	5	8	7	8	8	8	10	10	8	10	11	12	13	14	15	16	15	17	16	14	18	18	19	20	19	18	22	23	22	21	21	20	24	21	23	25	27	27	24	28	0	1	1	2	6	1	6	1	3	4	5	6	4	2	4	11	11	14	14	9	10	20	17	14	23	21	21	26	27	34	27	30	34	20	0	33	30	32	35	33	33	41	46	39	38	39	41	26	48	43	48	42	48	53	1	1	1	1	1	2	1	2	2	2	1	2	2	3	2	1	2	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	2	1	1	3	2	1	1	3	1	1	1	1	1	1	4	1	2	4	2	1	3
29500	-308.708563826248792	-307.126630643403473	-1.581933182845299	0.000140895312891	0.000034962937954	0.248148339619571	0.747772127324196	-1	0	2	1	4	1	4	2	6	8	5	5	6	5	5	7	7	7	8	7	10	10	7	8	11	12	12	14	14	17	14	18	15	16	17	17	19	20	19	19	21	23	21	20	21	22	24	22	23	24	27	28	24	27	0	1	4	2	6	1	6	1	8	15	5	6	15	1	2	11	11	9	13	13	13	13	11	9	23	22	22	26	27	34	27	34	26	33	0	33	34	32	35	36	33	48	39	39	30	43	41	45	48	44	49	51	48	53	1	1	1	1	2	1	2	1	2	1	1	2	1	4	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	2	1	2	1	1	2	3	1	1	2
30000	-325.071063068785008	-323.111217395202004	-1.959845673583020	0.000123446252283	0.000017905814790	0.145049480719958	0.708755970733916	-1	1	3	2	5	1	4	2	6	8	4	5	6	6	5	6	6	8	9	8	11	10	8	9	11	10	13	13	12	14	16	18	16	15	16	18	19	20	18	19	21	22	22	21	22	22	23	22	23	24	28	27	25	27	0	1	1	2	11	1	6	1	3	15	6	6	4	4	2	11	11	14	2	14	24	10	17	14	16	20	29	20	19	19	27	28	30	26	0	34	30	32	35	33	36	32	35	35	38	39	41	32	42	44	49	48	42	48	1	1	2	1	1	1	2	1	2	1	2	3	2	2	1	1	1	1	4	1	1	1	2	1	2	1	1	2	2	2	2	2	1	3	1	2	2	1	1	1	2	2	3	2	1	2	1	2	1	1	2	2	1	2
30500	-368.469560499257966	-366.919414367488855	-1.550146131769089	0.000207164885917	0.000054699550220	0.264038714753327	0.631822570718275	-2	0	3	2	4	2	4	2	6	7	4	4	7	4	5	7	7	8	9	8	10	10	9	10	11	11	12	14	14	15	16	17	17	16	17	18	20	19	18	19	21	22	22	21	20	21	24	23	23	25	27	26	26	28	0	1	1	1	2	2	4	1	14	8	3	6	14	6	2	12	11	10	14	13	20	20	17	18	23	15	24	26	19	20	27	28	30	28	0	34	30	32	35	28	36	26	46	39	38	39	33	38	30	44	48	48	48	52	1	1	3	2	2	1	1	2	1	2	1	1	2	1	2	1	1	1	3	1	1	1	1	1	1	2	1	1	1	4	2	1	1	1	1	1	2	1	1	1	2	6	1	1	1	1	4	2	5	1	2	2	2	2
31000	-335.447889289412387	-333.836891064613383	-1.610998224799004	0.000116705234392	0.000027466697386	0.235351032278851	0.688714564213252	-1	0	2	2	5	3	2	2	5	9	4	6	4	4	5	7	6	8	8	8	10	10	9	8	10	12	13	14	13	17	16	18	17	15	18	19	19	20	19	18	21	23	22	22	22	21	23	22	21	25	27	27	27	26	0	1	1	2	11	7	1	1	3	1	6	6	3	4	4	11	11	14	13	13	24	20	5	15	23	20	18	26	19	26	27	33	20	19	0	30	30	32	35	34	30	48	46	39	38	39	33	49	33	39	49	42	48	48	1	1	1	1	1	1	1	1	2	4	1	2	1	1	2	2	1	2	2	1	1	1	2	2	1	2	2	1	2	3	2	1	4	4	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	3	2	3	2	1
31500	-316.676644159513955	-314.841307284683694	-1.835336874830269	0.000182967324274	0.000030848667192	0.168602056756099	0.708035250596287	-1	1	2	3	5	2	1	3	6	9	4	6	7	6	5	8	6	7	7	9	9	9	8	8	11	12	13	14	14	16	16	18	15	17	17	18	19	20	19	21	21	24	21	21	21	20	23	21	23	24	26	27	25	27	0	1	1	2	11	7	1	1	3	18	6	6	9	1	4	14	11	1	4	9	18	13	17	19	17	13	24	26	22	33	13	30	20	31	0	30	34	32	35	36	36	48	46	39	38	39	41	32	48	46	49	42	42	48	1	1	1	1	1	1	1	2	2	1	1	2	1	3	1	1	1	3	2	2	1	1	1	1	3	2	2	1	3	1	3	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	2	1	2
32000	-305.231637218054288	-303.276205873446543	-1.955431344607755	0.000101763896000	0.000014835539876	0.145783921991949	0.799655913513757	-1	0	2	3	5	3	4	3	5	7	4	6	5	5	6	7	5	7	9	8	11	10	9	9	12	12	13	14	14	17	16	17	15	16	18	18	18	19	19	18	21	23	22	21	21	21	23	21	24	24	27	28	26	27	0	1	1	2	11	1	6	1	3	13	6	7	4	1	4	11	11	13	10	14	24	24	17	14	23	22	24	26	27	34	27	33	22	20	0	34	30	32	35	34	36	48	46	39	38	39	33	38	48	46	49	53	48	48	1	1	1	1	1	2	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1	4	3	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	1	2	3
32500	-306.044450875544044	-304.508916697506208	-1.535534178037844	0.000104731296446	0.000028503238893	0.272155887116167	0.675429893479788	-1	0	2	3	5	2	3	4	6	8	4	5	5	6	5	8	7	6	8	7	10	9	9	9	11	13	13	15	14	16	16	17	14	15	16	16	20	19	19	20	20	23	22	21	21	21	24	22	24	24	28	26	26	27	0	1	2	2	11	1	6	1	3	14	6	7	2	2	4	11	11	4	14	4	20	9	17	14	17	20	22	26	21	34	27	30	26	33	0	33	30	32	35	33	36	45	46	39	32	39	41	38	48	44	49	42	42	48	1	1	1	2	1	2	1	2	2	1	1	1	3	2	1	2	2	1	1	2	2	1	1	1	2	2	2	1	2	1	2	1	1	1	1	1	2	1	2	3	2	1	1	1	2	1	2	2	1	2	3	2	2	3
33000	-324.663570529598132	-322.924771111191717	-1.738799418406393	0.000176977280696	0.000034012056807	0.192183181216798	0.660874251738442	0	1	2	3	5	2	4	2	6	9	3	5	7	7	6	8	6	8	8	8	10	10	9	10	12	13	11	15	15	17	16	17	14	17	17	19	19	20	19	20	22	24	21	22	22	20	24	21	23	24	27	28	27	27	0	1	1	2	11	1	11	1	3	13	6	6	4	3	4	5	11	13	15	15	18	18	17	4	17	22	24	21	27	28	27	28	22	28	0	30	33	32	35	34	33	45	46	39	38	39	30	32	48	44	49	54	38	42	1	1	1	1	1	1	1	1	2	1	1	1	2	3	2	2	1	1	1	1	1	1	1	2	2	2	1	3	2	1	2	1	2	1	1	1	2	1	1	1	4	2	1	2	1	1	3	2	1	1	2	1	4	2
33500	-325.529517556071312	-323.786973499113969	-1.742544056957321	0.000124207451235	0.000023742732303	0.191153848393582	0.678214945718458	-1	1	1	3	5	1	3	3	7	9	4	6	5	5	5	7	7	8	7	8	11	11	9	10	11	12	13	14	13	13	17	17	17	16	16	16	19	20	18	20	21	24	20	20	22	22	23	22	23	25	28	28	26	28	0	1	1	2	11	1	6	1	14	19	6	11	4	4	2	5	5	4	13	15	10	13	17	18	23	20	24	10	22	26	29	30	30	20	0	30	34	33	35	34	32	48	39	39	38	43	41	38	38	43	49	42	42	53	1	1	1	2	1	1	2	3	1	1	2	1	1	1	2	1	1	2	1	2	1	2	1	1	2	1	2	3	1	1	2	2	1	3	1	2	1	1	1	2	2	1	1	1	1	1	1	1	2	2	3	2	1	1
34000	-322.304348004279632	-320.757631726017451	-1.546716278262209	0.000119201204547	0.000031694802311	0.265893305622531	0.705895989708759	-1	1	2	2	4	2	1	3	6	8	5	6	7	6	5	8	7	7	8	8	10	10	9	8	11	12	13	12	14	15	16	18	16	17	17	19	18	21	19	21	22	24	21	21	21	22	24	22	23	24	25	27	26	27	0	1	1	2	6	7	1	1	4	4	5	6	4	4	4	5	11	15	14	2	24	10	17	14	16	22	18	13	27	28	27	30	20	30	0	33	30	34	35	36	36	48	39	39	32	43	41	32	32	44	49	48	42	53	1	1	1	1	2	1	1	2	2	2	1	2	3	2	1	2	1	1	1	4	1	1	1	1	1	1	3	2	1	1	2	2	4	2	1	1	2	2	1	1	2	1	1	1	2	1	2	2	2	2	1	2	1	1
34500	-347.110113163903975	-345.420356440177557	-1.689756723726428	0.000148395328420	0.000030677546333	0.206728518072315	0.440115228836397	-1	1	2	2	4	4	3	4	5	8	5	5	6	5	5	8	6	7	7	9	11	10	10	10	9	12	14	13	15	15	16	18	16	17	17	19	17	20	19	19	20	23	20	20	20	22	23	22	23	25	28	28	27	27	0	1	1	2	7	7	1	2	7	15	5	7	15	4	2	17	5	1	15	18	19	4	17	18	17	20	24	20	24	28	14	30	26	28	0	33	31	30	35	34	33	48	39	35	34	35	36	45	45	43	49	48	42	38	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	3	1	1	1	4	3	2	1	2	2	2	2	1	6	1	2	2	1	1	1	4	1	1	2	1	1	2	3	3	2	1	2	3	2	4	2	4
35000	-361.910382716008314	-360.000439414981372	-1.909943301026952	0.000141407077124	0.000021740816705	0.153746312754961	0.415819031055951	-1	1	2	3	5	3	1	3	7	7	4	5	7	6	5	7	6	6	9	7	11	11	8	9	10	13	13	15	15	17	16	16	15	16	15	19	17	21	20	20	21	22	22	20	19	22	23	23	23	23	27	27	25	27	0	1	1	2	11	7	1	1	1	2	6	6	4	1	2	17	11	2	13	14	20	20	17	13	23	20	18	26	10	33	18	33	21	26	0	34	33	32	35	33	30	45	35	35	32	44	41	45	42	35	49	45	32	53	1	1	2	1	1	2	1	2	4	3	1	1	2	3	2	1	1	3	1	1	2	1	1	1	1	3	3	1	5	1	4	1	2	3	1	2	1	4	3	2	3	2	4	2	2	1	2	2	1	3	2	4	4	1
35500	-291.126844378825012	-289.175188720970255	-1.951655657854767	0.000127930095993	0.000018731171438	0.146417238979347	0.780405897031051	0	1	3	3	3	2	4	3	6	8	4	5	7	6	5	8	6	8	8	9	10	10	8	9	11	11	14	14	12	17	17	17	14	15	18	19	19	19	20	21	22	23	21	22	22	22	23	21	23	24	28	27	26	28	0	1	1	2	6	1	6	1	3	13	5	6	14	12	4	5	11	13	13	13	24	13	17	19	23	20	29	20	24	34	27	33	26	33	0	34	34	32	35	36	36	48	39	39	38	43	36	38	38	44	52	42	42	53	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	1	1	2	2	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	1
36000	-336.090680470452355	-334.450177789666554	-1.640502680785792	0.000137235819024	0.000030702276298	0.223719117331597	0.587943501033922	-1	1	2	2	4	2	4	3	6	8	4	5	4	7	6	6	5	7	9	9	11	10	8	9	11	12	13	14	15	15	16	17	16	16	18	19	19	21	19	20	21	23	21	22	20	22	23	21	23	25	25	26	26	25	0	1	1	2	1	1	6	1	2	9	6	6	4	15	13	11	5	8	2	18	9	10	5	14	17	14	24	26	21	19	21	33	26	26	0	34	33	45	35	34	36	45	39	39	33	43	40	32	48	35	45	42	54	42	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	2	3	1	4	1	2	1	2	3	2	1	3	2	2	1	2	2	1	1	1	1	1	2	2	2	1	2	2	1	1	2	2	4	2	2	1	2
36500	-306.251339416878352	-304.807104444327024	-1.444234972551311	0.000085739934685	0.000029320748749	0.341973070734438	0.606830590816752	-1	0	2	2	4	3	4	3	6	8	5	5	6	6	6	7	6	8	8	8	11	10	9	9	12	12	13	14	14	16	16	18	16	17	17	18	19	19	19	20	22	23	21	21	22	19	24	22	23	25	28	27	27	26	0	1	2	2	6	1	6	1	4	13	5	6	1	2	4	11	11	14	13	14	24	19	17	13	17	4	24	26	24	26	27	33	26	30	0	33	30	32	35	34	36	38	46	39	34	35	41	38	45	44	49	42	42	48	1	1	1	1	1	2	1	2	2	1	1	1	4	2	2	1	1	1	1	1	1	1	2	2	3	5	2	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	2	1	1	2	1	2	2	2	2	3
37000	-318.251110711550837	-316.795389193589244	-1.455721517961606	0.000152529741071	0.000050416292976	0.330534180559240	0.706013381951225	0	1	2	3	4	3	2	2	7	7	5	6	6	3	4	7	7	5	7	9	10	10	10	10	12	13	12	12	13	16	16	17	17	15	18	19	19	19	19	21	22	21	22	21	20	21	23	22	23	24	26	26	24	27	0	1	1	2	6	7	1	1	15	4	5	6	2	2	2	11	11	4	14	14	19	1	17	9	22	28	24	24	24	34	27	30	30	26	0	33	34	32	35	34	36	38	39	39	30	39	41	42	42	44	49	53	48	53	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	2	1	4	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	3	1	1	3	1	2	1	1	1	1	2	2	1	1	2
37500	-336.932150975757565	-335.073002319926275	-1.859148655831306	0.000137506287709	0.000022494609549	0.163589679598029	0.672550360167908	-1	1	2	3	3	3	1	4	5	7	5	5	6	6	4	7	5	7	9	9	10	11	10	9	11	13	14	14	15	17	16	18	14	16	17	16	20	20	19	20	19	23	21	21	21	21	23	22	20	25	28	25	27	27	0	1	1	2	7	7	1	1	3	14	5	6	4	1	3	11	7	13	10	14	24	15	11	4	23	18	22	26	22	33	27	36	22	22	0	33	30	32	35	36	36	48	39	39	38	35	41	38	34	46	42	42	52	52	1	1	2	1	2	1	1	2	1	1	1	1	1	4	1	1	2	1	1	2	1	4	2	2	1	2	2	1	3	2	1	1	1	3	1	1	2	1	2	2	1	1	1	1	1	2	2	1	2	2	3	1	2	1
38000	-331.336365027870784	-329.858541947194567	-1.477823080676198	0.000098167662820	0.000030555075146	0.311253973745065	0.651873401449026	-1	1	1	3	5	3	2	3	6	7	3	5	7	6	4	6	7	5	8	8	11	11	10	8	9	12	14	13	12	15	16	17	16	17	17	18	19	19	19	19	21	24	20	21	21	22	23	21	23	25	27	27	26	28	0	1	1	2	11	7	1	1	2	4	7	6	18	4	2	11	11	15	2	14	14	10	25	15	17	20	29	20	19	28	29	30	30	30	0	33	30	32	35	30	40	38	39	39	38	43	40	32	34	44	49	42	42	42	1	1	1	1	1	1	2	1	3	1	1	1	1	2	1	1	1	1	4	1	2	1	1	1	1	2	2	1	2	2	2	1	1	2	1	1	1	1	1	2	1	3	1	1	1	1	2	2	2	2	2	2	1	2
38500	-345.558502945766236	-343.815311543035023	-1.743191402731236	0.000143030743640	0.000027315578813	0.190976975422064	0.682577234683551	-1	1	2	3	4	3	2	3	4	8	5	4	6	4	3	8	6	7	8	9	9	10	10	10	10	9	13	14	15	16	17	17	15	16	17	17	19	21	18	20	19	23	22	22	21	20	23	22	23	23	27	26	26	28	0	1	1	2	7	7	1	2	3	13	5	6	14	2	2	11	11	2	14	13	19	18	11	21	16	4	26	26	22	28	29	33	28	33	0	24	36	33	35	34	33	48	46	39	36	39	33	38	36	43	49	48	48	53	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	3	1	3	1	1	2	1	1	2	2	1	3	1	3	1	1	1	2	1
39000	-305.733600901777379	-304.328636097633421	-1.404964804143982	0.000099438436561	0.000039082311533	0.393030229401732	0.791620384314653	-1	1	3	3	5	3	2	3	7	8	4	5	5	6	6	7	6	8	7	9	10	9	8	8	12	12	14	14	13	17	17	18	16	15	17	18	19	20	19	20	21	23	21	21	21	22	24	22	24	24	25	27	25	28	0	1	2	2	11	7	1	2	3	13	6	7	4	2	2	5	11	14	2	13	24	24	17	19	23	20	29	26	22	34	29	30	28	28	0	33	34	32	35	36	36	38	39	39	38	39	36	38	42	39	49	53	48	53	1	1	1	1	1	1	1	1	2	2	1	2	1	2	3	1	1	1	3	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	4	1	1	3	1	1	2	2
39500	-356.290413614207466	-354.645106303392595	-1.645307310814871	0.000110129013155	0.000024441743531	0.221937369918737	0.518490689250122	-1	1	2	2	4	4	2	3	7	9	5	6	6	7	6	7	7	8	8	8	11	11	9	9	11	12	11	15	12	17	16	15	16	15	17	18	19	21	19	21	22	24	21	21	20	22	24	23	23	25	27	28	25	28	0	1	1	1	7	7	1	1	4	9	5	7	8	3	3	11	11	15	13	14	14	13	17	9	17	14	9	26	24	26	27	14	20	26	0	32	34	34	35	34	30	41	39	39	30	43	41	38	32	39	48	42	38	53	1	1	2	1	1	1	2	2	3	1	1	2	1	3	2	1	2	1	2	1	2	2	1	1	2	3	2	2	1	3	3	3	3	2	1	1	3	3	1	2	2	2	1	1	1	1	1	2	5	2	2	2	2	2
40000	-321.744554336347903	-320.177034959615071	-1.567519376732845	0.000124083430382	0.000031651213867	0.255080100294688	0.648816190647816	-1	1	2	3	5	3	1	4	6	7	4	6	4	5	5	7	5	7	8	8	11	10	9	9	11	12	13	14	14	15	16	17	17	13	18	18	19	20	19	20	18	24	20	21	22	22	22	22	23	25	27	27	27	27	0	1	1	2	11	7	1	3	3	14	6	7	2	13	4	11	11	13	14	14	24	20	17	18	5	22	24	20	27	28	29	30	26	15	0	33	28	32	35	36	30	48	39	39	38	43	41	38	48	44	49	48	42	48	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	2	1	1	2	1	2	2	3	4	1	1	1	2	2	4	1	1	3	2	1	2	1	1	1	1	1	1	2	1	1	2	2	2	1	2
40500	-333.185860387459002	-331.634869605331801	-1.550990782127196	0.000122021173382	0.000032163140660	0.263586554438147	0.560310763844474	-2	0	1	2	5	3	2	4	7	9	4	5	5	6	3	7	7	6	7	7	10	10	10	9	9	11	14	15	14	15	16	17	16	16	17	18	20	20	20	19	21	24	21	21	21	22	23	22	23	23	27	26	26	26	0	1	1	2	11	7	2	4	13	13	6	6	2	4	4	11	11	4	15	13	24	10	25	19	17	14	21	19	24	26	29	26	30	26	0	33	34	32	35	34	36	48	39	39	38	43	40	38	38	35	49	42	38	48	1	1	1	2	1	1	1	1	1	2	1	2	3	2	1	1	2	2	2	1	1	1	1	1	1	3	2	4	2	2	2	3	1	2	1	1	2	2	2	1	2	1	1	1	1	1	2	1	2	3	2	1	3	2
41000	-334.427194129613497	-332.944685738962676	-1.482508390650835	0.000110203230319	0.000033892421190	0.307544716173626	0.650853427657659	-1	1	3	2	5	2	4	4	5	8	4	5	5	6	5	7	5	8	8	8	7	10	8	9	12	12	12	15	13	14	16	17	16	17	18	18	20	19	19	20	21	21	20	22	21	21	24	23	23	25	27	28	25	27	0	1	4	2	11	2	6	1	4	13	6	6	4	1	4	11	11	14	2	14	15	14	17	19	17	20	22	20	22	20	29	33	30	33	0	33	33	34	35	36	36	38	39	39	38	43	28	42	32	46	47	48	42	53	1	1	1	1	1	1	1	2	1	1	1	2	1	3	2	2	1	2	3	1	1	3	2	1	3	2	1	4	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	6	1	3	2	2	2	2	1
41500	-310.540414639599362	-309.112202053591943	-1.428212586007404	0.000086380546029	0.000031105662739	0.360100325471885	0.571707089986740	-1	0	1	3	4	2	4	3	5	8	5	5	6	6	4	7	6	7	7	9	10	10	8	8	11	11	14	15	12	16	15	18	16	15	17	18	19	19	19	19	21	21	21	22	22	22	24	23	23	24	28	27	25	27	0	1	1	2	6	1	6	1	3	18	5	6	2	4	4	11	11	15	2	13	24	14	17	19	23	24	29	26	21	26	27	30	26	22	0	30	34	32	35	34	36	38	39	39	30	43	41	42	42	44	49	53	48	53	1	1	1	2	1	2	1	2	2	1	1	1	3	1	1	1	1	2	4	1	1	3	1	1	2	2	1	2	1	4	1	1	3	2	1	1	2	1	1	2	2	1	1	2	2	1	2	1	1	1	3	1	1	1
42000	-317.591676945306460	-316.167637938121288	-1.424039007185196	0.000125613820918	0.000045891422572	0.365337366833841	0.747775679063947	-1	1	2	3	5	1	4	2	6	8	4	5	6	6	5	7	6	7	9	8	10	10	9	9	11	12	14	14	13	16	16	18	15	17	18	18	20	19	20	20	22	22	21	22	21	22	24	23	24	24	28	27	26	27	0	1	1	2	11	1	3	1	8	14	6	6	1	4	4	11	11	4	10	14	24	14	17	18	23	20	21	21	24	26	29	34	26	30	0	30	34	32	35	33	36	30	39	39	38	43	40	42	48	39	49	42	42	53	1	1	1	1	1	2	1	2	3	1	1	2	4	1	1	1	1	2	1	1	1	2	2	1	1	2	2	1	2	2	1	1	1	1	1	1	2	1	1	3	2	2	1	2	1	1	2	1	1	2	2	2	2	1
42500	-305.329982600611345	-303.920076331935149	-1.409906268676187	0.000097386607220	0.000037508992287	0.385155550206824	0.692512720365425	-1	1	2	3	5	2	3	4	6	7	4	4	5	6	5	6	6	6	8	9	10	10	10	9	10	12	12	15	15	15	16	17	16	14	18	17	19	20	19	19	21	22	20	21	19	21	24	23	23	24	27	27	27	28	0	1	1	2	11	1	6	1	3	13	6	6	2	2	4	11	11	13	2	13	24	14	17	13	5	20	21	26	27	20	27	30	30	26	0	30	30	32	35	33	36	38	39	39	32	43	40	42	42	44	49	42	48	52	1	1	1	1	1	1	1	2	2	1	1	1	2	3	1	1	1	1	3	2	1	2	2	2	2	2	1	2	2	3	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	4	1	1	2	2	2	2	1
43000	-293.432918971634138	-291.781816353189583	-1.651102618444531	0.000108057415004	0.000023753909703	0.219826743974044	0.685213776775187	-1	1	2	3	5	2	3	1	6	7	4	4	6	6	5	7	6	7	9	8	9	11	8	9	11	12	12	14	14	17	17	17	17	15	17	18	19	19	19	20	22	21	20	21	22	22	24	22	23	24	27	27	26	28	0	1	1	2	11	1	6	1	15	14	6	6	2	2	2	11	11	9	14	13	18	24	17	14	11	20	21	13	27	34	29	34	34	26	0	33	30	32	35	36	36	38	39	39	38	43	41	42	42	39	49	48	48	52	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	2	4	2	2	4	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	3	2	1
