step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45
5000	-302.666107136913297	-300.380361835946530	-2.285745300966775	0.000013129954965	0.000040956081697	3.119285770958075	0.758137028762582	0	3	7	7	11	11	9	11	12	12	13	14	16	14	17	17	19	18	19	20	19	18	21	21	22	20	24	22	23	24	23	21	26	23	27	25	27	30	28	28	29	27	29	30	34	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	11	13	14	16	19	18	0	20	21	20	22	21	22	24	25	18	22	28	24	30	23	32	35	36	37	39	25	36	36	44	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	2	2	3	1	1	1	1	1	1	1	1	2	2	1	1	3	1	2	1	1	1	3	2	2	1	1	1	3	2	2
5500	-293.667723121947574	-291.896499329409551	-1.771223792538009	0.000020174378156	0.000035672394124	1.768202908021973	0.591981873539289	1	4	8	6	12	11	10	12	12	12	12	14	16	16	18	17	18	18	18	20	19	18	21	20	21	21	24	22	22	23	23	24	23	24	27	26	27	31	28	29	30	28	30	30	34	0	1	0	0	4	7	3	7	6	6	7	10	10	0	6	11	10	14	16	19	18	0	19	21	19	22	21	22	24	23	18	28	28	24	23	16	28	42	36	32	39	35	36	39	44	1	2	1	1	2	1	1	1	1	1	1	1	2	1	3	2	3	2	1	1	1	1	2	1	1	1	3	2	1	1	3	1	1	3	4	3	3	1	2	3	1	1	2	1	2
6000	-276.848019165798746	-275.460132798733639	-1.387886367065116	0.000042306291433	0.000018023387330	0.426021443144384	0.634450294230735	1	3	7	7	10	11	10	12	13	12	12	14	15	16	15	17	17	17	16	19	19	18	21	21	21	20	24	22	22	24	23	23	24	23	27	26	27	29	28	29	30	30	30	31	34	0	1	0	0	4	7	3	7	6	6	7	9	6	0	11	19	13	14	11	19	18	0	16	21	19	22	21	22	24	20	18	22	32	24	36	11	32	35	36	32	39	35	39	39	44	1	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	2	1	2	1	2	2	1	3	2	3	1	1	1	7	2	2	1	3	1	2	1	1	1
6500	-271.184996629188277	-269.823819148586210	-1.361177480602088	0.000071648352568	0.000039504575653	0.551367536547472	0.699253890009381	-1	1	7	7	10	11	10	11	12	12	13	14	15	14	17	16	18	18	18	20	19	17	21	21	22	19	25	22	23	22	24	23	25	24	27	26	28	30	29	28	28	29	30	31	34	0	1	0	0	4	7	3	7	6	6	8	10	9	0	11	11	13	14	16	19	18	0	19	21	23	22	29	22	24	20	18	22	28	24	20	16	28	20	35	28	36	36	39	39	35	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	1	1	1	1	2	1	1	1	1	2	2	1	2	2	2	2	4	4	2	4	1	2	1	1	1	1	3
7000	-275.587425132889848	-274.004872812556755	-1.582552320333066	0.000098321596520	0.000024369981937	0.247859908705869	0.553133118498063	1	3	7	8	11	9	11	13	12	12	13	15	15	15	17	16	17	18	17	20	19	18	21	20	20	21	25	22	23	24	23	23	25	24	27	27	27	28	28	28	30	29	30	31	33	0	1	0	0	4	3	3	7	6	6	7	10	6	0	7	7	13	14	11	16	18	0	11	21	16	22	31	22	24	23	14	22	32	24	23	23	32	23	35	37	39	23	39	39	44	1	1	1	1	2	1	2	2	1	1	1	2	3	1	3	2	1	2	2	1	1	1	3	1	2	2	1	2	2	2	3	2	1	2	4	3	2	3	1	1	1	5	1	1	2
7500	-256.513411288186830	-255.044190882837597	-1.469220405349250	0.000084975992975	0.000027055161475	0.318385940871584	0.681380777380003	0	3	7	7	12	11	9	11	12	13	13	15	15	15	17	16	17	18	19	17	19	19	21	21	21	21	24	22	23	24	23	23	26	25	28	26	26	31	28	29	28	29	30	31	33	0	1	0	0	4	7	3	7	6	6	7	10	10	0	7	11	10	14	20	16	18	0	11	21	20	22	31	22	24	19	18	22	32	29	36	23	28	35	36	37	36	30	39	36	44	1	2	1	1	2	1	1	2	1	1	2	1	1	1	2	2	2	2	2	1	1	1	3	1	2	1	1	1	1	2	2	2	2	1	1	2	2	1	1	2	1	2	1	2	1
8000	-277.502495176849891	-275.880734782634079	-1.621760394215832	0.000145038430462	0.000033498584778	0.230963508573516	0.543349083273406	1	3	6	8	12	11	10	11	12	12	14	15	15	15	16	17	19	18	18	20	19	18	21	22	21	20	24	22	22	24	23	22	25	24	26	25	28	31	28	28	30	27	30	29	34	0	1	0	0	4	3	3	7	6	6	8	10	6	0	11	11	13	14	7	11	18	0	11	21	16	22	21	22	21	25	14	22	32	29	30	23	33	35	36	33	39	30	36	39	44	1	1	1	1	2	2	2	1	1	1	1	2	2	1	1	2	2	1	5	3	1	1	5	2	1	1	2	3	2	2	5	2	2	1	1	1	2	2	2	1	1	2	2	1	2
8500	-283.797339427547740	-282.379570822964183	-1.417768604583578	0.000101359112122	0.000037877462589	0.373695682569575	0.583036442034146	-1	2	8	7	11	11	9	12	12	13	13	14	15	16	16	17	17	18	18	19	19	17	21	22	21	19	23	23	23	23	23	21	25	24	25	26	27	29	28	29	29	30	30	31	34	0	1	0	0	4	7	3	7	6	6	7	10	6	0	11	7	13	14	8	11	18	0	19	21	11	22	21	22	21	23	18	22	28	24	23	16	22	35	36	28	39	30	39	39	41	1	2	1	1	2	1	1	2	1	2	2	1	2	1	1	3	2	1	3	3	1	1	2	1	3	1	2	3	1	1	2	2	1	1	2	4	5	2	1	3	1	3	1	1	2
9000	-279.621387784841204	-278.088558023006101	-1.532829761835118	0.000111424511090	0.000030499441327	0.273722909156093	0.483460133842422	0	2	6	8	10	11	10	12	13	12	13	14	14	16	17	18	18	18	18	20	19	17	21	21	20	18	23	21	23	22	23	21	25	25	27	26	27	29	28	28	29	30	30	30	33	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	11	13	14	11	11	18	0	8	21	16	22	24	22	21	19	18	22	28	29	36	20	32	16	36	33	36	30	41	39	42	1	1	1	1	1	1	2	1	1	1	2	1	1	1	3	2	1	1	2	3	1	1	3	2	1	1	1	2	2	2	2	2	2	1	1	3	4	6	1	1	2	5	1	1	1
9500	-271.821551957921542	-270.403993374049378	-1.417558583872142	0.000071984846767	0.000026921381608	0.373986787734016	0.547912092001352	0	2	7	7	11	11	10	12	12	13	13	15	15	15	17	17	18	19	17	19	17	19	21	19	20	21	24	22	22	24	24	24	24	24	26	26	28	30	28	28	30	29	30	30	33	0	1	0	0	4	7	3	7	6	9	7	10	10	0	7	11	13	14	11	16	14	0	19	21	20	22	21	22	24	20	18	28	26	29	20	16	32	23	36	32	36	25	36	39	44	1	1	1	1	2	1	1	1	1	1	3	2	1	1	3	2	1	2	2	1	1	1	2	1	1	1	2	2	2	2	2	1	1	1	3	4	2	3	1	2	1	4	2	1	2
10000	-291.925972366296321	-290.493413600714518	-1.432558765581826	0.000106061073035	0.000037640274943	0.354892458334223	0.543488998012351	0	2	8	6	11	11	10	12	13	13	14	15	13	14	18	17	17	19	17	19	18	18	22	20	22	21	22	22	23	21	23	24	24	24	27	25	26	30	28	28	29	29	31	30	33	0	1	0	0	4	3	3	7	6	6	8	13	6	0	7	7	13	14	11	11	14	0	19	21	20	22	24	22	24	20	21	22	28	24	23	16	32	35	36	37	35	36	41	41	41	1	1	1	1	2	1	2	1	1	2	1	1	2	1	3	4	2	2	1	3	2	1	2	1	2	2	1	2	2	1	3	2	1	2	2	3	1	2	2	2	2	1	2	1	2
10500	-255.755985106840086	-254.388358291978818	-1.367626814861269	0.000078936941986	0.000038878135698	0.492521431910468	0.597567153816244	0	2	8	7	11	11	10	12	13	12	13	14	15	15	18	17	18	19	18	20	18	18	22	20	22	20	24	23	22	24	22	23	25	25	27	26	27	31	27	28	29	29	29	29	34	0	1	0	0	4	7	3	7	6	6	7	10	10	0	16	7	13	14	16	11	14	0	16	21	20	22	21	22	24	20	18	26	28	29	30	23	32	42	36	28	39	35	36	39	44	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	3	2	2	1	3	1	1	2	1	1	1	3	2	1	2	2	2	1	2	2	1	2	1	1	3	1	1	1	2	2
11000	-273.059691362815215	-271.671310646151881	-1.388380716663356	0.000095761563303	0.000040688736336	0.424896325127907	0.603564202332731	1	3	7	6	11	11	10	12	12	12	14	14	14	16	17	16	18	19	18	19	18	19	22	20	21	21	25	23	23	24	23	23	26	24	27	26	27	29	27	28	29	28	29	31	34	0	1	0	0	4	3	3	7	6	6	8	6	10	0	7	11	13	14	16	19	14	0	19	21	16	22	29	22	24	11	18	22	28	29	6	30	26	36	36	28	39	23	39	39	44	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	3	2	6	1	3	1	1	5	2	3	2	1	2	1	2	1	2	2
11500	-279.242582606739461	-277.881740103953007	-1.360842502786440	0.000077850875386	0.000044105710375	0.566540968949461	0.533195807359679	1	3	8	8	11	10	9	12	12	12	12	14	16	15	17	18	18	19	18	19	18	18	22	20	20	21	24	21	23	24	22	23	24	24	26	27	27	29	28	29	29	28	30	30	33	0	1	0	0	4	7	3	7	6	6	3	10	10	0	11	11	10	14	8	19	14	0	19	21	19	22	31	22	24	23	14	22	32	29	30	23	32	30	36	32	42	20	42	42	44	1	1	1	1	2	1	1	2	1	1	2	2	2	1	3	3	3	2	3	1	1	1	2	1	1	2	1	2	2	1	3	2	1	1	1	3	2	3	1	2	1	5	1	1	3
12000	-271.090243589484089	-269.563877329627644	-1.526366259856436	0.000125344098733	0.000034790035296	0.277556228397799	0.493936853887835	0	4	7	7	9	11	10	13	13	12	13	14	14	14	17	17	18	20	19	18	18	18	22	21	21	21	24	22	23	23	22	22	24	24	27	25	27	30	28	28	30	29	31	30	32	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	11	6	14	11	11	14	0	16	21	20	22	29	22	24	25	21	22	28	24	36	23	22	35	36	28	39	35	39	39	44	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	3	3	3	2	1	2	1	2	2	1	2	1	1	2	3	1	1	1	2	4	2	1	4	1	2	1	1	1
12500	-266.873759752302306	-265.509124861688576	-1.364634890613719	0.000103340901822	0.000052800494081	0.510935100719231	0.579029334580864	0	2	7	7	11	10	9	12	13	13	14	14	15	16	17	17	18	19	18	20	18	19	21	21	20	21	24	23	23	23	24	23	24	24	28	25	26	30	28	29	29	30	31	31	34	0	1	0	0	4	7	3	7	6	6	7	10	10	0	7	11	10	14	8	16	14	0	16	21	19	22	21	26	21	23	18	22	28	24	30	23	32	30	36	37	39	30	41	41	44	1	1	1	1	2	1	2	2	1	1	2	1	1	1	3	2	2	1	2	1	1	1	2	2	1	1	3	2	2	1	2	2	1	1	2	2	1	3	2	1	1	3	1	1	2
13000	-271.377166993882383	-269.866747068499194	-1.510419925383201	0.000096929024553	0.000027876027091	0.287592155390752	0.548337443439497	1	3	7	6	11	11	10	12	13	13	13	15	16	16	17	18	18	19	18	19	19	19	22	20	21	22	22	23	22	23	23	23	25	23	28	26	27	31	28	27	30	28	30	29	34	0	1	0	0	4	7	3	7	6	6	3	10	10	0	7	11	13	14	7	15	14	0	15	21	16	22	21	22	24	25	18	22	28	24	23	20	28	36	36	28	44	30	39	39	39	1	1	1	1	2	1	2	1	1	1	3	1	2	1	3	3	2	1	4	2	2	1	3	1	1	1	1	2	1	1	2	2	1	1	3	2	2	3	1	2	1	3	1	1	2
13500	-288.988185680420770	-287.601139856661518	-1.387045823759227	0.000103401735092	0.000044252357568	0.427965328905841	0.489600413904029	1	4	7	8	10	11	10	12	12	13	13	15	15	16	17	16	18	20	19	20	18	19	21	22	22	21	25	23	22	22	24	23	25	24	28	26	27	30	29	27	28	29	29	30	33	0	1	0	0	4	7	3	7	6	6	7	6	10	0	7	7	13	14	6	11	14	0	16	18	20	22	21	22	21	20	14	22	22	29	25	23	22	23	35	32	36	30	41	39	44	1	2	1	1	1	1	2	1	1	1	2	2	1	1	5	3	2	2	4	3	1	1	3	1	2	1	3	3	2	1	2	2	2	1	4	2	4	4	1	2	1	4	1	1	1
14000	-275.258742813056870	-273.890316006462797	-1.368426806594088	0.000087019748196	0.000057840655594	0.664684244594088	0.710499177365238	1	2	7	6	10	8	9	11	13	12	13	13	16	16	17	16	18	20	18	18	18	18	21	21	21	22	23	22	22	24	23	23	24	23	26	26	26	30	28	29	29	29	30	31	34	0	1	0	0	4	3	6	7	6	6	7	10	10	0	16	11	13	21	16	16	14	0	20	21	19	22	24	22	21	11	18	22	26	24	23	19	32	35	36	37	39	30	39	39	44	1	1	1	1	2	1	1	1	2	2	2	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	2	2	5	2	2	1	1	2	4	1	2	1	2	1	2	1	2	1
14500	-271.343303237181772	-269.867627876516110	-1.475675360665650	0.000087940091172	0.000027524746951	0.312994296277146	0.760735943838414	0	3	8	7	11	11	9	12	13	12	13	14	16	16	16	17	18	19	19	19	18	18	21	22	20	20	25	22	20	22	23	24	25	25	27	23	26	30	29	28	29	29	30	31	33	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	11	13	14	16	7	14	0	19	29	15	22	21	22	21	16	18	22	32	29	30	20	32	42	36	37	36	35	41	39	44	1	1	1	1	3	1	1	2	1	1	2	1	2	1	1	2	2	2	1	6	1	1	1	1	1	1	4	2	1	2	2	2	1	1	2	1	1	1	2	1	3	1	1	1	1
15000	-253.098735015506463	-251.729807391133818	-1.368927624372646	0.000077558745230	0.000037693227456	0.485995838943684	0.652157520306273	0	2	7	6	11	10	9	12	12	12	14	14	16	15	18	16	18	17	18	19	19	18	22	21	20	21	23	22	22	24	22	23	25	24	26	25	27	30	29	26	30	28	29	31	33	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	11	13	14	11	16	18	0	16	21	16	22	21	22	24	23	14	22	32	24	30	19	40	35	36	32	39	35	36	39	44	1	1	1	1	3	1	1	2	1	1	3	1	2	1	2	1	1	1	3	2	1	1	2	1	3	1	2	2	1	1	3	3	1	1	1	3	1	2	2	1	1	1	2	1	1
15500	-266.706331388269007	-265.243182024406963	-1.463149363862045	0.000077910554501	0.000025219172997	0.323693922575328	0.655162769611557	1	3	7	8	11	11	10	12	12	13	12	14	16	15	17	17	18	18	19	19	19	18	21	20	22	20	22	23	22	23	23	22	24	24	26	26	27	30	28	29	29	29	30	30	33	0	1	0	0	4	7	3	7	6	6	7	10	12	0	11	11	10	14	16	16	18	0	20	21	16	22	21	22	24	16	14	22	32	29	23	23	32	25	36	37	36	23	36	36	44	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	2	1	2	1	2	3	1	2	3	3	1	1	3	2	2	4	1	1	2	4	3	2	2
16000	-292.154207549455407	-290.759084620857777	-1.395122928597643	0.000070952798595	0.000029141507308	0.410716812936147	0.456001865573301	-1	4	5	8	11	11	10	12	13	12	13	14	16	15	17	17	17	18	17	19	19	18	20	21	22	21	23	22	22	22	22	23	24	24	26	25	27	31	29	28	28	29	30	31	35	0	1	0	0	4	7	3	7	6	6	7	10	10	0	7	7	13	14	11	19	18	0	8	18	20	22	21	22	24	23	21	22	22	24	19	23	32	36	41	28	36	16	36	39	44	1	2	1	1	2	1	2	1	2	1	1	1	2	1	4	3	1	2	2	1	1	1	3	2	3	1	2	2	1	2	1	3	3	2	3	2	3	3	1	3	2	4	2	1	2
16500	-293.056125258120233	-291.638933227347536	-1.417192030772725	0.000078889013089	0.000029543674967	0.374496698712633	0.452025255258498	1	3	7	7	11	11	10	12	13	12	14	14	15	15	18	17	18	18	18	19	19	18	21	20	22	21	23	22	22	23	22	22	24	24	26	27	26	30	27	28	28	28	31	31	35	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	6	13	14	11	7	18	0	11	21	11	22	21	22	24	19	14	22	32	24	16	23	26	25	30	32	39	30	41	35	38	1	1	1	1	2	1	2	1	2	1	2	1	2	1	2	3	2	2	3	3	1	1	3	1	3	2	2	2	1	2	2	2	1	2	4	4	3	5	3	3	1	2	1	2	3
17000	-276.257830998589782	-274.708438088781918	-1.549392909807865	0.000106867730243	0.000028260470125	0.264443439203461	0.546086464301987	0	4	7	7	10	11	9	12	12	12	13	15	16	14	17	18	17	18	18	20	19	19	19	21	21	21	25	23	23	23	23	24	25	24	27	26	26	30	28	28	29	29	30	31	35	0	1	0	0	4	3	3	7	6	6	8	10	12	0	11	11	12	14	11	11	18	0	19	21	23	22	29	22	24	20	18	22	28	24	30	20	26	35	36	22	36	30	35	41	44	1	2	1	1	3	2	2	1	1	1	1	2	1	1	2	3	1	2	2	3	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	3	3	2	1	3	2	3	2	1	2
17500	-278.231638842457357	-276.766763498405396	-1.464875344051981	0.000091495419175	0.000029476184763	0.322160224292734	0.476321770445202	0	2	6	7	9	10	10	12	13	12	14	14	15	15	18	17	17	17	18	19	18	19	20	20	21	22	23	23	23	23	22	23	24	24	27	27	28	31	28	28	29	28	31	30	34	0	1	0	0	4	3	3	7	6	6	7	10	10	0	11	11	12	14	8	11	18	0	16	21	23	22	21	22	24	19	14	22	32	24	30	20	26	35	35	33	36	23	39	39	44	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	1	2	1	3	2	1	1	1	1	1	1	2	2	2	3	3	2	1	1	2	5	3	2	1	2	1	5	1	1	2
