step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52
5000	-265.887487150728532	-274.938330531179872	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980677827002026	2	10	8	18	20	14	22	25	21	17	23	32	18	26	14	32	22	28	28	34	35	33	25	33	23	28	32	39	37	32	36	41	36	43	39	45	37	41	42	40	45	46	48	52	56	52	59	42	51	55	60	67	0	1	1	6	6	2	3	5	13	3	2	17	3	6	2	26	4	11	7	23	7	26	9	11	5	4	8	20	30	25	23	35	22	28	33	40	14	29	8	16	33	48	39	28	36	36	49	30	35	41	46	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-263.334621541176830	-272.385464921628170	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980658264597056	3	9	7	18	20	15	22	16	21	26	15	27	24	29	24	32	21	27	32	35	37	36	25	33	28	31	29	40	38	35	30	32	44	42	48	41	31	38	49	47	32	48	37	56	49	47	57	44	50	56	63	60	0	1	1	2	6	3	6	3	8	8	1	5	5	11	4	27	2	7	17	32	15	16	8	10	7	7	13	38	19	23	9	17	20	22	36	16	25	24	21	33	12	21	41	39	40	33	42	38	33	35	47	49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-268.637708615395525	-277.688551995846865	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999962330022493	0	11	9	22	19	18	20	23	20	25	16	30	5	26	18	29	28	24	35	30	32	36	24	29	23	30	34	36	29	41	37	38	44	40	43	40	37	33	45	46	42	46	49	63	58	56	59	48	48	56	53	67	0	13	1	11	13	2	3	3	3	6	3	4	1	2	2	15	6	6	10	15	8	21	9	18	5	25	18	12	9	28	12	19	19	28	20	22	17	8	36	27	20	36	33	50	51	51	42	35	41	30	32	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-269.038901509282539	-278.089744889733879	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999881103112963	2	11	7	15	21	18	22	24	21	21	17	35	21	29	22	23	26	30	32	31	36	37	26	32	30	27	32	43	36	37	23	36	44	38	50	43	34	29	45	42	42	40	38	52	49	53	64	43	54	54	61	58	0	3	1	3	6	3	6	9	11	3	3	38	2	10	4	2	11	8	16	8	20	26	7	7	31	31	11	32	25	12	6	19	29	18	48	7	18	10	41	43	37	32	24	35	28	36	46	24	44	45	39	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-264.935483931216197	-273.986327311667537	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998650093961756	2	9	5	17	21	13	20	19	19	17	21	26	17	28	25	20	24	32	36	36	26	36	29	35	31	28	32	39	41	40	29	36	42	42	47	43	34	38	49	40	42	40	47	49	55	54	59	49	44	48	61	66	0	1	1	2	13	2	13	6	6	3	10	13	6	9	13	4	16	31	37	26	10	23	16	26	17	7	26	26	20	25	8	23	32	30	19	14	5	31	30	38	26	32	41	41	43	48	39	32	37	36	39	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-267.721935059232067	-276.772778439683407	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987251373311854	3	9	9	17	22	7	14	24	18	25	16	36	16	29	18	25	22	33	31	36	32	36	29	32	29	18	32	38	39	40	37	40	35	36	48	43	37	31	50	38	42	44	50	61	46	53	62	54	56	48	63	66	0	1	1	2	26	1	2	5	3	9	3	21	6	9	1	7	9	5	5	23	23	38	9	25	17	2	23	21	24	8	27	38	25	19	32	10	19	5	41	21	31	20	41	49	40	29	46	42	39	29	46	49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-267.999122012929433	-277.049965393380774	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998715246641798	3	10	6	14	21	9	22	15	15	25	17	31	19	19	25	29	16	25	33	33	28	31	32	32	27	36	35	36	40	33	40	29	41	44	47	41	38	35	44	46	45	45	53	62	38	53	64	47	50	55	53	64	0	3	1	3	8	1	11	2	2	14	6	15	9	9	9	25	6	9	25	18	10	11	25	15	14	10	12	4	5	21	20	7	37	23	33	26	16	32	26	26	45	29	34	43	22	42	50	45	40	37	41	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-282.087785827257960	-291.138629207709300	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983205807130567	1	10	7	15	24	18	20	23	13	26	18	28	21	30	27	27	26	30	34	31	35	38	28	22	28	24	32	33	24	41	38	41	43	39	46	42	32	33	50	42	42	48	48	61	53	48	54	52	53	48	63	46	0	1	1	2	9	9	9	6	2	6	4	7	11	16	29	6	4	23	29	10	14	37	29	2	29	6	12	20	9	19	21	27	16	38	38	21	12	24	30	38	37	27	21	35	52	30	30	40	39	31	45	26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-271.671436383458456	-280.722279763909796	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.943476584954020	-3	9	4	20	23	9	21	23	16	27	15	33	23	25	17	32	22	32	31	29	37	36	29	30	28	26	26	40	36	41	39	40	41	45	43	43	32	33	35	44	43	46	50	54	42	52	51	41	47	49	60	66	0	3	1	11	11	3	9	9	6	17	2	5	3	9	11	27	11	5	26	7	23	27	8	8	7	17	17	18	27	39	16	39	21	39	28	21	5	27	24	45	28	29	37	49	37	33	45	22	32	28	30	44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-279.958008834951784	-289.008852215403124	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.926225764237974	-5	12	7	19	23	18	18	15	12	26	20	30	25	26	26	27	18	28	32	27	34	29	22	33	18	31	28	31	38	39	39	36	46	43	51	41	35	35	42	43	43	49	48	58	57	43	64	50	54	48	62	63	0	3	1	8	17	9	2	9	3	17	9	10	8	6	23	25	9	23	27	23	14	13	3	10	8	14	5	10	15	38	16	19	21	12	41	14	13	14	10	14	26	41	37	34	50	38	26	31	33	39	49	44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000	-266.698074568221671	-275.748917948673011	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985701130579393	3	9	8	17	14	18	24	25	18	23	19	23	25	20	20	22	25	29	26	33	37	35	31	30	29	35	35	31	38	41	37	36	41	44	47	46	34	42	31	40	41	44	45	56	48	57	63	54	44	43	53	63	0	1	1	2	3	5	11	9	2	11	5	15	15	9	5	5	4	17	7	17	8	18	17	16	9	39	23	12	20	26	25	17	37	29	34	42	18	31	12	25	27	40	33	45	40	51	44	33	41	32	50	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	-273.943131643156562	-282.993975023607902	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995004251760091	2	8	7	15	20	14	18	25	24	24	18	33	23	26	23	26	19	27	32	38	31	40	25	26	23	29	37	38	36	30	32	30	47	44	43	32	36	44	42	34	41	37	47	59	55	53	63	48	52	42	51	63	0	1	1	3	6	3	6	4	17	5	6	25	7	15	17	5	4	13	10	30	25	40	4	5	17	23	32	14	23	23	15	14	50	28	21	17	16	42	27	23	19	32	20	43	28	50	34	50	50	36	35	44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11000	-262.029252977167289	-271.080096357618629	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989394412258703	-5	5	9	16	25	13	22	16	15	27	19	23	20	25	22	30	22	28	29	35	37	33	30	30	23	34	30	42	35	34	34	40	48	42	41	39	37	43	48	44	39	48	53	57	56	55	57	45	48	49	53	63	0	1	1	3	12	2	9	3	2	17	8	4	9	9	4	14	9	8	15	19	31	14	7	10	11	10	15	37	19	7	13	21	20	20	30	26	18	37	41	31	26	23	33	40	28	33	43	37	40	28	48	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11500	-278.352973393691855	-287.403816774143195	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996142561999487	-7	7	8	13	24	12	21	18	20	27	16	31	25	26	26	29	28	33	31	34	33	33	26	33	29	27	33	42	39	36	41	31	46	38	50	40	30	35	41	42	34	39	50	55	43	52	59	39	47	55	57	67	0	1	2	2	7	2	6	6	3	8	2	7	7	6	8	10	8	8	14	13	23	26	7	23	11	13	15	24	19	18	18	7	18	18	27	41	15	24	32	12	25	19	28	33	41	39	43	27	48	33	31	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12000	-277.833985732267934	-286.884829112719274	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995945583163580	4	8	9	13	22	11	12	23	19	27	21	31	21	23	21	32	21	34	25	31	31	37	25	27	32	32	31	41	35	29	38	34	46	26	52	30	33	35	40	43	38	44	48	62	51	54	62	53	51	52	57	48	0	1	1	3	4	1	2	17	4	8	6	24	7	1	4	9	4	17	11	8	17	36	9	8	36	34	34	29	36	15	12	19	27	17	42	23	14	25	16	26	26	28	39	45	43	45	50	33	28	52	45	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12500	-268.910281559623797	-277.961124940075138	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.968618685548518	0	9	7	21	20	17	23	22	15	24	23	31	18	20	23	32	24	26	34	38	38	30	26	36	27	29	32	34	40	34	42	39	39	41	30	45	33	37	46	47	42	40	41	53	55	49	62	54	45	46	55	69	0	1	1	6	2	2	6	9	2	14	13	7	9	2	6	26	6	8	16	27	7	10	9	10	11	15	7	23	26	35	24	22	28	38	10	29	13	23	20	43	10	37	33	43	46	49	44	46	29	20	41	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13000	-281.637618341150016	-290.688461721601357	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992308779755855	0	8	10	15	22	13	18	21	22	19	19	32	22	26	24	32	25	27	29	39	21	33	23	31	29	32	25	34	31	32	33	32	44	34	48	44	38	33	48	43	39	51	46	61	55	50	61	41	49	51	39	62	0	1	1	3	7	2	3	6	8	3	6	21	4	23	10	17	21	13	4	38	7	27	7	5	8	5	8	25	27	8	23	21	34	15	14	19	30	17	37	29	19	40	31	35	50	48	50	24	40	40	19	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13500	-267.629978838657848	-276.680822219109189	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.956778577196183	3	9	6	18	24	17	17	19	13	24	23	30	22	22	11	27	29	23	34	32	37	34	31	36	28	34	32	40	33	38	42	38	45	44	49	42	39	35	38	45	44	46	50	61	58	51	59	46	51	56	55	45	0	3	1	15	6	2	1	9	1	14	6	10	7	8	1	13	13	6	17	5	20	13	4	23	11	12	5	22	10	11	38	25	20	29	52	24	20	25	26	28	12	39	28	49	51	33	43	32	40	48	32	32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14000	-259.377812375112683	-268.428655755564023	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994488140158598	-5	9	2	18	17	14	23	20	14	25	23	32	20	26	19	28	28	31	34	34	33	40	31	39	27	34	31	42	42	38	38	33	48	41	43	40	39	35	46	46	34	48	48	52	49	51	61	47	56	57	53	59	0	3	1	9	6	2	15	6	2	15	8	11	9	8	6	7	7	25	16	7	25	41	16	32	13	14	10	23	20	32	32	15	31	21	30	20	17	23	26	37	18	35	38	42	22	42	46	31	37	45	28	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14500	-285.445049748212114	-294.495893128663454	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986994391418404	-2	11	5	22	22	14	11	18	19	25	16	25	17	18	24	28	29	32	36	36	31	41	26	31	29	29	26	36	35	33	32	38	39	40	48	43	40	45	45	42	15	51	51	52	45	56	57	46	46	44	61	62	0	3	1	2	11	2	3	6	2	13	7	8	7	2	14	23	5	13	25	26	13	32	8	13	13	13	4	10	16	26	23	18	4	26	45	32	26	29	22	17	3	45	40	35	33	42	35	19	29	33	38	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15000	-280.313929931623250	-289.364773312074590	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996663698082524	2	6	9	21	23	17	24	17	14	22	18	36	21	23	19	24	23	29	33	21	33	34	30	37	33	32	29	35	42	35	39	39	38	39	42	45	34	45	45	38	45	48	29	61	51	55	62	48	56	49	49	68	0	1	1	6	2	3	15	3	2	1	9	9	8	9	9	6	6	7	4	2	18	16	5	7	15	4	14	27	21	13	25	28	21	43	40	24	43	40	40	37	32	29	16	49	42	45	49	29	34	27	31	44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15500	-260.701255026947251	-269.752098407398591	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.957007090788789	3	7	8	16	21	17	24	10	17	25	20	31	21	26	24	27	22	29	29	33	29	32	30	38	24	31	26	42	39	34	35	42	45	45	47	46	39	42	47	40	31	49	53	56	52	46	60	50	51	55	55	59	0	1	1	8	4	8	13	2	2	6	9	7	4	13	6	5	9	6	15	10	5	14	27	17	6	7	17	41	22	41	16	29	12	28	37	37	26	31	24	26	10	30	46	28	46	37	50	32	46	39	35	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
