beta[0,0]	beta[0,1]	beta[1,0]	beta[1,1]	betaWardOut	betaOutOut	Se	Pi	mu	sigma	nu1	nu2	tau	alpha
0.185855	0.078771	0.001782	0.050704	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.240279	0.006380	0.002777	0.069195	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.236235	0.023124	0.014117	0.067033	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.199030	0.006893	0.000545	0.043590	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.130079	0.011383	0.000250	0.055164	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.114916	0.037703	0.007852	0.052420	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.193711	0.002673	0.002400	0.069356	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.181772	0.009733	0.007373	0.055522	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.158796	0.008107	0.000399	0.054794	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.172420	0.046826	0.004109	0.040987	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.176010	0.032727	0.015213	0.047352	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.254168	0.043490	0.005644	0.054767	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.206080	0.037913	0.003916	0.065346	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.152050	0.037913	0.005333	0.083327	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.143369	0.006086	0.001973	0.083327	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.090428	0.038576	0.000443	0.071075	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.146397	0.029902	0.015269	0.024622	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.176211	0.030803	0.015269	0.044898	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.181593	0.037648	0.032715	0.066035	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.136793	0.007667	0.000669	0.067533	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.111982	0.012854	0.004570	0.033318	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.152590	0.005791	0.003533	0.041534	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.165557	0.014101	0.006847	0.031776	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.147973	0.017892	0.008217	0.029277	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.229938	0.013147	0.011391	0.036607	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.272096	0.010872	0.005025	0.059054	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.197510	0.120660	0.008912	0.042046	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.192389	0.040150	0.008966	0.046339	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.217056	0.011438	0.014345	0.056230	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.167017	0.012750	0.011364	0.072030	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.137519	0.011684	0.007596	0.064360	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.107936	0.045934	0.016596	0.098974	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.218245	0.002199	0.042164	0.026354	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.184850	0.037309	0.003326	0.061636	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.147219	0.073343	0.004127	0.058632	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.185549	0.068517	0.004043	0.063585	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.230952	0.019252	0.016108	0.039183	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.153843	0.014673	0.021793	0.038951	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
