step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74
5000	-374.811046956758105	-383.861890337209445	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998921976473462	1	12	9	26	16	16	27	23	22	28	31	20	31	28	29	39	30	29	37	30	32	28	38	33	37	35	38	36	31	35	21	33	35	45	33	28	25	35	36	41	34	41	44	37	46	37	43	37	34	52	46	38	34	45	46	34	45	42	48	42	52	42	41	47	52	47	48	37	51	49	54	48	60	63	0	1	1	9	2	3	31	12	31	9	7	2	22	37	8	28	37	12	4	10	22	31	35	17	22	4	24	17	22	10	6	7	20	49	36	37	8	11	29	39	22	35	17	21	23	29	38	24	22	55	16	29	20	44	58	14	56	26	16	39	34	30	26	25	60	43	57	13	43	40	45	35	71	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-384.872026261824772	-393.922869642276112	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.976389320767667	1	7	12	27	21	16	29	30	20	24	24	20	24	25	33	38	31	25	35	30	46	37	42	25	42	35	36	33	34	30	26	33	37	47	30	34	33	32	33	28	34	36	39	36	49	41	38	31	44	48	42	30	39	37	54	33	44	42	39	42	41	47	41	42	53	45	48	49	44	49	51	51	56	71	0	1	2	12	3	1	14	18	6	9	6	3	9	12	4	52	13	5	24	10	16	20	53	5	56	20	30	7	24	12	6	24	4	43	24	40	10	3	20	13	18	39	39	17	53	44	32	14	15	44	41	13	54	38	64	8	53	29	15	43	54	19	35	24	67	30	36	53	59	57	46	69	71	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-375.511376857052312	-384.562220237503652	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994917954409240	1	8	12	27	23	15	29	34	22	33	33	29	30	29	35	39	33	32	35	32	43	33	45	36	39	29	41	18	30	32	30	30	36	40	27	35	25	25	40	28	34	40	45	34	48	44	39	35	40	53	40	39	38	35	49	39	46	44	43	38	49	42	37	46	49	45	51	46	51	49	51	55	49	65	0	1	2	9	28	3	5	4	2	4	12	37	38	6	14	36	12	26	13	40	10	40	16	37	33	35	20	6	35	38	5	4	4	8	5	40	9	28	36	38	13	36	56	31	58	24	8	14	32	61	22	29	40	26	23	30	33	41	53	38	25	54	14	49	39	49	43	49	16	48	39	45	21	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-379.147639265970042	-388.198482646421382	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996279221452074	2	11	9	21	14	5	19	25	19	28	23	23	26	19	32	37	28	19	36	29	39	30	42	31	35	35	31	35	25	34	36	33	33	46	35	34	36	37	41	31	38	38	47	37	43	45	45	29	41	45	43	41	43	41	53	39	42	38	47	46	50	43	42	41	54	43	48	52	54	47	60	50	59	65	0	6	1	5	3	1	5	4	2	9	18	9	14	5	9	28	4	5	24	14	24	17	36	8	27	40	11	13	12	18	20	8	10	64	27	20	13	27	19	29	26	32	19	32	31	49	54	7	27	23	30	42	16	26	70	30	52	48	58	23	62	33	28	16	68	16	47	54	62	64	69	50	68	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-390.559360328543335	-399.610203708994675	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989856665807728	1	14	9	27	23	18	26	33	25	28	28	30	24	29	25	36	33	22	29	32	49	33	44	36	34	30	38	22	32	18	35	25	33	43	32	36	35	32	41	38	35	38	46	41	48	40	43	35	42	52	44	40	43	42	52	31	40	48	50	29	42	45	41	40	53	47	48	35	55	50	57	55	58	73	0	3	1	5	6	2	30	19	28	15	18	30	3	30	18	4	10	3	15	9	64	26	39	9	14	13	19	2	19	3	60	18	11	39	13	38	11	28	8	17	60	26	7	36	64	35	16	19	25	45	64	32	60	48	21	9	9	63	44	15	31	44	24	7	57	44	57	56	62	54	23	58	55	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-384.818803243825869	-393.869646624277209	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.954595290871849	4	16	11	18	22	18	23	24	25	29	32	23	36	23	36	39	34	23	29	34	40	37	41	18	39	28	29	31	29	35	32	31	40	47	31	35	26	37	36	38	31	30	46	31	46	49	40	36	40	51	42	42	32	35	48	41	40	37	47	38	53	45	37	40	47	40	55	45	55	45	54	51	52	66	0	1	1	2	2	2	6	4	4	8	18	24	26	2	42	28	44	24	12	35	53	35	32	3	27	6	12	12	14	31	19	6	58	56	8	26	6	10	18	30	9	8	63	29	53	21	28	12	15	52	39	40	27	19	23	39	54	53	66	53	56	60	31	41	21	53	59	52	60	33	45	68	65	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-383.824365704802062	-392.875209085253402	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987466453475448	3	16	9	18	19	18	24	28	14	28	25	25	29	22	28	31	32	21	29	33	43	32	43	35	27	35	38	24	31	33	33	27	38	47	34	28	37	37	39	36	35	34	48	33	44	37	39	33	38	43	39	39	35	44	54	31	42	45	50	43	51	40	40	45	45	40	53	52	50	49	59	49	45	59	0	3	1	3	9	3	4	4	1	14	4	6	28	5	4	25	32	2	12	14	17	18	35	15	14	25	31	6	12	56	25	4	17	22	17	14	29	42	26	18	16	12	51	19	42	22	37	11	35	33	25	10	15	63	43	12	29	33	60	33	58	30	41	40	26	48	60	51	41	66	68	64	39	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-375.042242428048269	-384.093085808499609	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997482279265662	2	7	14	27	14	13	26	30	25	30	32	28	22	29	24	29	32	33	35	33	45	32	41	34	40	31	38	34	32	36	37	30	35	41	27	31	30	35	41	41	34	30	33	38	47	44	40	30	38	43	31	39	44	44	52	35	45	40	47	43	48	45	39	43	53	45	50	53	60	45	54	53	60	71	0	1	2	6	2	2	6	15	3	9	16	13	6	13	3	9	6	42	16	35	30	14	30	15	24	15	7	11	4	51	20	15	13	29	6	9	15	36	26	52	16	35	37	18	39	58	19	35	43	44	14	10	44	38	58	16	63	20	33	49	57	63	56	18	47	25	60	21	72	19	61	64	71	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-392.912278014046024	-401.963121394497364	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972455878528520	-1	17	7	29	20	14	27	18	27	31	34	25	30	30	30	33	27	30	35	28	48	31	43	28	37	35	37	24	31	32	35	33	24	43	31	37	32	25	36	37	34	34	41	37	51	42	41	33	41	49	41	43	36	31	47	41	44	45	36	45	53	40	46	49	42	47	53	46	56	50	49	50	59	70	0	3	1	8	8	3	6	1	28	4	20	5	38	28	12	28	5	12	38	8	43	20	53	5	16	42	48	8	17	33	30	7	6	16	33	10	38	8	30	16	14	7	25	20	60	30	37	5	19	60	41	40	14	7	62	40	40	9	37	56	41	54	37	51	36	16	65	43	64	9	52	57	45	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-375.246857237308348	-384.297700617759688	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994506991398450	1	13	10	27	13	16	24	33	25	31	29	21	34	30	25	37	28	32	31	21	38	36	42	32	37	30	37	34	33	35	28	20	39	47	37	34	30	33	39	41	35	38	47	41	47	46	20	36	43	52	40	41	40	39	51	34	40	42	46	40	48	39	44	49	41	47	46	52	52	45	56	53	59	67	0	3	1	47	3	2	32	11	47	4	7	6	14	9	12	8	15	4	12	2	26	26	56	9	24	15	26	4	5	19	6	5	8	60	29	12	4	32	9	28	9	10	53	14	22	27	2	8	41	63	19	24	11	38	23	11	22	38	54	11	27	18	65	28	26	60	40	25	61	39	69	39	67	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000	-396.259631675043636	-405.310475055494976	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995740546820276	1	15	10	25	9	19	26	23	19	26	27	26	32	28	28	29	25	18	35	35	37	35	37	19	32	30	31	33	34	34	22	31	36	48	34	37	35	36	40	38	32	32	38	38	51	41	43	32	41	44	45	26	39	35	54	37	45	45	43	37	43	35	34	45	53	44	46	49	58	48	57	56	57	71	0	5	1	31	1	2	9	18	2	6	31	18	10	2	24	6	2	3	10	16	48	27	15	3	14	7	4	32	31	28	6	10	26	47	10	54	13	11	28	28	6	52	41	10	58	33	21	52	62	46	26	31	25	12	62	7	37	36	36	27	42	10	26	20	61	54	49	39	66	54	68	70	40	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	-395.815147192988718	-404.865990573440058	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996443518208336	3	13	10	24	23	17	30	24	26	30	17	29	33	24	29	32	25	33	35	31	50	37	35	19	40	33	34	29	28	23	31	34	41	47	37	31	21	40	38	38	38	39	44	39	47	42	34	36	35	44	41	40	43	40	45	25	40	41	50	40	52	47	42	33	51	46	49	51	51	53	55	49	58	63	0	1	1	6	11	2	9	11	11	9	2	6	28	24	30	5	11	9	28	37	46	16	56	1	23	14	11	8	24	2	9	16	41	42	29	15	6	14	12	29	17	36	42	32	52	16	17	15	31	27	7	35	47	16	26	6	31	18	55	15	40	44	22	20	66	41	44	38	40	53	66	60	45	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
