step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62
5000	-329.835344253147412	-336.690832204106812	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635985864394271	2	4	3	4	5	5	8	7	7	8	10	9	9	10	12	12	11	12	11	15	13	14	15	14	14	15	17	15	17	17	15	16	16	17	16	16	18	19	18	17	19	19	18	18	20	19	19	21	21	23	21	20	22	21	21	22	24	24	25	27	29	31	0	3	1	3	0	4	5	6	6	5	10	9	7	6	12	13	13	11	7	24	13	16	18	13	16	19	20	24	21	22	19	28	19	20	22	22	32	29	22	20	16	27	28	20	35	36	40	30	41	55	35	26	48	28	43	39	26	45	58	58	0	0	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	2	1	2	2	1	3	1	2	1	1	3	1	1	2	2	2	1	2	1	1	1	1	1	2	1	3	2	1	1	2	2	1	2	1	1	2	2	1	4	1	2	5	2	1	2	1	1
5500	-313.637022009344378	-320.492509960303778	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.749623344320585	1	4	3	4	4	5	6	7	8	8	10	9	8	8	11	12	11	12	10	14	13	14	16	13	15	15	17	14	18	17	16	16	16	16	16	16	17	17	19	18	17	18	18	17	19	18	18	20	20	22	20	20	21	21	21	22	23	26	25	25	29	30	0	3	1	3	0	4	5	6	6	7	10	6	7	6	12	19	13	11	10	16	17	16	18	17	16	16	26	21	38	28	28	20	26	26	22	22	28	28	30	16	26	34	35	28	35	36	33	39	40	55	37	46	45	41	34	48	39	57	56	56	0	0	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	3	2	1	2	1	1
6000	-291.935891802586468	-298.791379753545868	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.849387899721903	-1	2	4	4	5	5	9	7	6	7	11	10	9	11	12	12	11	13	11	13	13	13	15	14	15	14	16	14	16	18	16	15	16	16	16	17	18	18	18	19	18	18	18	17	19	19	17	21	21	21	19	20	20	19	23	23	23	25	24	27	30	27	0	1	2	2	0	4	10	6	6	5	7	9	10	6	12	19	13	11	13	16	17	7	18	19	16	16	28	16	26	36	24	19	24	24	26	22	25	29	26	33	47	34	33	32	35	36	32	30	54	43	25	46	30	41	50	48	53	56	48	58	0	0	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1
6500	-307.950430596514366	-314.805918547473766	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.706099950213403	1	3	5	4	4	6	8	8	7	6	10	9	8	9	11	12	11	13	11	14	12	13	15	12	15	15	17	14	17	17	15	15	16	17	16	16	18	18	18	16	18	20	18	17	19	18	18	20	20	22	20	20	22	21	20	23	23	26	25	27	29	30	0	1	2	2	0	4	10	6	6	5	10	9	10	8	12	19	13	11	7	7	17	17	18	17	16	24	28	24	16	22	22	24	28	16	16	20	28	34	30	19	26	34	33	26	20	36	33	30	34	55	39	46	48	32	34	48	53	56	56	58	0	0	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	3	2	1	2	1	2	2	1	2	1	1	2	1	2	1	1	3	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1
7000	-311.743671921029204	-318.599159871988604	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.719048994007188	2	3	4	4	4	6	7	8	7	6	10	9	8	10	11	12	11	12	11	14	12	13	15	14	16	15	16	12	16	17	16	15	16	16	16	17	19	18	18	18	18	19	18	19	18	19	19	21	21	21	20	20	21	21	22	23	23	27	26	26	30	29	0	1	2	2	0	4	10	6	6	5	7	9	10	8	12	19	13	11	13	16	17	17	18	16	26	24	22	19	32	28	22	28	19	20	22	16	27	29	22	27	32	34	20	27	35	36	40	30	27	43	27	46	36	47	50	30	53	56	56	48	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	3	1	1	2	1	1	3	1	1	2	1	2	1	2	2	2	1	1	2	2	2	2	1	2	1	1	2	1	1	2	3	1	1
7500	-322.199977150728728	-329.055465101688128	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646161381202931	0	2	4	3	5	5	9	7	7	7	11	9	9	10	12	13	11	12	11	15	13	13	16	14	15	15	17	14	17	18	17	15	16	16	17	17	17	19	15	17	18	20	18	18	18	19	18	22	19	23	20	21	21	21	23	24	23	26	26	26	30	31	0	1	2	2	0	4	10	6	6	5	10	9	10	9	12	13	13	11	13	19	17	19	18	19	16	24	32	19	24	39	22	19	19	24	22	22	28	27	28	33	24	35	34	16	39	16	33	53	41	43	35	46	46	49	27	48	53	46	56	48	0	0	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	2	3	1	2	2	2	1	1	1	2	2	1	2	1	3	1	1	1	2	2	2	1	1	2	1	1	2	1	2	1	1
8000	-326.860587481990706	-333.716075432950106	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.744105516360700	-1	2	4	4	3	5	6	7	7	7	10	9	9	10	10	12	11	13	11	15	13	14	16	13	16	14	15	14	17	17	16	15	16	17	15	16	18	18	18	17	19	19	19	19	20	19	18	21	20	23	21	20	22	22	20	23	24	25	25	26	27	31	0	1	2	2	0	4	5	6	6	7	13	9	10	6	12	19	13	11	13	24	17	16	18	16	26	24	26	16	26	22	11	24	16	26	22	28	32	29	31	33	28	19	40	34	31	28	40	39	42	55	35	46	45	49	20	48	53	56	48	58	0	0	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2	2	1	1	2	1	1	1	2	4	1	1	2	2	1	1	1	2	3	1	1	1	3	1	1	1	1	1	1	1
8500	-326.390591730454958	-333.246079681414358	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.643032464539513	1	2	4	3	2	5	8	7	7	6	10	9	8	10	12	12	11	12	11	14	12	14	14	13	14	15	16	14	17	16	16	15	16	17	16	17	18	19	18	18	17	19	18	17	19	19	18	21	19	23	20	20	21	21	21	23	22	25	26	26	29	30	0	1	2	2	0	4	10	6	6	5	10	8	10	8	12	19	13	11	13	16	10	21	18	19	16	19	28	16	21	22	24	16	20	27	22	25	24	28	30	33	26	32	34	28	35	36	33	39	33	42	35	26	31	49	20	48	53	53	56	56	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	1	3	1	2	1	2	3	1	2	2	1	2	1	1	1	1	1	3	3	2	1	1	2	1	2	2	1	1	1	1	3	2	2	2	2	3	1	1	2	1	1	1	1
9000	-320.003315582172092	-326.858803533131493	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.718421547363958	2	3	5	4	4	5	9	8	7	7	10	10	8	11	12	12	10	13	12	15	13	14	15	14	16	16	16	14	17	17	16	15	16	15	17	16	18	18	18	17	17	19	18	18	20	18	19	22	19	23	20	20	21	21	21	22	22	26	26	27	29	30	0	1	2	2	0	4	13	6	6	5	10	8	10	4	12	13	10	11	11	28	17	19	18	19	34	32	32	16	32	22	28	24	24	16	34	16	25	29	31	33	34	34	26	27	35	36	33	45	33	55	30	46	37	49	47	39	53	36	56	56	0	0	1	1	1	1	1	1	1	2	1	2	2	1	1	3	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	1	1	2	1	4	2	2	1	1
9500	-299.980073093401813	-306.835561044361214	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.771738487260029	1	3	4	4	5	6	8	8	7	7	10	9	9	10	11	11	11	12	12	15	11	13	15	13	15	14	17	15	18	16	16	16	16	16	16	17	17	19	19	18	17	20	17	18	19	20	18	22	20	22	18	19	22	21	21	23	24	24	24	25	29	30	0	1	2	2	0	4	10	6	6	5	7	9	7	8	12	13	13	11	16	16	13	19	18	16	19	19	24	24	24	22	22	24	28	26	22	34	20	29	36	32	33	34	35	20	30	20	34	30	27	55	35	36	39	49	43	48	53	48	48	58	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	3	1	2	2	1	2	1	2	2	1	1	1	1	1	1	2	1	2	1	3	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1
10000	-313.135394422685692	-319.990882373645093	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.674585409608777	2	3	5	4	4	6	8	8	7	7	10	9	8	10	11	13	11	13	11	15	12	13	16	13	15	15	17	14	17	16	16	15	16	15	16	17	18	18	16	17	18	17	19	18	16	19	16	21	20	20	20	21	22	21	22	23	24	25	25	26	30	30	0	1	2	2	0	4	10	6	6	5	7	9	5	8	12	19	13	11	10	19	17	17	18	19	28	19	26	16	22	22	22	13	19	22	22	22	30	29	26	47	47	26	42	33	32	31	28	39	32	33	35	46	39	49	32	48	53	56	56	58	0	0	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	2	1	2	1	2	1	1	2	2	2	3	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	3	1	1	1	1	1	1	1
10500	-331.607581181636817	-338.463069132596218	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.715733225957964	-1	2	4	4	4	6	8	7	8	6	10	9	8	10	11	12	11	12	12	14	13	14	15	11	15	16	17	14	17	15	16	15	15	17	16	17	18	18	19	17	18	20	18	18	18	18	19	21	19	21	21	21	22	22	21	23	23	27	25	27	30	29	0	1	2	2	0	4	10	6	6	5	7	9	10	6	12	24	13	11	24	16	17	19	18	13	17	24	24	24	20	22	22	24	17	28	30	31	26	28	30	32	33	34	20	19	35	20	40	45	41	19	27	46	42	49	27	50	53	56	56	56	0	0	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	2	2	1	1	1	1	1	1	1	2	3	2	1	1	1	2	1	1	1	1	2	2	2	1	2	2	2	2	1	2	1	1	1	3	2	1	1	2	2	1	1	2	1	2	1	1
11000	-308.390268593995302	-315.245756544954702	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.763445800492495	2	3	4	4	4	5	8	7	7	7	9	9	8	9	12	13	12	12	11	14	13	14	16	14	16	16	17	14	17	17	15	15	16	16	17	17	18	18	19	18	17	20	18	17	18	19	17	20	19	20	21	20	20	21	23	23	23	26	25	26	30	30	0	1	2	2	0	4	10	6	6	5	7	9	10	9	12	19	13	13	13	16	17	16	18	19	20	28	31	16	32	31	19	16	10	20	22	24	24	29	30	47	32	26	34	32	24	36	32	36	35	43	35	46	39	49	50	48	53	56	56	56	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	3	1	1	1	1	2	2	1	1	1	1	1	1	2	1	3	1	2	2	2	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	2	1	1	1	1	2	1	1
11500	-310.408593723995750	-317.264081674955150	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.796752094945346	0	3	5	4	4	5	8	7	7	7	10	10	9	9	11	10	11	13	12	14	12	14	14	12	13	15	16	15	16	16	16	15	16	16	17	17	17	19	19	18	18	20	18	17	19	19	17	22	19	21	20	20	21	21	22	23	22	25	25	26	29	30	0	1	2	2	0	4	10	6	6	5	7	9	7	6	12	13	13	11	16	19	17	24	18	16	17	20	32	13	28	22	22	24	32	20	30	28	20	47	47	32	33	34	34	28	35	27	21	30	33	40	35	46	39	49	43	53	53	56	56	58	0	0	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1
12000	-309.397933265849247	-316.253421216808647	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.778877927255606	1	3	4	4	5	5	8	7	7	6	10	9	7	9	10	10	11	11	12	14	12	13	16	14	16	16	16	14	18	17	16	15	16	16	17	15	19	17	19	18	18	20	18	18	20	18	18	21	21	22	19	21	22	19	22	23	23	27	25	26	29	31	0	1	2	2	0	4	10	6	6	5	10	9	10	4	12	13	10	11	17	19	17	16	18	19	24	28	28	19	32	22	22	22	32	24	32	28	26	32	30	33	24	34	34	24	35	30	33	39	54	42	34	46	48	40	43	39	53	59	48	59	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	2	1	1	1	2	3	1	1	2	1	1	1
12500	-323.598078547417288	-330.453566498376688	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.688128593855822	1	3	5	4	3	5	8	7	7	7	10	9	9	9	12	11	12	12	10	15	12	13	16	14	13	15	17	14	15	16	15	14	17	16	16	16	18	18	18	19	17	18	19	18	19	18	19	21	18	22	20	20	22	21	21	23	24	25	25	26	29	31	0	1	2	2	0	4	5	6	6	5	10	9	7	8	12	13	10	7	10	19	19	16	18	16	16	25	16	16	28	26	22	16	26	28	22	24	20	29	22	33	28	34	34	26	35	36	20	39	32	26	35	46	39	49	42	48	53	56	56	56	0	0	1	1	1	1	1	1	3	1	1	2	2	1	1	1	3	1	2	3	2	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	2	3	4	2	1	2	2	1	1	1	2	1	2	1	1
