step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20
5000	-181.053700079844873	-178.909084536682826	-2.144615543162046	0.000013481315565	0.000036738898655	2.725171625793712	0.525888176704894	3	7	7	10	8	8	10	10	8	10	9	10	11	12	10	12	13	18	24	26	0	1	1	3	1	1	2	11	3	9	1	2	3	6	11	2	16	2	16	0	1	2	3	2	3	4	1	1	1	1	4	1	2	2	1	3	1	5	6	1
5500	-175.155129416550238	-173.694511149289923	-1.460618267260305	0.000017238911215	0.000017168703214	0.995927352976615	0.428241638661463	3	6	7	9	8	7	9	10	9	10	9	11	9	11	12	11	13	19	25	25	0	1	1	3	1	1	2	11	3	9	6	7	3	6	8	7	16	7	12	0	1	2	2	1	2	2	1	1	1	1	2	1	1	2	2	1	1	4	6	1
6000	-164.670413194040293	-163.202128884161652	-1.468284309878651	0.000025277365818	0.000025710043506	1.017117198500867	0.471880112268089	2	7	8	10	6	8	9	9	11	9	8	9	11	11	10	12	12	21	25	26	0	1	1	3	1	1	2	11	10	3	1	2	3	6	11	2	7	16	7	0	1	3	4	1	3	2	2	1	1	1	3	1	2	2	1	3	2	4	8	1
6500	-145.628455752815427	-144.249925589089258	-1.378530163726169	0.000049511434258	0.000035690229686	0.720848228717460	0.562805334481115	3	7	6	10	7	9	9	8	11	10	11	10	10	12	11	13	13	20	25	26	0	1	1	1	1	3	2	2	10	3	8	2	3	6	8	7	12	12	16	0	1	2	1	2	1	2	1	1	1	2	1	2	2	1	2	2	1	5	5	1
7000	-130.378294219377210	-128.830127999814039	-1.548166219563182	0.000117830536789	0.000031237539606	0.265105637782474	0.493021590782266	3	7	7	8	7	8	10	9	9	9	10	9	10	11	12	12	13	19	25	25	0	1	1	1	1	5	12	4	3	3	8	2	3	6	8	7	16	2	16	0	1	2	2	3	3	1	1	1	1	2	1	1	2	1	1	1	1	4	5	1
7500	-141.955873450362787	-140.514358184415727	-1.441515265947050	0.000180986003670	0.000062413980524	0.344855288577465	0.728234645765702	2	5	7	8	8	9	9	9	10	9	11	10	10	12	9	11	12	20	25	25	0	1	1	1	1	2	5	4	3	4	8	7	5	4	2	12	12	7	12	0	1	2	2	3	3	1	1	1	2	1	1	1	1	1	2	1	1	5	5	1
8000	-130.526927131492471	-128.690795470911098	-1.836131660581361	0.000281202189958	0.000047362961347	0.168430272020589	0.690660400167865	2	6	7	9	8	8	10	9	10	9	11	11	9	11	12	12	13	20	26	26	0	1	2	2	2	3	6	3	10	6	8	7	5	3	11	7	6	12	18	0	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	5	3	1
8500	-128.971519629660946	-127.328068148624823	-1.643451481036112	0.000171742986851	0.000038233784688	0.222622101718357	0.547584179697388	3	6	8	8	8	9	10	9	9	11	10	11	10	11	11	12	12	21	23	26	0	1	1	1	1	3	3	3	4	5	8	2	1	6	11	7	12	16	18	0	1	1	2	2	4	1	1	1	1	2	1	2	4	1	1	1	1	4	1	1
9000	-140.006209676980291	-137.942104957037373	-2.064104719942914	0.000198645453182	0.000025701473554	0.129383648817077	0.505067849374014	2	5	5	9	7	8	9	9	10	8	7	10	10	11	11	12	13	21	24	26	0	1	1	2	3	3	3	6	7	1	3	10	6	10	11	12	16	12	18	0	1	2	3	2	1	2	2	1	1	4	1	2	1	2	3	1	1	6	2	1
9500	-130.573312457253621	-128.683745441344598	-1.889567015909016	0.000279920580912	0.000044105698968	0.157565045145169	0.656467007424174	3	6	7	9	8	9	9	8	11	9	10	9	10	10	11	12	12	20	26	26	0	1	1	8	3	3	2	2	3	3	5	2	5	3	11	12	7	16	18	0	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	3	3	1
10000	-136.239325004361149	-134.421945034706283	-1.817379969654879	0.000227029959886	0.000039178629422	0.172570305000856	0.532264591058345	3	6	7	8	8	8	9	9	9	10	10	10	11	11	11	12	13	19	25	26	0	1	1	2	3	1	6	3	5	6	8	2	9	10	8	1	12	2	18	0	1	1	2	2	1	3	1	1	1	1	1	2	1	1	2	4	2	5	3	1
10500	-131.517998036378145	-129.765596110925657	-1.752401925452495	0.000192395982167	0.000036265464958	0.188493878873601	0.572025234354932	2	6	7	7	8	9	10	10	10	10	11	8	9	11	10	12	13	20	25	26	0	1	1	1	3	4	12	6	3	13	3	2	3	6	1	7	2	12	18	0	1	1	2	2	1	1	1	1	1	1	2	1	1	1	4	1	4	7	3	1
11000	-129.711066323148572	-128.214783345110106	-1.496282978038470	0.000188526785202	0.000056044009358	0.297273457972533	0.767541229652942	2	6	8	9	9	7	8	9	10	9	11	10	10	11	11	11	12	20	25	26	0	1	2	2	2	2	1	2	10	2	8	7	3	6	8	12	16	16	18	0	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1
11500	-136.517917105466353	-134.708802850494095	-1.809114254972250	0.000241098835891	0.000042060894517	0.174454987980258	0.350849121211033	3	7	7	7	8	8	9	10	8	10	10	11	10	11	11	13	13	20	24	25	0	1	1	1	1	1	6	1	4	6	1	7	6	3	2	12	2	16	18	0	1	2	2	2	2	3	1	5	1	1	4	1	1	2	2	1	3	4	2	1
12000	-129.777959176125421	-128.134868376193367	-1.643090799932065	0.000226794807582	0.000050519832891	0.222755685765470	0.627479675568175	2	7	8	7	7	7	9	9	10	9	11	9	10	12	11	12	12	19	25	26	0	1	4	1	1	1	4	4	10	6	8	6	3	5	8	7	7	12	18	0	1	2	1	2	2	3	1	1	1	1	1	1	1	2	1	3	2	4	2	1
12500	-125.675457315265675	-123.746486228246482	-1.928971087019186	0.000168281213879	0.000025296908680	0.150325209194916	0.502176303103698	2	7	7	10	8	6	9	10	10	9	11	11	11	11	11	13	11	20	25	27	0	1	1	2	6	1	3	2	10	2	4	7	10	3	8	7	7	16	18	0	1	3	2	2	1	2	1	2	1	1	1	1	1	2	1	2	1	5	3	1
13000	-127.360438840495362	-125.717514994493001	-1.642923846002363	0.000301660275964	0.000067215211432	0.222817575887403	0.604875325265276	3	7	7	9	6	9	10	8	9	11	9	9	10	12	11	12	12	20	25	25	0	1	1	5	1	3	12	3	5	9	3	3	5	7	8	7	7	2	18	0	1	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	5	2	1
13500	-141.357169712121674	-139.880181431846211	-1.476988280275455	0.000262072791016	0.000081747673133	0.311927357342045	0.608343046834977	3	7	6	9	8	8	9	8	11	10	9	8	9	10	11	13	12	20	23	26	0	3	1	8	1	2	2	3	5	7	1	2	2	5	8	7	1	17	18	0	1	1	2	1	2	1	2	1	2	1	2	1	1	1	2	1	4	4	2	1
14000	-132.388312593050046	-130.028333954357294	-2.359978638692758	0.000264732105132	0.000025769869106	0.097343195655686	0.682845800428542	3	6	7	9	8	7	10	9	9	10	10	9	10	11	12	12	12	21	23	26	0	1	1	1	6	1	12	6	3	3	8	6	3	9	8	10	4	16	18	0	1	1	2	2	1	2	1	1	1	2	1	1	1	1	2	1	1	3	1	1
14500	-135.939589236217245	-133.974178624313254	-1.965410611904002	0.000153781237953	0.000022164902942	0.144132686389705	0.387309236312437	2	6	8	10	7	8	10	9	10	10	10	11	9	11	11	12	12	20	25	27	0	1	2	3	1	2	2	2	3	3	8	13	2	6	8	5	2	2	18	0	1	2	1	1	2	1	2	1	1	2	1	1	2	2	1	3	5	6	3	1
15000	-139.847307808811053	-138.310602672645160	-1.536705136165881	0.000202798555268	0.000055056548499	0.271483928599597	0.690354845044818	3	5	5	9	7	8	9	10	11	9	10	9	10	12	11	12	13	20	25	26	0	1	1	3	3	1	2	6	6	3	2	2	3	10	12	7	11	7	18	0	1	1	1	3	1	3	2	2	1	2	3	2	1	1	1	2	1	5	2	1
15500	-136.040257944340652	-134.276449122650973	-1.763808821689687	0.000192938596987	0.000035790610899	0.185502597498092	0.684867139936129	2	7	6	10	8	8	10	10	8	10	11	11	10	11	11	11	12	20	25	25	0	1	1	1	3	2	9	9	1	1	10	7	9	9	8	7	10	12	7	0	1	3	2	3	1	1	1	1	3	3	1	1	1	2	1	1	1	4	6	1
16000	-135.810436381751771	-133.850093958911970	-1.960342422839799	0.000249533695524	0.000036174209709	0.144967234316518	0.405404853126981	2	7	6	8	7	8	10	9	10	10	10	8	11	11	11	12	12	20	25	24	0	3	1	3	3	1	12	2	6	5	6	2	10	3	3	12	7	12	18	0	1	1	2	1	1	2	1	1	1	2	1	1	1	3	2	2	1	6	4	1
16500	-133.312761464167409	-131.665256603695866	-1.647504860471546	0.000231325634444	0.000051153534007	0.221132146160991	0.640770011662390	2	4	7	8	7	8	9	9	9	9	10	10	9	11	9	12	11	20	25	27	0	1	1	1	1	3	5	3	3	4	8	15	3	3	5	12	12	12	18	0	1	1	2	2	3	1	1	1	1	1	1	1	1	2	1	1	1	4	4	1
17000	-139.803519887556945	-138.289498376662777	-1.514021510894156	0.000241700986482	0.000068944899108	0.285248728653274	0.483038188045249	3	6	5	8	8	7	9	8	7	11	11	9	10	8	11	12	12	19	25	27	0	1	1	3	3	3	14	6	3	9	8	8	4	1	4	11	12	7	18	0	1	1	1	2	1	1	1	1	1	2	2	1	1	2	2	1	2	5	4	1
17500	-128.900206870973676	-127.461408198461825	-1.438798672511842	0.000146027078390	0.000050789385479	0.347807995877050	0.684766770330023	2	5	7	7	8	9	9	8	10	9	11	10	10	11	11	13	13	20	25	26	0	1	1	1	1	3	2	3	5	3	8	2	5	4	8	2	7	16	18	0	1	1	2	3	3	1	2	1	1	1	2	2	1	2	1	4	1	3	2	1
18000	-131.267848274199935	-129.620078947602906	-1.647769326597016	0.000165049726377	0.000036481872863	0.221035645827156	0.575012092425950	3	6	7	9	9	8	9	9	10	9	10	10	9	10	10	12	13	21	25	26	0	1	1	6	6	1	3	2	4	6	1	7	1	6	8	13	16	3	18	0	1	2	3	1	1	2	1	1	1	1	4	1	3	1	1	1	1	7	2	1
18500	-132.205673832969609	-129.787303528509540	-2.418370304460078	0.000305258189728	0.000028240161890	0.092512380798469	0.559550913820210	3	7	7	9	8	9	10	8	11	8	10	11	10	11	12	12	11	20	25	26	0	1	1	1	1	2	3	2	7	1	8	4	5	6	8	3	2	7	18	0	1	2	2	2	2	1	2	1	1	2	1	1	1	1	2	1	2	4	2	1
19000	-139.935517886351334	-138.147109021437473	-1.788408864913862	0.000296029298210	0.000053092040137	0.179347248594939	0.442138787237876	2	6	6	8	8	8	9	9	9	11	10	11	9	11	12	12	12	20	26	25	0	1	1	3	2	1	1	4	3	7	8	4	5	13	6	10	13	2	18	0	1	2	1	1	1	3	3	1	1	1	1	1	1	1	2	1	1	6	3	1
19500	-139.137356461038706	-137.523162558767865	-1.614193902270848	0.000278470700739	0.000065170460665	0.234029865590831	0.602253927478149	3	6	6	10	7	8	9	9	9	8	10	11	10	12	10	12	12	20	24	26	0	1	1	3	3	1	2	5	2	3	8	7	3	4	8	2	4	14	18	0	1	1	1	2	1	2	2	1	2	1	1	1	2	2	1	2	1	3	3	1
20000	-122.006716848954497	-120.558492687134091	-1.448224161820404	0.000192448975519	0.000065023004327	0.337871397610233	0.694847705997956	3	6	5	7	9	9	8	10	10	11	11	10	7	11	12	12	12	20	25	25	0	1	1	3	4	4	2	6	4	9	8	7	3	6	11	7	2	16	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	1
20500	-131.758164524242005	-130.352195049386722	-1.405969474855275	0.000245566896600	0.000096110385312	0.391381683130263	0.760434244244695	2	5	7	9	8	9	8	10	11	10	10	10	10	10	12	10	12	19	25	26	0	1	2	3	3	7	2	5	10	3	7	6	3	3	11	7	8	7	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	1
21000	-126.930659342518808	-125.332830043594413	-1.597829298924397	0.000198760369844	0.000047894911217	0.240968112781626	0.599820276171475	3	6	6	9	7	9	9	9	11	10	11	10	11	11	11	12	13	21	25	27	0	1	1	3	1	5	2	5	12	3	5	2	5	6	8	12	11	7	18	0	1	1	1	1	2	1	1	1	1	2	3	2	2	1	2	1	1	5	2	1
21500	-139.107899252110485	-137.268617162830878	-1.839282089279602	0.000238461518852	0.000040002506911	0.167752462131119	0.453546038560750	3	6	7	9	7	7	8	8	11	9	11	10	9	12	9	10	13	20	26	27	0	1	1	5	1	1	1	1	4	8	3	2	3	6	6	2	16	16	18	0	1	1	2	1	2	2	2	2	1	1	2	2	1	3	2	2	2	5	2	1
22000	-127.560121973319724	-125.926522303561370	-1.633599669758350	0.000261456357093	0.000059175817249	0.226331529694312	0.626308703648339	3	6	8	9	8	8	9	8	11	10	10	10	10	9	11	12	12	19	25	26	0	1	2	3	1	2	5	1	5	8	5	2	8	6	11	12	7	12	18	0	1	1	1	1	2	1	1	2	2	1	2	2	1	1	1	2	1	4	3	1
22500	-140.723260534150768	-139.232368600272736	-1.490891933878020	0.000139672607927	0.000042067565542	0.301186941132812	0.454277425779036	3	6	7	8	9	5	10	9	10	10	10	9	11	12	12	13	12	21	24	25	0	1	1	2	1	1	2	3	3	1	8	2	5	11	8	12	2	17	12	0	1	1	2	1	4	1	2	1	1	4	1	2	1	1	2	3	3	4	7	1
23000	-129.220356233944102	-127.590864967668750	-1.629491266275350	0.000217767970308	0.000049632958692	0.227916707043104	0.663658246397304	3	7	7	8	8	9	9	9	10	10	11	11	10	10	11	12	12	20	25	26	0	1	1	2	1	2	3	3	5	3	8	7	4	2	10	3	7	12	12	0	1	2	2	1	3	2	1	1	1	2	1	1	1	1	1	2	1	5	6	1
23500	-136.458363549918346	-134.832265988294068	-1.626097561624275	0.000159824616117	0.000036638793715	0.229243746083093	0.633337594365703	3	7	5	8	8	9	9	9	9	10	11	10	11	11	12	11	12	19	25	26	0	1	1	2	1	2	5	1	3	4	8	2	10	6	8	7	16	16	16	0	1	2	1	1	3	1	1	2	2	1	1	2	1	2	1	1	1	5	6	1
24000	-151.938768221741753	-150.188670742910148	-1.750097478831593	0.000327202370636	0.000061877025341	0.189109343005706	0.614069810092833	2	5	7	9	8	8	8	10	10	8	11	10	10	12	12	11	13	18	25	25	0	1	2	3	3	3	2	4	7	3	8	2	4	6	7	2	3	7	17	0	1	2	1	1	1	1	2	1	1	1	1	3	1	2	2	3	3	4	5	1
24500	-129.159421149321759	-127.403408892483768	-1.756012256837985	0.000167878476433	0.000031483471779	0.187537273674651	0.737610901058555	3	6	8	9	8	9	10	9	11	10	11	11	9	12	12	13	13	20	25	26	0	1	2	3	2	2	3	2	10	3	8	7	2	11	11	12	12	2	16	0	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	7	5	1
25000	-133.810493869279782	-132.306636200020506	-1.503857669259281	0.000265844408933	0.000077623041736	0.291986737834138	0.498380285590527	3	6	8	9	7	7	9	8	10	9	10	10	11	11	12	13	13	20	25	27	0	1	1	2	2	1	1	1	8	1	2	3	9	10	10	12	6	17	18	0	1	1	3	1	1	2	3	3	1	3	1	1	1	1	2	1	3	3	2	1
25500	-129.681672329315603	-128.054539738149799	-1.627132591165799	0.000194948381896	0.000044611462511	0.228837305943384	0.444620188699100	3	6	8	9	9	7	8	9	10	9	10	10	10	11	12	10	11	21	26	27	0	1	6	3	6	1	2	6	3	3	8	7	6	4	3	7	16	12	18	0	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	7	2	1
26000	-130.038661566834094	-128.496397111533526	-1.542264455300577	0.000199617086146	0.000053566440903	0.268345971466645	0.368129994323167	3	7	5	9	7	8	10	9	10	10	11	11	11	12	12	13	12	20	25	26	0	1	1	5	1	1	6	6	3	6	8	6	9	4	11	12	7	2	18	0	1	2	1	1	2	3	2	1	2	1	1	1	1	1	1	1	1	7	3	1
26500	-125.663268886972261	-123.599479877766257	-2.063789009206005	0.000286423787271	0.000037070889502	0.129426713664965	0.797971598658997	3	7	5	7	7	8	9	9	10	10	8	10	9	11	11	13	11	19	23	27	0	1	1	3	3	1	2	11	6	6	3	7	4	6	8	7	7	16	18	0	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	4	2	1
27000	-140.397187779034851	-138.768875341398399	-1.628312437636447	0.000222036006883	0.000050707658831	0.228375836615860	0.480731019307913	2	7	8	9	9	7	9	7	9	10	8	10	10	11	11	12	12	21	25	25	0	1	6	2	6	1	11	1	11	3	1	7	11	3	6	2	7	16	16	0	1	3	1	1	1	2	1	2	1	2	3	1	1	1	2	2	2	5	5	1
27500	-155.349337112430561	-153.970232983356738	-1.379104129073816	0.000241626201064	0.000108411649837	0.448675058247701	0.554682927639832	3	5	8	8	8	8	8	9	9	10	10	10	7	9	11	11	11	19	25	27	0	1	2	2	1	1	1	13	7	6	8	3	2	6	8	13	2	7	12	0	1	1	2	1	2	2	3	1	1	2	1	1	1	1	2	2	4	6	7	1
28000	-143.544391783008308	-142.111138478877677	-1.433253304130625	0.000229713856997	0.000081337510576	0.354081863580359	0.450403027497402	2	6	8	8	7	8	9	9	11	11	10	10	11	10	11	12	12	19	25	26	0	1	1	1	1	5	1	1	7	6	5	6	11	7	11	6	8	2	18	0	1	3	4	3	2	1	2	4	1	1	1	1	1	1	1	3	2	4	3	1
28500	-153.877315258758443	-152.345084927466132	-1.532230331292304	0.000233884892417	0.000064101564207	0.274073128645126	0.505722743493811	3	4	8	8	7	8	7	7	9	10	10	10	11	11	11	12	13	20	25	25	0	1	1	8	1	2	2	1	1	4	4	2	9	8	3	3	4	17	15	0	1	1	2	1	1	1	3	1	2	1	1	3	1	2	2	2	3	3	6	1
29000	-150.604272554588306	-148.677440365298622	-1.926832189289674	0.000134956620796	0.000020338378516	0.150703080705908	0.704201947414458	2	6	7	9	7	8	9	9	10	11	9	10	10	10	10	12	13	18	25	26	0	1	1	5	1	5	3	5	4	2	5	2	3	6	11	3	7	16	16	0	1	2	2	1	5	1	1	1	1	3	1	2	1	2	1	3	2	4	6	1
29500	-136.237457806255435	-134.601279213677941	-1.636178592577501	0.000181094091683	0.000040809221519	0.225348166470999	0.560758752052448	3	7	7	7	9	9	9	10	9	10	8	10	9	11	12	12	11	21	25	24	0	1	1	1	4	2	2	11	3	3	4	2	3	4	11	4	2	16	12	0	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	3	2	7	6	1
30000	-132.278924370161945	-130.772866244153647	-1.506058126008295	0.000217695933394	0.000063239506329	0.290494660800801	0.456327970183148	3	7	7	8	8	7	9	9	10	11	10	9	10	11	10	13	12	19	25	26	0	1	1	1	3	1	3	3	4	9	8	3	6	3	8	2	12	2	17	0	1	2	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	5	6	1
30500	-148.054664173363619	-146.460877410321615	-1.593786763042000	0.000325538342878	0.000079024729602	0.242750911931691	0.404288916026945	2	5	8	9	7	7	10	9	10	10	10	11	11	11	11	10	12	20	24	25	0	1	6	3	1	1	8	5	3	2	8	1	4	8	6	2	11	7	8	0	1	1	1	1	2	3	1	1	1	2	1	4	1	1	3	3	1	5	7	1
31000	-128.701933635383654	-126.951530953840233	-1.750402681543422	0.000190831993361	0.000036072515723	0.189027610554912	0.576877405715603	3	7	8	10	9	8	9	9	11	10	10	11	10	11	12	11	12	20	25	26	0	1	2	8	1	2	2	1	10	3	8	7	1	8	11	7	13	8	18	0	1	1	1	1	2	1	1	2	1	1	1	1	3	1	1	1	1	6	2	1
31500	-142.053003445849242	-140.230378124274836	-1.822625321574399	0.000239755966270	0.000041092639488	0.171393605451822	0.571652098968211	3	5	6	9	9	8	8	9	11	11	8	10	10	11	12	12	13	20	26	26	0	1	1	3	11	3	2	3	6	5	3	3	6	3	6	6	6	12	18	0	1	1	2	1	1	2	1	2	1	1	1	3	1	2	2	2	1	7	3	1
32000	-143.364723924236955	-141.973772781158914	-1.390951143078050	0.000141722213711	0.000059416722825	0.419247775412474	0.504120563765240	1	6	7	8	9	9	8	10	10	10	8	10	10	10	12	13	13	19	22	27	0	1	1	2	11	11	1	7	7	11	1	11	7	3	8	8	12	7	16	0	1	2	3	1	1	1	4	1	1	1	3	1	2	1	1	2	1	6	5	1
32500	-131.999163222949647	-130.350026150454426	-1.649137072495226	0.000207442823101	0.000045749015120	0.220537950826652	0.682626948193815	3	6	7	9	9	7	9	9	11	10	9	11	10	11	11	13	12	19	25	27	0	1	2	3	2	1	2	3	10	7	6	7	2	13	11	12	7	16	17	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	5	1
33000	-136.045909444609578	-134.046510656309323	-1.999398788300267	0.000255373231330	0.000035431350520	0.138743400534188	0.620900895934185	3	5	8	8	8	8	9	8	9	10	10	10	11	10	12	13	12	21	25	27	0	1	1	1	2	1	4	2	4	4	8	2	9	6	3	17	12	16	18	0	1	2	2	2	1	2	1	1	1	1	1	3	1	1	2	1	1	3	2	1
33500	-140.931393813536374	-139.228107691891097	-1.703286121645271	0.000314956030370	0.000063780237061	0.202505209967837	0.609749270813984	3	6	6	9	6	8	7	10	10	10	8	10	11	9	11	10	13	20	24	26	0	1	1	5	1	1	2	11	11	5	5	11	4	1	16	1	7	14	18	0	1	1	1	1	1	2	1	1	1	2	1	1	1	3	1	3	3	5	2	1
34000	-136.447472230155000	-134.899047374674950	-1.548424855480051	0.000319408748946	0.000084632363275	0.264965701643377	0.677934639037316	2	6	7	9	9	7	9	9	9	10	8	10	11	12	11	13	12	19	25	26	0	1	1	3	6	1	6	11	6	2	6	8	8	15	11	13	3	6	18	0	1	2	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	4	2	1
34500	-147.714873596444590	-146.264456320774883	-1.450417275669713	0.000234290107380	0.000078645749945	0.335676784751748	0.586025416283958	3	4	7	9	7	8	9	9	9	10	8	8	10	11	11	12	13	20	26	27	0	1	1	2	1	1	11	3	1	12	1	3	3	3	5	3	4	17	18	0	1	1	2	2	3	1	1	1	2	1	2	1	2	2	2	3	3	4	4	1
35000	-147.575130662127549	-145.797406424330831	-1.777724237796712	0.000178047387541	0.000032399803470	0.181972922587410	0.416110016229492	2	7	7	8	7	8	9	9	10	11	10	10	8	10	11	12	12	21	24	27	0	1	1	1	1	2	4	2	2	9	4	7	2	4	8	2	12	6	16	0	1	3	3	3	2	1	1	2	2	1	1	1	1	1	1	3	1	7	7	1
35500	-126.835419388253129	-125.337970945954666	-1.497448442298457	0.000270668136248	0.000080238034277	0.296444329904346	0.641948111209182	3	5	7	9	8	8	8	9	10	11	9	11	11	11	11	12	12	20	25	25	0	1	2	3	3	1	2	6	6	8	6	3	4	11	6	15	2	17	16	0	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	3	3	6	1
