step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75
5000	-573.148714787961694	-580.004202738921094	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.695206000174896	1	12	8	7	4	11	12	9	20	17	23	26	20	24	32	21	23	26	25	19	29	35	34	30	33	34	30	30	32	37	35	32	36	37	47	37	44	38	44	45	45	41	50	47	48	43	43	49	52	46	44	52	52	54	52	60	59	51	53	59	62	65	59	68	65	70	71	78	86	84	98	89	87	102	97	0	5	5	0	1	0	8	5	4	8	13	10	4	9	17	8	13	13	9	0	13	21	28	12	19	17	13	0	19	21	28	21	27	22	22	25	31	28	28	31	42	28	47	51	47	31	31	42	39	31	36	34	48	58	37	53	55	37	46	58	55	55	53	61	61	62	37	67	68	67	0	0	0	0	72	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	2	2	2	1	1	1	2	1	1	1	2	1	2	2	4	2	1	1	1	1	1	1	2	2	1	2	2	3	1	1	2	1	1	2	2	1	2	1	1	2	1	1	4	1	2	3	1	1	1	1	1
5500	-606.522279391259531	-613.377767342218931	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.519043234079693	4	13	7	4	8	6	7	9	11	14	18	21	10	24	29	20	27	26	22	24	20	31	34	30	35	33	32	30	34	33	36	39	32	38	45	40	44	40	46	47	39	39	49	44	47	45	46	47	53	44	53	52	44	54	52	54	58	50	56	57	60	64	65	65	69	73	68	79	83	85	99	91	93	101	98	0	8	1	0	1	0	1	1	4	8	4	8	4	9	18	5	14	13	11	0	13	17	28	2	19	17	17	0	14	21	28	17	17	22	27	29	28	28	50	23	23	28	41	36	23	41	28	42	43	42	29	34	28	45	42	53	48	37	46	58	37	55	55	50	56	62	48	67	37	67	0	0	0	0	72	1	1	1	1	1	1	1	1	2	1	2	2	1	3	1	2	1	2	1	1	2	1	2	3	2	1	1	1	2	3	2	1	1	1	3	1	2	2	1	1	1	2	2	2	2	1	2	3	1	1	2	3	2	1	2	2	2	1	2	2	3	3	3	3	2	2	2	2	5	4	1	1	1	1	2
6000	-599.800827208943815	-606.656315159903215	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711620950776909	2	10	4	8	8	12	13	7	21	16	25	16	18	23	34	21	29	26	28	26	32	32	35	34	31	35	27	32	32	32	36	36	37	33	42	40	47	34	37	46	46	42	47	46	41	46	45	49	50	46	52	44	40	55	53	59	59	50	52	60	56	61	59	65	66	74	69	80	83	89	100	93	92	104	97	0	1	1	0	1	0	5	1	13	5	9	5	4	9	13	10	18	13	14	0	17	17	28	10	19	30	13	0	19	18	28	27	27	21	18	29	53	28	23	38	42	38	31	36	28	42	38	47	43	31	44	34	38	58	50	42	42	45	46	45	53	42	55	63	61	56	56	67	67	68	0	0	0	0	72	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	2	4	1	1	2	1	1	1	1	1	2	1	3	2	3	1	1	2	1	1	2	1	1	1	3	1	1	1	1	2	2	1	2	3	2	1	2	2	3	3	1	1	3	2	2	2	3	1	1	1	1	1	2
6500	-575.187925954148682	-582.043413905108082	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.675623252432949	3	11	6	7	8	10	12	9	13	15	19	23	19	23	33	23	28	24	28	25	29	33	30	23	34	32	27	28	35	40	34	42	36	37	40	40	45	40	43	45	42	37	47	47	44	44	42	44	51	46	52	52	39	49	49	55	61	46	53	55	56	59	63	70	68	67	70	81	84	86	90	83	90	100	98	0	8	1	0	1	0	5	1	4	2	9	10	9	11	17	10	18	13	14	0	13	21	28	1	19	18	13	0	13	33	28	33	27	27	26	29	38	42	31	47	23	28	41	36	42	41	31	31	43	42	44	34	23	58	47	37	62	45	46	58	38	53	61	63	61	56	56	67	68	68	0	0	0	0	72	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	3	2	1	2	1	2	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	3	2	1	2	2	1	1	2	2	1	2	1	2	2	2	2	2	1	1	1	1	1	1	2
7000	-604.364333560733257	-611.219821511692658	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.550357404766068	1	11	6	5	3	5	10	7	18	7	20	26	16	24	31	25	24	22	27	13	30	26	33	33	32	34	33	31	35	39	34	40	38	41	47	40	46	42	48	45	40	40	48	46	46	48	43	47	53	48	54	49	50	48	49	53	56	50	55	50	52	66	66	64	65	68	71	81	86	87	99	93	94	101	98	0	8	5	0	1	0	5	5	4	1	4	2	4	9	18	2	13	4	11	0	13	18	28	16	11	27	13	0	25	26	28	26	27	27	32	19	31	28	42	38	31	23	41	36	31	41	23	47	43	47	44	34	28	45	38	28	53	42	46	37	31	53	39	61	61	56	66	67	67	67	0	0	0	0	72	1	1	1	1	1	1	1	1	2	1	3	2	2	1	2	2	2	3	2	1	3	1	1	2	3	1	4	1	1	2	1	1	1	1	1	3	2	2	1	1	2	1	2	1	1	2	2	1	1	1	2	2	3	1	1	4	1	2	2	1	3	2	3	2	2	2	1	2	2	3	1	1	1	1	2
7500	-624.550063436095002	-631.405551387054402	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622359369349110	1	6	7	3	5	11	10	6	8	11	23	25	20	17	27	23	31	26	27	20	32	30	34	32	33	32	24	24	33	36	37	31	34	34	38	41	47	43	43	43	41	43	48	45	47	45	37	44	52	47	52	52	39	52	47	57	53	51	56	60	56	63	58	68	69	73	80	76	84	84	101	89	90	105	98	0	1	1	0	1	0	1	1	4	8	9	8	9	9	11	10	27	14	14	0	15	15	28	12	13	15	14	0	13	26	28	13	13	13	22	19	47	28	31	31	23	28	42	29	42	41	28	31	43	39	44	34	28	45	23	55	38	45	46	58	57	23	53	38	53	56	68	65	68	67	0	0	0	0	72	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	2	2	2	1	1	1	1	2	2	2	1	1	1	3	1	2	2	2	2	2	3	2	3	1	1	1	3	1	2	1	1	2	2	2	1	2	2	2	2	2	1	2	1	2	2	1	4	3	2	4	2	2	2	2	1	1	1	1	1	1
8000	-591.790951145856070	-598.646439096815470	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611259638317218	-1	12	6	9	2	7	10	7	18	8	21	19	18	24	34	25	28	27	28	25	20	29	35	32	35	35	27	29	32	40	37	41	35	37	45	40	49	40	46	45	45	43	49	42	43	47	48	46	52	49	49	55	45	53	41	55	53	56	56	60	58	66	65	65	68	65	76	72	84	88	100	92	93	107	100	0	8	5	0	1	0	10	1	4	5	9	10	4	13	13	10	13	21	14	0	13	21	28	16	19	22	21	0	17	26	28	22	18	17	15	19	28	28	23	31	31	28	41	36	31	41	23	23	43	39	44	34	28	31	28	53	53	54	46	54	37	53	54	61	64	47	68	63	68	67	0	0	0	0	72	1	1	1	1	1	1	1	1	1	1	1	3	2	1	3	3	3	2	1	1	1	2	2	1	2	1	1	1	1	1	3	1	1	1	1	3	2	2	2	1	1	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	3	2	1	3	1	1	2	2	1	1	1	1	2
8500	-587.923418798549960	-594.778906749509360	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702403561778876	1	11	5	5	7	7	13	8	13	17	21	24	17	20	34	25	26	25	24	22	26	32	33	25	34	32	31	30	31	40	38	37	34	37	45	37	42	38	42	40	46	39	52	43	44	48	43	48	50	44	52	47	52	51	51	57	56	54	55	61	57	62	64	72	64	73	79	72	82	82	97	92	94	98	96	0	5	1	0	1	0	5	1	4	7	9	5	9	9	22	2	13	11	14	0	13	11	28	10	19	21	21	0	14	26	28	22	22	22	15	29	28	28	23	23	47	28	42	36	37	41	42	28	41	39	44	34	39	45	48	53	42	37	46	58	55	55	61	61	61	61	68	62	38	67	0	0	0	0	72	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	1	2	1	2	1	1	1	3	1	2	2	1	1	1	2	1	1	1	1	1	3	2	1	2	2	2	2	1	1	3	2	2	1	2	2	2	2	2	1	2	1	6	1	1	1	1	1	1
9000	-602.777582463348949	-609.633070414308349	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614939748727129	-4	11	5	8	8	9	12	5	16	14	18	24	18	23	25	23	31	22	24	25	30	21	33	32	30	33	28	23	31	38	34	38	34	35	42	39	52	39	45	47	46	34	50	46	40	42	46	49	53	48	54	50	46	54	52	57	56	51	49	59	52	67	65	71	68	64	80	71	78	87	100	95	94	105	98	0	8	1	0	1	0	8	1	4	8	9	2	9	11	22	10	13	13	11	0	13	13	28	12	19	13	18	0	14	27	28	13	22	21	33	19	53	28	31	23	42	28	41	14	23	23	23	47	43	39	44	34	31	47	53	37	53	45	46	54	42	42	37	62	66	47	69	42	68	67	0	0	0	0	72	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	2	1	2	2	1	2	1	1	2	1	1	2	1	1	2	4	1	2	2	2	2	2	1	3	1	2	2	1	1	1	1	2	2	2	1	1	2	2	1	2	3	3	1	1	1	2	1	5	1	1	1	1	1	1	1
9500	-598.439745668983846	-605.295233619943247	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.569780963183842	-1	5	8	5	2	3	7	7	19	15	21	24	18	22	30	24	31	26	26	26	33	30	31	34	28	33	33	26	31	37	34	39	37	38	37	35	48	35	46	38	40	38	51	47	42	47	48	48	53	47	54	50	54	50	47	55	52	52	56	58	58	65	63	73	66	75	71	79	81	85	95	90	95	102	96	0	1	2	0	1	0	5	5	4	2	9	8	4	9	9	2	13	13	9	0	22	18	28	12	14	15	22	0	9	22	28	17	9	22	27	29	39	28	31	31	31	23	41	36	31	41	31	39	43	38	44	34	37	50	23	37	39	45	46	58	50	50	37	39	53	64	53	67	67	67	0	0	0	0	72	1	1	1	1	1	1	1	1	3	3	1	3	2	1	2	2	2	2	1	1	1	1	1	1	2	1	1	1	2	2	2	1	3	2	1	1	1	2	2	1	1	2	2	3	1	1	2	1	1	2	1	2	1	1	3	1	2	2	2	2	1	2	4	4	2	1	2	2	2	2	1	1	1	1	2
10000	-613.989097422756458	-620.844585373715859	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615059771321833	0	7	7	4	8	8	15	5	13	4	23	25	19	23	30	23	23	17	25	23	33	28	35	32	29	32	27	28	32	36	33	39	38	36	47	38	51	41	46	44	43	42	51	44	41	47	45	43	54	45	50	48	51	53	54	60	56	52	56	53	58	65	62	67	68	72	80	79	85	85	95	93	91	105	97	0	10	10	0	8	0	8	1	4	1	9	5	18	9	18	8	13	4	9	0	17	13	28	2	11	27	13	0	25	21	28	21	27	22	27	29	31	28	50	38	31	28	41	36	31	41	42	31	43	31	44	34	28	38	40	53	54	45	46	42	42	37	53	39	37	62	61	38	68	68	0	0	0	0	72	1	1	1	1	1	1	2	1	3	1	2	2	1	2	2	3	1	2	2	1	2	2	2	4	1	1	2	1	1	1	2	1	2	1	2	1	4	3	1	1	2	1	1	1	1	1	1	1	1	2	1	2	3	3	3	1	1	2	2	2	2	2	2	2	2	1	5	4	1	1	1	1	1	1	1
