step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18
5000	-81.206593402088117	-79.007141573018870	-2.199451829069250	0.000011058123756	0.000031801671585	2.875865046110655	0.677663812950492	1	1	3	3	4	4	5	8	7	8	9	9	10	11	10	11	12	14	0	0	2	2	3	2	5	5	3	9	8	9	10	12	12	0	15	17	1	1	1	1	1	2	1	3	2	1	1	2	1	2	1	1	2	1
5500	-77.075571059281856	-75.346771534180661	-1.728799525101188	0.000010819610282	0.000018014794601	1.665013261213190	0.512261401587066	0	2	3	3	4	3	5	6	6	8	9	9	10	11	10	11	13	14	0	0	2	2	3	2	5	7	7	9	8	10	10	12	12	0	15	17	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1
6000	-78.768905601338190	-76.337106047412689	-2.431799553925500	0.000011071203240	0.000039301641567	3.549897939356006	0.955350433996383	-1	2	3	3	4	4	4	6	7	8	7	9	10	10	10	11	12	13	0	0	2	2	3	2	3	7	8	9	8	10	10	12	12	0	14	17	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1
6500	-72.350996256911372	-70.989230356720100	-1.361765900191274	0.000017878784266	0.000010752463585	0.601409101708677	0.835188730758302	0	2	3	3	4	4	5	6	7	8	8	9	10	11	10	11	12	14	0	0	2	2	3	2	3	5	7	9	8	10	10	15	12	0	14	17	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2
7000	-64.446692621033307	-63.085301433114573	-1.361391187918732	0.000036217496024	0.000019791307350	0.546457086281250	0.808978187614689	0	2	3	3	4	4	5	7	7	8	8	9	10	11	10	9	13	14	0	0	2	2	3	2	5	7	5	9	8	10	10	15	12	0	14	17	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1
7500	-64.723588594443484	-63.310391909247777	-1.413196685195708	0.000062079182717	0.000023603312647	0.380213005612679	0.747268860852336	1	2	3	3	4	4	5	8	6	8	9	9	10	11	10	11	13	14	0	0	2	2	3	4	5	7	5	9	8	10	10	12	10	0	14	17	1	1	1	1	1	1	1	3	1	2	1	1	2	2	2	1	2	1
8000	-71.635562935009517	-70.228003467977999	-1.407559467031522	0.000073572086391	0.000028606559411	0.388823544559905	0.633532411209553	1	2	3	3	4	3	5	8	7	8	9	9	10	11	10	11	13	13	0	0	2	2	3	2	3	6	5	9	8	10	10	15	12	0	15	10	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	3
8500	-70.594481596049732	-69.217086797557442	-1.377394798492283	0.000053271138020	0.000038107060791	0.715341594100596	0.654577047347212	1	1	3	3	4	4	2	8	7	8	9	9	10	11	10	10	13	14	0	0	7	7	3	4	2	5	4	9	8	10	10	15	12	0	14	17	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
9000	-64.128792144304725	-62.466161644910535	-1.662630499394195	0.000061128070338	0.000013188266033	0.215748116378807	0.839198996748148	-1	2	3	3	4	4	5	8	7	8	9	9	10	11	10	11	13	14	0	0	2	2	3	4	5	7	5	9	7	10	10	15	12	0	14	17	1	1	1	1	1	1	1	2	2	1	3	1	1	1	1	1	2	1
9500	-65.925390101579637	-64.559508315727285	-1.365881785852345	0.000066883791465	0.000043210191775	0.646048778462148	0.713339368543631	1	2	3	3	4	4	5	8	7	8	9	9	10	11	10	10	13	14	0	0	2	2	3	4	5	6	7	9	5	10	10	15	12	0	14	17	1	1	1	1	1	1	1	3	1	1	4	1	1	1	1	1	2	1
10000	-69.484890483636732	-68.092246200617510	-1.392644283019219	0.000098968360986	0.000041140858459	0.415697077825354	0.891352444420531	-1	2	3	3	4	4	5	8	7	8	9	9	10	11	10	11	13	14	0	0	2	2	3	3	5	7	7	9	5	10	10	15	12	0	12	17	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	3	1
10500	-75.461639690468076	-74.094522332358508	-1.367117358109568	0.000070987765711	0.000035158256494	0.495272053452015	0.692361634471243	1	1	3	3	4	3	5	7	5	8	9	9	9	11	10	11	13	14	0	0	2	2	3	2	5	7	3	9	5	10	10	12	12	0	14	17	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1
11000	-70.751544095848985	-69.358162828186138	-1.393381267662843	0.000060775404035	0.000047637246124	0.783824425043909	0.792113629055019	1	2	3	3	4	4	5	8	7	8	9	9	10	11	9	11	11	14	0	0	2	2	3	2	5	7	7	9	8	9	12	12	10	0	15	14	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2
11500	-70.422095461439227	-68.965831575682031	-1.456263885757199	0.000083932145913	0.000027699363833	0.330020917874989	0.898550921887824	-1	2	3	3	4	4	5	7	6	8	9	9	10	11	10	9	12	14	0	0	2	2	3	4	5	7	7	9	7	10	12	12	12	0	14	17	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2
12000	-64.892616451486973	-63.454248852111789	-1.438367599375187	0.000076180202256	0.000026532313753	0.348283582436853	0.833914248509025	0	2	3	3	4	4	5	8	7	8	9	9	10	11	9	9	13	14	0	0	2	2	3	2	5	9	7	9	8	10	10	12	10	0	14	17	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	2	1
12500	-63.059968693251840	-61.378568256909382	-1.681400436342461	0.000125105754759	0.000026200323602	0.209425406951766	0.947462787132838	1	2	3	3	4	4	5	8	7	8	9	9	9	11	10	10	13	14	0	0	2	2	3	4	5	7	7	9	7	10	10	15	12	0	15	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
13000	-77.075761451188995	-75.692679627459654	-1.383081823729341	0.000046410336018	0.000034422431728	0.741697532947080	0.756569675888279	1	2	3	3	4	4	5	6	7	8	9	9	10	11	10	9	12	13	0	0	2	2	3	4	5	6	3	9	5	10	10	15	12	0	12	14	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	3	1
13500	-70.502453101018546	-69.136846725005000	-1.365606376013546	0.000038913842721	0.000019623031982	0.504268676893567	0.804968454369041	1	1	3	2	4	4	5	8	7	8	9	9	10	11	10	11	12	14	0	0	2	2	3	4	5	7	3	9	8	10	9	12	12	0	14	17	1	1	1	1	1	2	1	2	3	1	1	1	2	2	1	1	1	2
14000	-64.760707393557439	-63.340084407359427	-1.420622986198019	0.000064281232626	0.000023772042178	0.369813104179438	0.855287915909430	1	1	3	2	4	3	5	8	7	8	8	9	10	11	10	11	13	14	0	0	4	2	3	4	5	9	3	9	7	10	12	15	12	0	15	17	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1
14500	-58.068463766004477	-56.661079480949098	-1.407384285055381	0.000040837951987	0.000034073655414	0.834362492650330	0.913614140371474	1	2	3	3	4	4	5	6	7	8	8	9	10	11	10	11	13	14	0	0	2	2	3	4	5	5	8	9	8	10	10	15	12	0	14	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
15000	-73.893989139120762	-72.371273871581707	-1.522715267539053	0.000111975521367	0.000031328379939	0.279778826269821	0.731199856435407	1	2	3	3	4	4	5	7	7	8	6	9	10	11	10	11	12	13	0	0	2	2	3	2	5	6	5	8	3	10	10	15	12	0	15	14	1	1	1	1	1	2	1	2	3	1	1	1	1	1	1	1	2	1
15500	-70.165459631237681	-68.779848013717782	-1.385611617519895	0.000049802342388	0.000021483575196	0.431376802097056	0.958064768796678	-2	2	3	3	4	4	5	6	7	8	8	9	10	10	10	11	10	14	0	0	2	2	3	4	5	7	5	9	5	10	10	12	12	0	12	17	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
16000	-70.547267927215216	-68.997102495154962	-1.550165432060254	0.000040130659378	0.000049345143974	1.229612090593265	0.701080322535498	1	2	3	3	4	3	5	7	6	7	8	9	9	11	10	10	13	14	0	0	2	2	3	2	5	5	7	9	8	10	10	15	12	0	15	17	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	3	1
16500	-73.900435040146320	-72.539602916338268	-1.360832123808048	0.000076213648324	0.000043440446597	0.569982510383019	0.928603144288892	1	2	3	3	4	4	5	6	6	8	9	9	10	11	10	11	13	14	0	0	2	2	3	2	3	5	7	7	4	10	10	12	12	0	15	17	1	1	1	1	1	1	2	1	1	1	3	1	2	1	1	1	1	1
17000	-65.243267263320746	-63.880141155897824	-1.363126107422925	0.000069952962957	0.000036622183547	0.523525837919607	0.805423858640185	1	2	3	3	4	4	5	8	6	8	9	9	10	10	10	11	13	14	0	0	2	2	3	2	5	6	7	9	8	10	12	12	12	0	12	17	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1
17500	-80.547602574628911	-78.881558874360465	-1.666043700268451	0.000075783497372	0.000016260855600	0.214569875551335	0.786456085887656	1	2	3	3	4	4	5	8	7	8	9	9	10	11	9	10	13	13	0	0	2	2	3	2	5	2	7	5	9	10	10	15	10	0	14	14	1	1	1	1	1	1	1	3	1	2	1	1	1	2	1	1	2	1
18000	-66.335305777336842	-64.974434137520845	-1.360871639815993	0.000045382155279	0.000026147066103	0.576153026286339	0.684267266523222	-2	2	3	3	4	4	5	7	6	8	9	9	10	11	10	11	13	14	0	0	2	2	3	3	5	7	7	9	8	10	10	15	12	0	14	17	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1
18500	-89.394969676083193	-87.894020375089568	-1.500949300993625	0.000042702003455	0.000012553897445	0.293988488337145	0.704222761507931	0	2	3	3	4	4	5	7	5	7	8	9	10	11	9	10	12	14	0	0	2	2	3	2	3	7	6	9	7	10	10	15	8	0	14	17	1	1	1	1	1	2	2	2	1	2	2	1	2	1	1	1	1	2
19000	-68.685770443624847	-67.324584308246330	-1.361186135378522	0.000075177037304	0.000044283340938	0.589054085206212	0.692079520733496	0	1	3	2	4	4	5	8	6	8	9	9	10	11	10	11	13	14	0	0	4	2	3	2	5	3	7	9	8	10	12	13	12	0	14	17	1	1	1	1	1	2	1	3	1	2	1	1	1	1	1	1	2	1
19500	-68.896879773643093	-67.494425123600394	-1.402454650042695	0.000065777927699	0.000026131237365	0.397264527471322	0.759622786692685	1	2	3	3	4	4	5	5	6	8	8	9	10	10	10	11	13	14	0	0	2	2	3	4	3	3	8	9	5	10	12	12	12	0	14	17	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	3	1
20000	-75.332410795606791	-73.821805149908840	-1.510605645697952	0.000031422627226	0.000035486930503	1.129343203796027	0.769351753156512	1	1	3	3	4	4	5	5	6	8	9	9	10	11	10	10	13	14	0	0	2	2	3	4	4	5	8	9	8	10	10	12	12	0	15	17	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	3	1
20500	-67.154356969849900	-65.749888377783520	-1.404468592066384	0.000042420910090	0.000016707643700	0.393853966470888	0.741939889026003	1	2	3	3	4	4	5	8	7	8	8	9	10	11	10	11	13	14	0	0	2	2	3	4	5	7	5	9	3	10	10	12	12	0	14	14	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1
21000	-80.650332349629835	-79.210356103872456	-1.439976245757382	0.000040050417383	0.000037523124919	0.936897225325141	0.632520281509544	1	2	3	3	4	4	4	5	7	6	9	9	10	11	10	11	13	14	0	0	2	2	3	2	3	7	10	8	8	10	10	13	10	0	12	17	1	1	1	1	1	1	1	1	1	1	3	2	2	1	3	1	2	1
21500	-65.837794073252482	-64.202904879016799	-1.634889194235681	0.000079259067946	0.000017899765697	0.225838710455731	0.868344657592410	0	1	3	2	4	4	5	6	7	8	6	9	10	11	10	10	13	14	0	0	4	2	3	4	5	5	8	9	7	10	10	15	12	0	14	17	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
22000	-67.627278789315085	-66.229816415171769	-1.397462374143311	0.000079296897309	0.000032212847294	0.406230866370669	0.807775136965822	-1	2	3	3	4	4	5	6	7	8	6	9	10	11	10	11	13	14	0	0	2	2	3	4	5	5	8	9	4	10	10	15	12	0	15	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1
22500	-66.331970530039385	-64.970640852560507	-1.361329677478875	0.000044949642341	0.000026641656200	0.592700070852897	0.782542990657724	1	2	3	3	4	4	5	6	7	8	9	9	10	11	10	11	11	14	0	0	2	2	3	2	5	7	8	9	8	10	10	12	12	0	15	17	1	1	1	1	1	2	1	1	1	1	3	1	2	1	1	1	1	1
23000	-70.208213816966364	-68.794430228820303	-1.413783588146058	0.000045671976083	0.000039086188645	0.855802441607689	0.862475672769341	-1	2	3	3	4	4	5	8	7	8	8	9	10	11	10	11	13	14	0	0	2	2	3	4	5	7	5	9	6	10	12	15	12	0	15	17	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	2	1
23500	-63.479522540197308	-62.113977408583118	-1.365545131614192	0.000056092599029	0.000036084520278	0.643302697725805	0.973920031932417	-2	2	3	3	4	3	4	5	7	8	7	9	10	11	10	11	13	14	0	0	2	2	3	2	3	7	8	9	8	10	10	15	12	0	14	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24000	-68.997632029505354	-67.608776652141756	-1.388855377363599	0.000050175138162	0.000021265640473	0.423828239488377	0.806918615030926	1	2	3	3	4	4	5	7	6	8	9	9	10	11	10	8	13	14	0	0	2	2	3	4	5	4	3	9	8	10	10	15	12	0	15	17	1	1	1	1	1	1	1	4	2	1	1	1	1	1	1	1	2	1
24500	-72.293913183256393	-70.929177237610574	-1.364735945645820	0.000057111207310	0.000029138162086	0.510200422265966	0.831226383097134	-1	2	3	3	4	4	5	6	7	8	9	9	9	11	10	11	12	14	0	0	2	2	3	4	5	5	5	9	7	10	10	12	12	0	15	14	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	3
25000	-79.240007284625406	-77.375459600768920	-1.864547683856484	0.000070643717220	0.000011478931072	0.162490473664301	0.547155353878891	1	2	3	3	4	4	5	8	6	7	9	9	10	10	8	11	12	13	0	0	2	2	3	4	3	7	5	7	8	15	15	10	10	0	13	14	1	1	1	1	1	1	2	2	2	1	1	1	2	3	1	1	2	2
25500	-80.947441099324308	-79.558041599231800	-1.389399500092504	0.000097526823357	0.000041216608102	0.422618175010111	0.875347369828123	1	1	3	3	2	4	5	6	7	8	7	9	9	11	10	9	13	14	0	0	5	2	2	4	3	4	3	9	5	10	10	15	12	0	14	17	1	1	1	1	1	1	1	2	3	1	3	1	1	1	1	1	2	1
26000	-76.688359593893196	-75.167561013960437	-1.520798579932755	0.000071949056134	0.000020215013541	0.280962873280291	0.639799085643735	1	1	3	3	2	4	5	8	7	8	9	9	10	11	10	11	13	13	0	0	5	5	2	4	4	5	5	9	8	10	10	12	12	0	13	14	1	1	1	1	1	1	2	5	3	1	1	1	1	2	1	1	2	1
26500	-71.321646464769458	-69.868258650196395	-1.453387814573059	0.000087652960960	0.000029168172311	0.332768819116663	0.727148623806193	1	1	3	3	2	4	5	7	7	8	8	9	9	11	10	11	13	14	0	0	5	2	2	2	3	7	4	9	8	10	10	15	12	0	14	17	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1
27000	-64.274984584309351	-62.874758741456397	-1.400225842852953	0.000057833698378	0.000046802449862	0.809259154690474	0.761828107562278	1	2	3	3	4	4	5	8	7	8	9	9	10	11	10	11	13	14	0	0	2	2	3	4	5	4	5	9	8	10	10	12	12	0	14	14	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1
27500	-63.570674117637573	-61.937378727926841	-1.633295389710733	0.000062058940536	0.000014053131876	0.226448143560845	0.655102547700026	0	2	3	3	4	4	5	8	7	8	9	9	10	11	10	11	13	14	0	0	2	2	3	4	5	7	5	9	8	10	10	15	12	0	14	14	1	1	1	1	1	1	1	3	2	1	1	1	2	1	1	1	1	2
28000	-63.122840926917206	-61.759961390429169	-1.362879536488037	0.000083825341524	0.000051739662935	0.617231758256407	0.837462804513910	0	2	3	3	4	3	5	8	7	8	9	9	10	11	10	11	13	14	0	0	2	2	3	2	3	5	7	9	8	10	10	15	12	0	15	17	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1
28500	-82.253403366741907	-80.565660072821174	-1.687743293920735	0.000098485374209	0.000020423107342	0.207371982959027	0.779421231507634	1	2	3	3	4	4	5	5	7	8	9	9	7	11	10	11	13	13	0	0	2	2	3	2	3	5	8	13	9	10	8	12	12	0	15	12	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	3
29000	-61.574745827822085	-60.189683434898065	-1.385062392924017	0.000063723973433	0.000027574424315	0.432716650092226	0.968066991017174	1	2	3	3	4	4	5	8	5	8	9	9	7	11	10	11	12	14	0	0	2	2	3	2	3	7	5	13	8	10	9	15	12	0	14	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29500	-57.781178827876239	-56.303018798754515	-1.478160029121725	0.000055488899083	0.000017256119230	0.310983269003371	0.921689847728953	1	2	3	3	4	4	5	8	7	8	9	9	10	11	10	11	13	14	0	0	2	2	3	4	5	5	5	9	8	10	12	15	12	0	15	17	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
30000	-67.155217503734818	-65.608191204478956	-1.547026299255864	0.000060609929929	0.000016105539403	0.265724435283425	0.833248386617136	1	2	3	3	4	4	5	8	7	8	9	9	9	11	10	11	13	14	0	0	2	2	3	4	3	7	7	9	8	9	10	12	12	0	14	17	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1
30500	-68.828920514489027	-67.351706562674792	-1.477213951814232	0.000064856947109	0.000067542292454	1.041404128081419	0.867412067210427	1	2	3	3	4	4	5	7	6	8	9	8	10	11	7	11	13	14	0	0	2	2	3	4	5	7	7	15	8	15	10	12	9	0	14	17	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1
31000	-76.125941375468088	-74.593260027790009	-1.532681347678076	0.000063579179060	0.000017408584632	0.273809522063987	0.667814285573134	1	2	3	3	4	4	5	8	5	8	9	9	10	11	7	11	13	13	0	0	2	2	3	4	5	7	5	15	7	15	12	12	9	0	14	14	1	1	1	1	1	1	1	1	1	1	4	2	1	2	2	1	2	2
31500	-59.970560152981577	-58.530388804308444	-1.440171348673133	0.000059938364882	0.000020757048233	0.346306547966824	0.920099889043021	1	2	3	3	4	4	5	6	7	8	7	9	9	11	10	10	13	14	0	0	2	2	3	4	5	7	7	9	8	10	10	15	12	0	15	17	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1
32000	-64.495031990130528	-62.847139137692103	-1.647892852438423	0.000129181905286	0.000028547987078	0.220990602474839	0.941415957427270	1	2	3	3	4	4	5	7	7	8	9	9	10	11	10	11	13	14	0	0	2	2	3	4	3	3	7	9	8	10	10	15	12	0	14	17	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1
32500	-63.684068496230857	-62.320444388176917	-1.363624108053940	0.000049194020457	0.000025530248849	0.518970570247804	0.864078340217420	0	2	3	3	4	4	5	7	7	8	9	9	9	11	10	11	13	14	0	0	2	2	3	3	5	5	5	9	8	10	10	12	12	0	14	17	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1
33000	-67.996940898974302	-66.452916580933731	-1.544024318040565	0.000047245091889	0.000057367046306	1.214243512131706	0.936079529808630	1	2	3	3	4	4	5	8	6	8	7	9	9	11	10	9	12	13	0	0	2	2	3	4	5	7	7	9	5	10	10	12	12	0	14	17	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
33500	-85.829230185281432	-84.325058930879266	-1.504171254402161	0.000112993266334	0.000032968377154	0.291772936775994	0.712876556326788	1	2	3	3	4	4	4	8	5	8	9	7	10	11	9	10	13	14	0	0	2	2	3	4	4	5	5	7	7	9	15	15	10	0	15	14	1	1	1	1	1	1	1	3	1	2	2	2	1	2	1	1	3	2
34000	-94.681653582596383	-93.150343797060430	-1.531309785535959	0.000036941485998	0.000043672889537	1.182217995771604	0.617860815502583	1	0	3	3	4	4	5	7	7	6	9	8	10	10	10	11	13	14	0	0	2	2	3	4	5	5	10	3	8	10	9	9	10	0	12	17	1	1	2	1	1	1	1	3	1	3	2	2	3	1	3	1	4	1
34500	-76.524229573743781	-74.743022253865519	-1.781207319878267	0.000122551930028	0.000022195271708	0.181109115975934	0.786733057004122	1	2	3	3	4	3	5	8	7	8	9	9	10	11	8	11	10	12	0	0	2	2	3	2	3	5	3	9	8	15	10	12	9	0	12	14	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1
35000	-63.387999120914557	-61.997096148830146	-1.390902972084409	0.000048003361097	0.000037163191005	0.774178935726878	0.686678949233137	1	2	3	3	4	4	4	7	7	8	9	9	10	10	10	11	13	14	0	0	2	2	3	4	3	7	5	9	8	10	10	12	12	0	15	17	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	1
35500	-64.067615724812441	-62.680072168635704	-1.387543556176734	0.000047138365913	0.000035855779925	0.760649615883000	0.741748423245099	1	2	3	3	4	3	5	7	7	8	9	9	10	11	10	11	13	14	0	0	2	2	3	2	5	7	7	9	7	10	10	13	12	0	14	17	1	1	1	1	1	1	1	1	2	1	3	1	2	1	1	1	1	1
36000	-72.109092623930167	-70.722421786657648	-1.386670837272519	0.000079511343353	0.000034098081051	0.428845490630144	0.763208231583656	1	2	3	3	4	4	5	5	7	8	9	9	10	11	10	11	13	14	0	0	2	2	3	2	3	5	7	8	7	10	10	12	12	0	15	17	1	1	1	1	1	2	2	1	2	2	2	1	2	2	1	1	2	1
36500	-78.421663596053918	-76.925538105001195	-1.496125491052718	0.000088824884261	0.000026415272396	0.297385947821270	0.809392045289892	-1	1	2	3	4	4	5	5	6	7	9	9	10	11	10	11	12	13	0	0	2	2	4	4	5	5	8	9	7	10	10	12	12	0	14	14	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1
37000	-67.512731345447520	-66.029823910925387	-1.482907434522137	0.000096682899660	0.000029704289066	0.307234155888168	0.908231053659833	0	2	3	3	4	4	5	6	6	7	8	8	9	11	10	10	13	14	0	0	2	2	3	4	5	7	7	9	8	10	10	15	12	0	15	17	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
37500	-74.320281431887310	-72.815475984696846	-1.504805447190457	0.000054441990300	0.000060666647492	1.114335592030116	0.734686402920812	1	2	3	3	4	3	5	6	6	7	9	9	9	11	10	11	13	14	0	0	2	2	3	2	5	7	7	9	7	10	10	12	12	0	15	17	1	1	1	1	1	1	1	1	1	1	3	2	2	2	1	1	3	1
38000	-67.018281035682548	-65.497116198046584	-1.521164837635971	0.000074374681462	0.000020879626904	0.280735681727912	0.984060964079788	-1	2	3	3	4	4	5	7	7	8	7	9	9	11	10	11	13	14	0	0	2	2	3	4	5	7	7	8	7	10	10	15	12	0	12	17	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
