step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25
9000	-128.438753554971896	-126.937779657257167	-1.500973897714717	0.000100090925108	0.000029423870856	0.293971414735796	0.867324989838134	1	4	5	6	7	9	10	11	14	12	16	12	12	14	15	17	16	14	14	16	15	13	17	17	20	0	0	2	2	3	5	6	6	22	6	15	7	8	10	18	15	18	10	12	12	12	7	17	12	15	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2
9500	-140.030447500381769	-138.626053822383511	-1.404393677998254	0.000091826761083	0.000036177804869	0.393978884179036	0.657669767509028	-1	4	5	6	7	10	9	10	14	11	16	12	12	14	16	16	15	14	14	15	17	17	17	17	20	0	0	2	2	3	5	5	7	3	7	19	5	8	5	14	10	10	10	12	12	12	15	17	20	16	1	1	1	1	1	2	2	1	3	1	1	2	2	3	1	1	2	1	1	2	2	1	1	1	2
10000	-134.924552974772183	-133.536364872269701	-1.388188102502468	0.000087249836374	0.000037110247136	0.425333143050626	0.849104077287542	1	4	6	6	7	9	12	11	14	11	16	13	13	15	16	16	16	14	14	15	17	14	17	17	19	0	0	2	2	3	5	10	6	7	5	18	10	10	7	22	9	6	6	10	12	12	7	10	20	18	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	1	3	1	2
10500	-139.150440107016664	-137.474325803193665	-1.676114303822994	0.000134099440603	0.000028317515148	0.211168033366732	0.554895250956025	0	4	5	6	7	9	10	10	14	11	16	12	12	13	14	16	16	15	14	15	17	15	15	17	20	0	0	2	2	3	5	6	6	6	6	12	7	8	10	7	15	22	10	12	12	12	6	10	20	16	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	2	2	2	3	2	2	1
11000	-142.634649012812758	-141.073300058769007	-1.561348954043743	0.000081370882789	0.000021008501618	0.258182053553111	0.815209232787648	-1	4	5	6	7	9	11	11	13	10	16	12	12	14	17	16	14	13	14	16	17	16	18	18	20	0	0	2	2	3	5	5	5	6	5	12	7	8	18	22	7	10	6	12	12	18	7	17	21	21	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	2	1	2	2	2	1	1	2
11500	-134.214692239976131	-132.851783038862976	-1.362909201113146	0.000070204726824	0.000036905070959	0.525677865703937	0.662395716180485	0	4	5	6	7	9	11	10	13	10	14	11	12	15	16	17	15	14	14	14	17	17	17	17	20	0	0	2	2	3	5	10	6	6	6	7	5	8	10	18	7	18	10	12	9	20	14	17	20	16	1	1	1	1	1	1	1	1	3	1	1	3	1	3	1	2	1	2	1	1	1	1	1	2	2
12000	-144.875490066372492	-143.478958934206474	-1.396531132166009	0.000056886124542	0.000023209140293	0.407992994424467	0.710972410723546	-1	4	5	6	8	9	12	10	15	11	14	12	12	13	17	16	15	14	13	14	18	17	18	17	20	0	0	2	2	3	5	5	5	7	5	12	6	8	10	10	7	18	10	6	12	20	5	22	20	9	1	1	1	1	2	1	2	1	1	1	1	1	1	1	3	2	1	2	1	2	2	4	1	1	2
12500	-118.247298638770019	-116.665734158635871	-1.581564480134154	0.000079038315224	0.000019626830378	0.248320454732933	0.855470257351891	0	4	5	6	7	9	11	11	14	12	16	12	12	14	15	16	16	14	14	15	16	14	17	17	20	0	0	2	2	3	5	6	5	7	7	19	7	8	10	22	9	15	10	12	12	20	7	17	20	16	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1
13000	-134.150144517786487	-132.789193222954054	-1.360951294832436	0.000066413132019	0.000038578529930	0.580887073951407	0.593386499074960	1	4	5	6	7	8	10	11	14	11	16	13	12	15	15	16	15	13	14	14	16	16	17	16	20	0	0	2	2	3	5	6	6	5	7	18	6	8	10	10	15	18	6	12	12	20	5	17	20	16	1	1	1	1	1	1	1	2	3	1	1	2	1	2	3	1	1	2	1	1	1	4	1	1	2
13500	-139.558490417439145	-138.080892695909256	-1.477597721529897	0.000118714256433	0.000036971819189	0.311435376847783	0.676498881609355	0	4	5	6	7	9	12	11	13	11	16	12	13	14	17	16	13	14	14	15	17	17	18	18	20	0	0	2	2	3	5	5	5	7	6	20	5	8	10	9	18	10	6	12	12	16	10	17	21	14	1	1	1	1	1	1	2	2	1	1	1	2	1	2	3	1	1	2	1	1	1	3	2	1	2
14000	-120.738866661397381	-119.302863526484359	-1.436003134913021	0.000112202575029	0.000039375007063	0.350927837914819	0.780797346091609	0	4	5	6	8	9	12	10	15	11	14	13	12	15	15	16	14	13	15	15	17	17	17	17	21	0	0	2	2	3	5	6	5	7	5	12	7	8	18	7	15	18	10	11	12	12	15	17	20	16	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2
14500	-137.679916182905259	-136.106214641104430	-1.573701541800816	0.000073910048683	0.000018629389242	0.252054890686114	0.579578204515033	0	4	5	6	8	9	10	12	15	12	15	12	11	15	17	17	13	14	14	15	16	16	18	18	20	0	0	2	2	3	5	6	7	6	6	19	7	5	10	22	9	5	10	12	12	12	18	17	20	9	1	1	1	1	2	1	1	1	3	2	1	1	2	2	1	1	2	1	1	2	2	1	2	1	2
15000	-131.319087804529175	-129.386691376754328	-1.932396427774846	0.000076799115404	0.000011498633108	0.149723509802627	0.848520450373740	-1	5	6	7	7	9	11	11	14	11	13	12	12	13	16	16	15	15	14	15	17	17	17	17	20	0	0	2	2	3	5	6	6	10	5	10	6	8	6	6	9	10	10	11	12	12	15	18	12	16	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	2	1	2	2	1	1	2	2
15500	-148.261263738136876	-146.772271145927107	-1.488992592209771	0.000116424012605	0.000035229607848	0.302597437247623	0.643621225600194	0	4	5	6	8	9	11	11	14	12	16	10	13	15	16	16	16	13	14	15	18	13	18	17	20	0	0	2	2	3	5	6	6	7	12	7	5	8	10	7	9	22	6	10	7	11	7	17	20	15	1	1	1	1	1	1	1	2	1	1	3	1	1	1	2	1	1	1	1	2	1	2	1	2	2
16000	-145.551166221338718	-144.184018447451280	-1.367147773887439	0.000092146513179	0.000060422805201	0.655725356462065	0.552654984146496	1	3	5	6	7	10	10	11	15	11	15	12	12	15	16	15	15	14	14	15	18	13	16	18	20	0	0	2	2	4	5	5	6	22	6	6	7	8	6	16	22	18	6	7	12	12	6	18	7	16	1	1	1	2	1	1	2	1	1	1	3	1	1	3	1	1	1	2	2	2	2	1	1	4	3
16500	-132.148886290536637	-129.835519222114613	-2.313367068422024	0.000084206296188	0.000008546025271	0.101489148173105	0.939660611714115	-1	5	6	7	8	10	10	10	15	12	15	12	13	15	16	17	15	14	14	15	17	15	17	17	20	0	0	2	2	3	5	5	5	18	7	19	6	8	18	5	9	18	10	12	12	20	7	17	20	15	1	1	1	2	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	2	1	2	1	1	2
17000	-152.179629578018535	-150.661668704496833	-1.517960873521698	0.000121509784208	0.000034355470660	0.282738306913096	0.639797249771613	0	5	6	6	8	9	11	11	15	12	16	12	12	14	16	17	16	13	15	14	17	16	17	18	21	0	0	2	2	3	5	6	3	5	5	19	8	8	6	20	7	10	5	18	12	20	6	9	12	24	1	1	1	1	1	1	1	2	3	3	1	1	1	1	1	3	2	2	2	1	2	3	1	3	1
17500	-135.148918131184928	-133.763631717965296	-1.385286413219625	0.000058170305101	0.000025139334481	0.432167829232857	0.558454372785230	0	3	5	6	7	9	11	11	14	12	14	12	13	15	14	16	15	14	14	15	16	16	17	18	20	0	0	2	2	3	5	5	6	7	6	12	7	8	10	7	7	10	10	6	12	12	15	17	12	16	1	1	1	2	1	2	2	1	2	2	1	1	2	2	1	2	2	1	2	2	2	1	1	3	3
18000	-148.730214738625364	-147.239885658680123	-1.490329079945229	0.000075889077449	0.000022888385860	0.301603163850017	0.597931431118462	0	3	5	6	8	9	11	11	12	10	15	11	13	14	16	17	14	14	14	16	18	15	17	17	21	0	0	2	2	2	5	6	5	6	6	12	5	8	10	9	22	9	10	12	11	20	6	9	12	15	1	1	1	2	3	1	1	2	1	1	2	2	1	2	2	1	1	3	1	1	1	3	2	3	2
18500	-130.302137795924324	-128.738448327875886	-1.563689468048448	0.000078186196903	0.000020093499099	0.256995478677125	0.777517830262943	-1	4	5	6	7	8	10	11	13	11	15	12	12	14	15	17	15	15	14	15	16	16	17	17	20	0	0	2	2	3	5	6	5	7	7	9	7	7	10	10	15	9	10	12	12	12	15	17	21	16	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	2	2	2	1	1	1	1
19000	-135.386664341714436	-133.937106952163901	-1.449557389550536	0.000092324349257	0.000031070127450	0.336532320024920	0.575271842832404	0	4	6	6	7	9	12	11	14	11	15	12	10	14	15	16	14	14	14	14	17	17	15	18	21	0	0	2	2	3	5	6	13	7	6	12	5	6	10	6	15	10	10	12	12	20	15	10	20	16	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	2	1	1	1	1	2	2	2
19500	-129.620568817277530	-128.182903696107701	-1.437665121169834	0.000077580057000	0.000027080315296	0.349062843506502	0.856786085013425	1	5	6	6	8	9	11	11	14	12	14	13	12	14	14	17	15	13	15	14	18	17	16	17	18	0	0	2	2	3	5	5	5	6	6	12	7	8	10	6	15	18	10	11	12	20	9	17	20	9	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2
20000	-144.216981029945941	-142.723618315171592	-1.493362714774337	0.000103903273729	0.000031106262010	0.299377111938812	0.630397560006535	1	5	6	6	8	10	11	12	14	11	15	13	12	14	17	16	14	14	15	15	16	13	17	17	20	0	0	2	2	3	5	5	6	7	5	7	10	6	10	11	22	6	7	7	12	12	6	7	9	16	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	1	2	2	2	2	2
20500	-143.849877675852213	-142.463119416256376	-1.386758259595834	0.000104528202885	0.000079169870862	0.757402008996239	0.501140355723677	-1	4	6	6	8	9	12	11	13	11	15	13	12	15	15	17	15	13	15	15	18	16	18	18	19	0	0	2	2	3	5	5	6	13	5	7	7	6	18	12	20	18	10	12	5	12	12	17	12	16	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	3	2	2	2	2	1
21000	-143.519584028069602	-142.060759611734142	-1.458824416335459	0.000064377968989	0.000021092015127	0.327627843161304	0.720689910580560	0	4	6	6	7	9	12	11	15	12	15	13	12	14	14	17	15	14	14	16	17	14	17	18	21	0	0	2	2	3	5	6	5	22	6	19	7	8	7	5	9	15	10	5	12	12	10	9	20	21	1	1	1	1	1	1	1	2	1	1	1	1	1	2	3	1	1	1	3	2	2	1	1	1	2
21500	-138.446919604386125	-137.080742064976420	-1.366177539409707	0.000099988438983	0.000050064316030	0.500701046435375	0.754443787177998	-1	5	6	6	7	9	11	11	14	12	16	11	13	15	14	17	15	14	13	15	18	14	17	17	20	0	0	2	2	3	3	5	6	7	7	20	6	8	6	10	15	10	10	7	12	24	6	17	14	14	1	1	1	1	1	1	2	1	1	1	1	1	1	4	1	2	2	1	1	2	1	2	1	1	2
22000	-137.459193135769993	-136.098182361400490	-1.361010774369491	0.000083566776634	0.000046502934646	0.556476347650024	0.566257800639480	0	4	6	7	7	10	12	10	13	12	15	12	12	14	15	17	15	13	14	15	17	16	17	17	20	0	0	2	2	3	5	6	3	7	6	6	6	8	18	7	9	18	10	12	12	12	7	17	20	15	1	1	1	1	1	2	1	3	1	1	2	1	2	1	2	2	1	1	1	2	2	2	1	1	1
22500	-143.457489461952207	-142.051205105403596	-1.406284356548606	0.000118991592186	0.000046510266875	0.390870195285048	0.695071303524168	1	5	6	7	7	10	11	12	11	11	16	13	12	14	13	15	16	13	14	16	17	17	17	17	20	0	0	2	2	3	5	6	6	5	6	6	6	6	18	7	15	18	9	12	12	12	18	17	12	16	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	1	1	1	2	3	1	2	2
23000	-147.266730815520930	-145.709603454119019	-1.557127361401908	0.000124841330848	0.000032502938167	0.260353986505274	0.618830624885218	-1	4	5	6	8	10	12	11	14	11	14	12	13	15	17	16	14	15	14	16	18	16	17	18	19	0	0	2	2	3	5	6	6	6	5	12	6	8	7	17	6	6	9	12	12	12	7	18	12	22	1	1	1	1	2	1	1	1	2	1	1	1	2	1	2	3	3	1	1	2	2	1	1	2	2
23500	-155.046935334266095	-153.659198456375066	-1.387736877891035	0.000088263604281	0.000037632448547	0.426364285184617	0.515778520897107	0	4	5	7	8	10	11	12	14	10	15	11	12	15	16	16	16	14	15	16	16	14	18	15	19	0	0	2	2	3	5	6	7	6	5	12	5	6	5	18	9	7	10	18	12	19	6	17	22	18	1	1	1	1	2	1	1	1	1	1	2	2	1	3	1	1	2	3	1	2	1	2	1	1	2
24000	-143.594177212876502	-142.144254112969804	-1.449923099906705	0.000088456609113	0.000029736253902	0.336167689445524	0.752714440454784	0	3	5	7	8	10	11	11	13	11	15	12	13	14	16	16	16	13	14	15	18	15	16	17	20	0	0	2	2	3	5	3	5	7	5	8	6	8	10	22	9	14	6	12	12	12	9	18	20	16	1	1	1	1	1	1	3	2	1	2	2	1	1	2	1	2	1	1	1	2	2	1	2	2	2
24500	-142.898645077893008	-141.373042260382135	-1.525602817510865	0.000145114084749	0.000040344252577	0.278017482908868	0.623147611588655	1	3	5	7	7	9	12	11	14	11	15	13	12	14	17	17	15	14	15	16	17	16	18	17	19	0	0	2	3	3	5	6	5	7	5	12	6	5	7	17	22	14	7	10	9	9	18	17	20	15	1	1	1	1	2	1	1	2	2	3	1	2	2	1	1	1	1	1	2	2	1	1	1	1	1
25000	-126.330189801067249	-124.709371875281832	-1.620817925785415	0.000129196022394	0.000029888312844	0.231340812900405	0.734959324210868	0	4	5	6	7	10	11	12	14	12	16	13	12	15	17	16	15	15	14	14	16	16	17	18	20	0	0	2	2	3	5	5	6	6	6	19	7	6	6	22	9	9	6	7	12	12	9	18	21	22	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	2
25500	-128.261989738652147	-126.810675070709436	-1.451314667942713	0.000082016817559	0.000027458459757	0.334790602398409	0.653213065477606	0	4	6	6	8	9	12	11	13	11	15	12	13	14	15	17	15	14	14	15	16	16	17	17	19	0	0	2	2	3	3	5	6	5	5	12	6	8	10	5	22	10	10	12	12	12	9	17	20	16	1	1	1	1	1	2	2	1	2	2	1	2	1	2	4	1	1	2	1	1	2	1	1	1	1
26000	-130.494762812965632	-128.567431724391639	-1.927331088573989	0.000069806724134	0.000010513925325	0.150614793279668	0.737336892214798	-1	4	6	6	7	9	11	12	14	12	14	13	13	13	16	16	15	14	15	14	17	17	18	18	20	0	0	2	2	3	5	5	7	5	7	12	7	8	10	10	9	18	10	11	12	12	9	15	21	16	1	1	2	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2
26500	-143.318720649803964	-141.951563366041853	-1.367157283762103	0.000082136912315	0.000053864950918	0.655794689618411	0.725423521158144	1	4	5	6	7	8	11	10	13	11	15	12	13	14	15	16	15	15	14	15	18	17	18	18	20	0	0	2	2	3	5	6	6	6	5	10	5	8	12	7	15	10	7	12	10	20	16	17	18	16	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	2	1	2	1	1	2	2	2
27000	-140.908658107497018	-139.374219775904805	-1.534438331592205	0.000107591521054	0.000029349708035	0.272788299185513	0.624563919743502	0	5	6	6	7	9	12	11	14	11	16	13	13	15	15	17	15	14	14	16	17	16	16	17	21	0	0	2	2	3	5	6	6	6	6	19	6	7	10	6	9	18	3	10	12	12	15	17	12	16	1	1	1	1	1	1	2	1	2	1	1	2	1	2	2	2	1	3	1	2	2	1	1	2	2
27500	-134.361591666970327	-132.973919931068565	-1.387671735901771	0.000083037737448	0.000035416763180	0.426514067800375	0.671863931588704	1	4	6	5	8	10	10	11	14	11	14	13	12	14	15	16	16	14	14	15	16	16	18	16	21	0	0	2	2	3	5	5	7	7	6	6	7	7	10	11	15	18	10	7	12	9	11	17	11	16	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	1	1	2	3	1	1	1	1	1	2
28000	-146.565876686682486	-145.204696719555614	-1.361179967126876	0.000070778848085	0.000041680437851	0.588882681466791	0.612122517520399	1	4	5	6	8	9	12	12	13	11	15	12	11	14	16	17	15	15	14	16	17	17	16	18	20	0	0	2	2	3	3	3	13	10	6	9	6	6	10	7	9	7	10	12	12	12	15	14	21	6	1	1	1	1	2	2	3	1	1	1	1	1	1	2	2	2	1	2	1	1	3	1	1	1	4
28500	-125.945122048254760	-124.408580019251829	-1.536542029002935	0.000156383930708	0.000042470324792	0.271577294420593	0.732523863362059	0	5	6	6	7	9	12	11	14	11	15	12	13	13	16	16	15	14	15	15	17	16	17	17	20	0	0	2	2	3	5	6	6	7	5	7	6	8	12	7	9	14	14	12	18	22	9	18	20	9	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	1	3
29000	-144.435434800500502	-143.074544969108331	-1.360889831392159	0.000123221013238	0.000069272367994	0.562179827725192	0.785969042201761	0	4	5	7	7	10	11	11	14	10	16	13	13	13	14	15	15	14	15	16	18	16	18	17	20	0	0	2	2	3	4	6	6	7	5	12	7	8	10	8	9	9	14	7	12	24	15	15	9	21	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1
29500	-159.841677778645419	-158.480022916325311	-1.361654862320109	0.000110771760848	0.000066398780232	0.599419741310789	0.616898965724729	0	4	5	6	8	9	11	10	14	10	16	12	12	12	16	16	15	12	15	14	18	15	16	18	21	0	0	2	2	3	3	5	5	13	5	12	7	5	7	20	12	10	4	12	12	12	6	17	22	16	1	1	1	1	2	2	2	1	2	1	2	1	2	1	1	1	2	3	1	1	2	2	1	1	2
30000	-140.448664604192516	-139.027883656939537	-1.420780947252991	0.000087099293523	0.000032192085676	0.369602144562295	0.913681659436852	0	4	6	6	7	9	10	11	15	12	13	12	11	14	16	17	14	13	14	13	18	14	17	17	20	0	0	2	2	3	5	5	5	22	6	12	7	5	10	22	9	10	6	11	12	20	6	10	12	16	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	1	2	2	2	2	2
