step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40
5000	-221.569282221130294	-228.424770172089666	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.809053795912011	0	1	2	4	5	7	6	5	7	7	9	9	10	11	10	13	10	12	10	11	10	12	13	15	12	16	13	13	13	15	14	15	14	17	17	17	17	17	17	19	0	1	1	2	2	4	3	3	7	7	9	9	12	9	10	25	11	17	12	9	10	14	25	33	21	20	21	14	21	29	21	31	14	24	16	30	24	30	30	37	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1	2	1	2	1	1	1	1	1
5500	-192.851415680382530	-199.706903631341902	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.824589474624201	1	2	4	4	6	5	6	6	7	7	8	9	10	11	9	12	12	12	11	11	10	12	12	14	12	15	14	14	14	14	14	14	15	19	18	17	16	17	16	19	0	1	2	2	3	4	3	4	1	8	5	9	12	12	10	10	12	15	13	15	10	14	15	13	21	27	16	22	16	23	18	9	20	22	29	30	33	33	30	29	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	2	2	1	1	2	2	2
6000	-203.391585402398675	-210.247073353358047	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646157276567210	0	3	5	4	5	5	7	6	8	8	6	10	7	9	10	12	12	12	10	11	10	12	11	15	14	16	14	13	15	15	14	14	16	17	17	17	18	18	17	20	0	1	4	2	2	2	3	3	7	8	1	14	5	13	8	21	23	21	13	7	10	14	13	17	18	32	16	22	23	16	15	15	31	23	29	30	33	25	30	29	1	1	1	1	1	1	1	1	1	2	3	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	2	2	1	3	1	1	1	2	1	2
6500	-196.148670079037203	-203.004158029996574	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.811679230719005	0	2	4	5	5	5	7	6	7	8	8	9	10	10	10	12	13	11	11	11	11	11	13	13	14	14	15	13	14	15	14	15	16	19	18	16	15	17	19	19	0	1	2	2	3	2	8	3	3	7	4	3	12	12	10	7	21	15	13	9	15	14	20	19	15	17	18	22	20	23	16	17	26	35	36	25	19	21	38	36	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1
7000	-194.393398292087085	-201.248886243046456	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.760144109531722	1	2	4	5	7	6	5	6	8	8	8	10	9	11	10	13	13	12	11	10	11	12	12	15	14	15	14	14	14	15	15	14	16	17	18	17	17	18	17	20	0	1	2	2	3	2	3	4	8	8	4	9	9	13	10	15	21	9	13	10	15	14	6	19	22	16	17	23	18	4	18	18	26	24	9	30	33	36	30	38	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	3	3	1	1	1	1	1	5	1	1	1	1	4	1	1	1	1	1
7500	-223.597314425083511	-230.452802376042882	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.569128250966749	0	2	5	4	7	6	7	6	7	8	9	9	10	11	10	13	12	12	11	11	9	10	11	14	14	15	14	13	14	14	14	14	16	18	18	16	17	18	19	17	0	1	4	2	8	4	3	3	3	3	9	9	12	22	21	21	13	12	13	7	9	12	12	12	20	21	16	22	21	8	10	20	9	24	29	15	24	40	36	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	1	3	1	1	3	4	2	2	5	2	2	3	1	1	1	5
8000	-230.852156204547811	-237.707644155507182	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.510247650773905	0	2	4	5	7	6	6	7	7	7	9	9	9	10	10	12	12	10	10	10	11	12	12	14	14	15	13	13	15	14	15	14	16	19	17	17	17	18	16	19	0	1	2	1	1	4	3	4	3	3	5	5	4	13	2	8	19	5	13	7	7	14	6	13	22	16	21	22	15	5	15	15	27	38	29	17	13	25	30	36	1	1	1	2	4	1	1	1	1	2	1	1	2	1	4	2	1	1	1	2	2	1	2	2	1	1	1	1	2	3	2	3	1	1	1	3	4	2	1	1
8500	-165.531593066996976	-172.387081017956348	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.901433578854428	0	2	4	4	7	6	6	5	7	7	9	8	9	11	10	12	12	11	10	9	9	12	12	15	14	16	13	14	15	15	13	14	15	18	18	16	16	18	18	17	0	1	2	1	7	4	3	4	4	8	9	9	12	13	21	15	11	11	13	5	5	14	11	23	13	32	21	22	32	32	15	21	28	37	29	30	29	40	30	30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1
9000	-204.540150939935671	-211.395638890895043	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648313147950112	-1	2	4	5	6	6	7	6	7	8	9	8	9	10	10	12	12	12	10	10	10	12	11	15	15	13	15	13	14	15	14	14	15	18	19	17	16	18	19	17	0	1	2	3	3	2	5	3	6	3	9	4	12	12	9	15	19	7	12	10	3	14	13	12	32	20	26	23	16	18	10	21	28	36	38	30	24	30	26	25	1	2	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	3	1	1	3	1	2	1	1	1	2	3	1	1	1	1	2	1	2	3	1
9500	-217.099679668759450	-223.955167619718821	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.689472857209814	0	3	4	4	5	6	6	6	7	8	9	9	8	9	11	11	13	11	11	10	10	12	12	15	13	12	14	12	14	14	14	14	15	17	18	17	16	19	17	18	0	1	2	1	3	2	3	3	3	8	5	13	5	13	21	9	22	11	13	5	10	14	21	13	18	21	10	19	23	10	23	16	28	18	31	30	10	15	30	36	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	2	1	3	1	1	2	1	2	4	1	1	1	2	1	1	3	5	2	1
10000	-197.958199505164004	-204.813687456123375	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.830150529592629	0	2	4	4	5	6	7	6	6	8	8	8	10	9	10	12	12	12	11	11	11	11	12	13	12	13	14	12	14	15	14	14	16	16	17	16	18	18	18	18	0	1	2	2	2	5	8	3	4	2	9	9	12	12	9	15	15	13	13	8	7	14	13	13	19	7	21	5	10	29	21	21	30	30	30	30	30	33	30	30	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	4	2	1	1	1	1	2	1	2	4	1	1	1	1	1	1	1	1	1	1	1
10500	-234.694326140440438	-241.549814091399810	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.525776660382302	0	3	4	4	4	6	6	6	5	6	8	10	9	10	11	11	12	9	9	9	11	12	12	14	15	14	14	14	14	14	15	14	16	17	19	17	17	16	18	19	0	1	2	2	2	9	3	9	5	3	9	19	5	13	9	7	12	1	2	10	10	13	18	19	24	20	21	22	21	17	15	16	32	29	16	30	29	23	30	23	1	1	1	1	1	1	1	1	1	1	3	1	2	1	2	2	1	4	4	1	2	1	2	3	1	2	2	1	2	1	2	1	1	2	4	1	2	2	2	3
11000	-210.886731377704706	-217.742219328664078	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.640875928731274	0	2	4	4	7	6	5	5	7	6	8	10	8	10	11	12	11	11	11	10	9	11	13	15	14	14	13	13	15	14	14	15	15	18	17	18	17	16	18	18	0	1	2	2	3	2	3	4	8	8	2	13	4	13	5	9	20	21	12	9	10	14	14	25	18	10	21	22	16	15	9	27	23	25	29	30	38	15	26	30	1	1	1	1	2	1	1	1	2	1	2	1	2	1	2	2	1	1	1	1	2	1	2	1	2	3	1	1	2	2	3	1	1	2	1	3	1	2	2	2
11500	-190.998917171681427	-197.854405122640799	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.780416016353837	0	3	4	5	6	6	5	7	6	7	7	10	8	11	11	12	12	11	10	10	10	12	13	14	14	16	14	14	13	14	14	14	16	16	17	17	17	17	19	20	0	1	2	3	2	2	2	7	4	9	5	13	6	13	21	3	19	12	13	8	4	14	20	17	18	15	15	18	20	29	16	16	22	25	29	30	33	30	29	38	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	3	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	3	2
12000	-207.907983523915703	-214.763471474875075	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.779979558028914	0	3	5	4	6	6	7	6	8	7	8	10	9	10	10	12	12	10	7	11	9	11	12	15	13	16	14	14	14	14	13	12	16	17	17	16	17	19	18	18	0	1	4	2	3	2	3	3	4	8	6	19	19	13	21	15	13	10	4	18	10	14	15	29	14	8	16	17	16	9	16	18	29	24	29	30	26	33	26	26	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	4	1	1	2	2	1	1	1	1	1	1	1	1	1	1
12500	-190.594129182530850	-197.449617133490221	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.808349247793597	1	2	3	4	5	6	5	7	8	8	6	7	9	10	9	10	12	11	10	10	11	12	13	15	14	15	15	14	13	14	14	14	15	17	17	16	16	17	18	18	0	1	2	2	1	4	3	4	11	5	5	5	12	13	8	15	16	16	13	9	16	14	20	12	18	18	21	22	16	17	16	17	23	24	29	30	31	30	38	37	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1
13000	-210.348085317618740	-217.203573268578111	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657764212006681	0	2	5	4	6	7	7	6	6	8	8	9	9	10	10	12	12	12	11	9	8	11	13	15	14	14	15	13	14	14	15	14	15	17	18	18	16	19	17	18	0	1	2	1	1	4	5	4	3	9	5	9	5	12	10	21	10	14	13	21	9	14	15	13	13	10	7	13	7	23	17	16	22	25	21	29	28	35	27	30	1	1	2	2	2	1	1	1	1	1	1	1	3	1	1	2	2	1	1	1	1	1	1	3	2	3	4	2	4	1	2	1	2	1	4	2	1	1	1	2
13500	-181.421661936418644	-188.277149887378016	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646217282001146	0	3	4	3	6	5	7	5	6	7	8	10	8	10	10	12	11	11	10	9	9	11	12	14	14	15	12	14	15	14	14	14	16	18	18	16	17	17	19	19	0	1	2	1	6	2	9	3	4	5	5	13	4	13	10	10	21	13	13	10	10	14	18	13	18	20	15	22	31	21	16	27	28	36	29	30	29	30	34	38	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	3	1	1	1	2	1	1	1	1	3	1	1	2	1	1
14000	-193.108092109310661	-199.963580060270033	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.737357269639447	1	3	4	5	7	7	5	7	8	7	8	9	9	11	11	11	11	11	10	10	10	12	11	15	13	14	14	13	14	14	15	15	16	17	18	17	16	16	18	20	0	1	1	2	2	4	2	4	7	4	4	5	4	13	10	10	13	6	13	9	5	14	13	13	22	20	21	22	15	21	16	26	28	32	27	30	22	30	30	36	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	1	1	3	1	2	2	1	2	1	2	1	2	1	2	2	2	1	2	1
14500	-172.430101397768027	-179.285589348727399	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.900895486920712	0	2	5	4	6	6	7	6	7	8	8	7	9	10	10	12	12	11	10	11	9	11	12	14	14	14	15	13	14	15	14	13	16	19	18	17	16	19	18	18	0	1	2	2	3	4	3	3	3	3	4	4	12	13	21	15	13	21	13	9	5	14	19	13	32	16	32	22	18	10	10	16	31	29	25	30	24	40	33	30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1
15000	-183.279077580330295	-190.134565531289667	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.726505787024300	1	3	5	5	5	5	4	6	7	8	9	10	8	11	10	13	12	10	10	10	11	11	13	14	14	15	14	13	15	15	14	14	15	18	16	17	17	19	16	19	0	1	7	2	7	2	2	5	4	8	9	13	9	13	7	9	15	13	13	10	10	18	14	13	17	20	10	22	32	21	15	16	21	33	30	30	24	34	25	30	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	1	1	1	1	1	1	1	3	1	2	3	1	1	2	2	1	2	1	1	1	2	1	1	2
15500	-205.542012552141443	-212.397500503100815	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.762023608882223	1	3	5	4	6	5	6	7	8	8	7	9	8	10	10	13	12	10	10	11	11	12	12	14	15	15	13	14	14	15	14	14	15	18	19	14	16	18	18	19	0	1	4	1	1	1	2	3	8	6	4	13	2	13	10	21	21	9	13	10	10	14	21	13	36	20	21	22	20	36	23	10	22	24	29	18	16	29	25	37	1	1	1	1	2	2	1	1	1	1	1	1	3	1	2	1	1	1	1	2	2	1	1	4	1	3	1	1	1	1	1	3	2	2	2	2	1	2	1	2
16000	-204.240478258551747	-211.095966209511118	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.838399615512508	0	2	3	5	5	7	6	6	8	8	8	10	9	10	10	12	12	11	11	9	9	12	12	14	15	15	15	14	14	14	13	13	15	18	17	17	16	18	19	20	0	1	2	3	3	4	3	5	8	4	2	4	9	13	21	20	12	21	13	10	10	14	12	12	29	17	15	22	31	9	15	10	28	37	29	30	30	29	37	38	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	2	1	1	1	2	1	2	3	1
16500	-207.460455317887551	-214.315943268846922	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600141522774898	-1	2	4	4	7	6	7	6	6	8	8	9	9	10	10	11	13	12	11	10	10	11	12	14	14	15	14	13	14	13	15	15	16	17	17	16	16	18	18	19	0	1	2	1	3	2	3	3	4	5	9	4	5	2	10	15	21	15	13	7	3	13	10	14	19	20	18	14	16	23	15	15	22	27	32	5	24	36	30	38	1	1	1	2	2	2	2	1	1	1	2	2	1	3	1	1	1	1	1	2	2	1	2	1	2	3	1	1	1	1	3	2	2	1	1	5	1	1	3	1
17000	-185.747807671624116	-192.603295622583488	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.798477888326533	0	2	4	4	7	6	6	6	6	8	7	8	9	10	9	13	12	11	11	10	11	11	13	16	13	14	14	13	13	15	14	14	14	19	16	17	17	16	19	20	0	1	1	2	8	4	3	3	3	7	2	9	12	12	10	10	15	15	13	10	7	14	20	19	18	16	17	22	21	29	15	17	29	36	16	30	21	30	30	37	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	3	1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	3	1	2	1
17500	-165.610906912895501	-172.466394863854873	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.865865307694151	0	2	3	5	7	6	6	6	7	7	9	9	8	10	9	12	11	11	11	11	10	12	13	15	13	14	13	14	14	15	15	15	16	17	19	16	17	17	18	18	0	1	2	3	4	2	3	4	8	8	13	13	4	12	10	21	15	15	13	9	15	14	22	19	20	16	16	22	18	29	16	27	26	32	34	29	32	30	30	38	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
18000	-174.435888116085948	-181.291376067045320	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.798679978039821	0	2	4	4	4	6	6	7	7	8	9	8	9	10	11	13	11	10	10	10	10	11	12	15	15	15	15	13	13	13	14	14	14	17	18	17	18	18	16	20	0	1	2	2	2	4	3	7	4	7	4	9	12	13	21	15	19	12	13	10	10	14	18	33	32	16	15	22	15	15	15	21	17	16	31	30	39	39	27	37	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1
18500	-207.353801617334568	-214.209289568293940	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.804735418875014	0	2	3	4	6	6	6	5	8	8	7	9	8	11	11	11	13	10	10	10	10	10	11	15	14	14	13	13	13	15	13	14	15	15	19	17	15	19	17	19	0	1	2	2	4	2	4	3	11	7	4	5	11	22	9	4	23	9	13	5	10	13	12	23	14	16	16	14	10	31	5	21	27	27	34	30	31	36	30	34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	2	1	3	1	1	1	2	1	1	1	1	2
19000	-204.133778901575369	-210.989266852534740	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.699341875662242	0	3	4	4	6	6	7	5	7	8	8	8	9	11	11	13	13	11	10	10	10	11	11	15	15	16	13	13	13	14	14	15	15	18	17	17	17	18	18	19	0	1	2	2	8	4	8	4	6	8	4	5	12	19	21	21	22	6	9	5	10	13	21	13	13	10	15	22	21	21	4	27	16	37	29	33	16	35	30	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	3	1	1	2	3	5	1	1	1	2	1	3	1	2	1
19500	-197.521320051005659	-204.376808001965031	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.744670952741739	0	2	4	4	6	5	7	6	8	8	8	9	9	10	10	11	12	10	10	10	10	11	12	15	14	15	14	13	14	14	14	14	13	16	18	16	17	18	16	19	0	1	2	2	3	4	3	3	5	8	2	5	2	13	5	9	16	11	12	10	5	12	20	25	18	20	9	22	17	17	17	23	19	32	34	23	34	30	30	37	1	1	1	1	1	1	1	1	1	1	2	2	4	1	2	1	1	1	1	1	2	1	1	1	2	2	4	1	2	1	1	1	2	1	1	1	1	2	1	1
20000	-243.667547344952453	-250.523035295911825	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.721855775992178	1	2	4	4	7	5	6	6	7	6	8	8	9	11	10	12	13	12	11	10	9	10	12	15	13	15	14	13	14	14	14	14	15	16	18	15	17	16	18	19	0	1	2	1	2	1	3	3	10	2	4	2	9	22	3	21	11	20	13	8	9	13	22	19	14	23	16	23	15	5	17	17	25	26	30	29	29	17	30	18	1	1	1	2	2	2	1	1	1	2	3	2	2	1	4	1	2	1	1	3	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2	1	1	2	2	3
