step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19
13000	-122.890788316131363	-129.746276267090735	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.381156509429491	-1	2	3	4	5	8	5	6	7	9	9	7	13	12	15	15	15	17	19	0	1	2	2	3	8	2	1	5	3	4	5	11	8	10	5	0	17	17	1	1	1	1	1	2	1	2	1	3	2	1	2	4	2	5	1	2	2
13500	-115.857436619607043	-122.712924570566415	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.531334026919890	-1	1	2	4	6	7	5	8	6	8	9	9	12	12	12	15	13	17	19	0	1	1	2	1	7	3	5	2	5	4	5	11	9	5	15	0	17	18	1	1	2	1	3	1	1	1	3	1	2	2	2	2	3	1	1	3	2
14000	-121.412384135854325	-128.267872086813696	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.458752546975805	-1	3	2	5	6	7	5	8	7	8	10	9	12	11	13	14	16	18	20	0	1	1	2	2	1	2	5	2	5	5	2	11	5	5	1	0	17	17	1	2	2	1	1	3	1	1	1	1	2	3	1	3	3	9	1	1	2
14500	-119.942860521862428	-126.798348472821800	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.734782819353512	0	2	3	4	6	5	6	7	6	8	9	8	11	11	13	15	15	17	21	0	1	2	3	2	2	1	2	3	9	4	7	11	9	10	10	0	17	18	1	2	1	1	2	1	5	2	1	1	2	1	1	2	2	3	1	1	2
15000	-108.114137477184940	-114.969625428144312	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.632358155943877	-1	2	2	4	6	7	5	8	7	8	9	8	12	13	14	15	15	17	20	0	1	1	3	7	7	3	3	5	5	4	5	11	9	5	15	0	17	18	1	2	1	1	1	1	2	4	1	1	2	1	2	2	3	1	1	2	1
15500	-118.745513384689374	-125.601001335648746	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629333066221589	0	3	1	4	6	7	6	7	8	8	9	9	12	13	14	15	15	17	21	0	3	1	3	2	5	2	1	2	8	1	7	11	8	11	11	0	17	18	1	1	1	1	1	1	2	3	2	1	3	2	2	3	3	3	1	2	3
16000	-119.783266398281782	-126.638754349241154	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.502924310443259	0	2	3	4	6	7	5	7	7	8	9	7	11	11	13	15	15	17	20	0	1	2	3	2	3	2	5	7	3	4	7	5	9	6	10	0	17	18	1	1	1	1	3	2	2	1	1	2	3	1	3	1	4	2	1	1	2
16500	-109.986222321889514	-116.841710272848886	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.700981750720193	0	3	2	5	6	6	4	7	8	8	9	7	11	12	12	15	15	18	20	0	1	1	2	3	7	2	2	8	4	2	7	11	9	5	15	0	17	18	1	1	1	1	1	1	1	1	1	1	2	1	1	2	3	2	1	2	1
17000	-112.151164833619958	-119.006652784579330	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636832443993857	-1	2	3	4	6	8	4	7	8	9	8	9	12	12	14	15	16	17	20	0	1	1	2	2	5	3	5	3	9	8	5	11	9	10	14	0	17	18	1	1	2	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	2
17500	-129.425381120508689	-136.280869071468061	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690807744872420	-1	3	2	5	7	8	5	8	6	8	8	7	11	11	12	15	15	17	20	0	3	1	2	3	7	1	5	3	4	4	2	4	9	7	10	0	17	18	1	1	1	1	3	1	2	1	1	1	1	1	2	3	3	3	1	1	2
