step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67
10500	-376.564043431166340	-383.419531382125740	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.579324110287576	0	-1	1	2	4	3	6	6	7	5	9	6	8	6	7	8	8	10	9	11	10	10	10	10	12	13	11	12	9	13	14	13	13	13	12	14	15	16	14	16	14	17	17	16	13	15	17	18	17	16	16	16	19	17	18	17	19	18	18	19	18	20	22	22	22	22	23	0	0	1	3	3	3	5	3	6	6	13	6	6	10	6	14	12	6	15	9	16	13	15	19	22	24	12	22	15	27	11	22	24	25	23	0	30	25	11	41	24	30	13	37	20	34	30	32	17	39	46	23	27	40	37	0	52	54	47	56	42	38	47	60	61	48	57	1	1	1	1	2	1	1	3	2	1	1	2	3	1	2	1	1	2	1	2	1	1	1	1	1	2	3	2	1	1	4	2	2	1	1	1	2	2	3	1	2	2	4	1	1	1	2	3	5	2	1	2	4	1	1	1	2	1	1	2	1	2	2	2	2	2	1
11000	-363.648751345795972	-370.504239296755372	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.523187121467799	0	1	1	2	4	4	6	5	7	3	8	6	9	7	8	9	9	9	9	10	10	10	11	8	12	13	11	12	10	13	13	12	12	12	12	13	14	15	14	16	16	17	15	16	14	15	16	18	16	15	18	16	19	17	18	16	18	18	17	19	19	21	21	20	21	22	23	0	0	1	1	1	1	5	6	12	1	12	6	9	10	12	10	11	9	11	11	10	19	24	6	24	19	11	22	6	17	6	24	24	19	11	0	20	25	18	25	28	52	39	35	17	25	13	41	39	13	40	31	52	40	44	0	52	34	49	56	57	58	49	60	61	58	61	1	1	1	1	2	2	2	1	1	1	2	1	1	2	1	3	1	1	1	1	3	1	2	2	2	2	2	1	3	2	4	2	2	2	2	1	2	2	2	2	2	1	1	2	3	2	4	1	1	2	1	2	2	1	1	1	1	3	1	1	1	2	3	1	2	2	2
11500	-353.866233077217828	-360.721721028177228	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.637025515741990	0	-2	1	3	4	4	7	5	4	5	8	7	8	6	6	9	9	9	9	11	10	8	10	10	11	13	10	12	12	11	14	12	11	14	12	14	15	16	14	16	15	17	16	16	13	14	17	17	17	15	18	17	19	18	18	17	18	19	18	19	20	20	21	22	22	22	24	0	0	1	1	3	1	5	5	1	6	15	15	15	10	9	10	11	12	10	27	19	10	12	22	16	24	11	22	23	11	18	24	19	25	30	0	45	46	11	34	32	37	17	31	20	25	15	32	13	39	38	39	42	34	43	0	47	26	52	56	57	46	43	60	61	43	65	1	1	1	1	2	3	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	2	3	1	1	2	1	1	2	1	2	1	2	1	4	1	2	2	4	2	4	1	2	2	1	2	1	1	1	3	1	1	1	3	4	2	1	3	1
12000	-372.252347539176810	-379.107835490136210	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.546583501629688	0	0	2	2	4	3	6	5	6	5	9	6	8	7	9	8	8	10	9	11	10	8	11	10	12	13	12	12	12	12	14	13	12	13	12	12	13	16	13	16	15	15	14	15	12	14	16	17	16	13	17	16	17	18	18	17	18	17	19	19	20	20	21	21	21	21	24	0	0	1	1	6	3	5	5	6	6	14	1	9	10	9	10	6	5	22	11	16	12	13	19	24	19	17	22	15	17	15	19	24	25	13	0	35	25	3	34	24	30	13	45	17	34	23	32	43	15	46	45	37	58	47	0	52	46	49	56	53	58	59	60	61	46	53	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	2	2	3	1	1	1	2	2	1	1	2	2	1	2	1	3	2	1	1	2	1	1	2	5	2	2	1	3	2	2	1	2	2	1	3	2	2	3	1	1	1	1	2	1	2	2	2	1	2	1	3	3
12500	-332.807515224325016	-339.663003175284416	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.742231442527091	0	-1	2	2	3	4	6	5	5	6	10	7	8	7	8	10	9	9	9	11	9	8	11	11	12	12	12	12	12	13	14	12	11	13	13	13	15	16	15	16	15	17	16	15	14	14	18	16	15	16	18	17	18	14	18	16	19	18	18	19	20	20	20	21	22	22	24	0	0	1	1	3	3	8	5	6	9	18	9	12	10	9	21	13	12	22	15	14	10	15	19	19	24	17	19	9	17	23	24	22	25	11	0	11	25	35	34	24	37	13	23	18	25	31	32	35	39	40	37	49	25	43	0	53	34	37	56	57	40	59	56	61	62	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2	1	1	1	4	2	1	1	1	1	2	1	2	2	1	2	2	1	4	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	3	2	1	2
13000	-348.844519968580869	-355.700007919540269	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.610210715577454	1	1	2	2	3	3	7	5	6	5	10	5	8	6	8	9	8	9	8	10	11	10	12	10	12	11	12	12	12	13	15	12	12	13	11	14	15	16	14	16	15	17	16	15	13	15	17	18	16	15	17	15	19	17	17	17	18	18	18	19	20	19	22	21	21	22	24	0	0	1	1	3	1	8	5	12	6	6	6	9	10	9	10	12	12	14	17	16	19	18	19	24	19	17	22	18	20	11	24	24	25	20	0	17	25	9	25	24	52	31	30	17	34	23	32	30	13	38	45	27	38	37	0	50	24	13	56	57	34	49	56	61	38	61	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	2	2	1	1	3	1	1	1	1	1	4	2	5	2	2	1	1	1	3	1	2	2	2	3	1	2	4	1	1	1	1	3	5	1	1	4	2	2	1	2	2
13500	-350.895340263398680	-357.750828214358080	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677049985077948	0	0	1	2	4	3	6	3	4	5	9	7	8	6	6	8	8	10	8	10	10	9	11	9	12	13	12	11	12	13	13	12	11	13	12	14	16	15	14	16	15	17	14	15	14	15	17	17	16	15	18	16	19	16	17	18	17	19	19	20	20	20	21	21	22	23	24	0	0	1	3	3	1	5	3	3	6	17	5	9	10	9	10	9	15	14	11	16	19	18	19	13	28	17	22	11	20	23	16	16	28	20	0	18	25	27	34	24	37	23	31	35	34	39	32	45	39	40	30	42	34	31	0	52	26	49	56	57	38	59	60	57	62	61	1	1	1	1	2	1	1	1	1	1	1	2	3	1	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	1	1	1	3	2	1	2	2	1	1	2	1	1	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	3	1	1	3	2	2
14000	-381.379891692744025	-388.235379643703425	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.699766736761581	0	1	2	3	3	5	5	5	5	5	10	7	8	6	8	8	8	9	8	11	9	9	11	10	11	10	12	11	11	13	13	12	12	12	12	13	14	15	13	17	15	17	15	14	14	15	16	17	16	15	16	17	18	15	15	17	18	18	18	20	19	19	21	21	22	22	23	0	0	1	3	1	1	5	5	5	5	12	9	6	10	9	14	12	12	10	17	10	14	18	19	19	19	20	6	12	27	23	24	28	25	11	0	30	28	27	34	24	43	21	30	27	34	31	32	27	20	34	37	42	25	17	0	43	34	37	56	57	40	47	60	61	58	61	1	1	1	1	2	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	3	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	2	2	1	2	1	1	2	3	1	2	2	1	2	1	2	3	1	2	1	2
14500	-345.143002345439129	-351.998490296398529	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.705753008881700	0	0	1	3	4	4	6	6	6	5	9	6	9	6	7	7	9	9	9	11	11	10	11	8	11	10	11	13	12	12	14	12	11	14	12	12	15	15	14	17	13	16	17	15	14	14	16	16	17	15	16	16	18	17	18	17	18	18	17	19	19	21	21	21	22	23	24	0	0	1	1	3	1	5	5	4	6	15	4	14	10	6	10	15	12	24	13	16	24	13	10	26	24	11	22	9	11	23	24	19	25	17	0	20	34	27	38	19	20	31	23	13	25	23	46	35	39	46	39	27	34	31	0	49	38	37	56	57	54	49	60	61	62	61	1	1	1	2	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	3	2	1	2	1	2	1	1	2	1	1	1	2	2	1	2	3	3	2	1	4	1	1	2	3	2	2	1	1	2	1	1	1	3	2	1	2	1	2
15000	-370.028168152673629	-376.883656103633029	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.620936884547212	0	1	2	2	4	4	7	5	6	6	9	6	8	7	8	8	8	9	8	10	9	9	11	9	11	11	11	12	13	12	14	10	13	14	13	12	15	13	15	16	14	16	15	14	14	16	18	16	15	15	17	16	18	17	18	17	18	18	19	19	21	20	22	22	22	22	23	0	0	1	1	3	1	8	5	6	6	10	5	5	6	12	14	9	15	5	24	16	14	11	3	24	10	17	25	27	17	23	19	24	38	27	0	15	25	31	25	28	45	23	30	17	38	31	28	30	27	38	45	42	34	43	0	52	34	37	56	57	58	37	60	57	46	65	1	1	1	1	2	2	2	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	4	2	2	2	1	1	2	2	2	2	1	1	1	4	1	1	3	1	1	2	1	3	2	2	2	1	2	1	1	1	2	2	1	1	3	2	1	2	1	3	2	2	4	1
15500	-376.640855784483506	-383.496343735442906	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544626447588014	-1	0	1	2	4	3	6	6	7	6	9	5	8	7	9	8	8	10	9	11	10	10	11	10	10	13	11	12	13	13	14	12	13	14	12	13	15	15	14	16	15	14	17	16	14	15	18	15	15	15	18	16	18	17	18	17	19	19	16	19	20	20	21	21	21	23	24	0	0	1	1	3	3	5	5	3	6	12	3	9	12	10	10	5	13	14	13	10	16	9	19	19	32	17	22	23	27	23	24	21	25	11	0	30	25	30	25	32	35	31	35	17	25	17	32	9	39	41	11	49	38	43	0	18	34	27	56	53	40	44	60	61	58	61	1	1	1	2	2	2	1	1	3	2	2	2	1	2	2	1	2	2	1	2	2	1	2	1	1	1	2	1	1	1	2	1	1	2	2	1	1	2	1	4	2	1	1	2	2	3	5	2	5	1	1	3	2	1	1	1	4	2	2	1	1	2	2	2	1	2	2
16000	-361.652780121073363	-368.508268072032763	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.587206615910923	-1	1	1	2	3	3	6	6	6	5	9	5	8	6	9	10	8	9	9	11	10	8	11	11	11	11	10	12	12	12	15	13	12	13	12	14	15	16	13	15	16	17	16	16	14	15	18	17	16	15	16	16	18	17	17	14	18	17	18	19	19	20	21	22	22	22	24	0	0	1	1	3	3	5	5	6	6	9	6	12	10	9	14	1	9	14	12	14	14	18	16	19	19	9	22	9	11	23	24	22	25	27	0	21	34	18	34	21	37	12	31	20	25	55	41	45	39	25	11	42	24	20	0	43	34	49	56	57	54	30	60	61	62	61	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	2	5	2	2	3	2	1	1	1	1	1	2	2	4	2	2	2	2	1	1	1	2	2	2	1	2	1	6	1	2	2	1	1	1	1	2	3	1	3	3	1	1	2	1	3	1	1	4	2	1	1	2
16500	-367.431767744525757	-374.287255695485158	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673821955577092	0	-1	1	2	4	3	6	6	7	5	10	5	7	6	7	8	8	8	9	10	11	9	12	10	12	13	11	11	13	13	13	12	13	13	12	12	14	15	14	16	14	17	16	16	13	15	17	17	14	15	17	17	18	18	17	17	18	19	16	19	20	19	21	22	21	23	25	0	0	1	1	1	1	3	5	7	6	17	6	12	10	12	14	15	15	15	12	15	14	20	22	24	24	17	22	17	27	18	24	28	25	17	0	27	34	27	25	24	37	45	31	15	34	43	24	35	39	34	45	42	51	31	0	43	38	49	56	57	40	59	60	61	58	57	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	3	2	1	1	1	1	2	2	1	2	2	3	1	1	1	2	1	1	1	2	2	2	1	2	1	2	1	1	3	2	1	2	3	1	1	2	1	1	2	2	1	2	2	2	2	1	3	3
17000	-316.445277029789906	-323.300764980749307	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.788803243818128	0	1	2	3	4	4	6	5	6	5	10	5	8	7	9	10	8	9	9	10	10	9	11	10	11	12	12	12	11	12	13	11	13	13	13	12	15	16	15	15	15	17	16	14	14	15	18	17	15	16	17	15	17	17	18	17	18	19	19	19	20	19	22	22	22	22	24	0	0	1	1	3	1	5	5	6	6	17	1	5	10	17	13	6	9	14	15	10	14	15	19	19	19	18	22	13	20	23	19	21	25	20	0	30	40	31	25	24	52	31	27	11	34	43	32	45	39	38	27	52	46	37	0	42	46	49	56	57	38	59	60	61	62	61	1	1	1	1	2	2	1	1	1	1	1	3	3	1	1	2	2	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	2	1	2	2
17500	-372.556038847625473	-379.411526798584873	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677635424549306	0	0	1	2	4	4	6	5	7	5	9	6	9	6	8	9	7	10	9	10	11	9	11	10	12	13	11	11	13	13	14	12	12	14	12	14	15	13	14	15	16	16	16	13	13	16	18	17	15	15	16	16	18	18	19	18	19	18	18	19	20	21	21	21	20	21	23	0	0	1	1	3	1	5	5	12	6	17	6	12	10	12	6	6	15	14	17	16	14	9	19	22	24	17	22	18	9	27	24	28	38	23	0	45	24	45	25	19	45	30	17	20	34	43	24	13	39	25	12	42	33	31	0	37	51	42	56	57	58	59	60	52	46	57	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	2	1	2	2	2	1	2	3	1	1	1	1	1	1	1	1	1	3	3	1	2	2	1	2	1	2	2	1	2	4	1	3	3	1	2	1	1	1	1	1	2	1	2	4	3
18000	-323.733825485653256	-330.589313436612656	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702050682454464	1	0	2	3	4	4	7	2	6	6	10	7	8	7	7	9	9	10	10	9	9	9	12	11	12	13	10	11	12	13	14	13	12	13	13	14	15	15	14	15	15	17	16	15	14	16	18	17	16	16	17	15	18	18	18	17	18	18	18	19	20	19	20	22	22	21	24	0	0	1	1	1	3	5	1	6	6	13	6	6	10	6	14	12	15	22	15	10	14	15	19	19	24	9	22	18	20	15	24	19	25	17	0	30	25	18	34	24	37	37	45	11	40	30	32	18	39	41	31	42	46	18	0	52	40	30	56	57	41	59	56	61	38	65	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	1	1	2	1	1	2	3	1	1	1	2	1	2	2	2	1	2	1	1	1	2	1	3	2	3	1	1	1	1	2	3	1	2	2	2	1	1	2	1	2	1	3	1
18500	-328.389432902683780	-335.244920853643180	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.581939184311887	0	0	1	2	4	3	7	5	4	5	9	6	7	7	8	9	8	8	10	10	10	9	11	11	12	13	11	13	12	13	15	12	12	14	12	13	15	15	15	16	15	17	16	14	14	16	17	17	15	16	17	16	18	17	18	17	18	18	18	19	21	20	21	21	20	22	24	0	0	1	1	4	4	5	5	1	6	18	9	4	10	12	14	9	12	22	11	16	13	12	19	19	24	20	22	18	11	18	19	19	25	11	0	20	25	30	25	24	52	35	23	18	34	43	32	30	45	38	45	42	41	31	0	52	46	49	56	57	46	23	60	57	58	65	1	1	1	2	1	1	1	1	2	1	1	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	1	2	2	2	5	1	1	1	2	1	2	2	1	2	2	1	2	2	3	1	1	2	1	1	2	1	1	1	3	1	1	1	2	1	2	3	5	1	1	2	2
19000	-353.531923063868362	-360.387411014827762	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690697718011710	-1	0	1	3	3	4	5	5	5	5	9	6	8	6	8	9	8	9	9	9	10	9	12	11	13	13	11	12	12	13	15	13	13	12	12	12	16	14	14	17	15	17	15	16	14	15	16	18	17	15	17	15	18	17	19	17	17	19	18	19	19	19	21	21	21	22	25	0	0	1	3	1	1	5	5	3	6	17	5	9	10	12	14	12	17	10	17	19	14	11	19	34	24	11	24	13	27	23	24	24	24	18	0	23	25	27	34	34	52	15	23	35	34	23	32	11	13	34	39	42	41	15	0	52	34	43	56	57	51	49	60	61	40	65	1	1	1	1	2	3	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	2	2	1	3	2	1	2	2	2	4	3	3	1	1	1	4	1	2	3	1	1	1	1	2	1	2	3	2
19500	-346.995291619028308	-353.850779569987708	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.675339674145326	-1	0	1	1	3	4	6	6	6	6	10	7	6	5	8	9	8	8	10	11	11	9	12	10	11	12	11	12	12	13	14	12	11	14	13	13	15	15	13	16	15	17	17	16	13	14	18	16	17	16	17	16	18	17	18	18	18	19	18	20	21	19	21	21	20	23	24	0	0	1	1	1	3	1	5	6	14	17	14	6	3	13	10	13	13	22	11	14	14	11	10	24	24	13	22	27	13	23	22	24	25	27	0	45	25	18	25	22	27	39	30	17	25	31	46	37	39	46	41	42	38	42	0	52	41	49	56	65	40	59	60	57	62	61	1	1	2	2	1	1	3	2	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	3	2	1	4	1	2	1	2	1	1	1	2	2	3	3	3	2	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2
20000	-351.115043538085274	-357.970531489044674	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638338888693297	0	0	2	3	4	4	6	5	6	6	10	3	8	5	8	10	8	10	9	11	8	10	11	9	13	11	11	11	12	13	13	13	12	13	13	12	12	16	14	16	15	16	15	15	14	15	18	16	15	14	17	16	18	17	16	17	19	19	18	19	21	21	21	20	20	22	24	0	0	1	3	3	3	5	5	6	14	17	1	9	12	9	10	9	9	14	17	10	24	18	14	19	10	17	22	23	17	23	19	19	33	11	0	27	34	27	34	22	18	35	31	11	34	31	41	35	15	46	45	52	38	45	0	52	46	49	56	57	54	59	56	57	62	65	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	3	1	2	2	1	1	1	1	2	1	2	1	1	1	3	1	2	2	1	2	1	1	2	2	2	2	3	1	1	2	1	2	1	1	3	1	2	2	1	1	1	2	2	2	1	1	1	1	2	1	1	2
20500	-367.107886145123871	-373.963374096083271	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591685447045121	0	0	2	3	2	5	6	4	6	6	10	7	8	5	8	10	7	9	9	10	11	9	11	11	11	12	11	12	13	10	14	11	12	13	13	13	15	15	13	16	15	18	16	14	13	15	16	17	15	14	18	15	19	17	17	16	18	17	18	20	20	20	21	22	20	22	23	0	0	1	1	1	3	5	5	6	6	15	9	12	3	9	10	6	6	10	17	16	14	12	19	22	19	18	19	20	17	23	22	24	25	30	0	13	25	27	25	28	6	37	15	11	25	44	46	23	12	38	45	47	34	47	0	52	46	49	56	57	58	49	56	57	38	61	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	2	1	2	1	2	2	2	2	2	1	2	2	1	4	2	1	2	1	6	1	3	1	2	2	1	1	3	2	1	2	2	1	1	2	1	1	2	1	1	2	3	2	3	2
21000	-376.534793770438796	-383.390281721398196	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.565643902590462	1	-2	2	3	3	5	7	6	6	5	9	4	8	6	8	9	7	9	9	10	11	9	11	11	13	12	11	11	13	12	14	12	13	13	12	12	14	15	14	16	14	15	16	15	13	16	17	18	16	14	17	16	17	16	19	17	19	19	19	19	21	20	19	21	22	22	25	0	0	1	1	1	12	8	5	12	12	17	4	12	10	9	14	6	9	14	11	19	14	18	10	19	24	20	19	23	27	23	22	24	24	18	0	15	22	13	34	26	45	31	15	11	34	23	47	30	45	34	17	42	34	49	0	44	51	20	56	52	46	44	56	61	38	57	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	2	2	2	1	1	2	1	2	2	1	1	2	2	1	2	1	1	1	2	1	3	3	3	2	1	1	1	4	2	2	4	1	2	1	2	4	1	2	2	1	2	1	4	2	3	2	1	2	1	3	3
21500	-339.339701746095500	-346.195189697054900	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.728850030431318	-1	-1	1	3	3	3	7	5	6	5	10	5	8	7	7	8	8	9	9	11	10	9	11	10	12	12	12	12	12	13	14	12	10	14	11	13	16	16	12	16	16	18	17	15	13	15	17	17	13	15	17	16	17	17	16	17	18	18	18	19	20	20	21	22	21	21	24	0	0	1	3	3	3	5	5	6	6	17	1	15	12	12	10	9	15	16	11	16	14	9	19	22	19	11	22	18	39	23	19	22	25	11	0	35	25	17	25	32	11	23	23	20	25	13	32	27	45	46	30	37	46	31	0	52	34	49	56	57	34	59	60	61	58	61	1	1	1	1	1	1	2	1	2	1	1	3	1	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	3	2	2	3	2	3	2	2	1	2	3	3	1	1	1	1	1	1	1	1	1	2	2	1	1	4	2	1	1	1	2
22000	-367.165610371637513	-374.021098322596913	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.782169631873637	-2	1	1	1	5	4	7	6	7	6	9	6	8	7	8	9	8	9	8	11	11	9	11	10	12	12	12	12	12	12	14	13	12	13	12	12	14	13	13	15	15	17	17	16	14	16	16	18	14	16	16	16	17	17	18	16	19	18	16	18	18	19	20	22	21	22	24	0	0	1	1	1	3	5	6	10	6	17	4	12	10	9	14	12	3	9	11	16	19	12	19	18	24	9	22	18	17	27	24	19	25	15	0	23	26	11	38	32	59	23	27	20	25	31	32	23	20	40	45	50	46	47	0	61	38	37	56	42	40	59	60	61	62	61	1	1	2	1	2	2	1	1	1	2	1	2	1	1	1	2	1	3	1	1	1	1	2	1	1	1	3	2	1	2	1	1	2	1	1	1	2	1	2	1	1	1	2	2	1	3	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	3
22500	-348.447444444490259	-355.302932395449659	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544568789229946	0	-2	2	2	4	4	6	6	7	5	9	7	8	6	9	9	8	10	9	10	10	10	10	11	12	11	11	13	12	12	13	13	11	14	12	13	15	16	14	17	15	15	17	15	15	15	17	17	16	16	17	14	18	17	15	16	17	17	18	19	19	19	22	22	21	22	24	0	0	1	1	1	3	5	5	6	3	12	6	3	10	3	14	6	17	9	9	17	19	11	19	19	19	20	22	15	27	23	24	19	24	20	0	9	25	18	46	13	13	37	23	27	25	31	32	42	39	25	18	52	46	23	0	42	25	20	56	57	58	59	60	61	62	65	1	1	1	1	2	1	1	1	2	2	2	1	3	1	4	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	4	2	2	1	4	2	1	2	2	1	2	2	1	1	3	2	2	1	2	1	1	2	3	2	1	1	2	2	1	2	2
23000	-359.155393044689845	-366.010880995649245	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.722449954217521	0	1	1	3	3	4	4	6	6	5	10	7	8	7	9	9	7	8	8	9	11	9	11	11	12	13	12	13	13	11	13	13	13	13	12	13	14	15	14	16	13	17	17	16	15	16	15	16	16	15	17	16	19	18	18	16	19	18	18	19	20	19	19	22	21	22	25	0	0	1	3	1	1	5	5	6	6	17	1	6	10	9	10	6	9	10	18	14	19	13	19	24	21	15	22	30	20	23	19	24	25	12	0	20	25	15	25	24	20	47	23	20	25	31	32	24	27	40	27	42	38	44	0	52	25	49	56	52	40	49	56	61	62	65	1	1	1	1	1	2	1	2	1	1	2	3	2	1	2	2	2	1	1	1	2	1	2	2	1	1	2	2	1	2	1	2	1	1	3	1	2	2	2	2	1	3	1	2	3	2	1	1	1	2	1	2	1	2	1	1	2	2	1	2	1	2	1	3	1	2	1
23500	-376.913574073335781	-383.769062024295181	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.564226996731093	-1	0	1	3	4	3	5	6	7	5	9	7	8	6	6	8	8	9	10	9	11	9	12	8	12	12	11	12	13	12	14	13	11	13	12	13	16	15	14	15	15	16	17	15	13	16	17	16	15	16	17	15	18	17	18	15	18	18	18	18	21	19	22	20	20	21	23	0	0	1	3	6	3	3	5	6	6	10	15	15	10	6	10	6	13	24	17	16	24	9	14	33	19	20	22	30	9	12	24	24	28	20	0	15	34	30	19	24	30	13	11	20	34	45	19	35	45	25	11	52	38	37	0	42	25	23	56	65	46	49	60	57	40	65	1	1	2	1	1	2	2	1	2	1	2	1	1	1	1	2	2	1	1	1	2	1	3	1	1	1	1	3	1	3	3	3	2	1	2	1	5	2	1	3	3	2	4	3	2	1	2	3	1	1	2	3	1	1	1	1	2	2	3	1	1	1	3	2	1	2	2
