step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67
5000	-376.273407941312257	-374.912535003432424	-1.360872937879815	0.000011948829092	0.000006885599908	0.576257293061776	0.747138375186803	0	1	4	3	5	6	6	5	6	7	6	9	9	8	8	7	7	9	8	8	10	9	9	9	10	8	9	13	12	11	13	11	13	14	13	13	14	15	15	16	16	15	16	15	18	17	19	18	18	18	18	18	17	19	20	19	23	21	20	19	25	24	22	26	25	26	27	0	1	1	2	3	3	3	4	5	6	8	6	7	7	8	8	3	10	10	10	11	15	17	19	19	8	8	32	24	27	32	23	32	29	27	27	31	31	35	37	44	28	37	37	39	40	42	53	44	46	41	40	43	39	53	50	0	53	54	52	55	51	60	61	62	65	65	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	2	1	1	2	2	1	1	1	1	1
5500	-370.010274895694636	-368.606461360356889	-1.403813535337748	0.000014204846330	0.000011676474381	0.822006385020302	0.727850037417526	1	2	4	3	7	6	8	5	6	7	7	9	9	7	7	8	8	11	8	8	9	8	9	9	11	10	9	12	12	11	12	11	14	14	14	15	13	14	16	16	16	15	16	15	18	17	19	19	18	19	18	18	18	18	21	20	24	21	21	22	24	24	23	26	25	27	28	0	1	1	1	9	3	3	4	3	6	8	6	7	3	8	8	9	10	10	10	8	15	17	19	24	16	11	32	19	27	32	23	28	29	30	11	31	31	30	37	44	28	37	37	39	40	42	53	44	46	41	43	43	39	53	50	0	53	54	52	55	51	60	61	62	65	65	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	2	2	4	1	1	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	1	1	1	1	2
6000	-353.884482329802779	-352.507868108098876	-1.376614221703876	0.000029566896152	0.000021035985773	0.711470885042265	0.749245572086761	1	2	4	3	5	6	6	5	6	7	7	9	9	9	8	7	6	10	8	8	12	8	8	9	10	9	10	12	10	12	12	10	14	13	14	16	13	15	16	16	15	16	16	17	19	18	18	20	18	18	19	18	19	20	21	20	24	21	21	21	24	23	23	26	25	26	27	0	1	2	1	3	3	3	4	5	6	4	6	3	7	11	8	5	12	10	10	27	11	17	19	19	11	8	32	19	27	32	23	32	29	27	35	31	31	35	37	37	37	37	41	39	43	43	53	43	43	41	43	43	45	53	50	0	48	54	52	55	51	60	61	62	65	65	1	1	1	1	1	1	2	1	1	1	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	3	1	1	1	1	2	1	2	2	1	2	1	2	1	1	2	2	1	2	1	1	1	1	1	1	2	2	2	1	2	1	1	2
6500	-322.540502916247817	-320.827472187404112	-1.713030728843698	0.000061066274031	0.000012186819393	0.199567102898813	0.733071456618232	0	2	4	3	6	6	5	5	7	7	7	7	8	8	7	7	9	10	7	9	11	8	10	9	10	10	9	11	11	11	13	12	13	13	13	16	15	15	17	16	16	16	17	17	19	17	19	19	18	19	18	19	18	19	21	21	24	20	20	21	25	24	22	26	24	26	27	0	1	1	1	2	3	3	4	3	6	8	6	7	7	8	8	9	10	6	10	11	15	13	19	19	27	8	5	24	27	28	28	32	29	27	27	31	31	35	37	37	32	37	37	36	40	42	43	44	46	41	43	37	39	48	50	0	53	54	52	53	51	52	61	51	65	66	1	1	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	1	2	3	1	1	1	1	1	1	2	4	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	3	3	1	1	3	1	1
7000	-330.010406164332551	-328.121977722915176	-1.888428441417366	0.000114547415171	0.000018073678854	0.157783384519575	0.754576796341112	0	2	4	3	6	6	7	7	5	7	8	8	7	9	8	6	8	11	8	7	12	9	9	8	11	9	9	11	12	11	13	13	14	14	15	16	14	15	17	15	15	15	17	17	18	17	17	19	18	18	18	18	19	19	20	20	24	20	20	21	23	24	23	25	26	27	28	0	1	2	2	9	3	3	4	3	3	16	6	3	10	10	4	9	20	6	6	11	15	17	10	24	16	11	3	18	27	28	23	31	29	30	30	31	31	35	37	37	6	37	41	39	40	42	43	41	46	41	37	43	39	53	50	0	53	54	52	55	51	60	61	62	65	65	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	2	1	1	2	1	1	1	2	2	1	3	1	1	1	2	1	1	3	2	1	1	1	1	1	4	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	4	1	1	1	1	1
7500	-367.469215851534273	-365.529170102438115	-1.940045749096147	0.000121175670586	0.000017981852253	0.148394906054808	0.658627650927509	1	2	4	3	7	7	8	5	6	7	6	9	10	9	8	8	8	9	8	9	13	8	9	9	10	9	9	12	11	11	13	12	14	13	14	16	14	14	17	15	15	16	17	17	19	16	18	19	19	18	19	18	18	18	20	19	22	21	20	20	23	24	21	26	27	26	27	0	1	2	1	9	3	8	4	3	9	4	6	26	7	11	8	9	10	10	10	27	11	17	19	24	8	11	7	7	8	32	17	31	29	26	30	31	31	35	31	37	31	37	41	39	28	42	40	44	40	44	40	31	36	53	50	0	53	54	53	53	46	43	61	51	62	62	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	2	1	3	1	1	2	3	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	4	1	2	2	1	2
8000	-379.565239531654527	-377.762893760644715	-1.802345771009799	0.000158227357328	0.000027852250385	0.176026768414355	0.785941873904702	0	2	4	3	6	5	8	5	6	7	6	8	8	9	7	7	8	10	8	9	11	7	10	7	10	10	7	12	13	11	11	11	14	13	15	15	14	13	16	15	16	16	17	17	19	16	17	20	19	18	19	19	18	19	20	20	23	20	21	20	25	23	21	25	23	26	28	0	1	2	1	3	3	4	4	3	6	1	6	11	22	8	8	9	7	24	13	8	4	17	6	7	27	8	32	24	27	23	23	28	19	21	26	28	31	35	37	33	32	37	41	35	40	33	53	47	46	44	43	41	35	53	50	0	47	54	47	55	51	46	62	51	65	62	1	1	1	2	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	3	2	1	1	1	2	1	1	3	2	1	1	2	3	2	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	2	2	2	2
8500	-428.044716901826462	-426.414151305143889	-1.630565596682581	0.000112400125069	0.000025571023440	0.227499955403128	0.506914862434063	0	2	4	4	7	5	7	6	6	6	8	9	10	9	7	7	8	11	7	8	12	9	10	8	10	9	10	12	11	12	11	13	14	13	14	14	14	14	17	15	13	16	16	15	18	15	19	19	19	18	19	17	18	19	20	20	24	20	20	22	25	22	22	25	27	27	25	0	1	2	2	2	3	3	4	3	3	8	7	7	3	8	8	9	19	3	10	4	15	24	3	19	16	11	23	24	8	5	23	13	12	7	27	28	21	36	14	31	32	37	41	39	31	53	40	31	46	40	32	31	45	31	49	0	37	54	40	49	52	42	55	67	67	62	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	4	1	1	3	2	1	1	1	2	3	1	1	2	2	3	3	1	1	1	4	1	2	1	1	1	2	1	2	4	1	1	1	3	1	4	1	1	2	1	4	2	3	5	2	1	1	2
9000	-371.664985905187734	-369.979022617185933	-1.685963288001824	0.000088326741964	0.000018367031568	0.207944175904781	0.641090854044669	0	2	4	4	7	5	6	6	5	7	8	8	8	8	7	7	8	11	8	9	12	9	9	8	10	10	10	12	12	11	13	13	13	13	13	16	14	14	17	14	16	16	15	17	19	18	18	19	18	17	18	17	18	20	21	20	23	20	20	21	24	22	23	25	25	26	26	0	1	1	2	9	3	3	4	3	6	8	6	3	7	8	8	9	27	10	10	26	15	3	10	19	8	2	5	19	26	17	9	23	19	11	30	33	31	30	31	37	33	37	41	39	43	32	53	31	40	44	37	42	39	53	46	0	48	39	52	55	51	60	55	62	65	62	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	3	1	1	2	5	2	2	1	2	3	2	3	3	2	1	1	3	1	1	2	1	1	1	1	3	1	3	1	1	2	1	2	1	2	1	1	1	2	2	2	1	1	2	1	1
9500	-368.829078333407608	-366.987312494811363	-1.841765838596246	0.000113088483197	0.000018910834199	0.167221574332949	0.626132943340213	1	2	3	3	6	6	7	6	5	8	5	9	9	7	8	7	8	10	7	8	12	8	8	8	11	9	10	13	12	11	12	12	15	13	14	16	15	13	17	14	14	14	16	16	19	17	18	19	19	18	18	17	17	19	20	21	23	20	20	21	24	25	22	25	26	27	27	0	1	1	1	9	3	3	11	3	7	4	7	14	3	16	4	5	7	6	3	16	11	6	19	19	11	22	14	24	8	23	14	42	29	30	30	40	32	35	31	32	32	37	41	39	40	32	51	47	46	41	37	32	39	53	46	0	53	54	47	53	58	60	61	62	65	65	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	1	3	3	2	1	1	2	3	1	4	2	3	2	3	1	1	1	2	1	1	1	1	1	1	1	1	1	2	3	1	1	1	2	1	2	1	3	2	1	1	1	1	3	3	1	1	1	1	1
10000	-336.526329631638703	-334.783711313178060	-1.742618318460629	0.000107870164581	0.000020617606648	0.191133542144135	0.718049920344284	0	2	4	2	6	5	7	5	5	6	4	9	10	9	7	7	8	10	8	8	12	8	10	8	10	8	9	11	11	11	13	13	15	13	14	15	14	14	17	15	15	17	16	16	18	17	19	18	18	18	18	18	19	19	20	20	23	21	20	21	24	23	22	26	26	27	28	0	1	2	1	9	3	3	11	3	6	4	7	8	7	8	8	5	7	10	10	27	8	9	10	19	7	16	23	19	27	28	28	32	29	30	21	31	32	35	31	31	31	37	41	39	40	42	43	44	46	41	43	48	35	53	50	0	44	45	52	55	42	60	61	62	65	65	1	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	1	2	1	1	2	2	2	1	2	1	1	1	2	1	1	1	2	2	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	3	1	2	1	2	1	1	1	2	1	1	1	1	2
10500	-372.467468897881076	-370.913656007105033	-1.553812890776018	0.000118582601730	0.000031079149745	0.262088614109665	0.687383473398427	0	1	4	4	6	5	8	6	5	7	8	9	9	9	6	7	8	11	7	8	11	8	8	9	10	10	9	10	11	12	13	13	14	14	14	16	14	14	17	15	16	16	16	16	18	17	18	19	17	18	18	18	18	19	20	20	23	20	21	20	22	24	23	26	25	26	27	0	1	2	2	9	3	4	6	4	6	3	6	9	6	4	4	9	12	3	10	27	15	9	19	19	16	7	7	19	27	11	9	32	29	30	27	28	31	35	37	32	17	31	31	35	37	42	53	31	46	37	44	43	45	53	50	0	48	54	52	55	48	52	61	62	65	65	1	1	2	1	1	1	3	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	3	1	2	1	3	2	1	2	1	2	4	1	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	1	2	3	2	1	1	2
11000	-372.866964067338699	-371.157932721907628	-1.709031345431091	0.000090215670913	0.000018111950191	0.200762794401654	0.699085121187723	0	1	3	4	6	5	7	6	5	6	6	8	9	8	8	8	9	9	7	8	12	9	10	9	10	9	9	12	12	10	12	13	14	14	12	15	14	14	17	16	16	17	17	17	18	17	17	17	19	18	17	19	19	20	20	20	21	20	21	21	25	24	23	26	25	27	27	0	1	2	2	3	2	3	4	3	6	4	5	14	7	8	11	9	6	10	8	26	5	5	19	19	11	15	17	25	15	17	9	31	29	16	27	31	31	35	37	37	28	37	37	35	40	32	32	41	46	41	44	48	36	48	43	0	48	54	52	55	48	60	61	62	65	65	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	3	1	1	2	1	2	1	2	1	1	1	1	1	2	4	1	2	2	3	1	1	3	1	1	2	2	2	3	1	2	2	2	1	1	1	2	2	1	2	1	2	1	1	2	2	1	1	1	1	1
11500	-361.457443417230138	-359.092352436472993	-2.365090980757123	0.000116295246015	0.000011269555207	0.096904693814698	0.626366685979396	0	2	4	3	7	5	6	6	6	7	5	8	10	8	6	7	8	10	7	8	12	9	10	8	9	10	10	11	11	11	12	13	14	13	14	15	14	14	17	15	16	15	16	17	18	16	19	18	18	19	18	18	19	19	19	20	24	19	20	20	24	23	22	25	25	26	27	0	1	2	1	9	3	3	11	3	6	4	6	9	6	11	11	5	14	6	16	13	15	3	6	24	11	8	17	24	3	28	9	32	29	27	11	31	31	21	31	37	28	31	41	35	38	43	43	44	40	41	40	48	39	48	50	0	48	39	42	55	41	52	61	62	65	65	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	3	2	1	2	2	1	2	2	1	3	1	1	2	4	1	1	2	3	1	2	2	1	2	1	2	1	1	2	2	2	1	2	1	1	1	1	2	3	2	3	2	1	1	1	1
