step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27
10500	-219.846194700811338	-218.327587338065229	-1.518607362746109	0.000288722394917	0.000081515408974	0.282331438119154	0.504764515228013	4	2	8	7	6	9	9	10	10	11	15	17	17	17	19	18	20	20	21	21	20	19	24	22	22	24	24	2	0	1	1	2	5	4	4	6	4	3	3	11	11	12	12	16	0	11	12	15	11	22	17	12	16	20	1	1	1	2	2	2	1	1	1	1	3	3	2	1	2	1	1	1	6	2	1	2	2	2	2	2	1
11000	-230.124722236815188	-228.585782233384123	-1.538940003431061	0.000299522897977	0.000080934737316	0.270212186989526	0.340582128826239	3	2	6	8	8	6	7	10	7	12	15	16	17	19	19	18	20	19	20	20	20	18	24	19	23	23	25	2	0	1	7	9	2	3	4	1	8	8	3	11	11	11	10	11	0	9	15	24	1	17	8	24	11	16	1	1	2	1	1	2	1	1	2	1	2	4	1	2	2	2	2	1	6	1	1	9	4	4	2	3	5
11500	-228.026272475512542	-226.537085940218532	-1.489186535294000	0.000189973522542	0.000057457991586	0.302452630331794	0.292459771199965	4	1	7	7	9	8	9	9	8	12	12	17	17	18	18	18	19	21	20	19	20	20	23	22	23	23	25	2	0	2	1	9	3	4	9	2	4	8	2	9	3	8	11	3	0	9	8	20	14	16	3	9	16	17	2	1	2	1	1	1	1	1	5	3	2	8	5	5	4	3	6	1	7	4	1	1	3	9	6	4	4
12000	-242.798887188618863	-241.255408573042899	-1.543478615575955	0.000274318457397	0.000073427329096	0.267671850421986	0.328825257596304	3	1	7	7	9	9	9	11	9	12	15	17	16	20	17	18	18	21	20	20	20	18	24	23	23	23	25	2	0	2	1	4	2	3	3	2	3	8	11	9	2	7	5	13	0	16	17	6	11	22	4	16	11	10	1	1	3	3	1	4	1	2	4	3	2	2	3	7	4	5	1	1	2	2	5	1	2	9	4	4	6
12500	-213.183284740594644	-211.688658290843250	-1.494626449751401	0.000183027450350	0.000054626761587	0.298462124027053	0.406964402370582	2	1	6	7	9	10	9	10	10	11	15	18	14	19	17	20	18	20	20	19	21	19	23	22	22	23	25	2	0	2	1	3	3	3	4	4	3	3	9	10	15	3	4	15	0	14	10	20	12	14	8	19	12	13	1	1	3	3	2	2	2	1	2	3	6	3	2	1	4	7	1	1	1	5	1	1	2	6	1	3	6
13000	-202.188533278390224	-200.677375746172714	-1.511157532217504	0.000239345503021	0.000068718098261	0.287108374268007	0.381405402115935	3	1	7	6	9	10	8	11	9	11	16	16	15	19	18	19	20	20	20	20	21	19	23	22	22	24	25	2	0	1	1	4	3	3	3	3	3	8	6	8	10	12	4	15	0	22	11	11	12	12	11	19	14	11	1	1	3	2	2	2	1	2	1	3	2	3	2	4	1	8	1	1	1	3	2	2	3	3	1	3	4
13500	-192.897936087492724	-191.526662201411710	-1.371273886081013	0.000146158548591	0.000069515689771	0.475618364038676	0.781939278433365	4	1	8	6	8	9	9	11	9	12	15	17	16	18	16	18	19	21	21	20	19	19	24	21	23	23	25	2	0	1	1	1	5	4	3	2	4	10	5	11	12	11	13	16	0	14	15	10	12	14	17	19	20	26	2	1	2	1	2	1	1	1	3	2	2	3	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1
14000	-208.442923950326133	-206.894330353508082	-1.548593596818046	0.000192812437527	0.000051071097050	0.264874495156496	0.496504853690669	3	1	6	7	8	8	8	10	10	11	16	16	17	19	17	17	18	21	20	20	21	19	24	23	22	22	25	2	0	1	1	1	2	4	6	5	8	6	3	10	11	8	8	4	0	12	16	11	12	25	15	14	15	17	1	1	2	2	4	5	1	1	1	1	3	3	4	2	3	3	4	1	2	2	3	1	1	3	2	3	3
14500	-198.129633976006858	-196.690190335367049	-1.439443640639821	0.000218540544603	0.000075855440808	0.347100081339105	0.328084272752802	3	1	8	8	8	6	8	10	10	12	15	17	15	19	18	19	19	21	20	20	21	18	23	22	22	23	24	2	0	2	2	6	2	6	7	6	6	7	3	8	11	13	13	15	0	22	15	16	9	19	17	19	15	26	1	1	3	3	1	3	1	1	3	3	3	6	2	2	2	2	1	1	1	1	1	4	2	1	1	2	1
15000	-217.865338561984714	-216.117449401692454	-1.747889160292261	0.000213350666287	0.000040473205749	0.189702738936174	0.496409475836750	4	3	7	7	7	8	8	10	9	10	14	16	16	18	15	18	18	21	21	21	20	19	24	19	23	23	23	2	0	1	1	2	2	3	3	6	4	4	4	11	6	10	7	11	0	16	24	11	12	22	10	19	24	14	1	1	1	2	3	2	1	2	1	2	2	5	1	6	2	6	2	1	2	1	3	1	3	4	1	2	3
15500	-206.146818028554122	-204.578918006725502	-1.567900021828621	0.000238446733464	0.000060778042234	0.254891486039150	0.427610073264378	4	3	6	5	8	9	9	11	7	11	14	17	16	19	18	20	19	20	20	19	20	20	24	23	23	23	26	2	0	1	1	9	9	3	3	2	4	10	8	11	9	13	12	10	0	17	8	10	20	22	16	19	14	21	1	1	1	1	1	1	1	2	2	3	2	3	1	6	1	2	5	1	1	5	5	1	2	1	1	3	3
16000	-219.918196886497242	-218.293943784287421	-1.624253102209819	0.000174680556423	0.000040171602968	0.229971805622743	0.420247022097252	3	2	7	6	8	10	8	11	9	10	15	16	15	20	19	18	18	19	20	20	19	19	24	21	21	22	25	2	0	4	1	3	9	4	7	4	4	10	4	8	2	16	8	8	0	12	13	11	12	22	10	14	14	26	1	1	1	2	1	1	2	2	2	2	2	5	2	8	1	2	4	1	2	2	3	1	3	5	1	1	1
16500	-205.244237531702510	-203.700705460916112	-1.543532070786388	0.000142339667839	0.000038096110629	0.267642261695843	0.507160560855606	3	1	5	6	9	8	8	10	9	11	14	16	15	19	17	19	20	21	21	20	21	20	23	22	22	24	25	2	0	1	3	6	2	4	6	6	4	4	6	10	6	8	11	11	0	22	15	20	12	19	20	12	13	13	1	1	1	1	1	3	1	1	1	2	2	5	2	4	4	2	4	1	1	2	1	3	1	1	3	4	4
17000	-197.056636699866885	-195.612352532026591	-1.444284167840282	0.000156112005822	0.000053378065648	0.341921592555331	0.410447705789261	4	2	7	7	6	8	8	11	9	9	16	17	17	19	18	19	19	21	21	20	20	19	23	23	23	23	25	2	0	1	1	2	2	1	10	2	3	3	4	10	15	8	4	13	0	16	12	15	12	22	10	19	20	13	1	1	2	2	2	3	2	1	3	1	4	4	3	1	4	7	2	1	1	2	1	1	2	6	1	1	4
