step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64
5000	-383.180250192890298	-381.817262372997959	-1.362987819892328	0.000013936200745	0.000008619844655	0.618521849157888	0.626009993338683	4	5	7	15	19	20	22	22	24	24	22	25	23	24	26	26	26	25	27	26	29	28	28	28	27	30	27	32	29	31	31	31	31	30	32	30	30	32	30	32	34	33	32	32	32	33	32	32	34	36	33	31	35	33	34	36	34	38	34	35	36	35	38	36	0	1	2	0	4	5	6	6	8	8	6	7	8	6	18	14	9	8	14	11	15	10	17	10	9	15	20	39	9	25	21	24	26	22	18	29	19	26	18	29	29	29	37	0	27	34	36	36	37	59	52	24	46	30	38	60	48	37	42	52	62	48	64	62	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	2	1	2	1	2	1	1	3	2	1	1	1	1	3	1	2	1	2	1	3	2	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	4	1	2	1	2	1	1
5500	-375.253158460432132	-373.882885030503701	-1.370273429928437	0.000019744812133	0.000009474679273	0.479856643322428	0.623562287997048	3	5	7	16	18	19	20	23	24	25	21	25	24	23	26	26	25	25	26	28	29	28	28	27	28	30	30	32	30	31	31	29	32	30	30	31	32	31	29	33	32	32	32	33	32	33	32	33	34	36	34	32	35	33	32	36	35	38	34	34	38	37	39	39	0	1	2	0	4	5	6	6	6	8	6	7	14	6	9	9	9	13	9	9	15	16	8	19	19	15	20	35	8	25	26	24	26	22	13	29	25	26	10	35	29	29	25	0	27	34	29	36	37	59	52	35	46	30	26	60	36	49	42	24	62	48	62	62	1	1	2	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	2	2	1	3	1	2	2	1	1	3	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2	2	1	1	2	1	1	2	3	1	3	1	3	1	1
6000	-364.158883911399812	-362.692967202931584	-1.465916708468247	0.000040319475866	0.000012952410090	0.321244505594962	0.716989928143110	4	5	7	16	19	20	20	22	24	25	23	25	24	24	25	26	26	25	26	26	29	28	28	28	27	31	28	32	30	30	28	30	31	30	31	31	31	31	29	32	33	33	33	32	32	33	32	33	34	36	33	33	35	33	34	36	33	37	34	35	37	36	38	38	0	1	2	0	4	4	5	6	8	9	6	13	8	6	6	9	13	14	14	10	10	19	17	14	19	39	20	32	39	39	15	10	21	22	24	29	25	21	14	32	29	39	37	0	27	34	24	36	43	42	35	18	34	37	38	40	36	21	42	51	62	39	62	62	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	3	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	2	1	3	1	2	3	1	1	2	2	2	2	1	2	1	3	2	1	2	2	1	5	1	1	1	3	1	1
6500	-342.495291179670687	-340.292550404336737	-2.202740775333946	0.000092883817926	0.000010452326432	0.112531188595021	0.690216559895176	3	4	7	17	18	20	21	21	23	25	22	24	24	25	25	25	25	23	26	27	29	28	28	29	28	32	30	33	30	31	29	30	31	30	32	32	31	30	30	33	34	33	32	32	33	32	32	31	32	36	34	31	35	33	32	36	35	38	35	35	37	34	39	37	0	1	2	0	4	5	6	6	6	9	6	7	6	9	18	9	9	8	13	13	15	13	17	12	19	21	20	37	15	19	15	21	21	22	39	39	39	13	14	35	29	29	37	0	27	34	48	32	39	59	35	24	34	30	38	51	36	49	42	52	60	48	62	62	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	1	1	2	1	2	1	1	3	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	2	1	2	1	2	2	2
7000	-402.535723659200244	-400.268513558288532	-2.267210100911694	0.000132607340044	0.000014039988405	0.105876404731381	0.609973176805227	4	5	7	16	19	21	22	23	22	25	23	24	24	25	25	26	26	24	26	27	29	29	28	28	28	30	29	31	28	32	30	29	31	30	29	31	31	32	30	32	31	33	32	32	33	33	31	32	33	35	33	30	34	33	32	35	34	37	35	36	37	36	38	38	0	1	2	0	4	5	6	4	6	5	9	7	9	9	8	13	7	6	14	11	24	17	17	14	19	8	20	24	15	52	8	13	35	8	14	52	35	10	14	34	24	9	31	0	27	39	10	35	37	36	26	15	46	30	26	51	36	10	29	51	31	36	61	62	1	1	2	1	2	1	1	3	1	4	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	3	1	2	1	2	3	2	1	4	2	1	1	4	3	2	1	4	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	4	3	2	4	2	1	1
7500	-366.099327218658857	-363.741164785776220	-2.358162432882644	0.000112662330556	0.000010984546318	0.097499725631007	0.586820855434991	4	6	8	16	20	21	21	23	23	23	23	24	25	24	25	25	25	24	26	27	29	28	27	29	28	32	29	32	29	31	30	31	29	30	31	32	31	32	30	31	33	33	33	32	32	34	32	32	33	35	33	32	34	33	34	36	35	36	33	36	35	37	38	38	0	1	2	0	4	5	5	6	6	4	5	7	9	6	10	9	6	7	14	10	15	16	17	14	19	21	20	13	13	39	8	24	15	22	31	35	25	15	20	24	29	52	25	0	20	34	32	31	52	59	35	31	31	24	38	28	59	30	24	51	36	61	61	62	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	2	2	1	3	2	2	1	3	1	1	1	3	2	1	4	1	2	1	1	1	1	3	1	1	2	1	2	1	2	2	1	1	1	1	1	2	1	2	1	2	1	3	2	1	2	1	2	1
8000	-349.881213535929476	-348.147220025335741	-1.733993510593760	0.000091918843402	0.000017788128733	0.193519936442612	0.752404454669050	4	5	8	16	19	21	22	23	24	24	23	24	22	24	25	26	26	25	26	27	29	27	28	29	27	31	29	33	29	31	31	31	31	30	32	32	32	32	30	32	33	34	32	32	30	34	33	32	32	35	34	32	34	34	34	36	34	37	34	35	36	37	39	38	0	1	2	0	4	5	5	6	8	13	6	7	5	6	10	8	18	9	14	11	15	16	17	9	19	39	20	40	18	19	21	24	24	22	29	10	39	26	18	32	37	36	25	0	20	22	24	29	24	59	52	39	22	43	26	51	48	49	29	52	36	61	62	61	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	2	1	1	1	2	1	1	1	4	1	1	1	1	2	2	1	1	1	2	1	3	1	1	2	1	1	1	2	1	1	4	1	2	1	1	2	1	3	1	2	1	1	2	2	2	2	1	1	1
8500	-392.584292396966021	-390.549853161789940	-2.034439235176102	0.000151385786388	0.000020215748749	0.133537957767779	0.552619393734607	3	5	6	15	18	20	22	22	23	25	23	24	24	24	26	26	26	25	26	26	29	28	28	27	27	32	29	33	29	30	30	30	32	30	32	31	31	32	31	32	34	32	31	32	31	33	32	33	33	35	34	32	34	33	35	36	34	37	35	35	34	35	38	38	0	1	2	0	4	5	6	5	8	8	5	6	9	9	18	9	13	14	18	12	15	16	14	14	14	24	20	12	13	18	21	23	9	22	14	24	18	21	21	39	33	29	19	0	27	34	30	29	39	28	29	25	34	43	38	51	36	14	33	39	36	61	61	62	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	3	1	4	2	2	1	1	4	2	2	2	4	1	1	1	1	1	3	1	2	2	1	2	1	1	2	3	2	2	2	1	1	5	2	2	1	1	2	2
9000	-388.190531437774553	-385.759993238797108	-2.430538198977416	0.000134086964859	0.000012276015058	0.091552635793707	0.591268280005671	4	5	7	16	20	21	21	22	24	24	22	24	24	24	24	25	27	25	26	27	30	28	26	29	26	31	28	33	28	31	30	30	31	31	30	31	31	31	29	33	33	32	30	32	30	33	33	32	33	34	34	31	34	33	33	35	34	37	35	34	35	37	38	38	0	1	2	0	4	4	4	7	8	8	6	6	7	8	7	5	9	8	10	18	24	16	8	18	12	24	7	36	6	24	11	18	31	22	8	27	25	7	25	43	29	36	25	0	20	34	36	29	43	28	52	35	34	30	31	28	42	49	50	52	48	48	61	61	1	1	1	1	2	2	3	1	1	1	1	2	1	1	2	2	2	2	1	1	1	2	2	2	1	1	2	1	4	1	4	4	1	2	4	2	2	5	1	2	3	1	2	1	1	1	1	2	1	1	2	1	2	1	2	1	1	2	1	1	2	3	1	2
9500	-388.023218544226154	-385.747103996556973	-2.276114547669183	0.000154538026644	0.000016227552231	0.105006855484248	0.638879213957503	4	5	7	16	19	20	21	22	23	24	23	24	23	24	25	25	26	24	26	27	29	27	28	29	27	31	29	34	29	32	29	30	32	31	32	31	30	31	31	31	33	32	33	33	32	33	33	33	33	35	32	31	35	34	35	35	35	37	34	36	36	38	38	39	0	1	2	0	4	5	6	6	6	8	8	7	6	8	8	10	13	4	10	14	15	16	6	14	13	15	25	26	25	39	25	10	26	24	9	37	19	21	27	29	37	29	24	0	27	32	35	12	19	59	32	9	22	37	48	48	29	49	48	51	41	61	35	61	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	4	1	1	2	1	4	2	3	2	1	2	1	1	1	2	1	1	4	1	2	1	1	1	1	2	2	1	2	2	1	4	3	1	2	3	5	2	2	1	2	2	1	2	1	2	3	2
10000	-387.026837064815368	-384.588244583068786	-2.438592481746566	0.000180705987437	0.000016430836341	0.090925799270314	0.698876311092800	4	6	8	16	20	20	21	23	22	24	23	24	23	24	26	25	26	22	27	27	30	28	28	28	28	31	28	32	29	31	28	30	31	30	32	31	31	30	31	32	33	33	32	31	32	34	32	32	34	35	34	31	34	32	34	35	34	35	35	35	36	37	38	39	0	1	2	0	4	4	6	18	7	18	7	13	9	18	9	13	8	5	10	11	15	15	10	15	19	29	10	32	14	19	13	24	31	27	23	29	21	15	31	38	48	48	19	0	20	34	29	19	35	29	40	8	22	21	33	35	29	30	36	52	50	30	62	61	1	1	1	1	3	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	1	1	2	1	2	2	2	1	2	1	2	1	1	2	2	1	1	1	2	1	2	2	1	2	1	3	1	2	3	1	2	2	2	2	1	2	1	3	1	1
10500	-393.088645742555968	-391.146141158904925	-1.942504583651025	0.000128344759206	0.000018991455631	0.147972194180619	0.580846641283859	4	6	5	17	19	20	21	23	22	23	23	22	24	24	25	25	27	26	26	27	30	27	28	28	28	32	29	34	29	31	31	30	31	29	32	31	32	32	30	32	34	33	30	31	32	32	32	33	33	35	32	32	34	33	34	35	35	35	33	35	36	38	38	37	0	3	1	0	4	4	5	9	6	6	7	7	9	8	6	5	9	8	10	16	10	16	14	15	8	34	20	15	16	24	21	25	21	6	32	34	19	21	14	34	29	21	18	0	20	39	29	36	43	39	24	39	46	21	39	52	42	40	36	52	39	21	64	61	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	3	2	2	1	1	4	1	2	1	3	1	2	4	2	1	1	1	1	4	1	1	2	1	3	2	2	1	2	1	2	1	1	1	1	3	3	1	2	2	1	2	1	1	1	1	3	3	1	1
11000	-405.349189297148257	-403.443154681041449	-1.906034616106835	0.000101483775728	0.000015675800628	0.154466076136164	0.591783118938836	3	6	5	16	19	20	21	22	23	24	23	25	25	24	26	26	26	24	26	27	29	28	28	28	26	32	29	33	29	32	30	29	31	30	30	31	31	31	32	31	34	33	32	32	32	33	29	32	33	34	33	32	35	34	34	35	33	38	35	36	38	37	39	38	0	3	1	0	4	4	5	5	5	8	5	18	18	4	11	7	10	9	14	10	15	16	17	11	9	36	20	7	11	36	21	10	32	11	17	6	19	24	7	10	57	39	32	0	27	40	14	29	37	42	52	13	11	39	38	52	29	28	50	48	57	28	64	36	1	1	1	1	1	2	2	2	2	2	3	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	2	8	2	1	1	2	1	3	1	5	1	2	4	3	1	1	1	1	2	1	4	2	1	1	1	2	4	1	1	2	3	2	1	2	3	2	1	3
11500	-388.490987436198338	-386.277637406478959	-2.213350029719391	0.000103674117426	0.000011548316944	0.111390549837359	0.472523893166291	5	6	7	16	17	20	21	23	24	25	23	23	24	24	26	25	26	26	27	26	28	29	28	28	26	31	28	33	29	31	30	29	31	30	30	32	31	31	28	33	33	33	32	33	33	34	33	33	33	35	34	32	34	33	34	35	34	37	34	36	37	36	38	38	0	1	2	0	4	5	6	6	6	8	7	7	6	8	13	8	13	10	25	13	8	16	13	14	14	21	20	39	18	19	15	15	21	22	18	31	13	24	18	18	36	29	21	0	27	34	36	24	43	24	36	14	34	35	26	35	29	52	29	57	62	52	57	62	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	3	2	2	2	1	2	1	3	1	2	3	2	2	1	2	2	4	2	1	3	1	2	2	1	3	2	1	2	1	3	1	4	1	1	2	3	2	2	3	2	1	3	2	1
12000	-397.658101735957132	-395.663204852557158	-1.994896883399987	0.000132320322254	0.000018450378980	0.139437228278967	0.576304212268755	4	5	7	17	19	20	22	21	22	24	22	25	24	22	25	24	26	25	25	26	29	27	27	28	28	32	30	32	29	30	30	30	32	31	32	31	31	32	29	31	33	33	30	32	32	34	32	31	33	34	34	31	35	33	34	37	35	36	33	36	37	37	39	39	0	1	2	0	4	5	4	6	5	14	6	13	6	8	10	7	13	10	7	13	7	18	17	14	16	48	20	32	24	25	21	24	15	22	25	25	30	40	14	14	29	18	13	0	27	40	43	19	25	52	41	12	40	39	33	51	40	35	39	32	42	7	61	21	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	3	1	1	2	2	1	2	1	1	1	1	1	4	3	2	2	1	1	3	5	2	3	3	1	1	2	1	3	2	1	1	4	2	2	1	2	2	2	2	3	2	7	1	6
