step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20
5000	-134.265982047880755	-141.121469998840126	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.688819227764182	5	7	8	10	11	15	15	11	16	13	17	14	13	13	17	15	16	19	20	21	0	1	2	0	2	10	5	3	8	5	6	8	8	5	14	13	14	9	9	18	1	1	1	1	2	1	2	2	1	1	1	2	2	2	2	1	2	2	2	1
5500	-136.579173364511092	-143.434661315470464	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.504992744466230	5	7	8	10	11	14	14	12	15	13	17	16	13	14	16	16	16	19	20	22	0	1	2	0	2	10	5	3	3	2	7	13	3	1	14	13	14	13	9	9	1	1	1	1	2	1	2	2	4	3	2	2	2	4	1	2	2	2	3	3
6000	-133.038309992576643	-139.893797943536015	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670237759251143	5	7	8	10	11	14	15	12	15	13	18	15	14	14	17	16	16	18	21	20	0	1	2	0	2	2	10	3	10	2	7	3	8	1	14	13	14	9	18	18	1	1	1	1	2	2	1	2	1	3	2	3	1	4	2	1	1	1	2	1
6500	-143.912711656370362	-150.768199607329734	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672528515320220	4	7	9	10	11	13	15	12	15	12	17	16	13	14	16	16	16	19	21	20	0	1	2	0	2	5	10	3	3	2	7	3	8	5	5	13	14	8	18	9	1	2	1	1	3	1	2	2	3	4	1	3	1	1	1	1	2	4	2	2
7000	-141.130180108306519	-147.985668059265890	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616919682288371	5	7	9	7	8	14	15	13	16	11	17	15	13	13	16	14	16	19	21	21	0	1	5	0	2	10	10	3	3	5	7	8	3	1	14	13	14	9	18	18	1	1	1	1	1	2	2	2	3	2	1	1	2	4	3	1	1	1	1	1
7500	-127.986160434033280	-134.841648384992652	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.495349780023410	5	8	9	10	10	14	13	12	14	14	15	15	13	14	16	16	16	18	19	20	0	1	2	0	2	7	5	3	8	2	7	13	8	1	14	13	14	9	18	18	1	2	1	1	1	1	1	2	1	2	1	1	1	4	2	2	1	3	1	1
8000	-145.338977512554180	-152.194465463513552	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.523144657925133	5	7	9	9	11	14	14	11	15	13	18	12	12	13	15	16	17	18	20	22	0	1	2	0	2	2	10	3	3	5	6	5	3	1	14	13	14	9	9	18	1	1	1	1	2	3	1	1	2	1	2	1	2	3	2	2	2	2	2	3
8500	-125.261302665887968	-132.116790616847339	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.664354374557307	4	8	9	10	11	15	15	12	15	13	17	16	13	14	17	15	16	19	19	21	0	1	2	0	2	10	10	3	13	2	7	13	3	1	14	13	14	12	9	9	1	2	1	1	1	1	1	2	1	2	1	2	2	5	2	1	1	2	2	3
9000	-131.682239257730686	-138.537727208690058	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602612947788228	4	6	8	10	11	15	14	12	15	13	17	15	13	14	17	15	16	19	18	21	0	1	2	0	2	10	10	3	8	2	7	13	3	5	14	13	14	8	9	18	1	1	1	1	3	1	1	2	2	2	2	1	3	1	2	1	1	3	1	1
9500	-133.726843368435311	-140.582331319394683	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.703235725426120	4	8	9	9	11	15	15	12	15	12	16	15	13	14	17	15	16	18	20	21	0	1	2	0	2	5	10	3	8	5	7	3	8	5	14	13	14	9	18	18	1	2	1	1	2	2	1	2	2	1	1	3	1	1	1	1	2	2	1	2
10000	-131.181278613457181	-138.036766564416553	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.580083610721978	3	7	9	10	11	12	14	11	15	12	18	15	13	14	16	16	16	19	20	21	0	1	2	0	2	2	10	3	3	5	6	13	3	1	14	13	14	9	9	18	1	2	1	1	2	2	1	2	2	1	3	2	2	4	1	1	1	2	2	1
10500	-141.363803930477332	-148.219291881436703	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.383716564855436	3	8	9	10	10	14	15	12	16	12	16	15	12	13	17	15	16	19	18	21	0	1	2	0	2	10	10	3	8	5	10	13	3	2	14	13	14	9	9	9	1	2	1	1	1	1	2	2	3	1	2	2	2	2	2	1	2	1	1	3
11000	-137.009371388609395	-143.864859339568767	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.728909992086930	5	7	9	10	10	14	13	12	14	11	17	15	13	13	16	15	15	18	21	21	0	1	2	0	2	2	2	3	8	2	7	13	3	1	14	13	14	9	18	18	1	1	1	1	2	2	3	1	1	2	2	1	3	3	2	1	1	2	1	2
11500	-147.365921761521207	-154.221409712480579	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.460126762182257	4	8	9	10	12	13	13	12	16	14	17	12	11	14	17	14	16	19	20	21	0	1	2	0	2	2	5	3	8	5	7	3	3	1	14	13	14	9	9	8	1	1	1	1	2	3	1	1	1	1	2	2	1	5	2	2	1	1	2	3
12000	-143.238124242596768	-150.093612193556140	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.669111699442649	5	9	7	10	11	15	13	11	15	12	17	16	13	13	16	15	16	18	20	22	0	1	1	0	2	10	10	3	3	2	7	13	8	1	1	13	14	9	18	18	1	2	1	1	1	2	1	2	3	1	2	2	1	3	4	1	2	2	2	2
12500	-120.541300886801793	-127.396788837761164	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.712285303169032	5	7	8	9	11	14	15	12	16	13	17	15	13	14	16	16	16	19	20	22	0	1	2	0	2	10	6	3	12	5	7	8	8	1	14	13	14	9	18	9	1	1	1	1	2	1	1	2	1	1	1	2	1	5	1	1	1	1	1	3
13000	-133.963687476481567	-140.819175427440939	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.530582832874282	5	8	9	11	11	14	15	13	15	13	16	15	13	14	14	14	16	19	20	20	0	1	2	0	2	10	10	3	8	5	7	13	3	1	1	13	14	9	18	18	1	1	1	1	2	1	1	2	1	2	1	1	2	4	5	1	1	2	1	1
13500	-133.654943815862111	-140.510431766821483	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.632860106579248	4	7	9	10	10	14	14	12	16	12	18	13	14	12	17	15	16	19	20	20	0	1	2	0	2	10	10	3	3	2	7	3	12	1	14	13	14	12	18	9	1	1	1	1	1	1	1	2	2	2	2	2	1	4	3	1	2	2	1	2
14000	-156.346116031053384	-163.201603982012756	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590397936324056	4	8	9	10	12	15	14	12	15	13	17	15	14	14	17	16	16	19	20	22	0	1	2	0	2	2	5	3	8	5	6	3	8	5	5	13	14	9	9	18	1	2	1	1	1	4	1	1	1	1	1	2	2	1	2	1	1	3	2	2
14500	-158.234141281107526	-165.089629232066898	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.671671570367894	3	6	8	10	11	15	15	11	16	12	16	16	13	13	13	15	16	19	20	22	0	1	2	0	2	5	5	3	8	2	5	3	8	5	5	13	14	12	9	18	1	1	1	1	2	2	2	2	1	2	2	4	1	1	1	1	2	2	2	3
15000	-143.425172841668143	-150.280660792627515	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.543102219402573	5	8	9	11	11	15	14	12	16	12	17	13	14	14	17	16	17	20	20	21	0	1	2	0	2	10	10	3	3	2	7	3	8	1	5	13	14	9	9	9	1	2	1	1	2	1	1	2	3	2	2	3	1	4	3	1	1	2	2	4
15500	-129.878823312578362	-136.734311263537734	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.574587163614558	5	7	9	9	9	14	14	12	14	13	17	16	13	14	17	16	16	19	21	21	0	1	2	0	2	2	10	3	8	2	10	13	8	1	14	13	14	9	18	18	1	1	1	1	1	3	1	2	1	3	2	1	1	3	1	2	2	2	1	1
16000	-139.567415326271885	-146.422903277231256	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.630519792129805	4	6	8	8	10	14	15	13	12	13	17	14	14	13	17	16	16	18	19	21	0	1	2	0	2	10	10	9	3	5	7	9	9	5	5	13	14	8	18	18	1	1	1	1	3	1	1	1	3	1	1	1	1	2	3	1	2	2	1	2
16500	-141.483589726672335	-148.339077677631707	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602315975633009	4	7	8	10	11	12	13	13	15	12	18	15	12	12	15	15	17	19	18	21	0	1	2	0	2	2	5	3	8	2	7	13	3	1	14	13	14	9	9	18	1	1	1	1	2	3	1	3	1	1	2	1	2	3	1	2	2	2	2	1
17000	-127.665662851932979	-134.521150802892350	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.785480776687807	4	8	9	8	11	14	14	13	15	12	16	15	13	14	15	15	16	18	20	22	0	1	2	0	2	10	2	3	8	5	7	13	3	2	14	13	14	9	18	18	1	2	1	1	1	1	3	3	1	1	1	1	2	2	1	1	1	2	1	2
17500	-137.092986358769366	-143.948474309728738	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548728452052244	5	7	9	10	11	14	14	12	16	12	17	15	13	15	17	15	17	19	20	18	0	1	2	0	2	10	10	3	3	2	7	13	3	10	14	13	14	8	9	9	1	1	1	1	2	1	1	1	3	2	2	1	2	2	2	1	1	3	2	1
18000	-130.713217054798434	-137.568705005757806	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.775354008954335	4	8	9	11	10	13	14	12	16	13	17	14	14	13	15	16	16	19	20	21	0	1	2	0	2	2	10	3	8	5	7	3	8	1	14	13	14	3	18	18	1	2	1	1	1	2	1	2	2	1	2	2	1	5	1	1	2	3	1	1
18500	-138.733686733676421	-145.589174684635793	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.472257589534917	5	8	9	10	12	14	14	13	16	13	16	14	13	13	15	15	16	19	20	21	0	1	2	0	2	5	5	3	3	2	10	3	3	1	14	12	14	9	9	9	1	2	1	1	2	2	1	2	2	4	2	2	2	3	1	1	1	2	3	3
19000	-135.836593672315104	-142.692081623274476	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500135970910042	5	8	9	10	11	13	15	12	15	13	16	15	13	13	17	15	17	18	20	22	0	1	2	0	2	5	10	3	3	2	7	13	8	1	14	13	14	8	9	18	1	2	1	1	2	2	1	1	3	2	1	1	1	3	2	2	3	3	2	2
19500	-149.377812315917026	-156.233300266876398	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.763673567198522	5	9	8	10	11	14	15	11	14	13	15	14	14	13	15	15	16	18	21	22	0	3	1	0	2	10	10	3	3	2	10	8	3	5	14	13	14	8	18	18	1	1	2	1	2	1	2	2	4	2	1	1	3	1	1	1	1	4	2	2
20000	-139.331884732322919	-146.187372683282291	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557358273565002	5	10	7	11	12	14	14	12	16	11	17	15	13	12	15	16	15	19	20	21	0	3	1	0	2	10	10	3	8	2	7	13	3	1	14	8	14	8	18	18	1	1	1	1	1	2	1	2	2	1	1	1	3	5	2	2	1	4	1	1
20500	-120.749906902656704	-127.605394853616076	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646905523729490	4	7	8	9	11	14	14	12	14	13	17	15	13	14	16	14	16	19	21	22	0	1	2	0	2	10	10	3	8	5	7	13	3	1	14	13	14	9	18	18	1	1	1	1	2	1	1	2	1	1	2	1	2	4	2	1	1	2	1	2
21000	-130.629810485329500	-137.485298436288872	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.628520487351547	4	7	8	10	11	13	13	13	15	14	17	15	13	14	16	16	17	19	19	22	0	1	2	0	2	5	5	3	3	6	10	13	3	1	14	13	14	9	9	18	1	1	1	1	2	1	1	2	2	1	1	1	3	5	1	2	1	2	2	2
21500	-141.118470724826608	-147.973958675785980	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646036320638668	5	7	8	10	11	12	12	13	16	14	18	15	13	12	15	16	16	18	20	21	0	1	2	0	2	2	2	3	3	7	7	8	3	1	14	13	14	8	9	18	1	1	1	1	2	3	2	2	3	1	3	1	2	3	1	2	2	2	2	2
22000	-143.780305024072220	-150.635792975031592	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.381911426718300	4	8	9	10	10	14	15	12	16	12	17	14	12	13	16	15	17	20	21	22	0	1	2	0	2	5	10	3	12	2	7	13	3	1	14	13	14	8	9	18	1	2	1	1	1	2	3	2	1	2	2	2	2	5	2	1	2	3	2	2
22500	-131.681100816022365	-138.536588766981737	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.514009706830232	5	9	8	11	10	12	14	11	14	14	17	16	13	13	16	15	16	19	20	21	0	1	1	0	2	2	6	3	8	6	7	3	8	1	14	13	14	12	9	18	1	2	1	1	1	2	1	2	1	1	1	4	1	4	2	1	2	2	3	1
23000	-125.272517064604273	-132.128005015563645	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.696728279644819	4	8	9	9	12	14	14	13	15	13	18	15	12	15	16	15	17	19	21	20	0	1	2	0	2	10	10	3	8	2	7	3	3	1	14	13	14	9	18	18	1	2	1	1	2	1	1	1	1	2	2	2	2	4	1	1	1	2	1	1
23500	-146.653573574033317	-153.509061524992688	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.539617486963779	5	8	9	10	11	12	13	12	15	14	17	15	12	12	16	13	16	17	19	21	0	1	2	0	2	2	5	3	8	6	10	8	3	5	14	13	14	8	18	9	1	2	1	1	2	2	1	2	2	1	2	2	2	1	2	1	2	4	1	3
24000	-135.679077612618499	-142.534565563577871	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.560936288784614	4	8	9	9	11	13	14	12	16	13	17	15	13	13	17	16	15	20	21	21	0	1	2	0	2	5	5	3	8	2	7	8	3	1	14	13	14	9	9	18	1	1	1	1	1	1	1	2	2	2	2	2	2	5	2	1	1	3	3	1
24500	-125.084818478491655	-131.940306429451027	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.680257084380332	5	8	9	10	11	14	11	12	16	13	17	14	14	15	16	16	17	19	21	21	0	1	2	0	2	10	2	3	12	5	7	3	8	1	14	12	14	9	18	18	1	2	1	1	2	1	1	2	1	1	3	2	1	5	1	1	1	2	1	2
25000	-124.195880683201665	-131.051368634161037	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.524019684612205	5	8	9	9	11	13	14	12	14	13	17	15	13	14	16	16	17	19	21	21	0	1	2	0	2	2	2	3	3	2	7	13	3	1	14	13	14	9	18	18	1	2	1	1	1	2	3	1	2	2	2	1	2	4	1	2	2	3	1	1
25500	-127.889311990146211	-134.744799941105583	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.586109445007044	5	8	9	7	10	14	15	12	15	14	17	15	13	14	15	15	16	18	20	21	0	1	2	0	2	5	6	3	8	2	7	13	8	1	14	13	14	9	18	9	1	2	1	1	1	2	1	1	2	2	1	1	1	5	1	1	1	2	1	3
26000	-134.550083872393088	-141.405571823352460	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.688355504432774	4	8	9	10	11	15	11	13	16	13	16	16	13	14	16	14	16	20	19	22	0	1	2	0	2	10	2	3	8	7	6	13	3	2	14	13	14	9	9	18	1	2	1	1	1	1	2	2	2	1	1	1	1	2	2	1	1	2	1	1
26500	-141.056952658295188	-147.912440609254560	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.651107375231511	5	7	8	11	12	14	15	12	15	14	18	15	13	13	16	15	16	18	17	22	0	1	2	0	2	5	5	3	8	5	7	13	5	5	8	13	14	9	9	18	1	1	1	1	2	1	1	3	1	1	1	1	1	1	2	1	2	2	1	2
27000	-135.051498134338004	-141.906986085297376	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.689899321355897	5	7	9	10	12	14	14	13	16	10	16	15	13	13	17	16	16	18	20	21	0	1	2	0	10	10	2	3	8	2	7	13	3	1	14	13	14	9	9	18	1	1	1	1	1	2	3	2	1	2	1	1	2	4	2	2	1	1	3	1
27500	-125.849756831506909	-132.705244782466281	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.632104477140047	5	8	9	11	11	13	14	13	16	13	17	14	14	13	15	15	16	19	20	21	0	1	2	0	2	2	10	3	3	5	7	8	8	1	14	13	14	8	18	18	1	2	1	1	1	2	1	2	3	1	2	1	1	5	1	1	1	3	1	1
28000	-132.589514383132553	-139.445002334091924	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500528330006922	5	9	8	11	10	14	14	12	15	12	18	16	13	15	16	16	16	19	20	22	0	3	1	0	2	10	2	3	3	2	10	13	3	1	14	13	14	12	9	18	1	1	2	1	1	1	2	2	4	2	2	2	2	6	1	2	1	1	2	2
28500	-138.578228917028554	-145.433716867987926	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.535703331489012	5	7	9	10	11	13	15	11	16	13	17	12	13	14	16	15	16	19	19	21	0	1	2	0	2	2	10	3	12	5	7	3	3	1	14	13	14	9	9	18	1	1	1	1	2	2	2	1	1	2	1	2	2	5	2	2	1	2	1	1
29000	-135.311869406827640	-142.167357357787012	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542917675818984	5	8	9	9	12	13	14	12	15	10	18	15	13	13	16	15	16	19	21	22	0	1	2	0	10	10	6	3	8	2	7	13	3	1	14	13	14	9	18	18	1	1	1	1	1	2	1	2	2	1	2	1	3	2	2	1	2	2	1	1
29500	-173.178957655187304	-180.034445606146676	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.510799196212721	5	8	9	10	10	14	15	13	16	13	17	13	14	14	13	15	17	20	20	21	0	1	2	0	2	2	6	3	8	2	7	3	12	2	2	12	14	12	9	9	1	1	1	1	1	4	1	2	2	3	2	3	1	4	2	1	2	4	3	2
30000	-145.424197719151380	-152.279685670110752	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.744755221522173	5	8	9	10	11	14	14	12	15	12	15	14	13	14	17	15	16	18	20	20	0	1	2	0	2	10	10	3	8	2	7	13	8	10	14	13	14	9	18	18	1	1	1	1	2	1	1	2	3	1	1	1	1	1	1	1	1	2	1	1
30500	-137.240491300609648	-144.095979251569020	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.424941088107543	4	7	9	11	11	14	15	12	14	13	17	15	13	12	15	16	16	19	21	21	0	1	2	0	2	10	10	3	3	2	7	13	3	1	14	12	14	3	18	9	1	1	2	1	1	1	1	1	2	3	1	2	2	3	1	1	2	5	1	4
31000	-128.471450052996261	-135.326938003955632	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.721442991114697	5	7	9	11	12	14	14	12	14	13	17	12	14	14	16	16	15	19	20	19	0	1	2	0	2	5	10	3	3	5	7	3	12	1	14	13	14	9	18	9	1	1	1	1	2	1	1	1	3	1	2	1	1	4	1	1	1	2	1	2
31500	-130.815018400111882	-137.670506351071253	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672684588275529	5	8	9	10	10	14	14	11	13	12	18	16	13	14	17	15	17	18	20	20	0	1	2	0	2	10	10	3	8	5	7	13	3	1	14	13	14	9	18	18	1	1	1	1	2	1	1	1	1	1	2	2	1	3	1	1	2	2	2	1
32000	-132.612154345808648	-139.467642296768020	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.753936347937953	5	8	9	11	10	14	15	13	16	13	18	15	13	13	16	15	16	19	20	20	0	1	2	0	2	5	5	3	8	2	7	13	3	1	14	13	14	9	9	9	1	1	1	1	1	2	2	2	2	3	2	1	2	4	2	1	1	1	2	2
32500	-138.844211995616291	-145.699699946575663	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.526439870043396	5	7	9	10	12	15	14	13	16	13	18	14	13	14	17	15	16	19	20	21	0	1	2	0	2	5	5	3	3	5	5	3	3	5	5	13	14	8	18	18	1	1	2	1	2	2	1	2	4	1	3	2	2	1	2	1	1	2	1	1
33000	-129.721616280634208	-136.577104231593580	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613934513679358	5	8	9	10	11	12	13	13	15	13	17	14	13	14	17	15	16	18	21	21	0	1	2	0	2	2	6	3	3	2	7	13	3	1	14	13	14	9	18	18	1	2	1	1	1	2	1	2	2	2	2	1	1	3	1	1	1	2	2	2
33500	-136.063124481550688	-142.918612432510059	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.429818209386886	4	7	8	11	11	13	15	12	14	12	17	15	14	15	16	16	17	19	21	21	0	1	2	0	2	2	10	3	8	2	6	3	8	1	14	13	14	9	18	18	1	1	1	1	2	3	2	2	2	1	1	3	1	5	1	1	1	3	1	1
34000	-126.423873121018943	-133.279361071978315	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.559431763319131	4	7	9	10	12	15	15	11	15	13	17	15	13	15	16	15	16	18	20	21	0	1	2	0	2	10	10	3	3	5	7	13	3	5	14	13	14	8	18	18	1	1	1	1	2	2	1	1	3	1	1	1	2	2	1	1	1	3	1	2
34500	-123.550518913737761	-130.406006864697133	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.757861912658276	5	8	9	9	11	14	15	12	16	12	17	15	13	14	16	15	17	19	20	21	0	1	2	0	2	10	6	3	8	5	10	13	3	1	14	13	14	9	18	18	1	1	1	1	2	1	1	1	2	1	2	1	2	3	1	1	1	1	1	1
35000	-127.630664666406631	-134.486152617366002	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.812616599610233	4	8	9	11	12	13	15	11	15	13	17	15	13	14	16	15	16	19	20	21	0	1	2	0	2	5	10	3	8	2	7	8	5	5	14	13	14	9	18	18	1	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	2	1	1
35500	-141.572163478348330	-148.427651429307701	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.737511774011853	5	7	8	10	10	14	15	11	15	14	17	15	13	14	16	12	17	18	20	20	0	1	2	0	2	2	6	3	3	2	7	16	8	1	14	8	14	9	18	18	1	1	1	1	1	3	1	2	3	3	1	1	1	3	1	1	2	1	1	1
