step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42
5000	-313.775007948839288	-320.630495899798689	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.656209235812937	0	3	11	5	14	17	14	21	30	21	26	32	26	25	24	27	24	29	27	28	29	30	29	35	34	31	23	38	28	34	34	29	39	42	36	44	41	43	43	48	43	48	0	1	2	0	0	4	4	7	20	4	7	15	5	0	5	8	5	8	14	15	11	13	27	9	27	13	5	9	17	21	14	27	9	23	30	32	35	0	30	33	15	36	1	1	1	1	1	2	1	2	1	3	1	2	2	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	2	1	2	1
5500	-312.015201774743844	-318.870689725703244	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638157511978602	0	2	9	7	13	16	15	19	27	23	21	30	24	22	26	25	24	28	25	29	30	31	31	35	32	30	30	40	28	34	35	34	36	46	40	43	45	40	46	47	46	48	0	1	2	0	0	4	4	7	5	6	7	5	5	0	5	8	5	8	14	9	11	17	15	20	5	13	9	20	17	21	14	12	25	25	30	33	35	0	21	28	28	32	1	1	2	1	1	2	2	1	2	1	1	3	3	1	2	1	2	2	1	1	1	1	1	1	2	1	1	3	2	1	2	1	2	2	1	1	1	1	3	1	1	2
6000	-311.902414562494414	-318.757902513453814	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710180771573702	-1	4	5	10	13	15	15	17	31	23	21	28	25	24	23	25	22	26	28	31	31	30	30	37	26	29	32	34	26	35	35	33	42	45	36	44	43	36	39	48	45	55	0	1	2	0	0	4	4	7	15	7	4	15	15	0	5	8	5	8	14	12	11	13	12	9	5	13	15	9	15	21	14	25	9	27	21	32	21	0	30	24	24	36	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3	3	1	3	2	1	1	2	1	1
6500	-318.969725947477571	-325.825213898436971	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.695087746118796	-2	2	4	9	11	14	13	18	22	17	25	29	22	22	22	24	25	29	30	27	28	30	30	36	30	28	31	37	34	31	37	36	39	45	41	44	44	36	35	48	42	54	0	1	2	0	0	4	4	7	5	7	6	9	5	0	5	8	15	16	14	15	11	9	5	9	15	9	20	27	27	21	19	15	20	25	30	32	21	0	21	41	12	36	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	1	1	1	1	3	2	2	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	2	3
7000	-318.565706780587277	-325.421194731546677	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672403162151935	-1	6	12	12	12	15	16	21	32	20	23	30	26	16	25	29	23	28	28	27	28	33	25	37	29	31	31	40	30	31	30	32	37	48	40	40	44	41	40	45	47	53	0	1	2	0	0	4	4	7	15	7	7	5	17	0	5	8	5	8	14	17	6	13	5	27	17	13	20	20	17	11	14	15	27	17	30	32	39	0	30	12	17	36	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	2	1	2	2	3	1	2	1	1	2	2	2	3	1	1	2	2	1	1	1	2	3	3	2
7500	-301.687229189888740	-308.542717140848140	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.863211846019752	0	5	7	9	13	12	14	20	23	18	28	31	20	26	29	26	26	29	30	27	31	32	32	33	27	28	35	39	30	36	35	31	38	46	38	44	39	36	44	43	42	52	0	1	2	0	0	4	6	7	5	7	6	17	5	0	5	8	5	8	14	5	11	20	20	12	9	13	24	27	20	21	19	15	27	40	30	32	35	0	21	28	15	36	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
8000	-311.139944135919450	-317.995432086878850	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.651480958856305	-1	4	9	8	11	15	15	21	35	23	28	27	27	20	22	25	23	26	27	25	30	32	26	32	30	28	25	31	30	33	35	35	31	51	36	42	43	37	42	46	48	52	0	1	2	0	0	4	4	7	33	7	6	15	15	0	5	8	5	8	14	5	11	13	5	12	15	15	5	27	15	11	19	25	17	25	30	32	35	0	30	24	9	36	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	2	1	1	2	1	1	2	2	1	1	3	1	1	1	2	1	1	5	1	2	1	1	2	3	2	2
8500	-323.951348395595289	-330.806836346554689	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.632208570378044	-2	6	13	9	14	17	16	21	29	20	28	22	20	24	22	24	27	24	29	26	33	30	32	36	31	28	33	39	32	32	34	29	34	35	41	43	43	38	40	44	49	53	0	1	2	0	0	4	4	7	20	7	6	5	5	0	5	8	5	8	14	5	6	13	20	9	12	15	9	33	5	11	19	15	9	25	7	32	39	0	30	24	33	36	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	1	2	1	1	2	2	2	1	2	2	1	1	1	4	1	1	1	2	1	5	2	1	1	2	2	3	2
9000	-313.643389152596285	-320.498877103555685	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.691021558761793	-4	0	9	6	13	10	15	19	33	17	22	28	25	22	19	26	27	23	28	27	26	28	28	37	30	29	33	35	32	33	34	35	40	47	38	41	36	40	42	47	45	51	0	1	2	0	0	4	4	7	17	7	7	15	5	0	5	8	15	8	14	5	11	15	15	28	13	13	5	27	20	21	14	25	24	12	30	32	30	0	21	33	12	36	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	2	1	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	1	1	1	3	2	3	3
9500	-325.565436370637485	-332.420924321596885	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.479770535231797	-1	5	12	6	13	15	13	21	33	22	23	32	26	24	22	27	23	30	29	31	31	32	31	33	29	26	34	35	29	33	34	31	40	51	38	45	43	31	45	48	45	56	0	1	2	0	0	4	4	7	15	7	7	25	15	0	5	8	5	8	14	5	10	15	25	5	5	17	5	12	15	21	14	17	28	25	21	24	35	0	21	41	12	36	1	2	1	1	1	1	2	2	2	2	1	1	1	1	2	1	2	3	2	3	1	1	1	4	3	1	4	1	2	1	1	2	1	5	1	2	1	1	3	1	2	1
10000	-306.116139229439966	-312.971627180399366	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.868973568509940	1	4	10	7	12	17	13	19	33	21	23	22	27	23	28	26	21	29	28	31	26	27	33	36	30	27	33	40	31	28	33	35	40	40	37	42	40	43	33	48	43	53	0	1	2	0	0	4	4	7	26	6	4	5	12	0	12	8	5	8	14	17	11	12	17	20	17	17	12	24	15	11	19	25	9	27	30	32	35	0	30	28	15	36	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	2	2
10500	-319.278083527277488	-326.133571478236888	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.706070959378482	1	4	9	7	11	14	12	18	34	15	24	31	23	24	20	29	26	25	27	30	28	34	34	26	29	29	22	39	28	33	35	31	38	49	40	41	43	36	42	48	45	52	0	1	2	0	0	4	4	7	12	7	4	24	15	0	5	18	15	8	14	24	6	20	15	5	17	24	5	24	17	11	14	25	17	36	30	32	35	0	30	12	20	36	1	1	2	1	1	2	1	2	1	1	3	1	1	1	2	1	2	1	1	1	2	1	2	2	1	1	2	2	1	2	2	1	2	1	1	2	1	1	1	3	2	2
11000	-323.165655278422378	-330.021143229381778	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.633557474121274	-5	-2	11	7	12	13	17	20	28	20	27	25	25	22	27	25	21	30	30	26	30	28	32	35	33	29	35	38	28	36	35	36	39	44	38	42	37	31	45	46	47	54	0	1	2	0	0	4	6	7	17	7	7	17	17	0	5	8	5	8	14	17	11	20	20	9	20	13	17	27	5	11	19	29	9	12	30	32	11	0	30	12	27	32	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	3	2	1	1	1	1	1	1	1	1	4	1	1	1	2	2	1	1	2	1	2	2	3	3
11500	-318.970004647834571	-325.825492598793971	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.791401132934122	-4	5	10	8	10	13	14	18	32	22	23	32	22	20	28	24	26	29	24	31	28	32	32	34	31	30	32	29	31	34	28	30	39	48	42	40	36	38	46	45	45	57	0	1	1	0	0	4	4	7	28	7	6	15	5	0	17	8	5	16	14	15	11	13	20	9	28	13	15	17	17	21	19	17	20	17	37	32	30	0	21	24	33	17	1	3	3	1	1	1	1	1	1	1	2	1	2	1	1	1	3	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	4	1	2	1	1	2	1	1	5
12000	-323.436103596480734	-330.291591547440134	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.586869441255626	-2	4	11	8	12	13	11	18	34	21	23	31	26	21	28	23	22	31	26	27	30	31	28	23	32	30	31	39	31	34	35	36	39	51	41	42	44	39	42	44	48	53	0	1	2	0	0	4	4	7	24	6	6	20	24	0	5	8	5	8	14	5	11	13	5	5	17	13	20	5	17	11	19	15	13	28	11	25	30	0	11	17	40	32	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	2	3	1	2	2	1	2	2	1	1	1	4	1	2	1	1	3	2	2	2	2	1	3	2	1	2
12500	-328.836656650682926	-335.692144601642326	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.519881631082040	-2	5	11	8	11	16	10	17	28	17	18	21	22	18	26	26	18	29	29	26	21	31	34	32	31	32	33	29	32	31	29	34	36	41	37	44	43	41	43	46	43	51	0	1	2	0	0	4	4	7	5	7	4	17	5	0	12	8	5	8	14	17	11	20	15	5	12	9	17	5	20	11	14	25	20	25	30	32	35	0	30	23	12	36	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	1	3	1	1	3	2	1	2	1	1	2	2	1	2	2	1	2	2	4	1
13000	-316.650433017211810	-323.505920968171210	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.772807668500287	-3	7	3	7	12	17	15	20	30	21	22	25	19	21	26	26	22	28	29	27	28	29	33	32	31	29	32	39	29	26	31	34	41	47	40	42	35	42	45	44	47	53	0	3	1	0	0	4	4	7	20	7	6	5	5	0	5	8	5	16	14	5	11	12	9	9	12	17	20	24	15	4	14	25	27	40	21	32	30	0	35	20	40	36	1	1	1	1	1	2	1	1	1	1	1	3	2	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	3	1	2
13500	-308.515009972892642	-315.370497923852042	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.709240880760396	0	6	4	10	12	17	16	21	33	22	27	25	28	26	25	29	24	26	29	27	26	32	33	35	30	29	29	39	33	33	35	35	41	44	41	44	37	41	41	47	43	55	0	3	1	0	0	4	4	6	12	6	6	5	5	0	5	8	5	8	14	5	7	13	20	27	12	15	17	24	15	21	19	13	24	17	37	32	30	0	30	41	13	32	1	1	1	1	1	2	1	1	2	1	1	2	3	1	3	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	3	2
14000	-319.665883273274630	-326.521371224234031	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.678569761314513	-5	7	2	9	13	14	17	21	33	22	27	29	23	24	30	26	24	25	28	26	26	33	29	33	28	28	33	36	30	35	33	34	42	44	40	34	43	39	45	46	44	55	0	3	1	0	0	4	4	7	5	7	4	5	5	0	5	8	5	8	14	17	10	12	20	17	17	5	5	24	17	21	19	25	28	15	30	15	21	0	30	28	24	9	1	1	1	1	1	1	2	1	4	2	3	2	1	1	3	2	2	1	1	1	1	1	1	1	1	2	3	1	1	2	1	1	1	1	1	1	3	1	2	2	2	2
14500	-311.881727567575979	-318.737215518535379	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.807824275240043	-1	7	4	9	14	14	12	21	30	16	23	32	20	20	27	26	25	28	31	28	28	31	35	31	32	29	29	36	33	30	36	35	38	45	39	40	43	35	37	35	38	55	0	3	1	0	0	4	4	7	5	7	10	27	5	0	5	8	5	8	14	5	11	13	9	5	15	17	5	12	27	11	19	24	24	25	30	32	35	0	30	27	20	36	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	2	2	1	2	2	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2
15000	-336.382555439496514	-343.238043390455914	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.697670418963791	-1	6	8	9	14	15	12	16	34	20	23	30	26	26	22	21	24	27	28	32	32	31	33	31	30	30	30	32	28	35	30	34	40	50	35	44	41	42	46	40	49	55	0	1	2	0	0	4	4	7	17	6	4	29	15	0	5	8	5	16	14	15	11	13	12	5	5	17	5	5	15	11	19	20	29	12	11	32	35	0	30	12	40	32	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	4	1	2	2	1	2	1	1	2	3	2	2	1	1	3	2	1	2
15500	-331.754925004712106	-338.610412955671507	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740143361861355	-5	2	6	9	14	15	13	19	26	21	25	29	28	18	26	22	23	31	27	24	34	33	20	28	28	27	29	30	32	31	35	36	42	45	36	39	42	38	42	50	45	49	0	1	2	0	0	4	4	7	5	7	4	5	9	0	17	8	5	8	14	5	30	17	5	15	20	20	15	15	28	11	19	25	27	33	30	32	35	0	35	22	12	32	1	1	1	1	1	1	1	2	2	2	2	3	1	1	1	1	2	3	3	2	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	1
16000	-312.938711014859337	-319.794198965818737	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.785203933976837	-2	4	11	11	14	15	16	21	31	21	16	27	26	20	25	23	25	29	25	17	31	32	33	34	31	32	28	38	29	35	33	34	36	44	36	45	41	38	37	45	47	53	0	1	2	0	0	4	4	7	20	7	4	20	5	0	20	8	20	16	14	5	6	13	17	20	15	12	15	12	15	21	19	17	15	28	21	32	35	0	30	27	24	28	1	1	1	1	1	1	1	1	3	1	1	1	2	1	2	1	2	1	2	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	3	2	1
16500	-316.001468217108481	-322.856956168067882	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660197309822637	-3	4	7	10	10	14	15	21	31	22	26	28	21	23	28	25	20	24	31	24	32	32	29	27	33	32	34	35	32	34	34	30	40	50	36	34	38	40	44	48	49	53	0	1	2	0	0	4	4	7	24	4	6	5	5	0	17	8	5	8	14	5	11	5	20	17	32	20	9	24	12	21	19	20	24	28	21	32	35	0	30	33	28	36	1	1	1	1	1	1	1	1	1	2	1	3	1	1	2	1	2	1	2	3	1	4	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	2
17000	-314.868925837861070	-321.724413788820470	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702467561291280	1	3	7	11	10	16	15	19	22	20	29	32	24	21	27	28	28	26	27	24	31	30	34	34	29	31	34	41	34	34	32	35	31	44	38	44	44	40	44	42	37	53	0	1	2	0	0	4	4	7	5	7	6	15	9	0	20	8	9	8	14	5	11	20	33	17	20	13	15	17	9	21	19	25	17	28	30	32	35	0	35	17	24	36	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	2	1	1	1	1	1	2
17500	-307.673628411144477	-314.529116362103878	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.745689578681302	1	5	12	7	13	16	14	19	28	18	28	29	27	21	25	27	26	28	24	33	31	31	33	33	31	29	35	41	31	33	29	35	36	47	39	45	41	43	42	47	46	50	0	1	2	0	0	4	4	7	15	7	6	15	15	0	5	8	5	8	14	12	11	15	9	17	17	15	9	12	9	11	14	25	9	25	30	25	35	0	21	28	25	36	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	1	3	1	1	1	1	2	1	2	1
18000	-312.910555130908165	-319.766043081867565	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.843614644438413	-3	1	5	10	14	13	15	20	26	21	16	31	24	23	29	26	19	28	28	27	29	28	34	34	32	31	35	32	33	33	29	32	39	47	41	44	41	40	42	45	49	55	0	1	2	0	0	4	4	7	17	7	4	20	17	0	20	8	5	8	14	9	11	13	15	26	17	13	12	15	9	21	14	17	27	25	30	32	30	0	30	12	27	32	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	2	1	2	3	2	3
18500	-321.134033685981933	-327.989521636941333	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605027418360437	1	5	8	5	11	7	12	20	34	12	28	26	24	16	23	28	22	30	24	24	25	28	28	27	30	30	33	37	30	32	32	32	40	42	37	38	44	43	39	47	48	53	0	1	2	0	0	4	4	7	24	6	21	5	17	0	5	8	5	16	14	5	4	13	20	5	24	24	24	17	15	11	19	25	27	28	30	32	35	0	30	27	28	36	1	1	1	1	1	1	1	2	1	2	1	2	1	1	3	2	2	1	1	2	3	1	1	1	1	1	1	3	1	1	2	1	2	1	1	1	1	1	1	1	1	2
19000	-333.647617790298966	-340.503105741258366	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.496655236078404	-9	2	10	10	13	17	15	19	28	20	25	28	23	20	19	28	26	30	29	25	31	28	29	28	30	32	35	39	29	31	33	34	35	44	38	42	40	42	45	46	41	44	0	1	1	0	0	4	4	7	20	7	10	5	15	0	5	8	5	8	14	5	11	13	20	5	24	22	15	33	5	11	19	24	20	25	30	32	30	0	30	9	9	32	1	1	3	1	1	1	1	1	1	1	1	2	1	1	2	1	3	1	2	2	1	2	1	2	1	1	2	1	3	2	1	1	2	2	2	2	2	1	2	2	2	3
