step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39
41000	-238.617509194376197	-244.556706413461427	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.735078315852342	2	0	1	2	2	3	4	6	6	6	6	8	9	8	10	8	8	9	12	10	12	11	14	11	16	12	13	15	15	17	18	20	21	23	24	26	26	27	29	3	0	2	2	2	3	5	6	5	5	7	6	9	9	17	10	5	14	13	9	17	16	26	10	28	20	22	27	27	27	29	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	2	2	2	1	2
41500	-239.143535904147882	-245.082733123233112	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.743641748310755	2	-1	1	3	3	3	4	5	6	7	6	8	7	6	9	8	9	8	12	9	12	11	14	12	16	12	15	15	14	17	17	20	23	23	24	27	26	27	29	3	0	2	2	2	3	5	6	5	7	5	6	9	7	13	10	9	14	10	18	17	17	20	18	29	20	29	29	22	27	28	0	32	32	33	34	35	35	36	1	1	1	2	2	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1
42000	-221.815669854258857	-227.754867073344087	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.776930248074532	2	0	1	4	3	3	5	7	6	7	7	8	9	7	9	8	9	7	11	9	11	11	13	12	17	11	13	14	15	17	19	19	21	22	24	27	27	26	29	3	0	2	2	2	3	4	6	7	5	7	8	10	5	4	10	16	5	13	14	15	16	26	20	29	20	22	22	27	28	25	0	32	33	33	34	35	35	36	1	1	1	2	1	1	1	2	1	2	1	1	1	2	2	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1
42500	-233.877601702092761	-239.816798921177991	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.803610145001243	2	0	1	3	2	3	6	7	5	6	5	6	9	7	9	8	9	6	11	10	11	11	12	12	15	13	15	16	13	17	18	20	23	24	25	26	26	27	29	3	0	2	2	2	3	5	12	5	5	5	6	5	18	10	10	7	9	15	18	13	15	20	18	29	23	29	27	22	29	28	0	32	33	33	34	35	35	34	1	1	1	1	1	1	2	1	1	2	2	2	3	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	3	1	1	2	1	1	2	1	1	2
43000	-249.952067880132148	-255.891265099217378	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.749930519814641	0	-1	1	4	2	3	6	7	6	5	7	8	8	7	10	8	9	9	10	9	11	9	13	11	16	13	11	15	15	17	19	21	23	24	25	26	27	26	30	2	0	1	3	2	3	2	6	10	5	10	6	7	7	16	10	7	14	7	14	17	7	20	18	29	20	22	22	22	25	30	0	32	33	33	34	35	35	36	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	2	1	1	2	1	2	4	1	2	1	1	1	1	1	1	1	2
43500	-221.608363694542248	-227.547560913627478	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.807848847298853	1	0	2	2	2	4	6	6	5	5	7	8	8	7	8	8	9	8	12	9	11	11	14	12	16	11	14	16	15	18	18	20	23	24	25	27	27	26	29	2	0	1	2	2	3	5	6	5	5	7	6	9	9	10	10	10	14	13	18	17	17	26	14	29	20	22	29	27	27	25	0	32	33	33	33	35	35	36	1	1	1	1	1	1	2	2	1	2	1	2	2	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1
44000	-222.600366427809149	-228.539563646894379	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.680636544353959	1	0	2	4	3	4	6	6	5	6	8	7	8	7	9	9	9	8	10	9	11	11	14	11	15	11	14	16	15	17	17	21	22	23	24	26	26	26	28	2	0	1	2	2	3	5	6	4	4	7	8	9	9	13	10	5	14	7	18	15	16	20	18	22	20	16	27	22	29	25	0	32	33	33	34	35	35	36	1	1	1	2	1	1	2	1	1	1	2	1	2	1	1	2	2	1	2	1	1	1	3	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1
44500	-224.943466593135270	-230.882663812220500	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.700663331335208	1	0	2	3	4	4	6	5	7	6	7	7	8	7	10	7	9	9	11	9	11	12	14	11	16	11	14	16	15	16	18	19	21	23	24	26	26	26	28	2	0	1	2	2	3	5	6	7	5	7	6	9	7	10	5	10	14	13	14	17	16	20	14	29	20	22	29	27	22	25	0	32	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	2	2	2	1	2
45000	-256.758931766804608	-262.698128985889809	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.626407565368776	2	0	1	3	3	4	6	7	4	5	7	7	7	8	10	7	8	8	9	9	10	11	11	11	16	12	12	15	16	18	17	20	21	24	25	26	27	27	29	3	0	2	2	3	4	4	6	5	5	4	6	5	9	7	10	16	7	7	18	10	4	20	18	28	14	22	27	27	27	28	0	32	33	34	34	35	35	36	1	1	1	2	1	1	1	2	1	1	2	2	1	3	2	1	1	1	1	1	2	4	1	1	1	2	1	1	2	2	1	1	1	2	1	1	1	1	1
45500	-221.546161048970362	-227.485358268055592	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.756457725902052	2	0	1	2	3	4	6	6	6	8	7	8	8	7	10	9	9	9	10	10	12	11	14	12	16	12	15	15	14	18	18	20	22	23	25	27	26	26	26	3	0	2	2	2	3	2	6	5	9	7	6	5	9	10	10	10	14	13	7	15	16	26	20	22	20	29	29	22	27	25	0	32	33	33	34	35	35	34	1	1	1	2	1	1	2	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	1	1	2
46000	-239.548313340709882	-245.487510559795112	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.629009199964609	2	-1	1	3	3	3	6	6	6	7	8	7	8	7	7	8	10	8	9	9	11	9	13	11	13	12	14	15	15	17	19	20	22	24	25	26	26	26	29	3	0	2	2	2	3	2	6	5	4	5	6	7	9	7	5	15	14	13	14	7	10	26	14	22	20	25	25	27	27	25	0	32	33	33	34	35	35	36	1	1	1	1	2	1	3	1	2	2	1	2	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1
46500	-224.874656421716821	-230.813853640802051	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.870113702070631	1	0	2	4	4	3	5	6	5	7	7	8	7	7	9	6	10	8	11	9	11	12	14	10	16	12	15	14	14	17	18	20	22	23	24	26	26	26	29	2	0	1	1	2	3	5	6	5	5	5	8	9	9	10	5	16	14	9	18	15	17	26	14	29	20	22	22	22	27	25	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	2	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
47000	-256.289025005427561	-262.228222224512763	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.757927868401941	1	0	2	3	2	4	7	6	6	7	7	7	9	7	9	9	8	8	10	10	11	10	14	9	17	12	14	15	12	18	18	20	22	24	25	27	26	26	28	2	0	1	1	2	3	4	6	5	5	5	6	7	5	5	18	7	4	13	11	16	7	26	18	28	20	29	29	22	25	28	0	32	33	32	34	35	35	34	1	1	1	1	1	1	1	1	2	1	2	1	1	3	3	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2
47500	-235.679148873794759	-241.618346092879989	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.857723313879801	1	-1	2	4	3	4	6	6	6	7	7	7	9	7	10	8	9	8	9	9	11	11	13	12	16	12	14	16	15	17	18	19	21	23	24	25	27	26	27	2	0	1	5	2	3	4	6	5	4	7	8	10	9	10	7	7	14	9	14	10	7	26	14	27	20	22	29	27	29	28	0	32	33	33	34	35	35	36	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	3	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
48000	-234.462028839183688	-240.401226058268918	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.593352110437305	0	-1	1	4	3	3	5	6	6	6	7	8	8	7	9	7	9	8	12	9	11	11	13	11	15	12	14	16	15	17	17	19	21	23	23	26	26	27	28	2	0	1	5	2	3	2	6	5	4	9	6	9	7	10	10	10	14	13	18	7	16	20	7	27	20	22	29	22	29	29	0	32	33	33	34	35	35	34	1	1	1	1	2	1	3	2	2	1	1	3	1	1	2	1	2	1	2	1	3	2	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2
48500	-237.843148820053500	-243.782346039138730	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.739103649390946	1	0	2	3	3	4	6	6	5	8	7	8	8	6	7	8	9	8	11	9	12	11	14	12	16	11	13	15	13	17	17	17	22	24	24	26	26	25	30	2	0	1	2	2	3	5	6	5	5	14	8	9	9	5	15	13	14	13	18	10	10	26	18	28	20	22	27	22	27	28	0	32	33	33	33	33	33	34	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	3	1	1	2	2	2	2
49000	-246.197843937489353	-252.137041156574583	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.638496085258852	1	0	2	2	3	4	6	6	5	7	8	6	9	8	9	8	8	7	11	8	12	11	13	11	15	11	14	15	16	18	19	19	23	23	24	26	26	26	29	2	0	1	2	2	1	4	6	5	9	9	6	9	9	10	10	5	7	13	9	15	16	26	7	27	14	22	27	27	29	28	0	32	32	32	33	35	35	36	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	1	1	2	1	2	2	2	1	1	2	1
49500	-235.991051193645063	-241.930248412730293	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.581617011676292	1	0	2	3	4	4	7	6	6	8	7	8	8	7	8	8	6	6	12	10	11	11	14	11	17	11	13	15	15	18	18	21	23	23	24	26	26	25	30	2	0	1	2	2	3	3	6	5	5	5	8	5	18	17	7	5	5	7	14	10	16	20	14	22	20	22	27	22	27	28	0	32	32	33	34	35	35	36	1	1	1	1	2	1	3	1	1	2	2	1	2	1	1	1	1	1	4	2	1	1	2	2	3	1	1	1	2	3	2	1	1	1	1	2	1	1	3
50000	-235.843402667934157	-241.782599887019387	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.594850680381760	2	-1	1	4	4	3	6	6	6	7	8	7	8	8	9	8	9	7	11	9	11	12	11	11	16	13	14	16	15	18	19	20	23	24	23	26	25	26	29	3	0	2	2	1	3	5	6	5	7	5	6	9	18	10	10	7	9	9	14	15	16	14	14	27	23	22	29	22	25	29	0	32	33	32	34	35	35	36	1	1	1	2	1	1	1	2	1	1	3	2	2	1	1	1	2	1	3	1	1	2	3	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	2
50500	-249.016175483430430	-254.955372702515660	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.633501134280113	1	-1	1	4	2	4	6	6	6	8	6	7	7	8	8	7	9	9	11	9	10	12	12	12	17	12	15	15	16	18	19	20	22	24	24	26	26	26	28	2	0	2	5	2	5	2	6	5	11	5	6	5	7	9	7	16	14	13	14	7	16	19	18	22	7	22	22	28	28	25	0	32	33	33	34	35	35	34	1	1	1	1	2	1	4	1	2	1	2	2	1	1	1	1	2	1	2	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	2
51000	-228.567153681302187	-234.506350900387417	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.812113139540947	1	0	2	3	3	3	6	7	6	6	7	4	9	8	7	8	9	7	11	10	11	12	11	11	17	13	13	15	15	15	19	21	23	24	25	25	27	27	29	2	0	1	2	2	3	5	12	5	5	7	6	10	18	10	7	15	10	13	18	17	16	13	14	29	23	22	22	27	27	25	0	32	33	33	34	35	35	36	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2
51500	-234.663754952432782	-240.602952171518012	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.547420034175402	1	-1	2	3	4	3	6	5	6	8	7	6	8	6	9	8	10	8	11	10	10	12	11	11	16	13	13	15	16	17	18	20	22	23	24	26	26	26	30	2	0	1	2	3	3	4	6	5	5	7	6	5	5	5	7	10	14	9	14	5	16	20	14	28	23	22	22	28	25	22	0	32	32	33	34	35	35	36	1	1	1	2	1	1	2	2	1	2	1	1	2	1	2	1	1	1	3	2	3	2	1	3	1	1	1	2	1	1	3	1	1	1	1	2	2	1	2
52000	-228.368167194787134	-234.307364413872364	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.741390403625214	1	-1	2	2	3	3	6	4	5	7	8	7	9	7	10	9	9	9	11	10	10	11	11	11	15	13	13	16	13	17	18	20	22	23	24	25	26	25	30	2	0	1	2	2	3	5	6	5	5	5	8	7	9	7	7	9	14	13	18	10	10	20	14	22	23	22	25	22	25	28	0	32	33	33	34	38	35	36	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3
52500	-233.151695912395070	-239.090893131480300	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.677555710770660	1	0	2	2	3	3	6	7	5	7	7	5	9	7	10	9	9	8	10	10	12	11	13	11	17	12	13	15	14	17	17	20	22	23	24	26	27	26	29	2	0	1	2	2	3	9	12	5	5	9	6	5	5	14	10	7	7	14	18	10	16	26	18	16	13	22	22	22	28	29	0	32	32	33	34	35	35	34	1	1	1	1	1	1	1	1	1	2	1	1	3	2	1	1	1	1	2	1	2	1	1	2	4	2	1	2	1	1	1	1	1	2	1	2	1	1	3
53000	-251.806017867165934	-257.745215086251164	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.758409998445447	0	-1	2	2	3	3	5	6	5	7	7	8	9	7	8	8	8	8	12	8	11	11	13	10	16	12	15	16	15	17	16	20	22	24	24	26	26	26	28	2	0	1	2	4	3	5	6	5	7	7	8	7	5	10	10	10	9	13	14	10	16	18	20	22	20	22	22	22	25	27	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	2	2	1	2	2	2	1	3	4	2	2	2	1	1	1	1	2	2	1	1	1	1
53500	-209.740542994098178	-215.679740213183408	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.835061405606318	1	0	2	3	4	4	5	5	6	7	6	7	8	8	9	9	9	7	10	10	11	11	11	10	17	12	14	16	13	18	19	20	22	23	24	25	27	26	28	2	0	1	2	2	3	4	6	5	7	5	8	5	18	10	10	10	5	13	14	15	16	20	18	29	23	29	29	22	27	25	0	32	33	33	34	35	35	33	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	3
54000	-221.227664065704573	-227.166861284789803	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.793251209296998	1	-1	2	3	4	3	6	6	6	8	7	7	9	7	10	8	9	8	11	8	12	12	10	11	16	12	14	16	15	18	18	19	23	24	25	25	27	27	29	2	0	1	2	4	1	5	6	5	4	7	6	9	4	10	7	9	9	9	9	15	17	20	18	29	23	22	29	27	27	28	0	32	33	33	34	35	35	36	1	1	1	2	1	1	1	2	1	2	1	2	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2
54500	-199.897334807274632	-205.836532026359862	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.879957465289747	1	0	2	2	2	4	5	6	6	7	7	8	8	7	9	8	10	9	12	9	12	12	13	12	15	13	14	16	13	17	19	21	23	24	25	26	26	26	29	2	0	1	2	2	3	5	6	7	7	7	8	9	9	10	10	15	14	13	14	15	16	20	18	29	20	22	25	22	27	30	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1
55000	-201.140818560935031	-207.080015780020261	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.944914445323450	1	0	2	3	4	4	6	6	6	7	7	8	8	7	9	9	8	9	11	10	11	11	12	12	15	13	14	16	14	16	19	20	22	24	24	26	26	27	29	2	0	1	1	2	3	5	6	5	9	5	8	9	5	17	10	10	14	13	14	16	15	20	18	29	23	22	25	22	27	25	0	32	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2
55500	-215.467977650357170	-221.407174869442400	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.877697099744060	0	-1	2	2	3	3	6	6	5	7	8	7	7	8	9	8	10	8	11	10	11	12	13	11	14	12	15	16	16	17	18	20	23	24	25	26	27	27	30	2	0	1	2	4	3	9	6	5	7	7	6	9	5	10	10	10	7	13	14	15	16	26	18	22	14	25	25	25	27	25	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	3	1	2	1	1	1	1	1	1
56000	-232.335606474347088	-238.274803693432318	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.697960917258593	1	0	2	2	3	4	5	6	4	8	6	8	7	7	9	7	9	9	11	9	10	12	13	11	16	12	14	16	14	16	17	20	22	23	24	25	27	26	29	2	0	1	2	2	3	9	6	5	14	7	8	9	7	16	7	7	14	13	14	10	15	20	14	27	20	22	29	22	27	25	0	32	33	33	34	38	35	36	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
56500	-229.176306560138556	-235.115503779223786	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.717887826300618	1	-1	2	2	4	3	6	6	6	7	8	7	9	7	10	8	9	8	11	10	11	12	13	10	16	12	14	14	16	17	19	19	21	22	24	25	27	26	28	2	0	1	2	4	3	4	6	5	7	4	8	7	5	10	5	10	14	13	18	10	16	26	11	27	20	22	22	27	27	28	0	32	33	33	33	35	35	36	1	1	1	2	2	1	1	1	1	1	4	1	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	3	1	1	1	1	2	2	1	2
57000	-241.531355038217043	-247.470552257302273	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.767882889325646	1	-1	2	2	3	3	5	6	5	7	6	7	8	7	9	7	10	8	12	9	10	12	14	12	17	12	13	15	15	15	18	19	22	24	25	27	27	26	29	2	0	1	2	2	3	2	6	5	4	7	8	9	7	7	7	15	14	13	14	10	16	20	18	29	7	22	22	27	27	25	0	32	33	33	33	35	35	36	1	1	1	2	1	1	3	1	1	2	1	1	1	1	1	1	1	1	2	1	2	3	2	2	1	2	1	2	1	1	1	1	2	2	2	2	1	1	1
57500	-250.620911662783016	-256.560108881868246	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.746782113857649	2	-1	1	3	3	3	6	6	6	7	7	7	8	8	7	8	9	7	12	9	8	12	13	11	16	12	14	15	14	17	19	19	22	23	24	25	25	26	28	3	0	2	2	2	3	5	6	2	5	2	6	7	18	7	5	21	5	16	18	10	16	9	18	29	20	22	29	22	27	28	0	32	33	33	34	35	35	36	1	1	1	1	2	1	1	2	2	2	4	2	1	1	1	3	1	2	2	1	1	2	4	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1
58000	-247.303982071645606	-253.243179290730836	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.636666412191467	2	-1	1	4	2	4	6	7	6	5	8	7	8	8	10	7	8	8	11	10	12	12	12	9	16	11	14	16	14	16	18	20	22	24	24	25	27	27	30	3	0	2	3	2	3	4	6	5	5	7	6	9	10	17	7	7	9	14	18	15	5	14	18	29	20	22	29	22	22	25	0	32	33	33	34	35	35	36	1	1	1	2	1	1	1	2	2	2	1	2	1	2	1	1	1	1	1	1	1	4	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2
58500	-231.404516400471522	-237.343713619556752	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.708353643092672	2	-1	1	2	3	3	5	6	6	8	6	7	8	7	7	7	10	9	12	9	11	9	11	11	16	13	14	14	16	18	18	19	22	23	24	27	26	26	29	3	0	2	2	2	3	5	6	7	7	4	6	9	9	7	11	15	14	17	14	15	16	20	18	28	23	22	22	22	25	25	0	32	33	33	34	35	35	36	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	3	3	1	1	1	2	1	1	2	2	1	1
59000	-213.885493021034733	-219.824690240119963	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.936465581228309	2	-1	1	2	3	4	5	6	6	8	7	7	8	8	10	9	10	9	11	9	11	12	11	10	16	13	15	16	13	17	17	20	23	24	25	26	27	27	28	3	0	2	2	2	3	5	6	5	7	9	8	9	9	10	9	10	14	13	14	10	16	9	18	29	23	29	29	22	27	28	0	32	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
59500	-236.083802406570129	-242.022999625655359	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.710189912123920	2	0	1	3	2	3	6	6	7	7	8	8	9	7	9	8	10	9	11	9	12	12	11	11	16	13	15	15	14	17	19	18	24	22	25	23	26	27	29	3	0	2	2	2	3	5	6	7	5	7	8	9	7	10	10	15	14	13	14	10	16	20	18	22	23	29	29	22	27	28	0	32	32	32	34	33	35	33	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	4	1	1	1	2
60000	-236.522079073437652	-242.461276292522882	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.628849944604660	0	-1	1	4	3	4	7	6	6	7	8	7	7	7	9	9	9	8	12	9	10	12	12	11	17	13	14	16	14	16	18	20	22	24	24	27	25	26	29	2	0	1	3	2	3	5	6	5	4	7	8	5	5	10	7	7	7	7	7	10	9	20	14	29	23	22	27	22	27	25	0	32	33	33	34	35	35	36	1	1	1	1	2	2	2	1	2	1	1	1	2	2	1	2	1	1	3	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1
60500	-226.582200676169037	-232.521397895254267	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.712648930774149	0	-1	1	2	4	3	5	6	6	7	7	8	8	7	7	9	8	9	11	8	12	12	14	10	16	13	14	16	15	16	17	20	22	23	24	25	26	26	28	2	0	1	2	4	3	5	6	5	7	4	8	9	9	5	10	15	15	13	14	15	16	20	14	29	20	22	29	27	27	25	0	32	33	33	34	35	35	34	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	3	2	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
61000	-237.768524506882756	-243.707721725967986	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.676995238069410	1	0	2	4	3	3	7	7	6	7	7	7	9	6	8	9	9	9	12	9	11	11	13	10	15	12	14	16	14	16	17	21	22	23	25	25	27	27	30	2	0	1	2	2	3	5	6	5	4	5	6	7	5	9	10	10	9	13	15	15	16	20	14	22	18	22	29	22	29	25	0	32	33	33	34	35	35	36	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	2	2	1	2	1	2	3	2	1	1	1	2	1	1	1	1	1	2	1	1	1	2
61500	-234.561572200010971	-240.500769419096201	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.695126370141854	2	-1	0	3	3	4	5	5	7	6	8	7	9	7	9	8	9	9	10	9	11	11	11	9	16	12	14	15	15	17	17	21	22	23	25	26	26	26	30	3	0	2	2	2	5	4	6	5	4	9	8	7	5	10	10	7	14	17	9	17	16	20	9	28	23	22	22	27	28	29	0	32	33	33	34	35	35	36	1	1	1	1	2	1	1	1	2	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2
62000	-231.415874814220388	-237.355072033305618	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.636772563320197	2	-1	1	4	4	3	6	5	6	7	8	6	8	8	9	9	10	7	11	9	11	11	14	9	16	13	13	16	15	16	18	20	21	23	23	27	27	25	29	3	0	2	2	2	3	4	6	5	4	4	6	5	18	10	5	13	5	9	18	15	16	26	18	29	20	22	29	27	27	28	0	32	33	33	34	38	35	36	1	1	1	3	2	1	1	1	1	1	2	2	3	1	1	2	1	1	2	2	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	1	1
62500	-225.235724508861693	-231.174921727946924	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.736296020713433	2	-1	1	1	3	3	6	7	6	7	7	7	7	7	9	8	9	8	10	10	11	12	13	11	16	11	14	15	14	16	17	20	22	23	25	26	26	27	27	3	0	2	2	4	3	2	6	5	2	5	6	5	7	9	7	9	14	10	9	17	17	26	18	29	20	22	27	22	27	28	0	32	33	33	34	35	35	36	1	1	1	1	1	1	3	2	2	4	2	2	2	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
