step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39
10000	-219.362560606099464	-225.301757825184694	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.803728330464791	0	-1	2	3	3	3	7	5	6	7	7	7	9	8	9	9	10	8	11	9	11	11	13	10	16	12	15	14	16	18	18	20	22	24	23	25	25	26	29	2	0	1	2	2	3	9	6	5	5	5	6	7	11	7	10	15	7	13	14	15	16	26	18	22	14	22	22	28	29	29	0	32	33	33	34	35	35	36	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2
10500	-231.518587100901357	-237.457784319986587	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.801254122155930	1	0	2	2	2	3	5	5	5	8	7	6	9	7	7	8	10	8	8	10	11	12	14	11	16	12	13	16	15	15	18	21	22	24	24	26	27	26	29	2	0	1	2	2	3	5	6	5	15	1	8	9	9	9	15	10	14	9	14	15	16	26	18	22	20	22	22	22	27	22	0	32	33	33	34	35	35	36	1	1	1	1	1	1	2	1	2	1	3	1	2	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	1	3	1	1	1	1	1	2	1	2
11000	-242.478740510771757	-248.417937729856988	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.706330712855344	1	0	2	3	3	3	6	6	6	7	7	7	7	7	9	9	9	8	11	10	12	11	11	11	16	13	14	15	13	17	17	19	22	24	24	26	26	24	29	2	0	1	2	2	3	1	6	5	7	7	8	9	9	10	10	10	14	9	18	16	16	18	18	29	23	29	29	22	29	28	0	32	33	32	34	35	33	36	1	1	1	2	2	1	3	2	2	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	2	1	1	1	1	3	2	1	2	1	3	1	1	1	1
11500	-251.920363827867362	-257.859561046952592	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.523410495047699	1	-1	2	3	1	4	7	7	4	8	6	8	9	7	8	7	9	8	12	10	12	11	10	10	17	13	14	15	15	18	18	20	21	23	24	26	26	27	29	2	0	1	2	2	3	5	6	5	5	9	8	14	9	16	5	7	14	13	18	17	16	14	18	28	14	16	22	22	25	25	0	32	33	33	34	35	35	34	1	1	1	2	1	1	3	1	2	4	1	1	1	2	1	3	1	1	1	1	1	2	2	1	1	2	3	2	1	1	1	1	1	1	1	1	1	2	3
12000	-249.853508858632694	-255.792706077717924	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.676464766392702	1	0	2	3	3	4	6	6	5	5	7	7	8	7	10	8	9	8	11	9	12	12	13	10	16	11	13	16	15	18	19	19	22	24	25	26	27	27	29	2	0	1	2	2	3	5	6	5	5	5	8	9	9	16	10	10	5	24	7	10	10	26	18	21	20	16	22	27	25	25	0	32	33	33	34	35	35	34	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	2	2	2	1	2	3	5	1	2	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2
12500	-242.658232993495773	-248.597430212581003	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.764875965767282	1	-1	2	3	3	4	6	6	6	8	7	8	8	7	8	9	10	7	11	9	11	12	13	11	16	12	15	14	13	18	17	20	22	23	24	26	26	26	30	2	0	1	2	2	3	1	6	5	9	9	6	7	7	7	15	15	7	9	14	16	17	20	18	28	20	22	22	16	25	28	0	32	33	33	34	35	35	34	1	1	1	2	2	1	3	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	2	1	2	3	1	2	1	2	1	1	1	1	2	1	1	3
13000	-237.035577270475642	-242.974774489560872	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.741819383277630	0	-1	2	2	2	3	6	7	4	6	8	7	7	6	9	8	9	9	12	10	11	11	13	11	17	12	14	16	15	17	18	21	23	24	25	25	26	27	28	2	0	1	2	2	3	9	6	5	5	9	6	9	9	7	10	9	14	13	14	15	16	26	20	22	20	22	29	27	27	27	0	32	33	33	34	33	35	34	1	1	1	1	1	1	1	1	1	2	3	2	1	1	1	1	2	2	2	2	1	1	1	1	3	1	2	1	1	2	2	1	1	1	1	1	2	2	2
13500	-211.206793709067682	-217.145990928152912	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.889621646276304	2	0	1	2	4	4	5	6	6	7	7	7	8	7	9	8	9	9	11	8	11	11	13	11	15	10	13	16	16	15	18	20	22	24	24	25	25	26	29	3	0	2	2	4	3	5	6	5	7	7	6	9	9	10	10	10	14	13	14	15	16	26	14	27	20	22	25	30	27	28	0	32	33	33	33	35	35	36	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1
14000	-222.341560571125569	-228.280757790210799	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.675723987112113	1	0	2	2	2	4	6	6	5	7	8	7	8	8	8	8	8	9	12	10	9	12	14	11	17	12	14	16	15	16	18	20	22	24	24	26	27	26	30	2	0	1	2	2	3	5	6	5	5	5	8	7	7	5	7	7	14	13	14	17	15	26	10	22	20	22	29	27	27	25	0	32	33	33	34	35	35	36	1	1	1	1	1	1	2	1	2	3	2	1	1	1	2	1	1	1	2	1	1	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2
14500	-264.954848529069295	-270.894045748154497	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.686170421699030	0	-1	1	2	2	3	6	5	5	6	8	6	8	5	10	7	9	8	11	8	12	11	14	11	16	12	14	14	15	17	18	20	21	24	23	25	26	26	29	2	0	1	1	2	3	5	6	5	5	2	8	10	5	4	7	5	5	20	14	15	17	26	14	28	11	22	22	22	29	27	0	32	33	33	34	33	35	36	1	1	1	1	1	1	3	1	2	2	5	1	1	2	2	1	3	2	2	2	1	2	1	2	1	2	2	1	2	1	2	1	1	1	1	1	3	1	2
15000	-221.399589738143533	-227.338786957228763	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.659455944783913	1	0	2	2	3	4	5	5	6	7	7	7	7	7	9	8	10	8	12	8	12	12	12	10	16	13	14	15	14	17	18	19	22	24	24	26	27	27	28	2	0	1	2	2	3	2	6	5	7	5	8	9	9	10	10	15	14	13	9	15	16	20	18	29	23	22	29	22	22	28	0	32	33	33	34	35	35	34	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3
15500	-212.487826040984316	-218.427023260069546	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.928286404247800	1	0	2	4	3	4	6	6	4	5	7	8	8	7	8	9	8	8	10	10	11	11	13	11	13	12	14	15	15	17	17	21	23	24	25	26	26	27	28	2	0	1	2	2	3	9	6	5	5	4	8	9	9	10	7	7	14	13	18	15	16	26	18	22	20	22	25	25	27	25	0	32	32	33	34	35	35	36	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1
16000	-233.228122882398111	-239.167320101483341	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.727943739615546	1	-1	2	2	3	3	5	6	6	7	7	6	9	7	9	8	9	8	12	9	11	12	13	9	16	10	14	16	14	16	19	20	23	24	25	27	27	27	29	2	0	1	2	2	3	5	6	5	5	9	6	5	5	7	7	10	5	15	14	15	16	26	14	29	14	22	29	22	27	25	0	32	33	33	33	35	35	36	1	1	1	2	2	1	1	2	2	2	1	2	2	2	2	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	2	1	2	1	1	2	1	2	1
16500	-229.654705016812585	-235.593902235897815	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.747843049996670	1	0	2	1	3	3	5	6	5	6	7	7	7	7	9	9	10	9	11	9	11	11	11	11	17	12	15	16	15	17	17	21	23	24	25	26	25	26	28	2	0	1	2	2	3	5	6	5	5	7	6	7	9	10	10	10	9	13	14	15	16	18	20	22	18	22	27	22	29	28	0	32	32	33	33	33	35	36	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	2	1	1	1	1	1	3	2	2	1	2	1	1	1	1	2	2	1	1	1	1
17000	-235.132842955287202	-241.072040174372432	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.837108819469222	1	0	2	2	4	3	6	7	5	7	7	6	8	7	8	9	10	9	11	9	9	12	10	11	15	12	14	16	16	17	18	19	22	24	24	26	27	26	29	2	0	1	2	2	3	9	12	5	5	5	6	5	9	10	11	15	14	17	14	13	10	20	14	27	23	22	25	25	22	30	0	32	33	33	34	35	35	34	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	3	1	1	2	1	1	2	2	1	2
17500	-223.519189025340751	-229.458386244425981	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.860551843534384	1	-1	2	3	4	4	6	6	3	6	8	7	9	7	8	9	9	8	11	9	10	11	11	9	15	13	14	15	12	18	17	21	23	23	25	27	27	26	28	2	0	1	2	9	3	5	6	2	9	5	8	7	7	10	10	10	14	13	18	15	16	20	14	22	23	29	27	22	27	28	0	32	32	33	34	35	35	33	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2
18000	-221.634753664648514	-227.573950883733744	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.665809665681355	2	-1	1	3	3	3	6	6	5	7	7	8	8	8	9	8	10	7	11	10	12	12	11	11	16	13	14	15	13	17	17	21	22	24	24	26	27	27	30	3	0	2	3	2	3	5	6	5	9	9	6	18	18	10	10	7	7	13	18	17	16	18	20	29	23	29	29	22	27	28	0	32	33	33	34	35	35	36	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2
18500	-245.246560931287291	-251.185758150372521	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.732147093498294	1	0	2	3	4	3	6	6	6	7	7	7	7	7	9	9	9	8	12	9	11	12	11	11	17	13	15	16	14	17	19	21	23	23	24	26	26	26	28	2	0	1	2	2	3	5	6	4	5	5	6	9	9	10	10	7	14	13	7	16	16	20	14	22	23	22	29	22	29	25	0	32	32	33	32	35	32	36	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	2	1	2	1	1	1	2	1	2	1	1	1
