step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34
5000	-196.595626496525483	-195.062525274083669	-1.533101222441801	0.000011535077480	0.000013689236878	1.186748585050820	0.870232513594920	0	2	5	5	2	5	5	3	6	6	5	9	8	7	7	8	7	9	7	7	7	10	8	9	11	9	13	11	11	10	11	12	15	17	0	1	8	2	1	8	5	5	2	7	5	21	6	10	11	10	11	15	0	8	6	6	10	17	19	19	16	12	22	23	26	28	30	32	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	2	1	1	1	2	1	2	2
5500	-202.563602750731235	-200.782822026113649	-1.780780724617578	0.000013196878351	0.000023642694980	1.791536933991906	0.748306951476250	0	2	4	4	2	6	4	4	6	6	5	8	8	8	7	8	7	9	7	6	9	10	8	10	11	9	14	10	11	11	11	12	14	16	0	1	5	2	1	3	5	5	2	7	8	20	6	10	11	10	11	15	0	5	20	13	10	11	19	19	30	21	22	23	26	28	30	32	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	2	1	1	2	2
6000	-187.704819075438479	-185.970448088525956	-1.734370986912515	0.000015546059227	0.000026094588727	1.678533983795214	0.734756781042841	0	2	6	4	3	5	4	4	6	5	5	8	8	8	7	8	7	9	8	7	9	10	8	9	12	9	12	12	12	12	11	10	14	16	0	1	8	2	1	8	5	5	2	7	5	3	6	10	11	10	11	15	0	3	12	13	10	17	19	19	23	32	22	23	26	21	23	28	1	1	1	1	2	1	1	1	3	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	3	3
6500	-176.266255347708750	-174.883202230598187	-1.383053117110567	0.000038342810311	0.000028433929116	0.741571337225995	0.650901874225576	0	1	5	3	3	5	4	4	5	6	5	8	8	7	6	8	8	8	8	7	9	10	8	10	11	10	13	10	11	12	11	12	14	17	0	1	5	2	1	5	5	5	2	3	5	6	3	10	11	10	11	15	0	8	12	13	10	17	19	19	10	21	22	23	26	28	23	28	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	2	3	1	1	2	1	1	3	4
7000	-171.625131669146953	-170.164349192994507	-1.460782476152450	0.000071880548477	0.000023420866945	0.325830387232107	0.727068163079072	0	2	6	4	3	6	4	4	5	6	5	9	7	8	7	8	8	8	8	8	9	11	9	10	11	9	13	11	12	11	11	12	13	15	0	1	8	2	1	5	5	5	4	5	5	6	6	10	11	10	11	15	0	5	6	13	10	17	19	19	30	21	8	23	26	12	30	32	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	4	2	2	2	1	1
7500	-173.217126989245457	-171.781037871575705	-1.436089117669764	0.000079400964460	0.000027856288377	0.350830604714039	0.737886271398780	0	2	4	5	3	5	4	1	5	6	5	7	7	7	8	8	7	9	8	8	8	11	9	9	11	10	12	11	12	11	11	11	14	16	0	1	8	2	8	8	8	1	2	7	5	6	3	10	6	10	11	15	0	3	12	13	10	17	19	19	16	21	22	10	26	12	30	28	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	1	1	2	1	2	1	2	2	3
8000	-178.214929927216190	-176.592559949156851	-1.622369978059331	0.000112710101489	0.000026004492643	0.230720159941133	0.643369536730732	0	1	4	3	1	5	4	3	7	6	5	9	7	8	7	8	7	9	7	8	10	10	9	9	9	9	13	11	11	9	11	12	15	17	0	1	8	2	1	8	8	5	4	7	8	13	6	10	11	10	11	15	0	13	12	13	16	17	19	19	23	21	22	10	19	28	27	32	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	2	2	2	1	1	2	2	1	1	2
8500	-176.679720099754405	-175.177884420110615	-1.501835679643802	0.000109474891442	0.000032117172510	0.293374782897430	0.729646458052632	0	2	5	4	2	6	4	3	6	6	5	10	7	8	7	9	7	8	8	8	9	10	8	8	12	9	12	12	11	11	11	11	15	15	0	1	5	2	1	3	5	5	4	3	8	21	6	3	3	10	3	11	0	7	6	20	10	3	26	19	16	12	22	23	26	20	23	32	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	2	2	1	2	1	2	3	2
9000	-170.188355151363055	-168.436009930838907	-1.752345220524157	0.000104359800433	0.000019672759287	0.188508977643706	0.866398796132743	0	2	5	4	4	5	4	3	6	6	6	8	7	8	8	7	8	9	8	8	9	10	9	9	12	9	13	11	12	12	11	12	14	15	0	1	8	2	8	5	8	1	2	7	5	6	6	10	11	10	11	15	0	6	12	6	16	5	19	19	22	21	22	23	26	28	23	32	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	2	1	2	1	1	2	1	1	2	2
9500	-164.093160636198888	-162.719722562078147	-1.373438074120743	0.000094198810892	0.000044010535651	0.467209036230834	0.860539874191341	0	2	6	4	2	6	4	4	6	6	6	8	7	8	6	8	8	9	8	7	10	10	8	10	10	9	13	12	12	9	11	11	12	16	0	1	8	2	1	8	5	5	2	7	8	6	6	10	8	10	11	17	0	8	12	12	10	17	19	19	16	21	22	10	26	20	30	28	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	2
10000	-167.564750460339553	-166.152586039688572	-1.412164420650981	0.000097713892724	0.000037301261346	0.381739589997921	0.874134650933481	0	2	4	5	2	5	5	4	4	7	6	9	7	8	9	9	7	7	8	6	9	9	8	9	10	10	11	11	11	11	11	11	14	16	0	1	5	2	1	8	3	5	2	7	3	13	7	10	18	23	11	11	0	3	6	13	10	17	19	19	16	12	22	23	26	12	30	28	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	2	1	1	1	3
10500	-161.565066141290600	-159.816250916517987	-1.748815224772619	0.000084746231885	0.000016055467255	0.189453464750393	0.770741613655127	1	3	5	4	3	5	4	2	7	6	5	9	7	7	8	7	7	7	8	9	9	9	9	10	10	10	13	11	11	11	11	12	14	16	0	1	8	2	8	5	8	1	2	7	5	6	3	10	18	10	11	11	0	17	3	13	16	11	19	19	10	21	22	23	26	12	30	32	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	4	1	1	1	1	2	1	2
11000	-180.917008313818258	-179.303162988144692	-1.613845325673561	0.000108836036502	0.000025486483874	0.234173208549123	0.710670629652420	1	3	6	4	4	5	4	3	5	6	5	9	8	7	8	8	7	5	8	8	10	9	9	9	12	10	13	11	12	11	11	11	12	16	0	1	5	2	8	5	8	1	5	7	8	3	3	10	18	8	11	8	0	10	13	3	10	17	26	19	16	16	13	16	26	12	23	21	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	2	1	1	1	2	1	2	2	1	1	2	3
11500	-178.041870773481605	-176.640511392912543	-1.401359380569053	0.000079589045067	0.000031769298147	0.399166720996996	0.806732273280848	-1	3	4	4	2	5	4	3	6	5	5	9	7	7	7	8	7	8	8	9	9	10	8	9	11	9	13	12	12	12	11	11	15	16	0	1	5	1	1	8	8	1	4	7	8	6	6	10	11	10	11	15	0	11	3	13	10	17	19	19	30	32	22	23	26	12	30	32	1	2	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	3	1	2	1	1	2	1	1	1	1	2	1	1	2	3
12000	-158.007404731198363	-156.645424448352344	-1.361980282846008	0.000059549303721	0.000036024725411	0.604956282609993	0.817695105657744	0	2	5	4	2	5	3	3	6	6	6	8	7	7	9	9	6	7	8	8	9	10	9	10	10	9	13	11	12	10	11	12	14	16	0	1	8	2	1	8	5	5	4	7	8	6	6	10	18	10	3	11	0	8	12	13	10	11	19	19	16	21	22	23	26	28	30	28	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	1	1	2	2
12500	-194.840855279691880	-193.429663942173306	-1.411191337518575	0.000126528845267	0.000048485659316	0.383198465248082	0.627466143313162	0	2	5	5	4	5	2	3	6	5	5	9	6	8	9	7	7	9	8	7	8	10	8	8	12	10	13	10	8	11	11	12	14	15	0	1	8	2	8	8	1	7	1	7	8	21	6	20	8	10	11	20	0	8	6	3	9	17	19	19	30	12	9	23	26	28	30	28	1	1	1	1	1	2	1	1	3	2	1	1	1	1	3	1	1	2	1	2	1	3	1	1	2	1	1	1	1	2	1	1	2	3
13000	-176.365224752079570	-174.918661945907758	-1.446562806171800	0.000097751808869	0.000033192797709	0.339561979396142	0.778235391023352	1	2	4	4	2	4	4	4	6	5	5	9	7	7	8	7	7	6	8	9	9	10	9	9	10	9	12	12	10	11	11	11	14	16	0	1	5	2	1	5	5	5	4	7	8	6	6	10	18	10	11	11	0	3	13	6	16	17	19	19	30	32	13	23	19	13	23	32	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	3	2
13500	-185.347356679341829	-183.872343144570266	-1.475013534771575	0.000109029069663	0.000034184519767	0.313535829230074	0.640806659078327	0	2	6	4	2	5	4	3	6	6	4	10	7	8	7	7	8	9	8	8	9	10	9	9	12	9	12	10	12	12	10	11	13	16	0	1	8	2	1	5	5	5	4	7	5	21	6	16	11	10	7	15	0	8	3	20	17	11	19	19	16	3	17	23	26	21	30	32	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	3	2	1	2	3	2	1	1	2	1	2
14000	-159.247500057516021	-157.676824111937975	-1.570675945578054	0.000113122363733	0.000028679389416	0.253525372606909	0.786173912897149	0	2	4	4	2	6	4	5	5	6	5	9	8	7	7	9	7	9	8	8	10	10	8	10	10	9	12	12	11	11	11	10	13	15	0	1	5	2	1	3	5	3	4	7	5	13	6	10	11	10	11	15	0	8	20	13	10	6	19	19	16	32	22	23	26	20	30	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	2
14500	-172.694533837681234	-171.089943354420143	-1.604590483261081	0.000122575122343	0.000029178847523	0.238048691817683	0.753831755842475	-1	1	4	3	2	6	4	3	7	6	5	10	8	7	7	8	8	9	7	9	8	11	8	10	11	9	13	10	12	11	11	12	14	16	0	1	5	2	1	3	5	5	4	7	8	21	6	10	11	10	11	15	0	3	6	13	10	17	19	19	30	21	20	23	26	28	30	12	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	2	2	1	1	2	2
15000	-198.586155312572487	-197.053064767386786	-1.533090545185687	0.000113943852912	0.000031171719606	0.273570875559974	0.526536479978157	0	2	5	5	3	5	5	5	6	7	5	9	8	8	8	6	7	8	9	8	7	11	7	9	11	10	14	11	11	11	11	11	14	16	0	1	5	2	1	5	1	1	2	16	5	21	8	10	11	7	8	5	0	8	7	13	5	11	19	19	30	6	5	11	26	12	30	32	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	3	1	1	1	1	2	2	1	1	2	3	3	3	1	1	2	2
15500	-187.395066829065172	-185.738806535262711	-1.656260293802458	0.000131343055358	0.000028630506965	0.217982647705808	0.775957272350549	0	2	6	3	2	4	5	4	6	4	5	9	6	7	8	7	7	7	8	8	10	8	9	8	12	9	12	11	12	11	12	12	13	17	0	1	8	2	1	5	5	5	4	5	8	13	6	10	18	7	11	11	0	3	12	13	16	16	19	19	23	12	22	23	26	12	32	32	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	3	3	1	2
16000	-182.336166269486995	-180.865880654545379	-1.470285614941608	0.000107991984562	0.000034285180210	0.317478934650906	0.818381319656711	0	2	5	4	2	5	4	3	7	5	4	7	7	6	8	9	8	7	8	8	8	10	8	10	11	10	11	10	11	12	11	12	15	16	0	1	5	2	1	8	5	5	2	7	5	6	6	10	18	10	11	8	0	12	9	6	10	17	19	19	16	21	21	23	26	28	30	32	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	2	2	1	1	1	2	2	1	2	1	2	1	2	2	1	1	2	2
16500	-187.632601684937782	-186.186941139123689	-1.445660545814082	0.000114451486997	0.000038969650520	0.340490556677693	0.660228907495220	1	2	6	5	3	5	4	4	6	6	5	9	6	8	8	8	8	7	7	8	9	10	8	10	11	9	12	10	11	11	11	11	14	16	0	1	8	2	1	8	2	5	2	5	5	20	6	10	18	10	10	7	0	10	6	20	4	20	26	19	21	5	22	21	26	21	30	20	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	2	4
17000	-164.041239841925687	-162.575148229045226	-1.466091612880456	0.000087323337567	0.000028038773120	0.321091404677661	0.833426287528367	0	2	6	3	3	5	5	4	5	6	5	8	7	8	7	8	7	9	7	6	10	10	8	9	11	9	12	12	12	10	12	11	14	16	0	1	8	2	1	5	8	5	4	7	5	6	6	10	11	10	11	15	0	7	12	20	10	17	19	19	23	21	22	23	26	12	23	28	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	3	2
17500	-177.244881656674949	-175.723462408900787	-1.521419247774151	0.000126090909477	0.000035378351651	0.280578130479892	0.865170623479747	0	3	5	5	2	6	4	4	6	6	6	8	6	8	8	8	7	9	8	8	9	10	8	9	12	10	13	12	11	11	11	12	14	17	0	1	5	2	1	3	5	5	2	7	3	6	3	10	4	10	11	15	0	3	4	24	10	17	26	19	21	12	11	23	26	21	30	28	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	2
18000	-167.755596636523421	-166.078353019970109	-1.677243616553305	0.000092748869681	0.000019550841007	0.210793307499174	0.792611471953492	0	2	5	4	2	5	4	5	5	6	4	8	7	7	6	8	6	8	9	6	9	9	8	9	12	10	13	10	12	10	12	12	14	14	0	1	5	2	1	5	5	5	2	8	5	6	6	10	11	10	11	15	0	3	12	13	10	17	19	19	23	12	22	23	26	28	30	32	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	2	2	1
18500	-183.179198749560101	-181.665772920891385	-1.513425828668704	0.000080815493538	0.000023083578747	0.285633085142354	0.662397578653548	0	2	5	5	3	5	5	4	6	6	4	9	7	7	6	8	6	9	8	7	9	9	8	10	10	10	13	11	11	11	11	11	14	15	0	1	5	2	1	5	8	5	2	8	5	6	6	10	11	10	5	15	0	8	6	13	10	5	19	19	10	6	22	23	26	20	30	32	1	2	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	2	2	1	1	3	1	2	3	3	1	2	1	2	2	2
19000	-176.371128081927452	-174.951649989108660	-1.419478092818802	0.000107210499604	0.000039813066485	0.371354173630823	0.860993085814005	0	2	5	4	2	4	5	4	6	7	5	10	6	8	7	8	7	9	8	8	8	8	8	9	12	9	13	12	12	11	11	11	15	17	0	1	8	2	1	5	5	5	2	8	8	20	7	10	7	10	11	15	0	11	13	7	7	20	19	19	30	21	21	23	26	21	30	32	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	1	2	1	3
19500	-177.085190374113353	-175.632620015183846	-1.452570358929510	0.000143625654137	0.000047908036059	0.333561830211535	0.846625284712513	0	2	5	4	2	6	5	4	6	6	5	7	7	7	9	8	6	9	8	7	9	10	8	9	10	9	13	11	10	12	11	11	14	16	0	1	5	2	1	8	8	5	2	7	8	9	6	7	11	10	11	11	0	3	12	13	10	17	19	19	20	21	6	9	26	12	30	28	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	2
20000	-187.400109676007645	-186.011793480470629	-1.388316195537004	0.000068739571059	0.000029217234190	0.425042428109502	0.677421293037587	0	2	6	4	3	5	4	4	5	5	5	8	7	7	8	9	7	9	7	7	6	11	9	10	11	9	12	12	10	11	11	11	13	15	0	1	8	2	1	5	5	5	2	7	5	3	6	10	5	10	5	15	0	8	5	13	10	17	19	19	16	12	12	23	26	21	23	28	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2	2	2	1	3	2	1	1	1	3	1	1
20500	-173.689836087437016	-172.238651214649821	-1.451184872787202	0.000087538757498	0.000029318337000	0.334918358879688	0.796100592577483	0	2	5	4	2	6	4	4	6	6	5	9	8	8	8	9	7	8	8	9	7	9	9	10	10	9	12	11	11	12	11	12	14	16	0	1	5	2	1	8	5	5	4	7	5	21	8	10	17	10	11	8	0	3	6	6	10	22	19	19	7	12	22	23	26	28	30	28	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	4	1	1	2	1	1	1	2
21000	-165.374727607710327	-163.971688433248858	-1.403039174461459	0.000084917111248	0.000033649531670	0.396263263968577	0.719965930720748	1	2	5	3	3	6	5	5	6	6	5	9	8	7	9	8	7	7	8	7	8	10	7	10	12	9	13	10	12	11	11	12	13	15	0	1	5	2	1	5	5	5	2	7	5	3	6	10	18	10	11	11	0	8	6	13	10	17	19	19	30	12	22	16	26	28	30	28	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	2
21500	-181.111069305043458	-179.308286653420367	-1.802782651623082	0.000132521078527	0.000023313707932	0.175924526053887	0.719379159221821	0	2	6	3	2	6	5	4	6	6	4	9	7	7	6	8	7	9	7	7	10	9	9	9	11	8	12	12	12	11	9	11	14	16	0	1	7	1	1	5	11	5	4	7	5	20	6	10	11	10	6	15	0	3	6	13	10	7	19	19	23	32	22	23	26	12	23	21	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1	2	2	1	1	2	3
22000	-167.698490069509205	-166.101489409835722	-1.597000659673495	0.000087036095435	0.000021004528604	0.241331237331192	0.638315279139779	1	2	6	4	3	5	4	4	6	6	5	9	8	8	9	9	6	7	8	8	10	10	8	9	10	10	13	11	9	12	12	12	15	15	0	1	5	2	1	8	5	5	4	7	8	6	6	10	18	10	11	11	0	3	12	13	10	17	19	19	16	12	8	23	26	28	30	21	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	3	2	1	1	2	2
22500	-185.067278250110547	-183.282243663181504	-1.785034586929043	0.000136005252388	0.000024503898210	0.180168763927904	0.661237516655199	0	2	6	3	2	5	3	4	7	5	5	9	8	7	9	8	6	8	8	7	10	10	9	10	10	10	13	11	11	11	12	11	14	17	0	1	4	2	1	5	5	1	2	7	5	11	20	10	18	10	6	3	0	6	13	16	10	11	19	19	8	21	22	23	26	9	30	28	1	1	1	1	1	2	1	3	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	4	1	1	1	1	2	2	3
23000	-168.131885964801967	-166.543333682851966	-1.588552281949989	0.000125129552471	0.000030669558056	0.245102435435669	0.820021155736938	0	2	4	4	2	6	4	5	6	6	5	9	8	8	9	9	7	8	8	8	10	8	8	10	10	10	13	11	11	11	11	11	14	15	0	1	5	2	1	11	5	5	4	7	3	6	9	10	18	10	11	9	0	3	12	6	10	17	19	19	16	12	22	23	26	12	30	32	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	1	1	2	1	2	2	1	1	2	2
