step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54
5000	-321.067665792155424	-327.923153743114824	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657871164951108	-1	1	2	3	3	1	3	3	6	7	5	2	7	5	5	8	6	7	8	9	11	10	9	9	12	12	12	13	14	16	17	18	15	16	16	18	20	20	19	21	21	23	20	22	21	21	23	21	24	25	27	27	26	28	0	1	1	2	6	1	6	1	3	4	5	6	3	4	4	11	11	2	4	13	24	3	17	10	23	10	13	20	27	28	27	30	26	22	0	30	30	33	35	30	36	48	39	39	32	43	41	38	42	44	49	53	42	53	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	1	1	2	2	1	1	3	2	1	2	3	3	3	2	2	2	1	1	4	1	1	1	2	1	3	2	1	1	2	2	1	1	1	1	2	2	1	1	1
5500	-309.128307738655735	-315.983795689615135	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.631890257139285	-2	0	3	2	4	2	4	2	6	8	5	4	6	6	4	8	7	7	8	9	9	10	10	9	12	12	12	15	13	17	15	17	15	16	18	18	19	21	19	19	21	23	20	21	20	22	23	23	23	25	27	27	25	27	0	1	1	2	6	1	6	1	3	13	5	6	4	4	4	11	11	15	14	13	10	24	17	14	17	24	24	14	24	34	29	34	26	33	0	30	28	45	35	33	33	38	39	39	32	43	40	45	45	44	49	53	48	53	1	1	2	1	2	2	1	2	2	2	1	1	2	2	1	1	1	1	1	2	1	1	2	2	3	1	2	4	1	1	1	1	2	1	1	1	2	1	1	2	3	1	1	1	1	1	2	1	2	3	2	1	1	1
6000	-298.167316002939458	-305.022803953898858	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.642494155179778	-1	0	1	1	3	1	3	3	5	9	4	4	7	6	5	8	7	6	8	8	11	10	9	9	11	11	13	14	13	14	16	18	14	15	18	19	19	20	19	21	22	23	22	21	21	21	23	21	23	23	27	27	26	28	0	1	1	2	6	1	6	1	3	19	5	6	15	2	4	11	11	15	13	14	24	13	17	13	23	14	24	20	21	26	27	34	13	33	0	33	30	32	35	36	40	48	46	39	38	39	36	32	48	39	49	53	42	53	1	1	1	1	1	1	1	2	2	1	1	2	1	2	2	2	2	1	1	1	1	2	1	1	2	2	2	2	1	2	2	2	3	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	2
6500	-318.614332973144030	-325.469820924103431	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746259880553255	-1	1	1	3	4	3	4	4	6	8	5	5	6	6	4	6	7	8	8	8	11	10	9	9	12	13	12	15	15	17	16	18	16	16	17	17	20	20	19	20	21	24	22	21	19	20	24	21	24	24	28	25	25	28	0	1	1	2	6	1	6	1	1	2	5	7	1	1	2	5	11	15	15	14	24	18	17	14	23	20	24	13	27	34	27	30	26	26	0	33	30	32	35	36	30	48	46	39	28	39	36	45	48	44	49	48	48	52	1	1	1	1	1	2	1	2	3	4	1	1	3	3	2	1	1	2	1	1	2	1	1	2	2	2	1	3	2	1	2	1	2	1	1	1	1	1	1	2	3	2	1	1	2	1	3	1	1	2	2	2	3	2
7000	-290.121908501373639	-296.977396452333039	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.695812120512896	-2	0	2	3	3	1	4	3	5	8	5	6	7	4	5	7	6	7	7	8	11	10	10	9	11	12	13	14	14	16	16	18	16	15	18	18	19	21	19	20	21	23	21	22	20	20	23	22	23	25	27	28	25	27	0	1	1	1	6	1	6	1	3	19	5	7	4	2	4	11	11	15	4	14	22	13	16	18	17	22	24	26	27	34	27	30	34	26	0	33	33	32	35	36	36	38	46	39	32	39	41	45	38	44	49	48	38	53	1	1	2	3	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	4	2	1
7500	-322.213126083207442	-329.068614034166842	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594074532369389	0	1	1	3	5	2	3	4	7	9	3	5	5	5	4	7	6	7	8	9	10	10	8	9	11	11	12	12	15	16	16	17	13	17	18	18	17	21	19	19	20	23	22	21	21	21	23	22	23	24	28	25	26	27	0	1	1	2	11	1	6	1	14	4	6	7	4	2	4	11	11	14	4	14	24	8	17	4	23	20	24	14	27	20	27	30	20	20	0	34	30	32	35	33	36	38	46	39	30	39	41	34	38	44	49	42	52	53	1	1	1	2	1	2	1	2	1	4	1	1	1	3	1	3	2	1	2	2	1	3	1	3	2	2	1	2	1	3	3	1	2	5	1	1	1	2	1	3	2	1	1	1	2	1	1	3	1	2	2	1	1	1
8000	-292.167684757200334	-299.023172708159734	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646756378296068	-1	1	0	3	5	1	3	4	6	8	4	5	6	6	6	6	7	8	8	8	8	9	10	10	11	12	12	15	15	17	16	17	16	15	17	18	20	19	19	18	21	24	22	22	21	21	24	22	24	25	27	27	26	28	0	1	1	2	11	1	6	1	3	9	6	7	2	4	2	11	5	13	13	9	4	13	17	21	17	20	24	26	27	34	27	34	26	26	0	33	36	32	35	33	40	48	46	39	38	39	41	38	48	44	49	42	48	53	1	2	1	1	1	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	3	1	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	2	2	1
8500	-274.396618030792297	-281.252105981751697	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.791102494198123	0	1	2	2	4	2	3	3	7	8	4	5	6	5	5	6	5	7	9	8	10	10	7	8	11	12	13	14	14	17	16	17	16	14	18	18	20	19	19	20	21	24	22	21	21	21	24	22	24	24	26	28	26	26	0	1	1	2	6	1	6	1	3	14	6	6	4	8	4	11	11	15	10	14	20	10	17	13	23	20	24	26	27	34	29	34	34	26	0	33	30	32	35	36	36	48	46	39	38	39	41	30	48	44	49	53	48	48	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	2	2	2	1	2	2
9000	-301.170736741928522	-308.026224692887922	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.720683085105556	0	1	2	3	5	2	3	2	7	8	3	5	7	6	4	7	7	7	8	9	10	11	8	9	11	13	13	15	14	17	16	18	17	16	18	18	19	20	19	21	21	23	22	22	22	21	22	21	23	25	26	28	25	27	0	1	1	2	11	1	6	1	3	14	6	6	14	15	1	11	14	14	14	13	14	24	17	14	23	13	24	26	27	34	29	30	34	20	0	33	33	32	35	36	36	48	46	39	38	39	36	38	48	44	49	48	42	42	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	2	1	1	1	2	2	1	1	3	2	2	2	1	1	1	1	1	1	3	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	2	3	1	2
9500	-291.756217521505562	-298.611705472464962	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.781326295567140	0	1	3	3	5	2	4	3	6	8	3	5	5	6	5	7	6	7	8	8	10	10	8	10	12	13	11	14	13	15	16	17	17	16	17	19	19	20	19	20	21	24	22	22	22	20	23	21	23	25	27	28	26	28	0	1	1	2	11	1	6	1	3	14	6	6	2	13	2	11	11	4	9	13	19	3	17	19	23	20	13	26	27	26	29	30	30	30	0	33	30	32	35	36	36	48	46	39	38	39	36	38	48	44	42	53	42	42	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	1	1	1	1	3	1	1	2	3	3	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	2	1	1	2	2	1	1	2
10000	-298.761436804026118	-305.616924754985519	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.639112930609879	-1	0	2	2	5	2	3	3	7	8	4	6	6	4	5	7	6	7	8	8	11	10	7	9	9	12	14	13	15	14	17	17	16	17	18	18	20	20	19	20	21	23	20	22	21	21	23	21	23	24	27	27	25	28	0	1	1	2	11	1	6	1	3	4	6	6	2	2	2	5	11	15	13	13	24	19	17	13	17	13	24	26	27	26	29	33	30	30	0	34	34	32	35	36	36	38	39	39	32	43	41	32	48	44	49	53	42	53	1	1	2	1	1	1	1	1	2	2	2	1	3	1	2	1	1	1	1	1	1	1	1	3	2	3	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	3	1	2	2	1	2	2	1	2	2
10500	-286.997919057233048	-293.853407008192448	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711375815257735	-1	0	2	2	5	1	3	3	6	8	4	5	7	6	5	7	6	7	9	8	10	10	8	8	10	12	11	14	13	16	17	18	17	17	17	18	18	21	18	20	20	24	21	21	22	22	22	22	24	23	27	28	26	27	0	1	1	2	11	1	6	1	3	15	7	7	14	3	2	11	11	4	13	14	24	13	17	13	23	20	9	15	27	28	29	34	30	30	0	33	30	32	35	33	36	48	39	39	38	43	41	32	48	44	49	53	42	53	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	4	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	2	1	1	1
11000	-271.940175796696508	-278.795663747655908	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.723483450496137	-1	0	2	2	5	2	4	3	5	8	4	5	6	6	4	7	6	7	8	8	10	10	10	8	10	12	12	13	14	13	17	18	16	16	18	18	20	19	19	18	22	23	21	21	21	22	23	22	23	24	26	27	26	28	0	1	2	2	11	2	6	1	3	13	6	6	4	4	4	11	11	1	18	14	24	24	17	4	17	20	24	26	27	26	29	33	30	30	0	34	34	32	35	33	36	48	39	39	38	43	41	45	48	44	49	42	48	53	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	3	1	1	1	1	2	2	1	2	2	1	1	1	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1
11500	-280.564620992336756	-287.420108943296157	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.744962844253959	-1	1	2	3	5	3	4	3	5	8	4	5	6	5	5	6	6	7	9	8	11	10	8	9	11	12	12	14	15	16	17	17	16	16	18	18	18	19	19	20	21	24	20	21	21	22	22	22	24	25	27	28	26	28	0	1	1	2	11	1	6	1	3	13	6	6	14	4	4	11	11	14	10	14	24	13	17	13	17	22	24	26	27	20	29	30	26	26	0	33	34	32	35	34	36	48	39	39	38	43	40	38	48	44	49	53	42	53	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2	1	2	3	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	1	1
12000	-275.439593394822339	-282.295081345781739	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.776696463237926	-1	1	2	3	4	1	4	3	6	7	5	6	4	6	5	7	7	8	8	9	10	10	9	9	11	13	12	14	14	16	16	17	14	17	17	18	19	19	20	20	21	24	21	21	22	22	22	22	23	24	27	25	26	27	0	1	1	2	6	1	6	1	3	14	5	6	2	4	4	11	11	14	14	14	24	18	17	10	23	20	21	26	27	33	29	33	20	30	0	33	30	32	35	36	36	48	39	39	38	43	41	38	48	44	49	48	42	53	1	1	1	1	2	1	2	2	2	1	1	3	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	2	1	1	2	1	1	2	1	1	2	1	1	1
12500	-326.228456963361282	-333.083944914320682	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.743954217583657	0	1	2	3	4	2	3	3	6	9	4	5	4	6	5	8	6	7	9	8	10	10	10	9	12	13	12	14	14	16	16	18	14	16	17	19	19	19	19	21	21	24	20	21	22	21	22	21	23	25	27	25	24	27	0	1	1	2	6	1	6	1	3	20	6	6	2	13	2	11	11	15	14	14	18	20	17	14	23	10	21	26	27	22	19	30	26	33	0	32	30	30	35	36	30	48	39	39	38	43	40	38	32	44	49	42	48	42	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	2	2	2	2	1	2	1	1	2	1	1	1	2	3	1	1	2	1	1	3	1	1	1	3	2	1	1	1	1	1	1	2	2	2	1	2	2
13000	-298.895670519949647	-305.751158470909047	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583374564069237	-1	0	2	2	5	2	3	3	6	9	4	3	7	6	5	6	6	7	9	9	11	9	8	9	12	13	12	15	15	17	16	18	17	14	18	19	19	20	19	20	21	24	21	21	22	22	22	22	24	24	27	27	26	27	0	1	1	2	11	2	6	1	3	14	6	6	9	1	4	11	11	4	18	13	19	13	17	15	23	20	24	20	27	34	29	30	26	10	0	33	30	32	35	33	36	32	39	39	38	43	41	32	48	35	49	48	42	42	1	1	2	1	1	1	1	2	2	2	1	1	1	4	2	1	1	3	1	1	1	1	1	2	2	2	2	3	1	1	1	1	3	2	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	2	2	3	2	2
13500	-269.729465809124690	-276.584953760084090	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.868933129678089	0	1	2	3	5	2	4	3	6	8	4	5	6	6	4	7	6	8	8	8	10	9	9	8	10	11	12	14	14	16	16	18	15	15	18	18	19	20	19	21	20	23	20	21	21	21	22	22	23	23	27	26	26	28	0	1	1	2	11	1	6	1	3	9	6	6	15	15	2	5	11	14	13	14	18	13	17	13	23	20	22	20	27	34	29	34	26	28	0	33	30	32	35	36	36	48	39	39	32	43	41	38	48	44	49	48	42	53	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	2	2	1
14000	-306.887168115787802	-313.742656066747202	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.627257137298402	-1	1	3	2	5	1	3	3	5	7	4	5	7	6	6	7	5	5	9	8	11	11	9	10	11	12	12	14	14	17	16	17	15	14	18	18	18	20	19	20	22	24	22	21	21	21	23	23	23	24	26	28	26	28	0	1	2	2	11	1	6	1	3	2	6	6	2	1	2	11	11	2	15	14	19	9	11	13	23	20	24	26	27	34	29	33	14	26	0	30	34	32	35	36	36	49	39	39	33	39	41	38	45	44	49	42	48	53	1	1	1	1	1	1	1	2	2	2	2	1	4	4	3	1	1	2	2	1	1	3	1	2	1	2	1	1	1	2	2	1	4	1	1	1	2	2	1	1	2	1	2	1	3	1	1	2	1	2	2	2	2	1
14500	-315.591159141191895	-322.446647092151295	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.620637376598162	0	1	2	2	5	2	4	4	5	8	3	4	6	5	6	7	6	4	8	8	10	9	7	9	12	12	13	15	14	17	16	18	16	14	18	18	17	20	19	18	21	24	21	22	21	22	22	21	23	24	27	26	26	25	0	1	1	2	11	1	6	4	3	14	6	6	2	2	18	5	11	4	13	14	9	14	17	14	17	22	24	10	27	33	29	28	34	14	0	33	34	32	35	33	36	48	39	39	32	43	41	32	48	39	49	42	42	48	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	2	1	2	2	1	2	3	2	2	3	1	1	1	2	1	5	1	1	2	2	1	1	2	2	1	2	2	1	1	1	1	1	3	1	1	2
