step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39
5000	-324.673647660196877	-322.315404321095855	-2.358243339100995	0.000015774493127	0.000052529325645	3.330016706303689	0.772097835269632	2	0	1	3	3	3	5	4	6	7	5	8	9	7	10	8	9	9	11	10	10	11	12	11	13	13	14	16	15	18	18	21	22	23	23	25	26	25	28	3	0	2	2	2	3	5	6	7	7	5	8	9	9	10	10	10	14	13	14	5	16	20	14	22	23	25	25	25	27	28	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	2
5500	-296.846691355902180	-295.293376341613850	-1.553315014288326	0.000026115469035	0.000032317149554	1.237471534971052	0.764385306270670	2	0	1	2	3	3	5	6	6	6	7	7	8	8	9	8	9	9	11	9	11	11	10	12	13	12	15	15	16	18	18	21	21	23	23	26	25	26	28	3	0	2	2	2	3	5	6	5	7	5	8	9	9	10	10	10	14	13	14	10	16	20	14	22	23	25	25	25	27	28	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	3	2	1	2	1	1	1	2	1	1	1	1	1	2	2	1	2	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1
6000	-267.751030854552084	-266.262589472562752	-1.488441381989309	0.000043821655653	0.000046951618070	1.071425015104229	0.783856952695491	2	0	1	3	3	3	7	7	6	8	6	8	8	8	9	8	10	9	12	9	12	11	12	10	13	13	15	16	16	18	17	20	22	23	25	27	26	27	29	3	0	2	2	2	3	11	6	5	9	5	8	9	9	10	7	15	14	13	14	10	16	20	14	22	23	25	25	25	27	28	0	0	33	33	34	35	35	36	1	1	1	2	2	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1
6500	-227.022873340649397	-225.646172155069166	-1.376701185580218	0.000109524595339	0.000049946823220	0.456032940053415	0.829054544619427	2	-1	0	2	3	3	6	5	7	7	8	7	9	7	8	8	10	8	11	9	10	12	11	12	14	12	14	16	16	17	17	20	23	24	25	27	27	26	29	3	0	2	2	2	3	5	6	5	7	9	8	7	7	10	7	15	14	13	14	10	16	20	9	22	23	22	25	25	27	28	0	0	33	33	34	35	35	36	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
7000	-231.841385678533840	-230.422106684272620	-1.419278994261213	0.000185114426509	0.000068793029792	0.371624357376965	0.929822030389952	2	-1	1	2	3	4	6	6	6	8	6	8	7	7	8	9	10	5	9	9	11	11	12	11	14	13	14	15	12	18	19	21	22	24	24	26	25	26	29	3	0	2	2	4	3	5	6	5	7	5	8	9	18	5	15	15	5	13	14	10	16	20	15	29	23	29	25	22	27	25	0	0	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1
7500	-233.847235911103354	-232.280899173298280	-1.566336737805067	0.000184427851488	0.000047152321484	0.255668116846847	0.846400437742656	2	0	1	2	3	3	5	7	7	7	7	5	9	8	9	8	9	9	11	10	11	11	12	10	16	13	14	15	13	15	18	19	23	24	25	26	26	26	28	3	0	2	2	2	3	5	12	5	5	7	6	7	5	9	7	7	14	13	14	15	16	20	14	30	23	22	29	22	29	25	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	1	2	3	1	1	2	2	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2
8000	-247.236677812028034	-245.818622000728851	-1.418055811299174	0.000215209378872	0.000080337408222	0.373298824816162	0.771723719691146	2	0	1	4	4	3	6	6	6	7	8	6	7	6	8	8	10	8	11	9	12	12	13	11	15	13	13	15	15	17	19	20	22	23	24	26	26	26	29	3	0	2	1	2	3	5	6	5	5	7	6	7	5	7	7	9	14	13	5	7	16	20	10	27	9	22	22	22	27	29	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	2	2	2	1	2	1	1	1	1	1	1	2	2	3	2	2	2	1	4	1	1	2	2	1	1	1	1	1	2	1	1	1
8500	-259.990843982675813	-258.305606237726693	-1.685237744949097	0.000252462397738	0.000052557195007	0.208178308839205	0.706153187978797	2	0	1	3	3	3	6	7	5	5	7	7	7	7	9	9	8	9	10	9	12	11	14	11	16	12	15	15	16	17	18	19	22	24	24	26	26	26	29	3	0	2	2	2	3	5	6	5	5	7	6	9	2	7	14	7	9	7	7	22	16	26	18	27	20	15	22	22	29	25	0	0	33	33	34	35	35	36	1	1	1	1	1	1	2	2	1	2	1	2	1	4	1	1	1	1	2	1	1	2	1	1	1	1	2	3	2	1	2	1	1	1	1	1	2	1	1
9000	-245.016693565809476	-243.627580751669143	-1.389112814140333	0.000223011504678	0.000094390477660	0.423253848705838	0.736570857715603	1	0	2	2	4	4	5	7	6	8	7	8	9	8	8	9	9	7	11	9	11	12	13	11	14	13	13	16	15	17	19	19	22	24	25	26	26	26	29	2	0	1	2	2	3	3	6	5	5	5	6	15	18	5	10	10	9	13	7	15	15	20	18	27	20	22	25	27	29	29	0	0	33	33	34	35	35	34	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	1	1	1	2	1	2	2	3	1	2	1	1	1	2	2	1	1	1	1	1	1	1	3
9500	-254.012495262519280	-252.297914495997986	-1.714580766521285	0.000199649533194	0.000039751704233	0.199107423881677	0.652252020797922	2	0	1	3	3	3	4	6	6	7	7	7	9	7	9	8	8	9	12	8	12	11	14	12	16	11	13	15	15	17	17	21	22	24	24	27	25	26	29	2	0	2	3	2	3	5	6	5	5	9	6	7	7	17	10	10	14	13	14	15	16	26	20	22	14	9	22	22	25	25	0	0	33	33	34	35	35	36	1	1	1	1	1	1	1	2	2	2	1	2	3	1	1	1	1	1	1	1	1	2	2	3	2	2	3	2	2	1	1	1	1	2	1	1	1	1	1
10000	-217.718124204313312	-216.154014884633796	-1.564109319679507	0.000258092226643	0.000066273935346	0.256783926459601	0.868459368433346	2	0	1	4	3	2	7	5	5	8	5	7	6	8	7	9	9	7	12	10	9	11	14	11	16	12	13	15	14	17	17	21	22	23	24	25	26	27	29	3	0	2	1	2	3	13	6	5	15	5	8	9	18	9	15	15	9	14	14	15	16	26	14	29	20	22	27	27	25	28	0	0	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
10500	-249.634005069754835	-248.043437760052001	-1.590567309702832	0.000195671684817	0.000047781333771	0.244191354593403	0.670653995967808	2	0	1	3	2	3	5	6	7	7	7	7	9	7	8	7	10	9	11	10	9	12	13	11	17	13	14	15	15	15	18	21	23	24	25	26	27	27	28	3	0	2	2	2	3	5	6	4	5	7	6	10	5	16	7	15	10	13	18	15	16	20	20	22	14	22	27	22	22	30	0	0	33	33	34	35	35	36	1	1	1	3	1	1	2	3	2	2	1	2	1	2	1	1	1	1	1	1	1	3	2	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1
11000	-252.826129496948113	-251.195814361023963	-1.630315135924144	0.000235478065049	0.000053594094365	0.227596971099238	0.697971941702049	2	-1	0	3	3	4	6	5	5	6	6	7	7	7	9	7	9	8	12	10	9	11	13	12	17	11	14	14	16	17	18	19	22	24	24	26	26	26	28	3	0	2	1	2	3	5	6	5	5	5	6	9	10	10	10	10	14	13	14	7	15	20	18	22	5	22	22	27	29	25	0	0	33	33	34	35	35	36	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	2	2	3	4	1	1	2	1	1	1	1	1	1	1	1	1	1
11500	-230.094730019468471	-228.694246748689324	-1.400483270779160	0.000174025755025	0.000069734477004	0.400713543770280	0.757891466738633	0	-1	2	3	3	4	6	6	7	6	7	7	9	8	9	8	10	7	11	9	11	11	12	10	16	13	15	16	14	17	18	21	22	24	24	26	26	26	29	2	0	1	2	2	3	1	6	5	5	5	8	9	7	10	10	11	7	13	18	15	15	20	14	29	23	22	27	22	27	29	0	0	33	33	34	35	35	36	1	1	1	1	2	1	3	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	2	1
12000	-232.942274954886528	-231.333686708512346	-1.608588246374171	0.000167522069815	0.000039595170338	0.236357934099489	0.847339093453239	1	-1	2	2	3	4	6	6	4	7	8	8	8	8	9	9	8	6	11	9	12	11	12	11	15	11	15	16	14	17	18	21	23	24	24	26	26	26	28	2	0	1	2	2	3	9	6	5	5	7	8	9	18	10	10	7	9	13	14	15	16	20	14	29	20	29	29	22	27	28	0	0	33	33	34	35	35	34	1	1	1	1	2	1	2	1	1	2	1	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2
12500	-232.990968571464663	-231.046043787886390	-1.944924783578277	0.000250686178802	0.000036990793294	0.147558168029071	0.698834065858618	1	0	2	3	3	3	5	6	6	7	6	8	8	6	9	9	9	9	10	10	11	11	14	11	16	12	14	15	14	17	18	20	22	23	24	26	26	26	28	2	0	1	2	2	3	5	6	5	9	7	8	9	7	7	10	9	14	11	14	16	15	26	14	16	20	22	22	22	28	29	0	0	33	33	34	35	35	36	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	2	1	2	2	2	1	1	1	2	3	1	1	2	2	1	2	1	1	1	1	1	1	1	1
13000	-227.857314237486975	-226.263034827501343	-1.594279409985621	0.000193035073886	0.000046817205758	0.242532120281456	0.656071497208843	2	0	1	4	3	4	5	7	6	6	7	6	8	7	9	8	10	8	10	10	11	10	13	11	16	12	15	16	16	17	19	20	22	24	24	25	26	26	30	3	0	2	2	2	1	5	12	5	7	5	6	9	9	10	10	15	14	13	18	10	16	26	14	22	20	22	27	22	25	27	0	0	33	33	34	35	35	36	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	3	2	3	1	3	1	2	1	1	1	1	1	1	1	2
13500	-223.922324436153446	-222.508264874351454	-1.414059561801996	0.000155282437705	0.000058844754366	0.378953056353627	0.826323505758715	2	-1	1	3	3	3	5	6	6	6	7	8	8	7	8	8	9	8	12	9	12	12	11	11	16	13	15	16	16	17	18	20	22	24	24	26	25	27	29	3	0	2	2	2	3	5	6	5	7	7	8	9	9	10	10	9	14	13	9	17	16	20	18	27	23	22	27	22	29	28	0	0	33	33	34	35	35	34	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2
14000	-245.652055164240466	-243.794828557998130	-1.857226606242331	0.000318026116187	0.000052151268631	0.163984232666508	0.732307345589576	2	0	1	3	2	4	6	6	6	7	7	6	7	7	9	8	9	8	10	10	11	10	11	11	16	13	14	15	13	16	17	21	21	23	24	26	27	26	30	3	0	2	2	2	3	4	6	5	5	7	6	5	5	13	7	9	14	7	18	15	16	20	18	27	24	29	27	22	27	29	0	0	33	33	34	35	35	34	1	1	1	1	1	1	1	1	2	2	1	1	3	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	2	2	2	1	2
14500	-217.817646497116328	-216.307458485272633	-1.510188011843687	0.000163297228739	0.000046987908464	0.287744677769646	0.783048275161884	2	0	1	4	4	3	6	6	6	7	7	8	8	7	9	9	9	9	11	9	11	10	13	12	17	12	14	16	15	18	18	20	23	24	24	26	26	27	29	3	0	2	2	2	3	5	6	5	7	5	8	7	5	10	10	10	9	13	14	15	16	26	18	29	14	22	27	27	25	28	0	0	33	33	34	35	35	36	1	1	1	2	2	1	1	2	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1
15000	-238.115795558930785	-236.693935195299673	-1.421860363631109	0.000206521748767	0.000076035345610	0.368171129986999	0.654029888678677	2	-1	1	4	3	3	5	5	6	6	7	7	8	8	8	9	9	8	12	9	12	11	12	10	16	13	14	15	16	17	18	19	22	23	24	26	26	27	29	3	0	2	1	2	1	4	6	7	5	5	8	9	5	10	11	5	9	13	9	14	16	20	14	27	23	22	22	27	29	25	0	0	33	33	34	35	35	34	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	2	2	1	2	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2
15500	-217.504516890055953	-216.005054020008458	-1.499462870047496	0.000176639067339	0.000052112928602	0.295024930707062	0.866500365944054	2	0	1	3	3	3	5	5	6	7	7	8	8	8	9	9	9	7	10	10	11	12	12	9	17	13	14	15	15	16	18	19	23	24	24	27	27	26	28	3	0	2	2	2	3	5	6	7	7	7	8	5	18	10	10	10	7	13	14	10	16	20	14	29	23	22	22	27	27	28	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1
16000	-223.676581080953213	-222.129634926944988	-1.546946154008229	0.000189174190834	0.000050276459049	0.265768067129308	0.713933671523569	2	0	1	3	4	3	6	7	7	7	8	5	8	7	8	8	9	8	11	10	12	11	12	10	16	13	14	16	14	17	18	21	22	24	24	27	26	27	30	3	0	2	2	3	3	5	12	7	7	7	6	9	5	10	10	7	9	13	14	10	16	20	18	29	23	22	27	22	27	25	0	0	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1
16500	-235.237076048193558	-233.815338674583501	-1.421737373610054	0.000221821565031	0.000081704260205	0.368333260082985	0.871035331104701	0	-1	2	3	4	3	6	6	6	6	7	7	8	8	9	8	10	6	9	7	11	11	11	11	15	13	14	15	16	18	19	21	22	23	24	26	26	26	29	2	0	1	2	4	3	5	6	5	5	5	6	9	18	10	10	10	4	13	18	10	10	20	18	27	23	22	22	25	27	28	0	0	33	33	34	35	35	36	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	3	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2
17000	-215.677201041242853	-214.220692264120117	-1.456508777122729	0.000201475356266	0.000066444538944	0.329789906692666	0.909883954551506	1	0	2	3	2	3	5	6	7	7	7	7	9	8	8	8	10	9	11	9	11	12	11	10	16	12	14	16	14	17	18	19	22	23	24	26	26	25	27	2	0	1	2	2	3	5	6	5	7	7	8	9	7	10	10	15	14	13	9	10	16	20	14	29	23	22	29	22	25	28	0	0	33	33	34	35	35	36	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
17500	-228.548023297997645	-227.024679252793732	-1.523344045203908	0.000183050766558	0.000051143103865	0.279393005704758	0.820347181681137	1	0	2	3	4	4	5	6	6	7	7	8	8	8	8	9	9	8	10	9	12	11	11	11	15	12	14	16	15	17	18	20	22	24	24	26	26	26	28	2	0	1	2	2	3	5	6	7	5	7	8	9	5	10	15	15	7	7	14	16	16	14	18	27	23	22	25	22	27	30	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2	1	1	1	2	1	3	2	1	1	1	1	1	1	1	1	1
18000	-224.597157705806609	-223.155322913442689	-1.441834792363914	0.000169905266133	0.000058534558254	0.344512913494636	0.817420870395966	1	0	2	3	2	4	6	6	6	8	8	8	9	7	10	7	8	8	11	9	9	12	12	10	17	13	15	15	13	17	19	21	22	23	24	26	25	26	30	2	0	1	2	2	3	5	6	5	7	7	8	7	7	10	5	16	7	13	14	16	16	20	18	27	23	29	29	22	29	30	0	0	33	33	34	35	35	36	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
18500	-245.711163629325711	-243.931412929732431	-1.779750699593267	0.000224809217163	0.000040795998688	0.181469421951185	0.705522268120397	1	0	2	3	3	4	7	6	5	7	8	7	8	7	9	8	9	9	12	10	11	11	14	11	15	12	13	15	14	18	17	21	22	23	24	26	25	26	29	2	0	1	1	2	3	2	6	4	9	9	6	9	9	10	10	4	14	7	18	15	15	20	18	27	20	22	22	22	27	29	0	0	33	33	34	35	35	34	1	1	1	1	1	2	4	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	3	2	3	1	1	1	1	1	2	1	1	4
19000	-247.545650028605905	-246.065300472752767	-1.480349555853151	0.000234414024933	0.000072490019522	0.309239259650849	0.688744958463613	2	-1	1	4	4	3	6	7	6	8	6	7	8	7	7	8	9	9	12	10	10	11	13	11	17	12	14	15	15	17	19	20	23	24	25	26	27	27	29	3	0	2	1	2	3	5	6	5	15	4	6	9	9	5	5	10	14	13	18	16	11	5	18	27	20	22	22	22	22	29	0	0	33	33	34	35	35	36	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	1	2	4	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	2
19500	-210.744394490275738	-209.225998748071788	-1.518395742203941	0.000175619457041	0.000049606256041	0.282464465363766	0.923449383586033	2	-1	0	3	3	3	5	5	6	7	7	7	8	7	10	9	8	8	11	9	12	12	13	11	17	11	14	15	16	18	17	18	23	24	25	27	26	27	29	3	0	2	1	2	3	5	6	7	5	7	8	9	9	17	10	7	14	13	14	15	16	26	14	29	20	22	22	27	25	28	0	0	33	33	34	35	35	36	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20000	-246.478448475679642	-244.973841535357678	-1.504606940321974	0.000240244015886	0.000070025493309	0.291476535014846	0.682128887250266	2	0	1	4	3	4	5	6	7	7	7	8	9	7	9	8	9	8	11	9	11	11	14	11	16	11	15	16	13	17	19	20	20	24	24	27	27	26	29	2	0	2	2	2	3	5	6	7	7	7	6	9	7	10	4	14	14	9	14	17	16	9	18	29	20	22	22	22	29	30	0	0	33	33	34	35	35	36	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	3	2	1	1	1	2	1	2	1	1	1	2	2	1	2	1	1
20500	-261.135276609193681	-259.742923711624485	-1.392352897569199	0.000207764646649	0.000086492247727	0.416299159272643	0.593271883218448	0	-1	1	2	2	2	7	7	5	5	7	7	7	7	9	8	9	9	11	8	12	11	12	11	15	13	14	15	15	17	16	21	22	23	24	27	27	26	29	2	0	1	2	1	3	5	6	5	5	9	6	5	5	9	10	9	20	9	7	9	16	20	13	22	23	22	27	22	25	27	0	0	33	33	34	35	35	34	1	1	1	2	1	1	3	2	2	2	1	2	2	4	2	2	2	1	3	1	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	2	2	1	4
