step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
14500	-52.807565461130139	-49.675132687092209	-3.132432774037931	0.000062025027682	0.000003360580762	0.054181044127340	0.984303644350912	0	1	5	2	3	4	4	6	5	7	8	0	1	4	2	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	2	1
15000	-43.330857123781925	-41.970022785592008	-1.360834338189920	0.000056192780191	0.000032102762802	0.571296929830251	0.988165301521686	1	2	5	2	4	4	4	6	5	6	9	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
15500	-42.743404179738562	-41.267130856567697	-1.476273323170865	0.000050316049928	0.000052271537527	1.038864092097798	0.982154113144413	0	2	5	3	4	4	5	6	6	6	8	0	1	4	2	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
16000	-49.949754284877180	-48.504318812046321	-1.445435472830858	0.000106985692165	0.000036452524522	0.340723360147746	0.892458036852077	0	2	6	2	3	5	4	5	6	8	9	0	1	6	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	2
16500	-47.329448677526941	-45.916783414834640	-1.412665262692304	0.000090658285759	0.000034540466702	0.380996247752797	0.719883229098591	1	2	5	2	4	4	4	5	6	7	8	0	1	4	1	2	4	4	5	3	6	8	1	1	2	1	1	1	1	1	1	1	2
17000	-44.931478050966525	-43.289904255901817	-1.641573795064708	0.000069235445580	0.000015461614725	0.223319350302627	0.899433857083557	0	2	5	3	4	4	4	5	5	6	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	2
17500	-48.971566181808051	-47.601334357574835	-1.370231824233213	0.000063408357487	0.000042883394071	0.676305076654461	0.875126915991830	1	3	5	3	3	4	5	5	6	7	9	0	1	4	1	1	4	4	5	6	6	8	1	2	1	1	1	1	1	1	1	1	2
18000	-45.319164941123702	-43.696031335621541	-1.623133605502159	0.000078778753434	0.000018151891334	0.230416077206358	0.993050665660855	1	2	5	3	5	4	4	4	5	7	8	0	1	4	1	8	4	4	2	6	6	8	1	1	1	1	1	1	1	1	1	1	1
18500	-53.429367919283450	-52.001246671236743	-1.428121248046706	0.000095545906774	0.000086113682833	0.901280711452572	0.757762985564206	1	2	4	3	5	4	5	4	6	7	8	0	1	4	2	8	4	3	2	6	6	5	1	1	1	1	1	1	1	1	1	2	2
19000	-46.656020512998957	-45.284252704294090	-1.371767808704867	0.000062379034055	0.000029543588290	0.473614071417932	0.870940155060535	1	2	5	3	3	5	4	5	6	7	7	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	2
19500	-48.061587947583021	-46.700516638315513	-1.361071309267510	0.000102915842892	0.000057058082166	0.554414952666713	0.777553084699151	1	2	3	2	4	4	4	6	6	7	8	0	1	4	1	2	3	3	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
20000	-54.291440110886946	-52.930607819380405	-1.360832291506540	0.000054638900795	0.000031157355820	0.570241263401401	0.871842814746429	0	2	2	3	4	4	4	6	5	7	9	0	1	1	3	1	4	4	5	6	6	8	1	1	1	1	2	1	1	1	1	2	2
20500	-42.162603137208912	-40.801392629479146	-1.361210507729765	0.000064547944298	0.000035535056553	0.550521894068534	0.987857807783870	1	2	5	3	4	5	4	6	6	7	9	0	1	4	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
21000	-48.122548975016734	-46.754341573838147	-1.368207401178585	0.000088296783804	0.000058558070213	0.663195959010773	0.942689804645960	1	3	5	3	5	5	2	6	6	7	7	0	1	4	7	2	4	1	5	6	6	5	1	1	1	1	1	1	1	1	1	1	1
21500	-50.217394336498600	-48.621781026841759	-1.595613309656841	0.000131560166004	0.000031829911022	0.241941858154585	0.798408227346022	0	2	5	2	4	4	5	5	6	8	8	0	1	4	1	2	4	4	5	6	6	8	1	1	2	1	1	1	1	1	1	2	2
22000	-43.826842031268633	-42.195101510791936	-1.631740520476696	0.000121447906974	0.000027574261542	0.227046000452290	0.873410060352356	1	2	5	3	4	4	4	5	6	7	8	0	1	4	2	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
22500	-48.747144042487875	-47.381864682309441	-1.365279360178433	0.000068550667735	0.000043946008812	0.641073387962040	0.918066952640405	1	2	5	3	4	4	4	6	6	6	9	0	1	4	2	1	4	4	5	6	6	8	1	1	1	1	2	1	1	1	1	1	2
23000	-48.311429291704030	-46.937941434302175	-1.373487857401856	0.000110075387612	0.000051408084156	0.467026146999637	0.873358699583299	1	2	5	3	4	4	5	5	5	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	2	1	1	1	1	1	1	1	2
23500	-46.748666886414355	-45.229172633041067	-1.519494253373286	0.000159044983254	0.000044814991593	0.281775574908801	0.990989844943370	1	2	5	3	4	4	4	5	6	6	9	0	1	4	2	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
