step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23
5000	-164.035644686497591	-170.891132637456963	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.512748051086356	0	13	12	14	14	16	18	17	15	16	14	18	21	19	20	21	26	30	28	30	35	43	45	0	3	1	2	3	0	11	4	3	3	0	6	7	7	12	0	3	17	17	19	18	21	22	1	1	5	1	1	1	2	1	1	2	1	2	1	1	1	1	4	2	1	1	4	3	1
5500	-147.759141892052327	-154.614629843011699	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.644844824091289	1	13	11	13	16	15	18	16	14	17	17	19	22	20	20	22	27	29	29	31	35	43	45	0	3	1	3	9	0	11	3	3	3	0	6	7	10	12	0	14	17	17	19	18	21	21	1	1	5	1	1	1	1	3	1	3	1	1	2	2	1	1	3	1	1	1	3	4	4
6000	-153.705481733271228	-160.560969684230599	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.541546214785695	1	13	12	14	14	14	18	16	16	14	15	18	21	20	20	22	27	30	29	31	35	41	45	0	3	1	2	3	0	11	3	5	3	0	6	7	10	6	0	14	19	17	19	18	21	22	1	1	5	1	1	1	1	2	1	2	1	2	1	2	3	1	3	1	2	1	3	4	3
6500	-145.208150224900265	-152.063638175859637	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.448082757303412	0	13	12	14	15	15	18	16	16	16	17	18	22	20	20	22	27	31	29	30	35	43	46	0	3	1	2	3	0	11	3	5	3	0	6	7	10	6	0	14	19	17	19	18	21	21	1	1	5	1	2	1	1	2	1	3	1	2	2	2	2	1	5	1	1	1	2	4	4
7000	-149.268963963812865	-156.124451914772237	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.477253710924024	0	13	12	14	15	16	18	16	16	17	17	20	21	19	21	20	27	31	29	30	35	43	46	0	3	1	2	3	0	11	4	5	3	0	6	11	10	6	0	10	17	17	19	18	21	21	1	1	7	1	1	1	1	1	1	3	1	4	1	1	3	1	4	2	1	1	3	4	5
7500	-148.046494919229019	-154.901982870188391	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.534471739941747	0	13	12	14	15	16	18	16	17	16	17	19	21	20	20	21	27	30	28	30	35	43	45	0	3	1	2	3	0	11	3	5	3	0	6	7	10	6	0	3	19	17	19	18	17	17	1	1	7	1	1	1	1	2	1	2	1	2	1	2	2	1	6	1	1	1	2	9	8
8000	-154.771988255335174	-161.627476206294546	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.530972349315751	0	13	11	14	15	15	18	14	16	16	16	20	21	20	21	21	26	31	28	30	36	42	44	0	3	1	2	2	0	11	3	5	3	0	6	7	10	6	0	10	20	17	19	18	21	21	1	1	6	1	1	1	1	2	1	2	1	2	1	2	4	1	5	1	1	1	2	4	3
8500	-155.465396683556804	-162.320884634516176	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.407926075314233	0	13	11	14	15	15	17	16	17	16	15	19	21	20	21	21	27	30	28	30	35	44	46	0	3	1	2	3	0	11	3	5	3	0	6	10	10	6	0	14	17	17	19	18	21	18	1	2	6	1	2	1	2	2	1	2	1	2	2	2	2	1	3	2	1	1	2	5	9
9000	-153.897099402741105	-160.752587353700477	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.482013047100580	0	14	12	14	15	15	18	15	16	17	17	18	22	20	21	22	27	31	28	30	35	43	44	0	3	1	3	3	0	11	3	5	3	0	6	7	10	6	0	10	19	17	19	18	21	21	1	1	5	2	2	1	1	2	1	2	1	2	3	1	3	1	4	2	1	2	3	3	4
9500	-145.299591433398547	-152.155079384357919	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.416896618409964	0	13	11	14	13	14	18	16	16	17	16	20	21	20	21	22	27	30	29	31	36	43	46	0	3	1	2	3	0	11	4	5	3	0	6	7	10	6	0	14	17	17	19	17	21	21	1	1	6	1	1	1	1	1	2	3	1	3	1	2	4	1	2	1	1	1	4	3	5
10000	-149.081624233078287	-155.937112184037659	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.505893826874726	-1	12	11	13	14	15	18	17	16	16	17	19	22	21	21	19	27	31	29	31	35	44	45	0	3	1	2	3	0	11	4	5	5	0	6	11	10	12	0	14	17	17	19	18	21	21	1	1	6	1	3	1	1	2	1	1	1	2	2	4	1	1	3	2	1	1	2	5	5
10500	-147.033985074065328	-153.889473025024699	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.533481191443327	0	14	13	14	15	16	18	16	17	16	17	19	20	20	21	20	27	30	29	28	36	43	45	0	3	1	3	3	0	11	4	5	3	0	6	11	10	6	0	14	19	20	17	17	21	21	1	1	7	1	1	1	1	1	1	1	1	2	2	2	2	1	3	1	1	1	3	3	3
11000	-162.919497612430803	-169.774985563390175	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.384333333133848	1	13	11	14	15	15	18	16	17	16	15	18	21	20	22	21	27	30	28	30	35	43	46	0	3	1	2	3	0	11	4	4	3	0	6	11	10	6	0	10	19	17	19	18	21	21	1	1	4	1	2	1	2	2	2	3	1	2	2	2	3	1	7	1	1	2	2	3	5
11500	-166.626280842641876	-173.481768793601248	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.637322518134405	0	12	11	14	15	13	18	16	15	16	17	19	21	20	22	21	27	30	29	30	36	43	45	0	3	1	3	3	0	3	4	3	9	0	6	11	10	6	0	7	17	17	19	18	21	21	1	1	4	2	3	1	4	1	2	1	1	3	2	2	4	1	4	1	1	1	3	3	3
12000	-171.161394655220022	-178.016882606179394	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.340708266973209	1	13	11	14	14	15	18	16	16	16	16	19	21	19	21	21	26	30	28	29	36	42	44	0	3	1	2	3	0	3	3	3	5	0	6	11	10	12	0	13	17	17	17	17	21	21	1	1	4	1	1	1	3	3	3	1	1	2	2	2	1	1	2	2	2	1	4	3	5
12500	-150.910088649775787	-157.765576600735159	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.429390069825109	-1	13	11	14	15	16	17	16	16	16	15	19	22	20	21	21	28	31	29	31	35	44	45	0	3	1	2	3	0	11	4	5	3	0	6	7	10	6	0	3	19	17	19	18	21	21	1	1	7	1	2	1	2	1	1	2	1	2	2	2	2	1	7	1	1	1	2	4	5
13000	-162.618019441393415	-169.473507392352786	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.525905702741897	0	13	11	14	15	15	18	17	16	15	17	19	20	20	21	21	27	31	29	31	36	43	45	0	3	1	2	3	0	11	3	3	3	0	6	3	10	6	0	10	19	17	19	18	21	21	1	1	5	1	3	1	1	2	3	4	1	2	4	2	3	1	8	1	1	1	2	2	4
13500	-167.057594996550705	-173.913082947510077	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595087384093601	1	13	11	13	14	16	18	17	17	15	17	17	20	20	21	22	28	30	29	30	35	43	45	0	3	1	3	3	0	11	4	5	3	0	6	11	10	6	0	3	17	17	19	18	17	21	1	1	6	1	1	1	1	2	2	2	1	1	2	1	2	1	7	1	1	1	3	7	5
14000	-149.949379606858088	-156.804867557817460	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532942491169995	1	13	12	14	15	15	18	16	17	16	16	19	22	21	21	21	28	31	29	30	35	42	45	0	3	1	2	3	0	3	3	5	3	0	6	11	10	6	0	14	17	17	19	18	21	17	1	1	5	1	2	1	2	2	1	2	1	2	2	3	3	1	3	2	1	1	1	3	7
14500	-156.676184716146309	-163.531672667105681	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500886372565702	0	13	12	13	15	15	18	16	16	17	16	18	21	20	22	21	26	31	28	31	35	42	45	0	3	1	3	3	0	11	3	5	3	0	6	11	10	6	0	10	19	17	19	18	21	21	1	1	6	1	2	1	1	2	1	2	1	3	2	1	3	1	2	2	1	1	2	4	5
15000	-161.174355803751723	-168.029843754711095	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.476304264157584	0	12	11	14	13	15	17	17	16	15	17	19	22	21	22	22	27	31	29	30	36	42	45	0	3	1	2	3	0	3	3	3	3	0	6	11	10	6	0	7	19	17	19	18	21	21	1	1	4	1	1	1	3	3	2	2	1	2	3	2	2	1	5	1	1	1	3	3	4
15500	-156.163669452256414	-163.019157403215786	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.431239264308678	1	14	12	13	14	16	18	15	16	16	17	19	21	20	22	21	27	31	28	30	35	42	45	0	3	1	3	3	0	11	3	5	3	0	6	7	10	12	0	14	19	17	19	17	21	21	1	1	5	1	2	1	1	1	1	2	1	2	2	1	3	1	3	2	1	1	3	3	6
16000	-153.807182145376032	-160.662670096335404	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.489169758162058	0	13	11	13	13	16	18	15	16	16	16	19	22	20	21	22	27	30	29	31	35	43	44	0	3	1	3	3	0	11	4	5	3	0	6	7	10	6	0	14	17	17	19	17	17	21	1	1	5	1	1	1	2	1	2	2	1	2	3	3	2	1	3	2	1	1	3	6	4
16500	-156.425003815744191	-163.280491766703562	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.440893540055778	0	13	12	14	15	15	18	14	16	17	15	19	21	19	21	21	27	30	28	31	35	43	45	0	3	1	2	3	0	11	3	3	3	0	6	11	10	6	0	10	19	17	18	20	21	21	1	1	5	1	1	1	2	1	3	3	1	2	3	1	4	1	5	1	1	1	2	4	4
17000	-145.908579564941505	-152.764067515900877	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.568649850895178	0	13	12	14	15	16	18	16	16	16	16	19	21	20	21	20	27	29	29	30	35	43	46	0	3	1	2	3	0	11	4	5	3	0	6	7	10	6	0	14	17	17	17	18	21	17	1	1	6	1	2	1	1	1	1	2	1	2	2	2	2	1	4	1	1	1	3	3	9
17500	-162.864164178111537	-169.719652129070909	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572512257461677	0	14	12	13	14	15	18	17	17	17	16	19	21	19	22	21	26	30	28	31	36	41	42	0	4	1	3	3	0	11	3	5	3	0	6	7	11	6	0	14	19	17	17	17	21	21	1	1	5	1	1	1	1	3	2	2	1	2	2	2	3	1	4	1	1	2	4	2	2
18000	-155.770466943814768	-162.625954894774139	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.480867645812291	-1	13	11	14	13	14	17	16	16	15	16	19	21	21	21	21	28	30	30	30	34	43	44	0	3	1	2	3	0	11	4	5	3	0	6	11	10	6	0	14	17	17	17	18	21	22	1	1	6	1	1	1	1	1	2	2	1	3	4	2	4	1	3	1	1	1	4	4	1
18500	-157.486639687748976	-164.342127638708348	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.562389447366653	0	13	11	13	16	15	18	15	14	16	16	19	21	20	20	21	28	31	29	31	35	43	46	0	3	1	3	9	0	11	4	3	3	0	6	11	10	6	0	14	17	17	19	18	21	22	1	1	4	1	1	1	2	1	1	2	1	2	2	2	2	1	5	2	1	1	2	2	1
19000	-143.548424028207847	-150.403911979167219	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.459459872353007	0	13	12	14	15	15	18	17	17	17	17	18	21	19	21	21	26	30	29	30	35	43	45	0	3	1	2	3	0	11	3	5	3	0	6	7	10	6	0	10	19	17	19	18	21	21	1	1	6	1	2	1	1	3	1	2	1	2	2	1	3	1	4	1	2	1	3	3	4
19500	-153.806771798676692	-160.662259749636064	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.420187733327433	-1	13	12	14	15	14	18	16	16	17	17	20	21	20	21	22	27	30	29	31	35	44	46	0	3	1	2	3	0	11	3	5	3	0	6	11	10	6	0	3	19	17	19	18	21	21	1	1	6	1	1	1	1	2	1	3	1	3	2	1	4	1	7	1	2	2	2	5	6
20000	-149.885407322814302	-156.740895273773674	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.486238295323332	1	13	12	14	14	15	17	16	16	16	15	20	22	20	19	21	27	31	29	30	36	43	44	0	3	1	3	3	0	11	3	5	3	0	6	7	10	6	0	13	19	17	17	18	21	21	1	1	5	1	1	1	1	2	1	3	1	2	3	2	2	1	3	1	1	1	2	3	4
20500	-160.538128136846836	-167.393616087806208	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.429588061974721	0	13	11	14	15	15	18	16	16	16	17	19	21	20	22	20	27	31	28	31	36	43	44	0	3	1	2	2	0	11	4	3	3	0	6	11	10	6	0	10	19	17	19	18	21	21	1	1	5	1	2	1	1	1	2	2	1	2	2	3	2	1	7	1	1	2	2	4	4
21000	-164.501245503635857	-171.356733454595229	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.365126042613305	0	14	12	13	15	16	18	16	16	15	15	19	20	20	20	20	27	31	29	31	35	43	44	0	4	1	3	3	0	3	4	5	3	0	6	11	10	6	0	3	17	17	19	18	21	21	1	1	5	1	3	1	3	2	1	2	1	2	3	2	2	1	6	2	1	1	3	3	5
21500	-156.690380376483859	-163.545868327443230	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.374406680168417	0	13	12	14	15	16	18	14	17	16	16	20	21	20	20	21	27	31	29	31	34	43	45	0	3	1	2	3	0	11	3	5	3	0	6	11	3	6	0	3	19	17	19	17	21	17	1	1	5	1	2	1	1	1	1	2	1	2	3	3	3	1	6	2	1	1	3	6	8
22000	-144.717393413740922	-151.572881364700294	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532316305494271	-1	13	11	14	14	16	18	16	16	15	16	19	20	20	21	21	27	31	29	31	35	42	45	0	3	1	2	3	0	11	3	5	3	0	6	11	10	6	0	14	19	17	17	20	21	21	1	1	5	1	2	1	1	2	1	2	1	2	2	3	2	1	3	1	1	2	2	3	5
22500	-146.696766600033612	-153.552254550992984	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.428969208736231	0	13	12	14	14	15	18	17	16	16	15	18	22	21	21	21	27	31	29	30	35	43	45	0	3	1	2	3	0	11	4	5	3	0	6	11	10	12	0	14	19	17	17	18	21	21	1	1	6	1	1	1	2	2	1	2	1	2	3	3	2	1	4	1	1	2	2	4	3
23000	-163.989169237221034	-170.844657188180406	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591390550902983	0	11	10	12	12	15	18	16	16	17	18	18	21	21	20	20	25	31	29	30	35	43	43	0	3	1	2	3	0	10	4	5	3	0	6	11	10	12	0	10	17	17	19	18	21	21	1	1	5	1	1	1	1	2	2	4	1	2	1	1	2	1	3	2	2	1	2	3	3
23500	-157.786158970315768	-164.641646921275139	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.443658627386789	1	13	10	13	12	15	18	16	16	17	17	19	21	21	20	21	26	31	29	30	36	43	45	0	3	1	3	3	0	11	3	5	3	0	6	11	10	6	0	3	19	17	19	18	21	22	1	1	4	1	1	1	1	3	2	3	1	2	2	2	2	1	7	1	2	1	2	5	1
24000	-156.630451927771730	-163.485939878731102	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.457574468841049	1	13	12	14	15	15	17	17	17	17	14	19	22	21	22	21	27	30	28	29	34	44	46	0	3	1	3	3	0	11	3	3	5	0	6	7	10	6	0	14	19	17	19	18	21	22	1	1	3	1	2	1	2	3	3	1	1	2	2	3	3	1	3	1	1	1	2	6	1
24500	-164.652612059959239	-171.508100010918611	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.545654860180046	0	13	12	14	16	16	18	17	16	16	16	19	20	20	20	21	28	29	29	30	36	41	43	0	3	1	2	3	0	11	3	3	3	0	6	11	10	6	0	14	17	17	19	18	21	21	1	1	5	1	2	1	2	3	2	2	1	2	3	2	2	1	6	1	1	1	5	2	3
25000	-158.533128393998936	-165.388616344958308	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557234928529143	0	13	11	13	15	14	18	17	16	14	17	19	22	20	22	21	26	31	28	31	35	42	45	0	3	1	3	4	0	11	3	5	3	0	6	11	10	6	0	14	19	17	19	18	21	21	1	1	4	2	1	1	1	3	1	2	1	2	2	2	5	1	4	2	1	2	3	3	5
25500	-150.621916873117357	-157.477404824076729	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.581605231403499	0	13	12	14	15	16	18	15	16	17	17	20	22	20	20	21	27	30	29	30	35	42	43	0	3	1	2	3	0	11	3	5	3	0	6	7	10	6	0	10	19	17	17	17	21	17	1	1	6	1	2	1	1	1	1	3	1	2	2	2	2	1	5	1	1	1	5	3	6
26000	-146.783419690715931	-153.638907641675303	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.403112867865897	0	13	12	14	14	15	18	16	16	16	17	18	22	21	22	21	27	30	29	31	35	44	45	0	3	1	2	3	0	11	3	5	3	0	6	7	10	6	0	14	19	17	19	17	21	17	1	1	7	1	1	1	1	2	1	2	1	2	2	2	3	1	4	1	1	1	3	5	11
26500	-186.054083322994131	-192.909571273953503	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.418226530137121	1	14	12	13	15	15	18	16	16	17	16	19	22	20	20	22	28	31	30	30	35	42	45	0	4	1	3	3	0	11	2	3	5	0	6	11	7	6	0	14	19	17	17	18	21	17	1	1	8	1	1	1	2	1	2	1	1	2	3	1	3	1	6	1	2	1	2	5	8
27000	-147.248612802349356	-154.104100753308728	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622638736329335	1	13	12	14	15	16	17	17	17	17	16	19	20	21	20	22	27	30	29	30	34	42	44	0	3	1	2	3	0	11	3	5	3	0	6	7	10	6	0	14	19	17	19	17	21	21	1	1	4	1	1	1	1	3	1	2	1	2	2	2	2	1	3	1	1	1	3	5	5
27500	-151.248265438216862	-158.103753389176234	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.573319914969504	1	14	12	13	15	16	18	16	17	16	17	18	20	19	21	21	26	30	28	29	34	43	45	0	3	1	3	3	0	11	3	5	3	0	6	7	10	12	0	10	19	17	17	17	21	22	1	1	5	1	2	1	1	2	1	2	1	1	2	1	2	1	4	1	1	1	4	3	2
28000	-144.710951289211351	-151.566439240170723	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.561488780845544	0	13	12	14	16	16	17	15	15	15	16	19	22	21	22	21	27	30	29	30	36	40	45	0	3	1	2	9	0	11	4	3	3	0	6	11	10	12	0	14	17	17	19	17	21	21	1	1	5	1	1	1	1	1	1	2	1	2	3	3	2	1	3	1	1	1	4	2	4
28500	-150.367271627062649	-157.222759578022021	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.410595517372414	1	13	11	14	15	16	18	17	14	17	17	19	21	21	22	22	27	30	29	30	36	43	44	0	3	1	2	9	0	11	3	3	3	0	6	11	3	6	0	14	17	17	19	18	21	21	1	1	6	1	1	1	1	3	2	4	1	1	2	5	2	1	3	1	1	1	2	3	5
29000	-153.466589837041454	-160.322077788000826	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.518291250491883	1	13	12	14	15	15	18	14	16	17	16	19	20	18	21	22	28	31	29	30	34	42	45	0	3	1	2	3	0	11	3	5	3	0	6	7	3	12	0	14	19	17	19	18	21	21	1	1	6	1	1	1	1	1	1	2	1	2	2	3	1	1	6	1	1	1	2	5	5
29500	-146.215046133916047	-153.070534084875419	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.559718476033190	0	13	12	14	16	15	17	16	15	16	15	19	21	21	20	21	27	31	29	31	35	42	44	0	3	1	2	3	0	11	3	3	3	0	6	11	10	6	0	14	17	17	19	17	21	21	1	1	4	1	2	1	1	2	1	2	1	2	3	2	2	1	2	2	1	1	4	4	4
30000	-157.220940247592381	-164.076428198551753	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.392944205711664	0	13	12	14	15	16	18	16	16	16	16	20	21	19	20	20	27	31	30	29	36	43	45	0	3	1	2	3	0	11	4	5	3	0	6	11	10	6	0	3	17	20	17	17	21	17	1	1	8	1	2	1	2	1	1	2	1	2	3	1	2	1	6	2	1	1	6	4	8
30500	-167.833414830134558	-174.688902781093930	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.458744669186784	1	13	12	14	15	14	18	15	16	17	16	19	20	20	22	19	25	30	30	28	36	43	45	0	3	1	2	3	0	11	3	5	3	0	6	11	10	6	0	14	20	17	17	18	21	17	1	1	6	1	1	1	1	2	1	2	1	2	2	1	4	1	2	1	1	1	2	3	10
31000	-157.760470823440102	-164.615958774399473	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.505109780303177	-1	13	12	14	15	15	17	16	16	16	15	19	21	20	22	21	27	30	29	31	35	42	45	0	3	1	2	3	0	11	4	5	3	0	6	7	10	12	0	14	19	17	19	17	21	17	1	1	5	1	1	1	2	1	1	2	1	3	2	3	2	1	2	1	1	1	2	4	12
31500	-154.045475527077855	-160.900963478037227	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.454132858570444	1	13	12	14	14	16	17	16	15	16	17	20	22	20	19	22	27	29	29	30	35	43	45	0	3	1	2	3	0	3	3	5	3	0	6	11	10	6	0	14	17	17	17	18	21	17	1	1	4	1	1	1	2	2	1	2	1	2	3	2	2	1	2	1	1	2	2	3	7
32000	-150.613438377008350	-157.468926327967722	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.418408671585375	0	14	11	13	14	15	18	15	15	17	17	19	20	20	21	21	27	30	29	30	36	43	45	0	4	1	3	3	0	11	3	5	3	0	6	11	10	6	0	10	19	17	19	17	21	21	1	1	5	1	2	1	1	2	1	3	1	2	3	2	4	1	6	1	1	1	3	3	4
