step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74
5000	-451.121906953312305	-449.021148194146349	-2.100758759165944	0.000014780643928	0.000038529869493	2.606778816958081	0.216270294567514	1	3	5	5	7	11	11	9	14	12	13	14	14	15	16	19	15	18	17	16	16	19	17	17	20	19	18	19	19	20	20	19	19	20	20	24	22	23	22	22	22	23	23	23	25	25	26	25	25	26	27	26	26	27	27	26	29	27	28	30	31	30	30	33	32	32	32	34	35	34	35	33	36	39	0	1	1	1	3	3	3	2	1	2	2	7	1	8	1	2	8	15	1	14	1	3	20	14	9	17	3	19	24	2	27	23	13	27	2	28	27	24	29	2	16	34	30	23	38	36	43	2	16	2	40	42	13	36	2	4	39	3	11	50	8	55	38	50	51	55	58	60	47	16	38	61	28	69	1	1	2	2	1	3	3	2	4	3	5	1	6	2	9	8	3	1	7	1	7	5	1	1	4	3	8	2	1	7	1	1	3	2	7	3	3	3	2	8	2	1	2	5	2	1	1	11	3	9	2	2	8	1	12	10	3	9	7	2	7	2	3	5	3	2	3	1	4	8	5	1	9	2
5500	-464.522151381083631	-462.527137707233180	-1.995013673850436	0.000018467198592	0.000043002854523	2.328607358043246	0.153664304321845	1	4	5	5	6	8	12	12	15	12	14	14	15	17	16	19	14	17	16	16	17	19	16	19	20	18	18	18	19	20	21	21	18	19	20	24	22	23	23	21	22	25	25	24	26	26	25	25	25	26	26	27	27	27	28	26	30	28	28	30	30	30	31	32	32	33	33	32	34	34	34	32	36	40	0	1	1	2	3	2	3	6	8	3	10	8	1	3	3	10	2	5	7	11	2	2	11	28	13	8	2	9	10	10	6	20	10	1	2	14	16	22	21	8	27	25	39	15	37	44	9	1	18	2	36	33	24	34	3	32	9	20	34	30	2	54	38	36	51	49	13	61	25	44	3	62	53	49	1	2	2	1	1	2	3	2	1	3	2	1	8	5	4	5	4	8	3	2	6	9	1	1	3	3	6	1	4	2	7	3	2	8	9	3	2	3	4	3	2	2	1	4	2	1	6	12	4	9	1	4	5	4	14	2	8	6	8	7	14	2	4	5	3	5	9	1	8	4	15	1	4	8
6000	-542.345204771749422	-540.835220717645257	-1.509984054104166	0.000042477308794	0.000047903334730	1.127739399913393	0.242568120619067	1	4	4	6	7	11	10	12	14	10	13	15	15	17	15	19	14	19	18	16	17	20	19	17	19	18	18	18	20	20	21	20	18	18	20	22	21	22	22	23	23	24	25	24	25	24	25	24	25	26	27	27	26	28	27	25	29	29	28	29	31	30	31	32	33	32	33	34	34	34	35	35	37	40	0	1	1	2	3	4	3	6	2	5	2	11	3	13	1	10	2	17	6	7	3	14	24	13	13	2	9	7	23	11	13	33	8	9	23	21	21	24	24	20	25	15	9	6	40	12	39	2	19	3	25	16	46	36	2	32	25	50	56	34	6	59	40	52	6	62	49	43	64	61	15	55	23	57	1	1	2	1	2	2	4	1	5	1	5	1	3	1	6	4	5	3	4	3	9	2	1	1	2	7	2	4	1	4	3	1	2	2	1	3	2	2	4	2	2	4	5	8	1	5	2	11	4	15	5	3	1	4	11	2	5	2	2	7	7	1	5	3	8	1	4	3	2	1	12	5	10	5
6500	-423.963185916738723	-422.555348144886295	-1.407837771852443	0.000088354173334	0.000034315169101	0.388381983630010	0.251591343582137	1	3	5	4	7	8	11	11	14	13	13	14	14	16	17	20	16	18	14	16	18	20	17	17	20	19	18	18	19	20	20	21	19	18	19	24	23	23	22	20	22	25	24	23	24	26	25	25	25	27	26	26	26	27	27	26	29	28	28	31	30	30	30	32	32	32	33	33	34	34	35	36	37	40	0	1	2	1	1	3	3	5	6	7	6	8	1	11	6	35	3	19	3	7	2	15	7	10	17	14	12	17	13	8	13	21	18	24	21	14	27	34	27	6	34	24	24	2	21	43	44	2	15	1	43	37	13	36	7	35	20	52	54	55	36	59	24	37	51	62	49	45	63	56	3	70	26	72	1	1	1	2	3	2	4	3	4	1	2	1	5	1	5	1	6	2	4	3	7	2	3	2	2	3	1	1	2	4	3	2	1	1	1	4	2	3	2	7	2	4	2	9	3	1	1	10	4	11	1	2	6	2	11	3	6	1	1	2	3	1	6	4	3	1	5	5	2	3	15	1	9	3
7000	-487.854787172627653	-486.492608451281853	-1.362178721345774	0.000088037176069	0.000047011310944	0.533993853994650	0.259236877311706	2	4	5	6	7	9	11	11	15	11	13	14	14	16	17	17	13	19	17	15	15	19	17	19	20	18	18	16	20	20	20	20	19	19	20	24	23	22	22	23	22	25	25	23	25	25	25	25	25	23	26	27	26	27	28	27	28	28	29	30	30	30	30	31	32	31	32	35	34	32	35	35	37	40	0	1	1	2	1	3	3	6	17	4	3	17	3	17	3	12	8	16	2	7	3	6	28	28	11	2	28	8	28	16	27	11	15	16	19	28	28	12	21	21	24	40	10	2	39	19	25	3	40	32	25	12	1	22	1	34	50	23	43	49	44	42	45	56	38	62	58	24	39	38	2	63	72	67	1	2	1	1	2	3	2	1	1	2	3	1	6	2	5	2	1	1	5	2	6	6	1	2	3	8	1	4	3	2	1	4	1	1	2	5	3	5	3	5	2	1	7	10	1	4	3	10	2	1	4	7	12	4	12	4	3	5	2	2	5	4	3	1	6	1	2	8	7	6	16	2	1	4
7500	-445.778994074386276	-444.409134992329825	-1.369859082056431	0.000131736689339	0.000063456124096	0.481689075495425	0.291228840817534	1	3	4	4	7	11	10	11	15	13	13	13	14	16	16	20	14	18	16	17	17	19	18	18	19	18	18	19	19	21	20	19	17	20	20	24	22	22	22	22	20	24	25	24	25	23	25	24	24	26	26	26	26	27	27	26	28	28	27	29	31	30	29	33	30	33	32	33	33	33	34	35	37	40	0	1	1	1	2	7	3	1	2	7	1	8	6	17	1	13	12	13	13	17	8	2	6	12	27	8	19	26	21	2	24	20	8	9	33	34	33	13	35	8	24	40	13	18	30	31	13	2	13	2	36	20	2	20	1	44	53	7	22	31	28	38	59	62	43	8	47	60	51	62	2	47	27	28	1	1	2	1	2	1	2	5	6	2	5	1	1	1	6	3	1	2	1	1	4	9	3	3	1	5	1	1	2	5	1	1	4	2	2	2	2	4	1	7	2	1	5	4	2	1	6	12	6	9	1	3	12	5	11	1	1	8	2	4	6	5	1	1	2	11	4	2	3	1	14	4	8	13
8000	-429.465381603273386	-428.104016373037155	-1.361365230236247	0.000099903554570	0.000054646633879	0.546993889400509	0.287182161970205	1	4	5	6	7	11	10	12	14	13	12	15	14	16	16	19	15	17	17	16	17	19	16	18	18	19	18	19	18	20	20	19	20	18	20	21	21	21	22	22	22	25	24	24	26	25	24	25	26	27	25	27	27	27	27	26	29	29	29	30	31	30	29	33	33	32	32	32	34	34	35	35	37	39	0	1	1	2	1	4	2	7	1	6	1	7	5	17	2	2	8	6	17	7	2	3	17	9	20	17	9	20	7	2	2	23	2	10	13	1	22	24	16	2	3	27	25	2	25	43	32	38	44	7	30	46	1	37	33	25	50	21	15	58	37	54	48	55	58	2	62	39	59	55	31	62	72	58	1	1	2	1	3	2	3	1	5	1	7	2	4	1	6	7	1	2	1	2	6	8	1	2	1	2	2	2	3	8	6	2	10	3	2	11	1	1	2	8	8	3	3	9	4	1	3	2	1	9	3	1	11	3	3	4	1	6	5	1	3	2	1	3	2	12	1	5	2	4	11	2	1	6
8500	-431.959217227943213	-430.507411946397042	-1.451805281546181	0.000100557757072	0.000033617359125	0.334308959382968	0.285437936139562	1	3	4	5	7	11	11	11	14	12	13	15	15	15	17	19	15	19	16	17	16	19	19	18	19	19	17	17	19	20	21	21	19	20	19	23	20	23	22	22	23	25	23	24	25	24	25	25	25	25	26	27	26	27	25	26	30	27	28	30	28	30	30	31	33	32	32	35	35	34	35	35	37	40	0	1	1	2	1	2	2	2	2	7	3	6	1	8	2	10	11	20	17	8	3	1	17	9	5	28	2	9	19	1	12	18	3	27	3	14	15	9	27	3	24	17	18	8	30	19	33	36	18	14	36	15	41	18	24	45	37	28	28	42	32	48	29	35	54	9	18	65	44	64	55	66	31	1	1	2	1	1	3	4	4	4	6	1	3	2	7	2	7	5	1	1	1	3	7	11	2	2	5	1	7	3	1	9	3	1	10	2	6	3	1	4	3	9	2	4	2	8	3	3	2	1	2	5	1	5	1	3	4	1	6	5	6	3	2	3	6	5	2	10	7	1	5	2	4	2	7	17
9000	-427.816049974964301	-426.436036170651164	-1.380013804313122	0.000117284224983	0.000052314204093	0.446046380917976	0.304252187592670	2	4	5	6	6	8	11	12	14	13	11	15	14	16	16	18	14	18	17	16	17	18	18	17	19	16	18	18	19	20	20	20	19	19	19	23	21	21	21	22	21	24	23	23	26	24	25	24	25	26	25	27	26	26	27	26	30	29	28	30	30	30	30	33	33	30	34	32	34	34	35	36	36	40	0	1	1	1	2	3	3	4	1	7	2	2	6	10	9	12	3	21	6	4	1	7	19	12	17	10	13	11	10	2	3	33	1	24	20	12	16	23	7	3	31	16	21	13	39	32	43	12	30	23	43	22	41	23	12	33	25	32	56	42	36	59	51	39	62	12	27	60	68	43	64	61	67	59	1	1	1	2	1	2	2	3	5	1	5	6	4	2	1	1	3	1	5	3	6	3	1	1	2	1	1	4	3	6	9	1	8	1	2	4	2	2	4	9	1	3	2	5	1	3	1	5	2	4	1	4	3	3	6	2	5	4	2	2	3	1	3	5	2	7	8	1	2	4	1	3	1	8
9500	-433.526801670079806	-432.112496414115128	-1.414305255964696	0.000125871352568	0.000047654507785	0.378596931013533	0.276680738817139	2	3	4	5	8	11	10	12	14	12	13	13	15	16	16	18	15	17	17	16	17	20	18	19	20	18	18	18	19	19	21	20	19	19	20	23	21	22	23	22	22	25	25	24	24	25	24	24	25	25	26	25	25	27	26	26	28	29	28	30	29	30	30	31	32	32	33	35	33	34	35	36	37	41	0	1	2	3	2	4	2	5	2	7	2	7	1	8	2	17	1	11	12	7	1	19	14	19	28	3	14	5	2	10	1	15	3	5	14	15	33	25	13	1	10	17	36	11	27	1	41	18	38	14	41	25	16	46	23	38	56	46	46	55	25	54	41	57	64	63	66	29	43	48	63	61	62	32	1	1	1	1	2	3	3	2	5	1	4	1	7	2	6	2	7	2	1	3	6	2	1	1	1	6	2	5	9	4	9	2	5	4	2	3	1	1	4	9	6	6	1	6	3	11	1	3	2	5	2	2	4	1	5	3	1	2	3	2	5	2	3	2	1	1	1	9	4	7	3	4	2	10
10000	-436.607246093815206	-435.246413945216716	-1.360832148598498	0.000079022269236	0.000045005387739	0.569527908700844	0.352380595587731	1	3	5	5	7	11	10	10	13	11	14	15	15	15	17	18	15	18	17	16	15	19	18	17	19	18	18	18	19	20	20	20	19	19	20	24	20	22	21	22	23	24	22	23	24	23	25	23	23	26	26	27	25	27	28	27	29	28	28	29	29	30	30	31	30	32	32	34	34	35	33	35	36	40	0	1	1	2	2	4	3	3	1	8	3	6	2	10	13	5	2	17	7	9	1	19	13	12	17	9	10	14	3	3	3	26	16	4	5	28	5	24	34	3	20	40	9	19	49	31	32	34	22	33	20	50	35	46	51	22	41	14	54	55	28	51	50	48	60	48	56	65	64	13	65	62	69	71	1	1	2	1	2	3	2	2	7	1	6	2	6	2	1	6	6	1	3	1	6	2	2	2	3	2	3	2	6	10	7	1	1	8	11	3	7	2	1	8	2	1	4	2	1	2	2	2	2	2	4	1	3	2	2	5	3	6	1	1	4	3	2	4	1	4	2	2	2	11	2	2	2	3
10500	-460.266816110858997	-458.881756075694057	-1.385060035164950	0.000103856674496	0.000044941113959	0.432722443472641	0.291288766997500	1	2	4	5	7	10	12	11	14	12	13	15	14	17	16	20	15	19	18	17	14	17	18	19	19	16	18	18	20	20	21	20	19	20	21	23	22	22	23	23	22	24	25	23	25	24	26	25	25	25	25	26	26	27	27	24	28	29	29	29	31	29	31	32	31	31	33	35	34	34	33	36	37	39	0	1	2	2	1	1	1	4	3	3	2	3	2	12	1	4	11	27	10	13	2	3	13	20	9	7	6	6	20	10	1	27	12	28	25	38	34	24	29	25	13	15	42	21	11	31	56	27	28	39	8	35	33	34	27	27	29	3	6	13	54	54	44	45	58	15	58	48	49	46	56	69	69	51	1	1	1	2	3	3	5	3	5	3	6	4	6	1	8	5	1	1	4	2	4	4	2	1	4	2	3	4	1	4	11	2	2	1	1	1	1	1	3	3	3	5	1	6	5	2	1	4	4	1	7	2	4	4	6	3	4	10	9	8	2	1	4	3	1	6	2	5	5	7	5	1	2	6
