step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8
5000	-19.011299965077118	-25.866787916036490	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.976608066828274	4	5	7	9	8	9	9	10	0	1	2	0	3	3	5	7	1	1	1	1	1	1	1	1
5500	-22.852617912012438	-29.708105862971809	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.844750515300411	3	5	6	8	7	9	9	10	0	1	1	0	2	3	5	7	1	1	1	1	1	2	1	1
6000	-17.496375602135171	-24.351863553094542	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.905460041026318	5	6	7	8	7	9	9	11	0	1	1	0	1	2	5	7	1	1	1	1	1	1	1	1
6500	-18.989530778480908	-25.845018729440280	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.980157829761570	5	6	7	8	7	10	9	11	0	1	2	0	2	3	5	7	1	1	1	1	1	1	1	1
7000	-24.275987401752545	-31.131475352711917	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.906113899258264	4	5	8	8	7	9	8	10	0	1	2	0	1	5	5	7	1	1	2	1	2	1	1	1
7500	-16.625086569690982	-23.480574520650354	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.938498664604312	4	5	7	9	7	9	8	10	0	1	2	0	2	3	5	7	1	1	1	1	1	1	1	1
8000	-16.591008013383373	-23.446495964342745	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.976874631633574	5	6	7	9	7	9	9	10	0	1	1	0	1	3	5	7	1	1	1	1	1	1	1	1
8500	-25.078741045542849	-31.934228996502220	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.651708164911118	5	6	7	7	7	10	9	10	0	1	2	0	2	2	5	7	1	1	1	1	1	3	1	1
9000	-16.903728077792255	-23.759216028751627	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.999462600027899	5	6	7	8	6	9	8	10	0	1	2	0	1	3	5	7	1	1	1	1	1	1	1	1
9500	-20.160827548130044	-27.016315499089416	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.597114954458877	5	6	7	8	7	10	8	10	0	1	1	0	1	2	5	7	1	1	1	1	1	2	1	1
10000	-18.495914404701701	-25.351402355661072	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.921690349605934	4	6	8	9	6	9	8	10	0	1	2	0	1	3	5	7	1	1	1	1	1	1	1	1
10500	-24.673559030692786	-31.529046981652158	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.806616760070707	4	5	7	9	6	9	8	9	0	1	1	0	2	2	5	7	1	1	2	1	1	2	1	1
11000	-17.447567214966966	-24.303055165926338	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.881990025318255	4	5	7	8	7	9	8	10	0	1	2	0	1	3	5	7	1	1	1	1	1	1	1	1
11500	-22.270541845286015	-29.126029796245387	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.878781510841953	4	6	7	7	7	9	8	10	0	1	2	0	1	2	5	7	1	1	1	1	2	1	1	1
12000	-18.840027914891891	-25.695515865851263	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.749119282585373	5	6	7	8	7	9	9	10	0	1	2	0	2	3	5	7	1	1	1	1	1	1	1	1
12500	-21.453626125080532	-28.309114076039904	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.871565611939776	5	6	7	8	7	9	8	11	0	1	2	0	2	1	5	7	1	1	1	1	1	2	1	1
13000	-25.139721213657648	-31.995209164617020	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.832791149431459	4	6	8	7	8	10	9	10	0	1	2	0	2	3	5	7	1	1	2	1	1	1	1	1
