step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18
7000	-137.993217097927698	-144.848705048887069	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.489847482334680	0	4	8	16	16	17	20	18	17	19	22	21	21	23	24	26	37	41	0	1	1	2	0	4	8	5	4	8	9	6	6	4	12	11	0	4	1	1	4	6	1	1	2	1	1	1	3	3	2	4	2	2	1	13
7500	-137.436918721234491	-144.292406672193863	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.425078985181225	1	4	9	15	13	17	19	17	18	18	22	20	22	23	24	26	39	41	0	1	1	2	0	4	8	5	4	8	9	6	9	6	12	11	0	4	1	1	4	4	1	1	1	2	2	1	2	2	2	3	2	3	1	12
8000	-125.330523374713380	-132.186011325672752	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.301441946927649	0	5	9	15	16	17	19	18	18	20	21	22	23	23	24	26	38	41	0	1	2	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	2	3	6	1	2	1	2	2	1	2	2	3	3	1	2	1	10
8500	-137.593919428684160	-144.449407379643532	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.490780434373347	1	6	10	15	15	17	19	17	19	19	21	21	22	23	23	26	36	40	0	1	2	2	0	4	8	5	4	8	9	6	12	6	12	11	0	4	1	2	2	4	1	2	2	1	2	1	1	2	1	5	1	2	1	11
9000	-139.087368390083469	-145.942856341042841	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.361734932477080	1	6	8	15	15	17	19	17	17	19	19	21	22	22	24	26	38	40	0	1	2	2	0	4	8	5	4	8	4	6	6	6	12	4	0	4	1	2	2	4	1	1	1	1	1	2	4	2	3	2	2	6	1	11
9500	-131.691449684117487	-138.546937635076858	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.268956548940118	0	5	8	15	15	18	19	16	18	19	21	21	22	22	25	26	38	41	0	1	2	2	0	4	8	5	4	8	4	6	6	6	12	4	0	16	1	2	1	4	1	1	2	1	2	2	3	1	2	2	2	7	1	10
10000	-132.169981979125197	-139.025469930084569	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.458019977294140	1	5	8	15	15	18	20	17	18	18	21	22	22	23	24	27	38	38	0	1	2	2	0	4	8	5	4	8	4	6	6	6	12	4	0	16	1	3	1	3	1	2	1	1	2	1	3	2	2	2	1	6	1	6
10500	-130.604383437499166	-137.459871388458538	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.407001906509740	0	5	8	15	14	17	19	18	17	19	22	22	21	23	23	26	38	41	0	1	2	2	0	4	8	5	4	8	9	13	6	13	12	11	0	4	1	3	2	4	1	2	1	2	1	1	2	1	1	1	1	2	1	11
11000	-141.037323681080807	-147.892811632040178	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.360014331270621	0	4	9	13	15	17	19	18	18	20	22	21	22	23	23	26	37	42	0	1	2	2	0	4	8	5	4	8	4	4	6	11	6	11	0	11	1	2	3	4	1	2	1	2	3	1	4	4	2	1	2	2	1	8
11500	-141.362157201602230	-148.217645152561602	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.337412314878963	0	4	10	15	15	17	19	18	18	19	22	21	21	23	25	27	36	40	0	1	1	2	0	4	8	5	6	8	9	4	6	6	12	11	0	4	1	2	4	6	1	2	1	1	1	1	2	3	2	3	2	3	1	7
12000	-126.652101101759428	-133.507589052718799	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.408524475629722	1	5	9	15	15	17	20	19	18	20	20	20	22	23	24	26	39	42	0	1	1	2	0	4	8	5	4	8	4	6	6	6	12	11	0	4	1	2	4	5	1	1	1	2	2	1	3	2	3	3	3	3	1	12
12500	-139.868421990115820	-146.723909941075192	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.392204586122137	0	5	9	16	15	18	20	19	18	17	20	20	22	23	23	27	38	39	0	1	2	2	0	4	8	10	4	5	4	4	4	6	12	11	0	4	1	2	4	5	1	1	1	1	1	1	2	2	3	3	2	4	1	12
13000	-153.840622641695802	-160.696110592655174	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.488630980092662	1	4	10	15	15	17	20	18	19	20	20	22	22	21	24	27	39	40	0	1	1	3	0	4	8	5	4	8	4	14	6	6	12	9	0	16	1	1	4	1	1	1	1	2	2	1	2	1	2	2	1	3	1	7
13500	-139.719742056233144	-146.575230007192516	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.506270446632182	0	4	9	16	16	17	20	18	17	20	21	20	23	23	25	25	37	41	0	1	2	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	2	2	5	1	1	2	1	1	1	2	1	4	3	2	2	1	7
14000	-128.229877006787945	-135.085364957747316	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.338945398793355	0	6	8	16	14	18	19	17	18	19	22	21	22	24	24	26	38	42	0	1	2	2	0	4	8	5	4	8	9	6	6	13	12	4	0	4	1	3	1	4	1	1	1	1	1	1	2	1	2	1	1	5	1	14
14500	-125.505528131382164	-132.361016082341536	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.481547465878943	-1	6	7	15	15	17	20	18	19	19	22	22	21	23	24	26	38	41	0	1	2	2	0	4	8	5	4	8	4	13	6	13	12	11	0	4	1	4	1	4	1	1	1	1	2	1	3	1	2	1	1	2	1	14
15000	-143.529409810406861	-150.384897761366233	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.403456496163559	0	6	10	14	15	17	20	18	17	20	22	22	22	23	24	25	37	41	0	1	1	2	0	4	8	5	4	8	9	6	6	6	12	11	0	11	1	3	5	4	1	2	1	1	2	1	3	2	4	2	2	2	1	11
15500	-135.539118880881659	-142.394606831841031	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.435998294155231	1	4	8	15	16	17	20	18	18	20	22	21	23	24	24	26	37	41	0	1	1	2	0	4	8	5	4	8	4	4	6	6	13	11	0	4	1	1	3	7	1	1	1	1	2	1	3	4	4	5	1	2	1	14
16000	-137.096491047879795	-143.951978998839166	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.379982214182776	1	4	6	15	15	18	19	18	19	20	21	22	22	23	25	27	39	38	0	1	1	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	2	2	6	1	1	1	2	2	2	2	1	2	3	1	3	1	12
16500	-137.258433180992597	-144.113921131951969	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.389129178408542	1	3	9	15	15	17	20	16	18	19	22	21	22	24	24	26	39	41	0	1	2	2	0	4	8	5	4	8	4	6	6	13	12	11	0	4	1	1	2	5	1	2	2	1	2	2	3	2	1	1	1	2	1	11
17000	-146.821870572903265	-153.677358523862637	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.369179501641785	1	5	8	15	15	17	20	18	19	20	21	21	22	23	23	27	38	40	0	1	2	3	0	4	8	5	4	8	9	6	4	6	12	11	0	4	1	1	2	4	1	1	1	2	2	2	2	2	3	3	1	4	1	10
17500	-126.296413176583911	-133.151901127543283	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.317886127729311	-1	4	9	16	15	18	20	18	18	20	21	20	22	23	25	26	38	41	0	1	2	2	0	4	8	5	4	8	4	6	6	6	12	11	0	4	1	2	3	5	1	1	1	2	2	1	2	1	2	3	2	3	1	11
18000	-142.315556821107350	-149.171044772066722	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.243325848869023	1	4	10	13	15	17	19	18	19	19	21	20	23	23	24	27	39	39	0	1	2	2	0	4	8	5	4	8	4	6	6	6	13	11	0	11	1	2	3	4	1	3	1	2	3	1	4	2	3	3	1	2	1	11
18500	-135.350462004099057	-142.205949955058429	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.368689531171596	0	5	9	15	16	17	20	18	18	20	20	22	22	24	24	26	39	41	0	1	2	2	0	4	8	5	4	8	4	6	6	13	12	11	0	2	1	2	2	5	1	1	1	1	1	1	2	2	2	1	1	4	1	18
19000	-155.544372244146928	-162.399860195106299	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.303915395450010	1	6	8	12	15	18	19	18	19	19	21	22	23	24	24	26	39	41	0	1	1	2	0	4	8	5	4	8	9	6	6	6	12	2	0	4	1	3	4	3	1	3	1	1	4	1	2	2	2	2	2	9	1	19
19500	-134.269497881295933	-141.124985832255305	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.452434094837848	1	6	10	16	15	18	20	17	18	19	22	22	23	23	25	25	38	42	0	1	2	2	0	4	8	5	4	8	4	6	6	6	12	11	0	4	1	4	1	4	1	1	2	1	1	1	2	2	2	2	2	2	1	14
20000	-132.578134651104477	-139.433622602063849	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.434002172922964	0	5	9	15	15	17	18	17	18	20	21	20	23	24	22	26	38	41	0	1	1	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	3	4	6	1	2	1	1	1	1	2	2	3	4	1	2	1	13
20500	-144.380072648604340	-151.235560599563712	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.447404685007325	-1	6	10	16	16	18	19	18	17	20	21	21	23	21	24	26	39	41	0	1	1	3	0	4	8	5	4	8	9	6	14	6	12	11	0	2	1	4	5	2	1	1	1	1	1	2	3	2	1	2	1	3	1	13
21000	-139.757114697575474	-146.612602648534846	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.425532401613441	1	5	8	16	16	17	20	17	18	20	21	22	22	23	25	25	39	42	0	1	2	2	0	4	8	5	4	8	4	6	6	12	12	13	0	4	1	2	1	5	1	1	2	1	1	2	2	3	3	1	2	2	1	14
21500	-138.596146015502029	-145.451633966461401	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.333380860917100	0	5	8	16	16	18	20	18	19	20	19	21	22	20	25	27	39	41	0	1	2	2	0	4	8	5	4	8	2	6	14	6	12	11	0	11	1	2	1	5	1	1	1	1	1	2	7	1	2	2	1	4	1	12
22000	-132.946969703542294	-139.802457654501666	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.387966927314545	1	4	8	15	14	18	20	18	19	20	22	20	22	23	23	25	39	41	0	1	1	2	0	4	8	5	4	8	2	6	4	12	12	11	0	11	1	2	3	5	1	2	1	2	2	1	8	2	3	2	2	2	1	9
22500	-128.134238441725984	-134.989726392685355	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.386737093372279	0	4	9	15	16	17	19	18	18	20	22	21	21	23	24	26	38	39	0	1	1	2	0	4	8	5	4	8	9	6	6	12	12	11	0	4	1	2	3	6	1	1	1	1	2	1	2	3	2	2	2	2	1	10
23000	-128.556981511811813	-135.412469462771185	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.453805344097213	0	5	8	16	15	18	20	19	18	20	21	21	23	21	24	26	38	41	0	1	2	2	0	4	8	5	4	8	4	6	14	6	12	11	0	4	1	2	2	4	1	1	1	2	2	1	2	2	1	1	2	2	1	10
23500	-135.946246486093997	-142.801734437053369	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.534236844257439	0	4	8	14	15	18	19	17	19	19	21	22	22	24	25	26	38	41	0	1	1	2	0	4	8	5	6	8	9	6	6	13	12	11	0	4	1	3	3	5	1	3	1	1	1	1	1	2	2	1	2	3	1	9
24000	-132.454066590100012	-139.309554541059384	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.330082207425042	1	5	9	15	16	17	19	18	19	20	21	22	21	23	24	26	38	41	0	1	2	2	0	4	8	5	4	8	4	6	6	6	13	4	0	4	1	2	1	5	1	1	1	1	2	1	3	3	2	4	2	5	1	16
24500	-137.714412041916859	-144.569899992876230	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.454976798745131	0	5	7	15	15	17	19	18	17	19	21	21	22	23	24	24	37	40	0	1	2	2	0	4	8	5	4	8	9	6	6	6	12	4	0	2	1	3	1	4	1	1	1	1	1	1	3	2	3	3	1	4	1	18
25000	-129.328927220278956	-136.184415171238328	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.498161395592117	1	5	9	16	16	18	19	18	19	20	20	22	21	22	25	26	38	41	0	1	2	2	0	4	8	5	4	8	4	6	6	6	12	11	0	4	1	3	1	5	1	1	1	1	2	1	2	2	1	2	1	2	1	9
25500	-123.441694555412283	-130.297182506371655	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532475099236813	1	5	9	16	15	17	19	18	19	19	22	22	21	22	24	27	38	40	0	1	2	2	0	4	8	5	4	8	9	13	6	6	12	11	0	4	1	2	2	6	1	1	1	2	2	1	2	1	2	3	1	3	1	11
26000	-140.692247252292560	-147.547735203251932	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.447313219835842	0	6	9	16	15	18	19	17	17	19	20	21	23	23	25	25	38	41	0	1	2	2	0	4	8	5	4	8	9	6	6	12	12	11	0	4	1	4	1	3	1	1	1	1	1	2	1	2	3	1	2	3	1	12
26500	-135.506842364771273	-142.362330315730645	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.401403773790364	0	6	8	15	15	18	20	17	18	19	21	21	21	24	25	25	38	40	0	1	2	2	0	4	8	5	4	8	4	6	6	13	12	11	0	11	1	2	1	3	1	2	2	1	1	1	3	1	2	1	2	2	1	10
27000	-133.265961736894440	-140.121449687853811	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.371625830769830	0	6	9	15	15	17	20	18	17	19	20	22	22	23	24	26	37	41	0	1	2	2	0	4	8	5	4	8	4	6	6	12	12	4	0	4	1	4	1	5	1	1	2	1	1	1	3	4	2	1	1	4	1	10
27500	-135.167884949455186	-142.023372900414557	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.415594098168425	1	5	9	16	15	18	20	17	19	20	21	21	22	23	24	25	38	41	0	1	2	2	0	4	8	5	4	8	4	6	6	6	12	11	0	4	1	2	2	3	1	1	2	1	2	1	2	2	2	3	1	2	1	12
28000	-134.652372071403562	-141.507860022362934	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.351774478935474	0	5	10	14	14	17	20	18	19	20	22	21	23	23	25	26	39	42	0	1	2	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	4	2	4	1	2	1	3	2	1	1	2	3	3	2	1	1	12
28500	-139.568367775257968	-146.423855726217340	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.299030868318520	1	4	8	15	15	16	20	17	18	19	20	21	20	22	25	27	38	41	0	1	1	2	0	4	8	5	4	8	9	13	6	6	12	11	0	4	1	1	2	6	1	1	2	1	1	1	1	1	3	3	2	2	1	9
29000	-131.932363265910055	-138.787851216869427	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.371326864510829	1	4	10	14	15	17	19	18	18	19	20	21	22	23	24	27	38	41	0	1	1	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	2	4	4	1	1	1	1	3	1	1	2	2	3	1	3	1	13
29500	-142.929991976327841	-149.785479927287213	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.414638536119502	1	4	6	15	13	18	19	18	18	19	22	21	22	24	24	26	38	40	0	1	1	2	0	4	8	5	4	8	9	6	6	12	12	4	0	4	1	1	2	5	1	2	1	4	1	1	3	2	2	2	2	4	1	12
30000	-139.510399891933076	-146.365887842892448	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.399051647579594	1	6	10	15	15	16	20	18	18	19	22	21	22	23	25	26	36	40	0	1	1	1	0	4	8	5	4	8	4	6	6	12	12	11	0	4	1	3	6	5	1	1	1	1	2	1	4	2	2	1	2	2	1	11
30500	-128.995308853603916	-135.850796804563288	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.420357493103206	0	6	9	15	14	17	19	18	17	20	21	22	21	24	24	26	36	39	0	1	2	2	0	4	8	5	4	8	4	13	6	6	12	11	0	4	1	3	2	5	1	1	1	2	1	1	2	1	2	5	1	3	1	13
31000	-128.783393926798084	-135.638881877757456	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.266473595975039	1	5	9	15	15	17	19	18	18	19	21	20	23	23	23	25	39	42	0	1	1	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	2	4	6	1	2	1	1	1	1	2	2	3	3	2	2	1	13
31500	-135.279798278692141	-142.135286229651513	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.558910961844634	1	6	9	15	16	16	19	18	18	20	20	21	23	21	23	26	39	40	0	1	2	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	2	2	4	1	1	1	1	2	1	1	3	3	2	1	3	1	12
32000	-135.787244855314526	-142.642732806273898	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.409604038405931	1	3	9	13	14	17	20	18	18	19	21	20	22	22	23	26	39	40	0	1	1	2	0	4	8	5	4	8	9	9	12	12	12	11	0	4	1	1	4	6	1	2	1	2	3	1	2	2	1	1	1	2	1	13
32500	-138.941376331248932	-145.796864282208304	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.267707210696074	0	6	10	15	13	17	19	18	18	19	20	21	21	24	25	27	38	39	0	1	1	2	0	4	8	5	4	8	9	6	6	13	12	11	0	3	1	4	5	4	1	2	1	2	1	1	1	2	2	2	2	3	1	14
33000	-138.112607987425321	-144.968095938384693	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.290944948682145	0	4	9	15	16	18	19	18	18	20	21	22	22	24	23	27	36	40	0	1	2	2	0	4	8	5	4	8	9	4	6	6	6	11	0	4	1	3	3	6	1	2	1	1	2	1	2	6	2	2	2	4	1	13
33500	-129.739997115726254	-136.595485066685626	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.368718955964253	0	5	10	15	15	17	19	19	17	20	20	20	22	23	24	26	38	41	0	1	2	2	0	4	5	5	4	7	4	6	6	6	12	11	0	4	1	2	2	5	1	1	2	2	1	1	3	2	2	3	2	3	1	15
34000	-139.568593953444747	-146.424081904404119	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.287178047987168	1	4	9	14	15	18	20	18	17	19	21	21	22	23	24	26	37	41	0	1	1	2	0	4	8	5	4	8	9	6	6	6	12	4	0	4	1	1	4	7	1	2	1	2	1	1	2	2	2	2	1	6	1	20
34500	-130.645467735728090	-137.500955686687462	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.336841145396246	0	6	9	14	15	18	19	18	17	20	21	21	22	24	25	25	38	42	0	1	2	2	0	9	8	5	4	8	9	6	6	6	12	11	0	4	1	3	2	4	1	1	1	2	2	1	2	1	2	4	2	2	1	17
35000	-130.190231985673250	-137.045719936632622	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.332135804919376	0	6	9	15	15	17	20	18	17	19	22	21	22	24	24	27	38	41	0	1	2	2	0	4	8	5	4	8	2	6	6	6	12	11	0	2	1	3	2	4	1	1	1	2	1	1	8	2	2	3	2	3	1	17
35500	-127.501808289126274	-134.357296240085645	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.417503087974235	0	6	8	15	15	17	19	18	18	19	21	21	22	23	24	26	39	41	0	1	2	2	0	4	8	5	4	8	4	6	6	6	14	11	0	4	1	3	1	4	1	1	1	1	2	1	3	2	3	3	1	3	1	16
36000	-133.474398640174087	-140.329886591133459	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.313896944400834	0	6	8	15	14	17	19	16	18	18	21	21	22	23	24	26	38	40	0	1	2	2	0	4	8	5	4	8	4	4	6	13	12	11	0	2	1	4	1	5	1	1	2	1	2	1	2	2	2	1	2	3	1	13
36500	-128.103170929518825	-134.958658880478197	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.399118359172445	0	6	9	15	16	18	19	18	19	20	21	22	22	23	24	27	39	41	0	1	1	2	0	4	8	5	4	8	4	6	6	12	12	11	0	4	1	2	4	6	1	1	1	1	2	1	3	2	2	1	1	4	1	12
37000	-127.637821726328383	-134.493309677287755	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.446965196479408	-1	4	10	16	16	17	20	18	17	20	20	22	22	24	24	26	38	41	0	1	2	2	0	4	8	5	4	8	9	6	6	13	12	11	0	4	1	3	3	5	1	1	1	1	1	1	2	3	2	1	1	3	1	12
37500	-128.993316078328093	-135.848804029287464	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.446259599771241	1	6	9	15	13	17	19	17	19	19	22	20	22	24	24	26	38	41	0	1	2	2	0	4	8	5	4	8	9	6	12	13	12	4	0	4	1	3	1	4	1	1	1	2	2	1	2	2	1	1	2	4	1	11
38000	-140.131651291794839	-146.987139242754210	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.433956869587877	0	6	8	15	16	17	20	19	19	20	21	22	21	21	23	26	37	41	0	1	2	2	0	4	8	5	4	8	9	4	6	6	6	4	0	4	1	4	1	4	1	1	1	2	2	1	1	3	3	1	3	5	1	12
38500	-133.398432885314378	-140.253920836273750	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.442201475401134	0	6	8	15	16	18	20	18	18	19	21	22	22	23	23	26	39	42	0	1	1	2	0	4	8	5	4	8	9	6	6	6	12	11	0	4	1	2	3	4	1	1	1	1	2	1	1	2	2	2	1	3	1	10
