step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46
33000	-230.439245935379887	-228.578000831238683	-1.861245104141191	0.000126291354416	0.000020605858041	0.163161272094403	0.843029667437329	0	2	3	3	5	5	6	7	7	9	10	11	11	13	10	13	15	14	16	14	16	18	12	17	20	16	20	18	20	18	17	22	21	21	21	23	22	23	23	24	25	26	25	28	28	29	0	1	2	2	2	4	4	5	0	8	9	8	15	13	10	0	14	23	20	16	0	26	15	21	31	18	31	24	24	26	26	27	29	31	28	27	33	35	35	39	38	35	38	38	39	40	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1
33500	-224.407161800260383	-222.947454398640588	-1.459707401619788	0.000098502291360	0.000032191913557	0.326813854909755	0.742164581279629	0	2	3	3	4	5	5	7	7	9	10	11	11	12	12	13	14	14	16	14	15	16	13	17	19	18	19	18	20	19	18	23	20	21	21	22	23	22	24	24	25	25	26	27	27	28	0	1	2	2	2	4	3	6	0	6	9	10	10	10	13	0	14	23	16	16	0	15	15	21	22	15	31	24	24	23	22	31	24	22	28	30	33	29	35	29	29	39	39	39	40	39	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	3	1	1	2	3	1	2	1	2	1	1	2	1	1	2	2	1	1	2	2	2
34000	-273.144298193115674	-271.025776478785247	-2.118521714330424	0.000129939326982	0.000015891881086	0.122302319513695	0.517267222283296	1	2	4	3	6	4	6	7	8	9	11	11	10	11	13	14	14	13	16	15	15	17	15	16	19	18	19	18	20	20	18	22	20	22	22	22	21	22	24	25	24	25	26	27	26	29	0	1	4	1	4	2	6	2	0	8	9	8	7	10	12	0	14	8	16	16	0	15	18	21	15	22	31	24	28	15	22	26	24	27	29	26	33	28	29	28	24	29	39	35	35	35	1	1	1	2	1	1	1	3	1	1	2	2	3	1	1	1	2	3	1	1	1	2	2	1	3	1	1	1	1	3	1	2	2	2	1	2	1	3	2	3	5	4	2	3	2	3
34500	-260.377697622750020	-258.575910723707921	-1.801786899042121	0.000068518249013	0.000012070018570	0.176157720664161	0.685054665262105	-1	2	3	4	6	5	6	7	6	9	9	11	9	12	12	13	15	13	14	14	14	18	15	16	20	16	20	19	20	19	19	21	20	22	22	22	23	22	23	25	24	26	25	24	27	27	0	1	1	3	3	4	4	2	0	8	9	13	8	10	13	0	14	15	16	16	0	26	18	21	26	18	15	24	24	18	26	30	28	30	29	30	33	29	24	39	35	29	39	38	42	40	1	2	2	1	2	1	1	1	1	1	2	1	1	1	3	1	2	1	1	1	1	1	1	1	2	1	3	2	2	3	2	1	1	2	2	1	2	1	3	2	1	4	1	2	1	1
35000	-230.315847443535091	-228.609089068700825	-1.706758374834279	0.000079357732094	0.000015986505075	0.201448613167723	0.792826099451579	0	1	3	3	5	5	6	7	7	9	11	12	11	12	13	11	14	14	16	14	14	19	15	17	19	17	20	18	20	18	18	21	19	22	22	23	23	20	22	24	24	25	25	27	26	29	0	1	2	2	2	4	4	6	0	8	9	13	10	10	13	0	14	15	16	16	0	23	18	21	30	18	31	24	24	26	26	22	24	27	28	27	33	24	29	39	39	39	41	39	42	44	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	3	2	1	1	1	1	1	2	1	1	1	1
35500	-239.956986030202103	-237.930949192837403	-2.026036837364696	0.000069132368122	0.000009315976311	0.134755637100794	0.558941437480184	-1	1	4	2	4	4	7	8	7	9	9	12	11	13	12	13	14	13	15	15	15	16	15	16	19	18	19	17	20	20	18	20	20	21	22	23	22	23	23	24	24	25	25	27	27	28	0	1	4	2	4	4	6	7	0	8	9	13	10	13	13	0	14	15	16	16	0	13	18	21	22	15	31	24	28	25	22	26	28	26	29	26	33	29	29	29	38	35	40	42	40	40	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	4	1	1	2	1	1	1	2	2	1	2	1	2	2	1	1	2	1	2	2	2
36000	-246.762953466929872	-245.132099809347409	-1.630853657582477	0.000102932885835	0.000023405752668	0.227388482101629	0.758333380972820	1	2	4	4	5	5	6	7	8	9	11	11	11	12	13	11	14	14	15	14	16	18	15	17	19	19	18	18	19	20	16	21	19	21	21	21	23	22	24	24	24	25	26	27	28	27	0	1	1	2	4	4	4	3	0	7	9	10	10	10	13	0	13	12	20	16	0	18	15	21	22	18	31	24	24	31	18	31	28	26	29	26	33	29	35	35	29	35	38	40	43	39	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	1	1	1	3	1	1	1	3	1	1	1	2	1	2	1	1	1	1	2	2	2	1	2	2	2	1	1	1
36500	-240.345621386013448	-238.612255627480323	-1.733365758533114	0.000094324058176	0.000018270180202	0.193695866725811	0.773096660887950	0	1	3	3	5	4	6	7	7	8	10	10	11	12	13	11	15	14	14	14	15	19	16	17	19	18	19	18	19	17	17	22	20	20	22	22	23	22	23	25	24	25	26	27	28	26	0	1	2	2	4	4	4	6	0	8	9	10	12	12	13	0	14	15	16	16	0	31	18	21	30	18	31	21	28	15	15	31	24	31	29	30	33	29	29	41	35	35	38	39	44	41	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	2	1	2	1	2	2	1	2	2	2	2	2	1	2	2	1	2	1	1
37000	-198.763380804361447	-197.152121137553706	-1.611259666807737	0.000110657849119	0.000026031412479	0.235242350056055	0.871640951415031	0	2	3	4	5	5	6	7	8	8	11	11	10	12	13	13	14	14	15	15	15	17	16	17	19	18	19	18	20	18	18	21	20	20	21	21	22	22	23	24	25	26	24	26	27	27	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	15	16	16	0	18	18	21	22	23	31	24	28	22	22	27	24	31	29	22	33	29	29	38	39	35	38	43	44	41	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
37500	-245.027191395590933	-243.549745788573972	-1.477445607016967	0.000071926295946	0.000022409211503	0.311557980403653	0.670414054187464	1	2	3	3	5	5	5	7	7	9	11	12	10	11	12	12	15	13	14	14	15	18	16	17	19	16	19	18	21	17	17	22	21	21	20	22	22	23	24	25	24	25	24	27	26	28	0	1	2	2	2	4	4	6	0	8	9	13	10	13	13	0	14	15	16	16	0	15	18	21	23	15	31	24	35	18	23	26	24	31	24	22	33	29	29	38	35	29	38	41	43	42	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	3	2	1	2	2	1	1	1	2	1	2	3	3	2	2	1	2	2	1	2	2	1	2	1	1
38000	-252.561785644419359	-250.329529935768335	-2.232255708651036	0.000105559266206	0.000011548560631	0.109403570579445	0.547375129076488	-1	2	3	3	5	4	6	7	7	9	10	10	10	12	12	13	15	13	14	14	14	17	15	16	20	18	20	18	20	19	18	22	20	21	22	23	21	22	24	24	24	26	25	27	27	28	0	1	2	2	3	4	4	6	0	8	9	7	10	13	13	0	14	15	16	16	0	12	18	21	22	18	22	24	24	18	15	22	24	31	28	27	33	28	28	24	38	38	40	41	40	42	1	3	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	3	1	1	2	3	2	2	2	4	4	2	2	2	2	2	1	2	4	4	1	2	1	1	2	1
38500	-235.423184109970094	-233.710747464378358	-1.712436645591729	0.000081767976825	0.000016332649187	0.199743833974990	0.815221333776239	-1	1	3	3	5	5	6	7	6	10	10	12	11	12	13	12	14	14	15	14	15	18	16	16	18	18	19	19	20	19	16	21	21	21	22	21	22	22	22	25	24	26	24	24	27	28	0	1	2	2	2	4	4	6	0	8	9	13	10	10	13	0	14	15	16	16	0	15	15	21	23	15	31	24	28	26	15	31	28	27	29	25	28	28	29	28	39	35	29	29	42	42	1	1	1	2	2	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1
39000	-235.652547406127354	-234.153636088758248	-1.498911317369114	0.000085631382170	0.000025296525616	0.295411856905001	0.764768634922878	-1	2	3	4	4	5	4	7	8	8	10	11	10	12	13	13	14	14	15	15	14	18	15	16	18	19	18	17	21	19	19	21	21	21	19	21	22	22	24	25	24	26	26	26	28	28	0	1	2	2	2	2	2	6	0	8	9	13	10	10	13	0	14	13	16	16	0	23	15	21	15	22	23	24	24	15	22	27	28	30	28	30	33	35	35	39	38	41	41	38	44	44	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	2	1	2	1	3	4	1	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1
39500	-239.616411014086424	-237.965411054653600	-1.650999959432816	0.000106503747625	0.000023416315826	0.219863773327143	0.694730490581692	1	2	3	3	4	5	7	7	6	8	10	10	11	12	12	12	14	13	14	14	15	15	15	16	19	18	19	18	20	20	17	22	20	22	22	23	21	22	23	25	23	24	26	27	26	28	0	1	2	2	2	4	4	6	0	7	9	10	12	12	12	0	14	13	16	16	0	15	18	21	26	23	31	24	28	26	22	26	28	23	29	27	33	29	29	29	29	29	41	39	40	40	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	1	1	1	3	1	4	1	2	1	1	2	4	1	2	1	2	1	1
40000	-231.113762018741994	-229.175852819331112	-1.937909199410880	0.000073110800471	0.000010876249602	0.148763924509202	0.878806055901542	1	2	4	3	4	5	4	7	7	9	10	10	11	12	12	12	13	14	16	14	15	17	16	17	20	16	18	19	19	18	18	22	20	21	21	22	22	21	23	24	24	24	26	26	26	29	0	1	2	2	2	4	4	6	0	8	9	10	12	12	13	0	14	15	16	16	0	26	18	21	30	15	13	24	24	26	26	27	24	27	29	26	33	29	35	38	38	35	40	29	40	42	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	3	1	1	1	2	1	2	1	2	1	2
40500	-268.696177580983260	-267.196937292651512	-1.499240288331765	0.000070319315228	0.000020756920360	0.295180922802991	0.686760898418091	0	2	3	3	6	5	5	7	8	8	9	11	12	11	13	14	13	14	15	15	15	18	15	16	20	15	19	18	19	18	18	20	20	21	21	22	22	21	22	24	24	26	25	28	27	29	0	1	2	2	2	4	4	3	0	7	9	5	12	10	12	0	14	12	16	16	0	12	15	21	31	15	31	24	24	26	15	22	24	31	28	31	33	24	28	35	39	41	39	42	38	45	1	1	1	1	4	2	1	1	1	1	1	3	1	2	1	1	1	2	1	1	1	4	1	1	1	2	1	1	2	2	2	1	2	2	2	2	1	2	2	2	1	1	2	1	4	2
41000	-238.847942749729214	-237.063679509250392	-1.784263240478811	0.000096716660132	0.000017443579547	0.180357546707105	0.710281795208826	0	2	4	3	6	4	6	6	7	9	10	11	10	12	12	13	14	13	15	14	15	19	16	16	18	18	18	18	19	17	16	21	20	22	21	22	22	22	23	24	25	25	24	27	27	27	0	1	2	2	3	4	4	6	0	8	9	10	10	12	13	0	14	15	16	16	0	30	13	21	23	12	30	24	24	13	15	27	28	26	24	23	33	29	29	29	29	29	38	42	42	39	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	4	1	1	3	1	1	1	3	2	2	1	2	4	3	1	2	2	2	2	3	1	1	1	2
41500	-237.522550069441337	-235.924368684796292	-1.598181384645035	0.000070507580246	0.000016979225113	0.240814179892168	0.818564699297159	0	2	3	3	5	5	6	7	7	9	11	11	11	12	12	13	15	14	16	14	14	19	13	17	20	18	19	18	21	18	17	22	19	20	22	22	21	19	24	24	24	26	26	28	27	27	0	1	2	2	2	3	4	7	0	8	9	10	10	12	13	0	14	23	16	16	0	30	15	21	30	31	31	24	38	15	15	31	24	30	38	27	33	24	38	29	29	29	41	42	40	41	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	2	1	1	3	1	2	2	1	1	1	1
42000	-234.902507753725445	-233.257318050162866	-1.645189703562568	0.000083605072879	0.000018558707059	0.221980633707341	0.665502601056561	0	2	3	3	4	4	5	7	7	10	10	10	11	13	12	13	14	13	15	14	15	18	15	16	19	18	20	18	20	19	18	22	20	21	22	22	23	22	22	24	23	25	26	27	26	28	0	1	2	2	2	4	4	6	0	8	9	8	10	12	13	0	14	15	16	16	0	15	18	21	15	13	22	24	24	22	15	25	24	26	29	31	33	29	29	35	38	39	35	42	42	29	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	3	3	1	1	2	1	2	2	3	1	2	3	2	1	1	1	1	2	2	1	1	4
42500	-222.726944477207951	-221.059460622050722	-1.667483855157225	0.000072427121750	0.000015504954292	0.214076632033991	0.720240078789965	0	1	2	3	3	5	7	7	7	9	11	10	11	13	12	14	14	13	15	15	15	19	15	16	19	18	20	18	20	20	19	22	21	21	21	22	22	23	23	25	23	25	25	27	27	28	0	1	2	2	2	4	4	6	0	8	9	10	12	12	13	0	14	15	16	16	0	26	18	21	26	15	31	24	28	22	26	27	24	31	29	27	33	35	35	35	35	35	41	40	38	35	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	3	1	1	3	3
43000	-246.752626571624461	-245.073213592351408	-1.679412979273053	0.000093946009440	0.000019735914861	0.210077202628053	0.644582876043160	0	2	3	3	5	4	6	7	6	9	10	11	11	12	13	10	15	14	16	14	16	18	15	17	20	16	20	18	20	18	18	23	20	21	21	22	23	22	23	24	24	25	24	28	27	29	0	1	2	2	2	4	3	5	0	7	9	10	10	13	13	0	14	15	20	16	0	12	18	21	18	15	30	24	28	23	13	27	28	26	24	25	33	29	29	39	29	24	38	41	40	42	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	4	1	1	3	2	1	1	1	2	4	2	1	3	2	1	2	2	2	1	3	3	1	2	2	2
43500	-254.028397447831992	-251.954305669424542	-2.074091778407456	0.000071677391465	0.000009177116407	0.128033627049666	0.670465738505526	0	1	4	3	6	4	6	7	7	10	11	12	11	12	13	13	15	13	15	15	15	18	14	17	19	18	20	18	21	20	17	22	20	21	21	23	22	19	24	24	24	24	26	27	26	29	0	1	2	2	2	4	4	4	0	8	9	13	8	10	13	0	14	13	16	16	0	23	18	21	15	15	15	24	38	15	15	27	28	25	38	22	33	24	38	38	38	35	42	41	40	41	1	1	2	1	2	1	2	3	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	4	1	2	2	2	1	1	2	2	4	1	1	2	3	2	2	2	1	1	2
44000	-258.719022766249054	-257.183743326832086	-1.535279439416960	0.000088874675812	0.000024200804267	0.272302588399037	0.675074381233364	0	2	3	4	6	4	5	7	7	10	9	11	9	12	13	13	14	14	15	14	15	18	15	16	19	18	20	19	21	18	18	22	21	20	22	21	22	22	24	24	25	26	24	28	26	28	0	1	1	2	4	2	4	6	0	8	9	13	8	10	12	0	14	13	16	16	0	10	18	21	18	15	30	24	24	15	18	26	28	15	29	22	33	24	35	28	28	40	35	39	29	41	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	3	1	1	2	2	2	2	2	3	2	2	1	3	1	2	1	4	2	2	2	1	1	2	2	1
44500	-237.198174586368793	-235.570692462789339	-1.627482123579443	0.000081982490737	0.000018749427685	0.228700390981505	0.689807284792265	1	2	3	3	5	4	6	8	7	8	10	9	10	13	12	13	15	13	16	15	14	18	15	16	20	19	17	18	20	19	19	22	20	21	21	21	22	23	23	25	25	24	26	28	27	27	0	1	2	2	2	4	6	6	0	6	9	10	12	12	13	0	14	15	16	16	0	15	18	21	30	15	23	24	28	15	27	26	28	30	28	26	33	29	29	42	39	29	39	39	39	40	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	3	1	1	1	3	1	2	1	1	2	2	1	1	2	1	2	2	2	2	2	2
45000	-227.783248547809933	-226.277755205626903	-1.505493342183021	0.000083430413817	0.000024267889621	0.290875815071860	0.774633422706786	-1	2	3	3	5	5	6	8	6	9	9	12	11	13	12	13	14	14	16	14	15	17	16	16	19	15	19	18	20	19	18	22	19	19	22	21	23	22	23	25	25	26	25	27	27	27	0	1	2	2	2	4	4	6	0	8	9	8	10	12	13	0	14	15	16	16	0	26	18	21	26	15	31	24	28	22	26	31	24	31	29	27	33	29	35	35	29	35	39	38	40	43	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	2	1	2
45500	-246.091273364198940	-244.223941313512171	-1.867332050686776	0.000082735121868	0.000013397196651	0.161928771588465	0.629429557268608	0	2	4	3	4	5	6	8	6	10	10	12	11	12	12	12	15	13	16	14	13	17	16	16	19	18	20	18	20	16	18	22	18	21	21	22	22	22	22	25	24	25	26	26	27	29	0	1	2	2	2	4	4	7	0	8	9	13	10	13	13	0	14	13	16	16	0	15	13	21	30	18	31	24	28	15	30	27	24	31	28	31	28	29	29	38	39	29	38	39	42	38	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	4	2	2	3	1	2	1	2	1	1	1	2	2	2	2	2	2	2	1	3	2	2	1	4
46000	-227.848651033907231	-226.376525316248177	-1.472125717659045	0.000048388285196	0.000015287237134	0.315928474666188	0.697501179294255	0	2	3	3	5	5	5	7	7	9	10	12	11	13	12	12	15	14	15	14	15	18	16	16	19	18	20	18	20	16	18	23	20	20	22	22	23	22	23	24	24	26	25	27	27	28	0	1	2	2	2	4	4	6	0	8	9	13	10	12	13	0	14	15	16	16	0	18	18	21	30	15	22	24	28	15	15	26	24	31	29	27	33	29	38	35	38	29	41	35	38	44	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	3	2	1	2	2	1	1	1	2	3	2	2	1	1	1	2	2	1	1	1	2	1	2	3	1
46500	-236.632279110748641	-235.020557318907208	-1.611721791841431	0.000122322589652	0.000028751986419	0.235050504575125	0.637973683573798	0	2	3	3	4	5	6	7	7	9	11	11	12	12	12	13	15	14	16	14	15	17	16	16	19	17	20	18	21	19	18	23	20	20	20	22	22	22	24	24	24	25	25	28	28	28	0	1	2	2	2	4	4	7	0	8	9	10	10	10	12	0	14	15	16	16	0	18	12	21	22	23	31	24	35	26	23	31	28	31	28	25	33	35	35	38	38	40	38	43	38	35	1	1	1	1	1	1	2	1	1	1	3	1	1	2	1	1	2	1	2	1	1	2	3	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	2	2	4	3
47000	-252.005971684588644	-250.385548982644650	-1.620422701944001	0.000066842437299	0.000015473985635	0.231499422525947	0.640829301318415	-1	1	3	3	5	5	5	7	7	9	10	10	11	12	12	13	14	14	16	15	14	17	16	15	19	18	19	18	21	19	18	21	20	21	22	19	22	23	23	24	25	24	25	27	27	26	0	1	2	2	2	4	4	7	0	8	9	10	12	12	13	0	14	15	16	16	0	15	18	21	22	15	22	24	28	22	18	26	28	31	24	15	33	29	29	35	28	29	39	42	35	41	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	3	1	2	2	2	3	2	1	1	3	5	1	1	2	1	3	2	2	2	2	1
47500	-235.020742280745395	-233.210301007796772	-1.810441272948617	0.000120531353994	0.000020990518735	0.174149862580978	0.747356551301944	-1	2	3	3	4	5	7	7	8	9	10	12	10	11	12	11	14	14	15	13	15	18	15	17	20	17	20	19	19	18	19	22	20	22	21	22	22	23	23	23	24	25	24	27	27	27	0	1	2	2	2	4	4	6	0	8	9	13	7	13	13	0	14	15	16	16	0	23	18	21	26	23	30	24	24	15	30	30	24	27	29	22	33	29	29	29	39	35	29	35	38	38	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	1	2	1	1	2	3	2	2
48000	-246.719484964905490	-244.948602368605492	-1.770882596299995	0.000082758384535	0.000015202083131	0.183692362000582	0.619668421622712	-1	1	3	3	5	5	7	6	7	9	10	12	11	12	12	13	13	13	15	15	14	18	16	17	19	15	19	19	21	19	17	21	21	21	21	21	23	22	20	25	25	24	25	27	26	28	0	1	2	2	4	4	4	6	0	8	9	13	10	13	10	0	14	15	16	16	0	26	18	21	31	13	23	24	39	22	15	27	28	26	39	27	28	29	28	42	35	39	42	38	42	38	1	1	1	1	2	1	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	2	1	2	2	2	1	1	2	1	1	4	1	1	2	1	1	1	3	2	1	2	1	2
48500	-230.975333894185610	-229.193565113773275	-1.781768780412333	0.000095689109428	0.000017316914782	0.180970592009924	0.792695311204409	0	2	4	4	3	5	5	7	8	9	10	11	11	11	13	13	14	14	15	14	13	16	15	15	20	19	18	18	20	19	17	22	19	21	21	22	23	23	22	24	24	25	26	27	25	27	0	1	2	2	2	4	4	6	0	7	9	10	10	10	13	0	14	15	16	16	0	15	18	21	26	15	31	24	28	22	23	27	24	30	28	25	33	39	29	35	39	38	41	42	40	39	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	3
49000	-252.443091406764950	-250.288505831422810	-2.154585575342148	0.000088522883299	0.000010441698154	0.117954790502137	0.694776849681095	0	3	2	4	6	5	7	8	7	9	11	11	11	12	12	12	13	14	14	14	13	17	16	17	19	19	18	18	20	19	19	22	20	22	21	23	23	22	24	23	23	24	25	27	27	28	0	3	1	2	2	4	4	5	0	8	9	10	10	12	13	0	14	15	16	16	0	15	18	21	27	27	15	24	24	23	12	22	24	27	24	30	33	35	41	29	29	35	41	39	42	42	1	1	2	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	3	1	2	2	3	2	1	2	2	2	1	1	1	1	2	2	1	2	2	1
49500	-229.288431856686600	-227.467386176668327	-1.821045680018276	0.000105740021071	0.000018160469760	0.171746417071291	0.794669438542036	1	2	4	3	5	4	6	6	7	8	11	10	10	13	12	11	15	13	15	15	15	17	15	16	20	19	20	18	21	19	19	23	20	20	20	23	23	23	24	23	24	24	25	26	27	28	0	1	2	2	2	4	4	6	0	8	9	10	10	12	13	0	14	15	16	16	0	23	18	21	22	18	26	24	35	23	22	31	28	26	28	31	33	29	35	29	29	38	42	33	42	44	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	2	1	2	1	1	1	1	3	2	1
50000	-232.557858353522107	-230.921385793742985	-1.636472559779134	0.000090612797232	0.000020409321831	0.225236638250111	0.677416764439162	1	2	3	3	5	5	6	7	7	9	11	11	10	13	13	13	14	13	15	15	14	18	15	16	19	18	20	18	18	19	18	23	20	20	21	21	22	21	23	24	25	24	25	27	27	26	0	1	2	2	2	4	4	6	0	8	9	10	10	12	13	0	14	13	16	16	0	15	18	21	23	15	26	24	24	18	15	22	24	31	29	31	33	29	29	29	38	28	38	46	40	40	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	3	2	2	2	1	2	2	1	2	3	2	2	3	2	1	1	1
50500	-232.469058757029018	-230.675793509872932	-1.793265247156095	0.000093331384118	0.000016629513874	0.178177084067871	0.788506464136561	0	2	3	4	5	5	6	7	8	10	11	11	11	12	13	11	14	13	15	14	15	17	15	16	19	18	17	19	20	19	18	22	21	21	20	22	23	22	23	24	24	25	26	27	27	28	0	1	2	2	4	4	4	6	0	8	9	8	10	12	13	0	14	13	20	16	0	15	18	21	22	15	23	24	28	31	27	31	29	30	24	26	33	28	29	29	38	29	42	24	40	42	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	2	1	1	2	2	1	2	1	7	1	1
51000	-245.549988628978042	-243.293094518041357	-2.256894110936674	0.000095560719335	0.000010215272245	0.106898235130990	0.749320168046064	0	2	4	3	4	4	4	8	6	9	10	12	10	12	13	13	15	12	15	15	16	18	16	17	19	17	20	19	20	20	18	22	20	21	22	22	23	23	24	25	25	24	26	27	28	28	0	1	2	2	2	4	4	6	0	8	9	10	7	13	12	0	14	13	16	16	0	15	18	21	23	15	23	24	28	18	15	31	24	27	29	27	33	24	29	35	42	29	39	40	40	44	1	1	1	1	1	1	1	2	1	1	2	2	3	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	3	3	1	2	1	2	1	2	3	2	1	1	2	1	1	2	1
51500	-242.175286508343277	-239.927352144729497	-2.247934363613777	0.000081507447647	0.000008786386375	0.107798570905222	0.682354763662606	0	2	4	4	5	5	6	7	6	8	10	10	11	13	13	13	15	14	15	14	15	17	15	16	20	18	20	18	21	19	18	23	19	21	21	22	22	22	23	24	24	24	25	26	28	27	0	1	2	2	2	4	4	6	0	8	9	8	12	12	13	0	14	15	16	16	0	15	18	21	30	22	31	24	24	15	22	36	24	30	28	30	33	24	29	29	35	33	35	41	38	38	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	2	1	2	2	2	4	2	1	1	2	2	1	2	2
