step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27
5000	-424.356834420269195	-422.606300453731478	-1.750533966537725	0.000015454346039	0.000026547573456	1.717806330272053	0.358922264747540	1	3	6	7	9	15	15	13	14	17	16	19	16	19	21	20	24	25	29	28	30	30	30	33	40	41	47	0	1	2	3	3	3	5	5	5	8	6	11	0	3	11	12	9	14	20	14	19	19	19	20	20	20	20	1	1	2	1	2	3	2	2	3	2	1	1	1	5	3	1	5	3	1	5	1	1	1	3	6	5	14
5500	-369.825615184186745	-368.212497528650943	-1.613117655535826	0.000029707398106	0.000041133001278	1.384604640610706	0.283919433844104	0	3	6	9	9	14	14	15	16	17	16	17	15	19	20	21	23	26	29	28	31	30	30	35	41	40	45	0	1	1	2	2	4	5	5	5	8	4	11	0	6	11	12	9	14	20	14	19	20	20	20	20	20	8	1	1	3	3	3	3	3	4	4	1	3	1	1	3	2	2	3	2	1	5	1	1	1	4	7	4	15
6000	-286.435802092386041	-285.074291782590933	-1.361510309795116	0.000082237664976	0.000044749303505	0.544146085833164	0.419343352765183	2	3	7	7	9	15	13	15	16	17	17	19	17	17	21	20	21	26	27	28	29	28	31	34	40	38	45	0	1	1	2	4	4	5	7	8	8	6	6	0	3	11	12	9	14	18	14	19	18	20	21	26	18	20	1	1	3	2	1	5	2	2	1	1	1	2	1	4	2	1	2	5	1	6	1	1	2	3	1	5	8
6500	-221.994802625331573	-220.391928869878910	-1.602873755452672	0.000257336313729	0.000061447467182	0.238782728685159	0.350193604541640	1	3	6	8	10	14	16	13	15	18	17	19	16	19	21	21	24	26	28	28	31	30	29	35	40	40	46	0	1	2	2	3	3	6	3	5	6	8	6	0	2	12	6	5	12	12	11	23	18	18	21	24	18	14	1	1	1	3	2	4	1	3	3	2	2	3	1	9	1	4	5	3	6	5	1	2	2	2	3	6	10
7000	-226.667929042065083	-224.862668316601543	-1.805260725463535	0.000341329189670	0.000059850933434	0.175346660190004	0.424931932391085	1	4	6	8	9	14	15	14	16	16	17	18	15	19	20	21	24	26	26	28	28	30	30	35	40	41	47	0	1	2	3	3	5	6	5	6	7	8	11	0	5	12	12	9	4	11	1	17	21	21	22	21	21	20	1	1	1	1	2	4	1	2	1	1	2	1	1	5	1	1	5	7	4	10	2	1	1	3	6	7	6
7500	-258.105228823827588	-256.309866733341039	-1.795362090486565	0.000343743892024	0.000061075116637	0.177676223647259	0.356103026656362	1	3	7	8	9	12	15	14	15	17	18	18	15	20	20	19	24	26	28	28	30	30	30	34	40	38	46	0	1	2	1	3	2	6	2	3	6	9	4	0	9	4	4	7	16	16	15	16	17	17	8	19	22	24	1	1	2	3	1	6	2	5	3	3	1	6	1	1	6	4	5	5	3	3	4	2	3	10	6	4	7
8000	-248.233769779365559	-246.636140027397545	-1.597629751968019	0.000360027377090	0.000086786561314	0.241055449770766	0.304889748403739	1	3	7	8	10	14	15	13	15	16	17	18	16	18	21	21	21	26	26	29	30	30	30	35	41	39	46	0	1	1	2	4	1	5	5	8	4	7	11	0	8	12	14	5	16	17	12	18	17	15	18	21	23	20	1	1	3	2	1	6	3	1	2	4	1	1	1	3	1	2	4	2	3	7	2	5	4	4	7	3	6
8500	-263.569442560140942	-262.021948062073250	-1.547494498067717	0.000239089330201	0.000063471014292	0.265469873704233	0.317858633722103	1	4	6	9	10	14	12	14	15	17	16	18	17	20	20	21	24	27	27	28	30	31	30	34	39	41	46	0	1	2	1	4	3	4	2	6	4	4	10	0	8	7	4	10	14	17	14	10	6	14	14	21	18	22	1	1	1	5	1	4	2	4	1	4	4	1	1	2	4	6	4	5	1	5	5	8	6	7	5	8	7
9000	-259.765736980920337	-257.924620847697668	-1.841116133222652	0.000252852583433	0.000042317446357	0.167360150258696	0.218121912886032	1	3	6	8	9	14	16	15	14	16	18	16	17	19	20	20	24	27	28	27	29	30	30	36	40	39	46	0	1	2	1	3	4	6	3	5	9	6	4	0	12	11	2	16	12	14	14	12	14	14	14	16	23	25	1	1	1	4	1	4	1	5	2	1	2	5	1	3	2	9	3	7	4	5	6	7	4	8	11	5	4
9500	-266.477062684225359	-264.964878633134958	-1.512184051090391	0.000266612972393	0.000076368198692	0.286438420482547	0.236407434806115	1	3	4	6	9	14	15	13	16	17	17	18	17	20	21	20	24	27	28	29	29	30	31	36	40	40	46	0	1	1	2	4	3	8	4	1	3	8	9	0	2	6	9	10	3	15	2	9	3	15	15	19	23	22	1	2	2	2	3	5	1	4	6	6	1	1	1	8	4	3	3	11	3	14	6	12	5	5	6	4	5
10000	-258.254639121503658	-256.418814865214983	-1.835824256288669	0.000279529088686	0.000047099722422	0.168496676475317	0.243595089247468	1	3	6	8	8	13	14	12	16	17	16	18	16	20	21	20	22	26	25	29	28	31	30	33	40	39	47	0	1	1	1	3	1	5	1	5	3	8	7	0	9	10	4	10	14	3	15	8	18	8	14	18	18	21	1	1	2	3	1	7	3	4	3	5	2	1	1	2	2	6	3	4	7	4	9	3	10	7	8	6	11
10500	-251.409052901062495	-249.626940705765236	-1.782112195297256	0.000333438715526	0.000060314382876	0.180885962149407	0.282808187179412	1	3	5	8	10	15	15	14	16	18	17	17	13	20	20	20	24	27	28	28	30	30	30	35	39	40	46	0	1	1	1	3	5	3	4	5	6	6	6	0	9	6	8	14	16	14	8	14	14	6	15	16	22	20	1	1	3	3	2	2	4	3	2	2	1	1	1	3	3	3	2	5	4	8	4	4	6	8	9	4	11
11000	-236.684508866384817	-235.032360632917062	-1.652148233467763	0.000295191617211	0.000064779893343	0.219450314867287	0.206106955455115	1	3	6	9	9	15	16	14	15	17	17	18	16	20	20	21	25	25	28	28	31	30	30	34	40	41	46	0	1	1	1	2	1	9	2	5	3	2	10	0	3	10	10	10	16	18	18	17	10	16	4	20	20	24	1	2	3	4	3	6	1	5	3	5	6	1	1	7	1	3	4	2	2	2	3	7	7	14	6	7	8
11500	-235.638100949007708	-233.971358672061257	-1.666742276946448	0.000360711047497	0.000077311318167	0.214330330893470	0.381658644240893	1	4	6	8	8	14	14	15	15	17	17	17	15	19	20	21	23	24	29	28	31	29	30	35	40	40	46	0	1	2	3	3	1	2	5	5	9	3	1	0	7	8	8	14	15	20	18	19	16	18	21	18	23	25	1	1	1	1	1	8	5	3	4	1	6	7	1	3	3	2	2	2	1	1	1	4	2	2	8	4	4
12000	-235.489861388392654	-233.580479426727550	-1.909381961665096	0.000261582135424	0.000040244232652	0.153849316149176	0.300345645370574	1	3	7	7	8	14	15	14	15	18	16	18	15	20	21	20	24	25	29	28	30	30	30	35	41	40	43	0	1	2	2	4	4	4	3	8	6	6	11	0	11	11	6	9	8	15	17	4	17	17	4	20	23	21	1	1	2	2	1	4	4	5	1	2	1	1	1	3	3	2	7	4	5	2	11	3	3	14	5	5	6
12500	-247.730556867737079	-246.093281904885998	-1.637274962851075	0.000270256289625	0.000060789503209	0.224932797284535	0.320072195755775	1	3	5	8	9	15	14	14	15	17	18	18	17	19	21	20	23	26	29	28	31	31	30	36	40	41	46	0	1	1	2	3	8	2	5	5	3	6	8	0	10	16	10	10	11	14	17	14	7	14	14	20	21	24	1	2	2	2	2	1	6	3	4	5	2	2	1	1	1	2	2	3	5	4	4	8	7	9	5	6	5
13000	-253.683908772785202	-251.908275419334018	-1.775633353451174	0.000245103219083	0.000044730157075	0.182495184039107	0.251827543160144	1	3	5	8	10	15	15	14	15	18	17	18	16	18	20	21	24	26	28	29	31	31	29	35	40	41	46	0	1	1	1	1	1	2	4	8	4	7	11	0	8	11	12	8	16	15	7	3	18	5	8	19	19	23	1	2	1	3	4	9	6	5	1	4	1	1	1	3	2	2	5	4	4	9	13	3	10	10	5	7	9
13500	-245.498345291999811	-243.719101599569086	-1.779243692430737	0.000323516593239	0.000058749044036	0.181595149255019	0.231903525184817	2	3	7	8	9	14	12	13	15	17	17	18	15	20	20	20	24	26	27	28	30	31	31	34	39	41	46	0	1	1	2	3	7	3	4	5	9	6	11	0	1	12	7	7	3	17	4	2	6	17	17	19	23	20	1	1	3	3	1	1	4	2	3	2	2	1	1	10	1	3	6	9	1	11	13	7	3	5	4	4	11
14000	-257.199394187286828	-255.570123123232776	-1.629271064054026	0.000224224868344	0.000051123791206	0.228002324555580	0.206930214047670	1	3	6	7	7	14	16	15	14	17	17	18	14	19	20	19	24	25	28	28	27	28	30	35	40	40	47	0	1	1	1	3	2	6	4	3	4	4	9	0	1	12	10	10	10	15	17	10	2	4	11	20	18	14	1	1	2	3	1	5	1	4	5	5	5	2	1	10	1	1	4	3	4	2	6	12	13	9	8	7	15
14500	-247.896091227892015	-246.137750417176221	-1.758340810715782	0.000363440277435	0.000067936136523	0.186925172416854	0.218782657161959	2	4	6	8	10	14	15	15	15	17	17	19	15	20	20	21	24	26	27	29	30	31	30	33	41	40	46	0	1	2	1	2	5	3	1	4	6	6	11	0	2	6	8	4	16	16	15	15	9	6	6	8	8	24	1	1	1	3	3	2	6	6	4	1	1	1	1	6	3	3	6	3	2	5	5	10	6	9	10	14	8
15000	-246.475698648113621	-244.711035242069329	-1.764663406044300	0.000392375597653	0.000072700181095	0.185282116243091	0.285479924810315	1	3	7	8	9	15	16	13	15	17	17	18	15	17	21	21	24	25	28	28	31	31	30	35	40	38	46	0	1	2	1	2	1	8	5	5	4	5	10	0	7	14	12	7	15	16	14	14	10	11	10	23	18	26	1	1	2	2	2	7	2	1	3	4	4	1	1	1	2	3	4	2	3	5	6	6	4	6	5	8	4
15500	-248.901125120946148	-247.014920375702502	-1.886204745243643	0.000350435005528	0.000055442801796	0.158211368504080	0.277752892662331	1	3	6	8	10	14	13	15	15	17	17	17	16	20	17	20	24	26	28	28	31	30	30	36	41	40	46	0	1	2	3	2	2	3	4	1	4	5	7	0	9	7	8	7	15	17	14	14	14	11	20	14	17	25	1	1	1	2	5	5	3	4	6	5	3	1	1	2	2	2	6	5	2	3	6	5	7	5	12	8	3
16000	-235.594117664202514	-233.844778265057840	-1.749339399144683	0.000293218324483	0.000055509937018	0.189312646527238	0.254127199307494	1	3	7	9	9	13	15	13	16	17	18	18	16	19	20	21	24	25	27	28	29	31	30	35	39	40	45	0	1	2	3	3	3	8	5	5	3	3	6	0	8	3	14	5	12	6	17	6	18	14	22	6	24	25	1	1	2	1	1	3	1	2	5	7	7	2	1	3	7	1	8	4	7	3	9	3	6	2	16	3	3
16500	-263.758864899252444	-262.157208246166419	-1.601656653086034	0.000270439744856	0.000064717878197	0.239306091017695	0.249049388795032	1	3	7	8	9	15	15	15	15	17	17	18	16	19	21	20	24	26	25	29	31	27	27	34	40	41	47	0	1	1	2	3	2	5	5	5	9	8	4	0	8	4	4	16	7	11	9	7	12	12	14	6	23	26	1	1	3	3	1	6	4	4	3	1	1	5	1	2	7	7	2	4	3	6	8	4	3	8	11	7	3
17000	-233.013343994937316	-231.251142857742593	-1.762201137194736	0.000241250977709	0.000044853074156	0.185918724896457	0.303176667291701	1	3	7	8	9	14	15	14	15	18	17	19	16	19	20	20	23	26	28	28	31	29	30	35	40	41	46	0	1	2	2	3	3	3	4	6	3	6	11	0	1	4	6	10	11	10	10	20	10	15	21	4	21	25	1	1	2	3	2	4	4	3	1	5	1	1	1	9	6	3	1	5	6	4	1	4	4	2	19	5	2
17500	-282.898627415483247	-281.052181323475963	-1.846446092007296	0.000286318957106	0.000047594640370	0.166229441636345	0.229324958578418	1	3	7	9	9	14	16	11	16	17	16	19	17	19	20	20	25	26	28	28	29	30	30	36	40	37	46	0	1	1	2	1	1	8	3	3	2	4	11	0	1	3	3	6	12	10	18	18	15	10	21	20	9	25	1	1	2	4	4	6	2	2	5	8	3	2	1	9	5	9	6	3	6	1	1	6	8	4	6	10	2
18000	-261.277280675620318	-259.198232154443588	-2.079048521176727	0.000332379647895	0.000042335960877	0.127372301960978	0.348912699099102	1	3	6	8	9	14	16	14	14	17	17	18	17	19	20	21	25	27	29	28	31	28	31	36	40	40	45	0	1	1	1	2	4	3	4	3	4	7	8	0	9	6	14	10	4	16	14	16	10	10	16	20	22	18	1	1	3	2	4	3	4	4	4	5	1	2	1	3	3	2	3	10	4	4	4	4	7	7	4	6	4
18500	-266.112562565315557	-264.443734303746908	-1.668828261568672	0.000317968425369	0.000067923857264	0.213618245852483	0.275086721615796	2	4	7	9	8	15	13	14	14	18	16	19	16	19	19	20	25	27	28	28	31	29	31	32	40	40	46	0	1	1	2	3	4	2	2	7	4	7	2	0	11	5	10	12	11	7	14	17	6	17	15	17	6	26	1	1	2	1	1	3	4	5	1	5	1	6	1	2	5	1	5	5	8	5	2	7	3	5	7	13	2
19000	-254.577343746722761	-252.630312835782547	-1.947030910940213	0.000309156298020	0.000045507655034	0.147199508228084	0.273170456448381	2	4	6	8	10	15	12	14	15	18	17	16	17	19	20	18	25	26	28	29	30	30	31	33	41	40	46	0	1	1	1	4	8	3	5	3	3	4	4	0	6	16	8	5	6	6	17	4	6	14	1	11	18	24	1	1	3	3	1	1	3	3	4	7	5	3	1	3	1	1	7	6	6	3	11	6	6	14	12	8	5
19500	-248.830996338089705	-247.184360597667791	-1.646635740421908	0.000286191706992	0.000063377121545	0.221449888297478	0.172526830858576	1	4	7	8	8	14	13	14	15	18	18	18	16	20	20	21	24	27	29	28	31	30	30	36	40	39	44	0	1	1	1	2	1	4	4	5	5	8	4	0	1	8	3	10	11	1	16	2	9	8	4	20	8	21	1	2	4	4	2	7	2	4	4	5	2	5	1	10	3	6	3	5	15	3	13	8	8	12	5	13	5
20000	-270.219538377944389	-268.566938489911649	-1.652599888032727	0.000234629625563	0.000051451490409	0.219288123933104	0.232075830976370	1	3	6	6	8	13	13	14	16	16	18	19	17	18	20	19	24	27	27	29	30	30	30	36	40	40	47	0	1	1	2	4	2	5	5	5	3	7	3	0	5	10	11	4	10	4	17	10	17	3	17	22	24	19	1	1	3	1	1	6	4	3	4	4	4	9	1	4	3	1	8	5	12	3	7	4	10	5	4	3	10
20500	-248.696503967387713	-246.760444078586943	-1.936059888800782	0.000296686114367	0.000044231338543	0.149084626484134	0.192904426891169	1	4	7	8	10	14	15	14	15	18	17	19	16	19	19	20	23	26	28	29	31	30	31	35	39	38	44	0	1	1	1	2	5	3	2	5	3	7	7	0	10	6	6	10	3	3	4	14	12	14	7	21	10	19	1	1	2	3	4	2	4	5	2	5	2	2	1	1	3	3	3	8	13	11	6	6	6	8	4	10	7
21000	-239.290888308879147	-237.516036735680700	-1.774851573198441	0.000253786703428	0.000046364592529	0.182691180831638	0.256349244921949	1	4	6	9	10	13	14	12	15	17	18	19	16	20	21	20	23	24	27	29	31	31	28	34	39	40	46	0	1	1	1	2	3	8	5	4	7	6	11	0	10	12	4	6	14	17	1	14	6	18	14	21	18	20	1	1	2	4	3	3	1	1	3	3	2	1	1	1	1	6	6	2	2	16	4	11	3	6	4	8	7
21500	-231.181988492588857	-229.472936970855756	-1.709051521733091	0.000314765092567	0.000063191209800	0.200756727135581	0.322167784595563	1	3	7	8	9	13	15	15	16	17	17	18	17	18	19	20	24	25	28	26	30	29	30	35	41	41	46	0	1	2	2	3	2	3	3	3	6	7	7	0	1	11	12	6	17	18	6	22	18	18	21	21	19	20	1	1	2	3	1	4	4	4	5	2	1	1	1	7	1	1	6	1	2	7	1	1	4	1	5	8	9
22000	-246.050622159479218	-244.218764476432852	-1.831857683046369	0.000365805337074	0.000061951994449	0.169357820049579	0.319311837761347	1	3	6	9	8	15	15	15	14	18	18	18	16	20	21	20	23	26	28	28	30	30	30	35	40	40	47	0	1	2	2	3	9	9	5	5	5	8	6	0	6	12	11	10	6	10	11	14	14	14	15	14	14	19	1	1	2	4	1	1	1	2	2	3	2	1	1	2	2	2	2	5	7	6	5	5	6	8	11	7	12
22500	-246.608840623236119	-244.800629758845020	-1.808210864391110	0.000354117291055	0.000061851284791	0.174663272179001	0.227177952771922	1	3	7	8	9	13	15	13	15	16	17	18	16	18	21	20	24	26	28	28	30	31	29	36	39	41	46	0	1	2	3	3	4	6	5	6	4	7	11	0	5	11	11	10	12	4	15	16	14	3	6	14	21	23	1	1	2	1	2	3	2	2	1	4	1	1	1	3	2	1	3	4	10	3	3	6	12	11	11	5	10
23000	-250.988924746425880	-249.221077287343377	-1.767847459082517	0.000265682619448	0.000049009138403	0.184464977440149	0.168751764403456	1	3	7	9	9	14	16	14	15	17	17	19	16	20	20	21	22	27	28	28	29	31	30	34	41	41	44	0	1	1	1	3	2	5	1	6	5	6	8	0	1	1	11	10	11	3	7	12	12	4	12	6	18	19	1	1	2	4	1	6	4	5	1	4	2	3	1	8	10	3	3	5	13	5	4	6	9	9	14	6	9
23500	-252.137859887882797	-250.394290343764510	-1.743569544118295	0.000278717040759	0.000053199781127	0.190873801551096	0.222070598725689	1	3	7	8	10	14	16	13	15	16	17	19	17	18	21	20	25	26	27	28	30	30	29	35	40	41	46	0	1	1	1	3	3	8	5	5	3	5	10	0	4	4	14	15	10	1	6	6	3	2	16	14	18	23	1	1	3	3	2	2	1	2	2	5	3	2	1	4	8	2	2	5	13	7	9	11	15	9	12	7	9
24000	-251.223334374487877	-249.748370386290787	-1.474963988197092	0.000245417510366	0.000076957156838	0.313576471065739	0.319943262660960	1	3	7	8	10	14	12	15	16	17	18	19	15	18	18	21	24	26	28	29	28	31	31	35	39	40	46	0	1	2	2	4	4	5	4	5	9	3	4	0	6	8	15	11	1	16	14	16	14	8	6	19	20	18	1	1	2	3	1	3	1	3	3	1	6	6	1	2	3	2	3	14	2	4	4	6	9	9	6	4	8
24500	-258.542146326868760	-256.912563448917069	-1.629582877951682	0.000283342159041	0.000064568324869	0.227881107024541	0.324745922367401	1	3	6	8	8	13	16	15	15	18	18	17	16	20	21	21	24	26	29	29	31	31	30	35	41	40	46	0	1	1	2	2	3	2	6	6	8	4	7	0	8	12	4	9	3	3	6	10	11	16	14	5	23	19	1	1	1	3	4	3	6	1	1	2	6	1	1	3	2	6	3	8	13	8	7	6	3	8	17	4	9
25000	-246.385516406644797	-244.526325425403513	-1.859190981241279	0.000304362362776	0.000049787902832	0.163581010404536	0.226776338381598	1	3	7	9	9	14	16	14	14	17	17	16	16	20	20	19	24	25	27	29	28	30	30	34	39	39	47	0	1	2	2	2	3	3	3	4	6	4	6	0	3	12	8	5	15	3	11	18	17	11	6	6	21	19	1	1	2	3	3	3	5	3	3	1	3	1	1	7	2	3	7	2	9	5	3	4	6	8	13	6	8
25500	-253.857119860709446	-252.345522607318827	-1.511597253390613	0.000292230928458	0.000083817944044	0.286820920995397	0.215759428008721	1	3	6	8	8	15	15	14	15	18	17	19	17	19	21	20	25	25	27	29	30	30	31	34	40	40	46	0	1	2	1	3	3	5	3	5	9	8	6	0	2	6	7	8	11	6	16	15	6	12	16	20	20	14	1	1	1	4	1	4	4	4	4	2	2	2	1	7	4	3	7	5	7	3	6	7	5	8	6	5	10
26000	-234.942824312027312	-233.131665233753409	-1.811159078273914	0.000272065906366	0.000047335447969	0.173985225129056	0.215840819967284	1	3	6	9	9	15	16	14	15	17	17	19	17	19	20	20	22	27	29	29	29	29	27	33	40	40	46	0	1	1	2	3	5	5	5	4	4	6	11	0	10	6	7	10	14	1	14	14	10	7	6	21	18	19	1	1	2	3	1	3	4	3	4	4	1	2	1	1	3	2	2	4	17	6	5	7	6	10	6	8	9
26500	-261.608960169853219	-259.910311343470426	-1.698648826382815	0.000178180369059	0.000036336936445	0.203933444726989	0.223079107295545	1	4	6	8	9	14	16	14	16	18	18	17	15	20	20	21	23	25	28	28	30	31	27	35	40	41	47	0	1	2	2	2	2	5	5	8	6	12	6	0	8	11	11	9	7	3	7	6	5	6	18	20	18	19	1	1	1	2	2	5	3	2	1	2	1	2	1	3	1	2	4	6	12	7	10	13	6	5	5	8	10
27000	-258.747707671388753	-257.224752438847986	-1.522955232540752	0.000243745401190	0.000068158875494	0.279631431653740	0.255995829505568	2	3	7	8	9	15	15	14	16	16	18	18	16	19	20	21	24	26	28	28	30	29	31	36	40	40	46	0	1	1	1	3	4	3	2	7	6	2	8	0	8	6	4	6	15	4	6	14	17	4	12	22	22	24	1	1	3	4	2	4	4	6	1	1	9	2	1	2	2	6	4	3	8	7	4	2	10	9	5	6	5
27500	-251.910826408675177	-250.090352110397674	-1.820474298277515	0.000305225694321	0.000052460471733	0.171874362836941	0.210183454708048	1	3	6	9	10	14	15	14	15	18	17	18	14	19	20	20	24	27	28	28	31	31	30	36	39	39	46	0	1	2	2	2	2	3	2	5	7	7	5	0	9	11	11	7	10	5	5	14	14	14	15	12	12	24	1	1	1	3	4	6	4	6	3	2	1	4	1	3	3	2	4	4	10	9	5	6	5	9	9	11	5
28000	-263.960986153976535	-262.374459724826750	-1.586526429149796	0.000294184534622	0.000072377024617	0.246025933040391	0.255911408180026	0	3	5	8	9	13	16	14	15	17	17	19	16	19	20	21	24	24	28	29	29	31	29	35	40	39	46	0	1	2	1	4	2	5	5	8	2	4	10	0	1	12	15	5	16	8	17	12	17	10	11	6	11	26	1	2	1	3	1	5	3	2	1	6	5	1	1	11	1	1	7	2	5	3	5	6	8	9	11	12	2
