step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
10500	-273.093381389913304	-271.552414010341238	-1.540967379572088	0.000381952940222	0.000102772272732	0.269070510812438	0.399300360611767	0	2	6	8	10	11	14	18	17	18	20	20	21	22	22	22	22	22	23	23	24	25	26	30	32	35	34	38	0	1	2	2	2	3	3	5	4	7	10	3	6	9	6	11	9	11	11	14	13	11	19	12	24	25	25	24	1	1	2	3	3	3	4	5	5	2	1	8	5	3	4	2	2	2	1	1	2	2	1	9	2	2	1	3
11000	-277.511267321168248	-275.948357817806823	-1.562909503361451	0.000491583388944	0.000126528416559	0.257389528215976	0.354794634885614	-1	2	6	9	10	12	13	19	18	18	20	20	21	22	23	23	22	22	25	22	24	25	25	29	32	35	32	39	0	1	2	1	3	2	5	2	7	7	10	5	9	11	20	11	9	9	13	11	12	14	13	21	8	27	24	25	1	1	2	5	2	5	2	8	2	2	1	4	2	1	1	2	3	2	1	1	2	2	2	3	8	1	1	5
11500	-292.830440517669672	-291.196673478581772	-1.633767039087882	0.000347926836008	0.000078724514323	0.226267439517618	0.266764617144847	0	3	6	8	12	12	14	20	18	18	20	19	22	21	22	22	22	22	24	23	25	25	25	29	32	35	34	35	0	1	1	1	2	1	2	9	4	4	4	2	7	8	10	4	4	14	4	15	6	18	18	12	21	27	25	21	1	2	3	3	4	6	4	1	5	5	5	8	4	1	2	7	6	1	6	1	5	2	1	6	3	1	1	5
12000	-272.620417540365111	-270.806327715524503	-1.814089824840599	0.000465902791337	0.000080748402488	0.173315987775222	0.337224039915847	0	3	6	8	12	13	14	19	17	18	19	21	21	22	22	22	22	22	24	24	25	25	24	29	32	33	34	37	0	1	2	2	1	2	2	2	3	7	10	3	11	11	11	11	9	13	14	15	8	18	18	21	12	8	12	12	1	1	2	3	6	5	5	7	6	2	1	7	1	2	1	2	4	1	1	1	3	2	1	2	6	6	4	8
12500	-295.495506553739972	-293.785150659700321	-1.710355894039669	0.000549132737015	0.000110027116220	0.200365246512020	0.350395307986244	0	3	7	8	11	13	14	19	15	18	20	18	21	22	21	22	22	21	24	22	25	24	24	29	30	34	31	37	0	1	1	1	1	1	2	9	5	3	9	2	5	11	8	8	15	9	10	10	12	8	20	12	7	21	21	26	1	1	3	5	4	6	5	2	2	4	2	8	4	1	1	1	1	3	3	2	4	2	2	7	8	6	4	1
13000	-299.145621111719436	-297.590423190144747	-1.555197921574663	0.000445369372271	0.000116401987928	0.261360558618816	0.391032039069436	0	2	5	8	12	13	15	19	17	19	17	18	19	21	23	22	23	22	25	24	23	23	25	28	30	34	35	38	0	1	1	2	2	2	2	5	4	4	5	1	11	8	16	13	14	8	14	15	6	14	15	6	7	7	24	26	1	1	2	3	3	5	6	3	4	7	2	7	1	1	1	2	1	2	2	1	4	1	1	6	8	7	4	2
13500	-296.497881603657106	-294.908867651310686	-1.589013952346444	0.000470402742022	0.000115198357257	0.244893039444278	0.225200304013255	-1	3	5	8	10	12	15	19	18	19	20	20	19	23	22	21	23	21	25	23	23	26	25	29	31	33	33	38	0	1	1	2	1	3	3	3	5	6	2	3	2	10	10	10	9	10	3	16	11	18	16	12	19	13	12	26	1	2	2	3	4	3	6	8	6	4	7	7	8	2	2	2	4	1	10	1	2	2	2	4	2	6	6	3
14000	-295.952891460110436	-294.151170952657026	-1.801720507453389	0.000372718514204	0.000065663046599	0.176173289217285	0.216678653919105	0	3	6	7	11	13	14	20	18	18	21	19	22	23	23	21	22	21	24	23	25	24	26	29	32	34	35	38	0	1	1	1	1	2	2	2	4	4	2	3	5	18	18	5	3	9	4	10	8	4	14	11	13	13	8	26	1	2	4	4	5	5	5	10	5	6	9	6	8	1	1	4	7	2	8	4	3	8	2	4	6	6	7	2
14500	-280.827581436773983	-279.126196362666803	-1.701385074107193	0.000444636924674	0.000090300566661	0.203088321391789	0.248200800253509	0	2	7	8	11	12	13	19	17	18	21	20	21	23	19	21	21	21	25	24	25	26	25	29	31	34	32	38	0	1	1	1	2	2	1	1	3	4	2	2	10	10	10	15	4	3	3	16	11	13	13	11	11	11	18	26	1	1	4	3	5	3	5	10	5	4	9	8	2	3	1	1	7	7	13	2	2	3	2	3	5	7	6	2
15000	-285.718566686435793	-284.029538051762302	-1.689028634673475	0.000443134081108	0.000091711360385	0.206960746860107	0.290675104637547	-1	2	6	8	12	13	14	20	17	17	20	19	21	22	22	22	21	23	25	23	24	25	25	28	31	33	34	38	0	1	2	2	2	2	4	2	3	3	7	10	12	9	10	10	10	4	4	13	8	12	17	8	8	19	19	25	1	1	3	3	7	5	3	8	4	5	2	1	1	3	3	5	3	8	9	1	3	3	2	3	8	4	5	3
