step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29
9500	-201.892872014960147	-208.748359965919519	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.424053528387110	2	0	5	5	7	12	12	11	10	13	13	15	14	14	14	14	15	14	18	15	21	19	22	17	21	24	29	34	37	2	0	1	1	4	9	9	9	3	8	2	4	8	7	7	11	11	7	15	11	11	17	24	11	24	17	7	0	0	1	1	2	2	1	1	1	1	2	1	5	4	2	1	1	1	2	1	2	2	4	2	2	2	2	4	9	1	1
10000	-196.585574321261333	-203.441062272220705	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.466633848169765	2	0	4	6	10	10	12	10	11	12	12	15	14	15	16	13	16	14	19	17	21	20	21	19	21	24	30	33	36	2	0	1	1	4	3	9	3	8	9	6	4	10	9	8	11	16	7	14	11	17	17	24	11	24	22	15	0	0	1	1	1	3	1	4	1	3	1	1	1	3	1	2	3	1	2	2	2	3	3	2	1	4	1	2	4	1	1
10500	-199.692148502688951	-206.547636453648323	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616276460161100	3	1	4	6	8	12	12	10	11	12	12	15	14	14	15	14	16	13	18	16	19	20	21	19	21	23	30	33	37	2	0	1	1	4	9	8	1	3	9	2	4	9	18	7	11	16	7	9	11	11	17	24	11	17	22	19	0	0	1	1	1	2	1	1	1	4	3	1	4	4	1	1	2	1	1	1	3	2	4	2	1	3	2	1	5	1	1
11000	-223.595767920569301	-230.451255871528673	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.432033640174539	2	1	4	5	9	11	12	10	8	13	12	15	13	14	16	14	14	14	17	17	19	21	19	20	22	24	29	34	38	2	0	1	1	4	3	9	9	3	9	2	4	8	8	18	3	11	8	9	16	11	16	16	23	23	22	14	0	0	1	1	1	2	2	3	2	2	2	3	5	4	1	3	1	4	1	2	4	3	2	4	3	1	1	2	9	1	1
11500	-219.645164178572941	-226.500652129532313	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.504622366297744	2	1	4	6	9	10	12	11	10	13	12	15	15	14	13	13	16	14	16	18	21	20	21	20	18	24	29	34	38	2	0	1	3	4	3	9	9	3	8	2	4	9	9	9	11	16	9	18	11	20	17	24	25	11	22	18	0	0	1	1	1	1	2	2	1	1	4	2	5	4	2	2	2	1	1	3	1	3	2	2	1	1	3	2	4	1	1
12000	-197.105166376920437	-203.960654327879809	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.492872120244825	2	1	4	5	11	11	12	11	10	12	13	15	14	13	14	14	16	15	18	17	20	20	21	19	20	24	28	34	38	2	0	1	1	4	9	9	9	3	9	2	5	9	7	14	11	16	7	15	17	11	16	24	17	11	22	18	0	0	1	1	1	1	4	1	1	1	3	1	5	2	2	1	1	1	1	2	2	1	3	3	1	2	3	1	6	1	1
12500	-207.319255506427481	-214.174743457386853	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.401620354462435	2	0	5	5	11	11	12	10	11	12	12	15	13	15	15	13	16	14	19	16	21	20	18	20	21	24	29	34	37	2	0	1	1	4	3	9	3	8	8	2	4	8	9	9	11	16	9	18	11	17	17	11	11	11	22	7	0	0	1	1	1	2	3	2	1	2	1	1	5	5	1	2	2	1	1	2	4	1	3	1	3	4	4	2	8	1	1
13000	-192.901414614226297	-199.756902565185669	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.520495330208849	3	2	5	5	11	11	13	10	12	13	12	15	14	14	16	14	16	14	18	18	20	20	21	19	21	24	30	35	36	2	0	1	1	4	8	9	3	8	8	2	4	8	9	14	11	16	7	18	17	11	17	24	11	24	22	15	0	0	1	1	1	1	3	1	1	3	1	2	5	4	2	1	2	1	1	1	2	1	5	2	1	4	1	2	7	1	1
13500	-210.854108911195425	-217.709596862154797	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.457580894550766	3	1	5	6	10	11	13	9	11	12	12	14	14	14	15	14	15	14	18	18	21	21	21	20	22	23	28	35	37	2	0	1	1	4	3	6	1	3	9	8	4	9	7	7	11	11	7	9	17	20	17	24	16	24	22	9	0	0	1	1	1	2	2	2	1	3	3	1	1	5	2	1	1	2	1	1	4	3	2	3	1	2	1	2	7	1	1
14000	-213.490671292278989	-220.346159243238361	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.471070671880649	2	0	5	6	9	10	12	9	11	12	12	15	13	15	16	14	16	14	17	16	18	19	21	18	22	25	30	34	38	2	0	1	3	4	3	9	3	8	8	6	4	9	8	18	11	16	7	15	16	16	11	24	17	24	22	14	0	0	2	1	1	1	2	3	1	2	2	1	1	4	1	3	1	1	1	1	1	1	2	3	2	1	2	3	8	1	1
14500	-199.553337508475380	-206.408825459434752	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.461982924028679	2	1	4	5	10	10	12	10	11	12	12	15	14	15	14	13	15	14	17	17	20	18	21	19	20	24	29	33	37	2	0	1	1	4	3	9	3	8	9	2	4	8	9	9	11	16	9	15	11	11	17	24	11	11	22	8	0	0	1	1	1	2	2	3	1	2	1	1	4	6	2	2	2	1	1	2	1	3	3	1	1	3	3	2	6	1	1
15000	-204.703412860382031	-211.558900811341402	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.604881999266631	3	2	5	5	10	12	12	8	11	12	12	14	14	15	16	13	15	14	18	14	20	20	22	19	21	24	29	35	38	2	0	1	1	4	3	9	3	3	9	2	4	8	7	8	11	16	7	15	11	11	17	24	11	24	22	15	0	0	1	1	1	1	2	3	1	2	3	1	3	4	3	2	4	1	1	2	1	1	5	2	2	4	1	2	5	1	1
15500	-200.179713024211225	-207.035200975170596	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.380271368648904	2	1	4	6	11	11	12	9	11	13	11	15	15	14	15	13	15	14	16	17	20	20	22	19	20	25	29	35	36	2	0	1	1	4	3	9	3	8	9	2	4	8	8	7	11	16	7	14	11	11	11	24	11	24	22	18	0	0	1	1	1	2	3	3	1	2	1	1	5	3	3	2	2	1	1	1	1	3	3	5	2	2	1	2	9	1	1
16000	-199.741831337082687	-206.597319288042058	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.451866719750510	2	1	4	5	10	12	13	9	10	12	12	15	14	14	16	13	15	14	18	16	21	20	20	19	21	25	28	35	36	2	0	1	1	4	8	9	1	8	9	2	4	8	9	9	11	16	9	18	11	11	17	24	11	24	22	7	0	0	1	1	1	1	3	2	2	3	1	1	5	4	3	2	2	1	1	2	2	2	4	2	1	3	1	3	8	1	1
16500	-218.171002056555949	-225.026490007515321	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557151904720974	2	0	4	5	10	10	12	10	11	13	12	14	15	14	16	13	15	13	17	16	19	19	20	19	20	24	28	35	37	2	0	1	1	4	1	9	3	8	6	2	6	8	7	9	11	16	9	7	17	17	17	24	11	24	22	8	0	0	1	1	1	1	2	4	1	4	1	1	5	2	3	1	2	1	1	1	2	1	2	1	1	3	1	3	13	1	1
17000	-196.718321232525795	-203.573809183485167	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.665914872226866	2	1	4	5	10	10	12	10	11	12	11	15	15	14	16	14	15	14	18	17	20	20	21	19	21	25	28	35	37	2	0	1	1	4	3	9	3	8	8	6	4	18	7	14	11	11	8	6	16	17	16	24	17	24	22	15	0	0	1	1	1	1	4	3	1	3	1	1	1	4	1	1	1	2	2	2	4	2	2	2	1	2	1	2	6	1	1
17500	-203.719586327705741	-210.575074278665113	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.396321520299559	3	1	4	6	9	10	12	11	10	12	12	15	15	14	16	14	15	14	17	17	20	21	21	19	21	24	27	34	36	2	0	1	1	4	3	9	3	3	8	2	9	8	7	8	11	16	7	15	11	11	17	24	11	24	22	15	0	0	1	1	1	1	2	3	1	4	4	1	5	2	2	1	3	1	1	2	1	2	4	3	1	3	1	2	6	1	1
18000	-201.185976923079807	-208.041464874039178	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.407872506341940	3	2	5	5	8	11	13	9	11	12	12	14	13	15	15	14	15	14	18	16	21	20	21	19	21	24	29	34	37	2	0	1	1	4	3	9	3	8	8	2	4	10	7	8	11	11	7	18	11	11	17	24	11	24	22	19	0	0	1	1	1	1	1	3	1	2	1	3	4	5	1	1	4	2	2	1	3	3	4	3	1	4	1	2	5	1	1
18500	-197.671242083349966	-204.526730034309338	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.509901651078664	2	0	5	4	10	10	13	9	11	12	12	14	14	14	13	13	15	14	18	17	20	19	21	19	22	24	29	34	37	2	0	1	1	4	3	9	3	8	8	2	4	10	15	9	11	16	9	18	11	11	17	24	11	24	22	18	0	0	1	1	2	1	4	3	1	1	1	2	7	5	1	1	1	1	1	3	2	3	4	2	1	2	2	2	6	1	1
19000	-219.542567272316688	-226.398055223276060	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.653364754944382	2	1	4	5	9	11	11	9	12	12	13	13	14	15	14	14	16	14	17	18	21	19	21	19	22	22	29	34	37	2	0	1	1	4	3	8	4	7	8	6	4	8	9	9	11	16	9	14	17	22	17	24	11	24	22	14	0	0	1	1	1	1	2	3	2	2	1	1	2	2	3	2	1	1	1	2	1	1	1	2	1	4	1	2	7	1	1
19500	-210.479433509634134	-217.334921460593506	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.391461581568208	3	1	5	5	9	10	12	10	11	12	9	16	14	14	16	13	15	14	18	18	21	19	20	19	21	25	30	35	36	2	0	1	1	4	3	9	3	8	8	2	4	8	9	9	11	16	7	7	16	16	17	24	17	24	22	18	0	0	1	1	1	1	2	3	1	2	1	1	4	6	2	3	2	2	1	1	4	2	3	1	1	2	1	2	8	1	1
20000	-200.802378972320156	-207.657866923279528	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.579934548688986	3	1	5	5	11	9	13	10	11	13	11	13	14	14	15	12	15	15	17	17	20	20	21	19	22	24	28	34	37	2	0	1	1	4	3	9	3	8	8	2	4	8	9	9	11	11	7	14	11	11	17	24	11	24	22	18	0	0	1	1	1	1	2	2	1	2	1	1	4	3	1	1	2	1	3	1	2	2	3	2	1	4	1	2	5	1	1
20500	-205.600630381799817	-212.456118332759189	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.655721360055205	3	-1	5	4	10	9	12	11	11	12	13	14	12	13	14	14	15	14	16	17	20	20	21	19	21	25	29	34	38	2	0	1	1	4	3	9	1	6	8	6	5	8	9	7	11	11	7	7	17	11	17	24	11	24	22	18	0	0	2	1	1	1	3	3	1	4	1	1	2	3	1	1	1	1	1	1	2	1	3	2	1	2	1	2	8	1	1
21000	-211.869207999993648	-218.724695950953020	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.398494562403875	2	-1	4	6	9	12	13	10	11	12	12	15	14	14	15	14	16	14	18	15	20	21	22	19	21	23	29	34	37	2	0	1	3	4	8	9	1	8	9	1	4	7	9	7	11	16	9	14	11	11	16	24	11	24	22	18	0	0	1	1	1	1	2	1	1	3	1	1	5	4	1	1	1	1	2	2	2	2	3	3	2	4	1	2	7	1	1
21500	-215.747427466062476	-222.602915417021848	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.551873025559685	2	1	5	6	10	9	11	10	12	13	12	14	12	14	16	14	15	14	17	18	20	19	22	19	22	25	27	33	38	2	0	1	3	4	3	8	3	7	7	2	4	8	9	8	11	16	9	14	17	17	17	24	11	24	22	8	0	0	1	1	2	1	3	2	1	2	1	1	4	3	1	1	2	2	1	1	2	2	3	2	2	2	2	3	5	1	1
22000	-196.768698960775851	-203.624186911735222	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.416994812103285	3	2	5	5	9	11	12	9	10	13	12	15	15	15	16	14	15	15	18	17	21	20	21	19	21	25	28	34	38	2	0	1	1	4	3	9	3	8	7	2	4	8	7	9	11	16	9	18	11	22	11	24	11	24	22	14	0	0	1	1	1	1	2	3	1	2	1	1	3	5	4	2	2	1	1	2	1	3	1	3	1	3	1	2	6	1	1
22500	-213.851784261187134	-220.707272212146506	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.449328461824834	3	1	4	5	10	12	11	10	11	12	12	15	14	13	16	13	15	14	18	17	20	21	21	19	19	23	28	35	38	2	0	1	1	4	3	8	3	3	8	2	4	7	9	14	11	16	14	14	11	11	25	24	11	11	22	18	0	0	1	1	1	1	2	3	1	3	3	2	6	5	2	1	1	1	1	1	3	2	3	2	1	5	4	1	8	1	1
23000	-218.257484106859295	-225.112972057818666	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648497755864082	2	1	5	5	10	11	13	11	10	11	12	14	14	13	15	14	14	15	19	16	19	19	20	19	21	24	30	34	37	2	0	1	1	4	3	3	9	3	9	2	7	7	3	6	11	11	14	18	11	11	17	24	17	24	22	18	0	0	1	1	2	1	2	2	4	1	3	1	5	1	1	4	2	1	2	1	2	2	3	2	1	3	1	4	7	1	1
23500	-217.367397050374336	-224.222885001333708	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.358672945138943	2	1	5	6	10	12	13	11	10	11	11	13	13	14	15	14	15	15	19	18	20	18	22	18	20	25	30	35	36	2	0	1	1	4	3	3	9	3	9	2	4	8	7	14	11	11	14	9	11	11	11	24	16	24	22	7	0	0	1	1	1	2	1	4	4	1	2	1	6	4	1	1	1	2	2	1	5	3	5	4	2	2	1	5	7	1	1
24000	-203.783745186900177	-210.639233137859549	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.465471187412161	3	1	4	5	10	12	12	11	9	11	12	13	14	14	15	14	15	13	18	17	20	19	20	18	21	24	28	34	37	2	0	1	1	4	9	8	9	3	9	2	5	8	8	7	11	16	7	14	11	11	11	24	17	11	22	14	0	0	1	1	1	1	3	1	1	1	3	2	5	1	2	2	2	1	1	1	2	2	4	3	2	2	4	3	5	1	1
24500	-221.859248371561677	-228.714736322521048	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602974112366653	2	1	4	6	10	12	12	10	9	13	13	16	14	13	16	12	15	12	17	16	20	20	21	19	21	24	29	34	36	2	0	1	3	4	1	9	9	3	9	2	4	10	8	14	2	16	9	14	11	11	11	24	16	24	22	14	0	0	1	1	1	1	2	4	2	1	2	2	6	4	1	1	1	5	1	1	1	1	4	3	2	4	1	2	5	1	1
25000	-193.211100644225553	-200.066588595184925	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.536515548389112	3	1	4	5	10	10	12	11	10	13	13	13	14	15	16	14	16	14	18	16	20	20	21	19	22	24	30	35	38	2	0	1	1	4	3	9	9	3	9	2	4	10	18	18	11	16	7	15	11	11	11	24	11	24	22	9	0	0	1	1	1	2	3	2	1	1	2	1	6	4	1	1	1	1	1	1	1	1	4	4	1	3	2	2	8	1	1
25500	-195.649579771079686	-202.505067722039058	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.398599125874984	3	1	4	6	10	11	12	9	11	12	12	14	14	14	15	14	16	15	18	18	20	19	22	18	20	25	29	35	36	2	0	1	1	4	3	9	3	8	8	2	4	10	9	7	11	16	7	15	11	11	17	24	11	11	22	14	0	0	1	1	1	2	2	3	1	2	1	2	5	5	1	1	2	1	1	2	2	2	4	2	2	3	3	2	6	1	1
26000	-202.235903637130662	-209.091391588090033	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572818719896126	3	0	4	6	10	11	12	11	10	13	12	16	13	15	16	14	15	15	18	17	20	20	21	19	21	23	29	34	37	2	0	1	1	4	1	6	9	1	9	1	4	8	13	7	11	11	7	15	17	17	17	24	11	24	22	14	0	0	2	1	1	2	1	4	1	1	4	2	5	5	1	1	2	1	2	1	1	1	1	4	2	3	1	1	8	1	1
26500	-207.019009818970346	-213.874497769929718	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.515603727631572	3	0	5	6	9	11	11	10	9	11	12	15	14	14	14	13	15	13	18	16	20	20	22	20	21	24	29	34	37	2	0	1	1	4	1	9	9	1	9	2	4	9	7	7	6	16	7	14	17	11	17	24	17	24	22	18	0	0	1	1	1	1	2	4	1	1	4	1	5	4	2	2	2	1	1	1	2	1	4	2	1	3	1	2	8	1	1
