step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65
24000	-307.444110086974945	-314.299598037934345	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.682278332297186	0	1	3	4	4	4	4	2	5	7	6	5	5	5	4	6	7	5	6	6	6	3	7	8	9	10	9	9	10	10	9	10	10	10	11	10	11	12	13	11	11	11	11	12	12	12	11	12	12	13	13	14	14	13	13	16	15	15	16	17	16	17	17	18	19	0	1	2	22	22	8	8	2	3	5	18	15	15	22	8	9	9	6	18	8	8	8	19	9	21	31	23	24	24	4	21	31	31	27	29	25	30	30	38	26	32	31	20	43	28	35	24	30	43	35	42	54	41	46	48	57	35	55	47	46	55	56	56	62	63	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	4	2	1	1	2	2	1	2	1	2	4	3	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	2	1	1	1	3	2	3	4	2	1	1	1	1
24500	-311.344171842200240	-318.199659793159640	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.714199558598283	0	1	2	4	4	4	3	2	5	6	6	4	5	5	5	6	4	5	6	6	6	6	7	8	9	10	9	9	10	11	9	11	10	10	10	11	11	12	13	11	11	11	10	12	12	12	12	13	12	13	13	14	14	12	13	14	14	14	16	18	16	17	17	18	19	0	1	2	8	8	8	8	1	3	12	18	8	4	8	4	3	3	6	18	8	14	8	19	16	16	25	23	24	24	25	21	43	31	27	24	25	25	30	37	31	31	26	31	31	28	35	35	41	43	35	31	46	55	35	31	47	50	55	56	50	58	56	56	63	63	1	1	1	2	1	2	1	1	2	1	1	2	1	2	1	4	1	1	1	1	1	2	1	1	2	1	2	1	1	2	2	1	1	1	2	1	1	1	2	2	1	1	1	2	2	1	2	1	1	2	2	1	1	1	1	1	1	1	2	4	2	2	2	1	1
25000	-283.839685414249686	-290.695173365209087	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.706317837837450	0	1	2	4	4	3	4	3	5	5	6	5	5	6	5	6	4	5	6	6	6	6	7	8	9	10	9	9	10	11	9	11	10	10	10	11	10	12	13	11	11	11	10	12	12	12	12	13	12	13	13	14	14	13	14	16	13	15	16	16	17	17	17	17	19	0	1	2	8	8	2	8	1	3	5	18	7	4	15	4	3	3	6	18	13	13	4	19	16	13	31	23	24	28	25	21	43	31	27	24	25	25	30	30	31	25	31	31	43	24	35	35	33	32	35	42	54	48	46	41	47	46	55	47	57	58	59	56	56	63	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	1	2	2	2	2	2	1	3	2	1	1	1	3	2	1	1	3	1	2	1	1	1	1
25500	-263.642652679733715	-270.498140630693115	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740710751018238	0	2	3	4	4	4	4	3	5	7	5	5	5	6	4	6	7	6	6	6	6	6	7	8	9	10	9	9	9	11	9	11	10	10	10	10	10	11	12	11	11	11	10	12	12	12	12	12	13	13	12	14	13	13	14	16	15	15	16	15	17	17	17	18	19	0	1	1	8	8	8	8	2	3	5	6	7	4	4	8	9	9	11	11	13	13	4	19	16	21	25	23	16	24	25	21	43	31	27	24	25	25	25	30	26	26	31	31	32	28	35	35	41	43	46	31	54	48	47	53	47	50	55	47	50	58	59	59	62	63	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	1	2	3	1	2	2	1	2	2	1	1	1	1	1	1	2	1	1	1	2	1	1	3	2	2	1	2	1	3	1	1	1	1	4	2	1	2	1	2	1	1	1	1
26000	-308.036654969103552	-314.892142920062952	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.651274011457070	0	2	3	4	4	3	4	3	4	7	5	5	4	5	5	6	7	6	6	6	6	5	7	8	9	10	7	9	10	11	8	9	10	10	10	11	10	12	13	11	11	11	11	11	11	12	12	12	12	13	13	12	13	14	14	16	15	15	14	18	17	16	17	17	18	0	1	2	8	8	2	8	2	3	22	6	7	8	7	4	14	3	11	11	13	13	8	19	3	13	31	19	16	28	21	20	31	31	19	24	25	25	30	38	33	33	26	33	25	28	35	35	33	43	47	31	35	41	52	53	47	50	55	47	57	58	59	62	56	63	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	3	5	2	1	1	1	3	2	1	2	2	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	4	1	1	2	1	3	2	1	1	1	2	2	1	1	1
26500	-302.817829260430130	-309.673317211389531	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.700493834759649	0	1	3	4	4	4	2	3	5	6	5	5	5	6	5	6	7	6	6	6	6	3	7	8	9	10	8	9	10	10	7	11	8	8	11	11	9	12	13	10	11	11	11	12	12	12	12	12	13	13	13	13	13	14	14	15	14	15	16	17	17	17	17	18	16	0	1	2	22	22	22	2	7	2	5	6	7	4	9	8	3	16	11	11	13	13	7	19	3	13	31	19	24	16	25	21	33	31	23	29	25	13	30	30	31	33	26	31	26	28	35	29	41	43	35	42	45	48	52	53	47	50	55	50	57	58	56	56	56	56	1	1	2	1	1	1	1	1	3	1	1	2	1	1	2	2	1	1	1	1	1	1	1	3	1	2	2	1	2	1	1	3	1	1	1	1	1	2	2	2	2	1	2	1	3	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	2	2	3	1
27000	-280.270910783324950	-287.126398734284351	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.703356830287339	0	2	2	4	4	4	4	3	5	7	5	5	5	6	5	6	6	6	6	6	6	5	7	8	9	9	9	7	10	10	8	11	10	10	11	11	11	12	12	10	11	11	11	12	10	12	12	12	13	13	13	13	13	14	14	16	15	15	14	17	17	16	17	18	19	0	1	1	8	8	8	8	3	2	5	6	7	8	4	4	9	9	11	11	13	13	4	19	28	13	31	23	16	24	25	13	26	31	27	29	25	30	37	30	26	31	33	31	32	28	35	35	41	43	29	42	46	32	52	53	59	50	55	45	50	58	59	62	62	62	1	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	2	1	1	1	1	1	2	1	1	1	2	1	3	1	1	1	2	1	2	1	2	1	1	2	2	1	4	4	2	2	1	1	2
27500	-300.755542198768012	-307.611030149727412	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638192929002293	0	2	3	4	4	4	4	2	5	6	5	5	5	5	5	6	7	6	6	6	6	3	7	8	9	10	9	9	7	10	8	11	9	10	11	11	11	11	13	9	11	10	10	11	12	12	12	12	13	12	13	14	13	13	14	16	15	15	16	18	17	17	17	18	19	0	1	2	22	22	8	8	1	2	5	6	22	22	22	22	3	9	11	11	13	13	8	19	16	14	31	23	29	7	31	21	33	31	27	24	25	30	30	30	31	26	31	31	43	28	35	35	26	26	35	26	46	48	35	53	47	50	55	47	57	58	59	56	62	63	1	1	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	4	2	2	2	3	1	2	2	1	1	2	2	1	1	2	1	1	1	2	1	2	1	1	2	1	1	2	1	1	2	1	2	2	1	3	1	2	1	1	1	1
28000	-296.112216278704068	-302.967704229663468	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731545411195115	0	2	3	4	4	3	3	4	5	7	4	5	5	6	5	6	6	6	6	6	6	6	7	8	9	10	8	9	10	9	9	10	10	10	11	11	11	12	11	11	11	10	11	12	11	12	12	13	13	13	12	14	13	13	14	16	15	15	15	18	17	17	17	18	19	0	1	2	7	7	2	2	7	3	5	6	7	8	4	4	3	9	11	11	13	12	15	19	16	10	25	23	22	16	22	21	31	31	23	29	30	25	30	30	26	26	31	32	43	16	35	29	41	32	35	42	54	31	35	53	59	50	55	47	50	58	59	56	62	62	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	2	2	1	1	1	1	2	2	1	1	3	2	3	2	1	1	2	1	2	2	2	1	1	1	1	1	1	2	1	1	2	1	2	2	1	3	2	1	1	2	1	2	4	2	2	1	1	2
28500	-291.529456589758922	-298.384944540718323	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.588594926397078	0	2	3	3	4	3	4	4	5	6	5	4	4	6	4	6	7	6	6	6	5	6	6	8	9	10	8	9	10	9	8	11	10	10	11	11	11	12	13	11	11	11	10	12	11	12	12	13	12	13	13	14	12	13	14	16	15	15	15	17	17	17	17	18	19	0	1	2	1	4	2	4	4	3	5	6	4	4	8	4	3	16	11	6	13	13	8	11	9	14	25	19	24	24	13	21	43	31	27	25	25	25	30	38	43	43	26	31	43	28	35	35	41	43	35	42	54	31	46	53	59	35	55	47	57	58	56	56	62	63	1	2	1	2	1	1	1	1	2	2	2	1	1	1	1	2	1	1	2	1	1	2	1	2	3	1	2	1	1	3	3	1	1	2	2	1	1	3	1	1	1	1	2	2	2	1	1	1	2	2	2	1	2	1	2	1	2	1	2	2	2	1	1	1	2
29000	-304.956962906230444	-311.812450857189845	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.623112295352595	0	1	3	3	4	4	4	2	5	6	5	5	5	6	5	6	7	6	6	6	6	4	7	8	9	10	9	9	10	10	8	11	10	10	11	11	11	12	13	10	11	11	9	11	11	12	12	13	13	13	13	13	11	13	14	16	15	14	14	18	17	17	17	18	19	0	1	2	8	8	8	8	2	3	5	6	7	22	15	7	3	9	11	11	22	13	8	19	9	13	43	23	24	16	25	21	43	31	27	3	30	25	30	30	43	33	31	31	33	28	24	35	41	32	46	42	46	31	35	53	59	50	53	46	35	58	56	56	62	56	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	3	2	1	1	2	1	2	1	3	3	1	2	1	2	1	2	2	2	1	5	1	2	2	2	1	1	2	1	1	2	3	1	2	1	1	2	1	2	2	2	1	2	2	1	5	1	1	1	1	2
29500	-298.951364239759471	-305.806852190718871	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616809607020996	0	1	3	3	4	4	3	2	5	6	5	5	5	6	5	6	7	6	6	6	6	4	7	7	9	10	9	9	10	11	9	10	10	10	11	11	11	12	13	10	11	11	11	12	11	12	12	12	12	13	13	13	13	14	14	14	15	15	15	18	17	16	17	17	19	0	1	1	8	4	8	8	1	3	5	6	7	22	22	4	12	9	11	15	13	13	8	19	9	13	25	23	24	24	25	13	31	31	27	28	25	25	30	38	31	26	26	32	43	29	35	28	40	31	35	31	35	48	52	53	47	50	55	56	57	58	56	62	56	63	1	1	3	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	1	1	1	1	1	2	3	1	1	2	1	2	3	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	2	1	1	3	2	1	1	2	1
30000	-285.497147234508361	-292.352635185467761	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638958534182051	0	2	3	4	4	4	4	3	5	7	5	5	5	5	5	6	6	6	6	6	6	6	7	8	8	10	9	9	10	11	9	10	10	10	11	10	11	12	12	10	11	11	11	12	12	12	10	12	13	13	13	14	13	11	14	15	15	15	16	18	17	17	17	18	19	0	1	2	8	8	8	8	2	3	5	6	7	8	4	4	3	9	11	11	13	13	8	19	16	13	31	19	2	24	36	13	31	31	27	29	25	36	25	36	31	26	26	32	43	28	35	28	41	32	47	42	54	48	47	53	47	50	55	56	56	58	59	59	62	63	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	3	1	1	1	1	1	3	1	1	2	1	3	3	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	4	2	1	1	2	2	1	1	1	2
30500	-281.985945259754033	-288.841433210713433	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672905224059851	0	2	3	4	4	3	4	3	5	7	4	5	5	6	5	5	7	6	6	6	5	6	7	8	8	10	9	9	10	9	9	11	10	10	11	11	11	12	10	10	10	11	11	12	12	12	12	12	13	13	13	14	13	13	14	14	15	15	16	18	17	16	17	17	17	0	1	1	8	8	2	8	2	3	5	6	7	4	15	4	3	16	11	11	13	2	8	18	16	22	31	23	24	16	25	13	26	31	27	29	39	25	39	30	31	31	33	31	32	35	35	35	41	32	35	42	54	48	46	53	47	46	55	56	57	58	56	62	62	47	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	1	2	1	2	1	3	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	2	3	1	1	2	2	2	1	1	2
31000	-258.498990420431710	-265.354478371391110	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748223521453660	0	2	3	4	4	4	4	3	4	7	5	5	5	6	5	6	7	6	6	6	6	6	7	8	8	10	8	9	10	11	9	11	10	10	11	11	11	12	10	11	11	11	10	12	11	12	12	12	13	13	13	14	13	13	14	15	15	15	16	16	17	16	17	18	19	0	1	2	8	8	2	8	2	3	5	6	7	4	4	8	3	16	11	11	13	13	15	19	16	13	31	23	24	24	25	13	43	31	27	24	25	39	30	25	26	31	31	31	32	28	35	35	41	44	35	42	54	48	46	53	47	50	55	56	35	58	56	56	63	63	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	1	1	1	2	2	3	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	2	1	2	1	1
31500	-252.398793942296123	-259.254281893255495	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.757203479126409	0	2	3	4	4	4	4	3	5	7	5	5	5	5	5	6	7	6	6	6	6	6	7	8	8	10	9	9	10	11	9	11	10	10	11	11	11	12	10	11	11	11	10	12	11	12	12	13	13	13	13	13	13	14	14	14	15	15	15	18	17	17	17	18	19	0	1	2	8	8	8	8	2	3	13	6	8	8	4	4	9	9	11	11	13	13	14	19	16	15	31	23	24	24	39	13	43	31	27	24	39	39	39	25	26	26	31	31	43	29	35	35	41	32	46	42	35	41	52	53	47	50	55	56	57	58	56	56	62	62	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	2	2	1	1	2	2	2	2	1	2
32000	-287.892405211937046	-294.747893162896446	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673999115127116	0	2	3	4	4	4	4	3	5	7	5	5	5	6	5	5	6	6	6	6	6	6	7	7	9	10	9	9	10	11	9	11	10	10	11	11	11	12	12	11	11	11	10	12	12	12	12	13	11	13	13	12	12	14	14	14	15	15	15	16	17	17	16	18	17	0	1	2	8	8	2	2	2	3	22	6	7	2	4	8	3	3	11	11	2	13	4	19	16	21	25	23	24	16	25	13	43	31	27	29	25	25	30	25	31	31	31	31	32	29	35	35	41	43	35	42	35	31	52	53	47	50	55	56	57	58	56	56	63	56	1	2	1	1	1	2	2	1	2	1	1	1	2	2	2	2	2	1	1	1	1	2	1	1	3	1	2	1	3	2	3	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	2	1	1	2	2	2	1	2	1	1	1	2	3	2	2	2
32500	-300.032061912818619	-306.887549863778020	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.683500149849356	-1	2	3	4	4	4	4	3	5	7	5	5	5	6	5	6	6	6	6	5	6	6	7	7	8	10	8	8	9	9	9	11	10	10	11	11	11	12	13	11	11	11	10	12	12	12	12	13	13	12	13	13	14	14	13	13	15	15	16	17	16	17	17	18	19	0	1	2	8	8	8	8	1	3	5	6	8	2	4	4	9	3	11	11	8	13	2	19	16	13	31	23	9	24	25	22	43	31	27	29	25	30	30	38	26	31	26	31	32	29	35	22	41	26	35	42	46	55	52	41	46	50	55	56	57	55	56	59	62	59	1	2	1	1	1	1	1	2	1	2	1	2	2	2	1	1	2	1	1	2	1	4	1	1	2	1	1	2	2	1	2	1	1	2	2	2	2	3	1	1	1	1	1	1	3	1	3	1	3	1	2	1	1	1	2	1	2	2	2	1	2	3	1	1	2
33000	-315.744398474004072	-322.599886424963472	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.651567166800543	0	2	3	4	4	3	4	3	5	7	4	5	5	6	4	6	6	6	6	6	6	5	7	7	9	10	8	9	8	11	9	11	10	10	10	10	11	12	11	11	11	11	10	12	12	11	12	12	12	13	13	12	14	14	13	14	15	15	16	18	17	17	17	18	18	0	1	2	8	8	2	8	2	3	5	6	7	4	4	1	9	3	11	11	22	22	8	18	15	13	25	18	29	16	31	13	43	31	27	29	9	25	39	13	26	33	26	25	32	28	35	35	41	26	35	42	35	55	52	31	50	47	55	56	57	58	59	56	62	63	1	2	1	1	1	1	1	1	2	2	1	1	1	2	4	1	3	2	2	1	1	1	1	2	3	1	1	1	1	1	3	1	1	2	1	2	1	1	3	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	2	1	2	1	2	3	2	1	2	1	1
33500	-277.233744622793665	-284.089232573753065	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.671465443482376	-1	1	3	4	4	4	4	3	5	7	5	5	5	6	5	6	7	6	6	6	6	6	7	8	9	10	8	9	10	11	9	11	10	10	11	11	11	12	13	11	11	11	11	12	12	12	12	12	13	13	12	12	14	14	13	14	15	14	16	18	17	17	16	17	18	0	1	2	8	8	2	8	2	3	5	6	7	4	13	8	9	3	11	11	13	13	4	19	16	13	31	23	17	28	25	21	26	31	27	29	25	25	25	30	31	26	31	26	32	28	29	35	41	32	35	42	35	55	52	48	47	50	55	56	50	58	56	56	63	62	1	1	2	1	1	2	1	1	2	2	1	1	1	1	2	1	3	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	2	2	2	1	2	1	1	2	2	1	1	2	1	1	1	1	2	1	2	2	1	2	2	2	2	2	1	1
34000	-286.186934155473864	-293.042422106433264	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731989642127216	0	2	2	3	4	4	4	3	5	6	5	5	4	5	5	6	7	6	6	6	5	4	7	8	9	10	9	9	10	11	9	11	10	10	11	10	10	12	13	11	11	11	10	11	12	12	12	13	13	12	13	13	14	14	12	14	15	15	16	16	16	17	17	18	19	0	1	1	2	8	2	4	2	3	5	6	7	8	5	8	9	9	11	11	13	13	8	19	16	14	25	23	24	28	25	21	43	25	27	29	25	25	30	30	31	31	26	31	43	28	35	35	41	31	35	32	46	55	52	31	47	50	53	56	50	58	56	56	63	56	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	2	1	1	2	1	2	1	2	2	2	1	2	2	1	2	2	1	4
34500	-312.326948251135605	-319.182436202095005	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638677065682122	0	1	3	2	4	3	3	4	5	7	4	5	5	3	5	5	7	6	5	5	6	6	7	8	9	10	9	9	10	8	9	11	9	10	11	11	11	12	13	11	11	11	11	12	12	12	12	13	12	12	13	12	14	14	13	15	15	15	16	17	16	17	17	18	19	0	1	1	2	14	4	4	14	3	5	6	7	8	4	14	3	3	11	11	8	20	8	18	16	13	31	23	24	28	10	30	26	21	27	29	30	25	25	25	31	26	26	31	33	24	35	35	41	43	35	42	24	44	52	33	47	46	53	56	57	58	56	59	56	62	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	2	2	2	1	1	1	2	1	3	2	1	2	1	1	1	1	1	3	1	1	1	1	3	3	2	1	1	1	3	3	1	1	2	1	1	2	2	1	1	2	3	3	1	1	1	1	2	1	1	2
35000	-305.017653540962101	-311.873141491921501	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.579419599431046	0	2	3	1	3	3	4	2	5	6	6	5	5	6	5	5	4	4	6	6	6	5	7	8	8	10	8	9	10	10	9	10	10	10	11	11	11	11	12	11	11	11	11	12	11	12	12	12	12	13	13	14	13	14	14	15	15	15	16	17	17	16	17	18	19	0	1	1	1	8	4	2	4	3	5	18	7	2	12	2	3	3	6	18	13	8	8	18	16	21	31	23	24	24	20	21	31	31	19	29	30	30	30	25	31	31	26	32	32	28	35	35	41	31	35	42	24	41	50	53	47	50	55	56	57	58	56	56	56	63	1	2	2	1	1	2	1	1	2	2	2	1	3	1	2	2	1	1	2	1	3	2	2	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	3	2	1	1	2	2	1	1	2	2	1	2	2	2
35500	-279.607809043692100	-286.463296994651500	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647318888828040	0	2	3	3	4	4	4	4	5	7	6	5	4	6	5	6	7	5	6	6	6	5	7	8	8	10	9	9	10	11	9	10	10	10	11	11	11	12	10	11	11	11	11	12	12	12	12	13	11	13	13	13	12	14	14	13	15	15	15	18	17	17	16	18	18	0	1	2	1	4	1	4	4	3	5	18	7	4	22	8	3	9	6	18	13	13	8	19	16	22	31	23	24	24	25	21	31	31	23	29	39	39	39	25	31	32	31	32	32	28	35	35	40	31	35	42	35	49	52	53	47	50	55	56	57	58	56	56	56	63	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	2	1	2	2	2	1	1	3	1	1	1	2	2	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	2	1	2	1	2	2	2	3	2	2	1
36000	-286.613807376623697	-293.469295327583097	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.817920396149571	0	2	3	3	4	3	4	4	2	7	6	5	5	6	5	5	7	5	6	6	6	6	7	8	9	10	9	9	10	11	9	11	10	8	11	11	11	12	10	11	11	11	10	12	12	12	12	12	12	13	13	14	13	14	14	14	15	15	15	18	17	17	14	18	18	0	1	2	2	4	9	4	4	1	5	18	7	4	8	5	2	14	6	18	13	13	4	19	16	14	31	34	16	24	39	21	43	31	23	29	39	25	39	25	31	25	26	31	32	29	35	35	41	43	35	26	50	48	50	53	47	50	55	56	57	58	59	47	56	62	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2	1	1	1	1	2	2	2	3	1
36500	-260.168213764262191	-267.023701715221591	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.759678448135030	0	2	3	4	4	4	4	3	5	7	6	5	5	6	5	6	5	5	6	6	6	5	7	8	9	10	9	9	10	11	9	11	10	10	10	11	10	12	10	11	11	11	10	10	11	12	12	12	13	13	13	14	13	13	14	15	15	15	16	18	17	17	17	18	18	0	1	1	8	8	8	8	1	3	5	18	7	8	22	4	3	3	6	18	13	22	4	19	16	21	31	23	24	24	39	21	43	31	27	24	39	25	39	25	26	31	31	31	31	28	35	35	41	43	35	42	54	41	46	53	47	50	55	56	57	58	56	56	56	62	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	2	1	2	1	1	1	1	2	2	1	1	2	2	2	1	2	1
37000	-293.878807083734785	-300.734295034694185	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.749645168971360	0	2	3	4	4	3	4	3	5	7	6	5	5	6	5	5	7	4	6	6	6	5	7	8	9	10	9	9	10	11	9	10	10	10	10	11	11	12	10	11	11	11	11	12	11	12	11	13	12	13	13	14	13	13	14	14	15	15	15	18	17	16	16	17	18	0	1	1	8	8	2	8	2	3	5	18	7	4	15	3	3	16	6	18	13	13	7	19	9	14	31	23	24	28	39	13	31	25	27	24	25	25	30	21	26	26	26	32	32	28	35	35	41	43	35	42	54	31	24	53	47	50	53	56	57	58	56	47	62	56	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3	1	1	1	1	1	4	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	2	2	1	2	2	1	1	3	2	1	2	1	2
37500	-289.499800333535575	-296.355288284494975	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.696215014772553	-1	2	3	4	4	4	4	3	5	7	6	3	5	5	5	5	7	5	6	6	6	6	7	8	9	10	8	9	10	11	10	10	9	10	11	11	11	12	10	11	11	11	11	12	12	12	12	13	13	13	13	14	13	12	14	15	15	15	16	17	17	17	17	18	19	0	1	1	8	8	8	12	2	3	5	18	2	8	4	4	3	3	6	18	13	13	7	13	9	22	33	23	17	24	39	33	33	21	27	29	25	39	36	25	31	26	26	32	43	28	29	35	41	33	35	42	54	41	35	53	46	50	55	56	57	58	56	56	63	62	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	3	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	3	2	1	1	2	2	1	2	1	2
