step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70
5000	-377.478387420724573	-386.529230801175913	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989389357068661	0	21	3	11	16	29	24	27	30	30	41	36	33	41	39	34	38	47	39	49	40	47	34	43	47	54	45	45	50	42	41	52	39	56	43	52	48	44	46	46	54	54	52	52	51	60	50	52	59	59	44	70	56	57	57	59	67	67	57	62	63	77	67	81	76	79	74	70	86	71	0	5	1	3	3	5	4	2	2	7	10	5	2	16	6	8	13	13	16	24	6	11	8	9	19	18	15	14	25	15	23	24	16	20	33	35	30	16	33	19	39	40	28	51	31	41	33	38	41	22	31	26	48	36	15	30	56	54	36	49	18	52	42	62	68	70	52	56	65	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-370.067462299753288	-379.118305680204628	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990162154596581	3	14	7	9	17	30	25	28	24	30	37	34	35	48	38	44	32	55	39	48	41	47	40	38	53	60	46	36	44	42	35	50	44	45	50	50	40	42	42	42	51	51	51	39	60	60	54	59	71	59	53	69	63	55	60	56	66	61	59	66	66	76	64	86	73	76	74	71	88	81	0	4	1	1	2	9	4	5	2	3	8	7	5	31	17	13	8	35	17	15	44	19	28	6	38	41	37	17	44	9	10	23	37	19	30	30	31	24	31	13	20	40	38	10	25	32	40	42	26	25	22	53	25	41	20	51	63	35	36	56	18	52	46	67	48	49	60	55	49	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-365.522926728016728	-374.573770108468068	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994642255464955	2	23	9	13	16	31	9	20	21	34	39	30	32	44	35	45	36	48	42	39	42	39	39	36	45	51	46	38	42	42	43	42	39	52	45	51	46	53	48	50	50	52	51	47	57	54	51	56	72	59	58	65	65	57	58	54	65	60	70	58	71	67	61	84	72	77	83	74	85	81	0	5	1	7	3	5	1	5	7	12	6	2	9	6	13	30	6	22	24	2	20	13	15	6	29	20	10	10	20	15	28	15	15	25	20	19	20	44	31	27	28	30	44	11	16	18	35	47	57	36	40	50	50	26	40	30	60	36	60	34	52	55	46	49	62	57	68	25	70	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-356.759630354829483	-365.810473735280823	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984274867451174	-5	22	11	9	-1	35	26	29	32	36	33	29	36	51	37	41	40	54	40	41	48	40	44	43	41	56	44	46	41	47	40	52	48	57	43	48	46	57	46	43	50	50	58	48	51	51	52	55	59	59	57	73	63	54	63	57	63	63	62	60	72	65	58	75	76	77	83	71	88	83	0	3	5	1	1	12	2	2	12	9	8	2	8	37	11	7	12	33	6	13	25	9	31	17	11	45	15	31	8	31	11	20	24	46	15	37	16	46	16	17	24	23	54	20	23	24	21	39	32	21	27	53	45	33	26	46	34	54	56	48	55	51	46	68	68	52	64	53	67	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-368.491707535879073	-377.542550916330413	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999460662925228	5	20	12	10	20	35	26	28	29	25	38	35	29	49	36	38	31	52	34	43	44	38	45	35	51	54	50	40	45	41	49	52	41	51	44	47	47	44	44	48	49	55	52	49	56	52	44	49	65	59	58	55	59	56	36	62	68	53	66	63	74	70	66	84	68	74	80	72	78	80	0	4	1	1	3	9	2	2	10	2	6	17	10	37	13	17	9	29	8	22	16	17	30	9	41	36	30	13	30	6	15	33	15	29	11	15	15	55	28	38	35	34	23	39	48	29	11	13	14	36	25	31	30	58	13	44	54	39	58	27	59	59	56	62	51	65	57	65	62	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-368.501352649947364	-377.552196030398704	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996565109782041	6	23	10	13	14	36	20	30	24	30	35	38	31	47	40	38	38	55	34	40	48	45	44	36	50	60	43	40	47	45	47	54	43	56	43	50	50	55	47	46	49	56	59	42	55	57	49	50	60	57	53	66	58	59	55	54	70	58	67	65	70	77	68	81	70	74	74	69	76	78	0	4	1	3	3	10	4	9	7	9	10	13	9	33	24	10	13	47	8	2	14	6	20	19	27	54	16	11	27	20	23	36	6	29	17	44	33	21	35	44	29	41	44	20	36	36	33	15	50	14	6	43	14	25	20	44	54	22	54	32	60	57	32	59	38	26	59	46	61	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-358.570769092872808	-367.621612473324149	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998509812489166	6	18	11	11	17	31	24	29	23	27	33	36	30	50	32	43	41	47	42	42	47	45	39	41	50	63	46	38	47	33	45	54	38	51	43	53	43	54	50	47	53	53	58	43	59	59	44	51	69	56	51	62	59	58	62	64	70	62	62	62	65	76	68	79	74	75	77	65	84	82	0	3	1	1	3	7	3	5	4	9	13	7	9	18	10	33	6	19	30	33	28	28	13	23	19	41	12	30	28	8	11	40	6	18	12	16	30	39	22	44	22	22	39	28	42	32	19	22	52	51	33	54	17	50	36	46	60	54	39	37	58	63	59	57	61	52	68	43	62	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-353.679933273264282	-362.730776653715623	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.975064218205841	4	24	8	15	16	33	24	28	29	34	40	38	31	51	35	40	40	41	43	49	43	45	41	38	49	53	43	35	43	37	48	50	43	53	45	50	49	51	45	52	49	53	54	51	51	59	54	57	68	58	57	68	57	48	63	60	67	61	64	62	70	71	64	85	69	78	78	74	79	79	0	5	1	3	3	9	5	7	2	8	6	8	8	33	13	15	24	28	9	11	24	13	28	8	16	23	23	13	24	5	18	15	13	37	28	19	27	11	15	35	24	54	54	35	27	36	39	45	55	22	32	48	41	16	50	51	60	48	50	48	53	48	32	66	50	68	61	65	68	49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-370.398898203089516	-379.449741583540856	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981584385987786	0	22	9	6	21	37	22	26	31	38	39	34	31	44	32	38	32	53	40	48	44	37	41	45	54	58	46	43	44	42	39	57	43	53	49	52	44	57	40	48	51	52	59	49	53	59	51	52	72	54	56	66	48	55	61	57	71	57	68	66	63	72	67	83	64	68	75	69	82	62	0	3	1	1	3	12	3	2	5	9	13	13	2	39	8	15	7	21	6	19	11	15	13	11	37	54	22	22	12	10	12	33	15	41	16	35	10	45	15	6	14	44	47	6	30	32	19	53	26	27	48	58	31	28	20	20	61	44	58	61	58	60	53	63	50	70	66	25	62	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-375.732853915000476	-384.783697295451816	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986358723593047	2	21	10	13	19	36	28	27	25	31	41	35	29	45	32	44	35	47	42	44	42	39	33	33	50	49	47	45	42	42	39	47	39	55	51	49	47	48	41	47	53	54	57	50	48	56	54	61	61	41	58	64	50	45	58	57	60	56	56	59	68	72	67	84	65	76	81	75	84	75	0	4	1	3	3	24	2	4	2	8	6	8	2	17	9	22	8	39	22	11	17	12	13	7	28	22	39	22	10	23	6	23	13	40	30	23	11	24	7	30	32	40	25	31	30	39	29	41	46	22	36	51	18	10	23	45	25	38	36	14	48	61	57	67	49	62	62	52	68	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000	-352.499030117385303	-361.549873497836643	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987371937517687	3	23	13	12	19	36	22	26	18	32	42	29	35	52	36	43	38	54	40	36	45	44	43	40	53	53	47	45	44	34	42	51	43	55	51	44	48	50	44	40	51	57	52	48	57	57	47	54	70	56	59	65	54	58	56	60	67	67	64	65	70	74	67	84	77	74	70	64	79	75	0	5	1	1	4	10	4	9	4	2	20	9	5	37	12	40	12	44	30	30	40	24	15	13	19	27	23	16	15	12	30	21	20	28	22	24	33	11	17	13	21	20	40	21	38	44	11	27	52	36	35	56	38	43	43	48	68	42	42	54	55	61	56	65	52	59	42	54	66	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	-374.573934064922639	-383.624777445373979	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993466671657632	-2	17	13	11	21	34	25	31	29	30	29	33	34	52	35	38	38	49	37	48	42	45	36	41	52	62	44	44	45	45	42	45	45	47	53	49	44	57	49	39	51	54	52	49	59	55	49	52	61	58	52	73	54	60	56	64	57	62	59	64	71	63	57	67	73	74	76	67	79	76	0	4	4	1	2	7	2	7	5	7	5	8	10	29	10	6	7	33	12	30	10	10	11	11	32	51	40	40	24	23	12	40	9	17	21	29	15	34	22	9	30	28	34	33	63	39	22	22	45	18	20	54	34	53	18	38	31	35	36	54	26	18	33	58	58	64	66	49	56	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11000	-369.532305318026886	-378.583148698478226	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996517513625787	2	22	7	15	18	36	20	16	25	36	37	39	27	49	35	40	36	46	36	40	41	42	39	32	46	57	42	43	46	40	45	53	41	50	48	50	48	53	50	46	41	55	57	46	53	59	52	60	64	56	52	71	62	56	60	56	61	61	65	65	70	70	65	79	68	72	74	74	88	76	0	5	1	3	3	9	8	4	7	13	24	11	9	27	13	12	13	33	24	15	17	16	17	2	16	45	6	17	23	15	27	29	10	30	20	21	30	28	6	16	6	18	44	28	23	45	35	32	54	30	23	47	50	47	42	39	32	50	26	46	14	49	50	61	55	55	42	60	64	53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
