step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17
21500	-53.614180215825137	-52.241306859181449	-1.372873356643689	0.000000287468739	0.000000134913283	0.469314624409694	0.912482925011942	0	4	8	9	9	11	15	13	15	18	16	16	19	16	18	21	22	0	1	2	3	3	5	8	4	8	14	7	8	12	9	12	13	16	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1
22000	-61.515406227218818	-59.774906104158703	-1.740500123060116	0.000001103761659	0.000001869129260	1.693417454430617	0.805642435347736	0	2	8	9	6	12	15	13	15	17	14	17	18	17	18	21	21	0	1	5	3	2	4	6	6	11	7	8	9	11	8	12	13	12	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2
22500	-63.668984582484654	-62.253194986336432	-1.415789596148221	0.000004181913409	0.000003606316275	0.862360341387859	0.717856522477469	-1	4	8	10	10	12	14	13	16	20	16	17	18	18	18	21	20	0	1	2	3	2	3	8	4	7	7	7	9	9	11	11	15	12	1	3	2	1	4	2	1	1	2	3	1	1	1	1	1	2	1
23000	-61.572970245124736	-58.086483925936577	-3.486486319188160	0.000000546814406	0.000004100840060	7.499509913340227	0.863082079136082	-1	4	8	10	7	12	14	13	15	19	14	16	18	17	19	20	21	0	1	2	3	2	3	6	4	8	11	8	8	9	7	12	10	10	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1
23500	-57.932351690428860	-56.125975066894028	-1.806376623534828	0.000006508608745	0.000012068450571	1.854228921070414	0.844315594810709	-1	3	8	10	9	11	14	13	16	19	17	16	19	17	18	21	20	0	1	1	5	3	5	4	6	7	12	12	8	11	9	7	13	15	1	1	4	1	1	1	2	1	1	1	1	1	1	1	2	1	1
24000	-64.166166172971842	-60.676777404007524	-3.489388768964324	0.000000108629542	0.000000816102585	7.512713141972871	0.579584590393303	-1	3	8	7	9	12	12	14	14	19	16	18	20	17	18	20	21	0	1	2	2	2	5	5	7	6	12	8	11	15	7	11	11	15	1	1	3	2	3	1	1	2	1	1	1	1	1	2	1	2	1
24500	-54.446899636921579	-52.535053577274866	-1.911846059646715	0.000002852576064	0.000000437579656	0.153398067497783	0.645972134682397	-1	3	8	10	9	12	14	12	15	19	16	17	20	17	17	19	20	0	1	2	5	3	4	6	3	6	7	9	9	15	9	11	15	16	1	2	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1
25000	-46.636964731308083	-45.275325368545296	-1.361639362762790	0.000000104015777	0.000000056363155	0.541871207591705	0.924220172639068	0	2	9	7	9	12	15	13	15	19	17	17	19	17	19	20	21	0	1	4	2	4	5	8	6	8	11	7	7	9	8	12	15	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25500	-59.904229340015384	-58.539448742799948	-1.364780597215438	0.000005196582369	0.000003308790399	0.636724324548653	0.633647832315145	0	4	8	10	10	12	15	13	14	19	16	17	19	17	18	20	21	0	1	2	3	3	4	9	4	6	5	7	11	12	11	9	12	7	1	2	2	1	2	1	1	2	1	3	1	1	1	1	2	2	3
26000	-54.398433707479271	-52.092691548322570	-2.305742159156704	0.000000516810624	0.000001641819947	3.176830875416007	0.796056019683583	0	2	8	9	10	12	15	11	15	19	17	17	19	18	17	20	21	0	1	2	3	4	8	6	4	8	15	4	7	12	11	7	13	13	1	1	3	1	1	1	1	1	2	1	3	1	1	1	1	1	1
26500	-54.476218993433612	-53.071212695348322	-1.405006298085287	0.000004047345708	0.000001590451589	0.392961635522201	0.756213206905642	-1	4	8	10	9	11	13	14	16	18	14	18	19	17	17	20	21	0	1	2	3	3	4	6	7	8	14	7	9	15	8	9	15	10	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
27000	-49.783417538020110	-48.216220542253581	-1.567196995766532	0.000004573240841	0.000001167274400	0.255240089141341	0.819828427814479	0	3	8	10	10	12	13	13	15	19	16	15	19	17	18	21	20	0	1	2	3	3	4	6	6	8	11	8	8	14	8	11	17	15	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1
27500	-62.425745470881758	-60.139707872964024	-2.286037597917735	0.000000110547314	0.000000344921302	3.120123778630017	0.596709067380384	0	3	8	10	10	12	13	13	15	17	16	17	18	17	19	20	21	0	1	2	3	3	4	4	6	7	5	9	9	9	9	10	9	7	1	1	3	1	1	1	1	1	1	4	1	1	2	1	2	2	3
28000	-61.240931928179194	-59.642649740531098	-1.598282187648092	0.000004975514217	0.000006708942045	1.348391694403931	0.722413484816942	0	4	7	9	10	13	14	13	16	20	17	18	20	17	18	20	20	0	1	2	3	4	5	4	4	7	15	7	14	15	9	11	12	11	1	2	2	1	1	3	2	2	1	1	2	1	1	1	1	1	1
28500	-65.063124686894085	-61.593605835052344	-3.469518851841740	0.000000915548668	0.000006795759757	7.422608973570455	0.541106040443419	0	3	8	9	10	12	14	14	15	18	16	16	19	17	17	20	21	0	1	2	2	4	5	5	6	5	12	8	8	10	6	6	7	11	1	2	3	3	1	1	2	1	2	1	1	1	1	3	2	4	3
29000	-59.691966497744623	-58.208172401279050	-1.483794096465573	0.000004247476158	0.000001302051203	0.306547030439899	0.833778838264096	-1	2	8	9	10	13	15	12	16	18	17	18	20	17	17	19	21	0	1	2	3	4	5	8	5	4	15	7	6	14	9	7	11	13	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1
29500	-48.157451788686778	-46.644318931086971	-1.513132857599804	0.000003700479644	0.000004203201227	1.135853087168391	0.852288065649609	0	3	7	10	9	11	14	12	14	19	16	17	19	16	18	20	21	0	1	2	3	3	5	8	4	8	12	9	11	14	9	14	11	16	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1
30000	-56.502327305991450	-55.138569266392579	-1.363758039598872	0.000005246674516	0.000003289437817	0.626956714566707	0.674467387984117	-1	3	8	7	10	12	15	14	16	19	16	17	19	17	17	20	22	0	1	2	1	3	5	8	6	6	14	6	7	15	9	9	13	15	1	2	2	3	1	1	1	1	2	1	2	1	1	1	1	1	2
30500	-60.067879979355517	-58.707040641501941	-1.360839337853577	0.000002598136418	0.000001473342270	0.567076562938615	0.580721804785628	-1	4	7	9	10	12	15	13	14	20	17	17	19	16	17	20	21	0	1	2	3	3	5	8	5	6	9	7	6	12	6	6	15	10	1	3	1	1	1	1	1	1	1	2	1	3	1	2	3	1	1
31000	-57.053056103892466	-55.689113416496014	-1.363942687396453	0.000000134029351	0.000000069197556	0.516286582312969	0.774739584855500	0	3	6	9	10	12	13	13	14	19	15	17	19	17	17	20	19	0	1	2	3	4	5	5	5	7	12	7	11	14	8	6	17	11	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2
31500	-47.553218381417125	-44.467323729100976	-3.085894652316146	0.000001927882258	0.000011198011117	5.808451772136202	0.979468040510537	0	4	7	10	9	12	14	14	15	19	16	16	20	17	18	19	21	0	1	2	5	3	4	6	6	6	11	9	8	14	9	9	11	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32000	-53.011083722779418	-51.069893711150470	-1.941190011628944	0.000000088621480	0.000000194140246	2.190668057589461	0.730587041684439	-2	4	7	9	9	13	15	13	15	19	17	17	20	17	19	20	22	0	1	2	3	3	3	4	4	8	12	9	9	12	9	12	15	13	1	2	1	1	1	3	2	2	1	1	1	1	1	1	1	1	1
32500	-55.287589103134366	-53.528585708992743	-1.759003394141623	0.000000707329397	0.000001229634013	1.738417798941772	0.777021949920352	-1	3	7	9	8	12	13	14	15	20	16	17	19	18	18	21	21	0	1	2	3	3	4	6	6	7	14	8	11	8	8	11	15	12	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2
33000	-61.617366268622831	-60.144336932270022	-1.473029336352808	0.000001093492981	0.000001126376513	1.030072009921615	0.793790123978263	-1	4	7	9	8	12	14	13	15	18	16	17	20	18	18	20	22	0	1	2	3	2	3	5	5	6	12	9	7	10	6	11	12	16	1	2	1	1	2	3	2	3	1	1	1	1	1	2	1	1	1
33500	-65.996725796036600	-64.628158330196641	-1.368567465839958	0.000007207632477	0.000004797607861	0.665628814515207	0.570599656359811	-1	2	8	10	10	12	15	13	15	20	16	18	18	16	18	20	22	0	1	1	3	3	3	8	6	8	15	4	11	8	8	14	8	16	1	2	3	2	1	2	1	1	1	1	2	1	2	2	1	4	1
34000	-54.212542273221082	-51.873077342320357	-2.339464930900727	0.000002913779188	0.000009542254991	3.274872382338444	0.872449306182876	-1	4	7	9	8	12	15	13	16	20	17	17	18	18	19	20	20	0	1	2	5	3	5	8	6	8	14	7	8	12	9	14	14	13	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
34500	-54.073581483710228	-50.328855995043597	-3.744725488666634	0.000000467269895	0.000004079847196	8.731243422594433	0.914796037502256	0	4	8	10	10	12	14	12	12	19	16	16	20	17	18	19	19	0	1	2	3	3	4	9	5	5	14	8	7	15	12	12	15	14	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1
35000	-58.953971901383255	-55.781951033342501	-3.172020868040751	0.000000035984715	0.000000221331673	6.150713455053511	0.529816034208138	-1	3	8	9	9	11	14	12	15	18	16	17	19	16	18	20	21	0	1	2	3	3	4	8	6	3	8	7	11	5	7	11	13	10	1	2	2	1	1	1	1	1	4	3	1	1	4	1	1	1	1
35500	-51.013688042803189	-49.347326320340542	-1.666361722462647	0.000007721674822	0.000011689135178	1.513808266567908	0.726351022498529	0	3	7	10	8	12	14	13	15	17	16	18	18	17	18	20	21	0	1	2	5	3	4	8	6	7	9	7	11	10	9	11	12	13	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36000	-56.129905340055231	-54.742831148882978	-1.387074191172255	0.000003995346034	0.000001709604875	0.427899075565181	0.885246150221412	0	4	8	10	9	12	14	14	16	20	16	17	19	18	18	20	21	0	1	2	5	3	3	4	6	8	14	4	11	15	9	9	15	9	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	3
36500	-62.843628723434605	-60.411539754877971	-2.432088968556635	0.000001503184272	0.000005337469856	3.550775480648963	0.622803720701213	-1	2	6	8	10	13	15	14	15	18	16	17	19	18	19	21	21	0	1	2	3	4	5	3	6	5	11	7	6	14	8	11	15	15	1	1	2	1	1	1	4	1	3	1	1	2	1	2	1	1	1
37000	-57.442200625282290	-56.005328969853757	-1.436871655428533	0.000004559288768	0.000004229709065	0.927712474499526	0.697456923023124	-2	3	8	9	10	12	13	13	15	19	17	17	19	16	19	21	21	0	1	2	3	3	5	5	6	8	12	6	14	14	8	12	13	9	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	2
37500	-58.372048602577259	-56.552639582759632	-1.819409019817630	0.000000841730740	0.000001587732318	1.886271038954967	0.899718810972961	0	4	9	7	10	13	14	12	15	18	16	17	19	15	18	21	22	0	1	4	2	4	5	8	3	7	7	7	9	14	6	12	15	15	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1
38000	-78.780723127230900	-77.350098679583198	-1.430624447647701	0.000000167830320	0.000000152546041	0.908930170476330	0.430848120716985	0	4	8	9	9	12	14	12	16	19	14	17	19	15	15	20	22	0	1	2	3	2	5	6	3	4	9	4	3	9	11	7	14	4	1	3	2	1	2	1	1	2	2	2	2	5	2	1	1	2	6
38500	-53.135761096898918	-51.771664447541873	-1.364096649357047	0.000000199332750	0.000000125647369	0.630339817378697	0.874958017534816	-1	3	9	7	8	12	15	13	14	19	15	18	18	17	17	19	21	0	1	4	2	4	5	9	6	8	15	9	14	11	7	11	14	13	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1
39000	-56.658938031900846	-54.071370157810783	-2.587567874090062	0.000000252769047	0.000001020370830	4.036771277481045	0.701761014879102	0	3	8	7	9	13	12	13	15	19	16	18	19	18	18	20	21	0	1	4	2	4	7	5	7	8	15	7	9	14	6	11	12	13	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1
39500	-71.236600920802445	-69.849975370260992	-1.386625550541447	0.000000593793522	0.000000449412472	0.756849739263029	0.549164615266739	0	4	8	9	9	13	14	12	16	19	17	17	19	18	18	18	21	0	1	2	3	3	8	8	2	3	7	3	6	16	3	11	12	13	1	2	1	1	1	1	1	4	3	3	5	2	1	3	1	1	1
