step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33
10000	-193.062017533480400	-191.665232529765831	-1.396785003714570	0.000080481306971	0.000064117397954	0.796674412572302	0.700141706125581	0	2	3	4	8	12	14	15	16	13	17	17	17	19	20	20	21	20	23	21	21	19	21	21	22	23	25	26	27	26	29	30	32	0	1	2	3	0	5	5	10	7	6	8	10	8	11	12	13	11	0	17	16	14	11	13	12	15	23	22	24	26	24	28	28	31	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	1	1	2	2	2	3	2	2	2
10500	-194.074856994996310	-192.594160459034697	-1.480696535961611	0.000086926534083	0.000026857278043	0.308965246647820	0.636519415389551	0	2	3	4	9	13	13	16	15	14	17	17	18	19	20	20	22	20	22	20	20	20	21	22	22	24	25	26	28	27	28	30	32	0	1	2	3	0	5	5	10	6	6	10	10	12	13	12	14	16	0	16	13	13	12	13	15	13	20	25	12	26	27	30	30	28	1	1	1	1	1	2	2	2	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	3	2	1	1	1	3
11000	-207.527999835374942	-206.140626543568999	-1.387373291805943	0.000098824340061	0.000042218084256	0.427203300622233	0.550241851576959	0	1	2	4	9	12	13	16	15	14	17	18	19	19	20	20	22	19	22	20	19	20	22	22	22	23	24	25	27	27	29	31	33	0	1	2	3	0	5	5	10	6	7	10	8	11	10	12	11	14	0	11	11	11	12	16	15	16	20	22	15	21	24	24	28	30	1	1	1	2	1	2	3	1	1	1	1	1	2	1	2	1	2	1	2	2	1	1	1	1	1	2	2	2	3	2	4	2	2
11500	-177.516513422323357	-176.151841300418624	-1.364672121904731	0.000092363645705	0.000047166713046	0.510663180149335	0.817356811922740	0	2	3	4	8	11	13	16	15	15	16	17	18	19	21	20	21	20	22	21	20	21	21	22	22	25	25	25	27	27	29	29	32	0	1	2	3	0	5	6	10	6	7	10	10	11	13	12	13	14	0	14	14	14	12	13	12	14	20	22	15	26	27	30	30	30	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	1	1	3
12000	-208.380519738347829	-206.975328676429797	-1.405191061918025	0.000083381952783	0.000068941021954	0.826809874952345	0.587867600506361	0	2	4	5	9	11	13	16	14	15	16	18	18	19	20	20	20	20	23	22	20	20	21	22	22	22	25	25	27	28	29	28	32	0	1	2	3	0	5	5	10	6	7	10	10	11	11	10	11	14	0	14	12	13	12	13	22	14	16	19	15	13	27	27	28	31	1	1	1	1	1	1	2	1	1	1	1	2	1	2	3	2	1	1	2	2	1	2	1	1	2	1	1	3	4	2	2	2	1
12500	-198.309850481836776	-196.938610594709644	-1.371239887127127	0.000079228509808	0.000054064694953	0.682389395989651	0.643461092792424	0	1	3	4	9	12	14	16	16	15	17	17	19	19	20	20	21	20	23	21	21	21	21	21	23	24	26	26	28	25	29	29	31	0	1	2	3	0	5	6	10	7	6	8	8	11	11	12	14	13	0	11	13	11	12	8	15	23	23	12	15	26	24	30	28	28	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	2	2	1	1	2	4	3	1	2	2	1	3
13000	-206.171273704946884	-204.798698021938577	-1.372575683008306	0.000074957382617	0.000035263574752	0.470448320376371	0.704245617129623	0	1	3	4	7	12	14	15	14	14	18	17	17	18	20	20	20	20	21	22	21	20	20	21	22	25	25	27	26	26	28	30	32	0	1	2	3	0	5	6	10	6	6	10	10	10	10	12	13	13	0	14	13	14	12	13	12	14	20	15	30	23	24	30	30	30	1	1	1	1	1	2	2	1	2	1	2	1	1	2	2	2	1	1	1	2	1	1	1	2	2	2	3	1	3	3	1	2	3
13500	-201.222415763518143	-199.855012991283360	-1.367402772234790	0.000084480361711	0.000055551687824	0.657569246848179	0.680469533864376	0	2	3	4	8	12	13	16	16	14	17	17	16	20	19	20	21	21	23	21	20	21	22	22	21	25	25	27	26	25	29	30	30	0	1	2	3	0	5	6	10	7	6	13	8	10	8	12	13	14	0	21	13	11	12	11	14	14	14	15	24	26	24	22	28	28	1	1	1	1	1	2	1	1	2	1	1	1	1	3	1	2	1	1	1	3	2	2	2	1	1	2	2	2	1	1	4	1	2
14000	-177.413771176135327	-176.052882171472078	-1.360889004663257	0.000070236266232	0.000040556732087	0.577432916974014	0.753828826686060	0	1	2	4	9	12	13	16	15	15	17	17	18	19	19	20	21	19	22	21	20	21	21	22	21	23	25	25	27	26	29	29	32	0	1	2	3	0	5	5	10	6	6	8	10	11	11	12	13	13	0	23	14	11	12	11	15	13	20	24	24	26	24	30	30	31	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	2	2	1	1
14500	-210.831858795934323	-209.451887193137139	-1.379971602797174	0.000100966953055	0.000073468454982	0.727648530129565	0.638973351886246	-1	1	3	5	8	11	12	16	14	14	17	18	18	16	20	20	21	21	21	19	19	21	19	21	22	23	25	26	25	27	28	27	32	0	1	2	3	0	5	5	10	5	6	14	10	14	10	12	23	20	0	16	14	14	15	14	20	11	23	22	27	26	15	27	27	31	1	1	1	1	1	3	2	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	1	2	3	1	1	2
15000	-188.750310307409109	-187.386007467226420	-1.364302840182693	0.000075373305516	0.000038698796761	0.513428414692616	0.699026867268788	0	2	3	4	8	12	12	15	16	14	16	17	18	20	20	21	22	21	22	20	21	20	21	20	22	23	25	26	28	28	29	29	31	0	1	1	3	0	5	5	10	7	6	10	10	11	13	12	13	14	0	14	11	13	12	11	12	13	14	15	27	16	28	30	27	31	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	2	1	1	1	2	1	1	2	1	2	2	3	1	2	1	1	2	1
15500	-190.738172343167008	-189.335799633921994	-1.402372709245025	0.000076247017002	0.000030300995482	0.397405651705523	0.552354657770065	0	2	4	3	8	12	13	15	16	14	16	18	18	20	20	20	21	20	22	22	19	20	22	21	22	24	25	25	28	28	28	29	33	0	1	4	2	0	5	6	10	6	6	10	8	11	13	12	11	11	0	10	16	11	12	14	12	11	20	12	24	26	28	28	31	31	1	1	1	1	1	3	1	1	2	1	1	2	1	1	1	2	3	1	3	1	1	1	1	2	2	1	3	2	2	2	2	1	2
16000	-208.604649343305312	-207.233336538736211	-1.371312804569108	0.000080158250170	0.000038111915664	0.475458428589831	0.642396635908786	0	2	4	5	8	11	12	16	15	13	16	17	19	19	19	18	21	20	22	19	21	20	20	21	22	23	25	25	26	27	29	30	31	0	1	2	3	0	5	5	10	5	6	10	10	16	16	12	11	23	0	13	8	13	12	14	22	14	23	15	24	26	28	30	28	32	1	1	1	1	1	1	2	2	2	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	2	1	2	1	2	2	1	3	1
16500	-216.117019437104204	-214.754258717900939	-1.362760719203266	0.000132828335585	0.000070030015016	0.527221956879035	0.580171131592484	0	2	3	4	9	13	11	15	15	13	18	17	17	18	19	21	22	19	22	21	20	20	21	22	22	23	26	27	26	28	28	30	32	0	1	2	3	0	5	5	10	5	5	8	8	8	13	10	14	11	0	15	11	14	11	13	11	16	13	22	24	20	24	28	28	31	1	1	1	1	1	2	1	1	2	2	2	1	1	1	3	1	2	1	2	2	1	1	2	2	1	3	2	1	3	3	1	2	3
17000	-192.925082845742111	-191.505572524688262	-1.419510321053858	0.000076680861210	0.000028472408946	0.371310500389421	0.652422394056798	-1	1	3	4	8	12	13	15	16	14	17	17	18	19	20	19	20	20	22	21	21	20	21	22	22	24	25	26	28	27	29	30	31	0	1	2	3	0	5	5	10	7	6	10	8	8	13	12	11	11	0	16	13	14	12	16	10	16	23	22	15	26	24	30	24	31	1	1	1	1	1	2	2	1	2	1	2	1	2	1	2	1	2	1	1	2	1	1	1	3	1	1	4	3	2	3	1	4	1
17500	-212.729016008355984	-211.366608800536795	-1.362407207819190	0.000119343080776	0.000072941751570	0.611193804415698	0.504042618257135	-1	1	3	4	9	11	13	15	15	14	17	17	17	19	20	19	21	20	22	21	19	21	21	21	22	24	25	26	26	26	28	31	32	0	1	2	3	0	5	5	10	5	6	8	8	8	11	12	13	11	0	11	13	10	13	13	12	11	11	22	17	19	24	30	26	31	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	2	3	2	2	2	2	4	2	2	2	3	1	4	2
18000	-191.516068585793079	-190.097231721684807	-1.418836864108272	0.000109955176971	0.000040928252722	0.372226700460446	0.686351806059918	-1	1	3	4	9	12	12	15	14	14	16	17	17	19	20	20	22	21	22	21	20	21	22	22	22	24	25	25	26	27	30	30	32	0	1	2	3	0	5	5	10	7	6	10	8	11	13	12	11	16	0	21	13	13	12	14	15	21	20	22	24	20	22	24	30	31	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	2	1	1	2	2	1	2	3	5	1	1
18500	-184.577833756083407	-182.975576547015066	-1.602257209068345	0.000063067940549	0.000015076236026	0.239047539761959	0.800823154940388	0	2	4	5	8	12	13	16	15	14	17	17	18	20	19	20	22	21	22	22	21	21	21	21	22	24	25	26	27	27	30	28	32	0	1	2	3	0	5	6	10	7	6	8	10	11	13	12	11	16	0	14	11	16	12	11	12	16	20	22	24	20	24	28	30	31	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	2	1	2	2	1	1	2	2	3	2	3	2	1	1
