step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14
22500	-89.442402990153013	-96.297890941112385	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.444930249691160	2	4	5	3	7	6	6	8	9	8	11	13	14	17	0	1	1	1	4	1	2	2	5	2	5	11	12	13	1	1	1	1	2	2	1	3	1	2	2	2	1	1
23000	-81.901357094462952	-88.756845045422324	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.654350290735610	3	4	4	4	7	6	6	8	8	10	11	13	14	17	0	1	1	1	4	2	2	1	5	1	5	11	12	13	1	1	1	1	2	1	1	1	1	4	2	1	1	1
23500	-85.596567752749380	-92.452055703708751	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.560966941060239	3	5	4	4	7	7	5	8	8	11	11	10	14	18	0	1	1	1	4	1	1	2	5	6	5	5	12	13	1	2	1	1	1	2	1	2	1	3	2	2	2	2
24000	-88.292388622887458	-95.147876573846830	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.859618943870203	3	4	5	5	8	6	6	9	9	10	11	13	15	17	0	1	1	1	4	2	2	1	5	2	5	9	12	12	1	1	1	1	2	1	1	3	1	2	1	2	1	2
24500	-104.250377082016712	-111.105865032976084	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724331472698069	2	4	4	5	7	6	5	8	8	10	10	13	14	18	0	1	1	2	4	2	1	2	5	7	5	8	11	13	1	1	1	1	1	1	1	2	1	3	2	4	1	2
25000	-86.092153252785096	-92.947641203744467	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615775787772392	3	5	4	4	7	6	5	8	8	9	11	12	14	16	0	1	1	1	4	1	1	1	5	1	5	5	12	11	1	1	1	1	2	1	1	2	1	3	3	2	1	3
25500	-83.342862045738542	-90.198349996697914	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.795976281775761	3	5	5	5	7	6	6	9	9	10	9	10	14	18	0	1	1	1	4	2	1	2	5	2	5	5	12	13	1	1	1	1	1	1	1	2	1	1	1	1	2	2
26000	-90.752739195955456	-97.608227146914828	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.536907320675637	3	4	4	5	6	7	6	9	7	9	10	13	14	17	0	1	1	1	2	2	2	6	5	1	5	11	12	12	1	1	1	1	2	2	1	1	1	3	2	2	1	2
26500	-78.207737084210706	-85.063225035170078	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.735619068091774	3	5	5	5	7	7	4	7	9	10	11	11	14	18	0	1	1	1	4	2	1	2	5	2	5	5	12	13	1	1	1	1	1	1	1	1	1	2	2	2	2	2
27000	-81.846412887907476	-88.701900838866848	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.565964502764775	3	4	5	5	7	6	5	9	8	9	11	13	14	16	0	1	1	1	4	2	1	2	5	2	5	5	12	13	1	1	1	1	1	1	1	2	1	3	2	3	1	1
27500	-81.823154639120816	-88.678642590080187	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.824740276965433	3	5	5	5	7	6	5	5	9	10	11	11	14	16	0	1	1	1	4	1	1	1	5	2	5	5	12	13	1	1	1	1	1	2	1	1	1	3	2	2	2	1
28000	-87.611010930235324	-94.466498881194696	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.708855038584942	3	5	5	4	6	7	4	7	8	10	11	12	15	17	0	1	1	1	2	2	1	2	5	2	5	2	12	13	1	1	1	1	1	1	1	1	1	2	3	2	1	1
28500	-77.323232884269231	-84.178720835228603	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.625149832390316	3	5	5	4	6	6	5	9	8	10	10	12	15	17	0	1	1	1	4	2	1	2	5	1	5	11	12	13	1	1	1	1	1	1	1	2	1	3	2	1	2	1
