step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61
5000	-430.343075643115071	-427.828883171480697	-2.514192471634384	0.000013998700535	0.000053247511126	3.803746711517362	0.616432478440777	0	2	2	4	3	5	7	5	5	6	5	7	8	8	6	9	6	10	9	9	10	9	12	11	12	12	10	14	14	12	13	14	15	13	12	14	15	15	14	14	17	14	16	15	16	17	18	18	19	20	21	18	22	23	26	29	29	29	30	33	32	0	1	1	3	2	2	2	4	3	4	4	4	5	17	5	12	4	7	12	0	22	14	0	16	11	11	13	35	25	1	35	24	26	7	27	25	0	39	27	31	29	25	29	0	25	26	26	44	0	37	36	37	48	51	54	55	55	7	56	58	59	1	1	1	1	1	1	3	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	4	1	1	2	5	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	2	3	1	1	2	4	1	2	1	1	1	1	6	1	2	1
5500	-457.079986431877785	-455.405354428199303	-1.674632003678476	0.000023298267051	0.000035735477784	1.533825571900734	0.695106678088813	0	2	4	6	3	4	5	5	7	7	6	6	7	8	7	10	7	9	10	8	9	8	12	11	12	10	13	14	13	12	13	12	14	14	14	15	16	14	15	16	17	15	13	14	17	16	16	18	21	20	20	21	22	22	26	29	28	30	31	33	32	0	1	2	7	1	2	3	5	12	11	3	3	7	17	11	22	8	4	5	0	5	17	0	15	11	11	22	30	25	22	22	26	30	23	9	25	0	16	43	39	23	25	25	0	36	38	33	40	0	37	36	50	25	51	54	55	55	10	56	58	57	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	1	2	2	2	2	1	1	2	2	1	1	1	3	2	1	2	1	1	3	2	1	1	1	1	1	2	1	2	1	1	4	1	2	2	1	8	1	2	2
6000	-393.535073528595319	-392.087873542021839	-1.447199986573463	0.000050351655452	0.000048233326883	0.957929316334392	0.771603990331719	0	2	4	4	3	5	5	6	7	6	6	6	9	9	7	10	8	9	7	8	9	9	13	10	13	11	12	13	14	12	11	15	14	14	13	15	15	14	15	16	15	17	16	16	15	18	17	17	18	18	21	20	23	24	26	29	28	31	31	32	31	0	1	2	2	1	3	4	4	4	6	3	4	20	9	4	7	7	15	6	0	20	9	0	19	11	6	16	30	25	31	15	25	26	35	27	25	0	35	35	37	29	36	36	0	38	44	36	33	0	38	36	49	50	51	54	54	54	53	57	58	56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	3	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	3	2	1	2	2	2	1	1	1
6500	-393.000607458394938	-391.253432031217415	-1.747175427177539	0.000160941662774	0.000030562063133	0.189895286317453	0.469279011487090	-1	1	3	4	3	5	6	5	7	7	6	6	7	8	8	8	8	11	10	8	10	10	12	10	14	10	13	13	15	13	13	13	14	14	10	14	15	15	16	15	17	17	15	13	15	18	17	18	20	20	21	21	22	22	26	29	29	27	29	32	33	0	1	2	1	1	3	4	2	8	7	6	5	7	10	7	11	8	17	10	0	15	13	0	9	4	10	18	13	36	21	9	22	27	27	11	18	0	30	33	26	26	15	32	0	31	34	37	23	0	44	15	49	50	12	25	40	53	53	54	58	56	1	2	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	1	1	3	1	1	3	1	1	1	3	2	1	1	1	2	3	4	1	1	1	2	1	3	1	5	6	1	1	5	6	6	3	4	5	2	2
7000	-382.945118985246950	-381.431330534099004	-1.513788451147931	0.000233333577122	0.000066593159490	0.285398956769047	0.404864604074367	0	2	3	5	2	5	6	4	6	6	6	4	9	6	7	10	8	10	9	8	10	8	12	11	13	11	12	14	15	13	14	14	14	14	14	15	15	16	15	14	15	16	14	15	17	16	18	17	20	18	20	22	22	23	26	28	28	30	29	32	32	0	1	5	5	1	3	4	5	8	4	8	5	22	5	6	7	9	22	4	0	14	9	0	2	13	11	18	13	11	24	26	25	17	25	19	9	0	34	40	18	3	6	27	0	36	33	34	41	0	37	13	39	45	8	53	36	47	7	46	57	35	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	1	1	5	2	2	1	2	5	1	2	1	3	1	2	4	1	1	1	2	5	5	1	1	1	1	2	1	1	1	6	4	2	8	2	5	5	10	7	3	10
7500	-392.807482986083983	-391.024881078398778	-1.782601907685200	0.000228699016662	0.000041340870903	0.180765407330653	0.356394777487120	0	3	4	5	4	5	6	4	7	7	6	5	8	9	7	10	6	10	10	6	10	9	12	11	13	11	12	12	14	13	13	14	14	14	13	12	14	16	15	16	16	16	15	15	16	17	17	19	21	19	21	21	22	23	25	30	29	29	30	31	31	0	1	1	1	1	2	3	1	6	6	5	1	8	17	12	9	12	2	6	0	6	6	0	5	14	4	9	9	11	36	19	13	24	14	16	7	0	18	33	33	18	2	9	0	10	18	12	16	0	37	21	19	23	8	33	14	25	47	5	56	47	1	1	2	2	2	1	1	2	1	1	1	2	2	2	1	2	1	3	4	1	2	2	1	4	2	3	3	2	3	1	1	3	2	2	1	2	1	3	1	1	2	7	3	1	4	3	6	4	1	2	6	5	6	14	5	11	6	5	11	1	6
8000	-422.380513306021328	-420.889188370709121	-1.491324935312210	0.000255955022573	0.000077008610464	0.300867745005616	0.382020125277474	0	1	3	5	3	6	6	6	7	6	5	5	8	9	7	8	8	10	7	8	10	7	11	11	14	9	13	13	14	12	12	14	13	14	13	14	14	15	14	15	16	16	15	16	16	17	17	18	21	18	22	21	22	23	25	27	28	30	29	31	33	0	1	1	1	2	12	4	5	5	5	5	2	10	12	5	5	9	17	5	0	20	12	0	20	2	12	24	26	35	18	20	16	30	26	18	11	0	34	17	24	37	2	4	0	27	17	23	44	0	37	10	37	50	45	53	8	38	46	36	57	35	1	1	2	3	1	1	1	2	1	2	1	2	2	3	2	3	1	1	2	1	1	1	1	2	6	2	1	2	1	1	2	3	1	2	2	4	1	1	3	2	1	5	5	1	1	6	2	1	1	2	7	3	2	4	2	5	8	7	6	2	8
8500	-415.224735200719635	-413.413690363223793	-1.811044837495818	0.000371016186367	0.000064561049148	0.174011408452441	0.351091406804750	-1	2	2	6	4	6	7	5	7	5	5	7	7	7	7	10	8	9	9	9	9	10	11	11	13	11	13	13	15	12	13	13	14	14	13	14	14	16	16	14	15	16	16	12	16	17	17	16	18	19	21	18	22	23	27	29	29	27	31	32	33	0	1	1	1	2	5	11	1	3	5	5	1	8	3	11	6	1	11	2	0	17	15	0	21	18	19	15	22	11	16	7	4	13	10	23	18	0	7	37	3	24	19	23	0	34	41	38	29	0	37	11	41	25	25	41	2	45	29	5	57	5	1	1	1	5	1	1	1	3	2	1	1	4	1	4	1	3	4	2	4	1	1	1	1	1	2	1	3	2	5	1	2	5	3	4	1	4	1	4	1	6	3	3	2	1	1	1	1	1	1	3	9	1	5	6	5	12	6	5	10	1	13
9000	-399.095237319355192	-397.402840390026086	-1.692396929329109	0.000273150845570	0.000056239226788	0.205890729243528	0.408270087074366	-1	2	4	5	3	5	5	5	7	7	6	6	8	8	8	10	6	9	9	8	8	9	12	11	13	10	12	13	14	12	14	13	15	15	12	15	15	15	15	14	17	15	14	15	14	18	16	19	21	17	21	22	23	24	24	27	29	28	30	32	32	0	1	5	3	1	5	5	2	4	3	4	8	11	12	8	5	3	8	6	0	4	8	0	22	11	4	26	15	11	21	17	7	40	21	9	26	0	27	35	14	44	10	9	0	7	34	40	29	0	37	27	46	14	8	53	29	58	43	47	59	34	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	4	1	2	2	1	1	1	1	1	4	2	1	2	3	2	3	4	1	4	3	2	1	1	1	2	1	4	4	1	6	2	2	3	1	1	4	2	8	10	1	5	1	10	7	1	7
9500	-370.496796435624503	-368.668900898425818	-1.827895537198678	0.000369181117161	0.000062844243867	0.170226051511508	0.481096114140301	-1	2	4	5	3	6	6	6	6	6	6	3	8	8	7	8	4	10	10	8	10	10	12	10	13	12	12	13	15	13	14	12	15	14	13	13	15	15	15	14	16	17	16	15	15	15	16	17	20	19	20	21	23	22	27	28	29	30	30	33	33	0	1	2	17	2	5	3	17	17	5	4	1	1	11	12	9	2	14	9	0	9	12	0	9	13	24	24	2	26	24	6	19	36	23	26	14	0	16	23	35	30	26	45	0	24	25	18	38	0	37	26	41	52	46	23	6	51	53	22	55	22	1	2	1	1	1	2	1	1	1	1	1	2	3	1	2	1	1	1	2	1	2	3	1	3	2	1	1	6	2	2	3	1	1	1	1	2	1	3	1	1	2	2	1	1	3	1	4	1	1	2	4	2	1	3	6	11	5	3	12	2	11
10000	-361.017213588521201	-359.427800501301476	-1.589413087219740	0.000219042034022	0.000053602284724	0.244712321831213	0.443869353121339	-1	2	3	6	2	6	6	5	6	5	6	4	8	8	7	9	6	10	9	8	9	10	11	10	13	11	12	13	15	12	13	14	13	14	14	15	16	16	15	15	17	15	16	16	17	16	18	17	20	19	21	20	21	23	26	28	28	29	31	32	32	0	1	2	1	1	12	1	2	1	12	10	2	9	2	7	13	8	17	5	0	12	13	0	21	11	4	22	24	33	16	19	20	21	25	18	16	0	36	35	28	40	28	33	0	27	28	38	22	0	37	33	38	28	45	53	45	55	41	33	57	36	1	1	1	3	1	1	3	1	4	1	1	1	1	3	1	1	1	2	3	1	3	1	1	1	3	3	1	2	1	2	3	2	2	1	2	4	1	1	1	1	1	1	1	1	4	1	1	3	1	2	3	2	3	3	1	6	1	4	9	2	6
10500	-406.806123145461129	-405.230702390880424	-1.575420754580731	0.000259868546048	0.000065286192139	0.251227757771095	0.414546785256535	0	3	3	4	3	5	7	4	7	6	7	6	8	8	8	8	8	10	8	8	9	9	11	10	13	12	11	12	12	13	13	14	15	14	13	13	14	15	16	15	17	16	15	15	15	18	17	19	20	19	21	20	22	23	25	30	28	29	31	32	31	0	1	1	3	1	1	2	1	3	4	6	5	11	12	6	2	11	11	12	0	12	10	0	15	4	2	18	24	3	17	21	22	31	20	11	7	0	16	33	30	38	6	36	0	6	33	42	32	0	37	30	47	41	8	52	51	55	46	9	34	33	1	2	3	1	2	3	2	3	2	1	1	3	1	1	2	2	1	2	1	1	2	2	1	1	6	4	1	1	4	2	3	2	1	3	3	2	1	4	1	1	1	5	1	1	5	2	1	3	1	4	3	1	3	9	2	5	2	7	10	9	6
11000	-382.799281286119196	-381.064795717640436	-1.734485568478772	0.000255004174608	0.000049313281067	0.193382250084652	0.517452252686971	-1	3	3	5	1	6	6	4	6	7	6	6	9	9	6	9	6	11	9	7	10	8	12	9	12	12	13	12	14	12	14	15	14	13	13	13	15	14	15	15	16	16	15	14	14	18	16	17	18	19	21	20	23	22	26	29	29	30	30	30	32	0	1	1	3	1	8	2	1	2	4	5	5	12	5	5	9	3	14	10	0	16	15	0	20	6	9	18	21	13	12	34	17	19	19	4	14	0	23	36	15	38	34	36	0	13	48	12	40	0	44	29	46	46	25	49	43	52	53	26	32	43	1	2	2	1	1	1	1	2	1	1	3	2	1	3	3	1	2	1	1	1	1	1	1	1	3	3	1	1	3	3	1	4	3	2	5	1	1	1	2	5	1	2	1	1	2	1	4	1	1	1	3	1	3	4	4	6	4	4	8	5	6
11500	-497.527226064172908	-496.052729807966102	-1.474496256206804	0.000201616518685	0.000063299690747	0.313960835944366	0.311022029876525	-1	2	4	5	2	6	6	6	7	6	7	5	9	8	7	9	7	11	9	8	9	8	12	11	13	11	12	14	14	12	13	14	13	13	12	15	15	15	16	16	17	16	15	15	15	18	16	17	17	20	21	21	22	23	26	28	28	31	30	32	33	0	1	5	3	1	3	3	5	12	3	4	5	4	5	3	8	5	4	4	0	17	3	0	14	6	6	11	11	13	20	26	23	19	5	16	21	0	18	19	26	23	6	24	0	32	29	13	29	0	49	11	46	37	5	54	26	52	10	26	47	3	1	2	1	1	1	1	1	2	1	1	1	2	1	2	2	1	3	3	3	1	2	2	1	1	5	2	2	3	2	1	1	1	2	5	2	2	1	2	4	2	2	5	2	1	1	2	4	2	1	1	8	1	3	9	1	4	4	9	9	12	17
12000	-403.782378240777234	-402.223340485853214	-1.559037754924042	0.000326189783994	0.000084602541008	0.259366004575934	0.452914010593228	0	2	3	6	3	6	6	4	5	6	5	7	9	9	8	10	8	9	8	9	10	8	11	11	13	12	12	12	13	13	12	14	14	15	14	14	15	15	15	15	17	16	15	15	15	16	16	19	21	18	21	22	23	23	26	28	29	31	31	31	32	0	1	2	5	1	3	3	1	5	8	3	3	12	2	11	18	12	17	11	0	4	8	0	13	16	11	16	18	11	24	15	15	30	16	25	28	0	30	33	33	42	36	14	0	27	37	32	41	0	37	42	50	48	42	51	28	37	24	45	9	4	1	1	1	1	1	2	1	3	2	1	1	2	1	3	2	1	1	1	3	1	2	1	1	1	2	3	1	2	4	1	2	2	1	2	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	2	2	2	1	3	3	7	8	6	7	6	11
12500	-396.066711418811508	-394.507894691312856	-1.558816727498642	0.000253846209269	0.000065867982764	0.259479875445765	0.385404193147070	-2	2	3	5	4	5	7	5	6	6	7	6	7	8	8	10	6	9	10	8	10	9	13	10	13	11	12	13	14	11	11	14	14	15	13	13	15	15	15	14	13	17	15	15	17	17	17	18	21	19	21	21	20	23	25	29	28	30	32	33	33	0	1	1	1	3	2	4	1	3	5	4	5	4	11	17	8	2	14	6	0	20	4	0	11	11	11	21	13	26	9	20	28	27	36	13	17	0	24	25	27	16	35	29	0	22	24	32	29	0	37	42	18	26	25	43	42	48	32	4	52	11	1	2	2	4	1	1	1	5	2	1	1	1	2	1	1	2	2	1	2	1	1	3	1	2	3	2	1	2	2	3	1	1	1	1	3	3	1	3	2	1	1	2	1	1	4	3	2	2	1	1	2	6	3	6	5	5	4	10	14	7	10
13000	-414.795321346560911	-413.190230169751658	-1.605091176809254	0.000322884189550	0.000076793328194	0.237835517127354	0.365961485072753	-1	2	3	5	1	5	7	5	7	6	6	6	9	8	6	8	8	11	8	7	10	10	12	10	13	12	11	12	14	12	12	15	15	13	13	14	16	15	15	14	16	15	15	14	16	17	17	18	20	19	21	21	21	22	25	29	27	29	31	30	34	0	1	1	1	1	5	4	1	4	6	2	1	12	5	6	10	3	3	11	0	16	11	0	14	13	3	19	21	6	22	24	26	34	20	26	22	0	35	27	26	40	11	34	0	25	42	43	34	0	41	26	34	18	25	49	40	54	47	36	34	29	1	1	2	3	1	2	1	4	1	1	3	3	2	3	1	1	3	4	1	1	1	2	1	1	2	3	2	1	2	1	1	1	1	2	1	2	1	1	2	1	1	4	1	1	1	1	1	2	1	2	5	4	4	5	3	8	2	6	8	9	8
