step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
12000	-188.553508509684349	-186.792740522491016	-1.760767987193342	0.000178428353755	0.000033239626541	0.186291168648375	0.352577064470819	2	6	10	12	10	15	16	21	19	19	20	22	19	22	23	23	24	25	26	28	31	33	0	0	1	3	0	4	3	4	7	4	7	5	5	3	13	9	14	3	17	3	11	18	1	1	3	1	1	2	3	4	2	5	1	8	4	6	1	2	1	7	1	9	6	4
12500	-200.309849011876281	-198.756435800629106	-1.553413211247189	0.000130694125520	0.000034281013314	0.262299572975670	0.291543735477252	2	7	11	12	12	15	15	22	20	19	20	20	21	24	22	23	24	26	25	28	31	33	0	0	1	3	0	4	3	4	7	6	3	5	5	3	12	9	8	6	11	9	7	9	1	1	5	1	1	2	2	6	4	2	5	4	4	6	2	2	1	6	2	4	7	8
13000	-193.697110587908639	-192.014117360825907	-1.682993227082737	0.000230709393384	0.000048196566214	0.208905955266457	0.245210652252149	3	8	9	13	11	14	17	21	20	22	19	22	20	23	23	23	24	24	27	27	31	34	0	0	1	3	0	4	3	6	11	4	4	5	5	6	12	9	8	14	17	14	11	16	1	1	2	2	1	1	5	3	1	3	3	4	6	6	1	2	1	1	1	2	5	4
13500	-169.904806492745877	-168.349611940865543	-1.555194551880339	0.000166738974161	0.000043579285843	0.261362324327098	0.407454250851707	3	8	10	13	12	14	16	22	19	21	20	21	21	23	24	23	24	27	26	27	30	32	0	0	1	3	0	3	3	10	7	6	7	5	5	11	13	11	8	10	17	11	20	7	1	1	3	2	1	2	3	1	2	4	3	5	4	2	1	1	1	3	1	4	2	9
14000	-185.245732042777206	-183.636905793201720	-1.608826249575487	0.000137601887135	0.000032509558486	0.236258086010760	0.380530084731637	3	6	9	13	12	14	16	21	18	20	19	22	20	23	23	22	23	25	26	28	32	33	0	0	1	3	0	4	3	10	7	6	7	5	5	11	13	9	8	10	17	7	20	3	1	1	2	2	1	1	4	1	1	4	2	7	3	3	1	2	1	4	2	8	2	10
14500	-183.263886362142102	-181.635074227391442	-1.628812134750647	0.000177030406835	0.000040394971493	0.228180978710672	0.463400960153296	2	7	9	13	12	12	15	22	20	20	19	22	21	24	23	23	24	25	26	27	31	33	0	0	1	3	0	3	4	10	11	4	7	5	5	10	12	7	8	4	17	10	11	20	1	1	2	3	1	1	1	1	1	3	2	5	5	1	1	3	1	6	1	5	5	3
15000	-182.802863390533730	-181.252447062059190	-1.550416328474533	0.000096717506023	0.000025523157785	0.263893878515570	0.453861800890995	3	7	10	12	9	14	17	21	19	20	20	23	22	22	23	23	23	25	25	26	32	33	0	0	1	3	0	4	3	4	7	3	7	13	5	11	13	9	8	8	17	11	14	14	1	1	2	1	1	2	3	5	1	5	2	1	7	1	1	2	1	2	1	3	6	4
15500	-161.359084905044597	-159.547100864229265	-1.811984040815324	0.000120101565549	0.000020873215379	0.173796363799996	0.428093491195039	2	8	10	13	12	14	17	21	19	22	21	22	21	23	24	23	24	26	26	27	31	30	0	0	1	3	0	3	3	4	7	3	7	13	5	11	13	9	8	10	17	14	14	14	1	1	4	2	1	2	3	3	1	6	2	1	3	2	2	2	2	2	1	2	3	4
16000	-183.232408505096515	-181.357177486813555	-1.875231018282951	0.000123260674324	0.000019765351824	0.160354078320094	0.484521083630879	2	6	10	12	10	13	15	20	17	21	20	23	19	24	21	24	23	27	25	26	31	34	0	0	1	3	0	4	4	3	7	6	7	15	5	10	13	9	10	8	17	11	14	14	1	1	4	1	1	1	2	6	1	5	2	1	5	2	1	4	1	3	1	3	2	5
16500	-168.816341173129587	-167.099610684855378	-1.716730488274195	0.000129623590169	0.000025726823135	0.198473311083241	0.386436377821560	1	8	11	13	11	15	16	22	18	20	20	23	20	23	22	23	24	27	27	26	30	33	0	0	1	3	0	4	3	3	7	6	7	15	2	8	13	9	8	10	17	11	8	11	1	1	4	1	1	1	2	5	1	2	3	1	6	1	1	3	1	3	2	2	4	6
