step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37
10000	-200.361734829267164	-198.689296104089919	-1.672438725177249	0.000105387216341	0.000022383925932	0.212396974790416	0.691049070632389	-1	1	1	3	4	4	5	5	4	6	3	6	4	6	6	5	6	6	6	4	7	7	7	8	8	8	11	10	10	10	14	12	13	14	12	13	16	0	1	0	2	11	3	4	11	4	16	3	6	11	11	5	2	20	5	7	11	14	11	13	15	19	14	8	23	24	14	35	24	35	28	19	15	33	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1	3	2	1	2	2	2	1	2	3	3	2
10500	-201.671888961188444	-199.698007610395223	-1.973881350793216	0.000126657187579	0.000018081104741	0.142756246892114	0.813589518084890	-1	2	2	3	5	5	4	5	4	5	4	5	5	6	5	5	7	8	7	6	8	8	8	7	9	7	10	11	9	10	14	12	13	14	12	14	15	0	1	0	1	11	3	2	3	1	9	3	11	11	12	11	2	12	20	10	12	5	15	13	14	19	20	8	23	24	29	33	17	35	28	25	18	31	1	2	1	2	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	1	2	1	4	1
11000	-174.400400021041833	-172.652419664581004	-1.747980356460842	0.000104484998975	0.000019818522703	0.189678163343973	0.795659888741076	0	2	1	3	4	4	6	5	4	5	5	3	5	6	6	7	6	7	7	6	8	7	7	8	9	8	10	10	10	8	15	10	13	15	14	14	16	0	1	0	2	12	3	9	3	2	4	12	3	12	8	5	10	12	11	10	5	15	11	13	15	19	11	22	23	24	11	33	24	25	28	33	27	33	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1
11500	-209.300906138918890	-207.308195329385285	-1.992710809533597	0.000114240423663	0.000015968102169	0.139776286335145	0.708698883843074	0	2	1	4	4	4	4	4	4	5	3	5	4	7	7	6	7	8	7	5	8	7	8	7	10	7	10	10	10	11	15	13	12	14	14	15	15	0	1	0	2	11	3	2	3	2	7	3	5	11	20	12	7	11	12	7	11	20	13	15	20	19	20	14	23	5	24	33	29	25	28	33	29	35	1	1	1	1	1	2	2	2	2	1	1	1	1	2	1	2	2	1	2	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	1	3	1
12000	-192.939560752796694	-191.222593627192197	-1.716967125604507	0.000106074053690	0.000021045489983	0.198403749561063	0.724011523690958	0	2	2	4	5	5	6	4	5	5	4	5	5	6	7	7	7	7	7	5	7	7	8	8	9	8	12	10	10	11	14	12	13	15	14	15	15	0	1	0	2	11	3	4	3	2	4	3	11	8	6	12	10	8	12	10	11	12	20	8	20	19	11	13	17	23	17	33	24	25	28	33	27	33	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	2	2	2	1	2	2	2	1	2	2
12500	-181.205880654968666	-179.599893090201846	-1.605987564766814	0.000119235993309	0.000028313169990	0.237454892641689	0.850678225507684	-1	2	2	3	5	4	5	5	3	4	3	5	4	5	7	6	7	7	7	5	7	7	6	8	9	8	8	10	7	9	13	12	12	12	14	14	15	0	1	0	2	11	3	4	3	1	1	3	11	11	11	5	10	12	5	10	11	14	20	13	29	19	22	20	23	5	29	33	29	25	28	33	27	31	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1
13000	-195.912300545851451	-194.423541972055631	-1.488758573795821	0.000080513751989	0.000024377342296	0.302772404632248	0.710894880914322	0	2	1	4	3	3	6	4	2	4	4	5	5	6	6	6	7	7	6	6	8	7	7	7	8	8	11	10	10	10	13	11	11	15	13	15	16	0	1	0	9	3	3	4	3	1	9	3	5	6	12	12	10	12	12	10	12	14	14	11	12	19	20	22	23	5	24	33	24	25	28	33	32	31	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	2	3	1	2	2	2	4	1	2	2
13500	-217.785158926397941	-216.251506569175660	-1.533652357222288	0.000071554788750	0.000019551918316	0.273244022624286	0.602260440832363	-1	2	2	2	5	4	4	6	1	6	3	4	5	6	7	6	6	6	4	6	8	8	7	7	7	7	11	10	9	10	14	12	13	14	14	14	15	0	9	0	1	11	11	4	6	1	19	3	11	11	11	20	7	11	12	2	12	18	12	18	14	19	5	30	18	24	18	33	24	25	28	33	30	33	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	1	2	2	1	1	2	1	1	2	1	2	1	2	3	2	1	3	1
14000	-187.372205961124081	-185.754506020412407	-1.617699940711685	0.000111830350276	0.000026011558648	0.232598383028964	0.875341271217542	0	2	2	3	4	5	6	6	4	4	3	5	5	7	6	7	7	7	6	7	8	8	8	7	9	8	10	10	8	7	15	11	12	14	14	14	13	0	1	0	2	11	3	9	6	2	4	3	5	5	15	5	10	12	15	10	12	14	15	13	6	19	15	14	23	24	5	37	27	25	28	33	23	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	2	1	3	1
14500	-232.263078204243783	-229.851234678365785	-2.411843525878006	0.000181279364149	0.000016865075671	0.093033621065154	0.671773037424105	-1	3	1	3	5	3	6	4	4	5	2	6	5	7	6	5	7	8	6	6	5	8	6	6	9	7	11	8	8	9	14	10	12	13	14	14	16	0	1	0	1	11	3	4	6	1	4	3	5	11	20	21	2	5	12	2	5	11	12	13	5	7	20	24	23	6	14	33	5	25	22	33	30	33	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	1	2	2	4	3
