step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69
5000	-587.703052936726863	-586.180421227559350	-1.522631709167506	0.000015107125488	0.000017526934763	1.160176684652460	0.604940474109993	1	2	4	3	5	6	6	5	8	7	9	11	10	8	10	10	9	12	13	12	16	14	13	15	16	15	18	14	16	17	19	19	20	20	21	23	20	24	24	21	24	26	28	28	29	29	29	29	26	29	30	32	30	30	33	32	34	33	32	33	34	34	34	36	37	38	41	43	51	0	1	4	2	1	3	5	2	5	5	7	5	8	0	14	17	10	17	16	13	26	18	11	19	19	19	22	23	26	21	30	19	31	31	33	34	31	0	35	37	30	41	37	49	42	44	42	42	41	49	45	46	45	50	46	51	48	45	54	46	46	59	0	62	61	65	64	67	38	1	1	1	1	2	1	1	2	2	1	2	3	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	3	1	1	1	2	1	1	2	1	3	1	4	1	2	1	2	2	1	1	1	2	1	1	2	1	2	2	1	2	2	1	1	1	1	1	3	1	11
5500	-537.035069313311283	-535.659814434754935	-1.375254878556375	0.000025284588085	0.000011651036915	0.460795994600998	0.656347164955982	0	2	4	3	5	5	8	4	8	8	9	10	10	9	10	9	10	12	13	13	15	14	14	13	16	14	18	16	16	17	19	20	20	21	22	22	21	24	23	23	25	27	28	28	29	28	29	30	27	29	29	33	30	31	32	33	32	33	33	32	35	35	34	37	36	38	41	43	51	0	1	4	2	1	3	5	2	5	5	7	9	8	0	14	10	16	16	16	13	26	18	7	17	19	18	22	23	26	21	29	25	31	27	33	34	21	0	35	37	37	41	40	49	42	41	41	42	41	49	42	46	42	50	41	51	45	53	54	46	52	59	0	62	52	65	64	67	38	1	1	1	1	2	1	2	1	2	2	1	1	3	1	1	1	1	2	2	1	1	1	3	1	1	1	3	1	1	1	3	2	1	2	1	1	2	1	1	1	2	1	4	1	2	2	2	2	1	1	1	3	2	1	2	2	2	1	1	1	1	1	1	1	1	1	3	1	10
6000	-476.841458334616220	-475.378085555660221	-1.463372778955987	0.000069279983914	0.000022411677127	0.323494259975852	0.609338054752698	1	2	4	3	5	5	8	6	9	8	10	10	11	9	10	8	10	13	13	13	15	14	13	16	15	17	17	16	16	18	19	20	20	21	22	22	21	23	24	24	24	26	29	26	29	30	29	29	28	29	31	33	30	31	32	32	33	34	32	33	35	34	34	36	36	38	42	43	51	0	1	4	2	1	3	5	2	1	5	7	9	8	0	14	5	10	17	10	13	18	18	11	18	17	21	21	23	21	21	22	19	31	31	33	31	31	0	35	37	37	41	37	41	42	41	42	42	44	49	42	55	42	50	46	51	51	45	54	46	46	50	0	62	46	65	64	67	38	1	1	1	1	2	1	2	2	4	1	1	1	2	1	1	2	1	2	3	1	1	1	1	2	2	1	1	2	1	2	3	3	1	2	1	1	1	1	2	1	1	1	3	1	3	3	2	2	1	1	2	1	3	1	1	1	1	1	1	2	2	2	1	1	3	1	3	1	10
6500	-488.427366308361172	-486.836272591984027	-1.591093716377152	0.000157484718527	0.000038419115053	0.243954558972145	0.598091467526146	0	2	4	3	5	5	8	7	6	9	9	11	10	9	10	9	10	13	14	12	15	15	15	15	17	16	16	12	17	19	19	20	20	21	22	23	21	24	23	23	25	27	30	27	29	27	29	31	27	29	30	33	30	31	33	32	34	34	33	32	35	34	35	36	37	38	41	43	50	0	1	4	2	1	4	1	2	1	9	7	7	8	0	14	5	10	7	17	8	18	19	11	10	16	21	21	12	18	21	21	29	21	21	29	34	30	0	34	37	37	41	40	41	42	41	42	45	40	44	42	46	45	50	49	51	51	51	54	43	55	54	0	62	55	65	62	67	25	1	1	1	1	2	1	3	2	3	1	1	2	1	1	1	2	1	2	2	2	1	1	3	4	4	1	1	1	2	3	2	1	2	3	2	1	1	1	1	1	2	1	4	1	1	1	1	2	2	1	1	2	1	1	3	1	2	2	1	1	1	2	1	1	2	1	3	1	10
7000	-520.340076991715137	-518.792934958679552	-1.547142033035578	0.000150353760590	0.000039943199239	0.265661457899976	0.522194993217280	1	2	5	3	5	4	8	7	9	9	10	10	11	8	9	9	10	12	13	13	16	14	14	15	16	16	17	16	17	19	20	19	21	22	21	22	22	24	24	24	26	25	30	29	29	29	26	32	27	30	30	30	30	30	32	30	33	34	32	32	35	34	34	35	36	38	40	42	52	0	1	6	2	1	4	5	2	1	5	7	7	8	0	14	5	10	16	18	8	22	18	11	19	19	9	18	23	21	26	21	25	31	30	29	26	31	0	32	30	42	37	31	30	47	41	42	53	40	49	41	46	45	49	52	41	49	57	50	56	55	55	0	62	43	65	64	67	38	1	1	1	1	2	1	2	2	3	2	1	1	2	1	1	3	1	2	1	2	1	1	2	1	2	2	2	1	1	2	2	2	1	1	2	4	1	1	2	2	1	2	3	3	2	2	1	1	2	2	2	1	1	1	1	2	3	1	1	1	1	2	1	1	2	1	3	1	9
7500	-558.928868122569725	-557.387762340193035	-1.541105782376720	0.000176003092796	0.000047343596851	0.268992982446474	0.421223739897007	1	2	5	3	6	4	6	5	9	9	8	11	11	9	10	9	10	13	11	13	13	14	14	14	15	16	18	15	16	17	20	21	21	22	22	21	22	23	22	25	24	27	28	29	29	29	30	31	28	28	30	32	30	30	33	31	33	33	32	31	35	33	35	37	36	35	40	42	51	0	1	6	2	1	4	1	2	1	1	1	11	8	0	14	7	1	7	5	2	9	11	17	5	5	22	21	20	22	16	29	12	29	33	29	24	30	0	19	35	27	40	40	49	42	42	32	45	40	35	49	45	45	49	46	39	45	51	41	46	51	54	0	62	52	52	59	67	20	1	1	1	1	3	1	2	2	4	5	3	2	3	1	1	2	4	3	2	5	2	3	2	5	7	1	2	1	1	3	2	6	2	1	3	3	3	1	4	1	4	2	1	1	1	1	4	1	1	3	1	3	1	1	3	5	2	3	4	1	3	2	1	2	1	1	4	1	13
8000	-556.959252146448534	-555.345856253740408	-1.613395892708070	0.000184330224199	0.000043199318275	0.234358301589942	0.443626183446934	1	2	5	3	4	4	8	6	7	8	7	9	11	9	10	9	11	12	14	13	15	13	14	14	17	15	18	14	16	18	20	21	20	20	23	22	22	23	22	24	25	25	28	28	29	29	28	32	29	29	30	32	30	31	32	32	31	34	33	33	34	34	34	36	36	38	41	42	51	0	1	6	2	1	4	1	2	5	5	1	11	8	0	14	9	16	11	17	2	11	16	7	17	10	22	22	20	22	26	30	29	27	29	27	34	31	0	31	37	31	25	35	40	41	41	37	45	37	41	39	44	47	50	44	49	47	56	52	46	41	52	0	61	37	48	62	64	38	1	1	1	1	1	1	4	2	2	2	2	1	2	1	1	1	1	2	2	5	3	2	3	1	5	1	3	1	2	1	1	3	1	2	3	1	1	1	1	1	3	5	3	2	3	2	2	2	3	2	3	2	1	1	3	1	1	1	1	2	6	1	1	2	7	4	2	2	14
8500	-544.864231227686787	-543.171664143117255	-1.692567084569535	0.000204124323871	0.000042016331638	0.205836966616532	0.445425973813952	1	2	5	3	5	4	9	4	8	8	9	10	11	8	9	10	10	12	13	13	14	14	14	14	16	15	17	15	16	18	18	20	21	20	21	23	19	24	23	24	24	27	29	26	30	30	29	31	28	29	30	33	31	31	33	32	33	33	33	32	34	35	34	35	36	38	42	41	52	0	1	6	2	1	4	1	2	4	1	1	10	8	0	14	5	9	10	9	11	11	18	9	17	23	22	22	5	18	26	26	5	26	18	27	27	7	0	30	22	31	39	42	21	49	47	40	45	33	40	33	46	41	47	46	49	45	45	51	53	55	59	0	47	34	53	68	64	44	1	1	1	1	2	1	4	1	2	3	4	2	3	1	1	3	1	2	2	2	3	1	4	2	1	1	2	6	3	2	2	7	3	4	2	3	6	1	3	5	4	2	1	7	1	1	3	1	4	4	5	1	3	1	2	2	1	2	1	1	1	1	1	2	9	5	1	2	14
9000	-553.043690361140193	-551.270775554082661	-1.772914807057513	0.000198821044536	0.000036419730270	0.183178447506251	0.343695841061481	1	2	4	3	4	5	8	4	7	8	8	11	11	9	10	9	11	13	13	14	16	14	14	13	16	15	16	16	16	19	19	21	20	21	22	22	21	23	23	25	26	26	28	27	30	28	29	32	29	30	29	33	29	31	32	32	33	33	32	33	34	33	34	36	36	38	41	41	51	0	1	4	2	1	3	1	2	1	1	1	16	11	0	14	5	7	11	17	7	26	19	24	16	16	18	26	23	26	26	25	29	29	21	17	9	29	0	31	33	18	30	44	30	34	34	35	53	40	49	40	51	44	40	51	49	46	53	49	46	46	45	0	62	45	61	62	62	25	1	1	1	1	2	1	3	1	2	3	3	2	2	1	1	3	1	3	1	3	1	1	1	3	5	1	1	2	1	3	2	1	1	3	5	7	3	1	2	2	7	4	1	3	4	3	3	2	2	1	2	1	1	3	2	2	2	2	1	3	2	2	1	2	4	2	4	4	16
9500	-543.082861593215739	-541.547053225478862	-1.535808367736870	0.000181840674960	0.000049460334793	0.271998191843763	0.458877016415719	0	2	5	3	5	4	9	7	7	9	10	10	10	9	10	9	11	14	14	14	13	15	13	16	16	17	17	15	17	18	18	21	20	22	20	23	21	24	23	24	25	26	30	28	28	28	29	32	27	30	30	33	30	30	32	32	33	33	33	32	33	34	34	34	36	38	41	42	52	0	1	6	2	1	4	1	2	1	9	9	1	2	0	14	9	7	12	12	2	12	21	9	19	19	21	21	9	21	22	19	19	30	24	30	31	33	0	26	29	40	41	33	22	40	49	45	53	39	45	42	46	49	49	46	51	44	48	42	43	49	54	0	55	61	52	64	64	20	1	1	1	1	4	1	4	2	2	1	1	3	3	1	1	1	1	3	2	6	2	1	3	2	2	2	2	4	3	1	2	3	2	4	1	3	1	1	3	2	1	1	5	6	3	1	1	1	2	1	2	2	1	1	3	1	2	1	4	2	3	3	1	1	2	3	3	6	15
10000	-554.405247248675437	-552.797688389015775	-1.607558859659657	0.000204776266163	0.000048489141472	0.236790827278453	0.457924784491794	0	2	5	3	5	4	6	6	8	8	10	10	12	9	10	8	11	13	12	12	15	12	13	15	17	16	17	15	15	19	19	19	19	21	21	23	21	23	23	23	26	26	29	29	30	28	29	31	28	30	31	32	30	30	32	31	33	34	31	33	35	34	33	36	37	38	41	42	52	0	1	6	2	1	4	1	2	1	5	1	5	8	0	14	5	16	11	16	2	19	9	17	18	18	17	18	10	17	21	29	5	25	33	29	35	30	0	17	18	36	27	41	41	41	41	41	44	32	42	39	46	49	41	46	47	48	41	50	50	42	54	0	62	56	58	64	51	40	1	1	1	1	2	1	3	1	4	2	5	3	3	1	1	1	2	2	2	4	1	2	1	1	2	3	2	2	2	2	3	6	1	1	2	1	1	1	5	5	1	4	2	1	3	1	2	1	4	2	4	2	1	2	2	1	1	4	1	1	4	2	1	1	2	2	2	5	11
10500	-563.911600303494311	-562.330846898327195	-1.580753405167133	0.000169170013067	0.000042072582705	0.248700002692105	0.392714239448024	1	2	5	3	6	4	8	6	9	8	9	10	11	8	9	10	8	13	13	14	14	15	14	16	17	17	16	16	15	19	19	21	21	22	22	23	20	22	24	25	25	25	28	27	30	29	29	32	27	28	30	32	30	30	31	33	34	34	33	29	34	34	33	35	36	38	41	42	51	0	1	6	2	1	4	1	2	1	5	10	7	8	0	14	9	5	9	10	13	18	18	9	16	10	18	21	9	19	22	29	24	31	22	31	26	21	0	30	29	31	34	41	30	22	41	42	60	41	49	39	44	40	40	46	40	42	55	51	41	46	59	0	62	51	51	64	62	45	1	1	1	1	2	1	3	3	3	1	1	1	2	1	1	1	2	2	2	2	1	1	3	3	5	3	1	3	1	2	3	2	1	3	2	2	4	1	2	5	3	1	2	4	6	1	2	2	1	1	3	2	2	2	1	3	4	1	1	2	2	1	1	1	4	3	2	3	5
11000	-566.663403421658927	-565.129257595514105	-1.534145826144841	0.000235476317562	0.000064275071695	0.272957690013665	0.331319468315761	1	2	5	4	5	6	6	7	7	8	8	10	11	9	10	9	11	14	12	13	15	12	13	14	16	16	18	15	17	19	19	20	20	21	22	22	21	24	23	23	24	26	28	28	30	28	30	30	29	29	30	32	31	31	33	32	33	34	33	32	33	34	34	37	36	37	41	42	52	0	1	4	2	1	3	1	2	1	7	1	1	8	0	14	7	1	12	16	4	19	16	11	12	19	22	26	5	18	19	26	29	22	5	26	32	32	0	31	32	39	41	27	26	42	42	50	42	43	37	39	46	41	48	54	41	42	51	25	51	30	54	0	45	43	46	61	62	59	1	1	1	1	2	1	2	3	3	2	3	3	4	1	1	2	5	3	1	4	2	2	3	2	2	2	1	4	1	3	2	2	3	8	2	1	1	1	3	1	1	1	5	5	2	1	1	2	1	4	3	2	4	1	1	4	3	2	9	1	7	2	1	3	4	5	4	5	7
