step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12
15000	-46.405317831761508	-44.577954197039915	-1.827363634721596	0.000173493672398	0.000029553472089	0.170343227396219	0.944287528262371	0	3	6	5	4	6	9	7	9	8	7	9	0	1	5	2	1	5	8	4	8	4	4	10	1	1	1	1	1	1	1	1	1	1	1	1
15500	-44.324265093838626	-42.946322220843058	-1.377942872995569	0.000065064918754	0.000029419187166	0.452151293345965	0.791992744531956	0	2	6	4	5	8	8	7	9	8	8	12	0	1	4	2	2	3	3	5	8	5	4	9	1	1	1	1	2	1	1	1	1	1	2	1
16000	-50.126493895888643	-48.506972940001539	-1.619520955887103	0.000053817165247	0.000012478164626	0.231862168303002	0.828207161950648	-1	2	4	6	5	7	9	7	9	9	8	9	0	1	2	3	2	3	8	5	4	4	6	4	1	1	1	1	2	1	1	1	1	1	1	1
16500	-48.447165287649923	-47.052785842956524	-1.394379444693401	0.000131307370139	0.000054122922625	0.412184956321677	0.929343920553821	0	3	6	5	6	7	8	8	9	8	7	12	0	1	4	1	2	4	5	3	10	11	3	10	1	2	1	2	1	1	1	1	1	1	1	2
17000	-56.666790369890556	-55.268291383054780	-1.398498986835775	0.000099491970373	0.000040225027925	0.404304264696478	0.903937920953588	0	3	7	5	5	4	9	6	9	9	8	10	0	1	5	6	2	2	8	6	6	11	6	8	1	1	1	1	1	1	1	1	2	1	2	1
17500	-39.509575883722192	-38.128971535624288	-1.380604348097904	0.000076547385386	0.000055923379920	0.730572045506638	0.985583372704420	-1	2	6	4	5	7	9	7	10	10	8	12	0	1	4	2	2	3	8	3	6	8	3	10	1	1	1	1	1	1	1	1	1	1	1	1
18000	-39.691240442602819	-36.304862663239739	-3.386377779363077	0.000091078155449	0.000004192522535	0.046032141451133	0.861664751497106	0	3	7	5	5	7	8	7	10	9	7	11	0	1	4	2	2	5	4	4	10	8	5	10	1	1	1	1	1	1	2	1	1	1	1	1
18500	-52.226119982344208	-49.646445207142406	-2.579674775201799	0.000109513119635	0.000008863203526	0.080932801071896	0.919746387430883	-1	3	7	5	5	6	7	7	9	10	8	9	0	1	5	2	2	2	4	4	3	9	5	7	1	2	2	1	1	1	1	1	1	1	2	1
19000	-40.107614843487553	-38.354606548438191	-1.753008295049360	0.000092311211987	0.000017385207352	0.188332565219005	0.940539181750649	-1	3	7	5	5	8	8	7	9	9	7	12	0	1	4	2	2	4	5	5	6	8	5	6	1	1	1	1	1	1	1	1	1	1	1	1
19500	-47.104600645734969	-45.680439755787575	-1.424160889947396	0.000060184332748	0.000021978170434	0.365180927174676	0.865313873852823	0	3	7	5	5	8	8	6	10	6	8	12	0	1	8	2	2	5	10	5	6	4	10	7	1	2	1	1	1	1	1	1	1	1	1	2
20000	-39.005976160890626	-37.569246340564838	-1.436729820325786	0.000061036117071	0.000021369272867	0.350108655210158	0.945806466089358	-1	3	6	6	5	7	7	7	9	10	8	12	0	1	5	5	2	3	3	5	8	11	7	10	1	1	1	1	1	1	1	1	1	1	1	1
20500	-47.061522787937399	-44.933607225047773	-2.127915562889629	0.000093379741862	0.000011312471126	0.121144810433259	0.598779689285749	0	2	7	4	5	7	9	7	10	9	8	13	0	1	5	2	4	5	11	5	3	6	2	9	1	1	1	1	1	1	1	1	1	1	3	1
21000	-43.876851087431291	-42.475692471199615	-1.401158616231672	0.000066590729149	0.000026604272641	0.399519167018141	0.821227700046085	0	2	7	4	6	7	6	7	9	9	8	11	0	1	5	2	4	4	4	7	3	8	7	6	1	1	1	1	1	1	1	1	1	1	1	2
21500	-40.063094800239817	-38.699697369250863	-1.363397430988953	0.000091975165386	0.000047917583741	0.520983936699897	0.997724896776406	0	2	6	4	5	7	8	7	9	10	7	11	0	1	5	2	4	3	3	5	8	7	5	9	1	1	1	1	1	1	1	1	1	1	1	1
22000	-48.085612253287394	-46.724733941780443	-1.360878311506948	0.000017093882273	0.000009857570725	0.576672435663763	0.720953026810795	-1	3	6	4	5	7	8	6	10	10	8	12	0	1	4	2	2	4	8	5	7	4	8	10	1	2	2	1	1	1	1	1	1	3	1	1
22500	-40.431851190549828	-39.065600401470668	-1.366250789079163	0.000056999837356	0.000028514702101	0.500259359035956	0.763239513999397	-1	3	6	5	6	7	8	7	8	9	9	11	0	1	4	2	4	5	6	4	3	6	5	10	1	2	1	1	1	1	1	1	1	1	1	1
23000	-52.131667360323661	-50.596556566457572	-1.535110793866090	0.000043382212075	0.000011817306416	0.272399812066343	0.920475772935068	0	3	7	6	6	5	8	8	9	9	6	11	0	1	4	6	2	2	5	4	4	2	2	10	1	2	1	1	1	1	1	1	1	2	1	1
23500	-44.335317354234085	-42.656466824121161	-1.678850530112928	0.000092565163894	0.000019462973347	0.210262398166356	0.729508357905247	0	4	6	5	6	7	8	7	9	9	8	13	0	1	4	1	2	3	6	3	8	6	8	9	1	2	1	2	1	1	1	1	1	1	1	2
24000	-57.252184425199005	-55.714567568982339	-1.537616856216667	0.000039864091210	0.000047762813393	1.198141283116964	0.526098543419048	0	3	6	4	5	7	9	7	9	7	7	12	0	1	4	1	2	5	8	4	11	4	4	10	1	1	2	3	1	1	1	1	1	1	1	3
24500	-47.604215330866687	-46.163896788369890	-1.440318542496801	0.000066442828079	0.000022998965860	0.346146702736223	0.928756009791358	0	3	4	6	5	7	7	8	10	9	8	13	0	1	2	3	2	3	3	3	6	7	6	10	1	1	1	1	1	1	1	1	1	1	1	1
25000	-46.038613763099626	-44.663981917370258	-1.374631845729366	0.000046725768861	0.000021631098148	0.462937233034866	0.577289324384416	0	3	6	5	5	7	9	7	9	10	8	12	0	1	4	2	2	4	1	5	8	8	5	10	1	1	1	1	1	1	5	1	1	1	2	1
25500	-47.612989834010563	-46.227224412416405	-1.385765421594155	0.000106852023411	0.000046053756197	0.431004998562245	0.957720618030218	0	3	6	4	5	7	9	7	9	9	7	13	0	1	2	2	2	3	11	4	3	11	4	10	1	1	1	1	1	1	1	1	2	1	1	2
26000	-41.491854512771788	-40.024771297298180	-1.467083215473609	0.000057315549622	0.000018353996867	0.320227180727093	0.948384229949688	-2	3	7	5	5	7	9	7	9	9	8	12	0	1	4	2	2	5	6	5	8	8	6	7	1	1	1	1	1	1	1	1	1	1	1	2
26500	-41.974899908594246	-40.101979645683748	-1.872920262910498	0.000082236041395	0.000013224533232	0.160811889863542	0.698046745340814	0	3	6	6	5	7	7	7	9	9	8	12	0	1	2	2	2	5	5	5	6	8	7	10	1	2	1	1	1	1	1	1	1	1	1	1
27000	-45.988467610859338	-43.890247887064959	-2.098219723794381	0.000114512558757	0.000014298868741	0.124867253829137	0.640100593097750	0	2	6	5	5	7	8	7	10	9	9	13	0	1	4	2	2	3	4	4	6	6	8	9	1	1	1	1	1	1	1	1	1	1	1	2
27500	-48.289062848162125	-46.053526334353087	-2.235536513809036	0.000116330816214	0.000012687569548	0.109064562263606	0.948125638664791	-1	3	5	4	5	6	8	7	9	10	6	12	0	1	4	2	4	3	8	6	8	7	4	7	1	1	1	1	1	1	1	1	1	1	1	2
28000	-37.377286727963138	-35.461683084847024	-1.915603643116114	0.000045116541536	0.000006889946337	0.152714416977056	0.919841813587224	0	3	6	5	5	7	9	7	9	9	7	11	0	1	4	2	2	5	6	4	11	8	5	9	1	1	1	1	1	1	1	1	1	1	1	1
28500	-46.142145335131403	-44.713253644821549	-1.428891690309857	0.000108907485866	0.000039127265588	0.359270671586570	0.965379404411362	-1	2	6	4	4	7	8	7	6	9	8	11	0	1	4	2	2	4	8	5	4	3	3	7	1	1	1	1	1	1	1	1	1	1	1	1
29000	-55.508559387932884	-54.014457386653802	-1.494102001279081	0.000068699038046	0.000020530087598	0.298840976265903	0.688440048822953	-1	3	6	4	5	7	8	8	9	9	7	12	0	1	2	2	2	5	2	5	3	4	5	7	1	3	1	1	1	2	3	1	1	2	1	2
29500	-43.428608872255609	-41.985538279389480	-1.443070592866130	0.000075902481233	0.000026049597004	0.343198227259204	0.970597759561233	0	4	5	6	5	8	9	7	9	9	7	11	0	1	2	5	2	8	6	5	8	4	4	10	1	1	1	1	1	1	1	1	1	1	1	1
30000	-39.332387478570986	-37.836605826440838	-1.495781652130151	0.000015392173044	0.000016789553145	1.090785108548690	0.980477926103243	0	3	6	5	2	7	8	7	9	9	9	11	0	5	4	2	1	4	6	4	6	8	6	10	1	1	1	1	1	1	1	1	1	1	1	1
30500	-48.254775582395233	-45.145735240779899	-3.109040341615331	0.000082347783760	0.000004531772495	0.055032112441183	0.800328299298964	-1	3	5	6	5	6	6	7	9	8	8	12	0	1	2	3	2	3	5	5	11	7	6	7	1	2	1	1	1	1	1	1	1	1	1	2
31000	-48.194005739655907	-46.647349556294685	-1.546656183361222	0.000072543494437	0.000019291206263	0.265926068396955	0.757612024857773	-2	3	6	5	5	7	9	8	10	6	7	12	0	1	4	2	2	4	6	5	8	4	2	7	1	2	1	1	1	1	1	1	1	1	2	2
31500	-46.504338079884668	-44.775438936736649	-1.728899143148021	0.000105470245341	0.000020562122021	0.194956615059300	0.812967951004041	-1	1	5	5	4	7	8	7	9	9	6	13	0	1	5	5	2	4	4	4	11	8	5	10	1	1	1	1	1	1	1	1	1	1	1	2
32000	-54.172564739348275	-50.497648821407303	-3.674915917940971	0.000088002128909	0.000003406597299	0.038710396451954	0.626993113908544	-1	3	6	6	5	7	9	7	10	10	6	12	0	1	2	2	2	5	11	5	5	8	2	10	1	2	1	1	1	1	1	1	2	2	1	2
32500	-57.527311104045651	-56.160515067413066	-1.366796036632583	0.000072322294524	0.000047235754872	0.653128543324292	0.791925507336051	-1	2	7	4	5	7	7	5	9	10	8	12	0	1	8	2	2	8	4	2	11	7	6	8	1	1	1	1	1	1	1	2	1	2	1	2
33000	-53.988536890280699	-52.497638036151272	-1.490898854129429	0.000102574777087	0.000030893659371	0.301181832885180	0.628704933070955	-1	2	7	5	6	6	9	8	9	9	8	12	0	1	5	2	1	2	11	6	6	6	5	10	1	1	1	2	3	2	1	1	1	2	1	1
33500	-49.598758263023370	-48.170082151096061	-1.428676111927312	0.000025427594655	0.000022960681024	0.902982815924668	0.694609742811589	0	3	5	4	6	7	8	6	6	9	8	12	0	1	4	2	4	3	9	2	2	5	5	10	1	1	1	1	1	1	1	1	1	2	1	1
34000	-39.408706323711172	-37.843924533347689	-1.564781790363480	0.000073574785495	0.000018867952290	0.256445902801224	0.977594748730982	0	3	7	5	5	6	9	8	9	10	9	12	0	1	4	2	2	4	3	6	6	8	8	9	1	1	1	1	1	1	1	1	1	1	1	1
34500	-51.347926487820075	-49.886737455141443	-1.461189032678629	0.000126399339973	0.000041138007624	0.325460620545592	0.803985360520718	-1	3	6	4	5	7	9	6	8	9	9	13	0	1	4	2	2	3	6	4	8	9	8	5	1	1	1	1	1	1	1	1	1	1	1	3
35000	-44.083767255793902	-42.504917402443951	-1.578849853349949	0.000077343399089	0.000019304590111	0.249595832853689	0.601199257803790	0	3	5	5	5	7	8	7	9	9	7	12	0	1	2	2	2	5	4	4	6	6	5	10	1	1	1	1	1	1	1	2	1	1	1	1
35500	-42.960991357629503	-41.286351967518883	-1.674639390110623	0.000089557595738	0.000018955711849	0.211659454375862	0.972325441740950	0	3	7	5	5	7	9	7	8	9	9	10	0	1	4	2	2	4	6	5	4	6	8	11	1	1	1	1	1	1	1	1	2	1	1	1
36000	-36.290514851316011	-34.562110611318033	-1.728404239997979	0.000067053297238	0.000013081916049	0.195097282124530	0.974708940986120	0	3	6	5	6	7	8	7	9	10	8	11	0	1	4	2	2	4	4	4	6	7	8	9	1	1	1	1	1	1	1	1	1	1	1	1
36500	-45.747320118428370	-44.386378328380047	-1.360941790048321	0.000058095051240	0.000032494304263	0.559329987152675	0.882923451015818	0	3	5	5	5	7	7	8	9	8	8	12	0	1	2	2	2	4	4	3	11	5	7	10	1	2	1	1	1	1	1	1	1	1	1	1
37000	-49.944167930629696	-47.389277009820916	-2.554890920808779	0.000089299001962	0.000007372805824	0.082563138014106	0.923369064529460	0	2	6	5	3	6	8	6	10	10	8	11	0	1	5	2	1	5	3	5	7	7	8	10	1	1	2	1	1	1	1	2	1	1	1	1
37500	-41.782356264777270	-40.369762157659927	-1.412594107117340	0.000111626003941	0.000042540842911	0.381101548113732	0.975679454825656	0	1	6	4	6	7	8	8	9	10	7	12	0	1	4	2	4	3	11	5	11	6	4	10	1	1	1	1	1	1	1	1	1	1	1	1
38000	-44.783937824696686	-43.280755771339749	-1.503182053356937	0.000063369630326	0.000018532366133	0.292448701963095	0.843077184036992	0	3	6	5	5	5	8	7	9	9	7	12	0	1	4	2	2	2	8	4	4	8	5	9	1	1	1	1	1	1	1	2	1	1	1	1
38500	-41.849092792057775	-40.468015190193142	-1.381077601864630	0.000066144740607	0.000048466613679	0.732735713132733	0.899434860275277	0	2	6	4	5	8	7	7	9	9	9	11	0	1	4	2	2	5	5	3	7	7	6	10	1	1	1	1	1	1	1	1	1	1	1	1
39000	-57.455940149673758	-53.685279426049995	-3.770660723623764	0.000050334512208	0.000001844072123	0.036636336433575	0.846176077661147	0	4	6	4	5	8	9	7	8	8	8	12	0	1	2	1	2	3	5	2	3	4	5	7	1	1	1	1	1	1	2	1	1	2	2	1
39500	-45.198224672719412	-43.370928077513959	-1.827296595205457	0.000035600373144	0.000006064808595	0.170358006383986	0.841333885533378	0	2	7	4	6	7	9	7	10	10	9	12	0	1	4	2	4	5	8	2	6	5	8	10	1	1	1	1	1	1	1	2	1	2	1	1
40000	-40.430814537551299	-39.041177384079845	-1.389637153471451	0.000065501681821	0.000027647890147	0.422094355108983	0.929639138179429	-1	2	6	5	4	7	9	7	9	9	9	12	0	1	4	2	2	4	8	3	4	6	8	7	1	1	1	1	1	1	1	1	1	1	1	1
40500	-42.108515982525432	-40.366327688914261	-1.742188293611173	0.000097001413935	0.000018551635513	0.191251186557618	0.924704046007135	0	2	7	5	5	6	9	8	10	9	8	11	0	1	5	2	2	5	11	6	11	4	6	10	1	1	1	1	1	1	1	1	1	1	1	1
41000	-49.827909690067337	-48.393773557728984	-1.434136132338354	0.000036967729271	0.000013051817453	0.353059755371145	0.904005601490265	0	4	6	6	5	8	8	7	10	8	7	12	0	1	5	5	2	5	3	5	10	5	5	7	1	1	1	1	1	1	1	1	1	1	1	1
41500	-57.784964181713221	-56.391654511362944	-1.393309670350279	0.000079621652808	0.000032990091867	0.414335682608808	0.703912368381129	-1	4	5	6	6	6	8	8	9	8	7	12	0	1	2	3	1	3	3	2	10	5	6	2	1	2	1	1	3	1	1	2	1	1	1	3
42000	-48.073055808401001	-46.710213535044893	-1.362842273356107	0.000050235099290	0.000026442059655	0.526366226580479	0.952193129107499	0	3	6	5	6	7	8	4	9	10	7	12	0	1	4	2	4	5	3	1	5	7	4	6	1	1	1	1	1	1	1	1	1	1	1	2
42500	-45.742623765743708	-43.952035939964325	-1.790587825779381	0.000071600061702	0.000012803555545	0.178820454064347	0.595984525895850	-1	3	7	5	5	7	9	8	9	9	6	12	0	1	4	2	2	2	3	11	6	4	2	8	1	2	1	1	1	2	1	1	1	2	1	2
43000	-50.590937631468854	-49.143253624242732	-1.447684007226123	0.000110800122015	0.000037496794875	0.338418353632517	0.818274650041471	-1	3	5	5	4	6	9	7	10	9	8	12	0	1	2	2	2	5	2	3	8	6	2	9	1	1	1	1	1	1	2	1	1	1	2	1
43500	-42.240199682302205	-40.855504655012474	-1.384695027289728	0.000049929066351	0.000021650426159	0.433623693401096	0.798543794992507	0	4	7	5	3	6	8	8	9	10	8	12	0	1	4	5	1	2	6	6	11	7	6	10	1	2	1	1	1	1	1	1	1	1	1	1
