step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29
5000	-276.693082949172322	-275.045515065644850	-1.647567883527483	0.000011829184799	0.000017368680451	1.468290566563299	0.494067031609471	0	1	3	3	3	11	11	10	15	14	18	21	22	20	23	26	27	29	28	30	35	32	33	34	36	42	43	45	48	0	1	2	2	2	8	1	4	6	6	10	10	14	10	12	13	11	0	16	16	23	19	16	22	21	21	26	23	27	1	1	1	1	2	1	5	3	2	1	2	3	1	3	1	2	4	1	1	1	2	2	3	1	1	3	1	5	2
5500	-260.257589070367658	-258.819899121244077	-1.437689949123559	0.000017697264579	0.000016460977067	0.930142451859750	0.437059338484563	1	2	3	3	5	10	11	11	15	14	18	19	22	21	22	26	28	28	27	30	35	33	33	36	38	43	45	45	48	0	1	2	2	2	4	1	4	6	6	10	10	10	11	12	13	11	0	16	16	23	19	19	22	21	25	26	23	27	1	1	1	1	2	4	6	3	2	2	3	2	3	2	1	3	5	1	1	2	1	2	2	1	2	2	1	5	2
6000	-236.830252024052044	-235.464767227063959	-1.365484796988091	0.000032129432080	0.000016227246451	0.505058614497183	0.353639877802357	-1	1	3	3	5	10	11	11	15	15	18	20	21	21	22	26	26	29	27	28	35	33	34	36	39	41	44	44	49	0	1	2	2	2	4	1	4	6	6	10	10	10	12	12	13	10	0	13	16	23	16	16	22	21	25	25	23	27	1	1	2	1	3	3	7	4	2	3	2	2	3	1	1	2	7	1	3	1	1	4	4	2	2	1	3	4	3
6500	-199.740781698371478	-198.341804691668131	-1.398977006703347	0.000070768349446	0.000028549920615	0.403427815373395	0.398130588823545	0	1	2	3	6	10	11	11	14	15	18	20	21	21	23	26	28	28	28	27	34	33	35	36	38	43	45	45	47	0	1	2	2	2	4	5	6	6	6	6	10	11	10	12	13	11	0	16	16	22	19	16	22	21	25	26	26	27	1	1	1	2	3	4	2	1	2	2	5	2	2	3	1	2	5	1	1	1	1	3	4	1	2	3	1	2	1
7000	-203.421590258009019	-201.534529550509433	-1.887060707499572	0.000133706423329	0.000021131816364	0.158046381304388	0.560660950541701	0	2	3	3	5	10	11	12	14	15	18	21	22	22	24	25	27	28	29	30	34	33	33	35	38	43	45	45	48	0	1	2	2	2	5	5	4	6	8	10	11	12	11	11	13	10	0	16	19	22	19	16	23	21	25	26	25	25	1	1	1	1	2	2	3	5	3	1	2	2	1	2	3	2	4	1	2	1	1	2	5	1	2	2	1	3	3
7500	-224.063572082461945	-222.643048629821749	-1.420523452640184	0.000176078406772	0.000065139544173	0.369946237972299	0.527618076064245	-2	2	0	3	5	9	11	10	15	13	19	20	22	22	23	25	27	28	29	29	35	33	33	35	38	43	46	46	47	0	1	1	3	4	2	6	2	10	8	10	11	12	11	10	12	16	0	13	16	22	20	16	22	21	25	25	25	25	1	1	1	1	1	3	2	4	1	2	2	1	1	1	4	3	1	1	4	2	1	2	3	2	2	1	4	4	3
8000	-222.549935097267962	-220.860249666761746	-1.689685430506229	0.000152367848900	0.000031502240880	0.206751234646105	0.309375989809453	0	1	2	3	5	10	11	12	14	14	16	20	21	21	23	25	27	29	29	30	35	33	35	35	37	40	45	45	48	0	1	2	2	4	3	1	4	8	6	9	6	6	11	10	15	15	0	12	16	22	20	22	22	22	25	21	19	28	1	1	1	1	1	4	5	4	2	2	1	4	5	3	4	1	2	1	5	3	1	2	1	1	2	2	5	10	1
8500	-226.722688127486208	-225.246237607227130	-1.476450520259080	0.000147461833995	0.000046061649283	0.312363192798897	0.463712365556455	-1	1	3	3	4	10	12	9	14	14	18	19	22	22	24	25	26	29	29	27	33	33	34	33	38	40	42	44	47	0	1	2	2	2	8	4	4	6	6	10	10	12	11	11	13	13	0	16	13	19	13	19	16	21	21	26	23	27	1	1	1	2	1	1	6	3	2	1	2	3	2	2	2	1	1	1	1	3	1	5	3	4	3	3	1	5	2
9000	-200.217179441236965	-198.737002129687482	-1.480177311549489	0.000121099966781	0.000037465365253	0.309375520481390	0.499766268144031	-1	1	2	3	5	10	11	12	14	14	18	21	20	22	23	24	26	28	29	28	34	34	34	35	39	42	44	44	48	0	1	2	2	2	4	5	6	6	6	10	11	11	12	12	13	12	0	13	16	19	13	19	23	19	25	26	23	27	1	1	1	1	2	4	3	1	3	2	2	1	1	1	1	2	2	1	5	2	2	6	3	1	4	2	1	5	2
9500	-224.190524677978203	-222.665273853340466	-1.525250824637729	0.000187488549045	0.000052165082911	0.278230767566970	0.500668624039102	-1	2	0	4	5	11	10	10	14	14	18	21	22	20	24	25	27	29	28	29	35	32	34	34	39	42	44	45	48	0	3	1	2	2	4	1	5	6	6	10	10	11	11	13	11	13	0	17	16	24	19	22	22	23	23	25	25	26	1	1	1	1	1	3	4	1	2	2	2	4	3	1	1	4	2	1	1	2	1	2	1	2	4	2	2	3	3
10000	-217.391751634366045	-215.983065860529450	-1.408685773836587	0.000132528719384	0.000051294921824	0.387047592875510	0.555375846721072	0	2	1	4	5	10	12	12	14	14	17	20	22	21	23	25	28	29	27	29	32	32	33	35	38	42	45	45	48	0	3	1	2	2	4	1	6	6	6	6	10	12	11	10	12	12	0	16	16	20	20	20	22	21	23	25	25	26	1	1	1	1	1	3	5	1	2	1	3	3	1	2	4	2	2	1	1	3	1	2	2	2	4	5	4	3	3
10500	-242.731569288721346	-241.266503014450166	-1.465066274271169	0.000198833407607	0.000064022725486	0.321991793314719	0.476633281917150	-1	1	3	4	6	10	11	11	14	15	17	18	21	22	24	25	28	28	28	29	34	31	34	36	39	43	45	45	47	0	1	2	2	1	4	1	6	7	9	10	6	9	7	13	11	13	0	11	14	20	17	17	23	21	21	25	26	26	1	1	1	1	4	2	7	1	2	1	1	3	2	6	1	4	3	1	5	3	3	1	3	2	2	4	3	1	1
11000	-202.612099583555079	-201.069023795390137	-1.543075788164945	0.000182503570836	0.000048891806829	0.267895069699209	0.431523329607620	0	1	2	3	6	10	8	11	13	14	18	20	21	22	23	25	27	28	28	29	34	33	34	36	39	42	43	45	48	0	1	2	2	2	4	1	4	8	8	10	11	11	12	12	13	14	0	16	16	16	20	19	16	22	24	23	25	26	1	1	1	1	3	4	4	4	1	1	2	1	2	1	1	2	2	1	2	2	5	2	3	6	3	3	5	2	3
11500	-215.488776138030829	-213.958798000782622	-1.529978137248219	0.000158483756096	0.000043646192699	0.275398525210055	0.494950259820969	0	1	2	2	5	9	11	10	14	15	17	19	21	19	23	26	24	28	28	28	34	33	34	33	39	42	45	45	49	0	1	2	2	2	5	1	4	6	6	10	11	11	10	10	17	13	0	16	16	22	15	16	19	21	25	26	25	27	1	1	1	1	2	2	5	3	2	3	1	1	3	2	3	1	1	1	1	1	1	6	4	2	2	1	1	3	2
12000	-235.296543638541038	-233.723796075797793	-1.572747562743249	0.000186535546883	0.000047103299955	0.252516481400606	0.560627091191800	-1	1	2	3	4	8	11	12	12	15	19	21	20	21	22	26	27	29	28	29	31	31	35	35	38	43	46	44	47	0	1	2	2	3	4	3	4	6	6	10	11	11	11	11	10	12	0	13	19	19	20	21	17	23	25	28	24	27	1	1	1	1	1	2	4	3	2	4	3	2	1	1	1	6	2	1	3	1	2	1	2	6	2	3	1	3	1
12500	-206.749159446768573	-205.212017816408206	-1.537141630360356	0.000140662357862	0.000038152475992	0.271234440912231	0.334572594667781	0	1	2	3	5	10	11	11	13	14	18	21	20	22	24	25	28	28	28	29	34	34	33	35	38	43	45	45	48	0	1	2	2	2	4	1	6	8	6	10	11	10	12	12	12	10	0	13	16	19	20	19	23	23	25	25	19	26	1	1	1	1	2	3	6	1	1	2	2	2	3	1	2	2	7	1	5	2	3	2	3	1	2	3	3	7	3
13000	-205.014091908522801	-203.533029112247192	-1.481062796275610	0.000172017416634	0.000053097768621	0.308676700650997	0.374572753520288	-1	1	2	4	4	11	11	11	15	14	19	20	22	22	23	25	26	28	28	29	33	34	34	36	38	42	45	45	48	0	1	2	3	2	4	1	4	8	8	10	10	10	10	11	15	14	0	16	19	19	21	16	22	22	23	26	25	27	1	1	1	1	1	3	5	3	2	1	3	4	4	4	2	1	1	1	2	1	3	1	4	1	2	3	1	3	2
13500	-205.979554963388011	-204.553601273178572	-1.425953690209445	0.000105556524669	0.000038306947783	0.362904594507397	0.324266376832877	1	2	3	3	5	10	11	11	13	14	18	20	21	20	23	25	27	28	28	29	33	32	34	33	38	42	44	45	48	0	1	2	2	2	4	1	4	6	6	10	11	11	11	10	13	15	0	13	16	16	16	16	22	23	25	26	23	27	1	1	1	1	2	4	5	4	2	2	3	1	1	1	5	2	2	1	6	2	4	3	4	1	3	3	1	6	2
14000	-214.242916253777992	-212.681148152887346	-1.561768100890640	0.000161669846319	0.000041705751696	0.257968648113517	0.454684482112919	-1	2	0	3	5	11	12	10	14	15	19	20	22	20	22	26	28	28	28	29	34	33	35	36	37	41	45	44	48	0	3	1	2	2	8	1	4	6	9	10	8	12	10	14	13	12	0	13	16	16	13	16	16	20	23	26	25	27	1	1	1	1	1	1	7	3	2	1	2	5	1	2	1	2	3	1	3	2	3	4	4	5	5	2	2	4	1
14500	-232.760925928448586	-231.271248251143419	-1.489677677305156	0.000205548505433	0.000062093473525	0.302086718627272	0.435524255017328	-1	1	3	3	6	10	12	12	14	15	19	20	21	21	23	26	27	29	28	30	34	34	35	36	39	42	45	44	49	0	1	2	2	3	3	5	6	8	6	10	9	12	12	11	13	15	0	13	16	19	20	20	20	16	23	23	25	28	1	1	1	2	1	3	4	1	2	2	2	2	1	1	2	3	2	1	3	3	5	2	3	3	4	3	4	3	2
15000	-235.356276295469371	-233.884993160982276	-1.471283134487090	0.000169055762714	0.000053529121072	0.316635885184141	0.342451762441705	0	2	3	4	5	9	11	11	14	15	19	19	20	19	23	26	26	28	28	27	34	33	34	35	39	41	45	45	48	0	1	2	2	2	4	1	6	4	6	10	9	10	10	10	15	14	0	17	15	17	17	15	22	22	25	22	21	26	1	1	1	2	1	2	6	1	4	3	3	2	3	2	4	2	3	1	2	2	3	3	5	1	4	1	5	7	5
15500	-211.550930065214601	-210.024532021620615	-1.526398043593976	0.000167994797972	0.000046624783173	0.277537065054259	0.352904219316541	-1	1	2	3	5	10	12	11	14	14	19	20	22	21	23	26	25	28	28	30	33	33	34	35	38	41	43	44	49	0	1	2	2	3	4	1	4	6	8	10	11	11	11	9	13	15	0	16	19	15	13	22	21	23	25	26	25	25	1	1	1	1	1	4	6	5	3	2	2	1	2	1	5	2	1	1	1	1	5	4	1	1	2	2	1	2	6
16000	-223.712866525697933	-222.137185142784716	-1.575681382913220	0.000279570494811	0.000070200959949	0.251102892658809	0.519657750038918	0	1	3	3	5	10	12	12	14	14	18	19	21	21	24	26	27	28	28	29	34	31	34	36	38	42	46	44	48	0	1	2	2	2	5	5	4	8	8	10	8	8	10	8	14	15	0	15	16	22	20	17	22	24	24	28	26	25	1	1	1	1	2	2	5	4	1	1	3	3	4	3	4	2	2	1	2	2	2	1	3	2	1	3	1	1	5
16500	-229.150143829747492	-227.643477808400348	-1.506666021347155	0.000172423613700	0.000050017641158	0.290085795587544	0.317920656704893	0	1	2	3	6	10	11	11	13	14	18	21	22	20	24	25	28	29	28	29	34	33	32	34	36	41	44	45	47	0	1	2	2	2	4	5	6	5	9	9	10	9	10	14	6	14	0	11	12	23	23	20	23	20	21	21	25	26	1	1	1	1	3	3	2	1	4	1	3	5	6	3	2	9	4	1	5	4	2	1	1	1	4	3	3	4	3
17000	-204.288607382190406	-202.836858455505677	-1.451748926684718	0.000179742986252	0.000060099616656	0.334364182488923	0.517141166258956	-1	1	3	3	4	11	12	10	14	15	17	20	21	20	23	25	27	28	28	29	35	33	34	35	37	43	45	46	46	0	1	2	2	3	8	8	3	6	9	10	10	12	11	12	13	14	0	16	16	19	16	22	19	23	25	23	26	26	1	1	2	1	1	1	1	4	2	1	1	2	1	2	2	2	4	1	1	2	5	4	1	3	1	3	6	2	2
17500	-206.918776972983579	-205.384750710022530	-1.534026262961037	0.000194849259676	0.000053199108994	0.273027000887676	0.573985875857941	-1	1	3	4	5	11	11	10	14	14	17	19	22	21	23	26	28	28	29	29	35	33	35	34	38	42	44	44	48	0	1	2	3	3	8	8	2	6	8	8	11	11	11	12	13	16	0	13	16	24	17	19	19	21	23	25	26	26	1	1	1	1	1	1	1	4	2	3	3	1	1	2	2	2	1	1	2	2	1	2	3	2	2	3	4	1	2
18000	-232.472644747761535	-231.020695985530523	-1.451948762231012	0.000185273930862	0.000061912707575	0.334168478463627	0.382641298795184	0	1	3	4	5	11	12	11	13	15	17	21	20	22	24	26	27	29	28	29	35	34	33	34	38	43	46	45	48	0	1	2	2	3	4	4	4	8	8	10	13	10	10	12	11	10	0	15	13	17	10	17	20	24	25	25	26	25	1	1	1	2	1	4	5	3	1	3	2	1	2	2	2	3	6	1	2	3	3	9	4	2	2	2	4	1	5
18500	-216.716387929352550	-215.109642915490753	-1.606745013861793	0.000232172108968	0.000055055965945	0.237134280209193	0.364933019358918	0	1	3	4	6	10	12	10	14	13	18	19	21	20	24	25	27	26	28	29	34	33	34	36	38	43	45	45	47	0	1	2	2	3	4	5	4	8	8	10	8	11	11	14	13	11	0	15	16	19	20	20	23	22	23	25	19	25	1	1	1	1	3	4	3	3	2	1	2	3	1	1	2	2	4	1	3	3	3	2	2	1	2	6	4	9	5
19000	-211.500559300872368	-209.932144300078960	-1.568415000793408	0.000143189455729	0.000036461305520	0.254636805021983	0.377031425386677	-1	2	0	3	5	10	12	11	15	15	18	20	21	21	23	25	27	28	28	29	34	33	35	36	38	43	46	46	48	0	3	1	2	2	4	8	4	8	6	10	9	11	11	10	13	12	0	13	16	22	16	19	19	21	21	26	22	26	1	1	1	1	2	3	1	3	2	2	2	3	1	1	6	2	4	1	2	3	1	4	3	4	2	5	1	5	3
19500	-203.918375509060496	-202.246622466140906	-1.671753042919593	0.000195850128900	0.000041643187730	0.212627829066357	0.412142426446560	-1	2	1	4	6	9	10	12	14	14	18	20	21	22	23	26	25	27	28	30	35	32	33	35	39	43	46	45	48	0	3	1	2	3	4	1	5	6	8	10	10	10	11	14	12	13	0	16	16	23	19	22	19	21	25	26	13	26	1	1	1	1	2	2	5	3	2	1	2	4	3	2	1	2	2	1	1	2	1	2	1	4	2	2	2	10	3
20000	-213.359605680551994	-211.784356330790132	-1.575249349761860	0.000177977688914	0.000044727564415	0.251309951759595	0.528715326746346	-1	2	0	3	5	9	10	11	14	14	18	20	21	22	23	22	28	29	27	30	34	33	33	35	38	40	46	44	46	0	3	1	2	2	5	5	5	8	6	10	10	12	10	11	13	11	0	15	19	23	20	19	23	21	25	25	25	26	1	1	1	1	2	2	2	4	1	2	2	3	1	5	2	1	5	1	1	1	1	1	3	1	2	1	3	3	3
20500	-230.843345712498888	-229.371009860225371	-1.472335852273531	0.000174418804781	0.000055073211064	0.315752714466980	0.335511852996614	0	1	3	4	6	9	11	11	15	13	18	20	22	21	23	26	28	29	29	30	34	33	34	34	38	42	45	46	47	0	1	2	2	2	5	5	5	6	8	6	10	12	12	9	12	11	0	17	11	16	19	17	19	23	25	25	24	23	1	1	1	2	3	2	4	3	2	1	5	5	2	1	4	2	6	1	1	5	3	2	2	3	2	3	3	6	7
21000	-219.034530633416978	-217.523948281222403	-1.510582352194568	0.000170878185166	0.000049124992090	0.287485450776966	0.450200870269965	0	1	3	3	5	11	10	12	15	13	17	19	22	21	24	25	27	28	28	27	34	33	31	36	38	43	45	45	48	0	1	2	2	2	4	2	5	8	6	6	6	11	11	13	14	16	0	13	14	23	23	16	23	24	25	26	23	27	1	1	1	1	2	3	4	4	1	2	2	3	2	2	1	2	1	1	4	3	2	1	3	3	1	2	1	6	2
21500	-222.684789765975580	-220.833022248360720	-1.851767517614852	0.000221497226667	0.000036572354087	0.165114275412966	0.547611821405444	0	2	3	3	3	10	10	12	14	14	18	19	21	22	21	25	28	28	27	29	34	34	34	35	36	43	45	46	48	0	1	2	2	2	3	2	6	6	6	10	10	12	15	10	13	16	0	16	16	17	20	17	19	22	25	25	27	26	1	1	1	1	1	3	4	1	3	1	2	3	1	1	4	2	2	1	1	1	3	2	3	4	1	3	5	1	2
22000	-231.808708299207467	-230.296503531231139	-1.512204767976330	0.000216563902537	0.000062029302614	0.286424939186519	0.433343762882674	-1	1	3	3	5	10	11	11	13	15	18	20	20	22	22	23	27	28	29	29	35	33	34	35	38	41	46	45	48	0	1	2	2	4	3	1	6	7	6	10	10	10	13	6	11	11	0	15	17	22	20	17	22	15	21	26	26	26	1	1	1	1	1	3	6	1	1	2	1	3	2	1	4	4	2	1	4	1	1	2	4	1	9	3	3	2	3
22500	-218.427110853515387	-216.710231123021686	-1.716879730493698	0.000149508256737	0.000029666838845	0.198429434552819	0.493472575304621	0	1	3	3	4	10	11	9	14	13	18	20	22	18	22	25	27	29	27	29	34	32	35	36	39	42	45	45	48	0	1	2	2	2	4	8	3	6	8	10	8	12	6	14	12	16	0	13	16	22	13	19	23	22	25	26	25	27	1	1	1	2	2	3	1	3	3	3	2	5	2	3	2	3	1	1	2	2	1	4	3	1	4	2	1	3	2
23000	-233.574877886627633	-231.993756893784024	-1.581120992843594	0.000158090848063	0.000039289975282	0.248527829177117	0.298771195241573	-1	1	2	3	6	10	10	12	14	14	18	19	21	21	23	25	27	27	27	29	34	32	35	35	38	42	44	45	47	0	1	2	2	2	4	1	4	8	8	10	6	12	11	10	12	16	0	13	15	16	17	16	15	22	21	23	26	26	1	1	1	1	2	4	7	4	1	1	2	4	2	2	4	3	1	1	3	3	3	2	5	5	3	7	5	2	2
23500	-228.788480461856949	-227.132520520392831	-1.655959941464126	0.000144729669490	0.000031563973422	0.218089169504781	0.433589111488690	0	1	3	3	5	9	11	11	15	14	18	21	22	20	22	26	27	27	29	27	35	33	32	34	39	42	44	44	47	0	1	2	2	2	4	1	5	8	8	10	10	10	11	10	12	13	0	12	16	19	12	12	12	21	22	24	26	26	1	1	1	1	2	3	4	3	2	2	2	4	3	1	4	3	3	1	4	1	2	6	5	7	2	4	5	1	2
24000	-220.608948081568229	-218.868547371897478	-1.740400709670743	0.000119919141747	0.000022993502195	0.191741717459985	0.419202626083483	0	1	3	3	5	10	10	12	14	14	18	20	21	21	24	25	26	28	28	30	33	33	35	35	39	41	44	45	48	0	1	2	2	3	4	3	6	6	6	10	10	11	11	11	14	15	0	11	19	16	20	16	22	21	25	26	25	25	1	1	1	2	1	4	3	1	2	3	2	2	2	2	4	2	1	1	5	1	3	2	6	1	3	1	2	4	4
24500	-217.637580460839104	-216.083044362743408	-1.554536098095697	0.000166011836217	0.000043446604958	0.261707875459659	0.432812824694340	0	1	2	3	5	10	10	11	13	11	18	19	22	21	22	26	28	27	27	28	33	33	34	35	37	42	45	46	49	0	1	2	2	2	5	5	6	6	6	10	10	12	10	12	13	16	0	12	19	16	20	16	16	24	25	26	25	26	1	1	1	1	2	2	2	1	1	1	3	3	1	5	2	2	1	1	2	1	4	3	4	5	1	1	2	4	3
25000	-223.583960134077614	-222.030291082715820	-1.553669051361804	0.000175785552951	0.000046084729962	0.262164490702971	0.435507081034329	0	2	3	1	5	10	11	11	14	13	18	20	21	22	23	25	25	28	27	29	34	33	32	34	38	39	44	45	46	0	4	2	1	2	4	2	5	7	8	10	8	12	11	10	13	14	0	16	16	23	15	19	19	21	22	25	23	25	1	1	1	1	1	5	5	3	2	1	2	4	1	2	4	2	2	1	1	2	1	4	2	2	2	3	4	7	3
25500	-218.922226011384311	-217.368692802105357	-1.553533209278943	0.000166679045736	0.000043709278706	0.262236194797744	0.295463132739328	0	1	3	4	4	10	12	11	13	15	17	19	20	21	24	24	26	29	29	29	34	32	33	35	39	40	46	44	48	0	1	2	2	2	4	1	4	4	8	10	10	10	10	14	13	11	0	13	16	22	20	16	22	21	25	26	25	25	1	1	1	2	2	3	7	3	5	3	1	2	1	4	1	2	5	1	4	2	1	2	4	1	3	1	3	3	4
26000	-202.804288337568011	-201.388194493876455	-1.416093843691544	0.000108331705242	0.000040736903244	0.376038604327505	0.382171789704522	0	1	2	4	6	10	11	11	14	15	19	20	20	22	23	26	26	28	28	29	35	33	35	36	38	42	46	46	48	0	1	2	2	2	4	5	6	6	6	10	10	11	10	12	13	10	0	13	19	22	16	19	16	21	25	23	23	26	1	1	1	2	3	2	2	1	3	2	3	2	1	3	1	3	4	1	4	1	1	4	3	4	1	2	6	5	2
26500	-248.694691548343087	-247.052217152113911	-1.642474396229169	0.000148709273579	0.000033159842842	0.222984364351295	0.336598258194126	0	1	3	3	5	10	11	12	13	15	18	21	22	19	22	25	27	26	29	27	33	33	33	36	38	42	45	45	48	0	1	2	2	4	4	1	6	7	9	6	10	11	10	11	11	14	0	13	16	20	16	12	16	16	19	26	26	28	1	1	1	1	1	5	5	1	1	1	4	4	2	2	3	3	4	1	4	1	3	4	7	6	7	6	2	2	2
