step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
18000	-28.288356889281406	-25.183976356449165	-3.104380532832240	0.781388171113572	4.595318315240333	5.880967341355388	0.978005133740328	1	3	5	6	7	7	7	8	7	9	11	9	10	0	1	2	3	4	3	3	5	3	7	10	6	8	1	1	1	1	1	1	1	1	1	1	1	1	1
18500	-35.226476510003977	-33.865624846962561	-1.360851663041415	0.409637968616758	0.235237517160386	0.574257112822627	0.955226800115479	1	3	5	7	6	7	8	8	9	9	9	6	10	0	1	2	12	2	3	6	4	5	6	6	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1
19000	-38.666054912267612	-34.995637245203859	-3.670417667063750	0.705493220772325	5.901308018007059	8.364797625619591	0.953328062667326	1	4	6	6	6	6	8	7	9	9	10	7	10	0	1	2	2	2	2	12	4	3	7	8	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1
19500	-39.199895652345610	-35.401242319048151	-3.798653333297457	0.097431743870134	0.877221219263027	9.003443687021264	0.976407796613932	1	3	5	4	7	5	6	8	8	9	8	7	9	0	1	4	2	3	2	3	7	7	11	7	3	9	1	1	1	1	1	1	1	1	1	1	1	1	1
20000	-35.377013466855672	-33.572251668875580	-1.804761797980093	0.128954995593206	0.238600864547733	1.850264609371228	0.688886916692728	1	4	5	6	7	8	8	9	8	10	9	8	11	0	1	2	2	3	4	2	5	4	11	12	4	11	1	2	1	1	1	1	2	1	1	1	1	1	1
20500	-37.196356428239945	-33.496885943344360	-3.699470484895583	0.650249766128354	5.531604168778679	8.506891439137847	0.882978179479496	0	5	3	6	8	8	6	8	7	8	10	8	10	0	3	1	3	2	4	2	9	7	4	10	4	12	1	1	1	1	1	1	1	1	1	1	1	1	1
21000	-43.616795012794427	-42.200770368979903	-1.416024643814521	0.596266642805990	0.514652108085420	0.863124097741745	0.895247533633646	1	3	3	6	6	8	7	8	8	8	10	9	10	0	1	1	2	2	5	1	5	5	3	4	6	9	1	1	1	1	1	1	2	1	1	1	1	1	1
21500	-38.421625491847884	-36.863161427038861	-1.558464064809022	0.082710800675164	0.103412460562687	1.250289680652786	0.944984700055339	1	5	4	5	7	7	7	8	9	10	9	9	10	0	3	1	3	4	4	2	6	4	12	8	2	6	1	1	1	1	1	1	1	1	1	1	1	1	1
22000	-34.514501680642987	-32.671044988496909	-1.843456692146074	0.155478844622002	0.302505177412100	1.945635614591469	0.941850513510990	-1	4	6	6	6	8	7	8	7	9	10	8	9	0	1	2	2	2	3	5	5	2	8	13	4	9	1	1	1	1	1	1	1	1	1	1	1	1	1
22500	-29.447894296575395	-27.754474994844294	-1.693419301731103	0.236918008278746	0.374163159838901	1.579293877055891	0.985474041905219	0	4	6	6	8	7	8	8	8	9	10	7	10	0	1	2	2	4	4	6	3	4	8	5	2	9	1	1	1	1	1	1	1	1	1	1	1	1	1
23000	-34.429390593928069	-32.664674562863475	-1.764716031064596	0.198705545886319	0.348198568584175	1.752334425448707	0.825052390257910	1	4	6	6	7	8	6	9	8	9	11	8	9	0	1	2	2	3	5	2	9	4	5	6	3	12	1	1	1	1	1	1	1	1	1	1	2	1	1
23500	-43.682654365377644	-41.196611639978890	-2.486042725398754	0.815991184101331	3.032307248723327	3.716102952831376	0.981121801497309	0	3	5	6	6	7	7	7	8	10	10	9	11	0	1	1	2	3	5	4	3	4	12	8	8	11	1	1	1	1	1	1	1	1	1	1	1	2	1
24000	-32.953687966507800	-30.522529946709799	-2.431158019798005	0.535875662809823	1.901261707487393	3.547953078365738	0.976814947137494	0	2	5	6	7	8	7	7	8	9	9	7	10	0	1	2	3	3	4	4	3	12	7	4	3	11	1	1	1	1	1	1	1	1	1	1	1	1	1
24500	-37.460152795165548	-34.668731231686159	-2.791421563479387	0.456629616610975	2.155439818645125	4.720324175734424	0.979626774227765	1	3	5	7	5	8	7	7	7	10	11	8	11	0	1	2	3	2	8	3	5	3	4	8	8	10	1	1	1	1	1	1	1	1	1	1	1	1	1
25000	-43.204022194272625	-40.111375465829433	-3.092646728443196	0.777812681379807	4.538442902244435	5.834879027934373	0.927558781816303	0	4	6	6	5	5	7	7	8	10	10	8	9	0	1	2	2	2	2	3	6	4	4	13	8	6	1	1	1	1	1	1	1	1	1	1	1	1	2
25500	-47.020697290129675	-45.097305532624702	-1.923391757504976	0.408000320757285	0.875384745382019	2.145549159758566	0.742675281626305	-1	3	4	6	8	8	8	8	7	10	10	8	10	0	1	2	3	2	9	3	4	4	4	7	2	5	1	1	1	1	2	1	1	1	1	1	1	3	1
26000	-41.645436180171295	-39.414856805716816	-2.230579374454478	0.768220371742235	2.276058249841684	2.962767369315978	0.856140926245471	0	5	5	7	7	6	7	7	8	9	11	8	9	0	1	1	2	6	3	6	2	2	8	10	6	7	1	1	3	1	1	1	1	1	2	1	1	1	1
26500	-37.205583397082009	-35.543580931037660	-1.662002466044350	0.227390756930762	0.341826270455214	1.503254903889066	0.888622441587098	1	5	6	7	7	7	7	9	8	9	9	8	9	0	1	2	2	2	3	3	9	5	4	7	2	3	1	1	1	1	1	1	1	1	1	1	1	1	2
27000	-31.014509092282935	-28.248715332480536	-2.765793759802400	0.162028275737865	0.750413291371567	4.631372443817231	0.962144122527303	1	4	6	6	6	7	7	9	8	10	10	8	9	0	1	2	2	2	5	3	9	5	7	12	3	6	1	1	1	1	1	1	1	1	1	1	1	1	1
27500	-33.028004398160220	-30.968675900875496	-2.059328497284724	0.338419868471803	0.844899746325181	2.496602076410229	0.867423865206879	-1	4	6	6	7	7	6	8	8	9	10	8	10	0	1	2	2	2	3	2	7	7	6	8	3	6	1	3	1	1	1	1	1	1	1	1	1	1	1
28000	-40.891975132225106	-38.204760503025398	-2.687214629199709	0.461466272518289	2.013888843314529	4.364108415387419	0.832446592837194	1	4	5	6	7	8	7	8	6	8	10	8	10	0	1	1	2	3	3	2	9	3	4	7	5	10	1	1	1	2	1	1	1	1	1	1	1	1	1
28500	-40.660306780124309	-39.235092986968283	-1.425213793156029	0.990644579682456	0.883950503748854	0.892298329671574	0.753785727232451	0	3	5	6	6	8	8	9	6	10	10	8	10	0	1	2	3	3	3	4	6	2	12	12	4	12	1	1	2	1	1	2	1	1	1	1	1	1	1
29000	-44.097929323938949	-42.365476106993547	-1.732453216945399	0.271754560525071	0.454884277688635	1.673879094465716	0.818829171830205	1	4	3	5	6	7	6	7	9	9	11	7	9	0	1	1	1	2	5	2	5	6	7	10	7	12	1	1	1	2	1	1	1	1	2	1	1	1	1
29500	-37.207040123015574	-33.320328911203731	-3.886711211811842	0.053947841601197	0.510317091664041	9.459453363055719	0.978399002529259	1	5	4	6	8	6	6	8	7	10	10	8	10	0	3	1	3	7	3	3	7	2	8	8	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
30000	-39.749245208536728	-33.223104200082943	-6.526141008453784	0.116435799099228	3.686747290462510	31.663348549019869	0.841053966741519	1	4	6	6	8	6	7	8	8	9	10	9	9	0	1	2	2	6	2	3	2	4	7	12	7	6	1	1	1	1	1	1	1	1	1	1	1	1	2
30500	-33.845485737475173	-31.690656281104172	-2.154829456370998	0.127429862840204	0.350816014599713	2.753012573195921	0.920063854067350	0	4	5	6	6	7	7	7	8	10	10	7	10	0	1	2	2	2	3	3	2	7	12	7	5	9	1	1	1	1	1	1	1	1	1	1	1	1	1
31000	-31.244835735792588	-29.090174783151841	-2.154660952640747	0.173112961569669	0.476502503594443	2.752552433242704	0.849250637479154	1	4	5	6	7	6	7	8	8	9	9	8	10	0	1	2	2	6	3	2	4	7	7	5	4	11	1	1	1	1	1	1	1	1	1	1	1	1	1
31500	-36.459816028290568	-31.144889985434471	-5.314926042856096	0.857176673304182	16.421251792566526	19.157371291109779	0.959930242348790	1	3	5	5	6	6	8	7	9	8	10	9	10	0	1	2	2	3	3	6	6	8	6	10	10	7	1	1	1	1	1	1	1	1	1	1	1	1	1
32000	-31.203645545077073	-27.881337414022767	-3.322308131054307	0.296749155850913	2.010608401790756	6.775447754941174	0.874108021944130	1	3	5	5	7	7	7	9	7	9	9	9	9	0	1	2	2	4	4	3	9	3	5	7	6	5	1	1	1	1	1	1	1	1	1	1	1	1	1
32500	-43.148717301897946	-41.046289890848911	-2.102427411049035	0.423650789683464	1.106258018459573	2.611249749554647	0.742669762694232	1	4	6	5	8	7	7	7	8	9	9	7	9	0	1	4	1	6	3	2	4	4	6	8	4	6	1	1	1	2	1	1	1	1	2	1	2	1	1
33000	-40.971467294372772	-38.344568196038445	-2.626899098334328	0.667517597144165	2.779846038487978	4.164453567038485	0.888789276617473	0	3	5	7	6	6	6	8	9	10	8	9	10	0	1	2	6	2	3	2	6	4	3	5	8	8	1	1	1	1	1	1	1	1	1	2	1	1	1
33500	-31.785386376436762	-30.379650926878455	-1.405735449558309	0.418780505389246	0.347041395114685	0.828695201062710	0.980777766283279	1	4	5	6	7	7	7	8	8	9	10	9	11	0	1	2	2	3	3	2	5	3	8	8	6	11	1	1	1	1	1	1	2	1	1	1	1	1	1
34000	-43.209736053560071	-41.590015007605160	-1.619721045954910	0.686150645668954	0.961079415655432	1.400682811743825	0.742635504729939	1	4	5	6	7	5	7	7	8	10	11	8	9	0	1	2	2	4	2	1	3	8	12	13	2	6	1	1	1	1	1	1	2	1	1	1	1	1	1
34500	-39.409866280282621	-35.416644973466447	-3.993221306816176	0.589220054703744	5.910217128547710	10.030576999826206	0.771790376655152	1	4	6	6	8	8	6	8	8	9	10	8	10	0	1	2	2	7	1	2	3	4	3	9	2	6	1	2	1	1	1	3	1	1	1	1	1	1	1
35000	-32.403509518002259	-27.213148984973586	-5.190360533028672	0.722289208655207	13.086033178057262	18.117442461062765	0.993042213474105	1	4	6	6	7	7	6	8	8	10	10	9	10	0	1	2	2	2	7	2	3	5	9	5	6	9	1	1	1	1	1	1	1	1	1	1	1	1	1
35500	-42.341955975478328	-40.705069282803073	-1.636886692675257	0.945742135983319	1.364127896824541	1.442388834041124	0.789240294681950	1	4	6	4	6	7	7	8	9	9	10	8	11	0	1	2	1	4	5	3	7	3	8	10	7	7	1	1	2	1	1	1	1	1	1	1	1	1	2
36000	-40.181106994872337	-35.982484675709586	-4.198622319162749	0.760608152255529	8.514730255567446	11.194634491252325	0.863093678305155	0	3	5	5	6	7	7	8	7	9	10	9	10	0	1	2	2	3	2	5	6	5	5	12	5	9	1	1	1	1	1	1	1	1	1	1	1	1	1
36500	-40.395544727273212	-38.332934222420278	-2.062610504852935	0.064362447635148	0.161245476914219	2.505272605980962	0.951445714072626	1	3	6	5	7	8	7	9	7	9	8	8	10	0	1	2	2	3	7	1	5	4	11	3	5	11	1	1	1	1	1	1	3	1	1	1	1	1	1
37000	-32.513627285628452	-31.121694992505301	-1.391932293123151	0.484364442359519	0.376940649554090	0.778217013036449	0.978471929815620	1	3	5	7	6	8	7	9	7	9	11	8	10	0	1	2	3	3	3	5	12	5	7	12	5	8	1	1	1	1	1	1	1	1	1	1	1	1	1
37500	-38.644218692036709	-33.594847062313555	-5.049371629723156	0.111358136368532	1.891922563698185	16.989531482791627	0.810429031073500	1	3	5	5	7	7	8	8	9	10	9	9	10	0	1	2	2	4	3	5	4	7	3	5	8	8	1	1	1	1	1	1	1	1	1	2	1	1	1
