step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
18500	-102.942132511756967	-109.797620462716338	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.727965137165566	-2	5	14	9	24	24	20	26	26	28	22	37	51	0	1	2	2	4	3	4	3	7	7	2	6	0	1	1	1	1	1	2	2	2	2	1	2	1	1
19000	-98.187501998393941	-105.042989949353313	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611415019022247	-4	12	14	15	19	23	21	24	23	25	33	35	52	0	1	2	2	4	3	5	3	5	5	6	11	0	1	1	1	1	1	1	1	1	1	1	2	1	1
19500	-103.329750962240354	-110.185238913199726	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585184356269777	-2	5	14	14	25	23	18	23	21	28	27	39	53	0	1	2	2	7	3	4	3	4	7	2	8	0	1	1	2	3	1	2	1	2	1	1	4	2	1
20000	-98.208652025945796	-105.064139976905167	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.796893363651081	-1	5	14	13	18	19	20	26	18	30	28	34	54	0	1	2	2	4	3	5	3	4	7	3	8	0	1	1	1	1	2	1	1	1	1	2	3	2	1
20500	-90.627220441715252	-97.482708392674624	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.780529440877787	-2	6	15	12	19	19	23	27	22	29	31	36	58	0	1	2	2	4	3	5	3	5	7	6	8	0	1	1	2	1	1	1	1	2	1	1	2	2	1
21000	-92.553093198576875	-99.408581149536246	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.733770657021439	-3	8	11	12	18	20	21	25	24	31	31	37	56	0	1	2	2	4	3	5	3	5	7	6	6	0	1	1	1	1	1	2	1	2	1	1	2	3	1
21500	-90.170437862521837	-97.025925813481209	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667808265835388	-4	5	12	13	19	26	21	28	25	28	31	40	57	0	1	2	2	4	2	5	6	5	7	8	6	0	1	2	1	1	1	2	1	1	1	1	1	2	1
22000	-92.238590630771114	-99.094078581730486	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.708567313290018	-3	6	12	9	21	17	23	25	23	26	33	36	51	0	1	2	2	4	3	5	6	5	7	8	8	0	1	1	1	1	2	1	1	2	1	1	2	2	1
22500	-92.474958930109722	-99.330446881069093	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.810474109175662	-3	8	15	15	25	21	24	24	22	28	33	35	49	0	1	2	2	9	2	9	6	4	7	8	8	0	1	1	1	1	1	1	1	1	1	1	2	1	1
23000	-93.889431556623819	-100.744919507583191	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.825840871934456	-4	10	12	15	18	27	25	22	23	29	33	35	57	0	1	2	2	4	3	9	3	5	7	6	11	0	1	2	1	1	1	2	1	2	1	1	2	1	1
23500	-92.925205199845394	-99.780693150804765	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.695282846205740	0	7	15	14	22	24	22	29	25	26	32	36	53	0	1	2	2	4	3	4	3	4	7	6	8	0	1	1	1	1	2	2	2	2	2	1	1	1	1
24000	-94.222649618290561	-101.078137569249932	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.624791218631795	-2	10	16	14	19	17	23	27	21	28	33	29	53	0	1	2	2	4	2	5	3	4	7	6	8	0	1	2	1	1	1	1	1	2	1	2	2	1	1
24500	-101.143798657967338	-107.999286608926710	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.593711909324483	-5	5	13	12	24	24	25	25	21	28	36	39	57	0	1	2	2	9	3	5	3	4	7	8	8	0	1	1	1	2	1	2	1	2	1	1	2	1	1
25000	-83.306740899281309	-90.162228850240680	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.999170749700972	-1	5	12	15	19	25	24	22	21	29	32	35	57	0	1	2	2	4	8	5	3	5	7	8	11	0	1	1	1	1	1	1	1	1	1	1	1	1	1
25500	-96.565076989225361	-103.420564940184732	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710010801931461	-2	4	8	14	20	19	24	28	22	30	23	36	55	0	1	2	3	4	3	9	11	4	7	6	6	0	1	1	1	1	1	3	1	1	2	1	1	2	1
26000	-97.837668758381255	-104.693156709340627	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.651584548932406	-2	5	7	14	19	25	17	22	26	26	32	38	56	0	1	2	2	4	2	4	3	5	7	8	11	0	1	2	1	2	1	4	1	2	1	2	2	1	1
26500	-80.653995599605437	-87.509483550564809	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.917830700589237	-1	9	12	11	20	24	23	28	23	28	31	36	55	0	1	2	2	4	3	5	6	5	7	8	11	0	1	2	1	1	1	1	1	1	1	1	1	1	1
27000	-98.864919360970703	-105.720407311930074	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.837742979111897	-9	1	7	14	19	20	21	23	23	24	27	37	57	0	1	2	2	4	2	5	6	5	7	8	8	0	1	1	1	2	1	3	1	1	1	1	1	2	1
27500	-87.208298275389751	-94.063786226349123	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.637747690304251	-2	10	15	13	17	24	22	27	21	26	32	39	53	0	1	2	2	4	3	5	6	5	7	8	6	0	1	2	1	1	1	2	1	1	1	1	1	4	1
28000	-103.023931802469036	-109.879419753428408	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.633904788182388	0	8	13	12	16	25	18	26	22	28	30	38	55	0	1	2	1	4	3	5	3	4	7	6	11	0	1	1	1	3	1	2	1	2	3	2	2	1	1
28500	-106.182874238032738	-113.038362188992110	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.379520528334444	-4	10	13	13	24	25	22	25	25	27	33	40	53	0	1	1	2	4	2	3	2	3	7	3	6	0	1	2	3	1	2	2	2	2	1	1	4	3	1
29000	-91.325059828445873	-98.180547779405245	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.686835398381073	-2	8	15	16	18	26	21	23	24	27	32	40	50	0	1	2	2	4	3	5	3	5	7	8	11	0	1	2	1	1	1	2	1	1	1	1	2	1	1
29500	-100.502193816192602	-107.357681767151973	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.822666497475976	-4	12	9	13	19	21	21	16	26	23	27	33	56	0	3	1	3	4	3	5	3	5	7	8	6	0	1	1	2	1	1	1	1	2	1	1	2	1	1
30000	-99.526071182096786	-106.381559133056157	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.848325280437328	-2	7	14	10	17	24	25	28	19	29	31	32	53	0	1	2	2	4	3	5	3	5	7	3	6	0	1	1	2	1	2	2	1	2	1	1	3	1	1
30500	-95.370487877304129	-102.225975828263500	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.483470135056929	-3	7	12	12	20	24	22	25	22	27	31	41	55	0	1	2	2	4	2	5	3	5	7	8	6	0	1	1	1	1	2	3	1	1	1	1	1	3	1
31000	-97.509560256114753	-104.365048207074125	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731751184800760	0	3	16	10	14	22	23	27	25	27	30	38	53	0	1	2	2	4	3	5	6	5	7	3	6	0	1	1	2	1	1	1	2	1	2	1	3	3	1
31500	-98.405528970557981	-105.261016921517353	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.639933599436700	-3	8	14	13	19	23	24	25	22	29	28	36	56	0	1	2	2	4	2	5	3	4	7	2	6	0	1	3	2	1	1	2	1	3	2	1	3	2	1
