step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77
5000	-234.966560948486602	-244.017404328937943	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978509434096870	-1	1	5	4	5	4	0	1	2	5	7	3	7	5	4	5	5	5	8	13	5	8	7	6	5	6	8	7	8	7	7	8	10	7	11	9	7	10	6	5	11	10	12	10	8	10	9	10	4	9	8	10	11	12	11	9	13	10	8	12	12	11	10	13	12	11	9	13	15	15	15	11	14	16	17	14	18	0	7	12	12	15	12	1	1	2	2	6	8	15	9	9	12	8	49	25	48	4	28	10	16	49	12	26	16	40	14	5	40	22	18	32	28	4	28	21	6	47	24	42	45	39	50	13	24	9	37	5	47	45	46	47	37	67	22	37	5	33	34	22	63	50	67	11	54	20	61	64	30	29	70	69	57	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-232.123034388600303	-241.173877769051643	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981689121305473	-2	1	5	3	4	3	3	2	3	4	6	4	7	4	5	5	5	5	7	13	3	7	6	7	5	7	14	8	10	6	6	9	10	6	9	11	7	10	10	9	10	8	13	14	9	9	10	8	9	6	9	10	12	11	12	12	11	11	10	11	11	11	13	9	12	12	12	15	15	14	17	13	12	17	14	12	19	0	1	21	8	21	1	8	2	8	21	21	8	5	8	14	21	8	7	10	61	8	11	5	30	7	14	15	26	40	9	9	50	48	17	19	22	5	46	48	5	40	14	58	28	12	30	42	14	26	5	22	11	60	40	39	36	41	52	28	64	39	59	64	34	59	57	39	56	46	43	44	56	42	20	56	54	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-226.605019158449977	-235.655862538901317	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993658697532745	-1	1	6	5	3	4	2	4	0	3	7	4	7	5	5	4	3	6	7	14	3	7	8	5	7	7	10	7	10	8	8	8	7	5	12	11	10	6	9	8	12	10	13	12	11	9	10	9	9	11	10	10	13	11	11	9	13	10	10	11	12	12	12	12	11	14	12	15	13	8	17	10	13	6	13	14	18	0	9	4	8	2	21	9	5	1	2	38	7	18	17	10	10	7	34	18	43	2	12	28	16	15	8	23	38	23	22	3	38	17	17	40	46	70	21	24	14	36	39	65	50	47	13	48	23	32	48	25	25	62	48	39	16	62	40	30	51	46	49	65	27	56	37	50	43	47	33	54	13	62	21	55	63	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-232.563142586714321	-241.613985967165661	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991735746592971	-1	2	6	6	4	3	1	4	2	5	8	4	4	4	4	5	6	2	8	13	6	7	4	7	8	6	14	8	7	7	9	8	8	8	11	10	10	8	9	7	11	10	10	11	11	11	11	10	10	7	8	9	11	12	10	13	12	10	10	11	13	8	12	10	12	15	12	14	14	14	13	11	14	16	16	15	16	0	7	23	10	6	18	1	9	1	18	4	2	9	2	9	6	14	7	16	53	15	26	7	4	4	15	67	40	16	12	23	13	6	3	28	38	28	24	10	26	29	30	51	58	36	42	38	32	31	14	8	28	22	45	29	53	40	19	30	21	57	14	40	28	36	44	3	61	53	35	31	29	67	27	66	61	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-250.400009773091767	-259.450853153543108	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999478046529582	0	2	6	5	5	4	3	2	3	1	7	5	4	4	4	5	3	6	7	14	6	7	7	7	6	7	11	8	9	7	9	9	8	6	6	8	6	10	9	7	11	9	13	14	11	10	10	8	10	11	8	9	14	9	11	15	14	9	11	13	13	11	12	14	13	15	8	12	14	10	17	9	6	12	16	11	16	0	1	6	6	9	8	10	10	2	1	9	9	8	10	1	7	2	15	4	46	16	25	15	21	16	12	39	22	23	14	22	48	19	17	16	18	2	52	40	12	25	4	42	38	58	72	26	3	36	42	34	51	38	17	34	45	70	35	58	47	32	13	25	65	54	45	34	19	39	51	20	19	15	76	53	46	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-224.490909791721663	-233.541753172173003	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972355372195404	0	1	5	6	2	3	3	4	4	5	8	4	5	4	3	4	5	2	6	12	4	6	8	6	8	8	14	6	7	8	5	8	9	8	11	12	6	9	10	9	11	8	13	12	11	11	9	10	9	10	10	10	11	8	12	13	13	10	7	13	12	11	12	14	12	14	13	15	15	14	11	12	9	16	12	15	14	0	1	2	14	2	2	1	2	2	2	28	18	9	6	18	5	18	1	14	52	7	12	37	16	19	17	56	17	4	3	16	28	32	22	24	39	6	25	32	42	33	24	50	35	54	51	42	42	11	13	26	28	48	12	53	62	62	34	24	33	39	39	50	38	45	43	41	43	77	11	54	50	29	27	41	70	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-232.664345944549098	-241.715189325000438	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990416007227296	0	1	4	4	5	3	2	3	3	5	7	5	5	2	3	4	6	4	7	14	6	7	6	6	7	7	13	8	10	7	6	9	8	8	12	9	8	10	9	10	11	8	12	11	7	7	10	9	10	11	9	11	13	11	11	14	13	11	11	13	9	12	12	12	12	11	13	15	15	9	16	13	12	17	14	15	16	0	1	6	14	16	2	2	14	2	18	10	2	4	1	2	2	3	9	18	66	12	23	16	10	13	23	64	18	46	10	6	12	8	31	19	34	21	17	33	45	48	19	38	61	7	5	33	15	48	18	42	47	52	32	28	59	70	39	40	66	19	70	59	54	49	28	47	49	43	11	60	17	22	53	64	54	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-228.874849762636387	-237.925693143087727	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998402735634907	0	1	3	4	3	2	1	4	3	4	7	3	5	1	5	4	5	4	8	14	5	6	7	5	8	7	13	8	9	8	8	8	8	7	12	11	10	10	9	10	12	7	12	14	9	11	11	9	6	6	9	10	13	12	12	13	14	10	8	10	13	11	11	13	13	14	12	8	15	13	15	12	13	15	16	14	17	0	1	2	9	7	2	1	2	2	7	17	1	16	1	10	3	16	3	21	36	10	13	8	9	50	12	41	23	32	50	23	34	13	9	62	13	33	59	22	28	38	13	51	55	26	60	60	15	12	13	42	32	9	52	38	63	41	48	2	59	72	60	39	72	48	73	47	24	38	52	51	36	52	46	70	41	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-228.370537147016535	-237.421380527467875	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999407309128201	0	1	4	6	3	3	2	3	4	2	6	5	5	4	4	5	5	6	6	14	5	4	7	6	8	8	15	8	10	7	8	8	7	8	10	12	10	10	10	9	9	7	12	10	10	9	10	9	6	8	8	8	14	9	11	15	11	9	11	12	13	11	9	13	12	12	10	14	15	14	15	9	12	18	15	15	11	0	1	7	22	2	7	1	2	2	2	22	3	8	6	10	9	3	13	17	66	8	6	21	8	33	21	68	4	22	18	30	24	12	30	58	19	23	63	32	42	19	19	48	40	25	31	30	23	9	30	13	49	36	23	45	55	41	33	44	11	60	51	23	37	31	12	23	57	68	60	63	42	47	75	66	59	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-231.340121747057793	-240.390965127509133	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993219698646981	0	2	5	4	3	4	3	3	4	5	6	5	7	2	5	1	6	5	7	14	5	8	7	6	6	7	15	7	9	6	8	6	8	6	9	13	10	11	10	5	11	7	10	11	11	6	10	9	8	10	10	10	11	11	12	13	14	11	5	13	12	12	10	13	13	12	12	15	16	13	14	12	12	14	16	16	19	0	16	5	5	14	5	16	2	8	9	3	8	46	1	9	1	18	6	21	73	2	9	40	40	7	34	72	18	28	2	17	3	11	16	33	50	35	51	42	6	49	18	21	19	51	15	26	28	46	19	22	22	47	47	52	35	67	50	5	58	44	6	19	67	41	39	43	20	71	35	36	41	39	41	53	43	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000	-232.090787229224617	-241.141630609675957	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999029463264268	0	1	6	2	4	3	2	3	3	5	8	4	4	4	5	4	6	6	6	11	5	5	7	6	8	5	12	6	10	8	9	8	8	7	8	12	8	10	10	8	11	10	13	13	10	9	9	10	5	11	9	8	12	11	8	14	13	11	9	13	13	12	12	12	10	13	13	15	8	13	14	9	14	15	14	15	16	0	1	13	2	7	2	1	2	2	13	10	4	8	8	14	9	12	13	15	55	6	8	9	9	10	8	13	16	24	18	16	22	3	28	19	45	34	25	10	49	46	10	42	41	40	69	8	32	5	55	49	17	72	23	26	62	50	11	23	58	59	40	42	50	40	20	65	43	19	64	41	37	41	44	41	57	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
