step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19
5000	-97.407168347352908	-106.458011727804248	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.910068044181350	-4	7	2	25	19	8	23	13	27	49	32	26	36	37	55	83	88	95	91	0	3	1	5	8	3	5	2	5	14	12	5	11	11	10	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-102.377429562370807	-111.428272942822147	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.948620215012187	-2	6	2	20	15	19	12	13	25	41	37	30	32	44	54	74	83	89	99	0	3	1	7	2	3	3	3	4	13	9	8	4	11	14	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-96.499822819389252	-105.550666199840592	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985531656531625	-1	6	7	25	16	14	18	23	27	46	32	28	31	43	52	72	81	85	99	0	1	1	8	3	3	2	5	6	14	12	7	9	13	14	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-96.631339198278027	-105.682182578729368	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998122879686486	-7	-3	3	25	13	17	17	24	32	44	36	30	28	40	54	74	84	92	97	0	1	2	7	2	5	5	7	7	11	13	13	8	11	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-98.721506546009195	-107.772349926460535	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.966192807110257	2	6	7	22	8	16	22	20	28	48	35	24	28	42	57	81	89	94	89	0	1	1	3	1	5	8	1	12	11	13	5	4	11	10	15	16	19	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-104.439615301554426	-113.490458682005766	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.968439510131458	1	6	6	23	18	20	14	15	28	49	28	14	27	41	60	70	78	85	91	0	1	1	5	7	8	3	3	4	14	4	3	5	4	14	15	16	16	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-109.249015045177515	-118.299858425628855	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995633578527099	-5	4	2	22	15	17	18	22	25	42	32	24	28	31	47	73	85	92	92	0	1	1	3	2	3	5	5	7	9	9	7	8	9	10	10	16	17	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-98.093805721790446	-107.144649102241786	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.954610029797746	3	8	6	24	16	12	25	23	31	47	28	23	34	40	59	85	87	94	98	0	1	1	5	2	2	8	5	12	14	7	5	9	11	14	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-105.959967789998473	-115.010811170449813	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.945730903380245	-5	0	6	25	15	14	20	8	25	34	31	31	31	40	43	77	85	90	93	0	1	2	7	8	8	6	1	7	11	9	9	5	10	14	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-105.946991465891088	-114.997834846342428	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.912331985299811	-1	9	3	20	16	11	25	25	32	43	36	22	35	47	58	80	86	90	85	0	3	1	5	3	1	4	6	8	9	4	5	4	11	11	15	16	19	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000	-89.462546339049226	-98.513389719500566	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995305242887823	0	6	3	22	15	15	23	24	31	47	32	31	35	40	55	73	81	89	91	0	1	1	6	2	2	6	6	8	11	8	7	11	13	10	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	-94.592075803893636	-103.642919184344976	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.977042192098344	1	7	5	19	15	13	16	25	30	48	31	22	33	42	56	76	85	94	98	0	1	1	7	6	1	6	12	4	14	4	7	8	13	10	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11000	-95.806320929515763	-104.857164309967104	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.968370565959190	-2	6	3	22	17	17	9	17	28	49	33	23	25	44	57	71	80	86	94	0	1	1	6	7	2	2	3	12	14	12	6	4	11	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11500	-98.219888418763816	-107.270731799215156	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989816374191833	-1	8	4	19	12	17	21	24	31	50	36	20	34	47	60	81	88	94	86	0	1	1	2	3	5	2	12	4	14	8	2	9	13	10	15	16	19	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12000	-101.887486682539432	-110.938330062990772	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999049156813528	-7	8	1	21	17	16	22	22	30	48	29	25	29	43	57	78	83	81	95	0	3	1	5	2	2	5	4	4	14	7	6	8	5	10	15	18	16	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12500	-105.463209482089425	-114.514052862540765	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.874037386148278	2	4	7	14	16	14	24	23	26	44	32	32	37	45	50	69	84	83	90	0	1	2	2	1	3	4	6	5	13	8	5	12	13	14	15	16	16	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13000	-102.446249739300200	-111.497093119751540	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978295744086185	1	9	8	18	14	18	19	24	25	48	37	31	27	45	55	74	81	79	90	0	1	1	3	2	5	6	5	5	14	13	6	7	11	10	15	16	16	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13500	-106.497604764141187	-115.548448144592527	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.844034822727960	1	5	6	26	19	11	21	24	26	51	26	29	17	40	46	75	82	87	90	0	1	1	7	6	1	3	5	5	15	5	8	6	9	14	10	16	16	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14000	-99.202208982791021	-108.253052363242361	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.924219448584702	1	6	4	24	13	17	23	16	26	48	35	34	32	43	55	77	86	91	92	0	3	1	5	2	5	8	1	5	11	13	9	7	12	12	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14500	-91.380131562780122	-100.430974943231462	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.943784892687064	1	6	5	16	9	15	20	22	28	43	32	33	29	47	59	75	83	92	98	0	1	1	5	1	5	5	4	7	11	8	9	7	10	14	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15000	-95.835241953219835	-104.886085333671176	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997068836093056	-1	8	3	26	12	17	19	25	24	50	32	26	28	44	56	75	88	91	97	0	3	1	9	1	3	2	7	2	14	13	6	9	11	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15500	-105.082338871027247	-114.133182251478587	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.903354233280579	-2	3	1	12	7	4	17	18	28	51	35	26	32	45	57	73	84	87	95	0	1	1	6	6	1	6	4	7	14	9	7	8	13	14	10	16	16	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16000	-103.543056260237790	-112.593899640689131	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.905988649597226	-7	3	6	16	12	15	22	25	29	44	29	29	25	39	54	77	83	85	96	0	1	2	5	2	3	4	5	8	4	8	7	4	12	10	15	16	16	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16500	-106.869199685126461	-115.920043065577801	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.931470617073828	-4	5	1	19	8	14	21	27	25	46	30	28	6	37	54	72	81	85	92	0	3	1	6	3	2	6	4	4	14	12	7	3	12	14	15	16	16	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
17000	-95.191644669376643	-104.242488049827983	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.931509312483570	-2	4	5	12	16	11	25	22	31	48	33	29	34	41	60	81	85	90	94	0	1	1	3	4	3	4	5	7	14	9	8	8	7	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
17500	-101.006915108696205	-110.057758489147545	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.967619440890752	-4	9	3	24	16	16	22	12	11	46	32	24	25	42	58	75	87	92	98	0	1	1	8	8	2	8	2	3	14	4	6	6	11	10	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18000	-91.313365734118563	-100.364209114569903	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980599402238293	0	8	3	26	15	14	23	19	25	48	36	32	35	38	57	81	86	90	91	0	3	1	8	3	3	8	6	5	14	12	9	12	12	10	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18500	-98.438920485127781	-107.489763865579121	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985915561576648	-5	-2	0	22	14	10	18	23	32	47	28	30	36	44	53	77	84	90	97	0	1	1	6	2	2	6	7	4	13	8	8	12	11	10	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19000	-101.514577586280581	-110.565420966731921	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.847517928806544	-1	6	6	26	10	13	17	16	29	41	30	27	34	44	52	74	85	95	82	0	1	1	7	2	2	5	5	4	11	12	7	12	13	14	15	16	17	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19500	-95.440650631611135	-104.491494012062475	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990447326077372	-4	3	-1	21	7	14	18	23	31	45	31	26	31	42	58	79	83	90	97	0	3	1	7	2	5	2	7	4	14	12	4	12	11	10	15	16	16	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20000	-99.829294117360433	-108.880137497811774	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.963455842267145	-3	9	5	14	19	14	21	25	31	40	34	32	34	45	59	73	78	86	94	0	3	1	2	2	2	4	5	8	13	9	8	8	9	11	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20500	-94.669855332045955	-103.720698712497295	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994345324774971	-2	6	3	23	17	12	19	24	27	47	32	27	33	37	55	79	85	88	97	0	1	1	5	6	2	3	6	4	14	9	5	4	13	10	10	16	16	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21000	-98.847900162165487	-107.898743542616828	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982396895935253	-1	3	5	16	11	16	23	26	30	51	34	27	32	43	56	77	85	80	94	0	1	2	1	3	3	6	7	6	14	12	6	8	11	14	15	18	16	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21500	-95.467868292180668	-104.518711672632008	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.923971565337461	0	7	5	12	9	18	22	23	31	48	27	22	37	40	55	75	83	89	95	0	1	1	5	3	4	5	4	12	14	12	4	9	9	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22000	-103.145683542919357	-112.196526923370698	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.892720675602831	2	5	4	8	9	15	18	24	31	49	30	25	38	38	57	77	87	94	97	0	1	1	1	2	4	2	7	8	13	12	7	11	9	13	15	16	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22500	-97.566857847031287	-106.617701227482627	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.963910652978700	2	5	7	24	14	15	20	11	28	39	33	32	27	43	59	76	81	91	97	0	1	2	6	2	3	8	2	7	13	13	4	7	13	14	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23000	-103.640419102508716	-112.691262482960056	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997824433561133	0	5	2	22	14	14	22	23	19	48	32	26	34	35	60	82	88	87	101	0	1	1	3	2	3	6	5	5	13	12	7	8	4	10	15	16	16	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23500	-98.962560163513587	-108.013403543964927	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982702691804393	-5	-2	5	21	11	13	22	17	26	49	33	32	33	41	59	86	76	91	94	0	1	1	8	3	3	8	1	8	14	4	9	5	11	10	17	15	16	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24000	-97.462835224561061	-106.513678605012402	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.880485277856464	0	7	4	22	15	15	21	26	28	51	29	20	34	46	59	85	77	91	99	0	1	1	6	2	3	5	4	8	13	4	5	7	13	10	17	15	16	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24500	-94.374045074982831	-103.424888455434171	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.977843039752706	-1	7	2	20	10	16	20	27	26	49	31	30	30	37	59	82	75	93	96	0	3	1	6	3	5	5	4	4	14	8	6	8	11	10	17	15	16	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25000	-105.928110221325795	-114.978953601777135	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990934076437596	0	9	5	18	16	19	26	22	26	38	35	28	28	45	54	82	76	92	90	0	3	1	3	2	2	4	5	8	8	13	2	5	11	13	17	15	16	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25500	-102.433268314420147	-111.484111694871487	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.938685283346674	2	5	7	20	16	18	11	26	32	43	26	29	35	49	58	83	78	92	90	0	1	1	2	3	7	3	4	4	13	7	8	4	10	14	17	15	16	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
26000	-97.597952268724768	-106.648795649176108	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981146760811952	-4	-1	0	26	15	11	18	26	28	42	34	29	34	45	58	85	78	89	95	0	1	1	5	3	2	6	7	7	9	8	8	4	10	10	17	15	16	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
26500	-103.343345544982384	-112.394188925433724	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999171812885146	-12	0	-4	22	11	18	21	19	26	43	31	30	27	39	60	86	80	91	91	0	3	1	5	2	5	5	5	7	12	4	9	8	8	14	17	15	16	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27000	-96.386223861629404	-105.437067242080744	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.915735934396098	-7	9	2	24	13	15	22	22	19	44	29	30	33	39	59	87	77	93	96	0	3	1	9	3	2	6	6	6	14	9	8	12	12	10	17	15	16	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27500	-102.692953881977715	-111.743797262429055	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997341988446359	-7	3	7	17	19	12	16	26	24	50	28	23	31	36	55	82	77	92	98	0	1	2	6	6	3	3	4	6	14	4	6	8	11	10	17	10	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28000	-102.034009044236640	-111.084852424687980	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.881247795778498	-3	7	5	26	14	16	20	13	29	40	36	30	26	42	56	84	76	90	87	0	1	1	6	2	2	2	2	13	11	12	13	5	9	14	17	15	17	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28500	-101.331833565698616	-110.382676946149957	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980700656477653	-3	6	8	26	17	14	15	24	29	47	23	31	28	44	58	87	82	94	92	0	1	2	8	3	2	2	5	8	14	2	4	11	12	14	17	15	17	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29000	-95.372618811353618	-104.423462191804958	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.928692156015297	-2	4	3	26	15	10	23	23	31	42	33	29	31	37	59	84	77	90	97	0	1	1	5	6	2	5	5	7	11	4	6	4	9	10	17	15	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29500	-96.628491650528773	-105.679335030980113	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.923083587014577	1	8	4	24	13	12	22	22	19	45	30	22	35	43	54	86	77	92	94	0	3	1	6	2	2	6	6	6	14	9	9	11	13	10	17	15	16	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30000	-105.074709397866428	-114.125552778317768	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989549333143562	0	7	6	27	13	20	18	22	23	53	35	22	27	44	59	84	73	93	89	0	1	1	7	2	1	5	5	7	14	4	7	8	13	14	17	15	19	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30500	-112.174274432173107	-121.225117812624447	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.957565527488315	-4	6	2	19	11	17	25	27	32	44	30	14	15	42	55	79	86	94	97	0	1	1	12	1	12	6	3	8	11	8	5	2	9	10	15	16	17	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31000	-98.450856444979266	-107.501699825430606	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983086090784899	3	6	9	22	17	16	24	13	27	49	33	32	32	45	56	69	82	89	96	0	1	1	6	3	3	6	2	5	14	7	7	4	11	10	15	16	16	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31500	-99.141538291839510	-108.192381672290850	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.861995505219598	1	10	5	25	15	20	19	27	28	46	29	27	25	40	56	82	84	90	95	0	1	1	7	2	5	5	4	6	14	13	6	6	11	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32000	-99.950711667178567	-109.001555047629907	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.947919362716907	0	5	6	18	16	15	22	20	22	48	32	25	20	38	58	71	77	88	95	0	1	1	6	2	1	8	5	5	14	5	6	6	11	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32500	-102.247106063887088	-111.297949444338428	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999050106895012	-4	7	2	13	16	20	22	26	29	50	38	20	29	41	59	76	85	83	88	0	3	1	2	4	5	12	6	5	14	8	4	12	8	10	15	16	16	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33000	-98.766394293189677	-107.817237673641017	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.891290576401836	-1	5	5	24	15	20	22	25	31	42	34	31	35	44	58	73	88	94	86	0	1	1	5	3	5	5	7	7	11	9	4	8	11	11	15	16	19	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33500	-101.045430800239572	-110.096274180690912	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.954654736252389	3	6	5	25	12	16	20	20	26	37	30	32	26	42	58	72	81	88	89	0	1	1	1	3	5	6	5	8	11	8	4	8	10	14	15	16	16	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
34000	-96.803338359640975	-105.854181740092315	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989445141993105	-1	6	7	18	16	17	25	12	22	50	32	28	31	41	55	78	86	94	98	0	1	1	3	2	8	6	3	2	14	7	9	8	13	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
34500	-112.507065518029918	-121.557908898481259	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982718328459325	-6	-1	4	23	12	18	22	26	33	47	29	18	37	36	52	78	84	91	82	0	1	1	6	3	3	6	12	6	4	8	2	11	11	10	10	16	19	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35000	-91.567102996918734	-100.617946377370075	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997068210436853	1	6	6	23	12	14	21	23	29	46	33	31	31	41	59	76	86	85	97	0	1	1	5	3	3	6	5	4	14	7	8	9	11	14	15	16	16	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35500	-96.971155220407596	-106.021998600858936	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.961885704247003	3	6	7	16	16	16	22	22	27	41	35	30	25	45	60	78	85	92	96	0	1	1	2	1	3	6	5	5	12	8	8	8	12	14	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36000	-97.107357892680383	-106.158201273131723	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995070727681343	0	7	8	22	13	16	16	22	29	46	34	31	31	36	56	67	80	89	92	0	1	1	3	3	3	5	6	4	12	12	8	7	12	10	15	16	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36500	-102.708340629297837	-111.759184009749177	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.938093544316292	-1	8	4	20	16	19	23	27	26	48	34	27	30	44	54	79	63	91	90	0	1	1	2	3	3	3	6	4	14	12	4	12	13	10	17	15	16	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37000	-95.776178469980181	-104.827021850431521	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.900092970508197	-3	6	2	21	14	17	24	22	27	45	31	34	35	36	55	87	75	91	95	0	1	1	6	2	2	6	5	4	12	9	11	4	9	10	17	15	16	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
