step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45
10500	-218.653669691378724	-225.509157642338096	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.872103395141349	0	3	4	5	2	3	2	6	6	6	9	8	7	8	9	10	12	10	13	16	17	18	19	20	21	21	21	28	32	35	34	34	34	33	35	38	36	36	38	36	40	40	42	45	46	0	5	2	2	1	7	1	3	3	6	3	8	8	10	14	13	15	15	0	19	20	21	21	23	23	23	24	0	28	32	34	34	29	29	29	33	35	35	32	33	39	39	42	43	44	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1
11000	-237.067153892458663	-243.922641843418035	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.872300765281508	-1	2	3	1	3	4	2	7	5	6	9	8	9	8	9	10	10	10	13	15	17	17	20	21	22	19	23	27	32	36	34	33	34	34	34	39	36	36	37	37	38	40	42	44	44	0	1	7	1	2	7	4	5	3	6	3	8	8	10	10	13	10	14	0	19	20	20	21	23	23	21	24	0	28	32	29	29	29	32	29	39	35	35	32	29	31	32	42	43	43	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	3	2	2	1	1	1
11500	-259.417043533581818	-266.272531484541219	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649088607583713	-1	2	1	3	2	4	2	7	6	7	9	9	10	8	9	11	10	10	13	16	18	17	20	21	21	20	23	28	31	35	33	35	34	34	34	38	35	35	37	37	40	42	40	44	46	0	1	1	5	1	7	3	2	7	6	9	8	8	10	6	13	10	10	0	19	19	20	21	23	23	21	23	0	28	33	29	29	29	28	29	33	35	35	30	33	39	39	32	43	44	1	2	1	1	1	1	1	3	2	1	2	1	2	1	3	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	2	2	1	4	1	2	1	1	1	2	2	2	3	2	1
12000	-234.122875378459952	-240.978363329419324	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.769275329349745	-1	1	2	4	2	3	4	6	6	6	9	8	9	7	9	10	11	10	13	15	17	18	22	20	21	22	22	28	32	35	34	36	34	34	35	39	37	36	37	36	39	42	42	45	45	0	1	2	2	1	3	3	5	7	6	7	8	8	10	10	13	15	14	0	19	20	21	24	21	24	24	24	0	28	33	29	31	29	29	29	40	35	35	30	33	30	39	32	43	43	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	1	1	1	1	2	3	2	2	2
12500	-240.624164523123028	-247.479652474082400	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.844421387047713	-1	2	4	4	3	4	4	6	7	6	9	8	9	8	9	9	11	11	14	15	17	18	20	18	22	21	22	28	31	35	32	36	33	35	35	39	36	36	37	36	40	41	42	44	46	0	1	1	2	2	5	2	5	7	6	3	8	8	10	10	8	15	15	0	19	20	21	24	21	23	23	24	0	28	29	28	29	31	31	29	40	35	35	30	33	39	39	42	43	43	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	2	2	2	2	1	1	2	2	1	1	1	1	1	2	1	1	1
13000	-248.940303855783498	-255.795791806742869	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.798889508397914	-1	3	2	4	2	4	4	6	6	6	9	8	9	8	9	10	10	11	13	15	16	17	19	21	22	20	22	28	31	34	33	35	35	35	34	39	37	35	38	37	40	41	43	45	46	0	5	1	1	1	3	5	4	7	6	9	8	8	10	10	13	14	15	0	19	20	21	21	23	21	23	24	0	28	29	28	29	30	29	29	34	35	35	32	33	32	36	42	43	44	1	1	1	2	2	2	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	3	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	2	2	1	1	1
13500	-248.017882141139665	-254.873370092099037	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.745612451218495	0	2	2	3	3	4	3	7	6	6	9	8	9	8	10	10	9	9	13	15	17	18	20	21	21	22	22	28	33	35	32	35	34	34	35	38	36	36	36	35	38	41	42	44	46	0	1	1	1	2	4	3	4	3	6	6	5	8	6	18	8	10	10	0	19	20	21	21	23	23	23	23	0	28	31	28	29	31	29	31	40	35	35	29	33	32	31	42	43	44	1	1	1	2	1	1	1	2	2	2	2	2	1	2	1	2	1	2	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1
14000	-229.289365243964909	-236.144853194924281	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.883086509103440	-1	2	3	4	1	4	4	5	6	7	9	8	8	8	9	10	12	11	12	15	17	18	21	20	22	21	22	28	32	35	33	36	34	34	34	39	36	35	37	37	40	40	42	44	46	0	1	5	2	1	3	3	4	7	6	7	8	8	6	10	13	14	10	0	19	20	21	24	21	23	24	24	0	28	31	28	30	29	29	29	33	35	35	32	33	30	39	42	43	44	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	3	1	1	1	1	2	1	1	1	1
14500	-247.833355662335805	-254.688843613295177	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.780232720621492	0	2	3	4	4	3	1	7	6	6	8	8	8	8	9	11	12	11	13	15	17	18	20	18	21	21	23	28	33	34	33	35	34	34	35	38	37	36	37	37	39	41	42	44	45	0	1	7	2	1	7	1	4	3	6	5	8	4	10	10	13	14	14	0	19	20	21	24	21	24	23	24	0	28	31	28	30	29	31	30	33	35	35	32	33	39	41	42	43	44	1	1	1	1	2	1	1	2	2	2	3	1	2	2	2	2	2	2	1	1	2	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1
15000	-235.875284612266114	-242.730772563225486	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.752921532303045	0	2	2	3	3	3	4	5	5	6	9	8	9	8	9	11	11	10	13	15	17	18	20	19	22	21	23	28	32	35	32	36	35	34	36	39	36	35	38	35	40	41	42	44	46	0	1	1	1	1	3	3	5	7	6	12	8	8	10	10	13	15	15	0	19	20	21	24	21	23	23	24	0	28	34	28	30	29	29	31	33	38	29	32	31	39	39	33	43	44	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	2	2	1	2	1	2	1	1	2	1	1
15500	-238.389080397506376	-245.244568348465748	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.749257615500212	-1	1	2	5	3	4	3	6	6	6	9	8	9	8	9	10	10	10	13	16	18	17	19	20	21	21	22	29	33	36	32	34	34	34	36	38	37	35	37	37	40	41	42	45	44	0	1	2	2	1	3	3	5	7	6	8	8	8	10	10	8	10	10	0	19	20	20	21	20	23	23	24	0	31	29	28	29	29	29	32	33	35	29	29	33	39	30	42	43	43	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	2	1	2	1
16000	-252.813927995312127	-259.669415946271499	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.554547066033091	-1	2	4	4	3	3	1	5	5	6	10	8	10	8	8	11	11	10	14	15	17	18	22	19	21	22	24	28	31	34	33	36	34	34	36	38	37	35	37	36	39	41	43	46	45	0	1	1	5	1	7	1	5	5	6	3	8	8	6	10	13	18	15	0	19	20	21	24	21	24	24	23	0	28	29	29	30	29	28	38	40	35	29	30	33	33	41	42	43	43	1	1	3	1	2	1	1	1	1	2	4	1	2	2	2	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	2	1	3	1	1	2	1
16500	-234.988938991391137	-241.844426942350509	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.824677513925359	-2	2	2	4	1	4	4	6	7	6	9	8	8	8	9	10	10	11	13	15	16	18	20	19	21	22	24	29	32	34	34	36	34	34	35	38	37	35	38	37	39	40	43	46	44	0	5	5	5	1	3	3	1	7	6	7	8	8	10	10	13	14	15	0	19	20	21	24	21	23	23	26	0	28	29	29	30	29	29	29	33	35	29	30	33	30	36	42	43	43	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	1	2	1	1
17000	-236.031995578524089	-242.887483529483461	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.902640034837922	-1	1	2	4	3	4	3	7	6	6	7	9	9	8	9	11	12	9	12	15	17	16	19	21	22	22	24	29	31	36	33	35	33	33	36	37	37	35	38	36	39	40	42	45	46	0	1	2	5	2	3	3	1	7	6	7	8	8	10	10	13	18	10	0	19	22	20	21	23	23	23	26	0	28	32	29	29	29	29	32	33	35	29	30	33	40	36	42	43	44	1	1	1	1	1	1	1	3	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	2	1
17500	-229.271944003917270	-236.127431954876641	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.831882961546789	-1	1	3	4	3	4	4	6	6	5	8	8	9	8	10	10	11	9	13	15	16	17	20	21	21	22	23	28	32	35	32	36	35	33	35	38	37	34	38	36	38	41	43	44	46	0	1	2	5	2	3	2	4	7	6	7	8	8	6	14	13	18	10	0	19	20	21	21	23	23	25	24	0	28	34	28	30	29	29	38	33	35	29	30	33	31	31	42	43	44	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	2	1	3	3	1	1	1
