step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34
10000	-234.087977263758745	-240.943465214718117	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.520490186969913	4	6	7	5	9	8	10	10	10	13	12	11	12	12	13	12	14	15	16	19	17	17	21	22	25	32	34	35	38	41	40	41	43	44	0	4	4	1	6	4	5	5	4	5	5	8	2	6	4	9	12	6	15	15	19	15	18	16	24	24	26	0	27	0	29	29	32	33	1	1	1	1	1	1	1	1	2	2	1	1	4	2	3	1	1	4	2	4	1	2	4	5	2	5	1	1	3	1	1	1	2	1
10500	-227.258822572033097	-234.114310522992469	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.456874208117018	4	6	7	5	9	8	10	10	9	12	10	11	12	12	13	13	13	15	16	17	18	19	22	22	26	33	34	35	38	40	40	42	43	44	0	4	4	1	6	3	5	5	4	11	5	5	2	6	14	4	12	14	15	15	15	20	18	16	24	24	26	0	27	0	29	31	32	32	1	1	1	1	1	1	1	1	2	2	1	1	3	2	1	3	1	2	1	2	2	2	3	5	2	5	1	1	2	1	1	1	1	2
11000	-216.749690385358576	-223.605178336317948	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.707120320739867	4	6	7	5	8	9	11	9	8	13	11	11	10	12	13	14	14	15	15	19	17	16	21	22	25	33	35	35	38	40	40	41	43	43	0	4	4	1	3	3	5	5	4	11	8	5	2	6	4	15	12	15	15	21	22	15	18	15	24	24	26	0	26	0	29	29	32	32	1	1	1	1	1	1	2	1	2	1	1	2	2	1	4	1	1	1	1	1	1	2	2	4	1	4	1	1	2	1	1	2	1	1
11500	-231.929934337727019	-238.785422288686391	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557422079387224	4	6	7	5	9	9	10	10	10	12	11	12	11	11	13	12	14	16	16	17	17	18	22	22	24	32	35	35	38	40	41	39	43	44	0	4	4	1	3	3	5	5	4	8	5	8	2	6	4	4	12	14	15	15	9	15	18	16	24	24	26	0	27	0	29	27	32	32	1	1	1	1	1	2	1	1	3	1	1	1	3	1	4	3	1	2	1	2	2	2	3	5	1	4	2	1	2	1	2	2	2	3
12000	-227.102239689414404	-233.957727640373776	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.589906162649104	2	6	7	5	8	9	11	10	10	13	11	12	11	12	12	13	14	16	16	18	18	19	22	23	26	33	35	35	39	41	40	41	43	45	0	4	4	1	4	3	5	5	3	11	5	8	2	6	3	15	7	14	15	19	19	19	14	16	24	24	26	0	26	0	29	29	32	33	1	1	1	2	2	1	2	1	2	1	1	1	2	2	3	1	2	2	3	1	1	2	5	4	1	3	1	1	2	1	1	1	1	1
12500	-227.855228252853834	-234.710716203813206	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.642674287755728	3	6	7	5	8	9	10	10	10	13	11	11	11	13	13	12	14	15	17	18	17	19	22	23	25	33	35	35	38	40	41	41	42	44	0	4	4	1	4	3	5	5	4	11	7	8	2	6	9	3	12	14	15	15	15	21	18	16	24	25	26	0	27	0	29	29	32	33	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	1	2	2	2	1	4	6	1	4	1	1	2	1	2	1	1	1
13000	-248.431462650220595	-255.286950601179967	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.539477179995393	3	6	7	4	9	8	11	10	11	12	11	12	9	12	13	14	14	15	17	17	17	18	23	23	25	32	34	36	39	40	40	41	43	44	0	4	4	1	3	3	8	5	4	8	5	7	2	6	4	1	12	14	16	15	15	15	18	16	24	25	26	0	27	0	26	29	31	32	1	1	2	1	2	1	1	1	3	1	1	1	2	2	5	5	1	2	2	2	2	2	5	3	1	3	1	1	2	1	5	1	2	2
13500	-243.778616253917079	-250.634104204876451	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.459485323902828	2	6	8	5	8	9	11	9	10	12	11	12	11	12	13	10	14	15	17	17	17	17	22	23	25	33	35	35	38	40	40	41	44	44	0	4	4	1	2	3	8	5	4	7	8	8	2	6	4	4	12	14	16	15	15	15	18	16	24	24	26	0	27	0	29	29	32	32	1	1	2	1	2	1	1	1	3	1	1	2	2	2	4	3	1	2	4	2	2	3	4	6	1	3	1	1	1	1	1	2	2	2
14000	-230.370245902356174	-237.225733853315546	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.653545355371071	3	6	8	5	9	8	10	10	9	12	12	11	11	13	12	12	13	16	16	19	16	18	21	21	25	32	34	34	38	39	40	41	43	43	0	4	4	1	6	4	5	5	4	8	8	5	2	6	4	3	12	14	15	19	15	21	18	16	24	24	26	0	27	0	29	31	31	29	1	1	2	1	1	1	1	1	3	1	1	1	2	2	2	2	1	2	2	1	2	1	3	4	2	5	1	1	2	1	2	1	1	2
14500	-219.135568652546766	-225.991056603506138	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572716025896299	2	6	5	4	9	7	10	10	10	12	11	11	11	12	13	14	15	15	16	18	16	18	21	22	25	32	34	36	38	40	40	41	43	44	0	3	4	1	6	3	5	5	4	8	5	8	2	3	4	14	12	14	15	19	15	21	18	16	24	25	26	0	27	0	29	29	32	32	1	1	1	1	1	1	1	1	2	1	1	1	3	4	4	2	3	2	1	1	2	1	3	4	2	2	1	1	2	1	1	2	1	1
