step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
12500	-196.025509373535073	-202.880997324494444	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.573597128296661	1	3	3	6	5	7	8	10	11	12	13	12	14	16	14	15	14	16	18	19	21	24	24	26	27	27	29	33	33	36	0	1	1	1	2	5	4	7	8	8	7	7	7	16	10	11	12	13	16	12	14	18	21	22	24	0	19	0	26	29	1	1	1	3	2	1	1	1	1	2	2	2	2	1	1	1	1	1	2	3	2	3	1	1	1	1	6	1	2	1
13000	-203.068208281790987	-209.923696232750359	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.558324881839833	1	3	4	4	4	8	7	8	10	13	13	14	12	15	15	15	16	16	19	19	20	23	24	26	27	28	31	32	33	36	0	1	1	2	1	5	3	2	8	9	8	13	3	11	8	11	12	13	14	12	14	18	21	22	24	0	19	0	26	29	1	2	2	1	1	2	1	1	1	1	1	2	4	1	4	1	1	2	2	2	2	2	2	2	1	1	6	1	3	2
13500	-186.263311934360644	-193.118799885320016	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.427799713352545	2	4	4	6	6	8	8	9	10	13	13	13	12	15	12	15	15	17	19	18	20	24	24	26	27	27	30	33	32	37	0	1	1	1	2	5	1	2	7	9	7	13	3	11	8	11	12	13	16	12	19	18	19	22	22	0	23	0	26	29	1	1	1	2	1	1	3	3	1	2	2	1	3	1	2	1	1	3	3	2	1	3	4	1	2	1	3	1	2	2
14000	-194.736967921297435	-201.592455872256807	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622434811689822	1	3	3	6	6	7	7	10	10	12	13	14	11	15	12	13	15	17	18	18	20	25	24	26	27	27	30	31	33	36	0	1	1	2	2	5	2	7	7	9	13	13	3	11	9	7	13	13	11	17	19	18	16	22	24	0	23	0	26	29	1	1	1	2	2	1	2	1	2	1	1	1	4	1	1	4	2	2	2	2	1	3	5	1	1	1	2	1	3	1
14500	-210.700390384853364	-217.555878335812736	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.493936027365404	0	3	3	6	5	8	6	9	8	11	13	13	11	15	15	15	15	16	19	19	20	23	24	25	27	28	31	32	33	36	0	1	1	1	2	5	2	3	7	9	8	13	3	7	9	11	12	13	14	12	14	18	14	22	22	0	14	0	26	29	1	2	1	3	1	2	1	3	1	2	2	1	3	5	3	1	1	3	2	2	1	3	4	2	2	1	7	1	2	1
15000	-191.574753680365831	-198.430241631325202	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.482201271479864	1	3	3	5	5	7	9	11	11	13	13	14	12	15	15	15	16	15	18	19	19	25	25	27	27	28	30	32	32	36	0	1	1	1	1	5	1	7	7	9	7	13	4	11	10	11	12	13	16	12	11	18	21	22	22	0	23	0	26	29	1	1	1	2	2	1	4	1	1	2	2	1	2	1	1	1	1	2	1	4	3	5	3	1	1	1	2	1	2	2
15500	-211.694820893800994	-218.550308844760366	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.515350901394354	1	3	4	7	6	8	7	11	8	10	12	12	10	16	13	15	15	16	19	18	21	25	24	27	26	27	30	31	33	36	0	1	1	1	1	5	2	9	7	9	7	13	4	11	10	7	12	13	11	12	16	18	21	25	22	0	14	0	26	29	1	1	1	3	2	1	2	2	1	2	3	1	2	2	2	3	2	2	3	3	3	3	1	1	1	1	6	1	3	1
16000	-206.661310433186344	-213.516798384145716	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.466104818989175	1	3	3	7	6	8	8	10	11	12	12	14	13	16	13	14	14	16	18	20	21	25	23	27	28	28	29	33	32	35	0	1	1	1	2	5	1	7	7	9	7	13	4	7	9	11	3	13	16	13	14	13	21	22	24	0	19	0	26	29	1	1	2	3	1	1	3	1	1	1	2	1	3	4	1	1	6	1	2	4	3	4	1	2	1	1	4	1	2	2
16500	-192.252787880067672	-199.108275831027044	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.459585070231553	1	3	2	6	7	8	8	10	10	13	13	13	12	15	13	16	14	17	18	19	20	25	24	26	27	27	30	32	33	36	0	1	1	2	2	5	1	7	7	8	7	13	3	11	9	11	13	13	14	12	11	18	19	22	22	0	19	0	26	29	1	1	1	2	2	1	4	1	1	3	2	1	5	1	2	2	1	2	2	3	3	2	2	1	1	1	5	1	4	1
17000	-191.838748402528154	-198.694236353487526	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.569385627982918	1	3	3	6	6	7	7	9	10	12	14	14	13	16	14	16	15	15	18	18	19	25	23	26	27	28	31	30	34	37	0	1	1	2	2	5	1	7	8	9	7	13	3	11	10	11	13	13	14	13	11	18	14	22	22	0	11	0	26	29	1	1	1	1	1	1	3	1	1	1	3	1	4	1	1	1	1	1	1	3	2	3	2	1	1	1	6	1	3	1
